LGA_CODE_2021,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2m_sty_Dw,sd_rw_tce_hs_th_wth_2m_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_8_stry_blck_D,Flt_apart_In_4_8_stry_blck_P,Flt_apart_In_9m_stry_blck_D,Flt_apart_In_9m_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
LGA72330,1082,4574,68,211,0,0,68,216,25,29,0,0,0,0,0,0,0,0,25,29,336,675,20,39,123,203,6,6,483,924,90,166,1752,5910,440,..,2190,5910
LGA72800,10032,29671,1064,2193,239,550,1301,2740,1372,2632,102,236,461,999,73,144,7,13,2009,4021,3,0,0,0,42,59,0,0,39,65,38,59,13416,36561,1117,..,14535,36561
LGA73600,950,4629,196,816,0,3,193,817,33,171,0,0,0,0,0,0,0,0,35,173,908,1916,61,130,166,328,3,4,1140,2378,226,409,2538,8413,316,..,2847,8413
LGA74050,525,1831,33,153,0,0,33,153,70,144,0,0,0,0,0,0,0,0,69,149,0,0,23,39,0,0,0,0,23,36,20,43,672,2208,106,..,778,2208
LGA74550,529,2110,87,289,9,19,91,304,4,5,0,0,0,0,0,0,0,0,4,5,225,489,10,18,11,27,3,0,245,532,136,222,1003,3172,171,..,1181,3172
LGA74560,188,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,17,0,0,0,0,0,0,10,17,0,0,197,403,89,..,286,403
LGA74660,1059,5473,136,356,8,32,141,387,34,63,0,0,0,0,0,0,0,8,41,78,304,684,4,18,138,269,4,4,452,976,99,176,1797,7087,393,..,2188,7087
LGA74680,427,2416,83,386,0,0,83,386,0,14,0,0,0,0,0,0,0,0,0,13,0,0,6,17,3,44,0,0,13,60,9,13,541,2884,150,..,691,2884
LGA79399,1875,5114,405,602,0,3,407,608,243,378,24,44,0,0,0,0,0,0,267,421,457,972,83,150,88,169,3,6,633,1303,175,317,3352,7758,780,..,4131,7758
LGA79799,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,6,6,0,3,7,12,0,..,7,12
LGA89399,109097,310652,14320,28121,15823,36415,30145,64537,6015,10877,8201,15003,13663,23839,6695,11796,519,1036,35098,62550,64,103,239,381,58,59,15,31,367,569,275,553,174972,438857,11988,..,186963,438857
LGA89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
LGA99399,1077,2338,10,21,4,3,14,19,8,16,0,0,0,0,0,0,8,12,19,30,0,0,3,9,6,3,0,6,5,15,21,33,1143,2433,195,..,1340,2433
LGA99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
