LGA_CODE_2021,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2m_sty_Dw,sd_rw_tce_hs_th_wth_2m_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_8_stry_blck_D,Flt_apart_In_4_8_stry_blck_P,Flt_apart_In_9m_stry_blck_D,Flt_apart_In_9m_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
LGA15240,34771,82434,3026,4864,695,1316,3720,6176,1991,2997,508,767,425,717,107,187,28,59,3070,4732,320,518,404,616,22,48,142,266,892,1447,183,288,42636,95085,7715,..,50346,95085
LGA15270,9506,23831,655,1090,21,42,678,1134,83,114,12,13,0,0,0,3,0,0,92,130,54,72,95,155,3,8,34,56,195,287,30,53,10502,25442,1704,..,12207,25442
LGA15300,4310,11230,516,895,86,138,600,1033,114,181,0,0,0,0,0,0,3,0,118,184,112,191,31,43,3,0,19,36,164,281,97,156,5288,12884,906,..,6196,12884
LGA15350,4114,12460,773,1984,652,1539,1428,3524,1395,2821,2954,5110,1198,2025,619,974,68,126,6236,11052,0,0,10,19,0,0,104,204,114,226,33,47,11921,27313,1472,..,13399,27313
LGA15520,4653,11314,430,655,19,34,448,684,38,50,0,0,0,0,0,0,0,0,38,50,36,77,67,89,0,0,11,25,116,194,48,86,5304,12333,929,..,6230,12333
LGA15560,1332,3082,26,29,0,0,25,34,56,67,0,0,0,0,0,0,0,0,56,67,4,10,4,6,0,0,12,22,24,40,8,18,1446,3242,191,..,1643,3242
LGA15650,5626,14573,520,808,186,267,704,1083,49,75,13,27,0,0,0,0,3,5,65,105,38,56,9,5,0,0,14,18,59,88,38,60,6498,15906,805,..,7298,15906
LGA15700,7619,17949,392,670,188,311,580,985,278,471,127,184,35,47,0,5,18,44,454,744,137,249,174,267,7,14,49,94,372,623,77,121,9103,20414,894,..,9999,20414
LGA15750,4611,11679,416,590,46,68,467,659,39,52,0,0,0,0,0,0,0,0,38,53,72,112,21,32,14,18,4,9,112,173,22,50,5243,12620,715,..,5960,12620
LGA15800,2199,5214,50,75,6,0,52,80,64,91,6,0,0,0,0,0,0,0,62,90,12,17,0,0,0,3,13,28,26,55,15,29,2353,5466,326,..,2679,5466
LGA15850,2321,5875,98,132,6,7,100,143,51,78,0,0,0,0,0,0,0,0,51,78,29,47,0,0,0,3,9,11,31,60,15,35,2523,6193,317,..,2835,6193
LGA15900,46814,122054,4748,8452,6502,13568,11248,22021,3826,5963,2586,4192,2078,3477,1480,2397,326,657,10297,16678,21,36,27,26,22,17,237,434,305,522,154,242,68811,161514,5531,..,74342,161514
LGA15950,3703,10277,1207,2893,3044,7158,4250,10054,3740,7390,7403,13344,6186,10767,8312,14587,29,59,25672,46148,0,0,4,6,0,0,74,143,84,150,87,145,33794,66769,5201,..,38990,66769
LGA15990,55334,172422,2206,4531,6413,14669,8623,19200,7069,13854,14271,28517,8888,17222,1984,3784,563,1346,32767,64716,34,73,69,99,14,17,336,762,459,951,191,394,97369,257690,7647,..,105017,257690
LGA16100,2192,5218,97,153,0,3,98,153,16,20,19,24,0,0,0,0,0,0,33,41,14,23,3,3,4,5,0,0,18,31,7,17,2350,5459,470,..,2820,5459
LGA16150,14662,38211,1505,2366,234,398,1733,2764,578,854,62,103,0,0,0,0,17,31,658,984,31,39,3,5,0,0,42,77,71,124,61,129,17181,42209,1476,..,18657,42209
LGA16200,5219,12993,188,316,18,18,205,336,331,460,6,12,0,0,0,0,3,7,340,475,34,50,14,17,5,3,21,52,65,126,52,104,5889,14029,777,..,6662,14029
LGA16260,36867,113058,2795,6213,9949,28260,12751,34476,4518,8756,9495,21254,17046,39682,14771,33380,308,760,46139,103827,15,36,0,0,8,12,206,517,228,568,257,534,96232,252460,10326,..,106562,252460
LGA16350,59806,178102,2969,6246,6660,16314,9628,22561,1918,2994,1688,2853,2622,4640,884,1565,317,764,7432,12816,27,44,100,132,12,24,57,147,198,343,123,263,77183,214083,3973,..,81152,214083
LGA16380,27395,69436,3718,6224,1191,2386,4904,8607,1735,2698,640,1046,1032,1643,155,273,45,116,3613,5770,177,337,309,451,17,24,60,119,567,931,149,266,36631,85005,3321,..,39952,85005
LGA16400,24390,62800,2291,3871,1864,3876,4155,7753,368,559,242,388,459,787,0,0,66,140,1135,1877,230,318,331,583,22,24,42,76,614,1012,110,191,30415,73629,5236,..,35649,73629
LGA16490,17849,50290,1794,3361,1653,3347,3444,6713,1154,1835,603,1050,983,1715,79,132,32,73,2857,4807,38,63,3,3,18,22,46,97,101,193,57,98,24311,62094,2191,..,26503,62094
LGA16550,14129,43301,3493,9165,5428,15372,8920,24539,5790,11578,14383,27218,7584,14708,2302,4720,152,344,30214,58569,0,0,0,0,3,3,475,954,478,956,87,163,53835,127525,5939,..,59773,127525
LGA16610,8101,20601,655,1050,269,522,921,1575,352,540,9,11,0,0,0,5,22,33,380,592,222,371,99,172,16,21,31,61,367,624,47,82,9820,23473,852,..,10671,23473
LGA16700,20472,62501,2777,6724,4433,11163,7203,17887,1447,2489,6726,12428,7808,16449,6732,13549,155,346,22872,45265,8,15,0,0,0,3,128,255,138,272,112,188,50800,126115,4873,..,55669,126115
LGA16900,22630,63853,1921,3432,2179,4787,4099,8222,1066,1779,113,199,103,168,0,0,92,206,1381,2346,324,449,4,5,0,0,43,82,372,533,45,86,28517,75042,1346,..,29862,75042
LGA16950,39765,96374,2823,4677,937,1588,3761,6264,793,1250,33,51,11,20,0,0,126,247,972,1569,175,251,776,1173,77,100,70,152,1103,1676,302,452,45896,106345,12794,..,58692,106345
LGA17000,7892,22007,434,799,243,419,679,1218,264,395,0,0,0,0,0,0,4,0,265,400,68,89,50,89,9,7,10,29,143,217,19,35,8998,23871,808,..,9810,23871
LGA17040,7791,19208,240,428,245,602,482,1029,679,1625,115,302,16,27,0,0,32,62,839,2024,43,57,27,43,28,50,34,84,129,235,167,319,9417,22813,2550,..,11968,22813
LGA17080,5604,13478,397,569,8,15,404,579,72,91,6,5,0,0,0,0,3,5,77,101,24,34,34,47,5,15,19,38,83,129,52,89,6228,14384,807,..,7040,14384
LGA17100,5537,17914,142,353,716,2077,861,2423,1138,2466,2193,5365,4785,11961,1827,4599,8,25,9947,24419,0,0,0,0,0,0,97,271,97,271,84,145,16521,45172,1754,..,18273,45172
LGA17150,51517,157583,2759,5762,9210,21843,11967,27602,3871,6592,9064,16787,6636,12304,1845,3433,195,444,21610,39560,80,113,54,83,0,0,195,418,332,618,123,241,85555,225606,5361,..,90913,225606
LGA17200,2188,5929,3755,8031,15058,34968,18809,42997,2759,4559,9222,15226,31667,55344,38890,72658,82,184,82612,147973,0,3,0,0,65,64,584,1156,654,1228,524,794,104787,198928,18733,..,123516,198928
LGA17310,22047,56451,2026,3176,398,682,2422,3854,412,672,29,46,18,40,0,0,20,44,487,801,110,161,108,164,10,15,24,48,257,387,133,222,25341,61724,2298,..,27640,61724
LGA17350,2305,5524,150,199,8,14,159,209,13,13,0,0,0,0,0,0,0,0,13,13,15,26,0,4,0,0,23,45,42,71,12,16,2527,5835,376,..,2907,5835
LGA17400,3007,6394,35,61,0,0,35,61,88,118,0,0,0,6,0,0,0,0,84,125,39,68,19,22,16,26,8,15,85,128,19,41,3233,6752,713,..,3948,6752
LGA17420,49368,162186,862,1674,4557,12951,5425,14629,816,1569,1171,2623,2815,6017,1087,2364,208,509,6094,13080,7,13,0,0,0,0,13,27,16,40,121,287,61028,190219,3017,..,64041,190219
LGA17550,26302,69486,4515,8457,2994,6379,7507,14839,2225,3626,1735,3053,682,1176,654,1119,71,141,5378,9113,402,759,677,980,198,206,40,108,1322,2055,174,312,40683,95800,3892,..,44576,95800
LGA17620,5324,12997,395,673,33,45,424,719,42,67,0,0,0,0,0,0,0,0,42,74,21,29,43,65,8,11,12,19,80,123,21,44,5899,13953,850,..,6752,13953
LGA17640,3457,8252,60,88,4,13,69,101,13,17,0,0,0,0,0,0,0,12,18,28,18,20,6,4,4,3,4,22,32,49,18,48,3595,8477,983,..,4576,8477
LGA17650,2324,5682,59,89,0,0,59,89,20,22,0,0,0,0,0,0,0,5,19,28,12,23,10,11,3,3,9,28,37,60,4,8,2450,5867,299,..,2746,5867
LGA17750,22125,58585,1076,1684,240,414,1322,2095,2273,3489,120,161,53,61,3,6,29,57,2472,3777,41,62,29,52,15,13,69,169,156,293,82,121,26149,64871,2005,..,28151,64871
LGA17850,1238,2843,0,3,3,3,3,6,47,55,0,0,0,0,0,0,0,0,47,55,0,3,13,13,0,0,0,0,12,26,5,6,1310,2934,321,..,1629,2934
LGA17900,1758,4319,96,125,0,0,96,125,40,56,0,0,0,0,0,0,0,5,37,57,109,206,9,21,281,475,8,30,406,727,120,225,2421,5453,416,..,2839,5453
LGA17950,949,2326,51,63,4,6,49,71,17,21,0,0,0,0,0,0,0,0,17,21,4,11,5,4,0,0,0,4,6,17,14,36,1037,2460,180,..,1226,2460
LGA18020,3743,8705,52,72,7,7,57,78,71,97,0,0,0,0,0,0,3,3,74,100,52,59,8,13,4,14,12,28,75,117,39,94,3990,9100,721,..,4711,9100
LGA18050,4537,14441,2234,6086,2894,8508,5129,14596,3839,7809,8737,16609,3697,6734,2501,4672,38,102,18814,35931,0,0,0,0,5,4,492,965,501,976,65,96,29041,66037,3735,..,32775,66037
LGA18100,1497,3322,44,64,5,5,44,72,53,62,0,0,0,3,0,0,0,0,53,65,5,5,0,0,0,0,3,11,8,16,3,7,1611,3476,253,..,1864,3476
LGA18200,2650,6812,130,207,3,8,136,210,42,59,0,0,0,0,0,0,0,5,48,65,74,103,11,25,11,13,3,9,101,143,23,42,2952,7274,484,..,3437,7274
LGA18250,12565,38454,875,2272,1323,3559,2203,5829,1646,3358,3495,7495,3289,7207,5079,11074,66,179,13571,29314,0,0,0,0,5,4,79,161,85,167,47,73,28465,73845,2675,..,31141,73845
LGA18350,19253,48665,983,1501,364,631,1344,2132,414,698,22,46,0,0,0,3,57,125,497,866,51,64,84,103,8,11,47,101,185,286,40,77,21320,52026,2250,..,23571,52026
LGA18400,17026,51541,583,933,65,154,646,1089,102,144,4,9,0,0,0,0,62,163,172,324,3,6,78,86,9,4,37,69,120,169,43,91,18010,53213,894,..,18897,53213
LGA18450,56782,158172,4158,7606,6218,13321,10376,20932,6066,10635,3283,5565,4057,7369,2168,4118,317,737,15889,28432,49,83,255,377,12,10,332,687,639,1153,183,367,83868,209057,5460,..,89329,209057
LGA18500,5051,15298,694,1588,4047,9866,4741,11451,1990,3974,4881,9321,4327,7556,1553,2588,78,165,12822,23600,0,0,0,0,3,0,207,385,209,388,67,121,22894,50856,3655,..,26552,50856
LGA18710,5894,16224,200,323,20,42,219,366,90,124,0,0,0,0,0,0,8,17,98,143,17,27,3,0,0,0,6,6,27,45,46,83,6277,16851,531,..,6811,16851
LGA19399,342,901,5,3,32,56,32,63,4,0,0,0,0,0,0,0,13,19,10,21,19,48,7,20,5,6,0,0,29,79,54,114,467,1174,60,..,533,1174
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,..,0,5
LGA20110,5300,12227,271,427,37,70,304,493,55,106,0,4,0,0,0,0,8,15,62,124,48,82,12,15,4,3,20,45,79,145,32,72,5779,13062,1434,..,7211,13062
LGA20260,4443,10134,316,445,9,19,327,468,4,31,13,15,0,0,0,0,0,4,17,50,20,36,29,42,5,9,9,23,71,109,16,31,4867,10783,602,..,5470,10783
LGA20570,39408,97920,5131,8530,590,1111,5725,9639,1115,1607,87,132,4,4,0,0,16,31,1225,1765,48,86,78,108,31,36,53,120,213,344,90,174,46650,109849,3584,..,50233,109849
LGA20660,37038,99915,4418,7864,3609,8479,8028,16346,1964,3499,516,863,1002,1606,326,500,34,65,3849,6541,0,0,0,0,15,16,36,78,53,95,51,97,49024,123001,3941,..,52966,123001
LGA20740,16478,37067,717,1010,353,746,1075,1752,235,365,34,37,12,16,0,6,9,5,292,434,72,87,147,203,0,0,15,37,231,328,38,85,18102,39663,10831,..,28938,39663
LGA20830,20551,52882,902,1365,52,94,952,1461,639,958,0,0,0,0,0,0,6,16,648,972,22,38,335,460,9,5,13,23,374,527,34,63,22560,55905,1924,..,24485,55905
LGA20910,24333,69320,4650,8829,4257,10164,8906,18994,2263,3840,1434,2424,1652,2591,257,402,17,48,5625,9297,0,0,3,4,4,6,270,495,279,502,41,93,39190,98206,3871,..,43058,98206
LGA21010,5729,12969,636,890,3,8,636,892,7,6,0,0,0,0,0,0,0,0,6,5,34,47,17,24,0,0,13,34,66,107,19,37,6461,14007,737,..,7196,14007
LGA21110,35498,105161,7985,17055,4894,12446,12881,29501,5640,9967,5136,8609,4496,7502,662,1043,18,53,15959,27176,0,0,0,0,15,12,241,491,251,500,86,166,64668,162507,8147,..,72817,162507
LGA21180,54677,162128,5403,12657,4119,11225,9523,23881,2594,5255,144,236,189,305,96,148,63,136,3083,6083,0,0,52,63,47,47,64,157,166,272,71,154,67522,192523,4288,..,71808,192523
LGA21270,2591,5662,83,185,3,7,91,194,58,69,0,0,0,0,0,0,0,0,58,69,52,95,4,12,0,7,15,25,66,131,9,9,2813,6067,558,..,3375,6067
LGA21370,14313,34911,1308,1902,18,37,1330,1937,48,73,0,0,0,0,0,0,3,8,47,82,80,126,225,359,8,8,20,52,337,545,33,64,16057,37546,1726,..,17786,37546
LGA21450,37648,109764,2319,4089,854,1951,3174,6041,326,530,19,30,0,6,3,7,19,42,373,615,6,9,134,156,3,9,12,18,156,191,40,94,41387,116702,2122,..,43511,116702
LGA21610,106060,333819,7488,17209,3068,8162,10556,25371,957,1821,65,115,0,0,0,0,65,145,1086,2080,20,39,108,135,5,4,21,55,149,229,97,249,117951,361741,4629,..,122583,361741
LGA21670,5557,12190,404,549,22,32,424,588,68,89,0,0,0,0,0,0,0,0,72,93,74,105,0,4,5,3,47,91,124,204,25,39,6198,13110,790,..,6991,13110
LGA21750,8691,20599,661,912,61,113,719,1023,36,57,0,3,0,0,0,0,5,11,47,78,33,56,49,73,15,23,20,48,114,196,28,52,9593,21945,2808,..,12401,21945
LGA21830,6433,15035,250,355,13,27,269,384,12,20,0,0,0,0,0,0,0,0,12,20,13,26,4,5,6,15,14,29,36,74,15,33,6769,15549,1077,..,7848,15549
LGA21890,34623,93002,8961,17787,7927,17575,16896,35361,4753,7360,1547,2457,2984,4884,464,675,43,102,9785,15480,0,0,4,5,87,91,368,752,457,841,53,95,61810,144778,6442,..,68252,144778
LGA22110,19183,43725,1334,1947,136,258,1467,2209,189,280,11,10,0,0,0,0,3,9,204,295,184,267,217,329,19,36,29,63,451,697,84,167,21385,47093,4564,..,25948,47093
LGA22170,43969,116545,7216,11873,2334,4785,9546,16655,1058,1536,199,299,121,189,33,42,54,102,1467,2169,28,48,349,427,32,33,33,102,450,609,59,93,55490,136077,3280,..,58774,136077
LGA22250,4339,9852,209,282,0,4,213,286,10,14,0,0,0,0,0,0,0,0,10,14,81,104,22,40,0,0,9,18,108,164,27,43,4700,10360,613,..,5317,10360
LGA22310,28188,81483,8443,18111,5760,15434,14206,33544,10162,18028,3012,5288,3502,6038,397,625,40,96,17116,30080,0,0,0,0,0,0,220,443,224,446,65,127,59790,145687,6369,..,66162,145687
LGA22410,8025,18262,434,637,46,67,481,707,97,147,3,10,0,0,0,0,0,12,108,159,68,110,29,51,9,16,20,32,131,210,16,40,8766,19382,1373,..,10138,19382
LGA22490,8541,24279,100,192,0,5,98,195,5,6,0,0,0,0,0,0,5,10,7,17,8,11,6,3,5,12,6,12,21,38,8,18,8673,24548,729,..,9408,24548
LGA22620,44584,110611,3118,4839,480,919,3596,5755,465,724,19,48,0,0,0,0,13,15,499,793,114,174,63,98,50,62,49,91,267,424,108,224,49063,117806,3997,..,53055,117806
LGA22670,38385,118851,6163,13864,3574,10195,9736,24058,4761,9896,482,920,453,834,0,0,45,104,5738,11758,103,135,114,134,20,22,34,80,278,371,110,209,54254,155249,3802,..,58051,155249
LGA22750,92914,235628,9400,14984,2218,4450,11622,19432,2050,3198,196,297,346,531,151,257,26,39,2772,4319,129,184,465,645,38,40,158,356,783,1231,164,308,108252,260912,12334,..,120584,260912
LGA22830,23203,60834,2415,3963,109,220,2528,4189,53,78,21,19,4,3,0,0,5,11,89,114,333,445,198,272,44,53,250,375,828,1141,53,122,26699,66389,2104,..,28800,66389
LGA22910,7017,15469,158,249,46,75,207,325,114,136,0,0,0,0,0,0,3,11,118,149,43,62,14,26,12,15,36,69,107,167,19,47,7469,16164,2008,..,9477,16164
LGA22980,2354,5254,77,104,7,7,82,115,29,32,0,0,0,0,0,0,0,0,29,32,14,20,5,5,3,6,12,16,28,45,10,12,2498,5466,587,..,3092,5466
LGA23110,24873,65781,3738,7277,4890,12237,8621,19515,1624,2704,303,471,423,669,159,247,20,41,2528,4128,0,0,0,0,3,5,73,147,81,152,53,88,36149,89667,3132,..,39287,89667
LGA23190,7810,18668,387,521,6,11,397,532,410,553,0,0,0,0,0,0,0,6,408,554,35,51,19,35,3,6,5,15,69,117,11,16,8694,19892,910,..,9607,19892
LGA23270,69279,218797,4290,9637,3096,7944,7390,17581,2268,4781,4,7,158,325,0,0,54,111,2479,5223,62,66,84,91,25,27,12,26,175,210,83,209,79413,242027,4513,..,83928,242027
LGA23350,6589,15953,258,374,3,4,255,377,41,52,0,0,0,0,0,3,0,7,43,62,51,87,4,15,7,11,33,75,105,186,35,83,7038,16658,690,..,7727,16658
LGA23430,36711,103543,9713,18709,6357,15498,16070,34209,6868,12143,1021,1714,1338,2139,367,606,18,51,9616,16650,40,47,186,223,3,3,144,235,376,517,52,96,62830,155010,4731,..,67560,155010
LGA23670,48988,136854,5209,9543,3039,7090,8254,16640,711,1172,409,645,274,435,182,277,66,152,1643,2683,0,0,0,0,3,7,50,98,58,101,40,77,58979,156345,2973,..,61956,156345
LGA23810,28498,69000,1852,2519,168,322,2020,2840,1889,2625,0,0,0,0,0,0,10,15,1898,2644,79,94,102,155,19,28,9,26,207,305,46,74,32665,74865,2961,..,35620,74865
LGA23940,3232,7215,95,151,0,0,96,157,3,6,0,0,0,0,0,0,0,0,3,6,48,80,19,21,6,4,20,47,91,146,15,31,3435,7552,872,..,4305,7552
LGA24130,17702,48059,997,1627,61,122,1057,1752,35,70,19,32,0,0,0,0,15,26,62,132,18,25,62,150,8,15,35,62,122,250,21,46,18960,50234,1648,..,20601,50234
LGA24210,32839,93651,2976,5999,4655,12720,7630,18725,1476,2940,699,1264,1592,2920,1387,2562,21,67,5180,9747,12,18,3,7,0,0,10,26,27,57,40,106,45720,122287,4165,..,49886,122287
LGA24250,4047,9260,143,221,5,6,142,230,17,33,0,0,0,0,0,0,0,6,16,45,23,31,25,54,5,12,0,0,59,98,15,32,4276,9667,2300,..,6578,9667
LGA24330,17263,46970,2751,5404,5790,14457,8535,19865,3188,5563,1920,3305,2577,4210,1647,2653,50,118,9379,15847,10,12,32,43,0,0,198,419,242,480,57,95,35472,83254,4955,..,40427,83254
LGA24410,38399,101142,2610,4837,1273,2850,3879,7688,442,842,649,1043,602,995,73,125,29,67,1803,3075,0,0,0,0,15,16,22,49,34,66,50,96,44163,112065,2705,..,46870,112065
LGA24600,1638,4172,2439,5244,5987,14395,8420,19640,1992,3586,4642,7984,10383,17686,49285,85899,8,20,66308,115182,0,0,15,12,134,130,141,280,280,428,314,488,76969,139904,26071,..,103040,139904
LGA24650,52184,164133,3242,6652,1435,3808,4674,10457,193,381,78,133,174,319,0,0,23,57,465,885,65,79,67,75,7,7,17,54,158,220,60,161,57535,175865,2803,..,60338,175865
LGA24780,19403,49797,1767,2855,84,151,1854,3007,1257,1906,32,34,0,0,0,0,8,5,1293,1952,255,436,239,468,17,30,27,54,548,994,78,139,23170,55890,2125,..,25294,55890
LGA24850,16798,46072,1048,1684,132,278,1174,1963,33,53,0,0,0,0,0,0,10,25,42,81,55,87,34,41,17,15,14,35,120,178,30,58,18168,48346,1390,..,19560,48346
LGA24900,11462,27383,956,1387,37,76,990,1463,22,38,0,0,0,0,0,0,3,6,30,47,105,195,146,226,19,28,14,26,286,470,21,52,12793,29416,2115,..,14907,29416
LGA24970,47319,134152,5515,12531,5482,15481,10996,28011,6348,14126,1124,1996,2235,3750,1086,2006,45,79,10844,21960,0,0,0,3,13,10,36,85,45,93,67,121,69265,184334,6914,..,76177,184334
LGA25060,27118,75051,4389,9084,6148,14795,10532,23884,3742,6522,3015,4811,3846,6138,1202,2345,20,34,11839,19848,0,0,0,0,4,3,160,330,168,335,39,77,49697,119194,5358,..,55057,119194
LGA25150,13064,35105,758,1202,130,268,890,1465,55,60,0,0,21,26,0,0,16,35,94,120,30,54,33,53,9,19,17,29,84,155,17,37,14150,36874,1307,..,15453,36874
LGA25250,37329,102067,7887,15617,11638,27365,19523,42987,4897,8263,1825,3036,5339,8443,1172,1821,48,132,13283,21688,0,4,0,0,89,91,319,724,407,816,89,199,70629,167760,7597,..,78226,167760
LGA25340,58881,146977,5581,8950,1866,3879,7449,12829,1757,2818,146,232,43,76,0,3,51,93,2001,3213,68,123,428,590,58,62,34,63,589,836,63,113,68977,163970,24525,..,93502,163970
LGA25430,8564,18740,257,343,14,31,273,375,14,14,0,0,0,0,0,0,3,8,20,23,29,44,3,3,5,7,24,57,59,108,19,24,8937,19268,1194,..,10124,19268
LGA25490,6640,16556,164,265,35,59,194,318,8,14,0,0,0,0,0,0,0,0,10,20,30,37,11,16,8,10,10,11,52,77,9,17,6908,16986,1625,..,8529,16986
LGA25620,6321,14507,116,167,5,3,121,173,8,8,0,0,0,0,0,0,0,8,9,16,55,80,100,140,11,11,13,15,171,248,26,37,6639,14985,1679,..,8321,14985
LGA25710,19978,58688,310,539,437,983,747,1518,547,984,45,59,29,46,0,0,19,29,642,1120,0,6,3,0,6,5,3,10,18,27,13,32,21392,61386,999,..,22389,61386
LGA25810,4867,10803,160,230,0,4,168,232,159,215,0,0,0,0,0,0,0,0,157,212,86,133,4,3,3,3,12,33,108,175,13,24,5307,11447,871,..,6174,11447
LGA25900,4400,11943,6240,14396,5720,13795,11961,28194,7089,11685,12001,18955,6627,10628,9221,15397,44,93,34983,56763,0,0,0,0,34,38,617,999,656,1034,110,162,52106,98099,11066,..,63174,98099
LGA25990,3144,7053,29,35,3,11,33,47,3,3,0,0,0,0,0,0,0,0,9,4,17,21,20,26,0,8,4,11,45,72,8,13,3232,7189,692,..,3928,7189
LGA26080,1493,3081,77,109,30,53,104,162,33,44,0,0,0,0,0,0,0,4,36,50,0,0,12,30,0,0,5,11,18,39,4,4,1658,3335,1243,..,2898,3335
LGA26170,12370,29104,326,445,32,60,357,505,111,130,0,0,0,0,0,0,5,4,112,133,37,46,44,63,10,15,35,63,116,181,18,24,12972,29950,4148,..,17114,29950
LGA26260,6728,15304,311,434,9,14,319,453,107,132,0,0,0,0,0,0,4,6,114,139,34,46,20,30,4,9,10,27,62,106,13,20,7234,16019,1021,..,8258,16019
LGA26350,13190,37146,4889,10203,4409,10069,9299,20277,5975,10344,8879,13993,6337,9819,5509,8543,15,34,26719,42739,0,0,0,0,6,7,374,610,383,619,72,146,49657,100920,9851,..,59509,100920
LGA26430,4860,10651,197,287,9,5,202,293,16,19,0,0,0,0,0,0,0,0,12,16,26,39,49,67,9,13,7,28,88,142,3,4,5170,11113,978,..,6143,11113
LGA26490,13329,34949,397,652,434,914,833,1571,41,63,43,80,13,25,0,0,0,4,101,159,44,95,32,72,4,4,9,16,91,188,30,61,14380,36920,6255,..,20634,36920
LGA26610,7263,18874,424,672,17,38,442,712,439,703,7,10,0,0,0,3,3,4,449,720,125,250,85,160,41,48,29,59,284,519,66,138,8505,20965,1006,..,9510,20965
LGA26670,2536,5715,38,55,0,0,38,55,18,19,0,0,0,0,0,0,0,0,19,17,15,17,6,13,0,10,6,16,31,49,0,7,2630,5849,481,..,3106,5849
LGA26700,11158,26936,1178,1642,80,126,1259,1773,5,6,0,0,0,0,0,0,3,4,11,12,44,66,29,35,16,15,18,41,102,156,16,33,12547,28906,1100,..,13644,28906
LGA26730,12153,30196,1321,2019,366,679,1685,2696,621,881,52,71,0,0,0,0,3,7,673,960,55,84,112,199,9,9,32,75,202,359,20,53,14738,34264,1230,..,15963,34264
LGA26810,17211,40921,567,900,117,161,681,1057,668,892,27,52,0,0,0,6,9,23,709,973,105,144,81,130,18,21,35,68,243,361,49,87,18888,43406,4612,..,23503,43406
LGA26890,1735,3797,27,35,0,6,29,41,25,26,0,0,0,0,0,0,0,0,25,26,0,3,3,8,0,0,3,5,8,15,5,10,1803,3888,443,..,2243,3888
LGA26980,41662,116548,10279,20449,5494,14235,15771,34688,1986,3773,1525,2633,2270,3744,1751,3227,60,140,7585,13520,0,0,0,0,3,3,31,66,30,69,57,116,65112,164942,6413,..,71521,164942
LGA27070,67711,202159,4678,10476,3946,9627,8621,20106,1261,2691,520,798,537,843,0,0,34,78,2359,4410,4,5,0,3,22,24,21,57,50,90,57,106,78791,226864,4140,..,82933,226864
LGA27170,15087,38539,1481,2156,99,189,1578,2345,297,421,0,0,0,0,0,0,3,8,303,432,52,66,11,12,18,16,16,33,98,134,25,55,17094,41502,1091,..,18185,41502
LGA27260,82853,263130,6136,15386,2806,7101,8939,22484,1630,3089,22,42,531,837,0,0,26,57,2214,4028,50,70,67,89,14,20,8,28,135,207,64,158,94206,290006,6120,..,100326,290006
LGA27350,5233,13517,8929,20032,6798,16125,15730,36156,3346,5452,4869,7872,7147,11589,5976,10961,34,76,21373,35948,0,0,0,0,40,42,367,760,414,805,61,108,42807,86535,7151,..,49966,86535
LGA27450,54125,146603,2172,3434,878,1703,3049,5139,260,405,11,19,0,0,0,0,54,108,336,536,86,115,148,189,6,7,37,79,272,388,80,163,57857,152825,3632,..,61491,152825
LGA27630,2802,6095,60,71,0,0,60,71,16,28,0,0,0,0,0,0,4,3,23,27,20,34,0,0,4,11,25,37,46,85,0,6,2929,6280,655,..,3586,6280
LGA29399,144,382,7,17,21,54,29,73,102,263,94,275,76,179,29,70,0,0,303,799,0,0,0,0,0,0,0,4,5,10,39,88,514,1349,319,..,831,1349
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
LGA30250,220,1002,7,16,0,0,7,16,13,29,0,0,0,0,0,0,0,0,13,29,0,0,0,0,0,0,0,0,0,0,6,0,253,1050,85,..,337,1050
LGA30300,1527,3728,144,306,6,5,146,313,26,39,0,0,0,0,0,0,0,0,26,39,114,227,48,80,10,22,0,0,175,327,29,57,1900,4454,362,..,2262,4454
