LGA_CODE_2021,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr_over,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85ov,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr_over,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
LGA57000,0,0,0,0,0,3,6,11,0,14,0,0,0,0,0,0,0,0,0,0,13,16,70,93,69,69,31,3,4,373,15,51,196,221,194,190,81,31,11,992
LGA57080,5,7,21,16,26,29,59,56,31,258,0,12,37,28,8,13,18,6,10,125,158,444,1128,838,647,551,431,239,99,4530,1245,3799,9054,5426,3393,3058,2280,1111,382,29757
LGA57140,4,0,3,3,0,3,13,14,3,43,0,0,0,0,0,0,0,0,0,0,0,3,4,8,14,14,11,18,6,77,20,46,87,96,116,179,157,97,26,816
LGA57210,6,3,4,5,9,10,43,30,21,141,3,6,15,10,11,4,0,0,0,53,27,16,40,72,71,84,73,54,37,476,158,188,459,556,735,854,788,323,116,4178
LGA57280,5,8,18,31,42,50,48,31,8,244,0,0,7,15,20,12,10,6,9,74,134,216,813,766,684,538,200,47,13,3410,473,940,3663,3454,2690,2164,853,206,35,14473
LGA57350,0,0,0,0,0,0,13,16,7,40,0,0,0,0,0,0,0,0,0,0,8,9,27,20,44,42,53,16,11,218,19,18,93,76,120,152,171,87,40,772
LGA57420,0,0,0,0,3,6,14,22,10,53,0,0,0,0,0,0,0,0,0,5,6,23,63,51,70,56,24,13,5,308,41,140,455,343,416,414,234,119,30,2185
LGA57490,40,36,76,125,166,290,534,601,324,2185,6,10,27,48,66,52,57,47,21,319,354,503,1036,856,686,559,582,660,423,5661,4058,7792,17540,17468,16925,14657,10417,6039,2055,96960
LGA57630,0,0,0,0,0,3,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,11,39,23,27,23,5,9,0,137,6,20,46,29,40,73,47,22,0,274
LGA57700,11,10,17,26,37,61,101,121,49,426,0,3,6,15,18,13,9,14,3,82,55,55,163,159,156,124,102,77,33,922,922,1669,4650,4550,3849,3205,2062,929,254,22086
LGA57770,0,0,0,0,6,11,28,24,4,80,0,0,0,0,0,0,0,0,0,4,10,22,46,55,58,108,111,48,6,465,27,86,333,295,316,625,659,216,14,2582
LGA57840,12,0,23,26,29,56,99,132,123,498,3,0,20,19,27,30,33,23,9,158,55,131,286,208,178,197,251,313,393,2016,1118,3430,6364,5621,5141,5003,4595,2464,1234,34968
LGA57910,25,41,237,332,428,601,1149,1800,1248,5863,10,21,196,286,300,330,303,293,249,1983,375,604,1794,1536,1086,876,998,1000,750,9013,4585,13156,36122,33904,27446,23486,19517,12395,5769,176384
LGA57980,0,0,7,14,8,15,24,27,45,138,0,0,0,5,3,0,11,4,0,19,26,45,127,122,104,86,137,138,84,862,315,1007,2585,2409,2124,1948,1872,1152,432,13839
LGA58050,44,42,196,310,369,483,744,718,368,3280,13,20,137,223,243,223,176,112,68,1220,383,418,1077,1006,875,684,657,499,339,5925,4345,9424,22569,22273,19065,16143,10682,5191,1763,111459
LGA58190,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,4,3,0,11,12,3,4,0,47,9,13,42,36,61,70,34,27,9,294
LGA58260,0,0,0,3,0,0,4,7,3,15,0,0,0,0,0,0,0,0,0,4,0,5,17,21,12,18,5,8,0,93,7,19,67,92,79,90,75,45,6,487
LGA58330,0,0,3,9,13,20,37,33,24,128,0,0,0,0,3,0,0,0,0,0,18,11,43,39,70,114,83,59,12,444,97,138,324,401,616,882,789,346,69,3656
LGA58400,0,0,0,0,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,9,0,5,8,7,8,0,32,5,8,36,17,38,55,53,23,0,241
LGA58470,0,0,0,5,0,7,5,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,13,5,0,24,7,7,23,37,41,62,68,14,0,259
LGA58510,11,5,19,31,30,53,121,178,168,606,0,6,19,30,36,50,20,33,19,211,85,205,491,386,326,286,260,340,409,2775,854,3025,7553,5913,4369,3737,2845,1660,1039,30994
LGA58540,0,0,0,0,0,4,5,9,0,19,0,0,0,0,0,0,0,0,0,3,5,0,7,10,14,16,20,9,0,86,16,25,68,100,107,149,111,48,12,634
LGA58570,0,7,16,17,28,43,124,220,224,688,0,9,17,8,13,33,23,54,73,229,34,136,475,290,199,184,133,138,78,1669,578,2476,7887,6092,4545,3703,2430,1185,640,29523
LGA58610,0,0,3,0,3,7,8,17,12,50,0,0,0,0,0,4,0,0,0,3,10,6,23,16,22,20,25,13,0,149,45,59,160,180,193,251,261,148,46,1340
LGA58680,0,0,0,0,0,0,4,9,0,18,0,0,0,0,0,0,0,0,0,3,10,5,7,12,13,16,14,8,0,88,15,20,36,55,95,82,75,44,9,437
LGA58760,46,44,205,366,453,574,820,846,431,3800,7,32,158,313,387,376,263,138,85,1761,447,452,1014,1051,899,691,670,733,504,6454,6152,13021,27989,29867,27389,20750,14317,7592,2571,149649
LGA58820,0,0,0,3,3,20,42,61,28,158,0,0,0,0,0,0,0,4,4,12,16,17,30,38,59,40,38,53,31,324,127,168,351,475,575,640,565,289,98,3294
LGA58890,0,0,0,0,6,0,6,6,7,19,0,0,0,0,0,0,0,0,0,4,0,5,8,18,16,16,8,5,3,72,11,33,58,77,120,142,103,47,24,610
LGA59030,0,0,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,17,20,20,16,3,0,0,83,0,18,50,65,69,79,38,18,8,349
LGA59100,0,0,0,0,0,0,4,4,5,11,0,0,0,0,0,0,0,0,0,0,0,7,16,9,18,31,9,11,3,103,16,26,70,63,76,124,76,51,11,521
LGA59170,0,0,0,0,0,0,4,10,3,13,0,0,0,0,0,0,0,0,0,4,0,4,13,17,13,12,12,12,4,80,15,33,112,151,111,153,106,68,17,757
LGA59250,0,0,0,0,7,3,10,4,0,21,0,0,0,0,0,0,0,0,0,0,11,41,150,110,106,53,27,0,0,488,22,103,343,259,257,145,66,9,0,1205
LGA59310,0,0,3,4,0,0,3,14,4,29,0,0,0,0,0,0,0,0,0,0,4,8,12,19,12,14,17,8,0,86,37,55,143,167,153,189,184,78,20,1025
LGA59320,0,0,0,0,0,0,6,6,0,11,0,0,0,0,0,0,0,0,0,0,0,0,4,9,9,6,10,5,0,38,5,22,42,49,50,81,58,16,0,326
LGA59330,0,0,0,0,0,0,4,10,0,16,0,0,0,0,0,0,0,0,0,0,0,3,5,8,5,0,8,10,4,56,8,26,49,45,55,72,74,57,8,393
LGA59340,21,7,20,30,34,63,59,42,3,279,5,0,0,4,9,11,19,8,0,49,79,106,307,259,278,242,160,40,17,1487,283,566,1747,1559,1499,1695,1237,237,33,8865
LGA59350,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,42,176,109,123,81,30,10,0,571,6,68,300,181,211,165,70,21,4,1030
LGA59360,0,0,0,6,3,9,10,12,4,58,0,0,0,0,0,0,0,0,0,0,0,33,104,109,109,95,28,9,0,478,12,98,346,333,373,365,167,52,20,1769
LGA59370,0,0,0,7,0,13,34,47,24,115,0,0,0,0,0,0,0,0,0,3,12,8,26,23,39,64,49,58,29,298,65,87,252,338,374,620,652,372,106,2868
LGA59799,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10,44,223,434,399,218,49,8,0,1387,20,116,521,957,893,533,176,32,0,3245
LGA60210,0,0,0,10,18,37,69,66,46,244,0,0,0,0,0,3,3,0,0,14,27,17,45,48,70,128,119,79,30,561,110,219,511,638,853,1382,1340,639,156,5846
LGA60410,9,12,27,29,47,88,138,124,61,536,0,3,3,4,7,7,6,3,6,39,71,76,154,137,116,110,146,90,17,924,586,1238,2755,2393,2325,2049,1697,725,178,13959
LGA60610,9,9,26,24,47,78,156,185,163,698,0,0,11,8,13,9,17,8,6,71,68,63,136,131,191,141,144,136,77,1086,581,1231,2611,2256,2567,2574,2040,1203,463,15524
LGA60810,4,11,5,25,42,94,210,228,229,838,0,0,4,7,3,4,9,3,0,35,64,58,108,127,131,147,209,189,71,1106,531,1068,2280,2298,2850,3482,3023,1791,635,17951
LGA61010,4,0,5,3,6,21,34,30,10,108,0,0,0,0,0,3,3,0,0,11,14,15,17,32,25,54,53,24,4,238,57,110,255,276,312,488,426,172,22,2125
LGA61210,0,4,4,6,8,48,67,70,72,281,0,0,4,0,0,3,0,0,0,15,32,30,105,103,67,96,110,74,24,637,205,401,1043,891,1003,1194,958,474,164,6324
LGA61410,21,20,60,57,69,127,239,322,288,1202,4,9,26,23,31,29,30,26,7,179,111,142,371,309,226,238,309,308,190,2206,1244,3227,8590,7852,7330,7586,6720,4010,1628,48187
LGA61510,3,4,6,13,21,56,92,103,61,371,3,0,11,4,6,10,6,0,3,39,47,42,83,84,106,88,87,60,23,613,340,621,1243,1355,1460,1567,1216,613,196,8609
LGA61610,10,19,32,32,41,85,177,237,219,854,0,7,20,5,14,19,11,6,6,88,48,60,202,118,137,189,221,234,132,1333,678,1397,3397,2801,3228,3320,3112,1938,722,20605
LGA61810,0,0,0,6,11,31,45,54,50,210,0,0,0,0,0,5,0,5,0,7,24,14,41,49,40,85,86,87,74,506,158,305,710,661,810,1129,966,519,214,5469
LGA62010,0,0,0,0,0,3,11,9,3,27,0,0,0,0,0,0,0,0,0,0,0,3,4,12,5,13,13,14,5,66,17,17,66,97,110,167,195,101,24,800
LGA62210,3,10,8,4,6,37,84,75,44,259,0,0,0,0,0,0,6,6,6,24,33,10,50,53,65,57,76,69,25,443,189,303,702,702,857,1131,1077,513,159,5627
LGA62410,0,3,0,0,9,17,53,45,36,170,0,0,0,4,4,0,0,6,4,9,6,21,71,45,32,69,80,49,20,404,86,164,580,496,605,1006,1017,483,137,4576
LGA62610,25,24,94,100,116,177,292,451,371,1649,4,9,51,67,111,91,74,39,23,460,119,120,466,308,248,276,320,354,172,2380,1108,3064,9632,6540,5582,5734,4519,2919,1193,40293
LGA62810,9,11,41,32,38,81,124,213,205,750,3,5,53,25,25,19,28,22,9,202,104,203,613,365,336,349,360,278,207,2806,1134,4253,10948,7174,6836,6461,5758,3085,1390,47032
LGA63010,9,9,11,17,25,68,125,90,71,424,5,0,3,5,9,10,5,7,0,46,51,54,130,119,153,201,207,138,80,1123,428,783,1817,2123,2385,2920,2521,1107,325,14410
LGA63210,3,0,8,7,9,35,62,67,39,229,0,4,0,0,0,3,0,0,3,18,34,26,81,65,73,86,79,54,17,512,170,294,717,732,949,1219,893,421,110,5505
LGA63410,0,0,0,0,8,0,7,17,7,43,0,0,0,0,0,0,0,5,0,5,4,3,28,33,15,17,23,19,0,141,19,51,198,211,178,222,224,111,36,1246
LGA63610,15,6,18,17,22,73,132,182,116,582,0,3,31,11,6,6,11,6,0,76,37,51,146,141,132,128,172,151,82,1042,797,1903,4916,5165,5078,4852,4511,2453,796,30475
LGA63810,3,0,13,3,18,25,108,100,82,349,0,4,3,4,0,0,7,5,0,22,23,26,50,60,77,86,122,105,46,596,266,553,1234,1215,1533,1755,1869,1026,341,9788
LGA64010,19,43,138,150,149,238,411,488,443,2080,4,20,91,120,157,97,54,59,19,614,208,364,650,415,433,460,464,475,276,3746,1770,4833,10944,8455,8648,8201,6994,4296,1774,55930
LGA64210,10,3,16,10,27,60,158,161,143,587,0,0,5,6,10,3,6,9,3,47,41,35,108,97,115,139,161,164,73,924,453,1001,2197,2241,2692,3001,2725,1541,500,16353
LGA64610,4,0,9,15,15,42,115,120,64,387,0,0,6,3,0,3,0,7,9,34,31,29,57,70,113,119,132,127,61,745,347,653,1576,1372,1742,1996,1882,970,293,10839
LGA64810,4,0,7,3,18,52,125,97,80,393,0,0,0,4,3,5,5,3,8,24,52,39,113,134,101,131,141,95,36,838,397,806,2162,2034,1989,2441,1989,918,296,13038
LGA65010,6,0,5,3,16,45,64,61,26,230,0,0,0,0,3,5,3,0,0,15,38,35,62,50,79,80,69,36,16,455,207,363,759,741,907,1054,789,363,81,5267
LGA65210,0,0,5,3,10,9,35,23,15,82,0,0,0,0,0,0,0,0,3,6,8,3,18,28,28,40,41,25,14,209,53,65,198,242,316,549,532,225,57,2238
LGA65410,3,0,6,18,26,58,141,152,116,513,0,0,7,6,16,12,8,0,0,58,44,41,85,88,114,129,157,123,50,839,313,657,1369,1523,1793,2175,1995,1163,345,11335
LGA65610,3,0,5,7,7,23,51,32,17,151,0,0,0,0,0,0,0,4,0,12,19,30,73,59,74,91,74,43,17,471,95,214,592,527,685,785,603,251,53,3795
LGA65810,5,5,17,14,26,82,141,170,120,571,0,0,12,12,10,10,8,9,8,70,48,46,133,106,116,159,192,188,118,1104,568,1132,2654,2744,3197,3617,3225,1800,572,19518
LGA69799,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,25,25,31,25,7,0,0,112,3,15,62,80,90,75,33,3,0,360
LGA70200,49,44,100,120,136,146,205,106,36,942,3,10,31,41,50,53,52,25,22,280,138,148,489,423,405,469,388,101,34,2590,734,1391,5148,4322,3615,3741,2560,754,183,22451
LGA70420,39,37,112,113,106,86,95,35,9,626,0,6,13,22,37,47,31,22,8,179,46,55,175,102,118,135,117,28,4,781,352,534,1262,925,856,952,778,180,20,5854
LGA70540,3,0,0,0,0,3,5,0,0,11,0,3,0,0,0,0,0,0,0,6,0,0,0,6,3,0,0,0,0,15,14,11,25,20,14,25,5,0,0,127
LGA70620,66,41,65,91,63,50,44,5,0,422,6,3,17,19,20,45,42,30,11,195,23,52,190,126,146,87,38,10,0,662,222,377,872,668,610,481,247,70,16,3562
LGA70700,0,0,0,10,5,15,28,9,0,65,0,0,0,0,0,3,4,0,0,12,16,17,66,43,67,116,112,23,4,472,41,63,190,197,278,493,483,107,9,1868
LGA71000,37,21,112,152,264,337,528,430,139,2014,0,16,58,70,84,110,122,76,36,572,352,617,1758,1301,1242,1220,922,356,110,7871,1805,5371,16779,13554,11253,10352,7783,2916,612,70426
LGA71150,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,12,13,27,32,23,3,0,119,3,15,125,96,107,137,93,30,0,602
LGA71300,126,112,199,178,152,124,70,15,3,980,26,16,23,38,40,19,15,6,3,190,68,97,249,197,196,157,47,5,0,1020,656,942,1750,1458,1180,854,337,75,12,7275
LGA72200,9,7,29,38,44,61,99,53,15,348,0,0,9,14,12,15,22,5,4,85,106,113,319,276,294,305,197,58,20,1699,315,724,2043,1568,1431,1615,1192,327,50,9270
LGA72300,11,15,41,57,75,111,184,116,24,627,9,9,20,16,22,20,21,11,0,132,143,225,631,595,625,562,487,144,24,3443,722,1692,3755,3758,3987,3806,2940,854,122,21626
LGA72330,64,71,192,207,210,136,89,23,6,998,3,9,17,29,18,27,33,13,4,157,29,47,162,94,107,95,81,25,0,643,304,561,1258,1015,891,791,560,118,14,5512
LGA72800,16,8,39,79,92,136,168,109,40,684,0,3,18,20,32,34,34,15,7,156,168,227,618,521,390,295,174,87,34,2519,1038,2447,6741,5905,4473,3148,1794,586,166,26301
LGA73600,42,55,88,50,64,79,93,43,4,517,3,14,9,16,25,21,35,19,8,154,61,174,336,259,262,268,206,42,0,1614,430,805,1631,1264,1199,1335,1181,209,12,8062
LGA74050,14,11,10,11,10,9,13,9,0,81,0,0,0,0,5,3,0,0,0,10,22,10,31,29,33,26,13,6,0,166,126,165,416,364,351,240,98,15,0,1772
LGA74550,17,15,32,21,29,37,34,10,0,200,0,0,0,0,3,8,30,17,4,60,56,48,64,33,64,65,60,13,0,395,249,310,603,368,424,480,450,88,14,2983
LGA74560,0,0,0,0,0,0,10,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,9,4,0,26,3,0,15,43,70,97,87,27,3,349
LGA74660,22,32,52,48,78,51,30,8,0,323,3,9,3,6,4,9,14,10,0,59,34,64,215,165,166,185,142,30,0,1008,351,628,1534,1143,995,958,534,103,4,6245
LGA74680,32,28,28,22,15,18,4,5,0,171,13,16,20,18,12,12,6,3,0,98,16,22,32,30,25,16,5,0,3,150,263,268,566,421,286,198,67,19,7,2109
LGA79399,0,0,7,19,24,23,56,16,4,154,0,4,3,0,4,5,7,3,0,22,73,121,341,322,281,286,186,49,4,1655,209,448,1398,1431,1247,1277,902,165,15,7086
LGA79799,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,9,17,43,40,34,11,3,0,156,11,27,58,105,120,106,42,10,0,482
LGA89399,74,70,298,400,486,850,1532,1694,994,6393,18,53,276,232,266,291,266,281,155,1840,1167,1901,3664,2557,1884,1484,1545,1268,829,16308,11891,34462,77573,69136,56025,44726,34854,19029,7195,354895
LGA89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA99399,0,0,0,0,12,9,17,8,0,35,0,0,0,0,0,0,0,0,0,0,17,14,40,43,53,79,50,43,7,351,83,133,269,295,367,483,370,208,49,2262
LGA99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
