LGA_CODE_2021,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr_over,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85ov,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr_over,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
LGA50350,8,3,9,23,24,59,82,133,90,432,0,4,9,9,14,19,15,12,9,85,23,56,122,99,84,90,84,73,26,658,343,865,2145,2314,2075,1917,1520,812,353,12334
LGA50420,21,14,75,107,162,261,444,613,400,2085,0,4,38,44,96,101,95,104,80,572,113,163,444,408,327,288,308,336,231,2616,1386,4084,11281,10370,8502,7555,6418,3795,1627,55006
LGA50490,4,13,54,77,101,108,207,309,194,1061,4,9,68,60,68,61,51,30,25,372,102,230,572,455,380,280,225,193,166,2609,906,3056,8372,6484,4985,4410,3209,1794,868,34083
LGA50560,0,4,0,0,0,4,16,32,7,68,0,0,0,0,0,0,0,0,0,0,11,7,16,20,30,33,39,25,7,181,37,44,117,155,212,284,333,164,50,1385
LGA50630,0,0,0,0,3,4,10,9,9,31,0,0,0,4,0,0,0,0,0,4,9,0,20,23,28,29,18,16,3,147,34,71,244,294,324,324,199,83,20,1597
LGA50770,0,0,0,0,6,6,8,16,12,40,0,0,0,0,0,0,0,3,0,3,4,9,16,18,28,31,19,24,0,157,31,75,128,208,226,291,237,163,32,1385
LGA50840,0,0,0,0,9,13,32,42,16,119,0,0,0,0,0,0,0,0,0,0,15,19,23,51,53,67,73,49,17,365,107,154,408,539,689,887,875,403,104,4175
LGA50910,0,7,0,0,4,3,12,13,12,44,0,0,0,0,0,0,0,0,0,4,3,4,6,16,7,15,9,6,3,72,14,34,77,98,135,126,121,86,41,732
LGA50980,12,11,18,28,39,50,150,107,33,447,8,0,7,15,13,17,11,12,8,83,136,186,615,472,499,562,407,186,32,3098,559,1145,3548,3382,3083,3714,3626,1114,138,20313
LGA51080,0,0,6,5,3,9,5,11,4,37,0,0,0,0,0,0,0,0,0,7,4,4,14,12,12,20,9,8,0,91,25,44,116,127,123,177,98,55,14,768
LGA51120,0,0,0,0,4,0,10,8,6,26,0,0,0,0,0,0,0,0,0,0,9,14,18,17,27,27,26,13,9,145,23,46,108,113,123,137,136,64,23,771
LGA51190,3,15,28,33,53,86,223,292,204,933,4,0,17,9,22,29,20,15,18,135,88,116,340,269,292,250,243,191,178,1966,815,1800,4177,4050,4243,4309,3636,2061,957,26040
LGA51260,10,11,21,26,38,72,165,256,232,828,0,4,34,9,17,15,12,8,13,111,110,71,293,279,277,339,344,269,164,2145,909,1392,3812,5026,5337,5270,5330,2837,1039,30960
LGA51310,0,0,0,6,5,10,38,79,96,229,0,0,3,4,7,13,4,5,13,53,23,25,83,67,73,73,118,120,109,695,687,1453,2728,3693,4281,3505,2526,1618,958,21459
LGA51330,21,32,103,142,210,277,443,496,265,1993,8,19,83,90,84,120,140,108,72,725,156,344,760,506,364,345,266,294,178,3221,2516,7599,14467,13703,11420,9781,7880,4208,1562,73134
LGA51400,4,6,11,16,16,27,63,72,19,231,0,0,9,9,0,4,4,5,0,30,58,29,73,89,99,95,85,47,20,596,550,852,1799,2332,2583,2154,1541,659,132,12604
LGA51470,0,0,0,0,3,0,5,6,0,20,0,0,0,0,0,0,0,0,0,0,8,0,3,20,12,9,10,9,5,80,12,30,54,90,68,97,93,47,4,496
LGA51540,6,3,7,8,36,35,95,85,24,300,0,0,0,3,11,9,9,0,4,46,58,85,193,147,166,150,164,77,14,1053,176,355,914,851,972,1348,1569,593,98,6880
LGA51610,0,0,0,0,0,4,8,8,0,30,0,0,0,0,0,0,0,4,0,4,8,7,6,31,32,26,23,4,0,141,43,47,116,192,253,250,187,66,9,1170
LGA51680,0,0,3,0,4,14,23,29,17,93,0,0,4,0,0,0,0,5,0,6,33,14,38,35,68,82,63,40,14,382,178,245,474,655,883,935,621,298,74,4362
LGA51710,0,0,0,4,10,17,42,10,3,86,0,0,0,0,6,0,16,9,0,28,7,43,195,119,101,64,42,3,0,582,22,93,392,321,315,264,205,42,4,1661
LGA51750,0,0,0,3,6,3,10,20,20,60,0,0,0,0,0,3,4,0,0,6,36,37,59,48,54,47,51,54,60,450,313,705,1155,1152,1434,1234,1133,991,522,8626
LGA51820,16,20,55,89,182,317,708,859,408,2660,8,15,34,41,61,95,114,131,100,598,199,272,671,625,464,412,484,493,350,3973,2890,7333,17254,17892,15260,12464,9198,4686,1796,88777
LGA51860,0,0,6,0,0,5,3,0,0,14,0,0,0,0,0,24,23,17,10,73,5,8,18,18,19,35,23,14,0,151,9,41,80,81,78,144,84,42,10,563
LGA51890,3,4,4,9,16,32,94,87,42,293,0,0,0,4,0,8,10,3,0,25,51,32,76,91,86,77,94,83,59,642,254,406,902,990,1117,1258,1129,545,179,6784
LGA51960,0,0,5,7,9,22,32,12,4,91,0,0,0,0,0,0,0,4,0,11,51,85,282,253,261,178,74,22,5,1220,136,260,765,685,778,645,338,88,14,3719
LGA52030,0,0,0,0,0,6,3,9,3,28,0,0,0,0,0,0,0,0,0,0,3,9,11,9,17,28,20,15,11,126,15,32,87,92,109,224,214,103,23,904
LGA52100,0,0,0,0,0,0,6,9,15,29,0,0,0,0,0,0,0,0,0,0,4,0,3,7,6,9,8,7,8,53,21,50,109,116,107,134,152,68,38,789
LGA52170,0,0,0,0,0,0,8,17,12,36,0,0,0,0,0,4,0,0,0,5,12,14,20,36,26,36,32,45,52,267,200,452,824,811,1082,1037,890,541,205,6045
LGA52240,0,0,0,0,3,4,13,17,0,36,0,0,0,5,0,5,0,0,0,11,9,3,10,12,17,23,15,18,5,106,23,41,87,133,156,173,135,78,12,833
LGA52310,0,0,5,0,3,0,4,10,0,20,0,0,0,0,0,0,0,0,0,4,4,4,9,6,9,16,12,12,3,73,14,41,79,72,128,161,138,60,12,714
LGA52380,0,0,0,0,0,0,7,9,0,18,0,0,0,0,0,0,0,0,0,0,0,4,8,3,9,11,16,0,0,58,8,34,102,74,102,110,89,29,0,554
LGA52450,0,0,5,0,0,5,14,5,9,42,0,0,0,0,0,0,0,0,0,3,19,0,5,18,13,9,11,9,0,81,59,55,149,147,138,153,136,62,24,919
LGA52520,0,0,0,0,0,9,3,13,3,41,0,0,0,5,0,0,0,0,0,5,6,8,19,37,27,38,22,16,4,183,22,68,169,206,151,219,131,74,32,1084
LGA52590,0,0,0,5,4,14,27,31,18,89,0,0,3,3,0,0,0,4,0,10,16,27,72,66,74,63,70,37,9,434,66,141,421,412,474,645,641,263,70,3127
LGA52660,5,0,9,17,8,32,74,126,62,331,0,0,3,5,6,3,9,4,0,33,14,31,66,57,92,69,89,102,105,627,376,675,1747,1842,1770,1662,1372,856,356,10651
LGA52730,0,0,4,3,8,11,24,27,16,93,0,0,0,0,0,0,5,4,0,7,37,16,63,78,98,90,102,63,28,568,138,118,435,727,821,1025,1002,538,158,4964
LGA52800,18,11,45,37,51,69,62,40,4,335,3,4,11,0,20,19,20,20,15,115,85,137,284,211,220,229,159,40,4,1363,349,654,1541,1198,1156,1263,936,198,34,7335
LGA52870,3,0,7,8,15,16,35,61,25,166,0,0,7,0,4,4,6,6,3,26,26,8,31,34,42,42,65,60,17,327,158,218,483,649,801,949,903,454,120,4739
LGA52940,0,0,0,0,0,3,3,3,0,16,0,0,0,0,0,0,0,0,0,0,3,7,3,3,7,5,13,3,0,47,11,40,51,83,96,86,119,38,10,534
LGA53010,0,0,0,0,0,3,3,10,0,15,0,0,0,0,0,0,0,0,0,0,5,3,13,20,27,26,18,7,4,127,12,19,77,96,103,112,83,38,4,543
LGA53080,0,0,0,0,0,11,4,9,0,36,0,0,0,0,0,0,0,0,0,0,7,18,45,26,62,39,27,5,0,228,17,65,159,105,213,188,161,49,10,955
LGA53150,0,0,0,0,0,7,13,48,30,96,0,0,0,0,0,0,6,0,4,7,11,3,24,49,26,27,46,74,101,357,195,364,710,893,1156,1046,813,463,259,5899
LGA53220,9,4,12,16,41,53,46,21,0,210,0,0,7,9,18,19,3,9,0,71,75,343,1662,1618,1405,900,159,22,5,6193,291,1158,4947,4689,4053,2812,801,125,9,18901
LGA53290,6,0,5,7,22,43,80,116,65,354,0,0,0,3,0,7,8,0,5,29,73,86,172,190,234,186,182,152,40,1311,427,670,1566,1660,1869,1872,1461,895,284,10706
LGA53360,0,0,0,5,4,10,33,45,0,97,0,3,7,0,0,0,0,0,0,13,17,22,60,49,48,67,85,27,7,387,108,285,898,768,731,1025,1265,417,44,5542
LGA53430,9,4,13,18,40,56,169,299,200,809,0,4,13,6,13,18,24,38,45,160,67,146,334,292,329,278,251,220,228,2153,621,1814,4389,4437,4283,4343,3520,1888,876,26170
LGA53570,3,0,16,16,13,23,46,52,21,181,0,5,7,0,3,8,4,4,6,37,6,21,50,35,59,69,95,65,10,409,107,208,581,540,707,835,905,451,84,4420
LGA53640,0,0,3,4,0,4,8,6,3,26,0,0,0,0,0,0,0,0,0,4,3,4,14,17,5,21,20,0,3,87,23,59,182,157,148,178,140,34,8,933
LGA53710,0,0,0,0,0,6,14,4,4,33,0,0,0,0,0,0,0,0,0,0,10,5,3,10,17,20,18,10,4,98,22,39,67,112,121,158,157,67,24,769
LGA53780,49,74,224,389,391,507,718,582,353,3299,8,39,266,339,351,292,215,135,72,1718,401,374,948,916,720,499,511,461,347,5167,3618,8276,17225,19389,15696,12567,9953,5065,1856,93658
LGA53800,18,15,24,37,64,152,281,373,208,1177,0,12,16,21,22,30,34,36,28,191,226,197,455,511,431,407,361,278,153,3018,1264,2062,4600,4804,5173,5087,4166,2193,842,30190
LGA53920,34,22,37,35,43,35,52,11,3,261,0,0,3,9,5,5,22,26,3,73,32,42,108,112,100,94,94,33,9,632,223,342,751,656,578,585,500,125,17,3778
LGA53990,9,6,24,24,37,65,148,199,99,606,0,3,8,6,4,12,4,17,6,56,87,57,137,143,144,179,165,117,64,1091,785,1224,3113,3616,3554,3525,2831,1391,393,20434
LGA54060,0,0,3,7,5,9,37,47,16,126,0,0,0,0,0,0,0,3,0,3,14,12,49,55,56,94,89,68,10,449,82,122,269,387,479,673,741,388,81,3235
LGA54130,0,0,0,0,0,0,8,5,0,14,0,0,0,0,0,0,0,0,0,0,5,4,9,13,17,16,18,0,0,85,18,51,133,161,147,185,146,42,10,890
LGA54170,19,12,52,71,87,158,435,542,404,1787,8,3,28,28,41,51,44,70,42,327,176,208,492,548,533,453,529,596,459,3986,4214,8815,15770,20727,21983,20720,17263,7703,2837,120031
LGA54200,21,3,47,42,83,126,277,330,178,1104,0,9,27,50,50,42,35,28,23,260,112,111,238,305,224,227,215,249,174,1858,1562,3090,6193,7747,7551,6889,5987,3510,1266,43792
LGA54280,11,13,25,56,62,95,134,106,46,555,3,4,12,29,23,17,14,3,3,110,145,247,675,620,500,542,370,132,72,3306,888,2067,5139,4678,4143,3676,1952,693,197,23419
LGA54310,10,11,18,24,50,52,85,41,6,285,0,3,16,18,8,9,5,3,0,73,185,306,1189,1250,1046,807,325,78,6,5185,590,1369,4996,5343,4199,2992,1397,360,24,21268
LGA54340,0,3,19,24,22,20,34,48,29,210,0,4,7,11,23,18,30,8,5,115,30,30,67,79,47,53,59,37,24,423,137,248,535,479,485,517,419,226,98,3154
LGA54410,0,0,4,0,0,13,11,14,8,57,0,0,0,0,0,0,0,0,0,5,6,6,17,3,24,24,14,37,14,151,31,39,102,111,151,196,144,110,43,933
LGA54480,0,0,0,0,0,3,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,6,13,11,4,5,5,0,48,4,19,60,79,81,48,46,18,0,363
LGA54550,6,6,0,0,3,8,9,17,12,54,0,0,0,0,0,0,0,0,0,0,8,8,16,16,22,35,14,28,16,162,36,71,175,248,230,317,199,139,55,1474
LGA54620,0,0,0,3,7,3,9,8,9,37,0,0,0,0,0,0,0,0,0,4,3,11,15,14,8,22,12,5,8,102,25,66,148,155,171,191,123,48,23,954
LGA54690,0,0,0,0,0,0,7,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,5,0,18,11,5,27,39,55,58,60,24,3,284
LGA54760,0,0,0,0,0,0,4,12,3,20,0,0,0,0,0,0,0,3,0,0,0,5,9,11,11,8,9,3,0,64,6,20,75,100,115,100,82,39,10,553
LGA54830,21,21,53,66,95,128,209,189,84,862,4,6,31,60,60,38,34,19,10,266,142,130,376,381,262,206,182,102,34,1815,1302,2947,7500,7487,5462,3998,2643,1292,410,33034
LGA54900,0,0,0,0,5,4,8,0,3,17,0,0,0,0,0,0,0,0,0,3,5,10,7,15,18,25,8,5,0,91,31,62,149,185,178,198,126,58,12,998
