LGA_CODE_2021,Num_mot_veh_per_dwg_None_Dwgs,Nu_mo_veh_pe_dw_1_mo_veh_Dwgs,Nu_mo_ve_pe_dw_2_mot_veh_Dwgs,Nu_mo_ve_pe_dw_3_mot_veh_Dwgs,Nu_mo_ve_pe_dw_4_mo_veh_Dwgs,Num_mot_veh_per_dwg_Tot_Dwgs,Num_mot_veh_ns_Dwgs,Total_Dwellings
LGA16260,10994,42490,27804,6888,3182,91353,4880,96232
LGA16350,4857,24859,26914,9676,6452,72761,4420,77183
LGA16380,1927,13891,12699,4005,2163,34680,1953,36631
LGA16400,1181,10612,11030,3707,2383,28915,1493,30415
LGA16490,822,7226,9159,3506,2390,23098,1206,24311
LGA16550,8265,23937,14112,3340,1455,51115,2726,53835
LGA16610,480,3379,3174,1219,648,8900,919,9820
LGA16700,6210,23301,14031,3551,1694,48787,2013,50800
LGA16900,1421,8841,10742,3814,2505,27327,1194,28517
LGA16950,1930,16816,16323,5182,2962,43203,2688,45896
LGA17000,307,2281,3383,1499,1008,8477,520,8998
LGA17040,369,3008,3168,1328,876,8741,669,9417
LGA17080,279,1992,2084,890,498,5741,484,6228
LGA17100,2261,7190,4163,1233,675,15525,995,16521
LGA17150,4757,28245,33087,10326,6500,82911,2643,85555
LGA17200,38420,45734,11004,1521,591,97260,7525,104787
LGA17310,1427,8353,8775,3047,1890,23499,1841,25341
LGA17350,150,819,839,354,228,2395,133,2527
LGA17400,159,1148,977,390,217,2901,335,3233
LGA17420,1475,17085,26064,8938,5970,59527,1497,61028
LGA17550,2262,15163,13952,4255,2309,37934,2747,40683
LGA17620,246,1872,2096,836,472,5531,373,5899
LGA17640,80,868,1285,609,455,3295,300,3595
LGA17650,78,679,914,366,242,2279,172,2450
LGA17750,1544,8697,9463,3247,1747,24702,1446,26149
LGA17850,54,344,468,190,137,1191,119,1310
LGA17900,134,768,568,200,154,1820,601,2421
LGA17950,60,313,327,149,99,939,97,1037
LGA18020,178,1225,1210,488,337,3435,560,3990
LGA18050,5186,13247,6857,1382,588,27259,1784,29041
LGA18100,87,492,505,248,162,1502,108,1611
LGA18200,130,700,1008,438,240,2514,437,2952
LGA18250,3900,13201,7934,1816,703,27552,908,28465
LGA18350,684,6932,7931,2902,1912,20361,956,21320
LGA18400,441,3741,6639,3182,3231,17237,776,18010
LGA18450,6849,29143,29155,9519,5501,80164,3703,83868
LGA18500,3208,10363,6279,1341,691,21881,1012,22894
LGA18710,142,1421,2329,1163,912,5965,313,6277
LGA19399,49,157,85,49,60,402,62,467
LGA19799,0,0,0,0,0,0,0,0
LGA20110,186,1761,2106,810,496,5371,406,5779
LGA20260,268,1561,1591,637,475,4529,338,4867
LGA20570,2721,16951,16686,5266,2860,44477,2178,46650
LGA20660,2811,17837,19157,5117,2531,47446,1576,49024
LGA20740,729,6633,6584,2016,998,16952,1147,18102
LGA20830,693,6606,8501,3307,2231,21336,1227,22560
LGA20910,1926,13988,15825,4144,1990,37878,1312,39190
LGA21010,314,2031,2165,887,559,5953,508,6461
LGA21110,4632,25338,23400,6232,3019,62618,2059,64668
