LGA_CODE_2021,Num_mot_veh_per_dwg_None_Dwgs,Nu_mo_veh_pe_dw_1_mo_veh_Dwgs,Nu_mo_ve_pe_dw_2_mot_veh_Dwgs,Nu_mo_ve_pe_dw_3_mot_veh_Dwgs,Nu_mo_ve_pe_dw_4_mo_veh_Dwgs,Num_mot_veh_per_dwg_Tot_Dwgs,Num_mot_veh_ns_Dwgs,Total_Dwellings
LGA56730,208,1315,1441,650,447,4060,403,4456
LGA56790,44,726,544,195,122,1633,244,1880
LGA56860,5,26,27,16,17,88,23,115
LGA56930,16,136,201,98,68,526,18,540
LGA57000,4,47,51,17,22,148,58,209
LGA57080,2710,7286,2132,287,105,12522,1382,13900
LGA57140,27,139,142,67,60,431,34,468
LGA57210,44,561,750,362,270,1997,194,2187
LGA57280,350,1818,2079,752,340,5336,1082,6418
LGA57350,13,105,109,42,42,309,118,426
LGA57420,34,333,282,93,90,832,82,910
LGA57490,1973,16772,19372,6659,3380,48151,2230,50382
LGA57630,3,25,29,3,8,67,12,75
LGA57700,131,2215,4291,1920,1578,10135,423,10555
LGA57770,42,555,228,40,42,905,225,1133
LGA57840,1018,7509,6663,1800,752,17743,706,18454
LGA57910,5477,36197,34373,9202,4557,89807,4209,94013
LGA57980,727,3847,2328,493,173,7576,297,7872
LGA58050,2003,16146,21532,7911,4763,52357,2709,55068
LGA58190,4,48,48,22,24,136,29,165
LGA58260,9,80,72,30,29,212,36,253
LGA58330,33,428,652,318,276,1712,257,1970
LGA58400,8,47,50,18,11,136,16,150
LGA58470,8,77,24,4,7,115,17,136
LGA58510,1453,6931,5173,1264,508,15329,885,16209
LGA58540,7,72,112,53,58,301,48,349
LGA58570,1487,7219,5138,1164,441,15446,779,16224
LGA58610,42,212,250,91,79,682,79,760
LGA58680,5,28,61,38,39,185,41,228
LGA58760,2359,22375,29774,10443,5824,70766,2697,73463
LGA58820,60,472,597,269,205,1597,94,1692
LGA58890,5,69,107,51,67,303,38,336
LGA59030,9,28,35,21,14,102,15,115
LGA59100,3,42,105,35,40,229,43,279
LGA59170,12,90,138,79,42,366,48,412
LGA59250,25,66,18,3,11,116,34,156
LGA59310,18,158,213,97,44,536,38,577
LGA59320,0,36,52,33,37,164,15,174
LGA59330,13,81,70,27,18,213,27,240
LGA59340,418,1330,756,235,157,2904,902,3806
LGA59350,12,36,21,4,7,79,32,116
LGA59360,38,156,135,60,51,437,42,485
LGA59370,49,494,502,241,152,1439,141,1587
LGA59799,11,0,0,0,0,13,0,13
LGA60210,140,1170,1106,436,241,3094,217,3313
LGA60410,459,2167,2303,1085,794,6813,394,7206
LGA60610,616,3128,2745,997,589,8077,415,8491
LGA60810,417,3088,3378,1381,919,9178,492,9671
LGA61010,34,336,352,193,138,1057,113,1166
LGA61210,117,998,1180,467,272,3029,319,3342
LGA61410,1303,7997,8942,3259,2038,23545,816,24363
LGA61510,230,1224,1422,732,493,4103,273,4375
LGA61610,825,4106,3699,1344,745,10723,492,11220
LGA61810,100,920,960,440,349,2775,215,2985
LGA62010,26,149,146,78,33,428,39,463
LGA62210,181,1036,985,412,267,2883,199,3085
LGA62410,78,813,857,298,193,2243,123,2363
LGA62610,1919,7726,6250,2353,1405,19654,1011,20667
LGA62810,2136,9142,7114,2134,1075,21608,825,22434
LGA63010,216,2157,2748,1113,740,6973,456,7427
LGA63210,63,630,935,474,352,2457,178,2639
LGA63410,30,248,239,94,46,655,65,729
LGA63610,554,5034,5988,2194,1357,15126,469,15594
LGA63810,149,1592,1913,779,481,4909,225,5132
LGA64010,2195,10571,9398,3406,1901,27463,1507,28965
LGA64210,317,2549,3042,1381,939,8233,386,8620
LGA64610,202,1703,2056,921,604,5480,271,5754
LGA64810,172,2057,2508,1077,695,6512,389,6900
LGA65010,60,540,902,494,457,2450,188,2642
LGA65210,47,444,428,183,96,1195,103,1302
LGA65410,369,2070,2046,857,508,5850,333,6186
LGA65610,170,924,600,211,84,1987,231,2217
LGA65810,305,2996,3723,1639,1079,9737,435,10174
LGA69799,0,0,0,0,0,0,0,0
LGA70200,834,3789,3143,1142,601,9514,931,10445
LGA70420,577,957,365,80,70,2050,256,2304
LGA70540,33,8,0,0,0,39,6,46
LGA70620,237,401,124,42,31,833,117,950
LGA70700,59,358,181,54,42,693,178,875
LGA71000,2185,11167,10788,3356,1600,29098,2615,31716
LGA71150,28,121,42,9,0,198,6,207
LGA71300,752,523,168,34,10,1496,145,1641
LGA72200,243,1328,1092,403,234,3300,638,3936
LGA72300,189,1900,2407,1286,1178,6966,1018,7985
LGA72330,534,752,198,48,27,1558,196,1752
LGA72800,562,3913,5326,1714,667,12182,1234,13416
LGA73600,579,1104,351,58,54,2146,393,2538
LGA74050,387,184,43,10,0,616,58,672
LGA74550,214,432,140,48,25,858,145,1003
LGA74560,7,78,65,26,4,185,12,197
LGA74660,607,695,209,54,27,1586,205,1797
LGA74680,325,118,37,13,3,495,44,541
LGA79399,310,1218,838,216,113,2692,663,3352
LGA79799,7,0,0,0,0,7,3,7
LGA89399,9544,66388,64944,18354,9303,168537,6436,174972
LGA89799,0,0,0,0,0,0,0,0
LGA99399,43,372,365,127,73,982,161,1143
LGA99799,0,0,0,0,0,0,0,0
