LGA_CODE_2021,OO_DS_Sep_hse,OO_DS_Sde_row_or_ter_h_t,OO_DS_Flt_apt,OO_DS_Oth_dwel,OO_DS_NS,Owned_Outright_Total,OWM_DS_Sep_hse,OWM_DS_Sde_row_or_ter_h_t,OWM_DS_Flt_apt,OWM_DS_Oth_dwel,OWM_DS_NS,Owned_with_mortgage_Total,R_REA_DS_Sep_hse,R_REA_DS_Sde_row_or_ter_h_t,R_REA_DS_Flt_apt,R_REA_DS_Oth_dwel,R_REA_DS_NS,R_Real_estate_agent_Total,R_SteTer_h_auth_DS_Separat_hs,R_ST_h_aut_DS_Sd_r_ter_h_t,R_SteT_h_auth_DS_Flt_apt,R_SteTer_h_auth_DS_Oth_dwel,R_SteTer_h_auth_DS_NS,R_SteTer_h_auth_Total,R_Com_hs_pr_DS_Sep_hse,R_Com_hs_pr_DS_Sd_ro_ter_h_t,R_Com_hs_pr_DS_Flt_apt,R_Com_hs_pr_DS_Oth_dwel,R_Com_hs_pr_DS_NS,R_Com_hs_pr_Total,R_Psn_ns_HH_DS_Sep_hse,R_Psn_ns_HH_DS_Sd_r_te_h_t,R_Psn_ns_HH_DS_Flt_apt,R_Psn_ns_HH_DS_Oth_dwe,R_Psn_ns_HH_DS_NS,R_Psn_ns_HH_Total,R_Oth_llord_type_DS_Sep_hse,R_Oth_lld_typ_DS_S_ro_ter_h_t,R_Oth_lld_type_DS_Flt_apt,R_Oth_llord_type_DS_Oth_dwel,R_Oth_llord_type_DS_NS,R_Oth_llord_type_Total,R_Llord_type_NS_DS_Sep_hse,R_Lld_ty_NS_DS_Sd_row_ter_h_t,R_Llord_typ_NS_DS_Flt_apt,R_Llord_type_NS_DS_Oth_dwel,R_Llord_type_NS_DS_NS,R_Llord_type_NS_Total,R_Total_DS_Sep_hse,R_Total_DS_Sde_row_or_ter_h_t,R_Total_DS_Flt_apt,R_Total_DS_Oth_dwel,R_Total_DS_NS,R_Total_Total,Oth_tenu_typ_DS_Sep_hse,Oth_ten_typ_DS_Sd_row_ter_h_t,Oth_tenu_typ_DS_Flt_apt,Oth_tenu_typ_DS_Oth_dwel,Oth_tenu_typ_DS_NS,Oth_tenu_typ_Total,Tenu_typ_NS_DS_Sep_hse,Ten_ty_NS_DS_Sd_row_ter_h_t,Tenu_typ_NS_DS_Flt_apt,Tenu_typ_NS_DS_Oth_dwel,Tenu_typ_NS_DS_NS,Tenu_typ_NS_Total,Total_DS_Sep_hse,Total_DS_Sde_row_or_ter_h_t,Total_DS_Flt_apt,Total_DS_Oth_dwel,Total_DS_NS,Total_Total
LGA33200,188,35,0,61,25,311,93,17,0,0,4,116,31,10,0,0,0,37,15,0,0,0,0,20,15,3,0,0,0,19,38,6,0,0,6,50,41,15,0,11,0,66,0,3,0,0,0,3,137,42,3,10,7,198,31,5,0,0,9,49,72,15,3,15,6,105,522,109,6,89,58,789
LGA33220,18188,897,312,1004,252,20649,11400,293,101,52,36,11882,4753,1178,407,17,27,6380,377,474,73,0,0,935,80,132,31,0,0,245,2254,259,132,36,32,2714,310,128,44,203,101,785,56,27,14,6,0,96,7821,2200,707,259,163,11150,694,195,83,34,33,1040,2030,417,161,172,48,2828,40135,4001,1364,1524,526,47553
LGA33360,5961,183,186,462,71,6863,8160,194,120,35,8,8522,3593,737,1048,4,9,5388,414,99,157,0,0,673,90,74,27,0,0,194,1183,56,90,17,10,1353,190,28,54,178,40,496,20,11,7,0,0,47,5483,1010,1385,203,63,8149,279,18,24,33,19,372,1176,138,180,287,25,1804,21060,1549,1892,1014,183,25699
LGA33430,39949,11016,12962,1128,195,65256,59083,13394,8649,80,128,81334,21332,13681,18568,60,202,53851,1192,1264,1156,0,4,3615,151,288,516,6,4,957,5250,3709,4931,59,91,14040,751,2336,2106,436,87,5721,137,124,198,15,4,477,28805,21411,27482,573,394,78660,1237,963,1132,30,30,3401,5729,3040,5429,501,121,14818,134797,49833,55658,2311,874,243469
LGA33610,1316,27,0,60,16,1414,981,13,0,5,8,1006,391,107,51,0,0,547,59,30,6,0,0,95,5,9,5,0,0,15,306,30,0,4,3,349,143,11,0,19,16,196,6,0,0,0,0,9,909,189,66,27,16,1209,203,4,5,3,5,219,288,32,74,13,0,407,3696,264,144,106,50,4252
LGA33620,8320,130,37,383,73,8945,6512,67,11,54,25,6667,1913,433,162,25,21,2554,131,109,29,4,0,272,25,58,28,0,0,114,1229,79,69,12,18,1403,147,43,25,53,22,298,24,10,3,0,0,37,3464,735,312,99,65,4672,330,6,18,14,35,407,1196,96,60,167,9,1526,19820,1029,451,714,205,22219
LGA33800,2127,24,5,185,69,2407,954,4,4,15,4,977,300,97,71,0,0,472,60,18,3,0,0,82,16,24,23,0,0,60,315,19,12,0,4,343,82,7,3,22,18,135,10,6,6,0,0,17,783,167,116,32,24,1119,141,0,0,6,5,156,305,40,18,36,9,407,4312,235,143,269,118,5072
LGA33830,13,0,0,4,0,22,6,0,0,0,0,6,0,0,0,0,0,0,122,6,4,0,0,129,86,0,6,0,0,88,0,0,0,0,0,3,8,3,0,0,0,16,3,0,0,0,0,3,217,4,10,10,0,241,18,0,0,0,0,14,22,0,0,0,0,24,274,6,7,15,0,305
LGA33960,14960,725,128,64,24,15900,29093,598,87,21,12,29804,18150,4190,547,5,26,22918,1480,436,216,0,8,2139,170,162,104,0,0,443,3111,407,107,10,8,3639,1096,364,71,141,25,1697,119,37,13,3,0,174,24122,5604,1050,161,68,31003,494,114,45,4,13,668,3404,825,190,142,21,4577,72070,7860,1499,384,138,81945
LGA33980,1146,14,3,259,73,1500,1118,16,3,11,11,1166,1017,207,59,6,0,1281,81,62,0,0,0,142,15,14,5,0,0,37,252,29,3,0,9,292,1652,382,38,45,48,2160,9,4,0,0,0,17,3028,686,107,52,55,3928,421,46,15,13,22,516,668,72,20,47,21,827,6380,834,149,395,179,7935
LGA34420,12,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,89,28,0,0,0,117,57,11,0,0,0,74,0,0,0,0,0,0,10,6,0,0,5,23,3,0,0,0,0,4,166,46,0,0,5,218,10,3,0,0,7,21,22,13,0,0,0,34,210,62,0,6,5,286
LGA34530,4754,133,202,404,115,5610,5026,75,84,40,8,5229,1367,193,284,5,0,1857,49,41,75,0,0,164,15,56,14,0,0,86,623,35,84,15,3,761,82,16,31,99,46,277,9,6,0,0,0,22,2158,338,495,118,56,3164,253,53,9,19,12,352,772,103,82,279,10,1242,12967,695,873,860,204,15595
LGA34570,22,0,0,0,0,23,0,0,0,0,0,3,0,0,0,0,0,0,85,4,0,0,0,89,9,0,0,0,0,9,3,0,0,0,0,3,11,3,0,0,4,16,8,0,0,0,0,8,109,8,0,0,4,119,7,4,0,0,0,10,21,5,0,5,0,33,166,16,0,7,7,191
LGA34580,4578,87,18,45,14,4740,5669,54,7,13,4,5750,1711,258,81,3,4,2054,63,54,12,0,0,120,13,15,3,0,0,31,796,39,12,9,4,858,112,11,0,20,12,150,23,8,0,0,0,33,2710,380,105,41,13,3257,198,14,3,3,0,216,798,85,20,25,50,981,13957,619,159,126,85,14945
LGA34590,23305,1709,381,129,33,25549,42999,1772,376,13,30,45194,20064,6781,1360,10,41,28257,2668,755,332,0,8,3756,121,164,105,5,5,403,4079,735,203,11,19,5046,559,751,104,157,9,1580,131,81,15,0,0,231,27625,9263,2111,179,85,39264,774,322,90,0,13,1199,5849,1706,610,228,34,8428,100556,14765,3559,552,201,119634
LGA34710,430,0,0,164,40,632,308,0,0,11,6,325,164,26,16,4,0,211,45,14,7,0,0,68,8,0,0,0,3,12,96,3,4,9,5,113,80,14,8,46,4,154,3,0,0,0,0,4,397,62,34,56,15,563,78,5,0,14,14,106,168,14,12,34,3,222,1379,83,48,278,74,1852
LGA34770,11548,619,229,556,121,13079,15783,473,171,40,18,16489,4682,1896,725,26,41,7371,617,422,187,0,0,1222,112,115,35,0,0,261,2360,414,156,31,24,2984,308,89,37,178,49,664,50,33,7,0,0,91,8120,2969,1143,241,121,12598,751,167,30,19,18,982,2555,610,296,366,50,3883,38766,4838,1872,1230,331,47026
LGA34800,98,0,0,44,35,170,28,0,0,3,10,43,0,0,0,0,5,3,0,0,0,0,0,0,9,0,0,0,0,8,22,0,0,0,0,23,27,0,0,22,4,50,0,0,0,0,0,0,53,5,0,22,12,85,29,0,0,0,9,41,45,4,0,3,8,60,250,10,0,69,71,398
LGA34830,3,0,0,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,66,5,0,0,0,0,5,0,0,0,0,0,0,6,0,0,7,0,14,0,0,0,0,0,0,86,0,0,11,0,95,4,0,0,0,0,12,5,0,0,13,0,21,97,0,0,30,6,136
LGA34860,1515,4,0,130,17,1670,1188,9,0,13,0,1216,590,137,8,0,0,733,100,30,0,0,0,134,53,28,5,0,0,90,352,15,3,3,5,378,221,14,5,63,7,316,8,4,0,0,0,14,1331,231,23,65,14,1670,256,9,0,13,14,287,470,41,0,15,8,531,4764,293,30,243,56,5381
LGA34880,3050,29,27,250,77,3431,2210,6,7,24,12,2261,543,23,171,8,3,747,174,5,59,0,0,243,55,4,35,3,0,102,626,12,37,10,7,688,151,0,14,73,28,276,23,0,8,3,0,30,1574,52,324,100,44,2087,275,3,0,18,10,304,755,13,125,247,17,1163,7858,110,485,638,160,9253
LGA35010,41609,3757,2091,880,67,48405,61137,2849,884,51,53,64971,25351,10103,2645,32,46,38171,2015,1146,875,11,6,4050,180,377,163,0,0,734,5263,1436,571,39,36,7343,1102,1428,152,376,21,3079,129,122,56,3,0,318,34036,14619,4461,466,109,53696,1154,1271,436,39,23,2924,5061,1789,685,422,31,7983,142997,24289,8564,1847,281,177980
LGA35250,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,62,107,3,0,0,174,6,7,0,0,0,18,0,0,0,0,0,0,18,11,4,0,9,38,0,0,0,0,0,0,84,130,6,0,9,230,11,14,0,0,4,23,5,17,6,0,0,24,99,160,11,0,15,284
LGA35300,957,36,6,317,28,1345,1840,51,5,27,9,1937,797,478,101,6,3,1378,377,115,56,4,5,560,14,9,10,0,0,44,416,138,14,13,3,590,216,125,40,123,27,533,13,4,4,0,0,28,1835,875,228,146,37,3126,176,63,31,33,14,321,351,106,34,304,15,819,5168,1136,311,833,101,7547
LGA35600,580,3,0,85,21,692,378,0,0,5,4,387,135,9,15,0,0,166,39,5,11,0,0,56,6,4,0,0,0,15,141,4,0,5,0,146,87,0,18,5,9,116,4,0,0,0,0,7,400,24,44,9,9,495,81,6,3,6,8,106,199,0,3,16,3,225,1641,30,52,125,43,1896
LGA35670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,3,20,0,0,159,14,0,6,0,0,17,0,0,0,0,0,0,4,0,0,0,3,10,0,0,0,0,0,0,151,8,21,0,7,189,5,0,0,0,0,5,27,3,7,0,0,36,181,7,32,0,7,226
LGA35740,8129,1057,650,174,34,10043,6156,426,306,15,22,6919,1815,600,535,9,28,2989,176,38,107,0,0,327,13,6,4,0,0,22,868,271,182,6,19,1347,75,20,39,21,25,189,14,6,3,3,4,26,2962,945,881,36,73,4902,302,298,36,0,4,646,812,218,169,40,7,1245,18359,2938,2048,269,148,23755
LGA35760,1771,0,4,110,27,1911,883,0,0,5,4,899,271,13,17,0,0,305,42,18,9,0,3,74,19,6,8,3,0,34,334,5,0,14,3,358,148,16,8,50,9,229,9,3,4,0,0,22,820,57,53,65,16,1019,191,3,0,11,4,206,419,19,22,47,6,508,4086,81,82,237,56,4544
LGA35780,10,0,0,75,4,88,0,0,0,5,0,11,0,0,0,5,0,6,415,51,8,3,3,483,47,8,0,0,0,64,0,0,0,7,0,15,27,11,3,43,23,113,3,0,0,0,0,4,501,73,18,57,28,673,13,0,0,13,6,40,59,22,9,77,6,167,587,95,24,230,51,976
LGA35790,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,388,3,35,0,0,425,7,0,0,0,0,13,0,0,0,0,0,0,9,3,0,0,0,15,0,0,0,0,0,6,407,3,37,0,3,458,10,0,3,3,3,20,30,0,4,4,0,40,448,3,48,18,7,522
LGA35800,306,0,0,86,12,402,81,0,0,8,0,85,3,0,0,0,0,5,58,15,0,0,0,72,5,10,0,0,0,17,96,0,0,11,0,111,45,0,0,7,0,54,3,0,0,0,0,3,216,28,4,24,0,264,55,0,4,8,0,67,39,0,0,29,0,76,690,32,7,149,22,894
LGA36070,4,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,68,4,0,0,0,77,31,0,0,0,0,31,0,0,0,0,0,0,20,0,0,0,6,22,0,0,0,0,0,0,121,4,3,0,11,137,15,0,0,0,0,20,14,6,0,0,0,24,151,12,3,0,14,182
LGA36150,101,0,0,41,18,158,56,0,0,0,5,62,0,0,0,0,0,0,8,0,4,0,0,13,0,0,3,0,0,7,34,0,3,0,0,38,30,0,0,3,3,38,0,0,0,0,0,0,76,0,13,3,3,96,27,0,4,5,0,34,17,0,5,5,0,31,281,0,19,52,28,377
LGA36250,17420,1721,709,147,25,20024,21933,1167,397,9,11,23524,6481,1577,581,4,9,8659,518,503,351,0,4,1366,81,142,94,0,0,312,1948,400,203,15,19,2578,136,333,78,39,7,590,39,25,15,6,0,81,9207,2972,1314,63,36,13594,477,731,134,6,3,1355,1577,377,184,80,8,2223,50612,6964,2737,312,89,60718
LGA36300,89,0,0,21,10,117,46,0,0,0,10,55,9,0,0,0,0,8,5,0,0,0,0,5,3,0,0,0,0,3,10,0,0,0,0,11,22,0,0,7,5,36,0,0,0,0,0,0,55,0,0,7,3,68,30,0,0,0,8,40,65,0,0,0,0,58,275,0,0,28,32,344
LGA36370,8519,204,166,159,50,9094,10217,135,134,17,11,10507,4228,986,585,10,6,5818,620,289,143,0,10,1054,154,86,75,0,0,312,1872,176,119,15,6,2188,222,39,53,79,22,424,38,17,14,0,0,71,7130,1592,989,108,52,9869,394,35,70,16,14,535,1546,246,196,122,18,2131,27808,2217,1546,419,146,32134
LGA36510,5656,190,9,156,23,6028,5593,67,4,23,11,5699,1431,422,20,9,3,1881,87,45,0,0,0,125,24,23,0,0,0,47,863,85,13,13,7,979,170,59,0,36,9,277,26,6,0,0,0,31,2594,641,31,54,23,3343,307,30,6,6,3,346,886,96,5,57,7,1058,15031,1025,59,300,63,16479
LGA36580,3441,20,0,86,11,3562,3337,17,4,10,4,3365,1037,84,9,9,0,1145,20,4,0,0,0,21,6,14,0,0,0,20,538,4,0,4,0,547,123,0,0,37,3,167,21,4,0,0,0,20,1751,103,13,45,10,1914,177,8,0,12,5,202,617,17,0,85,0,721,9315,165,23,240,27,9771
LGA36630,5393,22,41,150,34,5643,3450,17,22,6,9,3504,1495,151,285,0,4,1933,102,28,56,0,0,185,14,13,39,0,0,70,760,22,32,6,14,825,168,14,23,41,10,257,26,0,4,3,0,26,2560,224,443,52,24,3306,280,5,8,6,8,301,1117,33,71,52,4,1278,12803,296,577,273,80,14035
LGA36660,5751,164,12,76,14,6017,3949,44,4,20,7,4025,1552,408,93,6,3,2068,92,78,6,0,0,181,18,26,7,0,0,51,905,69,24,9,9,1018,176,15,7,34,14,251,22,8,4,4,0,46,2780,609,142,56,31,3609,291,54,0,4,9,364,964,89,34,58,13,1158,13730,960,183,215,75,15165
LGA36720,33654,5078,4524,1212,240,44702,38883,2885,2530,76,64,44441,13471,4488,5882,45,72,23962,709,653,901,0,6,2270,112,126,191,0,0,431,4467,1108,1603,53,69,7303,489,300,356,347,76,1567,98,42,57,6,3,208,19351,6726,8996,453,224,35744,1317,1796,616,54,23,3816,3687,1103,1495,437,87,6813,96891,17596,18155,2234,636,135512
LGA36820,4334,63,40,414,68,4921,2565,23,15,18,12,2631,758,83,87,7,8,937,114,52,39,3,3,207,57,16,41,0,5,117,827,68,61,10,7,973,151,22,8,113,24,321,24,0,7,0,0,33,1920,241,243,134,53,2589,253,8,3,16,9,292,903,61,29,141,38,1180,9970,396,331,727,183,11612
LGA36910,19248,1565,305,186,39,21338,19771,800,212,28,24,20840,8776,4094,1383,15,15,14280,667,524,159,0,0,1350,85,160,44,0,0,288,3139,533,220,15,14,3914,648,150,33,111,7,951,69,37,8,0,0,123,13385,5499,1843,137,35,20909,823,481,43,17,22,1388,2486,629,195,224,33,3566,55712,8974,2596,597,160,68033
LGA36950,83,3,5,48,5,143,33,0,0,10,6,49,5,8,6,0,0,18,218,88,13,0,0,326,22,11,0,0,0,36,40,15,10,3,0,69,121,85,38,20,14,276,6,6,0,0,0,9,414,211,70,25,16,731,51,50,19,9,9,134,37,22,9,13,8,91,623,284,99,100,38,1144
LGA36960,65,0,0,0,0,62,3,0,0,0,0,3,0,0,0,0,0,0,563,11,3,0,7,579,264,6,0,0,4,277,0,0,0,0,0,5,33,10,4,5,15,64,13,0,0,0,0,18,875,32,5,11,18,939,27,0,0,7,0,33,56,3,0,6,3,66,1024,35,6,18,23,1106
LGA37010,15511,957,718,750,108,18036,23766,723,557,53,16,25129,9931,3752,2468,19,30,16193,1417,776,391,0,6,2594,136,184,87,0,3,413,3625,739,420,19,23,4825,1334,162,251,177,107,2030,77,41,21,4,0,140,16519,5652,3636,225,170,26199,728,283,88,23,17,1133,3060,889,590,137,61,4741,59580,8503,5589,1180,376,75236
LGA37300,91,16,0,51,7,171,252,43,0,3,0,294,185,163,13,4,4,373,17,7,0,0,0,26,0,0,0,0,0,5,41,14,0,4,0,55,170,122,4,33,22,351,0,0,0,0,0,3,413,302,20,41,33,807,52,31,0,0,8,97,98,75,6,11,8,190,901,461,36,102,58,1558
LGA37310,3946,90,4,164,36,4248,3234,34,0,18,10,3310,1611,529,62,8,0,2212,111,64,9,3,0,189,31,64,8,0,0,106,947,59,4,7,10,1035,355,45,9,63,34,514,17,11,3,3,0,35,3070,781,96,90,54,4092,550,37,6,12,13,622,963,163,34,39,30,1225,11768,1102,145,323,147,13484
LGA37340,3600,133,170,908,217,5026,3567,107,149,55,28,3900,1420,476,560,18,19,2493,156,127,60,0,0,348,53,87,33,0,0,181,707,94,157,43,40,1049,185,123,66,205,119,705,17,16,7,0,0,36,2540,933,879,269,181,4804,220,21,14,52,27,334,849,176,139,148,65,1385,10780,1366,1361,1424,516,15451
LGA37400,180,0,0,88,35,300,84,0,0,3,8,99,6,0,0,0,0,7,18,0,5,0,0,24,9,0,4,0,0,12,54,0,0,3,4,60,29,0,3,28,10,71,0,0,0,0,0,0,119,0,6,37,9,170,22,0,4,5,9,42,91,0,6,13,16,123,492,3,12,144,74,735
LGA37550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,10,35,0,0,237,10,0,0,0,0,14,0,0,0,0,0,0,14,0,4,0,0,24,0,0,0,0,0,0,218,10,44,0,0,271,3,0,0,0,0,10,16,0,5,0,0,16,232,10,48,0,4,293
LGA37570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,13,44,7,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,9,0,0,0,73,5,0,0,0,0,5,6,5,0,0,0,9,71,10,0,0,0,83
LGA37600,19,0,0,34,0,56,3,0,0,0,0,3,0,0,0,0,0,0,42,8,7,0,0,60,260,10,49,0,0,315,0,0,0,0,0,0,3,3,3,0,0,10,0,0,0,0,0,0,307,21,56,0,0,384,13,3,0,18,0,28,13,7,0,14,0,31,357,26,56,67,3,503
LGA39799,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,3,8,5
LGA40070,431,1011,971,10,7,2431,240,661,847,11,8,1765,170,1207,3218,21,59,4679,13,143,211,0,3,370,17,114,273,0,0,400,75,426,640,21,17,1180,18,33,112,6,10,176,0,6,13,0,0,24,294,1931,4471,48,98,6840,19,60,171,8,6,260,35,167,472,87,43,803,1020,3833,6921,161,151,12093
LGA40120,5779,107,32,15,4,5935,6562,59,30,0,7,6659,683,46,66,0,6,801,20,3,0,0,0,20,30,21,11,0,0,70,574,29,13,0,5,624,46,4,0,7,0,64,16,0,0,0,0,14,1368,104,99,7,10,1585,206,97,15,0,3,323,500,17,12,6,0,539,14412,384,187,33,31,15043
LGA40150,999,4,0,11,3,1018,1899,0,0,0,3,1907,98,0,0,0,0,98,3,4,0,0,0,9,0,0,5,0,0,5,195,5,0,17,4,215,31,0,4,0,0,39,5,0,0,0,0,5,329,10,8,23,5,369,66,0,0,0,0,66,224,3,5,8,0,238,3518,17,17,34,13,3603
LGA40220,5048,160,22,80,20,5323,3796,49,7,5,14,3872,897,78,57,5,0,1037,65,38,5,0,0,110,80,38,5,0,0,126,644,36,18,10,4,716,96,9,4,29,8,148,13,0,0,0,0,19,1800,201,95,45,13,2155,363,115,6,6,0,484,478,37,9,16,3,550,11488,562,133,155,52,12394
LGA40250,12,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,287,7,0,0,3,297,53,0,0,0,0,53,6,0,0,0,0,6,31,13,0,3,4,51,9,0,0,0,0,9,382,20,0,4,10,414,93,35,0,0,3,133,37,14,0,0,3,50,522,63,0,4,19,609
LGA40310,3555,88,3,59,9,3709,3894,68,9,3,10,3974,728,141,24,3,0,898,50,38,13,0,0,95,53,41,11,0,0,104,442,41,13,0,8,499,48,7,4,26,4,89,7,9,0,0,0,20,1332,268,62,28,14,1707,273,66,12,4,0,356,327,36,11,17,6,400,9374,522,94,114,29,10136
LGA40430,611,13,0,8,4,643,222,0,0,0,0,225,74,0,5,0,0,83,4,0,0,0,0,9,0,0,0,0,0,0,81,3,0,0,0,87,12,0,0,3,3,19,0,0,0,0,0,0,181,6,8,3,5,203,41,25,0,0,0,67,83,4,0,0,0,90,1141,47,9,14,9,1227
LGA40520,1405,97,3,53,5,1567,1265,35,7,7,0,1313,371,135,57,0,0,564,153,93,7,0,0,248,20,20,0,0,0,44,287,30,10,0,0,329,63,14,0,21,0,102,9,8,0,0,0,11,908,294,70,26,0,1303,75,42,0,3,0,122,210,57,7,28,8,315,3872,530,97,115,17,4622
LGA40700,5921,1280,425,3,8,7640,4402,873,303,0,12,5583,880,1017,636,6,6,2539,0,46,68,0,0,119,0,49,38,0,0,92,413,364,226,0,10,1017,34,16,29,0,0,85,4,11,8,0,0,20,1341,1502,993,5,15,3864,184,244,182,0,10,615,161,94,86,4,0,342,12002,3993,1992,18,41,18049
LGA40910,6584,889,258,0,5,7740,5651,1135,286,0,8,7086,1872,691,630,0,4,3201,225,216,191,0,3,633,58,144,78,0,4,287,819,298,251,4,7,1371,106,34,64,0,0,206,15,14,14,0,0,44,3094,1394,1231,4,14,5736,227,190,187,0,4,607,408,140,110,0,5,662,15963,3752,2076,3,39,21832
LGA41010,419,14,0,46,17,494,328,0,0,0,0,328,89,3,5,0,0,97,129,8,0,0,0,136,45,6,0,0,0,48,112,9,5,3,0,132,63,0,3,31,6,110,8,0,0,0,0,14,451,25,19,34,11,542,33,3,0,4,7,41,85,3,5,23,8,128,1312,44,20,111,37,1535
LGA41060,12976,2304,721,59,20,16090,12057,3186,859,14,32,16151,3321,2433,1895,18,20,7676,801,1640,455,0,12,2906,285,498,157,0,0,939,1997,926,683,12,13,3632,210,111,148,27,7,497,49,49,24,0,0,118,6654,5647,3356,58,48,15768,393,385,220,5,6,1010,847,589,322,113,14,1884,32931,12114,5475,246,127,50898
LGA41140,1528,38,0,13,3,1588,1225,18,0,4,3,1256,276,31,0,0,0,315,67,30,0,0,0,102,22,23,0,0,0,42,242,13,0,4,0,262,56,4,0,6,7,71,8,0,0,0,0,8,672,102,0,5,10,797,99,12,0,0,0,121,201,7,0,47,6,263,3732,181,0,78,20,4012
LGA41190,347,9,0,5,3,360,162,6,0,0,0,167,13,0,0,0,0,10,9,0,0,0,0,14,10,0,0,0,0,10,71,0,0,0,0,72,13,0,0,4,3,22,0,0,0,0,0,0,112,0,0,9,3,129,46,0,0,0,0,44,58,0,0,0,0,62,723,18,0,17,9,762
LGA41330,272,4,10,83,6,382,93,0,0,3,0,95,69,4,12,0,0,88,20,0,4,0,0,26,5,0,0,0,0,5,70,0,0,9,0,83,30,0,9,20,3,57,3,0,0,0,0,5,198,7,29,20,3,261,43,0,0,4,7,52,151,7,10,51,0,220,752,17,52,160,24,1001
LGA41560,2733,103,6,60,9,2908,1651,32,0,9,6,1698,640,82,10,4,0,734,131,75,0,0,0,207,31,12,0,0,0,47,412,26,5,4,3,456,60,11,0,24,4,103,7,3,0,0,0,10,1283,214,16,30,12,1557,118,51,0,4,0,183,361,35,0,21,5,426,6154,435,24,122,33,6767
LGA41750,206,0,0,30,10,244,84,0,0,12,0,95,5,0,0,0,0,5,4,0,0,0,0,4,0,0,0,0,0,0,50,0,0,0,0,50,6,0,0,13,4,19,0,0,0,0,0,0,57,0,0,10,4,76,21,0,0,0,5,24,38,0,0,17,0,56,413,0,0,63,22,500
LGA41830,290,4,0,39,13,354,184,3,0,0,0,191,35,0,0,0,0,41,11,0,11,0,0,28,4,9,0,0,0,12,46,0,0,0,0,52,21,0,0,16,8,42,3,0,0,0,0,3,127,16,11,19,7,179,22,0,0,0,0,28,66,3,0,8,10,81,685,31,13,70,24,829
LGA41960,211,25,3,12,3,253,100,15,0,3,0,117,17,5,0,0,0,20,3,0,0,0,0,3,0,16,0,0,0,16,61,6,0,0,0,64,12,4,0,12,3,24,0,0,0,0,0,0,93,29,0,12,3,127,14,7,6,0,5,31,30,20,0,5,0,52,447,93,7,23,9,587
LGA42030,2497,476,4,37,14,3032,3702,227,9,0,12,3958,1111,357,33,0,0,1508,150,239,15,0,0,398,36,44,8,0,0,92,467,108,16,4,0,598,109,29,13,19,8,171,4,5,9,0,0,20,1875,784,90,22,8,2786,91,146,9,3,17,265,261,130,17,12,4,422,8423,1768,135,76,51,10460
LGA42110,840,13,0,0,0,854,445,11,0,0,0,455,77,16,0,0,0,94,9,4,0,0,0,15,5,10,0,0,0,14,151,12,0,0,0,166,36,0,0,0,0,36,0,0,0,0,0,0,279,39,5,0,0,325,69,5,0,0,6,78,114,3,3,4,0,126,1741,77,4,6,4,1833
LGA42250,1160,4,0,32,12,1210,1155,3,0,19,5,1182,96,8,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,4,141,6,0,5,0,150,45,0,0,0,3,56,0,0,0,0,0,0,283,10,0,7,4,312,71,0,0,3,3,79,189,0,0,23,9,219,2864,20,4,83,33,3003
LGA42600,4006,1459,603,20,9,6100,3246,1012,335,5,3,4612,732,1158,987,37,4,2920,47,110,49,0,0,208,48,92,97,5,0,233,419,574,279,9,6,1286,19,29,32,11,3,98,6,10,11,0,0,34,1261,1978,1459,58,18,4774,182,241,229,13,10,664,157,179,127,13,0,485,8848,4876,2752,119,33,16631
LGA42750,870,10,0,9,4,893,545,6,0,7,0,558,118,13,6,0,0,131,34,14,0,0,0,48,14,7,0,0,0,18,202,7,12,0,6,226,40,5,0,7,6,60,0,0,0,0,0,3,408,45,21,6,16,493,97,0,0,0,0,100,162,17,0,3,8,192,2086,73,25,19,30,2236
LGA43080,197,0,0,0,0,201,101,0,0,0,0,101,11,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,30,10,0,0,0,0,10,0,0,0,0,0,0,47,0,0,8,0,56,37,0,0,0,0,32,38,0,0,5,0,37,422,0,0,7,0,434
LGA43220,197,7,4,6,0,214,90,0,0,0,0,90,6,0,0,0,0,6,0,0,0,0,0,0,7,0,0,0,0,7,47,0,3,0,0,51,13,0,0,0,0,10,0,0,0,0,0,0,66,0,3,0,0,78,30,0,0,0,0,29,16,0,0,0,0,20,401,8,6,9,0,433
