LGA_CODE_2021,OO_DS_Sep_hse,OO_DS_Sde_row_or_ter_h_t,OO_DS_Flt_apt,OO_DS_Oth_dwel,OO_DS_NS,Owned_Outright_Total,OWM_DS_Sep_hse,OWM_DS_Sde_row_or_ter_h_t,OWM_DS_Flt_apt,OWM_DS_Oth_dwel,OWM_DS_NS,Owned_with_mortgage_Total,R_REA_DS_Sep_hse,R_REA_DS_Sde_row_or_ter_h_t,R_REA_DS_Flt_apt,R_REA_DS_Oth_dwel,R_REA_DS_NS,R_Real_estate_agent_Total,R_SteTer_h_auth_DS_Separat_hs,R_ST_h_aut_DS_Sd_r_ter_h_t,R_SteT_h_auth_DS_Flt_apt,R_SteTer_h_auth_DS_Oth_dwel,R_SteTer_h_auth_DS_NS,R_SteTer_h_auth_Total,R_Com_hs_pr_DS_Sep_hse,R_Com_hs_pr_DS_Sd_ro_ter_h_t,R_Com_hs_pr_DS_Flt_apt,R_Com_hs_pr_DS_Oth_dwel,R_Com_hs_pr_DS_NS,R_Com_hs_pr_Total,R_Psn_ns_HH_DS_Sep_hse,R_Psn_ns_HH_DS_Sd_r_te_h_t,R_Psn_ns_HH_DS_Flt_apt,R_Psn_ns_HH_DS_Oth_dwe,R_Psn_ns_HH_DS_NS,R_Psn_ns_HH_Total,R_Oth_llord_type_DS_Sep_hse,R_Oth_lld_typ_DS_S_ro_ter_h_t,R_Oth_lld_type_DS_Flt_apt,R_Oth_llord_type_DS_Oth_dwel,R_Oth_llord_type_DS_NS,R_Oth_llord_type_Total,R_Llord_type_NS_DS_Sep_hse,R_Lld_ty_NS_DS_Sd_row_ter_h_t,R_Llord_typ_NS_DS_Flt_apt,R_Llord_type_NS_DS_Oth_dwel,R_Llord_type_NS_DS_NS,R_Llord_type_NS_Total,R_Total_DS_Sep_hse,R_Total_DS_Sde_row_or_ter_h_t,R_Total_DS_Flt_apt,R_Total_DS_Oth_dwel,R_Total_DS_NS,R_Total_Total,Oth_tenu_typ_DS_Sep_hse,Oth_ten_typ_DS_Sd_row_ter_h_t,Oth_tenu_typ_DS_Flt_apt,Oth_tenu_typ_DS_Oth_dwel,Oth_tenu_typ_DS_NS,Oth_tenu_typ_Total,Tenu_typ_NS_DS_Sep_hse,Ten_ty_NS_DS_Sd_row_ter_h_t,Tenu_typ_NS_DS_Flt_apt,Tenu_typ_NS_DS_Oth_dwel,Tenu_typ_NS_DS_NS,Tenu_typ_NS_Total,Total_DS_Sep_hse,Total_DS_Sde_row_or_ter_h_t,Total_DS_Flt_apt,Total_DS_Oth_dwel,Total_DS_NS,Total_Total
LGA27170,4553,205,23,15,5,4797,5529,142,22,0,7,5704,2610,679,146,6,4,3440,599,208,57,0,0,869,45,15,6,0,0,67,591,94,20,3,0,712,249,13,0,9,0,275,23,12,0,0,0,31,4128,1024,229,17,4,5394,188,17,3,5,8,212,695,196,25,61,4,981,15087,1578,303,98,25,17094
LGA27260,14426,1400,399,40,8,16276,39981,3071,382,3,17,43457,19396,2984,863,4,19,23264,494,110,39,0,0,651,131,58,31,0,0,226,2508,377,94,11,0,2993,468,52,13,29,7,559,117,15,9,0,0,140,23117,3598,1045,39,29,27826,735,238,190,6,4,1168,4594,632,192,52,8,5480,82853,8939,2214,135,64,94206
LGA27350,2055,4349,1836,41,9,8286,1587,3944,4146,78,4,9761,988,4758,9472,163,21,15411,23,486,2542,0,0,3058,20,77,324,0,0,423,315,1261,1222,54,4,2861,10,51,54,7,9,129,5,14,43,0,0,66,1364,6655,13658,226,34,21940,72,269,281,7,0,630,155,514,1458,65,13,2199,5233,15730,21373,414,61,42807
LGA27450,18706,858,86,118,21,19786,26184,698,64,16,21,26974,4306,720,48,8,11,5086,268,155,7,0,0,431,91,41,18,0,0,152,1743,136,17,9,12,1917,169,11,4,66,3,258,33,9,4,0,0,47,6607,1069,98,81,31,7887,606,265,60,7,5,936,2022,163,28,52,4,2268,54125,3049,336,272,80,57857
LGA27630,1526,5,0,28,0,1565,596,0,0,6,0,600,132,20,3,0,0,160,15,17,0,0,0,31,11,7,0,0,0,20,170,8,4,0,0,180,45,3,5,4,0,61,4,0,0,0,0,4,382,46,14,8,0,452,91,0,0,0,0,97,201,9,5,6,0,226,2802,60,23,46,0,2929
LGA29399,62,18,129,0,9,217,12,0,36,0,0,50,0,0,11,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,13,0,38,0,3,52,15,4,40,0,8,66,0,0,0,0,0,0,30,4,90,0,16,138,14,0,20,0,0,35,20,6,35,5,9,70,144,29,303,5,39,514
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA30250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,5,0,0,180,19,0,0,0,0,23,0,0,0,0,0,0,10,3,5,0,0,20,0,0,0,0,0,0,202,4,10,0,0,220,4,0,6,0,0,10,14,0,3,0,0,25,220,7,13,0,6,253
LGA30300,495,30,0,104,16,641,326,13,0,7,0,356,134,22,12,5,0,176,75,17,4,0,0,94,22,4,0,0,0,26,124,6,0,9,3,148,93,11,5,31,3,141,6,0,0,0,0,3,454,62,19,41,3,590,117,22,0,6,7,153,126,16,0,18,0,166,1527,146,26,175,29,1900
LGA30370,1672,6,7,123,16,1821,1374,6,0,14,6,1399,481,42,68,3,0,595,161,24,14,0,0,202,14,8,4,0,0,27,426,8,21,9,0,463,227,20,55,32,14,340,19,0,5,0,0,24,1321,102,161,44,14,1645,325,5,11,9,5,348,675,29,44,67,48,860,5367,144,220,247,90,6073
