LGA_CODE_2021,0_299_Separate_house,0_299_Sd_rw_tce_hse_th,0_299_Flat_apartment,0_299_Other_dwelling,0_299_Dwelling_structure_NS,0_299_Tot,300_449_Separate_house,300_449_Sd_rw_tce_hse_th,300_449_Flat_apartment,300_449_Other_dwelling,300_449_Dwg_structure_NS,300_449_Tot,450_599_Separate_house,450_599_Sd_rw_tce_hse_th,450_599_Flat_apartment,450_599_Other_dwelling,450_599_Dwg_structure_NS,450_599_Tot,600_799_Separate_house,600_799_Sd_rw_tce_hse_th,600_799_Flat_apartment,600_799_Other_dwelling,600_799_Dwg_structure_NS,600_799_Tot,800_999_Separate_house,800_999_Sd_rw_tce_hse_th,800_999_Flat_apartment,800_999_Other_dwelling,800_999_Dwg_structure_NS,800_999_Tot,1000_1399_Separate_house,1000_1399_Sd_rw_tce_hse_th,1000_1399_Flat_apartmnt,1000_1399_Other_dwelling,1000_1399_Dwg_structure_NS,1000_1399_Tot,1400_1799_Separate_house,1400_1799_Sd_rw_tce_hse_th,1400_1799_Flat_apartmnt,1400_1799_Other_dwelling,1400_1799_Dwg_structure_NS,1400_1799_Tot,1800_2399_Separate_house,1800_2399_Sd_rw_tce_hse_th,1800_2399_Flat_apartmnt,1800_2399_Other_dwelling,1800_2399_Dwg_structure_NS,1800_2399_Tot,2400_2999_Separate_house,2400_2999_Sd_rw_tce_hse_th,2400_2999_Flat_apartmnt,2400_2999_Other_dwelling,2400_2999_Dwg_structure_NS,2400_2999_Tot,3000_3999_Separate_house,3000_3999_Sd_rw_tce_hse_th,3000_3999_Flat_apartmnt,3000_3999_Other_dwelling,3000_3999_Dwg_structure_NS,3000_3999_Tot,4000_over_Separate_house,4000_over_Sd_rw_tce_hse_th,4000_over_Flat_apartmnt,4000_over_Other_dwelling,4000_over_Dwg_structure_NS,4000_over_Tot,M_rep_NS_Sep_house,M_rep_NS_Sd_rw_tce_hse_th,M_rep_NS_Flat_apart,M_rep_NS_Other_dwelling,M_rep_NS_Dwg_structu_ns,M_rep_NS_Tot,Tot_Sep_hse,Tot_Sd_row_tce_hse_th,Tot_Flat_apartment,Tot_Other_dwelling,Tot_Dwelling_structure_NS,Tot_Tot
LGA53640,15,0,0,0,0,15,9,0,0,0,0,9,9,0,0,0,0,9,12,0,0,0,0,12,10,0,0,0,0,10,13,0,0,0,0,13,8,0,0,0,0,8,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,0,4,88,0,0,0,0,92
LGA53710,5,0,0,0,0,5,6,0,0,0,0,6,8,0,0,0,0,8,10,0,0,0,0,10,9,0,0,0,0,9,14,0,0,0,0,14,12,0,0,0,0,12,16,0,0,0,0,16,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,88,0,0,0,0,88
LGA53780,787,36,7,4,0,827,281,16,0,0,0,306,271,15,0,0,0,289,505,31,14,0,0,549,779,70,10,0,0,862,2953,206,44,0,0,3204,3917,188,35,4,3,4143,4477,122,18,3,3,4620,1718,31,0,0,0,1751,1087,20,5,0,0,1113,680,13,0,0,0,696,1074,39,3,0,0,1119,18515,796,140,15,8,19471
LGA53800,184,11,0,0,0,204,109,0,0,0,0,115,85,6,0,0,0,93,240,10,6,0,4,255,318,15,0,0,0,343,925,39,3,8,0,974,966,28,3,7,3,1014,979,29,0,0,0,1013,315,3,0,0,0,324,256,13,0,0,0,272,156,7,0,0,0,170,273,6,4,0,0,284,4810,187,20,21,5,5042
LGA53920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,5,0,0,4,0,4,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,10,0,17
LGA53990,166,0,0,0,0,170,71,0,0,0,0,79,75,0,0,0,0,79,121,0,0,3,0,125,172,3,0,4,0,173,681,8,0,0,0,691,1048,3,0,0,0,1051,1084,0,5,0,0,1090,402,0,0,0,0,402,238,0,0,0,0,241,151,0,0,0,0,151,234,3,0,0,0,241,4448,27,5,15,4,4493
LGA54060,16,4,0,0,0,25,3,0,0,0,0,7,4,0,0,0,0,10,14,0,0,0,0,16,17,3,0,0,0,21,63,0,0,0,0,67,59,3,0,0,0,63,79,0,0,0,0,79,20,0,0,0,0,24,17,0,0,0,0,19,14,0,0,0,0,8,31,0,0,0,0,31,338,11,4,3,0,364
LGA54130,17,0,0,0,0,17,3,0,0,0,0,4,3,0,0,0,0,3,10,0,0,0,0,12,5,0,0,0,0,5,20,0,0,0,0,20,9,0,0,0,0,9,14,0,0,0,0,15,0,0,0,0,0,0,5,0,0,0,0,5,6,0,0,0,0,6,6,0,0,0,0,6,96,0,0,4,0,103
LGA54170,1191,81,13,0,0,1282,385,34,7,0,0,422,309,16,5,0,0,338,510,44,12,0,0,564,733,47,17,0,0,798,2159,203,80,0,0,2440,3174,317,74,0,0,3560,6145,291,23,0,0,6469,3555,117,18,0,0,3690,3015,73,17,0,0,3102,2028,49,4,0,0,2080,1426,76,11,0,0,1515,24639,1353,272,4,3,26268
LGA54200,359,13,3,0,0,368,127,5,0,0,0,134,136,8,0,0,0,142,206,5,5,0,0,211,310,11,0,0,0,327,1128,42,3,0,0,1175,1722,49,0,3,0,1774,2540,34,0,0,3,2576,1045,3,0,0,0,1053,796,10,3,0,0,804,476,0,0,3,3,488,543,9,0,0,0,558,9403,179,15,13,4,9613
LGA54280,102,10,0,0,0,114,39,0,0,0,0,42,61,7,0,0,0,71,158,19,0,0,0,177,228,27,0,0,0,257,756,78,0,0,0,838,839,42,0,0,0,877,851,46,0,4,0,893,297,7,0,0,0,303,232,9,0,0,0,241,117,4,0,0,0,122,214,11,0,4,0,225,3900,242,10,14,0,4169
LGA54310,37,4,0,3,0,46,9,4,0,0,0,13,10,4,0,0,0,16,32,8,0,0,0,39,34,6,0,0,0,38,160,33,4,6,0,199,239,20,0,3,0,264,335,31,0,0,0,370,156,10,0,0,5,170,153,7,0,0,0,160,143,0,0,0,0,150,66,5,0,0,0,74,1374,139,10,16,5,1550
LGA54340,28,0,0,0,0,36,22,0,0,0,0,22,25,0,0,0,0,25,52,4,0,0,0,54,64,0,0,0,0,66,86,0,0,0,0,86,61,0,0,0,0,61,44,0,0,0,0,44,8,0,0,0,0,8,7,0,0,0,0,7,13,0,0,0,0,13,31,0,0,0,0,32,443,9,0,0,0,445
LGA54410,9,0,0,0,0,9,8,0,0,0,0,8,12,0,0,0,0,12,19,0,0,0,0,19,11,0,0,0,0,7,20,0,0,0,0,20,6,0,0,0,0,6,5,0,0,0,0,5,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,100,0,0,0,0,106
LGA54480,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,18,0,0,0,0,18
LGA54550,14,0,0,0,0,14,4,0,0,0,0,4,6,0,0,0,0,6,20,0,0,0,0,20,18,0,0,0,0,18,31,0,0,0,0,25,18,0,0,0,0,18,20,0,0,0,0,20,8,0,0,0,0,12,0,0,0,0,0,0,3,0,0,0,0,4,18,0,0,0,0,18,156,0,0,0,5,155
