LGA_CODE_2021,1_74_RE_agent,1_74_StateTeHAuthority,1_74_Com_house_prov,1_74_Person_not_same_hh,1_74_Oth_type,1_74_Not_stated,1_74_Total,75_99_RE_agent,75_99_StateTeHAuthority,75_99_Com_house_prov,75_99_Person_not_same_hh,75_99_Oth_type,75_99_Not_stated,75_99_Total,100_149_RE_agent,100_149_StateTeHAuthority,100_149_Com_house_prov,100_149_Person_not_same_hh,100_149_Oth_type,100_149_Not_stated,100_149_Total,150_199_RE_agent,150_199_StateTeHAuthority,150_199_Com_house_prov,150_199_Person_not_same_hh,150_199_Oth_type,150_199_Not_stated,150_199_Total,200_224_RE_agent,200_224_StateTeHAuthority,200_224_Com_house_prov,200_224_Person_not_same_hh,200_224_Oth_type,200_224_Not_stated,200_224_Total,225_274_RE_agent,225_274_StateTeHAuthority,225_274_Com_house_prov,225_274_Person_not_same_hh,225_274_Oth_type,225_274_Not_stated,225_274_Total,275_349_RE_agent,275_349_StateTeHAuthority,275_349_Com_house_prov,275_349_Person_not_same_hh,275_349_Oth_type,275_349_Not_stated,275_349_Total,350_449_RE_agent,350_449_StateTeHAuthority,350_449_Com_house_prov,350_449_Person_not_same_hh,350_449_Oth_type,350_449_Not_stated,350_449_Total,450_549_RE_agent,450_549_StateTeHAuthority,450_549_Com_house_prov,450_549_Person_not_same_hh,450_549_Oth_type,450_549_Not_stated,450_549_Total,550_649_RE_agent,550_649_StateTeHAuthority,550_649_Com_house_prov,550_649_Person_not_same_hh,550_649_Oth_type,550_649_Not_stated,550_649_Total,650_749_RE_agent,650_749_StateTeHAuthority,650_749_Com_house_prov,650_749_Person_not_same_hh,650_749_Oth_type,650_749_Not_stated,650_749_Total,750_849_RE_agent,750_849_StateTeHAuthority,750_849_Com_house_prov,750_849_Person_not_same_hh,750_849_Oth_type,750_849_Not_stated,750_849_Total,850_949_RE_agent,850_949_StateTeHAuthority,850_949_Com_house_prov,850_949_Person_not_same_hh,850_949_Oth_type,850_949_Not_stated,850_949_Total,950oveRE_agent,950oveStateTeHAuthority,950oveCom_house_prov,950ovePerson_not_same_hh,950oveOth_type,950oveNot_stated,950oveTotal,Rent_NS_RE_agent,Rent_NS_StateTeRent_Hauth,Rent_NS_Com_house_prov,Rent_NS_Person_not_same_hh,Rent_NS_Oth_type,Rent_NS_Not_stated,Rent_NS_Total,Total_RE_agent,Total_StateTer_HAuthority,Total_Com_house_prov,Total_Person_not_same_hh,Total_Oth_type,Total_NS,Total_Total
LGA10050,13,15,5,3,0,0,44,10,59,13,9,4,0,92,100,254,31,71,14,8,472,771,141,74,124,12,11,1134,483,46,15,131,16,4,686,982,84,19,197,42,6,1332,1478,37,8,233,23,13,1783,1159,11,11,144,12,0,1335,273,0,3,32,6,0,318,66,3,0,5,7,0,81,18,0,0,6,0,0,27,4,0,0,4,0,0,8,0,0,0,4,0,0,3,5,0,0,12,0,0,17,103,51,13,56,44,22,288,5451,705,188,1030,175,57,7613
LGA10180,0,3,5,9,7,0,26,6,18,0,7,8,0,38,35,32,17,29,18,0,130,145,90,63,71,15,8,383,200,35,37,73,12,0,360,457,68,38,97,19,0,687,691,53,23,123,19,0,911,701,13,8,109,14,0,847,158,0,0,14,4,0,184,33,0,0,7,3,0,43,8,0,5,0,6,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,10,28,14,9,39,43,5,138,2472,331,203,584,160,19,3771
LGA10250,5,13,4,0,5,0,30,0,12,3,3,3,0,22,9,249,26,28,22,6,338,14,72,37,33,30,3,188,11,36,12,46,27,3,132,60,43,20,84,40,3,247,290,35,15,204,47,0,588,737,30,9,271,21,5,1079,683,12,11,182,10,4,903,527,0,5,133,7,0,664,309,0,0,58,4,0,378,78,0,3,40,9,0,123,33,0,0,9,0,0,43,29,0,0,22,6,0,55,47,36,6,55,23,12,169,2841,537,140,1153,250,43,4960
LGA10300,0,6,3,0,3,0,17,0,0,0,0,3,0,9,0,4,0,5,6,0,10,14,11,3,9,5,0,38,7,3,0,13,9,0,34,6,5,4,21,5,0,31,9,3,0,7,0,0,22,4,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,8,4,0,15,38,28,13,71,41,3,190
LGA10470,5,19,12,5,3,0,44,0,30,10,3,5,0,47,32,158,23,39,3,0,260,139,81,14,62,11,0,303,143,69,14,84,4,0,319,382,33,14,118,8,5,555,970,55,25,220,23,0,1293,1171,20,8,149,16,4,1356,408,0,0,49,7,0,465,43,0,0,10,0,0,54,3,0,0,4,0,0,9,6,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,6,53,25,9,56,35,24,192,3353,500,115,804,109,32,4912
LGA10500,26,57,17,6,3,0,106,0,99,18,8,5,0,131,33,848,64,47,20,4,1021,63,258,98,96,27,4,535,72,128,37,99,16,3,352,198,124,33,158,71,0,582,980,74,45,266,49,4,1419,4426,57,30,519,105,18,5164,5897,48,26,590,117,3,6681,4702,20,17,452,78,10,5278,2699,17,12,259,50,3,3036,1156,6,3,115,41,0,1325,482,5,0,61,12,0,557,447,3,0,67,12,0,529,387,103,24,232,65,62,873,21564,1835,429,2976,657,121,27582
LGA10550,0,4,0,15,8,0,33,0,8,5,6,0,0,20,16,103,21,49,28,0,217,36,46,17,85,17,3,206,89,18,9,90,13,0,233,194,33,12,135,20,0,401,429,32,11,182,22,4,676,559,14,6,202,23,6,811,222,0,0,54,8,0,288,51,0,0,10,0,0,61,9,0,0,7,4,0,20,0,0,0,0,3,0,4,0,0,0,0,0,0,4,0,0,0,15,10,0,27,26,15,7,68,34,10,156,1637,273,98,935,204,29,3163
LGA10600,0,0,0,7,4,0,8,0,3,0,0,0,0,6,6,9,0,11,6,0,39,0,30,11,30,6,0,80,11,4,3,37,5,0,58,49,9,3,44,9,3,117,139,12,8,89,7,0,250,228,9,0,116,11,0,360,107,0,0,30,5,0,144,29,0,0,5,4,0,44,7,0,0,3,7,0,15,0,0,0,0,4,0,7,0,0,0,3,0,0,0,0,0,0,3,0,0,6,7,3,0,34,15,0,56,577,78,34,412,89,6,1193
LGA10650,0,0,0,4,5,0,12,0,0,11,4,3,0,22,35,4,5,27,17,4,96,49,7,4,61,13,0,127,54,0,5,34,11,0,96,74,0,3,28,6,0,111,88,0,0,25,6,0,117,28,0,0,19,0,0,46,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,8,11,3,29,336,11,31,211,77,7,675
LGA10750,32,179,8,28,5,4,263,12,379,22,11,10,5,427,39,2051,91,86,20,15,2309,101,1273,162,163,43,10,1751,156,572,64,167,18,12,986,500,644,97,235,100,7,1586,2885,716,94,612,106,15,4429,10425,752,131,1572,261,45,13186,7238,133,26,829,144,22,8395,4633,16,8,341,38,6,5048,1484,5,0,115,9,5,1624,231,3,6,28,5,3,281,54,0,0,9,0,0,67,74,0,0,13,8,0,95,504,403,59,285,85,94,1432,28366,7135,767,4502,855,240,41873
