LGA_CODE_2021,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
LGA10050,4300,3200,1577,535,27447
LGA10180,2511,1861,1136,394,15666
LGA10250,4575,4285,2072,828,25053
LGA10300,176,127,38,9,932
LGA10470,3532,2611,1260,445,22140
LGA10500,10882,6531,3318,1414,98563
LGA10550,4261,3872,1681,576,19417
LGA10600,1642,1451,606,174,7381
LGA10650,734,689,380,167,3957
LGA10750,22406,13516,5233,1741,190941
LGA10800,450,308,162,64,2623
LGA10850,641,474,227,58,3532
LGA10900,8800,7582,3347,1029,45533
LGA10950,196,115,67,28,1118
LGA11150,194,121,50,10,1154
LGA11200,108,67,16,3,551
LGA11250,1449,1042,454,209,7776
LGA11300,2695,1649,882,512,23490
LGA11350,3983,3204,1029,288,22033
LGA11400,1317,904,443,128,6626
LGA11450,5997,3573,1463,530,55026
LGA11500,10804,7241,2914,794,79194
LGA11520,7583,5274,2502,1032,54332
LGA11570,21580,12260,6018,3006,165239
LGA11600,214,127,40,15,1348
LGA11650,28975,23286,12919,5045,173448
LGA11700,181,140,48,10,918
LGA11720,4403,3275,1301,383,28845
LGA11730,5306,4787,2166,708,27112
LGA11750,359,213,89,23,2143
LGA11800,7038,6212,2987,1096,40473
LGA12000,332,283,109,46,1865
LGA12150,279,200,95,25,1572
LGA12160,955,872,458,133,5128
LGA12350,1033,1017,441,130,5783
LGA12380,11710,6759,3175,1276,108594
LGA12390,3994,2697,1417,479,26502
LGA12700,992,735,292,63,4755
LGA12730,751,489,267,97,3840
LGA12750,4848,4938,2259,760,22399
LGA12850,10184,6608,2967,1310,71257
LGA12870,1042,964,522,186,5739
LGA12900,700,528,315,97,4160
LGA12930,12080,7587,3812,2040,83400
LGA12950,381,275,143,46,1920
LGA13010,838,737,353,119,4271
LGA13310,2639,2096,1011,373,16016
LGA13340,1028,728,316,72,5097
LGA13450,1713,1028,504,252,11761
LGA13550,942,632,326,139,5766
LGA13660,425,321,171,43,2086
LGA13800,5481,3515,1652,534,32943
LGA13850,268,153,83,31,1226
LGA13910,1588,1224,584,158,8406
LGA14000,14765,10096,5715,2634,89223
LGA14100,1375,1141,711,497,8053
LGA14170,14690,9019,3618,1327,113899
LGA14220,1371,1095,571,163,7884
LGA14300,505,358,151,40,3347
LGA14350,3068,2648,1139,381,15157
LGA14400,2644,2499,1174,429,13686
LGA14500,12918,8959,5863,2668,74370
