LGA_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
LGA70620,82,73,191,122,148,82,38,13,0,748,978,683,872,668,609,481,247,70,16,4615
LGA70700,56,37,68,45,72,125,108,26,0,535,270,124,190,197,278,493,483,107,9,2155
LGA71000,1516,1126,1886,1488,1371,1373,935,332,92,10120,15385,9545,16791,13564,11271,10369,7793,2918,608,88250
LGA71150,4,0,12,15,29,36,26,6,0,139,34,24,125,96,107,137,93,30,0,635
LGA71300,151,144,263,195,198,156,49,5,0,1174,2016,1886,1763,1461,1184,854,338,75,12,9595
LGA72200,386,232,326,267,262,288,195,52,5,2011,2274,1239,2045,1569,1434,1615,1192,327,50,11748
LGA72300,691,624,1055,946,851,652,495,111,21,5441,4538,3061,3755,3759,3988,3806,2940,850,122,26809
LGA72330,157,164,321,263,184,126,80,20,0,1326,1371,977,1258,1015,891,792,560,118,14,6999
LGA72800,1054,528,725,621,453,325,162,60,18,3937,9352,4708,6745,5912,4474,3155,1799,586,166,36890
LGA73600,131,230,339,263,263,277,219,43,0,1761,1693,1393,1629,1264,1199,1335,1181,209,12,9925
LGA74050,57,24,36,25,35,33,16,6,0,231,514,385,414,364,351,240,98,15,0,2381
LGA74550,63,92,65,30,63,67,71,14,0,472,708,613,603,368,424,476,450,88,14,3743
LGA74560,5,4,6,0,0,4,8,4,0,33,52,17,15,43,70,97,87,27,3,410
LGA74660,166,87,195,142,146,187,142,29,0,1094,1630,1181,1532,1143,995,958,534,103,4,8083
LGA74680,140,63,46,39,34,19,8,0,3,356,822,597,570,423,284,198,67,19,7,3003
LGA79399,324,218,384,351,313,299,201,43,0,2124,1617,824,1402,1428,1247,1280,905,165,15,8879
LGA79799,0,11,15,38,39,36,11,3,0,156,0,37,58,105,120,106,42,10,0,482
LGA89399,4686,4645,4781,3762,3116,2367,1775,1009,537,26676,82610,60988,77621,69171,56053,44750,34875,19042,7200,452305
LGA89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA99399,75,36,40,50,57,63,51,43,6,422,407,282,269,295,367,483,370,208,49,2733
LGA99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
