LGA_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
LGA12930,464,11298,11757,13817,2037,15858,9467,867,10331,9363,526,9891,4007,226,4230,2142,104,2243,39262,15047,54316
LGA12950,21,535,555,560,111,675,217,30,247,152,20,166,100,16,116,33,0,40,1084,721,1802
LGA13010,55,1397,1450,1274,253,1524,370,58,427,312,42,354,165,17,181,65,6,69,2243,1772,4015
LGA13310,161,3815,3975,3815,643,4450,1547,160,1706,1464,108,1569,699,43,740,383,35,419,8062,4807,12865
LGA13340,74,1077,1149,1372,214,1578,498,54,546,470,46,514,281,28,308,175,9,186,2858,1427,4284
LGA13450,100,2438,2536,2694,510,3203,1392,163,1561,1383,111,1495,712,67,781,430,38,469,6725,3319,10042
LGA13550,68,1447,1514,1441,301,1744,634,78,709,614,63,673,348,26,372,157,12,169,3257,1929,5185
LGA13660,34,597,625,697,160,862,200,18,217,175,16,196,105,10,111,66,11,76,1280,807,2093
LGA13800,255,5161,5416,6785,848,7630,3741,217,3958,3683,162,3840,1892,63,1955,1200,43,1241,17549,6497,24048
LGA13850,27,425,450,389,90,475,148,20,163,101,22,119,51,3,50,27,4,27,728,565,1291
LGA13910,105,2399,2508,2457,463,2918,886,104,989,779,64,844,441,27,469,264,11,279,4938,3068,8010
LGA14000,511,9665,10184,14195,1302,15497,9499,345,9843,11102,257,11359,3949,102,4045,1895,34,1927,41149,11700,52852
LGA14100,65,1135,1201,1391,152,1539,658,31,692,822,29,853,407,12,417,127,7,136,3475,1369,4839
LGA14170,1032,23084,24113,21797,4929,26722,10363,1697,12061,9300,827,10126,2609,257,2867,980,96,1077,46078,30889,76964
LGA14220,103,2070,2180,2224,442,2672,910,138,1048,701,81,779,357,49,404,222,18,243,4513,2814,7326
LGA14300,35,617,653,673,98,773,284,22,306,263,25,285,139,16,153,58,8,67,1452,790,2241
LGA14350,140,3421,3557,3922,970,4887,1486,174,1663,1147,125,1270,582,73,656,435,46,483,7705,4805,12510
LGA14400,121,1975,2100,3261,428,3690,1117,79,1194,1216,59,1274,552,24,576,218,11,224,6490,2573,9064
LGA14500,474,7006,7487,11937,921,12861,7609,246,7852,9179,178,9351,3678,69,3754,1355,23,1374,34227,8449,42683
LGA14550,76,1293,1370,1308,298,1606,412,59,472,319,38,358,176,18,196,111,10,124,2405,1715,4125
LGA14600,28,768,800,705,165,866,291,42,331,231,29,259,139,26,166,80,8,88,1475,1035,2514
LGA14650,1140,20206,21345,26353,3128,29477,12099,769,12866,12125,387,12507,4786,182,4964,2179,91,2268,58685,24753,83435
LGA14700,211,4224,4434,4653,743,5404,2356,172,2525,2364,78,2443,862,25,882,232,9,240,10682,5252,15930
LGA14750,55,1213,1268,1242,218,1463,536,72,605,495,45,543,285,26,309,135,25,157,2756,1593,4347
LGA14850,259,5464,5725,5225,1134,6358,2311,331,2647,1939,183,2114,879,83,955,531,54,585,11150,7248,18390
LGA14870,104,2982,3085,2677,457,3134,1012,102,1115,866,61,931,395,41,434,226,16,244,5280,3661,8946
LGA14900,536,12596,13124,15179,2293,17467,12433,855,13287,14275,750,15029,7709,421,8127,5957,279,6235,56085,17185,73273
LGA14920,37,981,1017,949,235,1179,357,59,407,310,32,343,168,25,190,79,8,82,1892,1332,3222
LGA14950,9,338,349,439,71,507,145,14,161,114,8,121,81,7,88,64,4,67,849,439,1293
LGA15050,502,7244,7747,9981,1143,11119,5411,337,5751,5309,217,5525,2282,97,2380,1107,42,1153,24585,9087,33667
LGA15240,590,12690,13280,15071,2549,17620,4454,490,4942,3530,290,3823,1691,186,1876,991,94,1083,26332,16304,42636
LGA15270,155,2926,3079,3097,607,3708,1256,143,1397,1205,112,1313,623,48,673,307,21,325,6641,3863,10502
LGA15300,60,1583,1646,1209,546,1758,533,171,702,489,142,631,267,80,342,170,41,211,2729,2559,5288
LGA15350,152,3698,3850,3671,437,4103,1522,85,1612,1527,52,1578,595,18,613,164,3,167,7620,4299,11921
LGA15520,73,1466,1533,1878,285,2162,535,43,576,539,44,580,297,25,322,110,13,130,3434,1872,5304
LGA15560,19,452,472,462,98,560,159,18,175,113,8,121,68,8,76,40,3,38,857,593,1446
LGA15650,108,1890,1996,1765,307,2071,845,70,918,809,58,861,384,22,408,220,18,237,4131,2364,6498
LGA15700,103,2889,2988,2799,710,3515,963,114,1077,770,61,831,391,40,430,241,26,267,5264,3844,9103
LGA15750,79,1498,1577,1459,385,1846,633,100,732,495,67,560,303,46,348,161,23,183,3126,2115,5243
LGA15800,36,735,772,700,137,837,269,21,291,211,22,228,121,21,145,67,4,72,1405,955,2353
LGA15850,43,717,761,684,155,841,288,49,342,275,45,321,143,20,164,86,11,100,1522,1001,2523
LGA15900,1063,20102,21163,19194,4069,23265,9006,1554,10558,8354,671,9023,3213,244,3462,1220,130,1342,42051,26762,68811
LGA15950,486,12817,13305,10624,1997,12619,3758,488,4247,2655,163,2817,604,35,640,151,13,167,18279,15515,33794
LGA15990,1227,21328,22557,27596,3736,31333,14347,1008,15356,17628,598,18228,6943,261,7206,2587,99,2691,70330,27038,97369
LGA16100,28,693,720,741,155,895,240,42,285,225,27,250,108,28,129,63,6,69,1402,946,2350
LGA16150,212,4912,5121,4781,798,5585,2257,254,2510,2125,116,2244,1102,69,1172,514,32,549,10996,6183,17181
LGA16200,82,1854,1932,1668,261,1925,685,85,778,610,50,658,365,30,399,177,19,194,3587,2296,5889
LGA16260,861,21552,22412,25036,4824,29860,17135,1700,18830,15396,921,16321,5464,344,5807,2845,161,3007,66741,29494,96232
LGA16350,770,16590,17360,19681,3066,22748,12796,910,13702,12627,605,13235,5963,321,6280,3656,195,3853,55491,21691,77183
LGA16380,439,10214,10657,12675,1874,14552,4232,414,4645,3816,213,4030,1734,90,1824,884,42,928,23785,12847,36631
LGA16400,438,7758,8193,10330,1422,11753,3839,281,4127,3515,170,3685,1620,72,1690,931,38,968,20670,9744,30415
LGA16490,366,6038,6400,6753,960,7711,3703,243,3947,3747,171,3919,1522,84,1606,693,34,733,16785,7522,24311
LGA16550,671,15175,15850,14597,3713,18312,7296,1172,8469,7244,490,7732,2383,160,2536,853,82,936,33050,20790,53835
LGA16610,123,2772,2902,2986,702,3681,1089,147,1241,953,105,1057,513,66,580,323,40,364,5989,3829,9820
LGA16700,522,13251,13771,14114,2399,16513,8076,681,8754,7407,357,7764,2542,126,2668,1252,77,1325,33907,16888,50800
LGA16900,341,5973,6316,8859,968,9826,4497,243,4740,4504,199,4705,1893,81,1971,914,39,956,21014,7505,28517
LGA16950,632,12719,13351,15668,2571,18242,5368,545,5923,4501,425,4926,2062,185,2251,1112,95,1206,29348,16544,45896
LGA17000,158,2026,2180,2538,374,2918,1304,110,1415,1319,85,1408,680,34,712,363,13,374,6360,2643,8998
