LGA_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
LGA24210,512,9021,9535,13776,1231,15003,7839,369,8210,8240,263,8501,3073,98,3170,1231,49,1288,34680,11042,45720
LGA24250,72,1205,1277,1463,304,1771,433,59,497,382,50,434,208,25,231,67,11,74,2623,1653,4276
LGA24330,396,10487,10886,9444,2325,11772,4888,868,5757,4467,347,4818,1411,155,1562,598,73,672,21213,14259,35472
LGA24410,539,10822,11365,12779,1478,14256,6956,384,7344,7230,180,7404,2636,90,2728,1034,36,1069,31180,12985,44163
LGA24600,720,32940,33667,20435,9888,30329,5684,2421,8108,2774,893,3669,623,240,860,266,77,343,30511,46459,76969
LGA24650,506,9307,9815,12769,1850,14615,10357,649,11007,12227,514,12737,5484,292,5778,3411,172,3581,44745,12783,57535
LGA24780,333,6644,6978,6647,1284,7929,2928,361,3287,2589,260,2846,1258,120,1379,669,79,744,14414,8753,23170
LGA24850,243,4003,4248,5229,676,5911,2786,181,2968,2766,156,2925,1301,85,1389,680,45,724,13008,5158,18168
LGA24900,169,3779,3949,4321,681,5002,1340,145,1488,1212,90,1298,639,57,697,333,32,370,8013,4784,12793
LGA24970,642,14353,14993,18920,2916,21828,11595,1417,13012,12077,987,13067,4090,382,4471,1675,209,1891,48995,20267,69265
LGA25060,532,14388,14919,13638,2226,15864,6961,663,7628,7432,328,7759,2609,105,2721,756,39,796,31933,17762,49697
LGA25150,172,3195,3364,4259,493,4753,2108,133,2242,2206,90,2294,991,61,1052,422,16,436,10160,3990,14150
LGA25250,737,20695,21427,18873,4303,23175,9418,1802,11223,9019,1006,10026,2927,327,3256,1377,153,1528,42343,28288,70629
LGA25340,899,18300,19201,22638,3371,26006,8559,743,9300,8813,516,9327,3550,230,3777,1277,85,1363,45733,23236,68977
LGA25430,141,2887,3026,2968,488,3459,991,101,1094,851,61,914,286,23,308,134,0,134,5369,3567,8937
LGA25490,81,1696,1779,2330,353,2680,817,73,893,840,45,886,439,29,468,194,14,204,4704,2205,6908
LGA25620,90,1963,2051,2217,427,2637,693,104,796,640,70,714,268,35,302,124,13,138,4029,2613,6639
LGA25710,277,3083,3357,6376,438,6823,3742,124,3866,4695,82,4781,1932,55,1985,573,18,589,17601,3793,21392
LGA25810,64,1861,1920,1671,277,1945,559,60,613,443,44,487,207,24,230,97,8,109,3038,2263,5307
LGA25900,662,22706,23365,14287,3955,18243,4558,920,5475,3418,307,3732,940,78,1016,255,25,280,24123,27983,52106
LGA25990,44,1001,1051,1105,179,1282,330,36,370,267,20,293,141,13,154,71,15,83,1964,1263,3232
LGA26080,29,542,566,611,137,746,135,23,159,110,15,126,48,6,48,5,0,8,939,719,1658
LGA26170,192,3736,3928,4307,734,5042,1401,137,1542,1296,105,1407,693,44,743,292,23,311,8184,4788,12972
LGA26260,107,2428,2535,2274,321,2592,805,59,861,704,35,731,339,29,362,141,6,153,4365,2866,7234
LGA26350,559,19246,19815,13871,3644,17512,4743,995,5736,4258,354,4616,1496,102,1600,362,19,380,25295,24364,49657
LGA26430,88,1655,1744,1770,318,2086,547,53,598,396,44,442,194,17,212,92,3,97,3075,2099,5170
LGA26490,211,2956,3165,4487,868,5357,1852,235,2087,2270,181,2448,959,67,1022,264,36,297,10041,4337,14380
LGA26610,97,2352,2441,2435,550,2986,1013,144,1156,897,131,1031,524,70,592,271,29,297,5228,3276,8505
LGA26670,46,770,812,956,141,1098,257,22,280,239,26,261,113,15,125,45,0,50,1655,973,2630
LGA26700,153,3799,3956,4026,551,4577,1469,132,1602,1372,86,1457,644,28,670,264,27,284,7927,4615,12547
LGA26730,185,4408,4593,4543,633,5175,1880,178,2057,1694,109,1806,744,56,805,263,34,301,9310,5428,14738
LGA26810,261,5645,5908,6092,941,7036,2165,259,2427,1944,151,2094,923,71,993,411,25,442,11797,7091,18888
LGA26890,20,633,650,573,109,680,167,19,186,147,18,162,84,3,92,32,7,36,1021,778,1803
LGA26980,683,16182,16870,17760,2762,20521,10116,981,11094,10717,608,11325,3615,217,3835,1332,136,1464,44225,20885,65112
LGA27070,751,14181,14936,19822,2394,22220,14074,896,14970,15488,655,16142,6694,304,6995,3355,168,3529,60186,18610,78791
LGA27170,246,4752,4995,5097,654,5753,2360,179,2542,2239,99,2331,968,64,1028,429,21,447,11332,5765,17094
LGA27260,831,14115,14943,20152,3128,23284,18490,1512,20004,20138,1260,21397,8040,637,8680,5520,386,5904,73173,21034,94206
LGA27350,433,15815,16252,12329,3668,16000,4039,1620,5660,3013,616,3635,811,170,973,256,48,300,20876,21933,42807
LGA27450,762,12145,12912,17532,1892,19429,9110,481,9595,9722,330,10055,3902,127,4026,1776,68,1844,42808,15052,57857
LGA27630,40,1040,1072,955,159,1117,296,20,311,210,15,224,129,9,139,62,0,67,1688,1241,2929
LGA29399,6,140,148,38,124,162,18,55,73,7,55,63,5,33,41,8,25,28,81,431,514
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA30250,0,49,49,32,7,38,41,0,46,26,0,26,22,0,23,65,0,68,187,60,253
LGA30300,36,551,580,501,222,718,210,29,241,168,19,185,91,9,103,63,10,73,1069,837,1900
LGA30370,119,1739,1856,1611,533,2150,642,121,765,660,81,741,328,48,374,165,29,191,3528,2550,6073
LGA30410,28,459,484,328,326,655,119,33,152,104,11,120,54,9,66,42,3,44,675,840,1523
LGA30450,3,68,68,34,68,101,15,4,16,9,0,7,5,5,7,7,0,9,68,144,207
LGA30760,22,258,283,274,107,378,93,19,115,72,9,83,34,4,39,15,0,17,510,395,907
LGA30900,0,74,77,37,53,89,19,3,21,16,9,20,7,5,8,7,0,14,89,139,230
LGA31000,6724,122497,129218,131959,27565,159527,70246,8747,78991,69615,3946,73564,26502,1490,27990,12142,648,12791,317189,164890,482077
LGA31750,0,79,77,31,37,72,12,5,12,14,3,13,4,0,4,7,0,8,71,120,190
LGA31820,647,11133,11784,13741,3106,16845,4950,514,5467,4081,320,4396,1865,136,1998,1208,92,1300,26492,15294,41783
LGA31900,113,2089,2204,2255,484,2734,797,103,907,714,63,777,325,46,374,144,23,167,4345,2813,7155
LGA31950,3,122,129,35,238,276,12,14,24,5,15,22,6,3,8,6,5,9,73,389,461
LGA32080,1236,17578,18813,18142,4736,22881,8943,1138,10080,7769,652,8423,3186,281,3462,2067,191,2259,41336,24581,65917
LGA32250,19,336,359,184,507,689,88,32,121,55,31,83,45,20,67,46,4,48,443,925,1365
LGA32260,191,3546,3740,3701,1593,5290,1396,236,1635,1140,189,1327,535,94,630,398,45,440,7356,5707,13061
LGA32270,260,2985,3245,2681,1102,3783,1284,235,1521,1330,140,1474,703,72,774,365,38,407,6627,4577,11209
LGA32310,150,1483,1633,1315,662,1975,498,121,616,419,76,493,213,42,256,140,27,164,2726,2415,5141
LGA32330,0,64,64,41,10,51,57,4,62,39,0,40,34,0,34,57,0,61,232,85,320
LGA32450,22,519,540,274,466,744,132,42,177,123,37,160,71,18,85,50,10,64,675,1092,1769
LGA32500,27,780,813,414,785,1199,175,97,274,147,90,242,84,44,127,64,24,90,917,1828,2745
LGA32600,0,51,50,17,63,79,11,3,14,5,4,16,0,3,6,5,0,8,50,119,171
LGA32750,3,57,62,28,34,64,7,5,15,3,3,6,0,0,7,3,0,3,50,99,151
LGA32770,0,41,41,43,20,69,41,6,45,35,0,35,31,0,33,89,0,88,239,68,312
LGA32810,94,1570,1668,1597,972,2570,530,152,678,459,111,576,183,36,224,124,34,157,2988,2875,5863
LGA33100,5,191,199,78,319,398,29,20,51,19,21,40,8,5,15,5,11,15,158,565,721
LGA33200,14,258,272,165,154,324,54,22,72,63,9,68,30,3,35,19,4,20,340,445,789
LGA33220,729,12683,13416,16780,3574,20358,5327,564,5888,4173,283,4459,1937,133,2067,1298,71,1369,30246,17303,47553
LGA33360,568,6548,7114,7213,1958,9168,3375,325,3691,3170,212,3376,1409,83,1497,801,46,848,16535,9170,25699
LGA33430,3433,56965,60399,70774,15636,86407,35744,4347,40084,33527,2304,35825,12802,888,13691,6687,372,7059,162955,80507,243469
LGA33610,79,1200,1280,1222,311,1533,506,78,582,419,48,465,229,23,255,123,9,140,2589,1668,4252
LGA33620,366,5944,6312,7323,1466,8789,2637,272,2907,2121,183,2307,1062,68,1127,726,44,775,14236,7980,22219
LGA33800,84,1498,1584,1686,497,2186,483,55,539,389,47,438,204,25,224,101,10,106,2942,2133,5072
LGA33830,0,79,80,63,17,81,43,3,42,35,0,34,26,0,25,38,0,34,208,102,305
LGA33960,1240,17858,19097,21464,3455,24925,13148,1110,14252,12545,626,13172,5836,357,6198,4120,185,4302,58356,23594,81945
LGA33980,195,2245,2436,1692,863,2561,918,157,1070,975,107,1080,468,49,514,243,22,264,4491,3440,7935
LGA34420,0,54,54,50,25,74,37,3,42,31,0,31,31,0,31,60,0,61,205,78,286
LGA34530,453,3433,3888,4790,1381,6173,1978,210,2193,1814,147,1961,831,68,894,458,30,489,10331,5270,15595
LGA34570,0,53,55,27,24,50,20,0,26,21,0,21,19,0,17,32,0,31,113,77,191
LGA34580,243,3157,3400,4557,753,5309,2117,231,2342,1934,172,2100,912,94,1006,721,63,781,10476,4465,14945
LGA34590,1480,23997,25477,31165,5172,36336,19081,1908,20991,18023,1286,19311,8963,662,9624,7477,420,7896,86188,33446,119634
LGA34710,42,559,593,417,334,748,164,43,206,134,39,173,73,24,97,27,10,39,849,1000,1852
LGA34770,1330,11234,12561,13457,2880,16338,6526,755,7278,5909,467,6374,2751,246,2998,1379,95,1475,31358,15673,47026
LGA34800,4,111,113,64,121,179,31,12,43,22,12,32,16,5,12,18,0,21,149,253,398
LGA34830,0,49,49,14,14,24,9,0,9,16,0,20,17,0,17,21,0,23,70,66,136
LGA34860,141,1543,1680,1385,507,1888,610,86,693,569,73,642,268,42,310,144,17,164,3114,2265,5381
LGA34880,177,2520,2703,2602,869,3472,1018,194,1212,820,136,955,444,79,524,349,40,391,5416,3835,9253
LGA35010,2737,38749,41483,54173,7198,61372,27183,1762,28941,26322,1099,27422,11310,532,11839,6635,284,6924,128356,49627,177980
LGA35250,0,74,80,44,13,53,30,5,32,30,6,40,22,0,22,52,3,58,174,112,284
LGA35300,132,2160,2289,1659,730,2385,890,149,1038,876,83,956,441,44,485,368,33,402,4358,3188,7547
LGA35600,39,626,665,484,243,729,176,33,211,132,28,154,67,11,79,46,9,56,949,945,1896
LGA35670,0,45,45,29,10,41,39,3,38,31,0,31,24,8,36,45,5,51,163,71,226
LGA35740,431,5578,6005,8251,1790,10038,2925,346,3272,2635,205,2843,1022,75,1101,465,41,502,15722,8033,23755
LGA35760,87,1407,1496,1361,409,1772,447,99,551,338,51,387,181,32,218,105,19,123,2525,2018,4544
LGA35780,6,211,222,121,166,286,95,22,115,95,31,125,72,8,83,145,6,152,532,446,976
LGA35790,4,110,111,77,19,99,64,11,69,67,0,64,56,4,57,115,0,117,375,144,522
LGA35800,13,273,283,206,181,388,76,11,78,73,10,80,30,0,33,22,3,29,416,476,894
LGA36070,0,43,43,46,5,59,23,0,23,16,0,18,20,3,24,23,0,29,128,54,182
LGA36150,11,115,132,76,80,156,38,11,45,23,0,23,15,5,18,10,0,10,173,205,377
LGA36250,910,13177,14088,19534,2161,21693,9302,480,9783,9268,271,9542,3644,107,3747,1809,52,1860,44457,16254,60718
LGA36300,8,85,95,80,67,144,32,3,33,24,5,28,17,11,27,14,8,17,176,167,344
LGA36370,722,8924,9641,8862,1740,10608,4310,469,4776,3900,266,4170,1706,141,1853,1023,69,1086,20523,11608,32134
LGA36510,241,3651,3893,5580,812,6392,2198,187,2379,2015,136,2144,964,60,1024,616,33,652,11597,4879,16479
LGA36580,156,2252,2408,3181,542,3721,1200,125,1326,1166,77,1245,579,53,634,411,26,437,6692,3071,9771
LGA36630,220,4147,4367,4468,998,5465,1521,214,1735,1125,129,1256,649,72,720,438,51,484,8419,5614,14035
LGA36660,240,4354,4597,5083,805,5893,1681,212,1885,1394,110,1507,738,70,807,441,36,478,9579,5590,15165
LGA36720,2335,31350,33688,43676,7770,51443,18434,1949,20381,17879,1056,18940,7118,399,7520,3406,140,3542,92845,42668,135512
LGA36820,229,3295,3523,3524,1118,4642,1201,207,1407,962,129,1092,487,70,561,353,46,398,6750,4862,11612
LGA36910,1146,18350,19493,20968,3200,24164,8840,838,9677,7769,431,8200,3840,217,4058,2351,89,2437,44912,23119,68033
LGA36950,16,308,324,186,98,278,108,27,133,140,28,175,96,11,107,122,3,127,674,470,1144
LGA36960,8,251,261,184,34,227,147,11,160,147,8,150,109,3,115,191,0,193,791,315,1106
LGA37010,1728,19259,20982,21049,4920,25975,10647,1291,11944,8990,704,9696,3819,302,4127,2321,190,2513,48562,26666,75236
LGA37300,32,343,380,331,165,499,191,41,232,218,32,248,111,16,129,59,7,73,945,610,1558
LGA37310,236,3777,4006,3795,917,4718,1615,224,1842,1416,160,1572,732,79,814,502,39,542,8291,5199,13484
LGA37340,339,3998,4337,4038,2165,6200,1657,341,2004,1488,212,1700,691,88,778,371,66,431,8574,6871,15451
LGA37400,20,236,254,136,203,338,44,14,62,39,5,44,9,9,13,7,8,17,254,478,735
LGA37550,0,83,83,44,8,50,55,0,54,35,0,37,26,0,30,42,3,43,198,97,293
LGA37570,0,18,18,14,0,15,16,0,16,7,0,13,10,0,10,12,0,12,60,23,83
LGA37600,0,56,56,54,17,76,50,3,56,76,3,81,62,4,64,177,0,175,417,82,503
LGA39799,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5
LGA40070,145,5353,5496,3277,1399,4674,844,380,1221,420,120,530,88,24,115,36,18,49,4802,7286,12093
LGA40120,273,2849,3118,5091,426,5515,2255,121,2376,2573,84,2659,959,27,984,373,17,391,11513,3537,15043
LGA40150,67,721,789,1058,174,1234,536,55,588,501,43,542,266,9,277,160,12,169,2586,1011,3603
LGA40220,220,3455,3687,4735,577,5315,1312,105,1416,1158,82,1239,479,20,498,239,7,250,8148,4248,12394
LGA40250,8,150,157,67,37,99,69,10,76,51,0,53,62,0,62,160,0,160,411,195,609
LGA40310,182,2587,2769,3495,326,3823,1334,89,1426,1295,44,1340,522,12,540,237,9,248,7065,3071,10136
LGA40430,22,403,431,445,94,529,107,3,114,70,3,78,48,12,51,20,0,20,710,514,1227
LGA40520,72,1468,1538,1465,263,1729,521,48,569,457,20,478,195,7,205,92,10,106,2809,1819,4622
LGA40700,240,4777,5020,5386,510,5896,2443,114,2555,3046,94,3136,1050,29,1074,355,11,366,12506,5548,18049
LGA40910,304,5755,6063,6229,735,6962,3440,254,3699,3395,122,3518,1120,46,1166,403,24,431,14896,6933,21832
LGA41010,27,454,481,436,128,567,151,22,177,165,13,175,77,8,85,44,9,49,905,631,1535
LGA41060,725,15113,15834,14812,2237,17050,7202,671,7875,6539,283,6824,2205,118,2318,947,49,993,32427,18475,50898
LGA41140,66,1176,1244,1385,242,1631,432,51,481,359,18,376,193,5,200,75,5,77,2507,1507,4012
LGA41190,14,247,268,236,46,285,56,7,62,92,3,94,37,3,41,17,0,17,451,313,762
LGA41330,12,448,455,161,211,381,46,27,65,32,21,54,21,11,30,17,0,18,285,717,1001
LGA41560,126,2056,2182,2501,426,2933,669,68,738,512,39,547,232,16,244,122,4,131,4159,2609,6767
LGA41750,13,147,158,130,88,213,35,10,46,36,5,40,22,3,23,13,0,19,241,252,500
LGA41830,23,291,313,240,93,332,73,14,81,51,12,64,17,7,18,19,0,17,414,420,829
LGA41960,17,167,186,206,54,253,53,7,63,49,5,48,17,4,23,8,3,13,342,245,587
LGA42030,192,3053,3249,3236,413,3648,1495,83,1584,1177,55,1233,486,21,503,231,12,239,6827,3635,10460
LGA42110,36,619,655,595,104,703,178,16,196,147,13,155,74,10,77,37,0,45,1068,764,1833
LGA42250,54,581,633,1084,156,1239,346,31,378,417,19,441,211,17,226,75,5,83,2197,807,3003
LGA42600,273,5657,5933,5307,727,6036,1891,144,2039,1766,72,1836,592,23,617,170,7,173,10002,6632,16631
LGA42750,46,723,765,710,200,909,182,26,208,181,28,207,86,14,99,36,11,43,1238,997,2236
LGA43080,4,154,164,125,26,144,41,5,47,43,3,44,24,0,26,7,0,10,245,191,434
LGA43220,15,128,146,139,31,167,35,0,33,35,4,39,30,0,32,8,0,11,266,168,433
LGA43360,26,340,367,378,65,445,99,10,108,81,7,81,41,4,41,12,5,12,627,430,1055
LGA43650,105,1031,1136,1769,195,1968,843,38,876,921,40,959,459,16,478,206,6,209,4298,1327,5630
LGA43710,65,494,558,743,178,920,268,30,297,290,20,311,129,8,140,61,3,67,1563,730,2296
LGA43790,73,1492,1568,1712,281,1992,514,66,582,473,48,521,250,19,270,102,8,112,3124,1918,5040
LGA44000,0,18,18,3,3,9,3,0,3,3,0,3,0,0,0,3,0,3,18,21,36
LGA44060,569,11191,11760,11536,1599,13132,5770,603,6376,5162,238,5402,1717,79,1794,669,41,711,25423,13745,39173
LGA44210,91,1467,1565,1416,352,1765,344,54,403,320,25,352,144,19,160,62,9,71,2379,1927,4313
LGA44340,405,5982,6389,7750,776,8530,3813,216,4034,4495,118,4613,1529,53,1578,443,29,474,18441,7175,25615
LGA44550,348,3294,3643,4753,532,5283,2328,146,2475,2270,81,2350,913,32,943,347,13,360,10948,4105,15055
LGA44620,181,3883,4064,3445,486,3932,1382,137,1522,1232,50,1293,481,21,500,250,9,264,6983,4590,11568
LGA44830,35,425,459,476,163,635,119,20,136,97,19,115,49,3,51,22,9,25,798,632,1429
LGA45040,132,2734,2867,2780,449,3228,1051,99,1151,921,77,1001,410,23,432,246,12,260,5539,3390,8931
LGA45090,54,966,1020,1138,206,1347,411,57,466,391,25,417,185,23,209,77,8,88,2249,1288,3535
LGA45120,32,643,670,692,123,819,187,16,204,159,12,172,111,5,118,33,0,35,1212,796,2013
LGA45290,230,5728,5958,4585,855,5438,1998,237,2233,1969,113,2082,615,49,656,163,12,173,9551,6992,16546
LGA45340,1185,18021,19205,22337,2595,24935,10654,649,11297,9572,348,9921,3528,146,3668,1435,53,1483,48706,21813,70520
LGA45400,11,128,139,117,40,158,25,7,32,29,0,30,21,0,21,15,0,9,216,174,390
LGA45540,16,378,396,236,83,319,58,15,75,28,12,36,22,0,22,10,0,13,375,492,865
LGA45680,568,9418,9982,9585,1660,11246,5624,526,6154,4922,295,5219,2386,146,2529,1864,78,1943,24957,12117,37070
LGA45890,698,15505,16199,13784,2502,16289,7786,820,8609,7014,398,7411,2568,180,2747,1530,115,1650,33386,19518,52900
LGA46090,133,2022,2158,1570,396,1963,674,91,763,518,62,580,243,24,268,164,23,182,3290,2620,5912
LGA46300,145,1970,2114,1845,336,2181,743,98,833,626,48,676,250,28,278,109,8,113,3717,2483,6199
LGA46450,134,2594,2726,2266,348,2614,916,81,994,677,37,713,349,21,368,160,13,169,4500,3090,7590
LGA46510,134,2355,2488,2363,400,2765,1284,160,1442,1392,85,1475,490,22,512,141,19,155,5807,3043,8842
LGA46670,56,1215,1276,1323,253,1577,540,46,588,391,37,433,197,22,222,86,20,104,2598,1598,4197
LGA46860,27,205,236,255,70,323,69,18,87,50,10,58,23,0,28,12,5,17,432,303,741
LGA46970,30,360,390,280,136,419,182,44,222,209,32,242,107,8,120,40,10,49,847,589,1433
LGA47140,670,13713,14382,14448,2077,16526,8328,661,8988,7702,363,8070,3567,198,3762,2531,96,2624,37241,17108,54350
LGA47290,15,296,310,292,42,335,70,16,82,83,15,95,44,6,45,9,0,9,509,373,884
LGA47490,17,265,283,292,132,426,81,14,95,91,12,102,49,9,53,13,4,18,547,426,974
LGA47630,40,769,813,861,161,1029,351,53,401,286,35,322,151,9,160,60,12,74,1759,1037,2798
LGA47700,551,9121,9667,12715,1079,13788,6228,253,6483,6120,138,6258,2168,63,2226,885,26,913,28663,10679,39342
LGA47800,38,800,839,782,149,929,232,34,263,188,25,214,105,18,118,50,3,55,1395,1027,2421
LGA47910,19,427,451,459,98,554,104,8,117,96,12,107,56,4,62,21,0,22,759,546,1307
LGA47980,234,4746,4980,4744,645,5386,2065,232,2294,2219,88,2307,726,24,750,181,13,194,10164,5753,15917
LGA48050,123,2410,2536,3001,344,3334,707,46,754,507,18,532,225,12,235,100,5,111,4666,2840,7499
LGA48130,48,889,934,879,143,1026,297,27,326,291,9,301,155,10,164,97,0,101,1768,1077,2849
LGA48260,32,986,1017,1029,156,1191,386,38,427,441,21,467,173,4,180,43,4,47,2107,1217,3323
LGA48340,59,1576,1638,1728,214,1940,528,49,572,479,38,521,250,13,269,93,5,99,3139,1895,5035
LGA48410,340,7926,8260,7042,1343,8386,3568,546,4115,3326,231,3556,1056,72,1128,361,36,394,15689,10153,25839
LGA48540,163,3544,3703,2775,477,3250,1110,116,1222,928,61,986,379,27,408,154,19,170,5509,4234,9746
LGA48640,6,141,153,135,43,177,42,4,44,47,6,54,39,8,44,3,0,4,278,203,483
LGA48750,53,813,867,1002,183,1187,243,15,255,195,11,209,95,0,100,57,0,54,1643,1031,2670
LGA48830,99,1900,2000,2029,439,2461,397,57,446,342,35,381,160,17,182,101,7,113,3128,2453,5586
LGA49399,17,711,728,253,409,657,91,30,118,88,27,110,52,9,64,35,5,37,537,1178,1716
LGA49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50080,313,4570,4882,4993,718,5707,1910,189,2101,1697,74,1772,737,38,777,408,19,425,10060,5605,15664
LGA50210,684,7283,7965,8978,1180,10152,5632,355,5991,5686,222,5900,2367,123,2484,1398,60,1458,24740,9218,33956
LGA50250,61,775,836,423,706,1129,209,79,285,255,74,325,152,30,183,70,26,94,1166,1699,2862
LGA50280,199,1584,1783,1897,513,2411,904,122,1030,828,106,940,303,33,337,100,14,120,4234,2381,6612
LGA50350,143,1963,2100,1882,289,2171,962,90,1050,845,47,887,272,13,288,112,14,129,4214,2416,6632
LGA50420,635,8634,9269,8325,1438,9758,4158,374,4534,3565,177,3747,1122,67,1188,538,33,566,18345,10720,29068
LGA50490,419,5896,6316,4704,1100,5806,2312,372,2675,1806,183,1988,706,66,773,415,27,435,10358,7644,17996
LGA50560,24,227,253,271,64,329,79,10,90,46,6,52,23,4,24,12,3,12,456,311,767
LGA50630,23,174,197,217,34,245,82,14,96,81,7,91,32,5,35,13,0,13,441,230,670
LGA50770,18,208,228,262,49,313,69,8,77,74,11,87,40,8,43,14,4,20,481,285,763
LGA50840,60,628,686,794,127,917,218,20,241,206,15,220,103,4,113,44,4,43,1430,794,2217
LGA50910,4,111,120,126,15,143,32,7,43,39,7,48,8,0,15,10,0,10,229,139,370
LGA50980,164,1676,1837,1171,2365,3534,779,320,1099,779,281,1060,439,129,567,332,68,395,3659,4833,8495
LGA51080,9,107,116,138,22,162,50,11,54,39,5,41,26,0,24,15,3,17,271,146,421
LGA51120,10,113,123,117,37,154,40,9,40,34,3,34,20,7,19,4,0,4,229,166,393
LGA51190,330,4847,5170,4235,735,4977,1645,191,1831,1351,76,1427,514,35,551,252,23,276,8327,5905,14228
LGA51260,441,3957,4405,5230,915,6143,2076,179,2257,1991,139,2134,800,62,863,324,25,350,10859,5279,16136
LGA51310,210,2456,2664,3015,310,3333,1427,99,1525,2029,49,2076,820,21,844,189,3,188,7691,2944,10634
LGA51330,572,7488,8065,8718,1346,10059,5584,648,6231,5920,412,6331,2366,197,2564,1233,92,1323,24392,10187,34578
LGA51400,188,1145,1332,2009,252,2252,1056,54,1113,1047,33,1082,501,17,513,197,7,204,4995,1502,6496
LGA51470,9,134,141,81,19,99,20,8,24,17,3,18,4,0,4,8,0,8,132,165,300
LGA51540,50,824,873,517,1080,1598,210,97,313,196,107,304,75,54,126,64,30,95,1117,2189,3306
LGA51610,15,93,116,206,48,252,73,17,90,75,13,91,36,9,39,11,4,15,422,176,594
LGA51680,62,344,414,705,82,788,322,28,349,262,22,284,143,3,152,99,5,103,1605,489,2092
LGA51710,14,154,169,109,24,130,63,13,78,65,5,71,32,0,33,11,0,11,292,201,499
LGA51750,89,1455,1546,1347,223,1571,540,61,599,562,27,591,231,12,242,54,4,54,2821,1777,4603
LGA51820,1039,10501,11545,12698,1732,14431,7442,477,7922,7303,241,7545,2540,107,2643,1048,41,1089,32070,13103,45173
LGA51860,0,22,23,33,11,45,20,6,27,16,8,20,18,0,18,24,0,29,114,52,168
LGA51890,77,1150,1230,1089,154,1243,425,41,466,401,32,432,178,19,194,75,5,81,2253,1402,3653
LGA51960,32,490,522,344,136,487,147,38,185,116,46,164,50,13,61,35,5,38,739,719,1456
LGA52030,15,163,180,172,66,238,35,8,40,39,6,43,9,0,7,5,0,9,280,243,519
LGA52100,13,136,144,148,15,163,46,8,51,37,5,39,24,0,21,3,0,3,262,163,427
LGA52170,79,803,882,928,165,1098,404,52,452,422,19,441,202,4,212,58,0,58,2085,1051,3138
LGA52240,12,154,161,142,27,170,49,8,56,45,0,44,21,0,18,9,5,14,274,195,468
LGA52310,16,115,130,148,22,166,43,3,38,33,0,33,8,3,11,7,0,12,246,145,397
LGA52380,0,97,96,18,35,50,4,5,7,0,0,0,0,5,5,0,3,3,20,146,161
LGA52450,13,154,168,130,27,159,54,6,54,57,10,69,28,0,28,17,0,16,301,193,492
LGA52520,11,134,142,131,35,166,61,13,77,59,10,74,35,6,40,13,9,19,309,207,519
LGA52590,52,422,468,503,163,669,125,19,147,117,16,139,49,3,58,24,0,24,866,631,1496
LGA52660,150,1256,1402,1785,230,2008,845,38,880,763,33,795,335,7,344,139,0,142,4014,1565,5578
LGA52730,100,818,915,829,218,1050,282,58,340,225,34,263,114,14,128,45,9,54,1594,1148,2745
LGA52800,42,865,907,415,688,1104,220,93,310,197,72,269,151,53,203,223,30,255,1241,1797,3043
LGA52870,72,603,674,916,121,1033,252,31,279,265,15,282,123,4,129,63,11,71,1691,778,2470
LGA52940,7,126,128,94,16,111,29,0,31,20,4,19,18,0,21,7,0,7,176,143,322
LGA53010,6,79,87,89,22,110,22,15,34,33,5,35,13,0,12,3,0,8,162,124,279
LGA53080,8,183,188,73,53,122,23,7,32,14,6,19,6,3,11,5,0,5,127,246,372
LGA53150,53,791,846,875,122,999,423,31,455,487,12,501,164,7,173,49,0,49,2058,968,3022
LGA53220,40,777,815,363,386,746,233,53,288,239,46,287,140,15,155,147,20,165,1166,1292,2456
LGA53290,163,1683,1841,1594,422,2018,644,93,730,593,72,668,267,47,309,133,13,142,3389,2329,5720
LGA53360,54,426,481,293,943,1236,142,95,233,147,126,276,70,34,107,30,38,78,744,1666,2404
LGA53430,333,4712,5051,3964,850,4813,1707,246,1955,1436,110,1550,447,33,481,137,20,157,8042,5966,14005
LGA53570,75,604,681,758,175,936,246,35,272,187,28,212,80,6,87,70,5,78,1412,856,2268
LGA53640,7,135,149,155,22,175,51,9,54,63,5,69,21,3,24,16,3,20,312,174,488
