LGA_CODE_2021,P_PG_Deg_35_44_yr,P_PG_Deg_45_54_yr,P_PG_Deg_55_64_yr,P_PG_Deg_65_74_yr,P_PG_Deg_75_84_yr,P_PG_Deg_85_yr_over,P_PGuate_Deg_Tot,P_Grad_Dip_Cer_15_24_yr,P_Grad_Dip_Cer_25_34_yr,P_Grad_Dip_Cer_35_44_yr,P_Grad_Dip_Cer_45_54_yr,P_Grad_Dip_Cer_55_64_yr,P_Grad_Dip_Cer_65_74_yr,P_Grad_Dip_Cer_75_84_yr,P_Grad_Dip_Cer_85_yr_over,P_Grad_Dip_Cer_Tot,P_B_Deg_15_24_yr,P_B_Deg_25_34_yr,P_B_Deg_35_44_yr,P_B_Deg_45_54_yr,P_B_Deg_55_64_yr,P_B_Deg_65_74_yr,P_B_Deg_75_84_yr,P_B_Deg_85_yr_over,P_B_Deg_Tot,P_Adv_Dip_Dip_15_24,P_Adv_Dip_Dip_25_34,P_Adv_Dip_Dip_35_44,P_Adv_Dip_Dip_45_54,P_Adv_Dip_Dip_55_64,P_Adv_Dip_Dip_65_74,P_Adv_Dip_Dip_75_84,P_Adv_Dip_Dip_85_yr_over,P_Adv_Dip_Dip_Total,P_Cer_III_IV_15_24_yr,P_Cer_III_IV_25_34_yr,P_Cer_III_IV_35_44_yr,P_Cer_III_IV_45_54_yr,P_Cer_III_IV_55_64_yr,P_Cer_III_IV_65_74_yr,P_Cer_III_IV_75_84_yr,P_Cer_III_IV_85_yr_over,P_Cer_III_IV_Tot,P_Cer_I_II_15_24_yr,P_Cer_I_II_25_34_yr,P_Cer_I_II_35_44_yr,P_Cer_I_II_45_54_yr,P_Cer_I_II_55_64_yr,P_Cer_I_II_65_74_yr,P_Cer_I_II_75_84_yr,P_Cer_I_II_85_yr_over,P_Cer_I_II_Tot,P_Cer_nfd_15_24_yr,P_Cer_nfd_25_34_yr,P_Cer_nfd_35_44_yr,P_Cer_nfd_45_54_yr,P_Cer_nfd_55_64_yr,P_Cer_nfd_65_74_yr,P_Cer_nfd_75_84_yr,P_Cer_nfd_85_yr_over,P_Cer_nfd_Tot,P_Cer_Tot_15_24_yr,P_Cer_Tot_25_34_yr,P_Cer_Tot_35_44_yr,P_Cer_Tot_45_54_yr,P_Cer_Tot_55_64_yr,P_Cer_Tot_65_74_yr,P_Cer_Tot_75_84_yr,P_Cer_Tot_85_yr_over,P_Cer_Tot_Tot,P_lvl_educ_inad_desc_15_24,P_lvl_educ_inad_desc_25_34,P_lvl_educ_inad_desc_35_44,P_lvl_educ_inad_desc_45_54,P_lvl_educ_inad_desc_55_64,P_lvl_educ_inad_desc_65_74,P_lvl_educ_inad_desc_75_84,P_lvl_educ_inad_desc_85ov,P_lvl_educ_inad_desc_Tot,P_lvl_educ_ns_15_24,P_lvl_educ_ns_25_34,P_lvl_educ_ns_35_44,P_lvl_educ_ns_45_54,P_lvl_educ_ns_55_64,P_lvl_educ_ns_65_74,P_lvl_educ_ns_75_84,P_lvl_educ_ns_85ov,P_lvl_educ_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
LGA10050,418,294,262,150,53,3,1685,22,173,240,234,223,155,45,3,1100,285,1468,1516,1076,721,608,227,45,5953,183,728,746,814,791,559,240,59,4127,918,2073,1681,1634,1529,981,405,140,9357,120,137,100,96,81,67,13,5,621,51,73,116,149,190,175,78,30,867,1093,2284,1889,1882,1806,1222,505,173,10844,15,23,35,26,23,49,39,11,235,478,515,481,416,476,450,463,239,3511,2098,5670,5330,4741,4300,3200,1577,535,27447
LGA10180,498,375,373,266,137,38,2074,12,88,124,127,137,124,34,4,653,211,877,668,616,533,406,203,55,3566,88,243,294,348,384,256,148,40,1803,400,752,602,556,596,371,186,54,3515,131,56,45,40,52,30,11,3,370,37,33,43,72,99,92,58,14,442,566,837,689,667,742,495,252,71,4324,17,23,18,20,22,27,21,3,153,912,436,320,297,320,295,332,182,3095,1820,2884,2613,2463,2511,1861,1136,394,15666
LGA10250,351,317,332,287,92,17,1633,7,75,161,203,213,227,46,8,943,157,994,1383,1279,998,963,381,105,6251,99,451,598,809,812,761,374,106,4006,528,1075,1231,1282,1476,1093,483,152,7318,84,59,55,75,99,85,23,3,482,25,71,104,127,190,265,113,41,936,638,1210,1383,1476,1770,1442,615,195,8730,7,16,22,37,51,64,59,21,284,304,358,362,362,405,540,496,372,3201,1218,3329,4258,4497,4575,4285,2072,828,25053
LGA10300,5,9,3,0,0,0,23,0,0,0,8,0,4,0,0,14,4,39,27,22,15,16,4,0,125,7,17,19,25,23,14,3,0,108,26,64,48,52,64,28,9,0,289,3,6,5,0,6,0,0,0,18,0,6,0,6,5,3,0,0,16,26,79,56,54,70,29,11,0,332,4,0,0,0,3,0,0,0,8,27,45,47,60,58,64,21,7,322,69,186,155,172,176,127,38,9,932
LGA10470,280,267,265,198,83,19,1383,12,104,139,161,150,134,39,10,753,267,1117,974,846,656,486,188,40,4588,134,434,495,618,599,405,202,60,2957,762,1582,1393,1344,1168,737,330,81,7400,104,102,83,92,82,59,9,7,534,52,82,91,126,184,187,66,29,811,925,1765,1567,1560,1438,983,402,116,8755,14,16,18,38,35,48,30,14,214,490,661,590,505,386,358,316,187,3494,1855,4355,4070,4011,3532,2611,1260,445,22140
LGA10500,4189,1950,1017,533,130,22,14143,91,666,635,489,332,213,43,16,2479,3226,13057,8073,4209,2784,1449,513,138,33448,1563,3716,3394,2995,2033,1092,461,117,15371,1336,3462,2944,2885,2432,1457,852,281,15653,168,209,217,268,198,106,32,4,1200,166,358,428,623,633,402,174,53,2848,1674,4030,3585,3776,3265,1970,1059,345,19700,106,349,232,214,205,160,65,32,1365,1521,3048,1947,1393,1249,1116,1039,752,12062,8451,30889,22061,15022,10882,6531,3318,1414,98563
LGA10550,177,178,265,278,78,8,1134,9,66,120,153,205,222,55,11,829,87,525,597,676,827,807,302,60,3883,32,235,338,500,709,644,247,72,2775,435,955,972,1126,1380,1077,425,108,6472,45,62,62,60,97,73,20,8,422,30,46,44,89,197,154,93,26,680,510,1060,1077,1277,1674,1306,541,133,7579,0,16,16,20,47,62,37,7,203,327,258,265,372,523,562,428,273,3019,961,2311,2587,3168,4261,3872,1681,576,19417
LGA10600,72,94,119,94,54,4,472,0,22,37,72,89,97,18,0,342,30,238,273,370,341,315,101,24,1682,15,91,139,228,277,232,87,25,1088,124,274,334,392,530,378,142,40,2223,21,22,24,15,27,26,7,0,137,8,9,31,41,56,66,28,3,236,142,304,386,449,610,468,170,52,2594,4,10,3,9,18,16,9,4,79,111,88,130,160,182,223,163,66,1120,306,777,1036,1388,1642,1451,606,174,7381
LGA10650,13,16,13,8,0,0,72,3,16,21,22,21,19,0,0,107,12,127,127,94,94,82,38,9,594,5,66,88,86,97,88,41,9,498,73,222,231,255,290,247,93,26,1435,11,11,19,24,19,15,0,0,104,3,7,13,19,36,23,6,5,113,91,240,260,297,349,286,109,23,1644,0,3,3,4,9,5,11,4,38,87,87,82,97,144,198,179,121,1001,201,563,598,613,734,689,380,167,3957
LGA10750,11451,3860,1886,988,244,43,25412,146,1046,1568,970,575,328,91,3,4732,4009,16443,18819,9450,5980,3517,929,186,59339,2076,6145,7278,5533,3685,1916,613,137,27379,4066,8199,8143,7553,5768,3142,1267,331,38480,591,548,655,576,475,248,78,12,3181,390,626,1000,1230,1062,745,278,68,5400,5047,9375,9797,9355,7312,4136,1625,408,47055,137,438,667,439,345,312,128,16,2485,3640,5237,4837,3334,2618,2311,1610,952,24538,15392,45283,54421,32949,22406,13516,5233,1741,190941
LGA10800,14,9,4,3,4,0,53,6,13,7,14,13,7,0,0,61,14,111,92,81,41,27,17,3,381,13,37,65,77,63,34,18,3,309,95,222,202,173,184,98,41,9,1026,7,8,17,14,9,10,0,0,80,5,5,7,13,15,17,10,4,75,110,233,227,203,214,123,51,14,1177,3,5,3,3,4,8,4,0,27,48,74,95,91,108,96,68,37,620,194,482,500,471,450,308,162,64,2623
LGA10850,22,39,34,21,14,3,154,0,12,21,25,22,28,6,5,125,15,136,147,143,103,79,34,8,661,17,64,75,101,92,67,28,10,463,121,277,259,263,233,127,36,15,1334,13,16,16,22,17,18,7,0,110,8,3,12,23,37,31,13,4,131,143,298,283,310,288,177,58,19,1575,0,0,9,3,3,10,6,0,29,64,50,49,81,94,90,85,17,534,239,586,602,702,641,474,227,58,3532
LGA10900,1210,1291,1226,1060,307,53,5854,13,195,364,536,587,570,145,18,2440,433,1870,2601,2681,2317,2038,772,177,12884,238,739,1232,1525,1609,1351,594,161,7437,894,1734,1978,2085,2010,1418,618,172,10895,116,105,107,106,151,108,48,10,750,65,63,138,237,373,417,242,58,1589,1073,1897,2217,2430,2529,1940,903,248,13238,16,26,48,68,80,114,103,29,480,269,305,371,443,450,506,514,345,3200,2070,5709,8036,8963,8800,7582,3347,1029,45533
LGA10950,6,6,11,3,0,0,43,0,4,3,10,5,0,0,0,30,14,61,35,46,26,11,4,0,196,6,27,18,21,20,13,3,3,114,39,112,60,78,73,33,20,3,414,3,4,0,3,3,0,0,0,15,3,0,3,14,6,3,4,0,45,47,119,61,98,85,35,21,3,473,0,0,0,3,4,4,3,0,11,21,20,29,40,48,44,35,25,259,91,242,151,226,196,115,67,28,1118
LGA11150,13,4,11,4,3,0,43,0,3,0,8,3,4,0,0,27,17,68,31,30,31,13,3,0,196,0,31,37,24,24,8,5,0,137,30,58,50,49,50,34,7,0,279,4,3,4,5,4,0,0,0,23,3,0,5,4,5,6,5,0,28,39,65,57,66,58,41,5,0,332,0,0,0,3,0,0,0,0,5,69,63,66,63,65,45,27,9,408,122,252,203,197,194,121,50,10,1154
LGA11200,10,7,8,3,0,0,17,0,4,0,0,4,6,0,0,13,7,21,11,9,13,11,7,0,84,3,11,12,10,11,8,3,0,59,9,30,21,20,30,7,6,0,125,0,8,0,6,0,0,0,0,17,0,5,0,0,0,0,0,0,7,13,39,21,27,32,11,6,0,151,0,0,0,0,0,0,0,0,0,38,46,25,38,42,29,12,3,228,61,122,83,93,108,67,16,3,551
LGA11250,59,54,56,35,3,0,289,3,44,49,38,66,32,9,0,236,67,310,206,177,171,137,48,11,1115,26,149,166,210,228,107,28,13,927,222,614,512,506,584,408,142,36,3018,37,48,23,28,38,29,4,0,203,17,20,28,43,63,46,24,10,255,276,682,560,575,690,486,169,41,3480,9,7,3,6,18,15,5,0,68,215,208,229,203,219,241,200,145,1665,605,1478,1270,1266,1449,1042,454,209,7776
LGA11300,967,563,376,184,57,21,4109,52,169,123,108,103,80,27,7,671,1188,3036,1596,1131,879,522,223,72,8644,910,839,502,570,472,251,114,64,3721,283,494,398,432,409,253,127,59,2456,42,33,38,44,42,18,11,4,230,40,69,67,106,91,73,35,15,490,362,595,506,580,545,341,175,78,3186,34,67,55,51,60,44,34,13,354,448,719,367,265,260,230,252,262,2803,3115,7247,4116,3270,2695,1649,882,512,23490
LGA11350,444,419,371,317,79,10,1926,3,80,156,181,203,172,36,0,842,158,1465,1444,1357,1008,891,249,44,6606,116,559,668,648,679,517,178,40,3403,274,793,787,868,885,594,188,43,4435,32,55,33,48,63,49,8,4,284,26,67,89,122,147,133,46,11,643,327,914,913,1036,1091,774,239,59,5355,20,41,40,36,47,52,17,13,262,388,637,608,579,579,490,225,121,3642,1019,3979,4275,4255,3983,3204,1029,288,22033
LGA11400,70,96,80,56,19,0,351,5,22,29,52,46,27,12,0,185,41,210,334,334,224,169,55,18,1390,24,87,166,202,222,154,74,11,942,197,397,400,440,450,228,95,14,2227,21,15,37,26,46,16,5,0,167,11,14,24,32,58,54,9,6,213,227,426,469,500,558,303,109,16,2605,0,3,8,3,11,11,9,0,51,136,81,124,155,173,185,163,83,1100,436,862,1206,1339,1317,904,443,128,6626
LGA11450,1640,755,379,187,67,12,4530,55,403,444,333,192,117,27,8,1592,821,4248,4009,2185,1002,580,200,47,13095,641,2474,2669,1997,1155,602,181,38,9747,1732,4796,4191,3375,2208,1224,484,107,18124,182,228,205,186,134,76,17,4,1028,167,266,379,434,357,269,75,20,1980,2083,5293,4776,3990,2701,1570,578,139,21130,46,87,131,101,83,86,28,9,572,538,847,841,563,483,425,387,280,4370,4233,14779,14514,9931,5997,3573,1463,530,55026
LGA11500,3148,1374,754,386,93,14,7802,58,393,509,339,254,189,41,6,1795,1391,5574,5578,2827,1957,1207,343,59,18941,808,2705,3092,2250,1911,1126,306,61,12261,2162,4728,4402,3695,3614,2287,877,139,21899,289,365,370,270,267,181,43,3,1789,169,295,438,535,615,485,166,36,2754,2625,5385,5207,4499,4497,2960,1090,182,26444,68,166,227,167,164,144,68,12,1025,1604,1975,1979,1437,1265,1228,973,457,10931,6632,18166,19745,12895,10804,7241,2914,794,79194
LGA11520,2742,1618,1131,709,209,34,9552,43,380,450,437,358,271,99,23,2062,1349,6055,5025,3532,2324,1462,549,135,20427,587,1263,1619,1695,1346,876,357,91,7835,484,1165,1146,1307,1300,831,471,134,6828,66,70,86,110,116,62,28,10,544,57,136,179,311,399,317,142,52,1602,613,1368,1412,1725,1816,1213,638,189,8978,37,88,106,104,93,119,56,19,622,459,900,684,529,515,624,597,543,4856,3187,13073,12024,9645,7583,5274,2502,1032,54332
LGA11570,5446,2827,1717,739,208,38,17744,140,900,991,821,624,355,115,13,3960,4767,16008,11710,7228,4820,2479,831,269,48118,2194,5528,6556,5616,3877,1949,675,232,26627,2817,5910,6044,6212,5197,2832,1615,580,31214,410,408,513,563,506,246,62,22,2733,386,650,892,1215,1253,748,293,108,5554,3618,6962,7449,7998,6957,3826,1968,717,39498,178,496,492,418,417,283,118,52,2449,3649,5327,4701,3592,3169,2628,2099,1694,26848,14866,41666,37339,28500,21580,12260,6018,3006,165239
LGA11600,10,3,4,4,0,0,25,0,0,3,8,0,4,0,0,22,13,86,62,33,19,20,5,0,237,16,41,32,33,26,14,5,0,168,43,124,71,72,65,31,8,3,425,8,7,7,8,6,0,0,0,39,3,11,14,6,3,9,0,0,48,57,140,91,91,84,40,11,3,517,0,7,0,3,0,0,0,0,11,39,69,43,60,75,45,23,13,366,117,360,242,227,214,127,40,15,1348
LGA11650,2512,2060,1817,1411,500,81,10205,126,665,975,991,1019,943,263,49,5024,1634,7717,8556,6774,4934,4190,1698,413,35913,1163,3867,5221,6180,5180,3824,1781,412,27631,4930,10420,10664,10927,10717,6908,3727,1012,59291,725,618,556,631,661,554,216,38,3997,379,539,809,1250,1525,1561,783,207,7055,6034,11575,12033,12800,12906,9022,4723,1255,70341,107,188,239,307,369,482,331,89,2108,2155,2404,2537,2599,2761,3414,3626,2743,22237,11295,28159,32082,31697,28975,23286,12919,5045,173448
LGA11700,10,3,5,4,0,0,33,0,0,8,4,4,4,0,0,20,10,27,16,9,17,24,7,0,112,0,15,7,21,28,5,3,0,86,18,30,26,40,42,40,12,0,201,3,6,0,3,5,3,0,0,28,0,5,0,6,8,0,5,0,18,21,45,34,41,49,42,14,0,246,0,0,0,0,0,0,0,0,0,78,67,51,58,75,64,23,11,419,109,156,125,145,181,140,48,10,918
LGA11720,174,128,175,112,34,8,787,24,91,104,91,95,91,14,6,530,190,884,838,603,529,491,141,24,3704,151,739,770,737,690,468,129,29,3711,1141,3151,2601,2326,1986,1222,441,72,12940,211,221,157,122,114,80,15,4,924,83,137,140,201,205,177,54,18,1019,1440,3504,2898,2652,2309,1471,513,95,14881,12,36,32,31,44,43,23,4,221,600,993,858,728,568,590,442,220,5009,2430,6398,5680,4978,4403,3275,1301,383,28845
LGA11730,164,172,194,179,68,3,887,11,75,100,138,191,181,33,8,733,79,643,756,746,733,719,230,58,3956,78,339,502,680,864,736,317,68,3569,743,1570,1504,1713,2052,1584,623,159,9939,138,120,116,115,152,119,29,11,800,49,87,119,148,275,282,145,39,1146,936,1772,1735,1977,2477,1985,797,202,11886,11,20,23,33,55,77,54,9,280,604,878,806,754,806,916,668,364,5795,1711,3841,4084,4503,5306,4787,2166,708,27112
LGA11750,9,9,11,0,0,0,52,0,9,8,7,5,0,0,0,28,19,93,72,39,37,16,4,0,280,7,36,51,27,34,24,4,0,183,52,192,169,134,140,73,18,9,787,12,4,9,7,6,0,0,0,38,0,11,11,8,9,10,6,0,51,59,210,189,148,159,82,22,9,877,0,8,0,0,4,10,0,0,22,101,123,118,91,110,82,59,13,700,192,498,443,330,359,213,89,23,2143
LGA11800,467,473,342,358,104,24,2120,16,177,228,266,286,316,87,11,1386,279,1696,1896,1653,1252,1198,420,81,8469,159,793,1059,1333,1289,1054,459,128,6268,1030,2278,2313,2396,2527,1848,801,196,13397,168,180,125,116,171,147,40,12,967,84,133,161,233,320,366,194,42,1525,1284,2595,2603,2743,3027,2356,1034,250,15883,21,51,45,50,62,70,77,20,393,625,799,737,747,780,851,822,590,5956,2403,6440,7033,7262,7038,6212,2987,1096,40473
LGA12000,13,11,19,9,0,0,76,0,8,16,15,12,12,3,0,64,8,75,79,72,40,40,8,0,323,6,29,51,50,39,38,11,3,239,63,155,122,113,143,83,25,3,713,6,12,8,5,6,3,0,4,47,3,7,9,16,12,12,9,0,65,70,171,140,136,170,103,38,7,824,3,3,0,0,3,7,0,0,20,31,27,28,36,57,71,47,32,325,118,320,332,322,332,283,109,46,1865
LGA12150,14,13,3,0,0,0,45,0,9,3,5,8,9,0,0,26,8,78,51,39,25,29,4,0,242,4,19,26,40,42,24,4,4,164,39,93,84,73,92,55,24,4,459,7,8,7,11,8,3,0,0,41,0,5,0,9,18,0,0,0,37,46,110,95,91,115,58,26,4,543,0,0,5,0,9,4,0,0,21,89,74,79,58,79,80,63,18,535,150,307,269,247,279,200,95,25,1572
LGA12160,29,28,33,23,9,0,152,4,14,14,27,31,33,8,0,120,29,130,168,139,118,126,60,7,774,29,73,95,136,168,149,82,16,740,148,298,303,335,335,267,94,24,1816,18,26,15,21,32,26,6,3,154,11,15,20,34,51,53,22,6,213,182,338,344,393,420,346,128,33,2185,0,3,0,6,13,13,10,0,53,124,114,135,147,168,192,164,71,1100,369,693,785,873,955,872,458,133,5128
LGA12350,28,28,24,44,13,0,170,3,17,18,27,41,26,15,0,144,37,149,141,166,125,143,50,10,833,22,106,113,154,141,175,61,24,783,179,381,340,382,420,317,116,29,2157,24,26,34,24,36,21,3,0,178,12,11,11,40,57,46,24,3,206,220,412,386,450,516,383,141,34,2543,4,12,6,10,12,19,10,5,80,174,142,125,170,180,229,154,59,1231,472,878,812,1004,1033,1017,441,130,5783
LGA12380,5115,1673,1041,448,123,17,14874,129,662,657,436,277,174,38,9,2388,3242,11941,8589,4084,2802,1454,563,151,32831,2308,4131,3972,2961,1983,1022,398,107,16878,1739,3598,3470,3066,2547,1496,718,221,16855,252,284,284,305,238,141,23,7,1538,221,386,551,611,606,376,153,54,2958,2209,4276,4297,3979,3397,2012,894,276,21351,130,434,391,239,203,157,72,25,1646,2781,4648,3564,2369,2002,1494,1083,688,18632,11147,32197,26586,15745,11710,6759,3175,1276,108594
LGA12390,420,194,166,87,27,7,1559,16,142,170,154,149,101,20,0,757,277,1636,1250,838,602,424,150,37,5213,135,590,634,663,652,376,187,49,3286,782,1997,1631,1542,1443,845,353,91,8680,113,147,97,83,102,53,25,3,628,52,102,105,148,187,158,90,14,861,948,2244,1833,1769,1731,1063,470,116,10175,13,43,35,37,43,43,35,16,259,716,978,806,714,651,599,527,253,5252,2117,6275,5151,4377,3994,2697,1417,479,26502
LGA12700,41,48,62,52,10,0,240,6,13,18,19,33,34,3,0,121,14,123,174,156,189,156,56,5,875,15,83,116,172,173,125,39,12,737,150,339,377,386,364,207,89,16,1917,15,15,16,20,19,13,6,0,101,12,13,24,28,47,38,19,0,187,177,361,418,430,428,257,108,21,2205,0,3,4,0,4,12,4,0,34,62,47,69,83,98,99,66,21,539,270,646,837,919,992,735,292,63,4755
LGA12730,24,23,24,11,4,0,117,0,18,22,23,27,14,0,0,106,34,147,144,116,94,58,33,6,639,11,61,84,128,115,78,35,10,532,115,225,224,245,290,170,80,17,1365,17,11,5,11,19,6,0,0,79,4,17,8,17,23,17,8,10,108,138,251,240,277,337,193,90,26,1553,0,3,7,6,7,3,0,0,23,102,109,108,122,151,127,106,47,866,289,627,631,697,751,489,267,97,3840
LGA12750,185,202,313,331,136,29,1309,0,52,102,119,224,231,73,14,819,77,485,560,626,844,942,382,102,4016,58,243,408,523,804,848,332,85,3301,390,1050,994,1285,1586,1363,525,145,7344,61,56,71,73,112,109,27,9,510,27,42,61,132,212,243,144,30,898,473,1157,1121,1490,1914,1714,700,178,8750,4,11,17,22,58,79,36,15,249,384,301,357,503,693,785,599,334,3960,1010,2367,2751,3482,4848,4938,2259,760,22399
LGA12850,798,445,324,216,55,11,3375,69,300,212,219,172,103,29,5,1113,2397,6350,3558,2469,1694,1279,401,73,18220,1010,2661,2784,2586,1896,956,335,73,12301,1679,3144,3177,3279,2993,1797,795,208,17070,278,287,327,372,306,127,26,4,1731,173,337,458,605,604,371,113,29,2689,2129,3772,3958,4254,3904,2291,937,244,21490,62,195,156,181,200,156,66,13,1023,1904,2093,2071,2018,1998,1604,1143,899,13736,7722,16762,13540,12170,10184,6608,2967,1310,71257
LGA12870,24,18,36,30,5,0,138,0,15,20,29,36,33,7,0,147,32,159,176,121,132,95,39,7,777,27,97,116,145,152,123,63,23,740,172,396,384,451,437,355,161,34,2396,16,23,15,26,29,23,4,0,130,9,9,16,36,35,43,18,9,172,192,430,409,515,501,424,191,40,2704,3,0,6,5,9,17,6,7,47,111,110,92,142,181,240,214,105,1189,379,836,850,970,1042,964,522,186,5739
LGA12900,39,23,19,22,5,0,142,0,21,15,20,18,12,6,0,92,43,186,159,112,100,64,34,9,702,19,76,90,90,112,93,31,3,503,138,313,270,275,256,157,69,16,1494,15,17,14,23,28,11,7,0,117,9,17,24,34,38,31,18,3,181,165,353,305,329,324,200,97,23,1794,0,5,3,6,8,11,5,5,45,118,87,105,112,118,129,139,65,879,349,760,714,698,700,528,315,97,4160
LGA12930,3526,2011,1313,636,196,45,11982,93,464,539,479,409,335,88,22,2426,2670,8483,6671,4613,3635,1986,766,259,29076,1413,2299,2569,2746,2328,1347,553,182,13445,1118,2134,2018,2445,2319,1494,828,345,12696,139,134,169,204,255,132,48,16,1093,146,212,330,533,637,492,231,105,2683,1405,2477,2514,3178,3211,2117,1104,469,16476,80,195,180,184,194,176,92,37,1132,986,1623,1210,1031,990,987,1000,1035,8861,6831,19601,17206,14245,12080,7587,3812,2040,83400
LGA12950,5,6,6,3,0,0,38,0,0,0,12,7,3,0,0,29,11,77,66,65,52,39,11,3,322,0,22,23,52,51,31,19,0,196,58,124,112,125,139,82,33,10,678,5,11,4,9,9,5,0,0,41,4,5,6,7,25,24,4,0,70,66,140,123,140,167,109,38,10,787,0,0,4,7,6,3,0,4,18,53,71,64,74,94,81,70,30,530,125,315,293,348,381,275,143,46,1920
LGA13010,19,16,21,19,9,0,116,0,13,18,28,21,25,3,3,109,19,87,121,129,124,112,36,6,633,14,46,74,104,119,110,48,11,528,115,222,222,243,310,221,87,13,1434,20,27,19,23,36,12,8,0,140,7,13,11,24,30,43,20,3,142,142,266,249,294,372,273,115,18,1717,0,0,0,5,6,11,10,3,43,134,139,131,148,177,181,141,82,1130,313,580,611,721,838,737,353,119,4271
LGA13310,152,126,157,129,42,11,784,7,75,103,85,97,79,20,6,476,142,650,506,429,377,328,148,43,2617,109,409,430,493,445,349,150,30,2413,537,1220,1037,1024,978,619,277,66,5760,71,58,49,62,42,39,20,6,351,40,52,73,103,144,122,49,19,610,648,1333,1162,1189,1156,785,339,85,6715,10,17,13,24,27,24,18,12,147,339,470,403,392,378,399,298,190,2870,1268,3127,2765,2736,2639,2096,1011,373,16016
LGA13340,52,35,40,18,8,0,185,4,8,28,27,37,15,10,0,135,36,168,238,169,160,102,33,9,905,20,79,134,160,159,111,41,3,712,136,326,353,360,373,240,81,19,1885,22,11,18,27,26,11,0,0,114,3,5,26,26,42,35,12,0,152,161,345,392,412,442,287,96,21,2151,3,4,3,6,8,10,3,0,37,120,64,124,144,176,183,121,42,976,344,690,976,948,1028,728,316,72,5097
LGA13450,136,81,57,26,8,0,543,3,47,41,57,50,38,10,0,257,143,749,538,403,241,126,48,16,2270,71,346,347,279,238,127,50,17,1475,408,914,817,731,650,315,121,27,3984,37,55,39,63,52,20,3,0,269,28,62,43,92,93,60,17,4,405,473,1028,892,885,794,396,151,35,4656,10,32,29,13,14,18,5,7,131,287,413,335,361,316,300,230,178,2424,1006,2851,2325,2085,1713,1028,504,252,11761
LGA13550,45,32,21,14,11,3,176,5,23,31,20,18,23,3,0,128,36,239,259,139,126,80,26,10,916,19,113,136,136,138,86,31,11,677,183,543,455,362,383,211,76,18,2232,31,38,29,26,23,10,0,0,155,23,21,14,44,43,36,22,10,216,242,601,497,427,452,260,98,25,2601,4,5,10,7,10,11,11,0,62,145,198,155,131,179,164,146,87,1205,456,1236,1132,897,942,632,326,139,5766
LGA13660,10,3,10,8,5,0,51,4,4,12,9,9,5,0,0,40,8,49,74,89,54,33,15,4,337,9,23,36,72,65,51,14,0,272,50,100,138,130,161,87,48,7,723,16,12,5,7,16,3,3,0,62,6,4,8,16,20,20,14,4,80,74,118,152,150,192,114,62,10,867,0,0,5,0,6,3,0,0,14,43,36,59,75,87,95,74,26,503,141,236,346,402,425,321,171,43,2086
LGA13800,355,341,316,200,76,15,1938,27,157,147,208,188,153,29,0,920,403,1380,1227,1097,837,582,212,45,5789,357,933,1001,1217,1013,595,251,65,5426,1338,2778,2366,2542,2153,1130,498,122,12923,129,117,110,161,132,96,15,0,764,82,123,140,269,265,238,88,13,1221,1546,3019,2625,2971,2553,1456,600,139,14914,24,41,48,50,54,65,54,13,345,451,488,485,520,513,458,436,256,3613,2844,6629,5886,6400,5481,3515,1652,534,32943
LGA13850,3,10,4,3,0,0,22,0,4,6,11,3,0,0,0,27,12,45,33,30,23,19,6,0,160,6,22,15,28,52,22,11,6,163,47,93,50,75,101,43,20,7,441,8,6,0,4,4,3,4,0,35,4,0,3,3,9,8,3,0,22,61,102,53,82,112,54,22,7,496,0,0,0,4,0,0,0,0,5,43,39,44,36,65,55,40,18,349,120,218,156,200,268,153,83,31,1226
LGA13910,72,55,51,49,15,0,306,6,28,21,34,37,37,10,0,169,72,314,269,277,222,180,55,15,1400,29,143,215,238,238,206,78,17,1166,297,566,514,554,568,359,152,27,3040,31,52,39,31,48,22,12,3,233,21,33,25,61,89,68,29,7,326,353,650,575,647,708,447,190,32,3598,0,8,3,20,17,24,8,5,82,166,192,184,224,325,288,226,84,1680,623,1390,1345,1481,1588,1224,584,158,8406
LGA14000,5708,4041,2452,1428,563,136,16754,51,376,834,956,798,599,213,49,3874,1924,5926,8514,7118,4993,3132,1456,464,33533,609,1252,2139,2885,2585,1822,1022,384,12694,1066,1645,1786,2374,2315,1404,904,328,11816,171,87,118,169,184,160,89,23,994,109,126,221,506,643,620,393,141,2763,1346,1857,2123,3048,3136,2178,1392,493,15574,40,93,166,194,206,198,149,74,1125,439,551,754,651,594,730,906,1044,5668,4494,12397,20238,18892,14765,10096,5715,2634,89223
LGA14100,328,382,286,217,97,30,1477,4,32,55,97,75,54,31,5,352,200,467,621,707,523,400,199,72,3194,39,80,165,247,184,173,116,60,1072,52,75,103,150,147,98,63,44,726,13,5,6,12,24,15,7,3,80,4,3,17,40,52,55,30,19,217,63,83,126,198,220,166,97,70,1021,6,6,15,20,16,24,13,13,97,42,57,65,85,72,100,156,252,842,361,861,1380,1730,1375,1141,711,497,8053
