LGA_CODE_2021,P_PG_Deg_35_44_yr,P_PG_Deg_45_54_yr,P_PG_Deg_55_64_yr,P_PG_Deg_65_74_yr,P_PG_Deg_75_84_yr,P_PG_Deg_85_yr_over,P_PGuate_Deg_Tot,P_Grad_Dip_Cer_15_24_yr,P_Grad_Dip_Cer_25_34_yr,P_Grad_Dip_Cer_35_44_yr,P_Grad_Dip_Cer_45_54_yr,P_Grad_Dip_Cer_55_64_yr,P_Grad_Dip_Cer_65_74_yr,P_Grad_Dip_Cer_75_84_yr,P_Grad_Dip_Cer_85_yr_over,P_Grad_Dip_Cer_Tot,P_B_Deg_15_24_yr,P_B_Deg_25_34_yr,P_B_Deg_35_44_yr,P_B_Deg_45_54_yr,P_B_Deg_55_64_yr,P_B_Deg_65_74_yr,P_B_Deg_75_84_yr,P_B_Deg_85_yr_over,P_B_Deg_Tot,P_Adv_Dip_Dip_15_24,P_Adv_Dip_Dip_25_34,P_Adv_Dip_Dip_35_44,P_Adv_Dip_Dip_45_54,P_Adv_Dip_Dip_55_64,P_Adv_Dip_Dip_65_74,P_Adv_Dip_Dip_75_84,P_Adv_Dip_Dip_85_yr_over,P_Adv_Dip_Dip_Total,P_Cer_III_IV_15_24_yr,P_Cer_III_IV_25_34_yr,P_Cer_III_IV_35_44_yr,P_Cer_III_IV_45_54_yr,P_Cer_III_IV_55_64_yr,P_Cer_III_IV_65_74_yr,P_Cer_III_IV_75_84_yr,P_Cer_III_IV_85_yr_over,P_Cer_III_IV_Tot,P_Cer_I_II_15_24_yr,P_Cer_I_II_25_34_yr,P_Cer_I_II_35_44_yr,P_Cer_I_II_45_54_yr,P_Cer_I_II_55_64_yr,P_Cer_I_II_65_74_yr,P_Cer_I_II_75_84_yr,P_Cer_I_II_85_yr_over,P_Cer_I_II_Tot,P_Cer_nfd_15_24_yr,P_Cer_nfd_25_34_yr,P_Cer_nfd_35_44_yr,P_Cer_nfd_45_54_yr,P_Cer_nfd_55_64_yr,P_Cer_nfd_65_74_yr,P_Cer_nfd_75_84_yr,P_Cer_nfd_85_yr_over,P_Cer_nfd_Tot,P_Cer_Tot_15_24_yr,P_Cer_Tot_25_34_yr,P_Cer_Tot_35_44_yr,P_Cer_Tot_45_54_yr,P_Cer_Tot_55_64_yr,P_Cer_Tot_65_74_yr,P_Cer_Tot_75_84_yr,P_Cer_Tot_85_yr_over,P_Cer_Tot_Tot,P_lvl_educ_inad_desc_15_24,P_lvl_educ_inad_desc_25_34,P_lvl_educ_inad_desc_35_44,P_lvl_educ_inad_desc_45_54,P_lvl_educ_inad_desc_55_64,P_lvl_educ_inad_desc_65_74,P_lvl_educ_inad_desc_75_84,P_lvl_educ_inad_desc_85ov,P_lvl_educ_inad_desc_Tot,P_lvl_educ_ns_15_24,P_lvl_educ_ns_25_34,P_lvl_educ_ns_35_44,P_lvl_educ_ns_45_54,P_lvl_educ_ns_55_64,P_lvl_educ_ns_65_74,P_lvl_educ_ns_75_84,P_lvl_educ_ns_85ov,P_lvl_educ_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
LGA26670,23,31,22,24,5,0,108,0,22,23,20,35,25,7,0,125,7,78,109,80,106,79,16,9,491,12,34,74,81,146,79,31,3,455,65,156,189,223,259,152,65,14,1117,9,10,10,13,17,14,3,0,77,9,3,10,16,35,22,11,5,100,82,171,206,250,308,183,78,18,1289,0,0,0,0,3,8,9,0,24,50,43,70,72,85,117,85,64,592,150,354,499,533,711,515,230,98,3088
LGA26700,146,122,125,78,14,4,693,5,88,128,164,147,132,29,5,698,122,620,639,516,410,367,146,39,2856,76,333,424,507,464,383,155,45,2387,423,896,906,968,967,567,241,67,5036,57,38,52,67,46,26,8,4,302,26,36,49,76,64,63,38,10,365,510,971,1007,1109,1081,661,289,84,5701,9,14,12,14,18,28,20,8,108,231,215,229,272,316,364,380,235,2240,956,2430,2588,2703,2551,2011,1035,418,14687
LGA26730,235,182,180,117,43,6,1030,8,121,177,183,158,118,30,9,799,161,973,866,685,533,416,144,43,3819,101,442,491,504,510,400,174,41,2667,558,1187,1163,1080,901,487,218,64,5660,76,71,39,48,51,29,11,5,334,30,44,60,85,86,65,38,5,412,670,1304,1265,1213,1038,576,261,77,6406,3,21,11,8,13,14,19,8,111,288,307,342,284,307,349,353,293,2530,1236,3423,3395,3059,2739,1998,1028,477,17359
LGA26810,198,164,141,108,34,7,854,13,132,156,159,157,125,32,5,777,248,879,817,593,515,461,154,20,3689,93,449,543,644,640,534,203,45,3154,559,1536,1456,1444,1576,1085,388,76,8119,85,97,93,75,75,54,18,0,496,27,67,82,82,119,113,30,7,525,667,1695,1626,1606,1773,1250,432,83,9143,6,14,30,19,26,26,25,9,165,412,462,510,451,551,721,437,240,3792,1463,3830,3873,3636,3806,3233,1314,421,21572
LGA26890,11,7,4,5,0,0,47,0,11,15,14,13,9,0,0,57,13,76,67,52,43,27,12,4,284,7,33,47,52,58,52,15,8,271,43,113,100,113,114,83,22,9,599,6,9,4,5,14,5,6,0,53,4,0,8,3,13,8,9,0,36,55,125,112,123,135,99,35,9,689,0,0,0,0,4,0,3,4,11,40,22,37,71,66,93,60,24,419,109,275,287,325,325,293,120,48,1787
LGA26980,5196,3136,1814,963,425,89,17266,74,698,1104,1295,1061,735,284,68,5307,2942,8617,8896,7033,4276,2940,1320,436,36461,1174,2163,2353,2830,2437,1847,1101,395,14298,1259,1818,1561,2359,2188,1227,945,375,11733,187,147,144,126,140,88,55,10,895,130,157,215,408,393,339,243,101,1981,1572,2126,1924,2891,2717,1653,1239,491,14602,63,123,150,141,159,142,137,59,972,976,1424,1016,915,792,907,1059,1088,8179,7151,20435,20638,18242,13256,9189,5563,2619,97092
LGA27070,4295,1375,611,294,80,10,11159,108,973,1166,704,409,202,58,7,3626,2194,8909,8732,3881,2032,1259,321,63,27387,1304,4492,5506,3613,2164,1101,344,63,18573,2571,6318,5982,5179,3757,2069,818,182,26883,334,350,349,293,240,107,28,0,1701,234,423,614,690,550,334,86,26,2958,3141,7091,6945,6160,4543,2511,929,215,31538,92,234,286,160,150,103,44,11,1083,1588,2268,2052,1543,1340,1239,1010,637,11673,8773,28108,28987,17430,11257,6713,2788,995,105041
LGA27170,257,188,141,90,18,0,919,19,156,215,197,157,109,34,3,881,139,1007,940,675,456,352,117,26,3701,185,629,745,699,603,432,169,25,3483,854,1883,1585,1386,1153,689,268,73,7884,101,114,86,68,57,48,8,0,488,46,72,74,118,112,97,43,12,569,1001,2067,1743,1570,1323,826,325,81,8945,15,17,14,24,26,22,15,9,138,314,360,338,293,264,342,326,154,2388,1678,4454,4260,3641,2964,2174,1000,294,20454
LGA27260,11124,2690,942,463,106,10,23610,150,1111,1779,949,464,242,55,7,4758,2555,13145,16283,5698,2539,1476,363,54,42117,1597,6082,6985,4013,2335,1189,349,52,22588,3007,6701,6252,5217,3627,1822,654,135,27417,384,436,387,284,221,110,20,0,1848,244,513,756,645,477,277,79,16,3009,3630,7651,7391,6148,4328,2204,755,154,32277,120,449,567,222,170,136,60,6,1730,2468,4235,3761,1961,1366,1098,712,379,15968,10906,40562,47893,21673,12141,6803,2402,666,143051
LGA27350,3092,1816,1339,938,354,50,12696,59,1120,812,711,599,439,112,7,3853,2327,12197,5829,3048,2053,1384,565,132,27528,436,1809,1315,949,708,553,264,52,6081,494,1731,1015,743,651,281,150,54,5115,83,126,84,73,49,32,8,0,464,41,159,120,166,138,92,41,21,777,617,2010,1220,981,841,409,200,73,6356,25,145,87,50,38,44,29,8,426,564,1465,982,704,707,543,391,194,5560,4211,23661,13335,8255,6281,4303,1916,517,62487
