LGA_CODE_2021,OneMeth_Train_M,OneMeth_Train_F,OneMeth_Train_P,OneMeth_Bus_M,OneMeth_Bus_F,OneMeth_Bus_P,OneMeth_Ferry_M,OneMeth_Ferry_F,OneMeth_Ferry_P,OneMeth_Tram_lt_rail_M,OneMeth_Tram_lt_rail_F,OneMeth_Tram_lt_rail_P,OneMeth_Taxi_rs_serv_M,OneMeth_Taxi_rs_serv_F,OneMeth_Taxi_rs_serv_P,OneMeth_Car_as_driver_M,OneMeth_Car_as_driver_F,OneMeth_Car_as_driver_P,OneMeth_Car_as_passenger_M,OneMeth_Car_as_passenger_F,OneMeth_Car_as_passenger_P,OneMeth_Truck_M,OneMeth_Truck_F,OneMeth_Truck_P,OneMeth_Motorbike_scooter_M,OneMeth_Motorbike_scooter_F,OneMeth_Motorbike_scooter_P,OneMeth_Bicycle_M,OneMeth_Bicycle_F,OneMeth_Bicycle_P,OneMeth_Other_M,OneMeth_Other_F,OneMeth_Other_P,OneMeth_Walked_only_M,OneMeth_Walked_only_F,OneMeth_Walked_only_P,OneMeth_Tot_OneMeth_M,OneMeth_Tot_OneMeth_F,OneMeth_Tot_OneMeth_P,TwoMeth_Train_Bus_M,TwoMeth_Train_Bus_F,TwoMeth_Train_Bus_P,TwoMeth_Train_Ferry_M,TwoMeth_Train_Ferry_F,TwoMeth_Train_Ferry_P,TwoMeth_Trn_Trm_lt_rl_M,TwoMeth_Trn_Trm_lt_rl_F,TwoMeth_Trn_Trm_lt_rl_P,TwoMeth_Train_Car_as_drvr_M,TwoMeth_Train_Car_as_drvr_F,TwoMeth_Train_Car_as_drvr_P,TwoMeth_Trn_Car_as_pass_M,TwoMeth_Trn_Car_as_pass_F,TwoMeth_Trn_Car_as_pass_P,TwoMeth_Train_Other_M,TwoMeth_Train_Other_F,TwoMeth_Train_Other_P,TwoMeth_Train_Tot_M,TwoMeth_Train_Tot_F,TwoMeth_Train_Tot_P,TwoMeth_Bus_Ferry_M,TwoMeth_Bus_Ferry_F,TwoMeth_Bus_Ferry_P,TwoMeth_Bus_Trm_lt_rl_M,TwoMeth_Bus_Trm_lt_rl_F,TwoMeth_Bus_Trm_lt_rl_P,TwoMeth_Bus_Car_as_driver_M,TwoMeth_Bus_Car_as_driver_F,TwoMeth_Bus_Car_as_driver_P,TwoMeth_Bus_Car_as_pass_M,TwoMeth_Bus_Car_as_pass_F,TwoMeth_Bus_Car_as_pass_P,TwoMeth_Bus_Other_M,TwoMeth_Bus_Other_F,TwoMeth_Bus_Other_P,TwoMeth_Bus_Tot_M,TwoMeth_Bus_Tot_F,TwoMeth_Bus_Tot_P,TwoMeth_Other_TwoMeth_M,TwoMeth_Other_TwoMeth_F,TwoMeth_Other_TwoMeth_P,TwoMeth_Tot_TwoMeth_M,TwoMeth_Tot_TwoMeth_F,TwoMeth_Tot_TwoMeth_P,ThreeMeth_Trn_2_othr_mthd_M,ThreeMeth_Trn_2_othr_mthd_F,ThreeMeth_Trn_2_othr_mthd_P,ThreMth_Bu_2_ot_met_exc_tra_M,ThreMth_Bu_2_ot_met_exc_tra_F,ThreMth_Bu_2_ot_met_exc_tra_P,ThreeMeth_Oth_ThreeMeth_M,ThreeMeth_Oth_ThreeMeth_F,ThreeMeth_Oth_ThreeMeth_P,ThreeMeth_Tot_ThreeMeth_M,ThreeMeth_Tot_ThreeMeth_F,ThreeMeth_Tot_ThreeMeth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Meth_travel_to_work_NS_M,Meth_travel_to_work_NS_F,Meth_travel_to_work_NS_P,Tot_M,Tot_F,Tot_P
LGA12380,2667,2736,5399,260,358,618,5,0,4,3,3,8,98,104,198,19793,11050,30849,1021,2059,3084,468,6,477,241,14,262,150,36,186,315,198,513,690,780,1471,25727,17343,43071,809,1124,1936,0,0,6,29,34,64,185,89,270,71,129,194,56,40,91,1142,1416,2559,0,0,0,0,0,3,19,8,29,11,44,57,13,13,19,45,62,109,220,142,366,1407,1618,3025,240,242,483,4,4,11,5,0,3,245,257,499,12517,13101,25619,6899,5981,12879,416,218,633,47218,38515,85733
LGA12390,5,0,5,56,48,103,0,3,3,0,0,0,25,48,70,9205,8445,17652,731,859,1589,267,4,264,97,12,116,71,20,86,61,40,100,325,295,621,10842,9767,20613,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,3,4,8,0,0,3,0,0,0,9,7,15,92,56,153,101,71,173,3,0,8,0,0,0,6,0,5,19,6,22,939,1340,2281,877,1439,2322,91,76,168,12872,12698,25573
LGA12700,0,0,4,3,0,3,0,0,0,0,0,0,0,0,0,1383,1081,2469,63,55,110,58,0,57,17,4,22,0,0,3,13,11,24,66,49,113,1609,1199,2814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,13,11,6,18,0,0,0,0,0,0,0,0,0,3,0,3,415,530,941,251,370,624,16,18,32,2311,2116,4429
LGA12730,0,0,0,0,5,5,0,0,0,0,0,0,0,4,4,1284,1269,2548,83,85,166,36,0,37,16,0,17,25,3,27,15,3,20,74,92,168,1523,1463,2985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,13,31,19,12,32,0,0,0,0,0,0,0,0,3,0,0,3,225,191,413,100,192,292,22,15,42,1892,1875,3765
LGA12750,0,0,3,27,28,59,0,0,4,0,0,0,4,10,9,5083,4767,9853,327,359,684,212,7,221,46,4,50,57,31,89,39,21,60,221,238,457,6026,5473,11499,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,0,0,3,5,10,0,0,0,0,0,0,0,0,8,0,5,8,0,0,0,4,4,11,58,10,71,65,23,86,0,0,0,0,0,0,3,0,4,3,3,8,807,1131,1940,758,1066,1818,81,72,155,7745,7765,15504
LGA12850,576,621,1202,149,233,382,3,0,3,0,0,0,38,43,78,18403,11823,30223,943,1815,2756,604,9,614,88,15,96,84,13,101,185,144,324,326,447,780,21409,15159,36564,222,233,454,0,0,0,4,3,10,140,102,242,24,53,80,14,11,28,400,398,806,0,0,0,0,0,0,10,23,30,6,31,40,9,7,13,22,56,77,221,173,396,646,631,1277,83,113,193,11,6,14,4,0,7,100,117,215,6239,8691,14931,5393,4778,10173,237,166,407,34025,29541,63568
LGA12870,0,0,0,5,0,5,0,0,0,0,0,0,0,0,5,1963,1691,3659,117,101,222,58,0,57,19,0,15,28,8,33,28,9,35,112,112,219,2328,1925,4257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,10,33,24,12,32,0,0,0,0,0,0,0,0,3,0,0,3,219,300,521,186,347,525,26,25,50,2782,2611,5388
LGA12900,0,0,0,17,7,23,0,0,0,0,0,0,5,3,5,1490,1268,2760,93,105,201,70,4,73,11,3,18,18,3,14,30,0,28,105,77,178,1825,1476,3306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,3,33,26,3,35,0,0,0,0,0,0,0,0,0,0,3,3,214,247,457,113,223,332,27,32,57,2209,1975,4186
LGA12930,2267,2335,4604,160,298,455,4,0,4,5,4,9,43,39,82,12770,8252,21021,520,1302,1822,242,3,247,193,11,205,86,10,104,165,130,297,651,1025,1672,17102,13414,30521,581,774,1353,6,0,6,16,43,60,123,67,199,28,70,100,44,22,68,804,982,1785,0,0,0,0,0,0,6,6,11,8,33,41,0,11,10,23,50,66,143,84,226,970,1110,2081,89,154,240,0,6,12,4,0,0,88,163,255,12147,13536,25685,5560,5756,11311,175,127,297,36035,34108,70141
LGA12950,0,0,0,8,0,14,0,0,0,0,0,0,0,0,0,495,487,984,36,36,74,28,0,29,8,5,14,9,0,7,7,9,22,57,67,124,656,606,1260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,3,5,8,0,0,0,0,0,0,0,0,0,0,0,0,170,144,317,54,111,170,17,10,25,903,881,1784
LGA13010,0,0,0,5,0,5,0,0,0,0,0,0,0,6,5,1010,1000,2015,86,101,183,62,3,64,21,4,28,14,0,10,14,8,27,96,87,185,1311,1214,2523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,10,6,21,13,8,25,0,0,0,0,0,0,5,0,5,0,0,0,260,247,504,110,180,287,25,22,39,1719,1669,3382
LGA13310,8,5,8,26,10,34,0,0,0,0,0,0,14,21,30,5291,4465,9749,388,418,811,167,13,175,42,0,43,26,4,32,40,11,55,245,222,472,6245,5161,11412,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,5,0,0,0,0,3,3,0,6,12,53,27,79,55,35,91,3,0,3,0,0,0,5,0,5,5,0,5,567,772,1344,587,930,1524,55,44,100,7526,6953,14476
LGA13340,0,0,0,3,5,11,0,0,0,0,0,0,0,0,0,1604,1492,3095,91,78,168,82,3,79,18,8,22,7,3,15,19,11,29,120,98,219,1952,1699,3644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,8,28,14,17,28,0,0,0,0,0,0,0,0,4,0,0,0,417,387,798,139,261,399,35,28,66,2562,2378,4944
LGA13450,0,0,0,3,13,13,4,8,10,0,0,0,16,26,36,5570,4447,10016,550,687,1240,107,0,109,50,8,53,35,8,46,61,22,80,223,169,393,6622,5382,12002,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,5,7,7,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,4,4,5,47,27,75,52,31,85,0,0,0,0,0,0,0,0,0,0,0,0,338,418,756,295,616,911,57,52,107,7359,6499,13860
LGA13550,0,0,0,118,26,141,0,0,0,0,0,0,6,4,8,2022,1821,3842,195,149,341,82,0,84,14,0,20,11,0,10,23,12,31,96,78,176,2564,2097,4665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,13,3,0,3,0,0,0,15,6,17,21,8,28,31,12,47,0,0,0,0,0,0,0,0,0,0,0,0,264,353,616,275,336,618,24,18,43,3169,2821,5988
LGA13660,0,0,0,3,4,8,0,0,0,0,0,0,0,0,0,549,515,1063,31,36,73,38,3,39,12,4,15,5,0,5,19,7,24,68,58,126,721,626,1349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,4,6,5,0,6,5,5,9,0,0,0,0,0,0,3,0,3,3,0,3,221,194,422,63,87,147,13,5,19,1026,924,1948
LGA13800,120,89,208,9,17,31,0,0,4,3,0,0,5,8,19,9981,6823,16802,484,489,974,730,16,746,97,13,114,48,12,60,65,56,122,303,245,540,11847,7772,19619,26,24,45,0,0,0,0,0,0,44,36,73,9,8,15,3,4,10,82,74,150,0,0,0,0,0,0,9,4,7,3,5,9,3,4,5,13,12,19,126,46,172,217,128,349,12,10,24,3,0,0,0,5,3,18,12,30,3194,5284,8481,1935,2722,4659,77,55,128,17286,15977,33262
LGA13850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444,367,806,33,27,66,26,0,26,7,0,9,4,7,11,6,8,15,50,58,108,570,470,1040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,73,79,151,23,55,81,8,12,19,681,612,1296
LGA13910,0,0,0,5,6,8,3,0,3,0,0,0,9,5,10,2752,2533,5287,210,184,396,131,11,146,24,10,28,16,0,16,53,13,66,208,178,385,3402,2932,6334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,26,11,39,27,13,40,0,0,0,0,0,0,6,0,6,6,0,6,484,524,1011,210,405,613,51,41,91,4174,3919,8097
LGA14000,1130,1091,2224,173,170,346,0,0,0,0,0,3,22,18,43,12478,9953,22436,507,1051,1560,324,4,328,165,15,177,77,18,96,152,109,260,694,864,1559,15723,13311,29033,277,316,591,0,0,0,12,5,14,177,100,281,34,76,112,26,16,44,528,516,1043,0,0,0,0,0,0,25,11,37,14,11,25,0,3,5,43,29,65,123,81,200,688,623,1310,87,92,188,0,3,4,7,0,7,101,99,196,18019,17054,35075,3494,5224,8720,111,105,221,38138,36410,74555
LGA14100,0,0,6,66,46,105,14,8,25,0,0,0,5,5,5,1160,735,1899,33,80,110,21,0,21,18,0,18,8,3,12,16,5,19,62,69,131,1405,950,2350,5,7,9,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,12,11,16,0,0,0,0,0,4,4,6,9,0,0,0,0,0,3,10,11,20,10,3,12,25,21,47,0,0,0,0,0,0,4,0,4,5,0,0,1483,1536,3022,315,422,737,3,7,15,3235,2941,6178
LGA14170,1808,1522,3330,748,886,1638,64,25,83,86,81,168,105,122,228,12489,8436,20925,556,995,1549,226,3,229,534,97,635,828,320,1153,233,160,387,1587,1831,3421,19257,14487,33745,525,520,1040,4,9,13,39,38,80,62,42,100,21,52,71,59,38,97,706,702,1403,16,18,32,30,37,66,16,17,36,19,35,54,31,33,64,107,135,242,177,101,278,990,932,1927,138,103,241,20,10,33,3,3,9,160,120,278,24404,28571,52979,4815,6765,11579,161,126,287,49791,51001,100794
LGA14220,0,0,0,9,0,9,0,0,0,0,0,0,3,7,14,2383,2211,4594,197,234,428,93,0,95,47,9,57,4,5,12,25,9,36,122,134,259,2882,2618,5497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,12,35,28,12,40,0,0,0,0,0,0,3,0,3,3,0,3,406,448,850,256,376,633,41,35,74,3610,3491,7099
LGA14300,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,891,735,1626,110,65,177,31,0,31,4,0,9,0,0,0,7,10,15,48,43,93,1105,859,1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,11,0,11,9,5,11,0,0,0,0,0,0,3,0,3,3,0,3,159,159,328,83,116,197,5,10,21,1366,1153,2519
LGA14350,0,0,0,18,14,30,0,0,0,0,0,0,12,4,12,3519,3532,7052,247,312,556,178,8,181,30,3,37,31,13,44,28,16,50,214,181,395,4272,4085,8356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,4,6,3,36,18,50,36,17,57,0,0,0,0,0,0,0,0,5,4,0,3,479,626,1102,470,747,1221,59,50,113,5326,5524,10850
LGA14400,19,9,35,0,0,3,0,0,0,0,0,0,0,0,0,2928,2251,5175,125,135,260,72,0,77,17,0,17,27,3,33,16,20,38,113,126,235,3329,2542,5872,4,0,5,0,0,0,0,0,0,12,0,12,0,3,0,0,0,0,12,3,12,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,7,0,5,25,7,27,43,9,49,0,0,0,0,0,0,0,0,0,0,6,0,1291,1611,2908,582,866,1455,22,12,37,5266,5054,10320
LGA14500,696,683,1379,93,107,200,0,0,0,0,0,0,15,17,33,8254,6585,14839,373,756,1133,126,3,128,100,13,113,90,20,107,105,97,204,311,428,745,10161,8706,18871,97,144,242,0,0,0,0,3,11,93,73,162,27,37,63,21,11,32,239,271,506,0,0,0,0,0,0,16,13,24,7,7,20,0,0,3,22,18,43,62,36,103,324,330,652,48,29,77,5,7,5,0,0,0,49,33,85,16622,15330,31951,2512,4089,6598,79,67,148,29750,28558,58314
LGA14550,0,0,0,11,13,29,0,0,0,0,0,0,0,0,0,1024,983,2010,69,74,142,51,0,54,19,3,24,10,0,10,15,4,18,105,102,211,1306,1177,2483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,12,4,16,11,4,14,0,0,0,0,0,0,0,0,4,0,0,4,317,339,656,147,196,337,29,23,46,1804,1743,3549
LGA14600,0,0,0,13,6,18,0,0,0,0,0,0,0,0,5,857,736,1597,69,66,134,53,6,56,8,4,9,8,3,6,23,6,31,85,76,163,1113,902,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,7,24,18,7,29,0,0,0,0,0,0,4,0,3,4,0,3,173,149,317,54,102,159,5,7,22,1371,1171,2547
LGA14650,82,50,133,172,260,438,3,0,3,0,0,3,32,27,56,29984,24261,54248,1489,1788,3274,765,22,793,339,44,385,175,40,218,156,118,273,485,518,1003,33684,27141,60822,26,16,44,0,0,0,3,0,7,23,19,38,13,6,16,9,0,6,71,39,113,0,0,0,0,4,4,13,18,27,19,40,59,4,9,8,39,59,97,266,135,402,372,233,610,14,16,35,9,6,16,6,5,8,30,31,61,8392,11624,20014,5892,9045,14936,186,169,358,48557,48248,96808
LGA14700,102,76,177,256,292,544,8,0,6,0,0,0,11,14,25,2836,2085,4923,117,284,396,33,0,40,90,7,100,85,16,99,39,33,71,310,349,663,3881,3165,7049,61,62,131,4,3,3,0,0,0,8,5,20,4,0,7,5,0,8,93,77,171,0,0,0,7,0,7,17,7,20,10,17,28,11,12,20,43,34,78,28,20,54,161,133,296,12,11,22,4,3,9,0,0,0,17,14,32,6025,5951,11979,872,1321,2186,24,23,51,10975,10613,21593
LGA14750,3,0,6,3,0,3,0,0,0,0,0,0,3,0,4,1970,1678,3644,150,188,341,43,0,45,16,0,17,17,9,23,17,6,27,106,80,186,2330,1962,4292,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,26,15,38,30,15,48,0,0,0,0,0,0,3,0,6,3,0,6,170,186,362,129,219,346,26,9,32,2692,2400,5084
LGA14850,0,0,0,26,19,49,4,0,3,0,0,0,13,17,31,6449,5836,12292,389,519,910,186,3,193,84,9,90,61,14,77,52,28,75,289,260,555,7564,6711,14272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,3,7,0,0,0,11,6,12,70,44,118,79,50,132,0,0,0,6,0,5,3,3,6,8,3,15,1244,1646,2889,1043,1636,2685,57,63,118,9991,10109,20102
LGA14870,6,5,7,4,9,9,0,0,0,0,0,0,9,9,11,2919,2390,5310,168,162,333,91,3,95,19,0,23,13,4,17,22,12,33,177,163,339,3422,2749,6174,3,0,3,0,0,0,0,0,0,4,0,7,0,0,0,0,3,3,7,5,13,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,5,3,6,24,13,39,35,22,58,0,5,5,0,0,0,0,0,0,0,5,3,445,649,1093,462,587,1050,32,37,71,4399,4051,8451
LGA14900,681,736,1418,229,310,543,3,3,8,0,0,3,66,40,101,22982,15569,38548,1201,1927,3132,687,9,701,157,12,169,128,20,145,308,218,527,786,659,1448,27237,19512,46747,237,263,503,0,0,0,7,3,15,192,146,339,29,63,94,20,12,34,491,492,980,0,0,0,0,0,0,17,21,35,26,42,67,3,10,18,52,71,118,239,134,373,774,697,1471,112,123,236,5,14,16,12,3,14,133,136,271,11344,14889,26232,7932,6909,14842,268,197,473,47696,42335,90030
LGA14920,0,0,0,9,3,9,0,0,0,0,0,0,0,0,0,993,808,1798,33,50,87,56,0,57,6,0,6,0,4,4,9,13,21,78,71,150,1189,951,2132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,5,0,0,10,0,10,13,0,15,0,0,0,0,0,0,0,0,0,0,0,0,246,265,516,147,203,346,12,8,22,1609,1424,3031
LGA14950,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,426,401,820,20,24,46,27,0,27,0,0,0,6,0,3,16,0,12,63,41,105,550,469,1025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,17,10,0,14,0,0,0,0,0,0,0,0,0,0,0,0,136,105,239,29,75,103,7,4,13,736,657,1393
LGA15050,84,53,142,45,64,111,0,0,7,0,0,0,19,11,32,14354,11118,25467,745,798,1546,278,4,278,132,8,137,51,9,61,79,68,145,188,254,441,15966,12404,28367,8,20,24,0,0,0,6,7,11,23,10,31,5,5,9,15,5,23,57,46,103,0,0,0,0,0,0,0,0,3,4,13,15,0,0,8,8,18,25,135,67,202,200,121,320,15,21,36,0,0,4,6,0,3,27,23,51,2847,4558,7403,2691,4161,6852,67,57,121,21793,21318,43109
LGA15240,3,5,8,55,52,102,3,0,5,0,0,0,12,22,37,11062,10695,21760,701,884,1587,445,14,457,122,17,140,83,26,107,96,50,150,629,583,1209,13213,12346,25566,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,5,4,0,0,0,0,0,0,0,3,0,4,4,16,4,3,10,8,12,21,143,66,207,153,78,233,0,0,0,0,0,4,3,3,4,9,0,14,2019,2413,4437,1548,2363,3917,197,187,385,17149,17397,34544
LGA15270,0,0,0,12,12,25,0,0,0,0,0,0,7,9,15,4169,3315,7486,315,258,572,118,5,119,40,3,43,17,0,23,33,13,45,215,226,444,4924,3840,8766,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,66,41,108,65,43,113,0,0,0,0,0,0,7,0,5,7,0,5,578,701,1283,554,820,1377,40,46,86,6170,5457,11624
LGA15300,0,0,0,12,6,19,0,0,5,0,0,0,4,4,6,1967,1639,3606,139,167,306,80,0,85,12,0,18,10,5,17,24,11,38,135,120,263,2400,1963,4363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,3,3,26,7,32,26,12,42,0,0,0,0,0,0,0,0,0,0,0,0,223,306,531,132,226,353,34,26,58,2813,2530,5348
LGA15350,7,5,11,196,227,418,35,8,46,0,0,0,5,3,13,1634,1157,2792,66,144,212,11,0,11,61,11,70,41,13,48,37,35,74,171,252,428,2261,1855,4117,32,17,48,6,6,6,0,0,0,3,0,3,0,0,0,0,0,0,37,29,64,4,0,14,5,3,7,10,10,20,3,5,10,4,10,9,27,28,55,23,20,49,89,74,164,10,7,16,0,3,8,0,0,0,14,14,27,3983,4149,8131,553,854,1415,23,18,43,6921,6976,13888
LGA15520,0,0,0,12,9,19,0,0,0,0,0,0,11,0,12,1942,1661,3599,102,115,221,49,0,49,21,7,24,27,12,39,20,7,29,121,110,234,2305,1912,4218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,4,30,7,41,29,14,44,0,0,0,0,0,0,8,0,8,8,0,8,358,387,743,176,355,530,39,32,75,2912,2703,5616
LGA15560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553,445,998,38,32,71,34,0,32,9,0,10,3,4,9,22,3,23,77,50,125,730,533,1266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,12,8,5,8,0,0,0,0,0,0,4,0,4,4,0,4,116,126,241,29,67,98,5,10,13,897,734,1629
LGA15650,7,0,7,8,0,8,0,0,0,0,0,0,0,0,0,2939,2135,5073,172,162,331,46,0,45,27,8,36,10,3,11,24,22,41,103,119,223,3322,2461,5787,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,11,32,29,11,33,0,0,0,0,0,0,0,0,0,3,0,3,259,429,691,469,533,1000,31,17,49,4112,3453,7563
LGA15700,5,0,4,3,3,12,0,0,0,0,0,0,0,0,3,2234,2298,4534,163,159,322,105,0,107,21,4,19,12,5,19,21,3,35,103,116,215,2668,2602,5270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,4,5,33,10,44,31,15,48,0,0,0,0,0,0,0,0,0,0,0,0,428,491,920,321,455,774,59,47,107,3513,3610,7124
LGA15750,0,0,0,83,39,122,0,0,6,0,0,0,0,3,3,2208,1755,3966,155,137,291,84,3,86,0,0,8,18,3,26,28,5,35,127,118,241,2706,2066,4774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,25,6,26,5,4,9,0,0,0,24,3,31,29,9,41,56,21,71,0,0,0,0,0,0,0,0,0,3,0,3,294,351,646,235,303,534,24,23,44,3319,2759,6075
LGA15800,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,847,701,1549,57,54,109,30,0,34,11,0,11,0,0,0,14,4,15,65,77,139,1029,837,1864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,11,7,4,14,0,0,0,0,0,0,0,0,0,0,0,0,128,132,255,51,113,164,6,11,16,1225,1090,2311
LGA15850,0,0,0,0,6,7,0,0,0,0,0,0,0,0,0,884,815,1698,62,54,107,40,0,40,6,5,11,9,0,9,19,10,30,85,62,145,1109,940,2053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,17,15,4,17,0,0,0,0,0,0,9,0,7,9,0,7,180,168,345,50,112,165,11,20,35,1373,1244,2616
LGA15900,102,47,153,345,468,808,15,24,40,38,26,61,54,67,121,23743,19371,43117,1053,1512,2562,331,7,341,350,79,431,563,249,807,170,113,283,1021,1136,2155,27783,23096,50882,29,14,43,4,0,4,4,3,6,17,5,25,10,6,15,11,3,19,73,34,108,3,4,4,4,6,9,27,29,54,18,50,67,11,25,43,67,105,178,289,180,466,424,321,748,27,14,39,16,11,30,20,8,27,58,40,92,8909,11152,20061,5105,7952,13063,161,119,277,42448,42675,85131
LGA15950,460,446,906,441,491,933,47,33,81,0,0,5,31,35,63,3818,2767,6579,173,372,542,47,0,47,151,29,176,148,52,199,71,64,136,967,1051,2018,6353,5336,11689,133,156,291,11,12,23,4,9,12,25,14,35,10,9,15,15,13,32,197,210,409,7,5,17,7,9,12,7,6,19,3,16,16,8,9,20,39,53,86,43,31,71,279,288,572,37,35,68,14,3,17,4,0,4,52,38,91,11745,12755,24502,1317,2257,3576,31,44,74,19781,20713,40495
