LGA_CODE_2021,OneMeth_Train_M,OneMeth_Train_F,OneMeth_Train_P,OneMeth_Bus_M,OneMeth_Bus_F,OneMeth_Bus_P,OneMeth_Ferry_M,OneMeth_Ferry_F,OneMeth_Ferry_P,OneMeth_Tram_lt_rail_M,OneMeth_Tram_lt_rail_F,OneMeth_Tram_lt_rail_P,OneMeth_Taxi_rs_serv_M,OneMeth_Taxi_rs_serv_F,OneMeth_Taxi_rs_serv_P,OneMeth_Car_as_driver_M,OneMeth_Car_as_driver_F,OneMeth_Car_as_driver_P,OneMeth_Car_as_passenger_M,OneMeth_Car_as_passenger_F,OneMeth_Car_as_passenger_P,OneMeth_Truck_M,OneMeth_Truck_F,OneMeth_Truck_P,OneMeth_Motorbike_scooter_M,OneMeth_Motorbike_scooter_F,OneMeth_Motorbike_scooter_P,OneMeth_Bicycle_M,OneMeth_Bicycle_F,OneMeth_Bicycle_P,OneMeth_Other_M,OneMeth_Other_F,OneMeth_Other_P,OneMeth_Walked_only_M,OneMeth_Walked_only_F,OneMeth_Walked_only_P,OneMeth_Tot_OneMeth_M,OneMeth_Tot_OneMeth_F,OneMeth_Tot_OneMeth_P,TwoMeth_Train_Bus_M,TwoMeth_Train_Bus_F,TwoMeth_Train_Bus_P,TwoMeth_Train_Ferry_M,TwoMeth_Train_Ferry_F,TwoMeth_Train_Ferry_P,TwoMeth_Trn_Trm_lt_rl_M,TwoMeth_Trn_Trm_lt_rl_F,TwoMeth_Trn_Trm_lt_rl_P,TwoMeth_Train_Car_as_drvr_M,TwoMeth_Train_Car_as_drvr_F,TwoMeth_Train_Car_as_drvr_P,TwoMeth_Trn_Car_as_pass_M,TwoMeth_Trn_Car_as_pass_F,TwoMeth_Trn_Car_as_pass_P,TwoMeth_Train_Other_M,TwoMeth_Train_Other_F,TwoMeth_Train_Other_P,TwoMeth_Train_Tot_M,TwoMeth_Train_Tot_F,TwoMeth_Train_Tot_P,TwoMeth_Bus_Ferry_M,TwoMeth_Bus_Ferry_F,TwoMeth_Bus_Ferry_P,TwoMeth_Bus_Trm_lt_rl_M,TwoMeth_Bus_Trm_lt_rl_F,TwoMeth_Bus_Trm_lt_rl_P,TwoMeth_Bus_Car_as_driver_M,TwoMeth_Bus_Car_as_driver_F,TwoMeth_Bus_Car_as_driver_P,TwoMeth_Bus_Car_as_pass_M,TwoMeth_Bus_Car_as_pass_F,TwoMeth_Bus_Car_as_pass_P,TwoMeth_Bus_Other_M,TwoMeth_Bus_Other_F,TwoMeth_Bus_Other_P,TwoMeth_Bus_Tot_M,TwoMeth_Bus_Tot_F,TwoMeth_Bus_Tot_P,TwoMeth_Other_TwoMeth_M,TwoMeth_Other_TwoMeth_F,TwoMeth_Other_TwoMeth_P,TwoMeth_Tot_TwoMeth_M,TwoMeth_Tot_TwoMeth_F,TwoMeth_Tot_TwoMeth_P,ThreeMeth_Trn_2_othr_mthd_M,ThreeMeth_Trn_2_othr_mthd_F,ThreeMeth_Trn_2_othr_mthd_P,ThreMth_Bu_2_ot_met_exc_tra_M,ThreMth_Bu_2_ot_met_exc_tra_F,ThreMth_Bu_2_ot_met_exc_tra_P,ThreeMeth_Oth_ThreeMeth_M,ThreeMeth_Oth_ThreeMeth_F,ThreeMeth_Oth_ThreeMeth_P,ThreeMeth_Tot_ThreeMeth_M,ThreeMeth_Tot_ThreeMeth_F,ThreeMeth_Tot_ThreeMeth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Meth_travel_to_work_NS_M,Meth_travel_to_work_NS_F,Meth_travel_to_work_NS_P,Tot_M,Tot_F,Tot_P
LGA10800,0,0,0,118,33,154,0,0,0,0,0,0,0,0,0,765,693,1458,119,68,184,39,3,40,13,0,13,4,0,10,23,6,31,90,77,167,1169,881,2047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,11,3,0,3,0,0,0,12,0,12,14,0,17,28,4,27,0,0,0,0,0,0,0,0,0,0,0,0,208,182,391,89,130,218,18,13,30,1514,1211,2723
LGA10850,0,0,0,13,3,19,0,0,0,0,0,0,0,0,0,1162,1057,2219,75,59,131,43,0,41,11,5,17,7,0,7,11,7,18,58,57,114,1385,1185,2572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,3,13,8,21,20,6,27,0,0,0,0,0,0,0,0,0,0,0,0,245,274,521,145,175,313,12,10,23,1809,1652,3459
LGA10900,288,158,445,13,17,27,3,0,3,0,0,0,9,25,36,8027,6103,14126,343,436,777,272,6,274,81,7,91,63,20,80,65,65,125,304,269,576,9462,7106,16566,29,24,52,0,0,0,0,0,0,44,17,61,12,11,25,23,5,31,107,62,167,0,0,0,0,0,0,0,4,9,0,0,4,0,3,3,0,11,15,97,31,123,207,101,304,9,12,25,0,0,3,7,3,6,15,15,27,6117,7299,13416,2401,3470,5866,78,60,137,18274,18048,36320
LGA10950,0,0,0,57,13,67,0,0,0,0,0,0,0,0,0,392,298,687,50,32,80,23,0,23,3,5,10,4,4,3,8,4,12,34,42,81,569,401,965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,3,0,8,6,0,11,11,3,15,0,0,0,0,0,0,0,0,0,0,0,0,83,82,159,41,60,101,16,13,24,714,555,1274
LGA11150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,264,581,30,39,72,24,0,24,6,0,6,0,0,0,14,6,18,61,64,120,453,379,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,6,18,10,7,17,0,0,0,0,0,0,0,0,0,0,0,0,61,70,132,39,58,93,10,8,17,574,519,1089
LGA11200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,105,222,10,15,26,7,0,7,4,4,8,0,0,0,3,3,9,46,55,96,187,182,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,6,0,3,0,0,0,0,0,0,0,0,3,0,0,3,31,24,54,15,19,35,4,6,8,235,231,468
LGA11250,0,0,0,5,0,9,3,0,0,0,0,0,5,7,12,2599,2498,5101,221,261,480,34,0,34,36,6,43,27,0,28,15,5,22,150,141,292,3107,2928,6035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,3,0,3,16,17,39,25,17,43,0,0,0,0,0,0,0,0,0,0,0,0,117,203,323,382,443,829,23,23,45,3655,3623,7275
LGA11300,967,981,1945,135,184,321,0,0,0,0,0,0,14,12,27,2987,1695,4684,146,322,472,77,5,78,80,3,87,45,11,46,47,32,87,236,382,621,4732,3635,8361,346,407,752,0,0,4,11,19,32,34,14,49,10,25,37,19,13,26,423,481,899,0,0,0,0,0,0,3,0,3,0,13,13,8,3,9,11,19,28,44,16,54,472,513,985,50,47,94,6,0,5,0,0,5,51,47,100,3133,3553,6684,1112,1417,2523,36,37,73,9535,9194,18730
LGA11350,0,0,0,15,22,32,0,0,0,0,0,0,7,4,5,4110,3884,7993,185,222,409,110,4,110,67,7,80,189,142,339,48,54,100,323,305,635,5056,4651,9705,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,6,6,4,4,11,45,47,89,54,49,101,0,0,3,0,0,3,0,0,0,5,3,10,2017,2575,4593,945,1383,2329,91,60,151,8162,8715,16884
LGA11400,0,0,0,7,4,7,0,0,0,0,0,0,3,4,5,2172,1962,4138,104,101,206,94,0,99,31,3,40,5,0,5,28,14,39,134,111,249,2586,2203,4785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,30,8,41,35,11,46,0,0,0,0,0,0,0,0,0,0,0,7,554,529,1082,192,340,527,25,28,54,3390,3109,6500
