LGA_CODE_2021,P_Sol_sp_En_Tot_2011_2015,P_Sol_sp_En_Tot_2016,P_Sol_sp_En_Tot_2017,P_Sol_sp_En_Tot_2018,P_Sol_sp_En_Tot_2019,P_Sol_sp_En_Tot_2020,P_Sol_sp_En_Tot_2021,P_Sol_sp_En_Tot_Yr_arr_ns,P_Sol_sp_En_Tot_YoA_Tot,P_LanProf_En_ns_B_2005,P_LanProf_En_ns_2005_2010,P_LanProf_En_ns_2011_2015,P_LanProf_En_ns_2016,P_LanProf_En_ns_2017,P_LanProf_En_ns_2018,P_LanProf_En_ns_2019,P_LanProf_En_ns_2020,P_LanProf_En_ns_2021,P_LanProf_En_ns_Yr_arr_ns,P_LanProf_En_ns_Tot,P_Tot_B_2005,P_Tot_2005_2010,P_Tot_2011_2015,P_Tot_2016,P_Tot_2017,P_Tot_2018,P_Tot_2019,P_Tot_2020,P_Tot_2021,P_Tot_Yr_arrival_ns,P_Tot_YoA_Tot
LGA10050,991,238,280,278,259,77,15,66,3688,6,0,0,0,0,0,0,0,0,4,12,3220,1057,1202,281,313,335,302,108,29,161,7011
LGA10180,342,116,172,440,668,120,25,42,2557,0,0,0,0,0,0,0,0,0,4,5,1501,509,492,149,220,475,707,148,32,104,4330
LGA10250,277,52,72,86,94,34,21,41,1433,4,0,8,0,0,0,0,0,0,18,31,3589,757,681,141,133,129,166,71,34,207,5923
LGA10300,28,10,7,18,15,0,0,20,147,0,0,0,0,0,0,0,0,0,0,0,67,16,36,10,7,18,16,0,0,26,198
LGA10470,374,90,120,148,132,63,12,34,1796,4,0,0,0,0,0,0,0,0,154,160,2343,539,540,123,155,189,164,77,16,261,4408
LGA10500,9378,3195,3741,4339,4514,1339,269,1371,65782,25,8,16,7,4,8,6,4,4,577,654,39734,10149,11785,3793,4368,5011,5205,1612,345,2368,84375
LGA10550,117,58,43,44,53,20,3,29,908,8,0,0,0,0,0,0,0,0,3,16,3377,318,252,90,70,65,74,39,9,159,4448
LGA10600,31,7,8,5,19,10,0,19,290,0,0,0,0,0,0,0,0,0,7,5,1252,137,103,24,25,20,22,16,0,79,1682
LGA10650,53,3,6,10,18,11,0,11,197,0,0,0,0,0,0,0,0,0,4,4,451,50,83,10,12,14,28,11,5,28,685
LGA10750,24618,6065,5964,6192,6732,2276,514,2087,141710,92,32,27,0,5,10,13,7,8,428,617,77377,35690,28320,6876,6718,6990,7388,2559,592,3349,175853
LGA10800,27,6,5,3,23,10,0,0,128,0,0,0,0,0,0,0,0,0,0,0,145,59,51,11,14,11,21,13,0,11,331
LGA10850,14,0,4,9,5,0,0,0,65,0,0,0,0,0,0,0,0,0,0,5,335,41,41,5,4,8,7,3,0,15,466
LGA10900,397,101,94,140,123,35,3,65,3281,16,0,0,0,0,0,0,0,0,15,36,10633,1128,891,182,150,184,179,54,25,290,13723
LGA10950,12,8,0,8,6,3,0,6,78,0,0,0,0,0,0,0,0,0,0,0,58,27,22,10,4,8,4,8,0,11,158
LGA11150,10,8,4,6,6,4,3,0,66,0,0,0,0,0,0,0,0,0,0,0,50,24,18,8,4,5,10,4,3,9,125
LGA11200,10,0,0,12,4,0,3,0,38,0,0,0,0,0,0,0,0,0,0,0,29,10,9,0,0,9,4,0,3,0,68
LGA11250,75,11,26,40,50,26,9,3,418,0,0,0,0,0,0,0,0,0,5,5,515,105,113,29,36,49,63,29,15,20,978
LGA11300,2643,1033,1497,2198,1927,569,52,478,20265,5,0,0,0,3,0,5,0,0,47,69,9430,2509,2930,1103,1561,2314,2049,618,65,604,23190
LGA11350,479,141,137,216,293,128,15,74,2528,0,0,0,0,0,0,6,0,0,8,10,4192,945,1001,263,250,370,436,282,28,259,8026
LGA11400,31,6,7,15,0,4,0,10,188,0,0,0,0,0,0,0,0,0,0,0,544,81,79,13,24,14,6,4,0,46,813
LGA11450,3121,504,510,428,503,201,58,261,17507,12,9,5,0,0,7,0,0,0,38,71,15083,4898,4024,646,674,559,605,273,80,537,27381
LGA11500,7502,1511,1362,1315,1416,573,187,753,45800,29,9,17,4,7,6,0,0,0,289,357,32348,11880,8677,1757,1607,1539,1622,663,227,1446,61764
LGA11520,3620,1065,1219,1312,1483,536,147,466,25510,10,0,0,0,0,3,3,0,0,111,127,18739,4671,4687,1295,1450,1562,1704,619,199,754,35674
LGA11570,18099,4634,5534,5567,5525,1792,508,3329,142086,66,20,17,4,6,17,3,3,4,1508,1646,92293,21488,20092,5025,5993,6006,5960,1971,575,5452,164850
LGA11600,33,16,25,44,71,37,18,16,288,0,0,0,0,0,0,0,4,0,4,9,69,53,50,16,33,49,79,45,27,23,456
LGA11650,3220,725,688,664,725,279,94,346,17804,75,6,4,0,0,0,0,0,3,229,321,36035,7131,5995,1201,1097,974,1085,496,184,1556,55754
LGA11700,0,0,0,0,4,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,63,11,6,0,0,4,4,0,4,0,90
LGA11720,249,49,54,66,81,29,6,34,1242,4,0,0,0,0,0,0,0,0,245,250,2898,503,444,82,78,110,105,50,13,384,4662
LGA11730,165,53,56,49,47,38,12,25,994,5,0,0,0,0,0,0,0,0,180,190,3049,418,356,90,90,79,82,56,17,382,4617
LGA11750,31,14,12,18,16,5,0,5,160,0,0,0,0,0,0,0,0,0,0,0,124,73,53,13,16,17,26,7,4,11,354
LGA11800,930,308,415,507,735,211,91,154,5463,4,4,5,0,0,0,5,0,0,37,56,6330,1543,1417,408,510,601,838,262,114,420,12434
LGA12000,3,0,0,4,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,135,22,15,0,3,14,0,0,0,12,198
LGA12150,10,3,5,7,8,0,0,3,58,0,0,0,0,0,0,0,0,0,0,0,59,14,17,3,5,6,11,3,3,5,135
LGA12160,39,9,18,17,73,6,33,8,292,0,0,0,0,0,0,0,0,3,0,0,446,71,58,22,20,23,81,17,33,34,802
LGA12350,68,17,23,31,47,4,0,4,342,0,0,0,0,0,0,0,0,0,0,3,575,70,93,27,32,35,50,4,0,31,923
LGA12380,17261,4763,6372,8022,7545,2268,619,2459,111667,48,23,32,12,13,28,16,3,0,378,556,52780,18945,18486,5118,6752,8483,7990,2415,668,3237,124867
LGA12390,869,293,319,305,274,93,62,52,3313,3,0,0,0,0,0,0,0,4,106,110,1660,792,1055,340,351,345,332,120,85,260,5339
LGA12700,4,3,3,0,0,0,0,4,60,0,0,0,0,0,0,0,0,0,0,0,417,58,26,8,8,0,0,0,0,24,534
LGA12730,29,13,21,13,24,6,8,0,187,0,0,0,0,0,0,0,0,0,0,0,265,47,50,16,23,15,27,11,8,23,484
LGA12750,123,41,44,65,57,35,7,43,1173,11,0,0,0,0,0,0,0,0,4,15,4498,325,269,72,74,84,88,42,21,230,5700
LGA12850,12478,6497,4369,2958,4733,1404,263,2674,106372,58,7,17,9,6,3,3,4,0,638,747,67044,11544,13149,6658,4512,3052,4852,1453,279,3610,116160
LGA12870,42,5,13,9,23,4,0,12,201,0,0,0,0,0,0,0,0,0,5,9,666,73,60,12,15,12,31,11,0,48,922
LGA12900,24,11,6,11,18,3,8,4,140,0,0,0,0,0,0,0,0,0,5,5,224,47,42,16,16,13,26,5,5,23,418
LGA12930,7488,2162,2760,3496,3271,946,145,1088,58199,21,0,10,0,6,7,10,0,0,691,741,36442,9290,8449,2378,2987,3815,3503,1035,173,2015,70087
LGA12950,3,3,0,9,7,3,0,3,40,0,0,0,0,0,0,0,0,0,0,0,93,8,11,3,5,6,7,4,0,10,148
LGA13010,17,8,7,24,15,9,3,4,161,3,0,0,0,0,0,0,0,0,43,49,450,38,26,8,10,28,23,8,8,74,677
LGA13310,310,73,77,95,153,30,42,42,1536,9,0,3,0,0,0,0,0,0,94,103,1952,418,416,94,87,110,199,40,55,231,3603
LGA13340,28,5,13,9,14,0,0,4,145,0,0,0,0,0,0,0,0,0,0,0,457,65,58,13,11,17,17,4,4,35,670
LGA13450,731,280,356,450,577,171,43,151,4759,8,0,0,0,0,3,8,0,0,11,25,2095,816,888,322,391,487,656,195,51,221,6123
LGA13550,60,16,16,21,42,17,5,5,308,0,0,0,0,0,0,0,0,0,0,0,315,104,95,25,22,39,53,21,4,31,711
LGA13660,6,0,4,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,162,13,18,0,3,3,0,0,0,10,213
