LGA_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
LGA10050,10622,6892,7369,6880,6695,6736,5797,3466,1379,55832
LGA10180,5201,4650,3761,3208,3211,3532,2791,1889,705,28948
LGA10250,7532,4355,4316,5246,5882,6467,6693,3974,1822,46290
LGA10300,435,208,287,231,307,361,309,111,53,2304
LGA10470,8223,5970,5731,5174,5414,5239,4395,2494,1046,43690
LGA10500,26460,21466,36523,26614,20728,17464,13437,8623,3717,175031
LGA10550,5492,3120,3127,3391,4404,6311,6182,3124,1102,36250
LGA10600,2237,1129,1062,1306,1774,2276,2186,1098,405,13482
LGA10650,1347,730,736,792,959,1252,1477,861,329,8476
LGA10750,90109,50669,59127,67274,47507,37845,26951,12472,4375,396334
LGA10800,1089,566,647,671,711,835,685,395,178,5783
LGA10850,1521,774,797,771,975,1080,858,482,160,7416
LGA10900,13613,8070,7111,9547,10956,11162,10465,5225,1747,77907
LGA10950,489,290,350,231,369,335,246,197,72,2573
LGA11150,518,278,331,279,305,378,262,119,38,2501
LGA11200,269,178,207,140,178,226,158,58,16,1428
LGA11250,2992,1894,2194,1896,2032,2628,2284,1268,583,17767
LGA11300,4807,6828,8791,5017,4457,4088,3024,1939,1156,40111
LGA11350,5892,3254,4977,5151,5231,5270,4515,1692,582,36569
LGA11400,2801,1470,1135,1534,1819,1979,1672,959,343,13713
LGA11450,29967,14412,19359,18819,14235,10279,7148,3445,1216,118890
LGA11500,38828,22196,25590,26558,20233,19348,14738,6655,1935,176083
LGA11520,14083,9361,14822,13612,11751,10200,8106,4872,2295,89107
LGA11570,73225,47559,55096,50789,45515,41765,29549,17319,8225,369038
LGA11600,567,321,517,362,384,414,265,132,57,3011
LGA11650,62456,38816,38087,41310,44102,44601,40322,25556,10498,345747
LGA11700,316,222,251,203,266,302,283,120,24,1989
LGA11720,12867,7562,9106,7917,7757,7539,6477,3078,1159,63463
LGA11730,8708,5117,5253,5421,6600,8519,8679,4852,1771,54917
LGA11750,823,479,664,583,512,633,426,218,76,4411
LGA11800,14030,8266,8903,9342,9888,10594,10389,5862,2328,79602
LGA12000,857,459,435,432,514,596,557,332,130,4316
LGA12150,819,414,482,405,442,541,449,234,85,3859
LGA12160,1973,1132,1024,1128,1325,1697,1707,1059,378,11420
LGA12350,2169,1370,1301,1216,1574,1767,1888,1099,409,12776
LGA12380,46793,31144,43480,36009,25906,23128,16058,8754,3444,234713
LGA12390,11538,6302,8215,6588,6261,6423,5166,3138,1183,54814
LGA12700,1780,917,852,1114,1263,1542,1257,666,185,9576
LGA12730,1474,867,855,835,1050,1267,1090,665,287,8385
LGA12750,5737,3338,3298,3654,4847,7049,7799,3992,1492,41212
LGA12850,37118,29066,26822,24860,27153,27823,20249,9977,4350,207422
LGA12870,2010,1171,1112,1157,1517,1907,2037,1219,464,12599
LGA12900,1924,1088,1012,997,1087,1215,1115,739,272,9455
LGA12930,24157,19523,23572,20602,19012,18638,13897,8245,4278,151926
LGA12950,819,371,437,431,547,665,591,357,133,4346
LGA13010,1364,867,862,842,1076,1418,1344,830,294,8897
LGA13310,5810,3688,4260,3793,3994,4281,3720,2098,823,32468
LGA13340,2257,1191,935,1251,1360,1643,1413,737,232,11021
LGA13450,5271,3304,4073,3429,3505,3267,2346,1419,688,27309
LGA13550,2892,1412,1769,1520,1414,1615,1259,835,321,13041
LGA13660,866,405,378,504,628,773,746,479,170,4949
LGA13800,12830,8605,8786,7891,9196,8617,6335,3549,1224,67039
LGA13850,473,312,322,266,329,509,345,249,88,2889
LGA13910,3652,2025,1987,1986,2283,2756,2518,1481,527,19220
LGA14000,28775,17905,14400,22175,21853,18563,14055,8843,4287,150859
LGA14100,2265,1658,986,1517,1999,1675,1462,987,719,13269
LGA14170,26305,18365,34599,30167,25793,19550,13999,7806,3536,180114
LGA14220,3438,2030,1983,1847,2188,2377,2172,1400,472,17902
LGA14300,1057,703,931,860,852,852,697,378,127,6464
LGA14350,5154,3186,3091,3029,3606,4897,4887,2550,866,31270
LGA14400,3822,2297,2047,2517,2768,3383,3429,1917,764,22931
LGA14500,23959,15855,9392,16393,18678,15070,11578,8122,4145,123193
LGA14550,1485,785,710,931,1174,1785,1600,663,229,9370
LGA14600,1272,598,711,684,710,835,681,408,196,6101
LGA14650,38660,23905,23967,25618,26566,26756,24328,15367,6233,211391
LGA14700,7053,3873,6373,6875,5151,3921,3061,1824,745,38881
LGA14750,2400,1515,1371,1272,1382,1454,1037,691,282,11402
LGA14850,7607,5001,4834,5217,6006,6661,5543,2676,1143,44697
LGA14870,3432,2140,2296,2182,2666,3177,2838,1647,539,20916
LGA14900,51593,32697,33480,34055,29650,25181,15961,8091,2965,233665
LGA14920,1338,789,721,787,950,1139,1075,593,185,7587
LGA14950,672,328,257,311,381,530,426,246,112,3274
LGA15050,19275,11073,12882,11934,10912,9775,8012,4329,1498,89694
LGA15240,14355,8332,7743,8529,11051,15526,17513,10475,3884,97410
LGA15270,5131,2614,3029,3003,3409,3522,2955,1798,586,26047
LGA15300,2644,1517,1767,1534,1703,1812,1362,741,199,13276
LGA15350,4496,2896,2922,3602,4109,3568,2961,2147,912,27598
LGA15520,2170,1055,1200,1276,1521,1873,1944,1160,393,12600
LGA15560,543,336,410,345,407,552,424,200,73,3299
LGA15650,3446,1975,2371,2193,2142,2000,1440,741,261,16568
LGA15700,3254,1782,1692,1849,2314,3539,3614,1989,715,20753
LGA15750,2556,1417,1659,1457,1641,1910,1392,802,309,13135
LGA15800,1140,563,557,620,669,812,678,429,200,5666
LGA15850,1342,697,693,669,700,843,737,469,166,6312
LGA15900,27311,23633,26714,21759,20593,19053,15055,9049,4467,167644
LGA15950,8575,5372,14346,12203,8644,7250,6247,3726,1178,67550
LGA15990,48265,29799,28623,35179,39562,31995,23681,16289,7227,260619
LGA16100,976,518,549,630,747,845,858,410,104,5629
LGA16150,9425,5316,5996,5552,5174,4813,4170,2495,1035,43971
LGA16200,2923,1663,1657,1591,1686,1924,1551,966,428,14382
LGA16260,46918,28489,49764,45479,29103,24811,18192,9990,4161,256908
LGA16350,46086,28282,32966,31728,26842,23264,17366,8208,2732,217477
LGA16380,13950,8903,7734,8688,10493,12125,13266,8720,3439,87317
LGA16400,12973,7900,7045,7851,9201,10562,10662,6415,1838,74450
LGA16490,12337,6874,9304,8994,9144,7939,5172,2451,764,62993
LGA16550,20590,15767,24236,20186,17315,13964,10619,6909,3347,132935
LGA16610,4344,2615,2312,2338,2807,3337,3408,1906,755,23805
LGA16700,20848,14403,23720,21232,15220,13961,10494,5836,3075,128780
LGA16900,14574,9407,9532,9297,9619,9594,7727,4418,1700,75865
LGA16950,17662,10420,11103,11292,12427,16120,16822,9731,3489,109059
LGA17000,5120,3411,3314,3064,3357,3053,2158,1040,360,24880
LGA17040,4318,3583,3777,3150,3787,3972,2831,1429,482,27335
LGA17080,2729,1479,1506,1736,1895,2216,1857,1109,403,14929
LGA17100,6784,6562,11015,6642,4527,4384,2930,1717,811,45368
LGA17150,42302,26751,26219,30389,31690,28208,22528,13734,6415,228231
LGA17200,16267,27328,69116,40220,23488,18293,12462,6082,2150,215399
LGA17310,12744,7531,8080,7394,7540,7596,6685,4213,1614,63390
LGA17350,1101,638,521,570,714,871,863,511,231,6024
LGA17400,980,579,507,589,848,1239,1409,618,210,6991
LGA17420,40570,24431,19335,30779,27030,20909,16795,8770,2874,191486
LGA17550,16160,9211,9012,11215,12144,14102,13822,8659,3804,98125
LGA17620,2660,1539,1706,1733,1802,1952,1651,940,396,14387
LGA17640,1430,790,715,856,1139,1513,1241,666,229,8575
LGA17650,1055,614,542,600,820,953,823,415,120,5946
LGA17750,13809,10615,9877,8307,7645,7416,5950,3491,1559,68655
LGA17850,508,264,273,264,371,454,473,312,74,2999
LGA17900,966,526,655,550,696,954,822,399,82,5654
LGA17950,492,269,297,249,322,399,297,203,86,2620
LGA18020,1567,895,869,832,1119,1447,1474,870,342,9412
LGA18050,10606,6028,15745,11413,8679,6018,4515,2791,1337,67134
LGA18100,547,310,292,328,425,580,573,345,140,3534
LGA18200,1417,782,860,888,996,1154,946,490,138,7673
LGA18250,14200,8139,9455,12742,10785,8213,6583,3728,2045,75892
LGA18350,8928,5245,4808,5371,6808,7256,7744,5183,1749,53085
LGA18400,11663,6838,6519,6883,7292,6263,4936,2441,772,53608
LGA18450,37638,28337,28270,26715,26775,25912,20727,13294,5798,213468
LGA18500,7691,5255,8160,7044,6796,5984,5388,3809,1673,51793
LGA18710,3415,1937,1660,2173,2744,2272,1857,919,334,17313
LGA19399,206,77,141,155,161,211,192,58,18,1225
LGA19799,0,0,0,4,18,8,3,0,0,32
LGA20110,2128,1281,1314,1566,1793,2135,1929,1034,382,13556
LGA20260,1809,1130,1457,1318,1521,1740,1596,901,366,11839
LGA20570,21312,14276,15540,14077,13822,13075,11540,6613,2863,113111
LGA20660,22340,13854,16312,18133,16874,14719,12487,7666,3470,125852
LGA20740,6218,3360,3627,4267,4855,6498,6821,3507,1210,40367
LGA20830,10916,6073,7096,6539,6847,7353,6706,3770,1330,56635
LGA20910,17540,12015,7856,11716,16027,13705,10659,6737,3373,99625
LGA21010,2066,1342,1393,1367,1721,2341,2276,1345,555,14409
LGA21110,26624,23886,20842,20252,23529,20303,15493,9629,4930,165491
LGA21180,33771,24459,30457,26413,24558,23030,18172,9642,3673,194181
LGA21270,954,570,556,513,806,1067,958,542,278,6243
LGA21370,6618,4105,3989,3901,4901,5676,4938,3102,1266,38493
LGA21450,26732,14308,18525,17441,14390,11460,8421,4485,1466,117228
LGA21610,83062,47317,55569,57909,45078,35891,23194,11572,4158,363743
LGA21670,1968,1223,1161,1114,1663,2090,2226,1434,499,13372
LGA21750,3744,2288,2649,2482,2835,3226,2972,1571,638,22402
LGA21830,2674,1675,1588,1574,2069,2493,2047,1267,510,15897
LGA21890,22134,16132,28309,23582,20233,15206,10396,7285,3884,147167
LGA22110,7321,4187,4447,4566,5654,7647,8385,4680,1487,48371
LGA22170,25749,15529,19079,19617,18895,16733,12665,7200,3051,138517
