LGA_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Prim_Other_Non_Govt_M,Prim_Other_Non_Govt_F,Prim_Other_Non_Govt_P,Primary_Tot_M,Primary_Tot_F,Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_Ed_Ft_15_24_yr_M,Tert_Voc_Ed_Ft_15_24_yr_F,Tert_Voc_Ed_Ft_15_24_yr_P,Tert_Voc_Ed_Ft_25_yr_over_M,Tert_Voc_Ed_Ft_25_yr_over_F,Tert_Voc_Ed_Ft_25_yr_over_P,Tert_Voc_Ed_Pt_15_24_yr_M,Tert_Voc_Ed_Pt_15_24_yr_F,Tert_Voc_Ed_Pt_15_24_yr_P,Tert_Voc_Ed_Pt_25_yr_over_M,Tert_Voc_Ed_Pt_25_yr_over_F,Tert_Voc_Ed_Pt_25_yr_over_P,Tert_Voc_Ed_Ft_Pt_st_ns_M,Tert_Voc_Ed_Ft_Pt_st_ns_F,Tert_Voc_Ed_Ft_Pt_st_ns_P,Tert_Voc_Ed_Tot_M,Tert_Voc_Ed_Tot_F,Tert_Voc_Ed_Tot_P,Tert_Uni_oth_edu_Ft_15_24_M,Tert_Uni_oth_edu_Ft_15_24_F,Tert_Uni_oth_edu_Ft_15_24_P,Tert_Uni_oth_edu_Ft_25ov_M,Tert_Uni_oth_edu_Ft_25ov_F,Tert_Uni_oth_edu_Ft_25ov_P,Tert_Uni_oth_edu_Pt_15_24_M,Tert_Uni_oth_edu_Pt_15_24_F,Tert_Uni_oth_edu_Pt_15_24_P,Tert_Uni_oth_edu_Pt_25ov_M,Tert_Uni_oth_edu_Pt_25ov_F,Tert_Uni_oth_edu_Pt_25ov_P,Tert_Uni_oth_edu_F_Pt_st_ns_M,Tert_Uni_oth_edu_F_Pt_st_ns_F,Tert_Uni_oth_edu_F_Pt_st_ns_P,Tert_Uni_oth_edu_Tot_M,Tert_Uni_oth_edu_Tot_F,Tert_Uni_oth_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Oth_type_Edu_inst_Ftime_stu_M,Oth_type_Edu_inst_Ftime_stu_F,Oth_type_Edu_inst_Ftime_stu_P,Oth_type_Edu_inst_Ptime_stu_M,Oth_type_Edu_inst_Ptime_stu_F,Oth_type_Edu_inst_Ptime_stu_P,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_M,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_F,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_P,Oth_type_educ_institut_Tot_M,Oth_type_educ_institut_Tot_F,Oth_type_educ_institut_Tot_P,Type_educ_institution_ns_M,Type_educ_institution_ns_F,Type_educ_institution_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
LGA10050,642,607,1247,1361,1306,2669,560,560,1121,431,393,824,2349,2259,4609,966,1013,1978,391,350,737,356,433,801,1709,1804,3518,109,126,229,113,171,287,291,189,479,283,491,767,5,5,8,800,975,1772,197,484,675,113,205,315,53,94,147,198,395,594,0,0,4,558,1179,1738,1359,2154,3513,82,70,155,126,186,311,0,4,6,206,262,468,1549,1527,3071,18,23,39,7831,8640,16471
LGA10180,309,255,570,768,726,1500,189,166,353,143,197,341,1107,1095,2197,553,534,1085,196,215,415,190,268,461,937,1017,1957,56,38,94,45,85,127,107,80,191,150,241,392,0,0,4,362,448,810,355,570,926,223,263,485,73,102,177,192,289,485,0,0,0,848,1227,2070,1211,1676,2886,37,33,75,29,61,86,0,0,0,67,94,168,1450,1642,3094,30,17,48,5116,5799,10915
LGA10250,458,403,860,1060,933,1990,495,441,932,264,274,530,1816,1642,3461,733,627,1361,478,479,964,229,215,441,1443,1326,2769,61,57,121,50,90,139,184,112,300,196,315,507,0,4,9,490,584,1073,113,232,342,86,163,241,55,93,143,147,323,471,0,5,6,401,808,1204,890,1394,2286,30,25,55,69,129,200,3,0,8,105,156,263,1209,1288,2501,31,36,68,5955,6233,12192
LGA10300,17,25,40,63,46,106,33,26,62,3,0,3,103,72,170,49,39,93,15,26,34,9,7,15,66,71,136,0,0,0,0,0,0,9,6,12,7,5,15,0,0,0,15,15,30,5,0,9,0,7,0,0,0,0,4,9,12,0,0,0,11,18,29,25,36,63,0,0,0,0,3,3,0,0,0,0,4,7,176,161,336,27,7,33,411,379,788
LGA10470,499,462,967,1187,1037,2223,612,585,1198,114,125,234,1917,1752,3666,959,776,1732,380,548,924,316,252,575,1651,1578,3231,48,73,119,34,89,120,227,166,388,199,343,540,0,8,9,501,677,1183,311,514,830,84,134,212,62,85,151,182,340,522,0,3,6,641,1077,1723,1149,1758,2911,30,21,52,58,91,151,3,3,10,88,116,212,2107,1052,3163,20,21,49,7440,6741,14183
LGA10500,1658,1513,3174,3555,3318,6875,1437,1472,2904,525,504,1028,5525,5306,10826,2341,2153,4493,1417,1469,2894,595,564,1160,4370,4195,8565,479,396,871,724,923,1649,598,330,937,1200,1634,2834,15,10,20,3013,3289,6301,2868,3049,5914,1357,1336,2699,354,369,723,758,1135,1889,19,13,34,5361,5906,11263,8394,9212,17602,694,668,1360,929,1118,2045,7,9,22,1632,1801,3429,5262,4998,10264,358,383,747,27195,27404,54604
LGA10550,293,275,561,916,869,1781,197,170,363,165,169,329,1277,1203,2485,619,585,1202,272,272,547,96,101,201,991,956,1949,35,33,72,18,34,57,141,85,224,133,246,375,4,4,3,326,405,729,30,98,127,32,89,126,13,36,46,92,216,302,0,0,0,168,438,604,492,842,1333,27,29,59,35,75,105,5,0,4,61,107,174,1283,1240,2521,21,23,43,4424,4642,9064
LGA10600,106,100,212,330,347,678,102,80,181,111,84,191,543,510,1046,292,315,606,23,32,55,85,65,156,402,416,817,21,21,37,9,29,37,38,33,72,63,98,165,0,4,5,136,179,314,20,44,63,15,56,67,3,11,15,31,110,141,0,3,3,59,224,292,191,406,602,3,8,20,14,26,39,0,5,0,20,40,61,502,530,1034,5,12,22,1779,2013,3794
LGA10650,78,63,135,186,199,388,63,73,136,23,26,56,273,308,576,143,153,299,72,51,126,43,41,81,253,253,504,7,10,16,3,11,16,26,16,42,23,59,86,0,0,0,66,96,158,3,20,28,7,19,17,4,0,9,12,41,52,0,0,0,21,81,105,86,178,265,9,6,15,7,17,23,0,0,0,20,23,35,388,415,805,3,3,6,1094,1231,2325
LGA10750,4793,4387,9180,14160,13233,27385,4040,4112,8146,2059,2080,4141,20296,19449,39737,8546,8251,16800,3932,3748,7687,1891,1781,3671,14399,13807,28211,828,777,1600,846,1376,2228,1263,782,2047,1621,2742,4363,25,15,44,4580,5700,10279,4597,5566,10168,1418,2002,3421,674,781,1450,1340,2032,3369,19,24,42,8047,10409,18457,12665,16153,28821,1103,877,1987,1031,1320,2349,29,28,56,2161,2230,4392,12207,10920,23124,351,537,885,66859,67484,134345
