LGA_CODE_2021,P_Oth_svc_15_19_yr,P_Oth_svc_20_24_yr,P_Oth_svc_25_34_yr,P_Oth_svc_35_44_yr,P_Oth_svc_45_54_yr,P_Oth_svc_55_64_yr,P_Oth_svc_65_74_yr,P_Oth_svc_75_84_yr,P_Oth_svc_85_yr_over,P_Oth_svc_Tot,P_Inad_desc_Ns_15_19,P_Inad_desc_Ns_20_24,P_Inad_desc_Ns_25_34,P_Inad_desc_Ns_35_44,P_Inad_desc_Ns_45_54,P_Inad_desc_Ns_55_64,P_Inad_desc_Ns_65_74,P_Inad_desc_Ns_75_84,P_Inad_desc_Ns_85_yr_over,P_Inad_desc_Ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
LGA10050,60,119,244,200,163,138,37,8,0,974,62,104,226,197,196,159,45,15,4,1008,1793,2566,5747,5382,5167,4280,1284,139,12,26364
LGA10180,29,37,99,72,78,65,19,4,0,404,35,37,78,76,73,55,26,18,0,390,888,1244,2613,2357,2366,2238,785,171,19,12684
LGA10250,44,78,154,163,170,134,49,8,0,798,53,68,135,163,157,111,54,11,6,763,1430,1468,3340,4219,4625,4155,1374,195,20,20822
LGA10300,0,0,10,6,4,4,0,0,0,25,4,8,7,8,3,10,6,0,0,44,43,76,203,160,219,223,92,6,6,1020
LGA10470,55,93,191,153,149,113,21,0,0,778,46,83,132,125,142,115,35,8,4,702,1515,2124,4286,3959,4169,3321,1047,152,16,20584
LGA10500,69,218,752,604,513,402,108,12,0,2682,89,440,1511,959,680,452,154,21,4,4309,2391,8291,26472,19833,14973,10096,2675,253,22,85009
LGA10550,44,49,98,113,107,106,30,3,0,554,37,32,89,108,104,159,49,13,7,605,919,971,2386,2669,3365,3514,1163,174,22,15181
LGA10600,12,12,32,40,42,30,11,0,0,184,6,16,26,47,46,57,20,14,0,231,286,286,765,940,1290,1319,454,73,8,5422
LGA10650,4,8,24,26,35,17,8,0,0,128,13,10,22,23,20,28,14,14,0,140,219,205,552,616,704,734,324,73,0,3424
LGA10750,217,503,1198,1256,1041,752,173,20,0,5161,331,972,2589,2721,1816,1136,259,36,3,9867,7355,16359,40823,50012,33701,21269,4719,296,21,174555
LGA10800,15,20,16,14,12,20,8,0,0,109,7,13,15,18,20,22,14,6,4,117,165,219,500,486,537,538,208,50,9,2723
LGA10850,11,8,28,19,34,21,0,0,0,120,12,5,18,16,30,27,10,4,0,131,228,222,627,607,767,682,262,55,9,3459
LGA10900,62,98,211,270,284,223,85,13,0,1246,66,88,174,244,260,194,70,20,4,1118,1920,2497,5532,7767,8820,7156,2335,275,21,36320
LGA10950,0,0,0,5,3,12,0,0,0,24,5,7,4,7,7,9,8,4,0,56,66,107,277,175,291,236,88,27,3,1274
LGA11150,5,9,3,5,7,13,5,0,0,33,3,0,10,4,16,9,5,7,0,62,40,92,218,182,207,241,89,21,0,1089
LGA11200,0,0,4,4,0,0,0,0,0,12,0,0,3,0,0,3,0,0,0,8,10,38,106,76,90,96,44,3,0,468
LGA11250,20,34,49,46,43,63,24,0,0,287,18,26,42,50,47,56,21,5,0,251,472,612,1592,1311,1369,1478,399,38,5,7275
LGA11300,5,58,122,82,97,81,23,8,0,474,19,188,406,191,165,115,23,4,6,1114,511,2877,5942,3489,3010,2227,585,81,6,18730
LGA11350,19,39,132,129,126,84,25,3,0,552,56,59,293,295,184,127,61,16,3,1097,813,999,3535,3676,3692,2916,1105,131,12,16884
LGA11400,22,27,38,41,46,44,12,0,0,240,17,15,31,46,51,50,36,6,3,255,395,456,876,1273,1482,1353,510,131,22,6500
LGA11450,140,235,601,496,399,246,68,4,0,2191,126,240,760,696,498,276,85,12,0,2706,3429,5210,15562,15321,11543,6707,1505,113,3,59385
LGA11500,91,245,539,507,389,373,119,8,4,2280,189,456,1018,1023,760,544,138,17,4,4147,3243,6743,17155,18293,13574,10768,2584,184,10,72551
LGA11520,35,75,304,287,309,255,92,7,0,1355,38,146,599,547,385,242,101,26,5,2077,1333,3638,11722,10993,9305,6574,2141,280,23,46010
LGA11570,179,441,1140,1120,1130,818,223,33,0,5082,226,818,2137,1903,1578,1113,308,33,5,8128,5139,13457,32575,30302,26892,19730,4588,410,16,133101
LGA11600,0,4,9,6,0,3,0,0,0,28,6,9,31,10,11,13,4,0,0,75,75,119,391,277,288,280,108,21,0,1572
