LGA_CODE_2021,Separate_house_NB0_i_sa_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Sd_r_or_t_h_t_1_s_NB0_i_sa_b,Sd_r_or_t_h_t_1_st_NofB_1,Sd_r_or_t_h_t_1_st_NofB_2,Sd_r_or_t_h_t_1_st_NofB_3,Sd_r_or_t_h_t_1_st_NofB_4,Sd_r_or_t_h_t_1_st_NofB_5,Sd_r_or_t_h_t_1_st_NofB_6_m,Sd_r_or_t_h_t_1_st_NofB_NS,Sd_r_or_t_h_t_1_st_Total,Sd_r_or_t_h_t_2m_s_NB0_i_sa_b,Sd_r_or_t_h_t_2m_sts_NofB_1,Sd_r_or_t_h_t_2m_sts_NofB_2m,Sd_r_or_t_h_t_2m_sts_NofB_3,Sd_r_or_t_h_t_2m_sts_NofB_4,Sd_r_or_t_h_t_2m_sts_NofB_5,Sd_r_or_t_h_t_2m_st_NofB_6_m,Sd_r_or_t_h_t_2m_sts_NofB_NS,Sd_r_or_t_h_t_2m_sts_Total,Sd_r_or_t_h_t_T_NB0_i_sa_b,Sd_r_or_t_h_t_Total_NofB_1,Sd_r_or_t_h_t_Total_NofB_2,Sd_r_or_t_h_t_Total_NofB_3,Sd_r_or_t_h_t_Total_NofB_4,Sd_r_or_t_h_t_Total_NofB_5,Sd_r_or_t_h_t_Tot_NofB_6_m,Sd_r_or_t_h_t_Tot_NofB_NS,Sd_r_or_t_h_t_Total_Total,Fl_a_1_or2_st_bl_NB0_i_sa_b,Fl_a_1_or2_st_bl_NofB_1,Fl_a_1_or2_st_bl_NofB_2,Fl_a_1_or2_st_bl_NofB_3,Fl_a_1_or2_st_bl_NofB_4,Fl_a_1_or2_st_bl_NofB_5,Fl_a_1_or2_st_bl_NofB_6_m,Fl_a_1_or2_st_bl_NofB_NS,Fl_a_1_or2_st_bl_Total,Fl_a_3_st_bl_NB0_i_sa_b,Fl_a_In_3_st_bl_NofB_1,Fl_a_In_3_st_bl_NofB_2,Fl_a_In_3_st_bl_NofB_3,Fl_a_In_3_st_bl_NofB_4,Fl_a_In_3_st_bl_NofB_5,Fl_a_In_3_s_bl_NofB_6_m,Fl_a_In_3_st_bl_NofB_NS,Fl_a_In_3_st_bl_Total,Fl_a_4_to_8_s_b_NB0_i_sa_b,Fl_a_4_to_8_s_b_NofB_1,Fl_a_4_to_8_s_b_NofB_2,Fl_a_4_to_8_s_b_NofB_3,Fl_a_4_to_8_s_b_NofB_4,Fl_a_4_to_8_s_b_NofB_5,Fl_a_4_to_8_s_b_NofB_6_m,Fl_a_4_to_8_s_b_NofB_NS,Fl_a_4_to_8_s_b_Total,Fl_a_9_or_m_s_b_NB0_i_sa_b,Fl_a_9_or_m_s_b_NofB_1,Fl_a_9_or_m_s_b_NofB_2,Fl_a_9_or_m_s_b_NofB_3,Fl_a_9_or_m_s_b_NofB_4,Fl_a_9_or_m_s_b_NofB_5,Fl_a_9_or_m_s_b_NofB_6_m,Fl_a_9_or_m_s_b_NofB_NS,Fl_a_9_or_m_s_b_Total,Fl_a_At_to_a_h_NB0_i_sa_b,Fl_a_At_to_a_hse_NofB_1,Fl_a_At_to_a_hse_NofB_2,Fl_a_At_to_a_hse_NofB_3,Fl_a_At_to_a_hse_NofB_4,Fl_a_At_to_a_hse_NofB_5,Fl_a_At_to_a_hse_NofB_6_m,Fl_a_At_to_a_hse_NofB_NS,Fl_a_At_to_a_hse_Total,Fl_a_Total_NB0_i_sa_b,Fl_a_Total_NofB_1,Fl_a_Total_NofB_2,Fl_a_Total_NofB_3,Fl_a_Total_NofB_4,Fl_a_Total_NofB_5,Fl_a_Tot_NofB_6_or_m,Fl_a_Total_NofB_NS,Fl_a_Total_Total,Other_dwelling_NB0_i_sa_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dw_struct_NS_NB0_i_sa_b,Dw_struct_NS_NofB_1,Dw_struct_NS_NofB_2,Dw_struct_NS_NofB_3,Dw_struct_NS_NofB_4,Dw_struct_NS_NofB_5,Dw_struct_NS_NofB_6_or_m,Dw_struct_NS_NofB_NS,Dw_struct_NS_Total,Total_NB0_i_sa_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
LGA10050,29,137,1913,8428,6264,877,159,847,18642,10,419,2418,529,37,4,6,322,3741,0,126,181,103,19,3,0,66,491,14,549,2598,629,54,8,6,386,4233,0,87,102,21,0,0,0,19,241,4,8,64,0,0,0,0,11,84,0,0,25,4,0,0,0,6,35,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,96,186,27,4,0,0,40,357,18,22,24,17,5,0,0,41,132,0,5,3,13,7,0,0,18,49,56,803,4728,9109,6332,888,164,1327,23414
LGA10180,28,155,950,4083,2859,699,177,599,9561,6,139,581,185,14,5,0,97,1033,0,33,78,43,10,0,0,16,177,6,171,662,224,21,3,0,116,1215,8,130,215,47,5,0,3,63,477,0,7,34,5,0,0,0,4,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,9,8,139,255,56,5,5,3,70,542,10,24,17,6,4,0,0,52,116,0,6,6,7,8,0,0,11,38,50,506,1892,4386,2898,708,181,850,11467
LGA10250,43,214,1416,5584,4680,949,204,571,13671,3,114,1031,967,101,10,3,155,2381,3,117,580,727,90,9,7,114,1645,8,232,1611,1691,192,19,4,268,4023,4,76,375,148,12,3,0,53,679,0,4,103,49,0,0,0,11,160,0,10,25,39,0,0,0,16,88,0,0,12,3,0,0,0,0,19,3,21,7,4,3,0,0,3,48,3,115,526,249,14,6,3,79,992,31,146,188,57,7,0,0,218,646,4,29,10,8,8,0,0,13,77,94,736,3756,7595,4893,977,220,1146,19412
LGA10300,0,16,73,330,202,28,9,132,793,0,10,12,0,0,0,0,5,34,0,0,0,0,0,0,0,0,0,0,10,12,0,0,0,0,5,34,0,0,10,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,0,14,3,3,0,0,3,0,0,4,23,3,3,5,6,9,5,0,4,30,6,35,107,334,216,32,8,143,891
LGA10470,36,147,1024,5286,5523,1194,287,642,14145,6,145,663,382,56,5,3,100,1353,6,94,101,127,39,0,0,52,419,4,241,767,504,90,9,6,150,1769,20,149,425,72,10,0,4,70,742,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,4,21,20,154,429,75,9,0,4,70,771,7,16,13,9,0,4,0,38,83,7,10,5,10,8,0,10,4,51,78,566,2234,5886,5634,1203,304,908,16818
LGA10500,51,220,2469,10142,6380,2284,609,908,23075,23,184,1980,2075,221,34,10,218,4737,10,189,515,1895,684,83,13,180,3565,29,371,2498,3964,902,120,18,396,8302,87,598,1914,368,47,16,11,255,3289,55,618,4723,1006,27,0,4,501,6937,58,2286,9144,1698,63,3,6,1008,14260,42,2434,6353,1735,74,3,6,720,11365,4,52,97,60,24,12,7,17,269,249,5989,22229,4863,231,32,32,2507,36123,7,123,200,92,21,8,4,86,540,8,29,65,21,17,0,3,40,184,344,6734,27465,19080,7550,2438,665,3940,68218
LGA10550,114,451,1784,5853,3415,636,162,749,13167,7,88,441,202,18,0,0,69,828,0,31,240,210,27,0,0,31,547,7,125,683,411,43,3,0,104,1371,11,79,423,132,8,0,0,63,718,0,3,25,11,0,0,0,3,42,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,3,0,3,3,0,0,17,11,88,457,144,8,0,0,65,784,63,127,117,30,7,0,5,76,428,7,19,16,21,11,0,0,10,82,204,803,3058,6462,3495,650,170,998,15841
LGA10600,41,213,770,2214,1220,235,69,334,5087,0,23,70,35,5,3,0,19,162,0,0,24,19,0,0,0,3,56,4,23,96,47,12,3,4,19,213,0,22,119,11,0,0,0,25,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,4,0,0,0,11,0,28,119,14,5,3,0,25,192,54,78,23,15,7,0,0,34,212,5,10,4,8,0,0,0,0,29,100,360,1012,2301,1241,238,76,414,5738
LGA10650,16,59,362,1554,866,123,27,317,3318,0,32,167,39,0,0,0,17,258,0,0,0,0,0,0,0,0,0,0,32,167,39,0,0,0,17,258,3,0,10,10,3,0,0,3,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,10,10,3,0,0,3,38,6,8,7,4,4,0,0,32,65,0,6,9,8,3,0,0,18,40,20,105,564,1620,882,126,27,381,3716
LGA10750,146,858,5472,38653,40370,9985,1853,5485,102829,27,286,1067,2125,544,68,15,367,4506,28,432,1400,5742,2335,193,36,798,10956,65,720,2464,7866,2880,254,51,1162,15456,126,535,212,184,24,0,0,208,1285,0,55,375,48,0,0,0,74,551,36,497,4378,637,16,3,0,496,6065,0,16,144,45,3,0,0,26,244,10,48,343,160,69,32,16,77,758,168,1147,5461,1074,118,34,21,873,8898,0,10,30,30,18,6,0,14,110,8,28,50,46,62,16,0,27,234,379,2761,13477,47674,43450,10296,1922,7566,127529
LGA10800,8,46,215,916,648,129,32,191,2181,0,20,41,23,5,0,0,4,97,0,0,0,0,0,0,0,0,0,0,20,41,23,5,0,0,4,97,0,20,16,0,6,0,0,11,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,19,20,0,6,0,0,11,51,12,13,12,7,5,0,0,27,69,0,7,3,10,9,5,0,30,52,27,99,290,956,664,132,38,256,2455
LGA10850,12,68,286,1120,866,211,59,190,2816,0,22,31,18,3,0,0,4,77,0,0,3,0,0,0,0,0,8,0,26,35,15,8,0,0,4,91,0,12,17,0,0,0,0,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,17,0,0,0,0,3,27,0,10,7,3,0,0,0,0,19,0,3,0,7,4,0,0,0,11,14,113,338,1148,875,214,64,204,2967
LGA10900,59,454,3310,12263,9150,2472,503,805,29025,13,144,271,317,38,0,0,44,827,4,32,212,270,24,5,5,33,584,17,174,487,585,60,9,3,77,1414,18,226,261,60,7,4,0,43,620,4,52,114,22,0,0,4,21,219,0,19,14,0,0,0,0,3,32,0,0,0,0,0,0,0,0,0,0,33,50,27,18,9,0,3,143,18,327,441,110,26,9,3,76,1013,0,10,25,11,5,0,0,11,58,8,12,7,8,4,0,5,23,69,109,981,4264,12972,9241,2497,517,990,31576
LGA10950,4,26,129,368,268,51,13,80,931,0,17,30,5,0,0,0,3,49,0,0,0,0,0,0,0,0,4,0,17,30,8,0,0,0,7,60,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,11,4,0,0,0,0,0,21,0,9,5,3,4,0,3,5,25,4,52,172,380,267,50,18,93,1039
LGA11150,4,37,102,305,203,51,14,151,872,0,4,7,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,4,8,0,10,3,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,17,10,17,0,0,0,0,0,9,46,3,0,4,4,6,0,0,22,45,16,72,119,311,212,51,18,186,983
LGA11200,5,21,61,182,123,13,7,105,520,0,5,23,3,0,0,0,14,44,0,0,0,0,0,0,0,0,0,0,5,23,3,0,0,0,14,44,3,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,13,16,0,11,3,6,4,0,3,12,25,9,39,89,189,122,14,7,142,613
LGA11250,20,144,1317,3984,1216,207,43,537,7470,0,57,79,17,5,0,0,25,187,0,3,14,12,0,0,0,4,23,0,59,84,31,5,0,0,28,206,0,95,84,4,0,0,0,44,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,84,4,0,0,0,44,226,15,41,8,0,0,0,0,9,80,4,4,3,9,0,0,3,9,40,47,346,1500,4026,1231,212,44,624,8021
LGA11300,22,71,428,2022,1481,593,226,197,5033,0,40,318,255,75,10,0,25,733,12,70,218,517,368,164,87,52,1487,12,115,539,774,442,171,88,80,2213,56,154,405,93,11,8,4,69,789,32,211,1302,286,5,0,0,129,1970,59,410,1217,262,9,3,0,146,2105,35,531,1467,247,18,0,0,153,2456,0,7,23,3,13,0,3,4,55,184,1316,4405,894,55,12,8,495,7370,23,36,13,14,7,0,0,10,104,14,25,15,12,4,0,0,22,91,251,1566,5394,3717,1983,778,327,799,14817
LGA11350,129,641,1344,4475,2920,654,201,1104,11468,0,37,217,238,25,7,0,57,593,5,68,236,499,60,13,0,90,959,3,105,457,738,85,16,0,142,1545,15,183,228,131,26,0,0,75,655,0,17,54,21,4,0,0,8,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,59,32,15,17,4,0,9,149,30,260,306,171,43,9,4,92,911,95,196,117,28,8,6,0,106,557,11,31,16,12,0,5,3,13,90,274,1229,2243,5425,3064,683,212,1460,14568
LGA11400,16,107,553,1771,1571,452,122,350,4949,0,3,39,12,5,0,0,8,70,0,0,3,0,0,0,0,5,10,0,3,41,12,9,3,0,9,78,0,13,33,3,0,0,0,10,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,33,4,0,0,0,10,63,10,22,22,53,61,23,4,24,216,0,3,0,9,0,0,0,0,8,32,151,644,1843,1642,478,129,397,5320
LGA11450,34,410,826,6924,21289,3942,734,1102,35264,6,119,309,286,131,10,3,56,937,4,159,244,409,404,62,3,71,1362,13,284,556,697,537,72,4,128,2293,0,40,135,19,12,0,0,14,223,0,0,0,0,0,0,0,0,0,0,7,17,11,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,34,20,7,29,13,6,9,120,0,81,174,36,38,15,6,20,379,10,42,87,11,0,0,0,22,181,0,11,14,17,7,3,0,6,66,64,831,1659,7680,21886,4033,747,1287,38185
LGA11500,63,330,1918,20767,16455,3993,958,2288,46767,18,99,1673,1884,161,9,14,298,4152,22,313,1594,2178,539,58,13,530,5240,40,415,3262,4063,699,71,19,823,9393,34,157,649,156,7,3,0,107,1119,0,17,304,165,0,0,0,42,527,4,136,1115,306,0,0,0,100,1664,0,28,122,31,0,0,0,7,187,0,62,210,63,32,12,10,34,432,42,397,2396,720,44,23,12,287,3927,0,6,7,3,0,0,0,0,15,0,10,24,10,6,4,0,22,76,147,1155,7608,25566,17203,4081,989,3424,60175
LGA11520,28,94,1241,5369,4156,1513,313,338,13052,0,67,462,411,107,17,5,31,1110,4,75,565,1261,271,21,10,107,2316,3,144,1030,1676,383,39,17,136,3425,58,434,1945,776,63,9,0,189,3471,4,186,2295,820,39,6,0,133,3479,8,1356,3678,1767,69,3,0,311,7196,13,996,2578,727,9,3,0,198,4530,0,10,28,18,18,0,3,12,101,85,2991,10526,4099,206,22,9,842,18777,3,74,188,94,9,0,0,27,402,0,14,15,15,0,0,0,13,56,119,3314,13006,11254,4758,1572,331,1357,35718
LGA11570,125,652,7141,28485,19058,6462,1713,3772,67401,71,361,1227,1932,515,105,15,351,4579,27,778,2355,5687,4511,528,56,806,14746,100,1144,3581,7622,5026,632,65,1165,19325,260,1951,8481,1023,162,35,15,1366,13296,98,745,8136,1219,49,6,11,970,11228,55,1247,5232,843,35,7,0,848,8268,3,488,1641,261,3,0,0,248,2642,15,98,415,214,120,65,23,84,1026,430,4530,23896,3556,366,112,48,3521,36457,9,68,299,138,33,11,0,83,653,12,46,87,50,26,7,3,66,297,675,6437,35014,39854,24513,7227,1828,8597,124137
LGA11600,7,28,107,420,283,64,12,123,1046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,0,0,0,0,10,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,0,0,0,0,10,27,16,12,9,3,0,0,0,14,54,0,0,9,4,0,0,3,0,21,24,45,141,425,281,61,12,149,1155
LGA11650,272,1828,12349,40734,36443,9121,2069,4664,107480,64,652,4615,3906,189,31,17,765,10223,19,472,1689,3469,377,37,13,448,6522,79,1124,6297,7370,567,69,29,1215,16745,84,982,3095,1975,212,31,14,645,7028,23,117,966,401,22,0,0,100,1638,38,271,1717,432,21,4,3,195,2682,0,73,369,157,6,0,0,37,641,12,73,203,84,37,20,5,24,444,154,1506,6353,3046,295,48,25,1000,12438,76,297,439,143,24,11,0,212,1200,33,73,69,51,27,5,8,43,313,612,4828,25513,51354,37356,9253,2136,7129,138174
LGA11700,5,41,97,205,105,25,20,139,630,0,5,9,4,3,0,0,5,33,0,0,0,0,0,0,0,0,0,0,5,9,4,3,0,0,5,30,0,5,0,3,0,0,0,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,9,13,16,21,0,0,0,0,0,11,45,9,23,23,19,10,6,5,11,102,33,93,125,233,121,33,22,168,822
LGA11720,56,314,2516,9267,6865,1102,273,925,21311,0,142,725,538,39,0,0,141,1584,0,79,114,61,12,0,0,17,282,0,222,840,597,41,0,0,158,1861,3,100,108,23,3,0,0,29,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,25,9,6,0,0,4,58,3,109,134,31,15,0,0,40,335,10,31,14,9,0,0,0,21,87,0,4,20,11,15,0,0,6,60,70,687,3529,9906,6936,1108,277,1143,23659
LGA11730,129,459,2454,8714,5066,951,218,1149,19147,5,134,432,246,18,7,0,97,937,0,33,229,221,29,7,0,44,562,11,168,656,473,48,7,0,135,1506,10,142,428,173,15,5,4,84,857,0,6,73,32,0,0,0,14,129,0,5,16,6,0,0,0,7,36,0,0,0,0,0,0,0,0,0,0,21,11,9,5,0,0,8,47,10,171,532,218,25,7,4,109,1070,165,347,154,109,55,13,0,153,998,16,51,25,13,4,6,0,14,137,325,1198,3816,9532,5202,983,229,1561,22849
LGA11750,6,30,107,617,459,61,18,234,1524,0,24,29,4,0,0,0,11,61,0,0,3,0,0,0,0,0,3,0,24,29,4,0,0,0,11,67,6,19,43,17,0,0,0,20,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,19,43,17,0,0,0,20,105,8,23,5,3,4,0,0,17,60,0,4,0,8,0,0,0,5,15,22,98,180,646,461,65,21,287,1779
LGA11800,94,468,2113,9788,7919,1692,423,1118,23607,3,129,1141,667,60,10,3,173,2183,5,82,466,794,126,18,8,108,1599,6,210,1609,1457,186,26,10,281,3783,23,312,1365,482,32,6,0,237,2456,3,63,264,57,5,0,0,31,428,0,54,133,73,10,0,0,21,289,5,0,75,36,0,0,0,0,117,3,29,26,8,3,7,0,3,80,41,468,1862,658,42,6,3,291,3379,139,299,191,89,24,5,3,167,926,21,41,42,33,13,0,0,19,176,296,1485,5813,12028,8189,1732,440,1874,31859
LGA12000,8,44,198,672,513,121,21,104,1689,0,4,11,0,6,0,0,5,24,0,0,0,0,0,0,0,0,0,0,4,11,0,6,0,0,5,24,0,4,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,5,0,0,0,0,0,13,3,5,0,0,0,0,0,0,12,0,0,4,0,0,0,0,0,6,11,58,215,686,520,129,21,110,1748
LGA12150,11,31,190,538,357,70,25,213,1429,0,4,14,6,0,0,0,4,26,0,0,0,0,0,0,0,0,0,0,4,14,6,0,0,0,4,28,0,19,25,0,0,0,0,6,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,25,0,0,0,0,6,57,0,3,0,0,0,0,0,25,29,0,0,3,3,3,0,0,0,15,10,58,231,550,357,68,25,252,1560
LGA12160,22,62,504,2005,1263,228,52,327,4460,0,28,141,23,0,0,0,14,215,0,5,9,4,4,0,0,0,22,0,33,145,28,0,0,0,22,238,4,11,52,9,0,0,4,11,86,0,4,10,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,63,9,6,0,4,8,100,7,11,11,8,4,0,3,27,62,0,3,4,0,3,0,4,6,14,33,116,724,2052,1278,230,62,384,4876
LGA12350,25,110,625,2230,1334,264,74,378,5028,0,29,180,30,7,0,0,21,271,0,4,23,9,0,0,0,0,29,0,33,199,38,7,0,0,21,308,7,21,38,6,0,0,0,21,97,0,3,8,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,29,42,9,0,0,0,21,109,9,21,7,3,0,0,0,18,52,0,5,0,5,3,0,0,0,19,34,184,882,2279,1350,268,68,439,5509
LGA12380,100,566,3921,15951,11139,3860,1099,2981,39614,43,355,1252,1032,173,23,5,295,3177,15,459,1301,3876,1728,298,43,622,8329,55,813,2549,4909,1894,321,46,912,11504,114,761,3293,432,71,9,7,479,5167,31,354,5410,1048,32,0,4,696,7565,73,866,5910,1231,64,4,0,805,8962,22,317,1477,493,31,0,0,221,2561,7,73,264,205,90,45,17,72,771,239,2368,16347,3413,290,58,33,2273,25021,0,24,67,58,20,8,4,29,208,5,46,108,30,26,3,0,61,276,398,3817,22990,24354,13370,4254,1185,6254,76629
LGA12390,49,192,1245,6824,6701,1142,245,1363,17750,3,99,939,293,64,8,0,199,1598,0,7,37,20,0,4,0,14,79,3,100,975,312,66,12,4,206,1681,18,295,713,82,14,0,4,175,1302,0,8,11,0,0,0,0,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,3,3,0,0,4,27,18,311,728,87,22,0,4,181,1344,18,41,39,19,10,3,0,47,178,8,26,8,13,19,0,3,44,117,94,672,2993,7250,6811,1156,250,1838,21070
LGA12700,19,103,467,1488,1079,236,87,172,3654,0,10,27,9,9,0,0,3,54,0,0,0,0,0,0,0,0,0,0,10,27,9,9,0,0,3,54,0,7,3,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4,0,0,0,0,8,4,18,6,5,4,0,4,7,47,0,6,4,5,0,0,0,0,21,32,134,510,1503,1092,238,89,188,3788
LGA12730,4,45,337,1521,877,161,32,283,3269,0,42,211,13,3,0,0,59,323,0,0,4,3,0,0,0,0,8,0,42,214,20,3,0,0,58,335,0,6,6,6,0,0,0,6,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,4,22,0,6,5,9,0,0,0,18,36,0,5,6,6,5,0,0,20,43,9,101,574,1548,886,165,35,389,3707
LGA12750,66,327,1909,6458,4294,877,197,968,15101,5,43,383,345,11,4,0,87,880,6,67,210,252,38,3,3,62,638,6,113,594,595,49,13,4,144,1513,3,99,503,237,22,8,0,82,966,0,3,35,15,0,0,0,0,58,0,0,23,10,0,0,0,4,37,0,0,0,0,0,0,0,0,0,0,8,6,12,0,0,0,4,29,9,116,569,276,23,8,0,89,1093,41,128,177,35,14,0,3,109,515,4,16,27,9,6,3,0,8,78,133,700,3280,7375,4396,898,205,1324,18305
LGA12850,59,505,3554,18525,14848,4632,1325,2502,45944,16,169,408,833,67,19,4,155,1676,17,292,1130,3525,886,124,12,347,6325,30,459,1537,4353,949,138,22,505,8000,40,801,1270,503,49,17,11,286,2967,20,284,2187,261,9,0,0,255,3016,7,220,1634,133,0,0,3,213,2213,18,101,328,103,0,0,0,53,604,3,81,405,205,89,53,11,84,933,81,1479,5828,1198,153,69,27,887,9725,8,65,54,22,11,4,3,62,224,8,32,82,31,22,8,0,41,217,190,2538,11056,24138,15987,4856,1376,3991,64125
LGA12870,10,57,561,2358,1352,205,34,341,4929,0,48,386,97,4,0,0,46,582,0,0,0,0,0,0,0,0,0,0,48,386,97,5,0,0,46,586,0,4,21,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21,0,4,0,0,0,30,6,29,18,7,0,0,0,8,70,0,3,3,8,5,0,0,3,23,21,138,987,2472,1368,212,39,399,5626
LGA12900,8,36,400,1520,983,200,31,281,3456,0,10,96,25,14,0,0,25,166,0,0,7,0,0,0,0,0,9,3,7,100,21,12,0,0,25,181,0,30,111,6,0,0,3,40,190,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,30,115,6,0,0,3,43,198,3,25,10,9,4,4,0,18,69,3,0,0,5,0,0,0,7,17,20,106,617,1559,1001,207,33,366,3915
LGA12930,36,231,2280,10322,8937,4066,994,834,27702,48,147,621,1235,96,15,6,127,2294,4,164,592,1740,1006,239,23,155,3922,48,308,1213,2979,1103,256,31,281,6211,42,430,1130,256,24,12,3,186,2076,19,317,4090,1133,65,0,0,275,5899,52,798,5390,1602,86,11,0,516,8451,10,679,1749,578,27,0,0,161,3211,3,44,128,57,26,25,8,12,307,121,2270,12486,3622,229,48,14,1150,19944,9,76,154,59,7,9,0,43,352,8,28,27,11,0,3,0,9,98,222,2915,16157,16991,10280,4379,1047,2321,54316
LGA12950,11,39,199,640,462,95,14,169,1627,0,4,28,3,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,4,28,3,0,0,0,0,42,0,19,36,0,0,0,0,13,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,36,0,0,0,0,13,63,5,0,0,5,3,0,0,40,60,0,0,0,0,0,0,0,10,11,17,67,270,651,468,96,14,231,1802
LGA13010,28,107,508,1661,854,124,44,331,3664,0,44,78,21,0,0,0,22,174,0,0,3,0,0,0,0,8,13,0,41,86,21,4,0,0,34,189,0,42,39,0,0,0,0,7,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,39,0,0,0,0,7,85,12,19,10,8,3,3,0,17,63,0,3,4,0,0,0,0,5,15,37,213,640,1695,863,131,49,386,4015
