LGA_CODE_2021,Separate_house_NB0_i_sa_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Sd_r_or_t_h_t_1_s_NB0_i_sa_b,Sd_r_or_t_h_t_1_st_NofB_1,Sd_r_or_t_h_t_1_st_NofB_2,Sd_r_or_t_h_t_1_st_NofB_3,Sd_r_or_t_h_t_1_st_NofB_4,Sd_r_or_t_h_t_1_st_NofB_5,Sd_r_or_t_h_t_1_st_NofB_6_m,Sd_r_or_t_h_t_1_st_NofB_NS,Sd_r_or_t_h_t_1_st_Total,Sd_r_or_t_h_t_2m_s_NB0_i_sa_b,Sd_r_or_t_h_t_2m_sts_NofB_1,Sd_r_or_t_h_t_2m_sts_NofB_2m,Sd_r_or_t_h_t_2m_sts_NofB_3,Sd_r_or_t_h_t_2m_sts_NofB_4,Sd_r_or_t_h_t_2m_sts_NofB_5,Sd_r_or_t_h_t_2m_st_NofB_6_m,Sd_r_or_t_h_t_2m_sts_NofB_NS,Sd_r_or_t_h_t_2m_sts_Total,Sd_r_or_t_h_t_T_NB0_i_sa_b,Sd_r_or_t_h_t_Total_NofB_1,Sd_r_or_t_h_t_Total_NofB_2,Sd_r_or_t_h_t_Total_NofB_3,Sd_r_or_t_h_t_Total_NofB_4,Sd_r_or_t_h_t_Total_NofB_5,Sd_r_or_t_h_t_Tot_NofB_6_m,Sd_r_or_t_h_t_Tot_NofB_NS,Sd_r_or_t_h_t_Total_Total,Fl_a_1_or2_st_bl_NB0_i_sa_b,Fl_a_1_or2_st_bl_NofB_1,Fl_a_1_or2_st_bl_NofB_2,Fl_a_1_or2_st_bl_NofB_3,Fl_a_1_or2_st_bl_NofB_4,Fl_a_1_or2_st_bl_NofB_5,Fl_a_1_or2_st_bl_NofB_6_m,Fl_a_1_or2_st_bl_NofB_NS,Fl_a_1_or2_st_bl_Total,Fl_a_3_st_bl_NB0_i_sa_b,Fl_a_In_3_st_bl_NofB_1,Fl_a_In_3_st_bl_NofB_2,Fl_a_In_3_st_bl_NofB_3,Fl_a_In_3_st_bl_NofB_4,Fl_a_In_3_st_bl_NofB_5,Fl_a_In_3_s_bl_NofB_6_m,Fl_a_In_3_st_bl_NofB_NS,Fl_a_In_3_st_bl_Total,Fl_a_4_to_8_s_b_NB0_i_sa_b,Fl_a_4_to_8_s_b_NofB_1,Fl_a_4_to_8_s_b_NofB_2,Fl_a_4_to_8_s_b_NofB_3,Fl_a_4_to_8_s_b_NofB_4,Fl_a_4_to_8_s_b_NofB_5,Fl_a_4_to_8_s_b_NofB_6_m,Fl_a_4_to_8_s_b_NofB_NS,Fl_a_4_to_8_s_b_Total,Fl_a_9_or_m_s_b_NB0_i_sa_b,Fl_a_9_or_m_s_b_NofB_1,Fl_a_9_or_m_s_b_NofB_2,Fl_a_9_or_m_s_b_NofB_3,Fl_a_9_or_m_s_b_NofB_4,Fl_a_9_or_m_s_b_NofB_5,Fl_a_9_or_m_s_b_NofB_6_m,Fl_a_9_or_m_s_b_NofB_NS,Fl_a_9_or_m_s_b_Total,Fl_a_At_to_a_h_NB0_i_sa_b,Fl_a_At_to_a_hse_NofB_1,Fl_a_At_to_a_hse_NofB_2,Fl_a_At_to_a_hse_NofB_3,Fl_a_At_to_a_hse_NofB_4,Fl_a_At_to_a_hse_NofB_5,Fl_a_At_to_a_hse_NofB_6_m,Fl_a_At_to_a_hse_NofB_NS,Fl_a_At_to_a_hse_Total,Fl_a_Total_NB0_i_sa_b,Fl_a_Total_NofB_1,Fl_a_Total_NofB_2,Fl_a_Total_NofB_3,Fl_a_Total_NofB_4,Fl_a_Total_NofB_5,Fl_a_Tot_NofB_6_or_m,Fl_a_Total_NofB_NS,Fl_a_Total_Total,Other_dwelling_NB0_i_sa_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dw_struct_NS_NB0_i_sa_b,Dw_struct_NS_NofB_1,Dw_struct_NS_NofB_2,Dw_struct_NS_NofB_3,Dw_struct_NS_NofB_4,Dw_struct_NS_NofB_5,Dw_struct_NS_NofB_6_or_m,Dw_struct_NS_NofB_NS,Dw_struct_NS_Total,Total_NB0_i_sa_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
LGA31000,439,2347,17711,110468,113806,37546,7722,7749,297791,80,1122,3844,3100,244,23,15,587,9017,106,2041,9542,28629,3110,190,68,2217,45894,184,3163,13384,31728,3360,207,81,2805,54918,585,7792,13367,4266,552,98,83,1900,28643,385,4146,23338,4408,229,33,44,1704,34293,462,6128,16783,4770,252,30,13,1947,30380,398,9937,15535,3841,261,17,9,2003,32006,20,234,414,114,55,44,21,148,1045,1855,28238,69447,17400,1342,219,176,7703,126365,171,594,358,99,36,13,5,535,1816,87,301,279,198,91,22,23,188,1192,2736,34646,101168,159898,118623,38008,8013,18981,482077
LGA31750,0,3,24,40,19,3,3,8,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,10,27,3,3,0,0,0,0,44,6,14,4,4,0,0,7,4,36,16,44,38,48,24,10,7,13,190
LGA31820,207,628,3704,16174,9960,1563,385,1814,34434,20,252,1371,458,25,5,0,183,2310,9,144,153,157,3,3,3,79,551,22,390,1525,617,29,9,6,263,2861,16,414,1247,392,32,3,3,200,2302,0,0,23,21,0,0,0,5,48,0,4,77,76,0,0,0,18,173,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,20,421,1342,487,35,5,3,215,2532,378,700,138,90,50,7,0,289,1646,68,73,23,28,10,0,0,106,307,689,2210,6739,17393,10087,1578,393,2688,41783
LGA31900,26,159,784,3109,1393,164,22,443,6102,9,54,355,35,0,0,0,78,530,0,12,50,11,0,0,0,22,98,12,67,404,49,4,0,0,96,632,0,14,18,3,0,0,0,7,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,18,3,0,0,0,7,45,57,87,3,17,0,0,0,94,267,26,34,4,14,12,0,0,21,115,123,363,1222,3188,1411,168,26,658,7155
LGA31950,0,11,24,44,3,4,0,32,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,66,90,7,13,20,0,4,105,307,11,11,0,3,0,0,0,3,35,79,109,34,58,28,3,7,145,461
LGA32080,113,468,2708,19073,17735,3045,707,2555,46405,28,434,1959,544,52,0,0,383,3405,40,411,2026,394,35,12,12,333,3254,67,853,3981,934,87,11,12,721,6661,153,1049,3155,517,34,14,9,776,5711,31,588,1966,665,16,0,5,432,3705,14,97,548,238,3,0,0,148,1055,4,66,207,155,8,0,4,67,516,0,3,3,10,6,0,0,13,35,201,1808,5882,1591,68,13,16,1443,11027,337,451,89,77,21,9,7,304,1287,40,128,186,51,22,5,12,94,538,760,3711,12853,21723,17928,3081,758,5107,65917
LGA32250,16,55,127,260,58,19,14,57,603,0,4,7,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,4,7,0,3,0,0,0,10,3,16,31,3,6,0,0,11,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,31,0,6,0,0,11,72,191,275,20,27,18,0,0,70,602,24,34,4,4,0,5,4,14,79,226,380,193,298,84,19,16,153,1365
LGA32260,76,388,1448,4982,2131,369,79,952,10431,7,49,377,75,10,4,0,60,578,0,21,139,40,4,0,0,25,241,3,75,512,118,12,4,0,88,822,5,90,275,61,14,0,3,109,554,3,0,25,0,3,0,0,0,37,0,0,7,13,3,0,0,3,26,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,8,6,95,306,77,13,3,0,123,626,302,387,49,51,29,5,4,140,962,58,73,20,23,8,0,4,50,231,443,1026,2336,5248,2197,376,89,1340,13061
LGA32270,85,357,520,3266,3168,557,181,848,8981,0,29,164,161,23,3,0,50,431,3,11,102,100,14,3,0,40,277,3,45,266,261,37,8,0,82,698,7,76,282,160,7,0,3,60,597,0,0,4,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,76,286,160,7,0,3,68,611,173,234,25,31,16,3,3,142,634,56,118,15,33,22,6,10,28,279,322,830,1124,3739,3253,572,196,1169,11209
LGA32310,33,129,605,1627,945,191,76,523,4133,0,27,126,92,40,10,0,70,359,0,0,46,12,5,4,6,11,74,0,31,168,105,40,7,6,80,434,0,5,9,0,0,0,0,8,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,9,21,113,188,14,28,15,0,3,92,455,23,42,8,8,4,6,3,10,97,174,393,802,1768,1006,209,84,707,5141
LGA32330,0,8,38,99,102,29,3,6,279,0,0,3,0,0,0,0,0,7,0,0,3,0,0,0,0,0,3,0,0,5,0,0,0,0,0,7,0,7,18,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,58,100,105,30,3,12,320
