LGA_CODE_2021,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_vis,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_vis,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_vis,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_vis,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Tot_OS_vis,P_Total_Tot
LGA44000,4,3,3,0,5,7,0,22,0,0,0,0,4,4,0,10,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,25,14,6,0,12,30,0,85
LGA44060,2067,3924,1684,922,2190,298,28,11116,1301,2787,1783,1076,2477,256,43,9708,625,1153,801,591,1808,232,18,5217,312,383,208,145,1484,175,0,2702,17035,23782,9894,6087,18851,2590,152,78399
LGA44210,284,499,313,193,317,144,0,1739,174,381,319,281,443,198,0,1795,79,132,111,118,292,90,0,817,22,33,16,12,102,22,0,211,1287,1946,1202,931,1751,917,5,8043
LGA44340,1433,3426,1481,661,1022,196,12,8228,887,2350,1641,914,1196,185,13,7180,573,1138,891,591,1290,201,11,4697,284,374,202,130,1111,162,0,2266,12500,18269,8540,4534,10167,1549,92,55648
LGA44550,815,1794,794,412,641,164,3,4620,491,1146,829,621,724,155,6,3970,223,445,346,305,579,103,3,2009,76,102,55,55,399,49,0,739,6763,10067,4541,3032,5202,1236,30,30877
LGA44620,626,1099,507,283,690,134,8,3347,321,739,538,369,796,158,3,2923,193,326,256,227,628,167,0,1797,75,101,66,51,373,125,0,796,4318,6138,2749,1954,5282,1340,26,21803
LGA44830,103,178,115,75,112,60,0,647,65,139,85,97,137,76,0,597,28,40,34,43,92,49,0,289,6,10,7,3,47,14,0,87,426,711,373,333,529,325,0,2697
LGA45040,475,918,443,240,667,190,4,2940,289,543,446,380,685,162,5,2505,170,309,228,216,577,135,4,1636,78,76,48,44,305,62,0,620,3204,4471,2279,1671,4498,1621,21,17766
LGA45090,212,359,180,101,204,89,0,1151,133,213,173,127,219,77,0,947,62,112,59,76,187,64,0,564,22,27,17,14,100,33,0,210,1385,1943,915,663,1514,534,24,6984
LGA45120,119,238,113,83,133,35,0,721,94,162,148,107,128,35,0,671,44,69,39,63,126,48,0,390,14,19,13,12,62,13,0,135,698,1044,534,477,696,231,5,3689
LGA45290,838,1694,743,322,739,124,18,4482,550,1219,738,378,830,119,13,3833,357,669,423,252,769,114,7,2585,165,225,109,71,674,102,0,1353,7294,9945,4041,2166,7257,1155,76,31933
LGA45340,3964,7947,3435,1791,3928,708,21,21802,2344,5416,3828,2618,4757,718,30,19721,1165,2237,1666,1347,3457,611,13,10498,412,542,281,230,1949,439,6,3861,29888,42730,19269,12755,30878,5829,143,141485
LGA45400,30,51,19,22,21,13,0,153,24,40,16,22,41,23,0,161,4,15,16,11,25,8,0,68,3,6,0,5,23,10,0,52,131,217,89,95,161,75,4,762
LGA45540,50,86,46,24,85,35,0,322,34,78,40,41,108,29,0,326,16,27,14,28,61,22,0,167,6,0,3,5,22,12,0,45,192,327,169,155,434,207,0,1484
LGA45680,1725,3053,1420,1001,3074,546,11,10830,788,1602,1011,812,2452,473,12,7154,375,630,456,394,1692,388,7,3942,147,173,91,86,832,270,0,1598,14384,18785,8190,6819,22829,5063,70,76140
LGA45890,2582,4820,1957,1190,3959,643,51,15209,1445,2886,1804,1193,3669,481,61,11536,719,1203,801,594,2470,342,19,6139,335,380,211,141,1714,193,0,2970,21495,29001,11918,8191,32798,5746,220,109363
LGA46090,283,546,258,152,518,209,4,1967,150,325,228,180,477,155,6,1522,78,129,101,81,352,87,3,838,36,37,26,12,128,24,0,263,1832,2722,1257,942,3300,1685,36,11768
LGA46300,278,629,295,154,408,120,0,1884,176,410,287,211,424,98,0,1605,112,158,138,123,344,78,0,959,37,59,29,27,219,44,0,429,2135,3274,1532,1043,2867,815,11,11676
LGA46450,358,689,365,268,591,143,0,2413,194,451,349,316,634,134,0,2085,108,199,182,197,554,117,0,1348,49,79,39,34,266,44,0,513,2277,3601,1831,1539,3991,1021,0,14262
LGA46510,459,1085,444,206,448,64,4,2712,277,596,395,188,383,62,3,1907,124,195,151,97,251,42,0,864,67,86,30,19,236,33,0,472,4082,5772,2427,1238,4029,617,38,18204
LGA46670,246,435,214,108,317,105,3,1430,151,291,242,176,368,82,0,1311,76,122,94,77,246,62,0,674,39,27,26,8,137,25,0,274,1546,2153,1115,726,2189,637,466,8825
LGA46860,46,106,58,24,41,19,0,298,39,82,59,47,60,14,4,294,17,28,30,25,41,11,0,159,0,4,7,4,9,0,0,26,260,412,244,164,245,70,4,1393
LGA46970,112,141,56,31,223,173,0,748,16,15,12,7,40,28,0,113,4,3,6,0,9,4,0,20,0,0,0,0,5,0,0,3,900,1205,428,302,1570,1341,11,5757
LGA47140,2801,4711,2212,1394,4564,590,61,16321,1571,2942,1913,1525,4112,572,54,12687,735,1285,924,734,2891,476,15,7064,265,324,161,148,1371,308,6,2574,22351,28647,12432,9604,37720,5520,285,116561
LGA47290,47,78,45,31,67,28,0,302,40,58,35,33,61,20,0,247,13,30,24,23,38,11,0,138,3,3,5,0,41,6,0,69,343,431,196,164,384,152,3,1669
LGA47490,67,113,67,31,78,30,0,376,65,86,57,79,101,34,0,424,10,23,24,13,55,17,0,139,0,8,5,3,31,12,0,58,313,481,269,211,390,165,0,1834
LGA47630,191,270,130,74,169,73,4,912,104,193,122,104,146,56,6,725,52,85,48,47,142,35,3,412,18,22,17,12,86,11,5,176,1166,1544,716,510,1188,485,35,5648
LGA47700,2182,4501,2005,1091,2260,246,23,12309,1364,3097,2127,1470,2620,288,32,11007,819,1523,1088,791,2204,312,9,6744,299,346,183,159,1296,194,0,2471,17621,24922,11161,7152,19215,2338,106,82520
LGA47800,165,269,163,91,147,70,0,911,97,163,122,114,169,69,0,732,52,90,71,75,143,44,0,483,10,19,12,8,71,24,0,138,802,1166,620,520,930,483,0,4517
LGA47910,64,157,80,49,70,29,0,453,66,116,76,81,105,43,0,480,20,54,43,46,94,21,0,278,10,18,14,7,56,8,0,120,408,708,333,272,476,156,0,2356
LGA47980,916,1843,798,316,620,87,9,4577,625,1439,925,406,763,108,10,4285,333,660,415,266,780,114,3,2578,150,205,107,58,943,111,0,1576,7466,10419,4535,2262,6667,819,62,32226
LGA48050,423,807,407,223,357,76,0,2295,371,927,765,485,729,124,5,3402,249,527,431,309,679,122,4,2319,88,137,85,59,452,84,5,907,2377,3873,2332,1592,3136,597,22,13931
LGA48130,156,302,159,124,182,64,0,989,127,209,140,137,218,50,0,878,36,66,62,56,194,35,0,455,19,26,16,8,106,11,0,189,1016,1411,751,659,1282,343,5,5457
LGA48260,200,371,175,64,161,31,4,1011,148,306,205,104,191,31,3,981,81,159,122,51,188,23,4,641,35,60,37,18,175,21,0,336,1595,2033,968,499,1531,239,21,6893
LGA48340,277,563,314,200,365,131,0,1839,187,386,309,238,450,115,0,1693,88,163,114,109,304,75,0,846,17,39,33,17,165,31,0,305,1645,2651,1456,1045,2136,724,8,9666
LGA48410,1245,2351,1021,521,1366,199,14,6723,734,1466,821,581,1295,165,16,5086,451,778,518,420,1238,183,3,3599,268,341,201,134,1228,137,3,2311,11518,15214,6008,3786,13842,1846,103,52323
LGA48540,440,889,443,278,802,218,0,3064,222,450,318,284,712,134,7,2122,112,249,176,178,559,127,0,1407,47,45,33,35,237,50,0,447,2957,4585,2108,1628,5053,1339,11,17687
LGA48640,33,47,33,16,36,24,0,188,28,37,16,27,24,8,0,139,7,7,3,16,23,10,0,64,9,0,4,3,18,14,0,43,202,220,116,118,165,101,3,938
LGA48750,174,365,200,126,160,43,0,1069,126,360,245,205,239,54,6,1228,52,117,112,89,141,44,0,562,17,27,23,11,86,12,0,174,798,1479,872,637,950,283,3,5029
LGA48830,321,626,394,258,399,139,0,2138,264,551,466,376,590,162,5,2419,123,264,178,222,400,128,3,1314,38,51,39,39,190,62,0,419,1603,2593,1599,1341,2148,808,11,10102
LGA49399,182,305,114,64,316,286,5,1274,95,163,94,75,208,156,0,793,22,38,17,26,42,47,0,191,6,5,0,5,6,8,0,29,844,1154,423,359,1593,1422,21,5814
LGA49799,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,19,8,7,40
LGA50080,927,1886,872,454,858,280,11,5293,557,1232,823,728,979,266,8,4596,337,580,407,414,859,180,3,2786,152,157,96,104,508,122,4,1142,6084,8978,4201,3209,6567,2217,52,31301
LGA50210,1567,2778,1209,837,2229,408,48,9069,830,1663,1111,957,2018,293,60,6932,363,637,455,409,1162,249,21,3295,122,129,68,54,486,172,0,1023,13944,18692,8046,6916,18920,3705,176,70401
LGA50250,295,410,152,81,692,657,18,2311,144,237,90,70,279,223,8,1041,29,50,24,17,65,54,0,241,5,0,0,0,3,3,0,18,1903,2509,907,619,3785,3954,102,13780
LGA50280,407,786,402,224,258,174,5,2255,215,524,391,280,306,114,4,1846,77,150,137,125,201,52,0,741,37,40,25,18,126,33,0,284,2589,3901,1903,1418,2149,1098,100,13143
LGA50350,364,644,268,141,414,88,6,1927,171,439,231,165,438,63,12,1532,88,169,106,98,302,61,0,820,35,52,37,21,182,20,0,353,2725,3930,1556,1020,2882,626,26,12766
LGA50420,1417,2429,1017,607,1806,280,27,7586,818,1683,1016,765,1915,221,21,6451,475,780,492,413,1388,247,12,3803,214,208,106,88,823,188,0,1634,12381,16270,6206,4345,15054,2587,111,56959
LGA50490,829,1232,476,345,1243,285,37,4455,413,799,456,321,1034,186,18,3232,220,339,203,160,730,144,8,1804,97,129,51,42,424,129,0,868,7302,8827,3135,2411,10791,2598,159,35218
LGA50560,43,66,44,37,57,31,0,282,34,80,45,63,76,37,0,334,19,26,25,26,42,23,0,164,7,9,8,0,20,6,0,50,208,347,191,188,290,186,4,1416
LGA50630,66,93,37,24,87,19,0,324,20,53,31,44,42,11,0,199,18,8,13,19,11,11,0,83,0,3,4,0,5,3,0,20,320,478,194,182,342,118,5,1632
LGA50770,55,74,52,33,45,27,0,291,31,60,47,36,48,17,0,237,13,25,18,31,51,23,0,163,4,5,4,0,15,8,0,32,234,359,212,195,262,156,0,1423
LGA50840,122,277,157,122,145,66,0,889,91,209,185,166,177,54,0,880,42,81,58,83,116,33,0,403,15,13,12,11,50,13,0,105,710,1159,681,632,800,330,9,4318
LGA50910,23,33,16,12,19,15,0,126,15,29,17,22,39,5,0,121,12,12,8,7,41,3,0,86,8,0,4,0,29,0,0,41,133,171,91,91,193,69,0,748
LGA50980,637,1023,383,224,884,568,6,3727,539,878,452,278,1076,406,16,3644,174,226,128,85,323,178,0,1116,16,11,9,13,57,36,0,138,4075,5345,2052,1394,4648,3244,178,20940
LGA51080,29,42,34,21,38,21,0,177,20,25,13,15,25,9,0,98,7,10,10,12,9,13,0,55,0,0,0,0,11,0,0,14,156,194,106,105,140,93,0,790
LGA51120,30,26,13,17,29,25,0,137,12,28,22,25,27,23,0,136,8,10,8,7,16,11,0,64,0,0,0,0,11,9,0,23,141,164,86,79,176,139,0,788
LGA51190,758,1326,663,382,915,266,10,4318,434,898,633,427,1020,223,4,3640,241,425,284,272,690,149,0,2065,81,143,62,53,443,170,0,957,5175,7094,3240,2375,6735,2368,47,27037
LGA51260,932,1820,839,472,859,348,10,5282,661,1454,1053,776,1076,314,5,5336,343,634,465,387,784,230,4,2847,131,145,93,74,481,108,0,1036,6458,9465,4639,3388,6308,2068,63,32384
LGA51310,733,1454,618,270,361,76,9,3518,369,846,497,298,424,88,13,2540,197,420,298,189,429,89,11,1626,129,141,97,68,439,84,4,959,5745,7223,3220,1995,3906,644,66,22801
LGA51330,1714,3100,1511,971,2181,317,78,9868,1031,2182,1428,1067,1954,225,69,7963,522,927,637,530,1365,221,25,4240,200,271,117,100,742,135,12,1579,16235,19543,8472,6582,22478,3355,323,76995
LGA51400,395,748,319,250,370,81,4,2156,192,353,286,254,371,80,0,1538,75,147,105,94,196,41,0,659,25,22,10,7,52,11,0,132,2808,3951,1780,1520,2774,589,9,13431
LGA51470,22,28,18,10,14,9,0,97,17,24,21,11,14,8,0,93,12,4,4,3,10,14,0,47,0,0,0,5,4,0,0,4,102,129,67,38,80,85,5,510
LGA51540,197,370,176,88,362,149,4,1347,240,388,194,153,446,149,0,1571,74,127,82,65,192,60,0,593,10,13,10,7,43,15,0,98,1149,1782,742,540,1753,1008,109,7078
LGA51610,38,63,47,35,42,27,0,250,15,37,38,32,53,16,0,189,18,13,5,14,15,3,0,66,0,0,0,3,6,0,0,9,215,326,162,152,212,147,0,1213
LGA51680,142,296,168,114,148,65,0,931,61,145,143,117,110,49,0,625,28,68,49,54,74,32,0,298,8,8,3,6,31,14,0,74,857,1264,680,562,884,348,8,4605
LGA51710,46,73,31,21,48,53,0,268,25,42,18,14,69,38,0,205,9,9,7,7,13,3,0,42,0,0,0,0,0,0,0,4,248,318,126,78,353,568,5,1706
LGA51750,239,494,199,101,159,33,0,1234,192,380,200,104,207,42,8,1139,156,256,170,116,242,45,0,991,82,91,42,28,220,58,0,518,2355,2787,1144,717,1753,418,40,9220
LGA51820,2306,4086,1694,1112,2874,409,43,12527,1197,2444,1443,1072,2672,389,45,9260,527,967,609,505,1668,412,9,4697,211,260,121,108,778,319,0,1797,20434,26376,10430,7933,23294,3993,193,92652
LGA51860,18,37,4,0,36,40,0,143,13,16,9,9,24,26,0,89,9,6,0,3,11,8,0,42,0,0,0,0,8,3,0,10,86,110,32,20,182,142,3,580
LGA51890,171,342,208,157,305,74,0,1261,126,218,165,220,330,67,0,1124,51,82,66,99,176,61,0,548,20,25,14,14,54,56,0,179,1149,1678,908,928,1762,610,3,7040
LGA51960,66,135,62,41,175,168,0,645,28,58,40,37,123,65,0,339,9,14,3,7,30,18,0,88,0,0,0,0,9,6,0,14,470,684,296,251,905,1186,3,3796
LGA52030,45,71,23,16,38,28,0,224,27,41,46,30,52,19,0,214,14,14,15,19,26,14,0,103,0,5,0,5,7,12,0,23,144,232,122,102,182,131,0,918
LGA52100,29,43,22,10,25,3,0,134,25,47,20,23,30,11,0,152,10,17,13,14,18,3,0,68,3,3,3,0,23,10,0,38,171,228,107,91,147,49,4,799
LGA52170,208,404,189,101,102,31,7,1049,144,309,169,93,140,30,4,890,81,138,93,65,129,45,0,541,16,47,21,7,68,43,0,211,1680,1976,882,569,1036,247,41,6440
LGA52240,39,35,26,17,33,18,0,173,27,24,18,25,22,18,0,135,12,13,7,16,23,7,0,78,0,3,0,0,3,3,0,12,177,186,122,124,143,96,0,849
LGA52310,32,58,23,21,24,10,0,161,14,35,33,19,32,7,0,138,13,19,4,3,14,15,0,60,0,4,0,0,4,0,0,12,149,198,107,67,128,70,3,726
LGA52380,16,33,15,11,39,14,0,110,9,23,9,7,35,12,0,89,4,5,4,0,15,0,0,29,0,0,0,0,0,0,0,0,61,126,39,29,237,54,3,551
LGA52450,32,35,22,25,37,4,0,153,14,19,19,27,38,16,0,136,6,9,13,14,9,9,0,62,4,7,4,4,4,0,0,24,228,241,116,141,240,85,0,1058
LGA52520,39,53,16,22,50,42,0,219,23,27,16,11,35,22,0,131,7,22,4,10,13,14,0,74,0,10,0,3,9,7,0,32,204,252,100,114,240,191,0,1098
LGA52590,113,190,99,67,119,60,0,645,82,169,93,89,155,59,0,641,29,44,40,43,70,34,0,263,8,9,14,11,21,13,0,70,560,813,395,325,649,423,32,3197
LGA52660,276,563,250,209,299,63,3,1662,172,363,239,203,300,88,11,1379,89,163,121,120,265,98,0,855,35,50,27,23,119,105,0,358,2173,3140,1447,1269,2428,642,17,11120
LGA52730,198,375,173,96,100,87,0,1025,121,270,227,136,162,89,7,1006,60,123,95,80,125,54,0,538,23,36,20,19,49,19,0,160,937,1532,869,589,760,544,4,5235
LGA52800,298,315,91,49,279,224,0,1263,172,198,102,61,243,153,9,942,30,29,12,16,84,36,0,198,6,0,0,0,21,0,0,34,1916,1505,521,364,1666,1502,35,7515
LGA52870,139,307,185,138,138,40,3,952,107,221,210,157,153,63,0,908,47,70,75,72,139,42,0,454,10,11,14,15,66,9,0,120,839,1317,803,684,953,311,31,4930
LGA52940,13,32,3,5,20,5,0,86,12,24,16,22,37,3,0,119,3,8,4,10,9,4,0,38,0,0,0,0,3,0,0,10,116,142,60,74,106,46,0,542
LGA53010,15,25,20,11,21,20,0,112,6,16,7,5,26,19,0,83,3,9,8,0,8,7,0,38,0,0,0,0,0,0,0,4,78,144,61,54,87,119,5,548
LGA53080,27,43,12,5,58,33,0,187,19,34,13,14,48,23,0,161,12,4,13,4,5,3,0,46,0,0,0,0,5,0,0,10,141,201,72,50,266,223,7,971
LGA53150,227,418,174,80,122,26,9,1053,100,297,151,96,149,25,0,817,61,108,67,46,151,32,0,468,23,30,7,14,141,41,0,259,1515,2006,823,509,1131,251,34,6275
LGA53220,341,414,126,92,940,900,14,2834,99,159,69,43,278,160,4,807,16,20,16,10,47,18,0,132,4,4,0,0,3,0,0,9,2480,3025,950,699,5638,6258,126,19176
LGA53290,356,585,241,165,336,187,4,1876,170,320,231,208,378,156,0,1459,100,163,117,111,275,128,0,894,41,61,18,17,120,32,0,284,2297,2958,1327,1035,2257,1261,28,11158
LGA53360,196,301,162,68,240,59,4,1029,203,334,165,149,357,67,5,1271,57,86,50,51,147,26,0,416,0,4,8,6,23,7,0,44,1205,1565,672,470,1342,372,44,5661
LGA53430,896,1651,560,276,692,269,24,4367,513,1066,589,332,802,219,14,3539,234,476,248,184,580,162,5,1893,95,107,52,50,425,142,3,877,6255,8427,3154,1914,5232,2003,177,27154
LGA53570,125,248,128,111,164,61,0,837,86,191,128,191,222,83,7,908,31,65,63,81,161,50,0,451,10,10,12,9,38,6,0,84,788,1088,584,611,1111,377,69,4628
LGA53640,30,51,23,21,41,17,0,178,27,32,19,21,26,18,0,140,6,3,9,0,10,3,0,34,3,0,0,0,5,0,0,8,209,245,118,131,174,75,0,952
LGA53710,22,38,25,21,33,19,0,158,27,26,22,19,39,18,0,157,8,11,4,8,18,10,0,67,0,4,0,7,12,6,0,24,150,183,97,93,165,99,0,776
LGA53780,2082,3602,1657,1225,3517,497,67,12658,1278,2345,1506,1275,3128,428,75,10043,586,992,635,568,1937,352,18,5093,181,235,125,87,946,287,6,1873,18679,23270,10041,8687,30998,6400,294,98372
LGA53800,789,1592,718,488,1103,403,8,5095,494,1004,638,585,1100,354,3,4170,236,386,270,277,753,260,9,2198,83,109,69,55,380,146,5,848,5682,8350,3669,3043,7459,3233,47,31485
LGA53920,121,160,36,26,153,93,0,587,88,97,49,28,156,85,0,502,9,16,9,0,49,32,0,125,0,6,0,0,3,9,0,17,793,865,392,211,1002,621,25,3910
LGA53990,559,1125,582,422,667,173,6,3533,297,768,512,454,686,130,0,2835,160,291,234,187,431,89,0,1397,58,72,32,34,158,36,0,394,4166,6229,2905,2482,4795,1022,33,21618
LGA54060,82,204,96,76,126,82,0,673,70,167,114,122,181,85,0,741,36,73,52,57,120,46,0,388,8,16,10,3,27,15,0,81,495,847,461,394,707,433,4,3332
LGA54130,25,60,34,26,19,14,0,185,25,28,29,23,23,13,0,151,7,7,7,8,10,4,0,42,0,0,0,0,0,6,0,10,184,260,133,119,114,80,9,906
LGA54170,3980,7662,3329,1839,3430,480,43,20771,2203,5127,3383,2254,3896,410,31,17306,913,1744,1199,959,2465,431,17,7730,345,438,217,158,1413,272,3,2847,28975,38256,16959,11149,26922,3846,195,126307
LGA54200,1241,2365,1030,669,1352,237,7,6904,692,1605,1212,877,1414,199,7,5990,383,823,559,523,1029,195,6,3516,177,210,95,86,580,118,7,1266,9666,13243,5997,4598,10437,1891,51,45883
LGA54280,581,993,385,241,957,522,14,3694,226,421,233,181,558,329,19,1965,72,102,77,63,290,93,0,697,19,17,12,12,107,32,0,199,4502,5941,2213,1758,6314,3446,84,24253
LGA54310,460,692,236,149,656,815,20,3023,166,291,132,115,382,318,17,1413,45,64,34,36,116,71,3,364,0,6,0,0,8,10,0,24,3611,5037,1731,1468,4652,5404,142,22045
LGA54340,85,146,83,35,131,34,0,521,59,90,53,58,123,38,0,419,24,34,37,27,69,31,0,226,4,12,5,4,46,20,0,94,609,728,375,275,901,387,3,3275
LGA54410,36,46,31,19,48,23,0,196,21,34,16,19,51,13,0,146,12,9,12,11,44,19,0,110,5,5,0,0,29,3,0,43,171,202,90,103,273,124,0,962
LGA54480,10,10,4,3,7,4,0,48,5,13,7,8,8,10,0,46,3,3,0,4,5,5,0,18,0,0,0,0,0,0,0,0,71,102,49,35,61,53,0,373
LGA54550,82,83,40,25,56,34,0,317,33,61,30,28,43,9,0,199,14,26,19,22,36,26,0,137,6,9,0,0,27,9,0,55,297,408,179,155,302,134,0,1489
LGA54620,34,52,19,11,47,19,0,195,23,29,20,15,31,9,0,123,10,11,6,3,12,5,0,48,7,6,0,0,10,4,0,23,210,232,106,73,236,97,4,960
LGA54690,13,21,10,0,16,0,0,58,7,13,11,9,18,0,0,60,4,4,5,0,8,0,0,24,0,0,0,0,3,0,0,3,50,82,36,33,78,14,0,287
LGA54760,25,20,14,16,24,14,0,100,14,19,18,7,16,9,0,82,4,7,5,0,14,3,0,39,0,0,5,0,5,6,0,10,105,156,69,69,92,66,0,554
LGA54830,623,1148,526,384,1089,228,14,4012,307,581,380,362,855,153,22,2664,133,228,154,148,564,71,10,1301,48,62,24,21,228,33,0,413,6438,8580,3542,3195,9661,2951,68,34433
LGA54900,49,60,26,15,34,19,0,198,20,21,16,19,39,10,0,126,5,6,15,8,12,0,0,58,0,0,0,3,4,6,0,12,231,275,127,106,183,96,3,1012
LGA54970,65,104,28,18,162,302,0,678,6,23,14,7,44,52,0,141,0,3,5,0,5,3,0,21,5,0,0,0,0,0,0,0,388,501,154,81,902,1744,20,3796
LGA55040,45,81,27,4,116,213,3,495,16,35,16,22,52,59,0,205,5,9,4,0,11,3,0,32,0,0,0,0,3,0,4,7,366,501,148,98,757,1603,21,3489
LGA55110,1832,3468,1709,1179,2477,388,17,11074,1267,2807,1958,1665,3350,467,18,11540,778,1468,1070,1013,2559,514,3,7415,285,346,185,198,1243,413,5,2671,12650,18242,8838,7776,18918,3739,85,70253
LGA55180,237,463,228,170,297,120,0,1511,153,290,190,172,265,90,0,1159,59,118,92,100,185,54,0,605,22,28,20,13,103,21,0,209,1392,2029,990,829,1659,640,45,7581
LGA55250,55,64,19,17,97,98,0,363,36,27,20,14,45,43,0,197,11,9,5,9,15,11,0,47,0,0,0,0,0,0,0,0,371,337,126,94,572,701,12,2213
LGA55320,2381,4633,2083,1127,1937,413,42,12612,1501,3358,2174,1521,2391,447,48,11434,808,1568,1061,802,1998,492,17,6743,412,534,330,181,1490,466,7,3422,19389,24832,11055,7496,17587,3638,256,84251
LGA55390,20,31,9,4,69,78,0,210,10,16,8,9,16,30,0,75,4,0,4,0,3,4,0,11,0,4,0,0,0,0,0,0,155,216,56,32,366,533,3,1358
LGA55460,68,135,53,50,90,52,0,444,55,75,46,45,102,44,0,363,23,24,18,31,38,21,0,157,8,12,9,7,33,6,0,68,494,624,291,271,525,346,3,2545
LGA55530,11,25,11,5,25,32,0,106,13,17,17,3,20,28,0,99,0,7,4,9,11,18,0,41,0,0,0,0,0,5,0,4,61,97,57,42,90,107,0,450
LGA55600,63,110,35,21,75,45,0,355,39,66,39,41,72,36,0,277,11,37,14,20,47,18,0,141,7,9,3,0,23,10,0,47,342,484,196,159,440,253,51,1929
LGA55670,13,35,17,9,10,20,0,105,9,17,13,11,34,46,0,127,4,5,8,9,7,17,0,51,0,5,0,0,9,8,0,20,84,128,59,54,115,147,0,586
LGA55740,224,377,163,95,166,57,7,1088,139,286,174,110,182,40,4,931,82,137,95,47,166,35,4,574,20,25,22,10,105,30,0,218,1791,2084,980,603,1533,365,29,7379
LGA55810,26,35,16,14,44,105,0,240,19,24,16,15,26,41,0,137,0,4,0,3,11,7,0,24,0,0,0,0,0,0,0,3,121,160,65,61,241,584,0,1231
LGA55880,8,20,11,15,20,5,0,79,7,10,0,12,16,0,0,49,4,0,0,7,7,0,0,13,0,0,0,0,13,0,0,16,68,102,35,47,76,34,0,364
LGA55950,17,16,11,21,13,7,0,93,14,21,14,7,23,6,0,80,3,9,5,6,8,9,0,46,0,0,0,3,3,3,0,9,92,113,57,64,85,61,0,482
LGA56090,887,1859,930,557,852,298,12,5397,501,1152,852,719,907,192,0,4319,266,565,347,386,639,147,3,2352,98,95,76,51,290,122,0,734,6095,8783,4262,3304,5728,3050,35,31259
LGA56160,7,8,3,3,0,0,0,22,7,10,7,4,8,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,38,22,6,32,17,0,136
LGA56230,332,662,407,276,532,126,0,2332,240,542,388,388,639,145,3,2338,161,256,190,179,440,129,0,1362,42,64,37,37,155,68,0,399,2365,3588,1886,1733,3410,975,14,13965
LGA56300,32,84,57,43,40,34,0,288,37,82,63,58,52,33,0,330,13,25,17,28,35,27,0,144,0,5,3,9,8,3,0,26,194,347,212,191,211,190,3,1350
LGA56370,19,30,14,15,13,15,0,105,13,12,13,7,22,12,0,82,5,11,7,8,21,12,0,62,5,0,0,0,13,14,0,39,113,155,66,66,118,108,0,622
LGA56460,100,203,109,56,118,47,0,638,91,128,73,70,118,50,0,535,32,54,56,40,95,45,0,319,24,13,11,5,50,51,0,162,823,1029,459,322,877,450,8,3970
LGA56580,538,1103,463,244,316,60,16,2739,342,827,531,266,419,92,12,2487,187,391,283,202,373,98,0,1540,81,117,75,46,295,92,5,712,4347,5400,2589,1681,3239,640,58,17959
LGA56620,42,32,23,0,21,33,3,155,16,15,6,0,14,10,0,58,5,0,0,0,15,3,0,21,0,0,0,0,0,0,0,3,250,354,208,15,129,203,3,1156
LGA56730,226,487,246,169,330,142,0,1596,182,306,220,178,387,130,0,1403,77,119,106,92,226,82,4,705,25,31,20,15,108,37,0,232,1478,2164,1098,951,2198,1181,6,9084
LGA56790,146,199,112,114,170,118,3,861,132,213,122,164,227,123,0,981,35,84,55,49,123,53,0,387,9,7,10,9,39,12,0,93,594,895,456,487,826,527,13,3792
LGA56860,8,8,5,9,8,10,0,43,9,5,8,7,11,14,0,52,0,3,6,0,3,7,0,10,0,0,0,0,0,0,0,4,43,37,25,28,28,52,0,216
LGA56930,42,67,42,31,25,5,0,219,34,53,28,21,29,8,0,174,15,33,16,11,19,3,0,98,8,11,3,3,15,5,0,45,326,340,164,131,278,49,0,1291
LGA57000,33,34,11,8,41,71,0,190,10,14,15,0,22,30,0,81,4,3,0,4,10,3,0,31,4,0,0,0,7,4,0,11,137,150,58,50,227,372,5,1001
LGA57080,592,815,251,146,722,531,71,3132,326,559,258,144,599,395,37,2319,141,212,128,68,341,222,15,1122,40,49,20,9,160,98,6,388,6647,6994,1768,1187,8893,4533,817,30826
