LGA_CODE_2021,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_vis,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_vis,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_vis,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_vis,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Tot_OS_vis,P_Total_Tot
LGA32080,3778,6907,2937,1600,4635,2064,91,22024,2170,4335,2547,1828,4643,1867,78,17473,922,1526,936,854,2959,1111,33,8338,262,334,148,118,1253,466,7,2599,27165,37256,15186,10278,34435,15444,907,140674
LGA32250,102,167,47,39,188,43,0,596,81,175,87,74,221,61,0,699,26,50,25,20,114,36,0,269,0,4,4,3,3,4,0,17,510,699,266,217,978,324,20,3011
LGA32260,785,1499,795,534,1087,412,15,5131,653,1176,734,600,1329,437,7,4946,218,418,323,344,778,243,0,2324,79,87,56,48,389,89,0,747,4525,6430,3214,2655,6630,2733,396,26570
LGA32270,651,1092,494,346,861,761,13,4216,336,536,338,282,675,378,11,2545,91,160,99,118,322,138,3,925,23,20,11,15,86,47,0,209,4508,6151,2571,2221,5407,4484,431,25769
LGA32310,267,446,249,172,450,290,0,1885,216,349,278,268,516,256,0,1883,87,139,119,107,313,129,0,895,26,24,10,14,142,33,0,254,1780,2400,1197,978,2684,1763,7,10813
LGA32330,19,28,12,11,29,0,0,100,4,8,3,3,15,0,0,33,0,0,0,0,8,0,0,16,0,0,0,0,3,0,0,5,144,175,95,96,220,26,0,747
LGA32450,142,182,75,43,202,161,0,808,113,153,62,51,217,158,5,758,19,29,11,21,55,39,0,173,3,0,4,0,18,8,0,28,825,1033,371,336,1222,1054,24,4858
LGA32500,225,337,128,92,373,266,0,1424,177,229,121,116,365,224,0,1230,28,48,29,37,109,52,0,298,7,0,0,0,11,8,0,24,1004,1311,526,472,1637,1325,276,6552
LGA32600,17,20,6,5,29,6,0,86,15,19,0,0,36,0,0,71,0,6,3,0,8,0,0,21,0,0,0,0,0,0,0,0,57,94,22,17,132,36,4,363
LGA32750,16,14,10,0,32,11,0,80,7,14,9,0,19,10,0,57,4,3,0,0,4,0,0,16,0,0,0,0,0,0,0,0,77,72,24,9,121,72,0,374
