LGA_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christian_Assyrian_Apostol_M,Christian_Assyrian_Apostol_F,Christian_Assyrian_Apostol_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christian_Churches_Christ_M,Christian_Churches_Christ_F,Christian_Churches_Christ_P,Christian_Eastern_Orthodox_M,Christian_Eastern_Orthodox_F,Christian_Eastern_Orthodox_P,Christian_Jehovah_Witnesses_M,Christian_Jehovah_Witnesses_F,Christian_Jehovah_Witnesses_P,Christian_Latter_Day_Saints_M,Christian_Latter_Day_Saints_F,Christian_Latter_Day_Saints_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christian_Oriental_Orthodox_M,Christian_Oriental_Orthodox_F,Christian_Oriental_Orthodox_P,Christian_Other_Protestant_M,Christian_Other_Protestant_F,Christian_Other_Protestant_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christian_Presbyt_Reformed_M,Christian_Presbyt_Reformed_F,Christian_Presbyt_Reformed_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christian_Sevnth_day_Advent_M,Christian_Sevnth_day_Advent_F,Christian_Sevnth_day_Advent_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Oth_Rel_Aus_Abor_Trad_Rel_M,Oth_Rel_Aus_Abor_Trad_Rel_F,Oth_Rel_Aus_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Oth_Relig_Oth_Rel_Groups_M,Oth_Relig_Oth_Rel_Groups_F,Oth_Relig_Oth_Rel_Groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_No_Religion_M,SB_OSB_NRA_No_Religion_F,SB_OSB_NRA_No_Religion_P,SB_OSB_NRA_Sec_Beliefs_M,SB_OSB_NRA_Sec_Beliefs_F,SB_OSB_NRA_Sec_Beliefs_P,SB_OSB_NRA_Oth_Sp_Beliefs_M,SB_OSB_NRA_Oth_Sp_Beliefs_F,SB_OSB_NRA_Oth_Sp_Beliefs_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
LGA10050,186,284,466,3058,3932,6992,0,0,0,255,267,522,69,69,141,5665,6589,12253,11,23,37,145,140,287,76,124,203,30,28,59,373,560,932,6,13,17,51,62,114,265,343,607,646,783,1433,35,52,83,96,112,205,692,1003,1696,521,592,1112,16,20,30,12017,14707,26723,683,592,1277,190,151,340,20,17,38,0,3,3,369,309,673,81,106,189,453,417,872,11251,10826,22074,72,43,114,38,41,80,11356,10916,22269,2012,1834,3844,18,23,39,26935,28938,55874
LGA10180,123,182,303,2326,2704,5029,0,0,0,110,135,240,89,73,169,2245,2594,4836,7,8,14,34,41,73,26,35,68,19,15,42,23,29,46,3,4,0,46,33,83,91,113,202,450,530,980,32,48,79,72,77,149,289,385,671,243,303,545,12,10,22,6110,7142,13255,222,220,441,199,171,367,15,9,23,8,8,17,45,51,93,297,359,657,352,414,768,5154,4974,10125,69,43,113,16,36,58,5238,5053,10292,1697,1804,3500,30,17,48,13984,15012,28998
LGA10250,188,307,496,3112,3804,6918,0,0,0,222,287,513,0,0,6,4265,4904,9167,5,4,16,61,63,123,125,144,266,28,30,54,55,70,120,7,0,8,49,58,106,193,281,477,675,816,1492,27,43,74,92,125,217,637,843,1475,442,539,981,17,32,51,10020,12032,22059,79,74,159,38,34,69,38,34,70,10,13,25,48,46,93,52,87,140,114,147,258,10083,9593,19682,73,54,125,50,102,149,10205,9752,19961,1597,1623,3226,31,36,68,22306,24044,46351
LGA10300,12,12,29,110,138,250,0,0,0,4,4,8,0,0,0,339,332,662,0,4,4,0,0,0,0,7,9,0,6,5,4,4,9,0,0,0,11,6,12,3,0,0,48,58,103,0,0,0,0,6,7,27,35,64,39,33,72,0,0,0,585,626,1210,9,6,8,8,4,12,0,0,0,0,0,0,4,3,11,0,0,0,4,3,9,375,303,675,0,0,0,0,0,0,375,303,675,185,166,356,27,7,33,1207,1130,2336
LGA10470,138,168,303,3104,3661,6767,0,0,0,215,247,463,92,90,183,5894,6505,12400,14,20,34,85,80,162,58,53,112,16,12,34,34,42,70,8,8,12,62,61,123,134,146,275,691,775,1467,35,43,81,41,50,90,550,693,1249,312,345,663,5,10,17,11350,12851,24199,229,217,449,165,128,290,3,4,8,6,15,23,85,79,162,64,77,134,152,166,322,7509,6766,14271,81,49,125,9,27,45,7597,6845,14445,2390,1283,3680,20,21,49,22052,21687,43740
LGA10500,3293,4475,7775,3940,4345,8278,171,158,327,566,638,1210,4,5,6,18886,20646,39528,50,60,110,10027,10584,20612,131,192,328,116,127,245,89,82,167,882,884,1766,341,378,721,536,668,1202,878,941,1822,63,79,139,72,83,154,663,774,1436,2416,2840,5261,37,35,69,39870,43516,83392,4194,3481,7680,8048,7255,15302,642,638,1284,9,4,13,147,117,266,240,258,498,400,376,775,23856,21634,45490,251,177,428,97,128,228,24204,21940,46142,6582,6107,12691,358,383,747,87597,88183,175777
LGA10550,114,231,343,2730,3171,5898,0,0,0,144,152,297,0,0,0,2649,2869,5519,0,11,17,61,59,117,106,162,268,23,20,48,38,56,96,3,0,7,95,91,184,72,86,158,326,373,697,22,33,57,47,55,109,412,573,988,320,385,705,6,18,28,7061,8120,15177,57,61,117,34,25,56,17,17,32,3,3,11,5,7,16,58,74,138,72,86,156,8692,8269,16960,70,49,122,39,61,102,8799,8382,17181,1674,1499,3179,21,23,43,17851,18447,36298
LGA10600,63,105,174,916,1008,1928,0,0,0,30,32,62,0,0,0,731,881,1615,3,0,7,13,9,18,3,20,22,3,0,4,3,10,15,0,0,0,26,17,42,34,39,73,127,138,266,0,8,14,17,11,25,213,276,489,120,164,287,9,12,20,2257,2627,4880,16,11,27,4,7,14,20,14,34,0,0,0,5,3,11,37,66,99,42,72,116,3408,3379,6793,32,17,50,24,60,83,3462,3463,6929,653,657,1308,5,12,22,6529,6966,13500
LGA10650,8,18,25,570,685,1250,0,0,0,13,12,28,0,0,0,991,1024,2009,0,0,0,9,8,17,3,6,13,13,31,43,14,21,37,3,3,10,6,9,21,8,17,24,209,203,413,5,6,16,3,0,3,235,295,526,49,60,113,7,0,3,2141,2389,4524,18,13,26,9,10,14,3,0,3,4,0,3,8,9,13,11,16,24,19,23,41,1508,1389,2892,3,3,7,0,4,3,1513,1396,2913,464,464,928,3,3,6,4172,4312,8484
LGA10750,3450,4134,7587,13391,15524,28920,140,117,255,2228,2511,4731,50,58,109,46732,51104,97839,418,460,880,3070,3226,6295,502,635,1136,1044,1155,2200,157,171,327,2029,2012,4046,1650,1803,3456,3330,3810,7134,2456,2917,5370,164,212,380,929,1087,2013,2467,2855,5320,6546,7079,13625,153,190,340,87465,96918,184381,26234,25511,51747,16123,15615,31732,74,78,150,12,29,37,9778,8320,18100,977,1089,2060,10771,9431,20202,38242,33642,71887,343,281,623,182,244,420,38763,34176,72934,14642,12952,27596,351,537,885,197872,199346,397215
LGA10800,5,12,20,587,655,1242,0,0,0,22,19,40,0,0,0,723,724,1451,3,5,8,4,4,8,15,17,31,3,0,7,43,41,83,0,0,0,6,18,23,8,6,17,159,139,294,12,10,20,4,0,3,158,148,314,97,113,207,0,0,0,1837,1909,3748,14,10,24,4,6,15,0,0,0,0,0,0,0,0,0,3,7,13,6,12,17,745,548,1295,4,5,6,0,0,0,752,551,1304,386,277,663,6,0,7,3004,2779,5783
