LGA_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85_yr_over_M,Age_85_yr_over_F,Age_85_yr_over_P,OS_vis_M,OS_vis_F,OS_vis_P,Count_pers_occ_private_dwgs_M,Count_pers_occ_private_dwgs_F,Count_pers_occ_private_dwgs_P,Count_persons_other_dwgs_M,Count_persons_other_dwgs_F,Count_persons_other_dwgs_P,Indig_persons_Aboriginal_M,Indig_persons_Aboriginal_F,Indig_persons_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_pe_Bo_Abor_Trs_St_Is_M,Indig_pe_Bo_Abor_Trs_St_Is_F,Indig_pe_Bo_Abor_Trs_St_Is_P,Indigenous_persons_Tot_M,Indigenous_persons_Tot_F,Indigenous_persons_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_per_att_educ_inst_0_4_M,Age_per_att_educ_inst_0_4_F,Age_per_att_educ_inst_0_4_P,Age_per_att_educ_inst_5_14_M,Age_per_att_educ_inst_5_14_F,Age_per_att_educ_inst_5_14_P,Age_per_att_educ_inst_15_19_M,Age_per_att_educ_inst_15_19_F,Age_per_att_educ_inst_15_19_P,Age_per_att_educ_inst_20_24_M,Age_per_att_educ_inst_20_24_F,Age_per_att_educ_inst_20_24_P,Age_per_att_educ_inst_25ov_M,Age_per_att_educ_inst_25ov_F,Age_per_att_educ_inst_25ov_P,Hi_yr_sch_com_Yr_12_equiv_M,Hi_yr_sch_com_Yr_12_equiv_F,Hi_yr_sch_com_Yr_12_equiv_P,Hi_yr_sch_com_Yr_11_equiv_M,Hi_yr_sch_com_Yr_11_equiv_F,Hi_yr_sch_com_Yr_11_equiv_P,Hi_yr_sch_com_Yr_10_equiv_M,Hi_yr_sch_com_Yr_10_equiv_F,Hi_yr_sch_com_Yr_10_equiv_P,Hi_yr_sch_comp_Yr_9_equiv_M,Hi_yr_sch_comp_Yr_9_equiv_F,Hi_yr_sch_comp_Yr_9_equiv_P,Hi_yr_sch_comp_Yr_8_below_M,Hi_yr_sch_comp_Yr_8_below_F,Hi_yr_sch_comp_Yr_8_below_P,Hi_yr_sc_co_Di_not_go_to_sc_M,Hi_yr_sc_co_Di_not_go_to_sc_F,Hi_yr_sc_co_Di_not_go_to_sc_P
LGA10050,26935,28938,55874,1837,1734,3571,3599,3454,7051,1679,1707,3385,1716,1794,3510,3622,3763,7382,3319,3571,6884,3215,3484,6699,3198,3542,6744,2754,3047,5803,1506,1956,3465,502,886,1386,18,23,39,26286,28117,54400,650,830,1480,951,1072,2026,22,19,43,41,25,64,1009,1118,2134,21874,23806,45676,3448,3561,7011,22977,24974,47948,2400,2453,4851,23839,25871,49707,508,504,1012,3354,3214,6569,1143,1286,2427,462,651,1117,797,1432,2228,9420,11506,20924,2457,2490,4944,5432,5501,10930,1650,1565,3214,943,977,1921,193,213,405
LGA10180,13984,15012,28998,816,746,1562,1804,1832,3637,1076,1252,2329,1141,1190,2325,1838,1942,3777,1584,1633,3214,1538,1679,3224,1732,1801,3536,1345,1446,2794,841,1051,1889,266,444,705,30,17,48,13005,13674,26682,978,1336,2319,1012,1108,2121,8,16,25,22,19,43,1047,1142,2186,10434,11070,21500,2052,2276,4330,11044,11774,22816,1457,1557,3015,11337,12095,23432,266,228,488,1583,1619,3203,697,771,1462,435,577,1011,654,950,1606,5675,6654,12330,738,725,1456,2360,2283,4637,703,696,1402,495,432,925,87,116,200
LGA10250,22306,24044,46351,1148,1058,2202,2804,2535,5338,1274,1165,2436,983,946,1928,2023,2304,4329,2539,2716,5257,2762,3130,5896,3065,3408,6467,3187,3511,6699,1838,2135,3974,686,1138,1827,31,36,68,21951,23520,45472,357,516,880,823,917,1741,27,23,50,26,22,44,877,956,1836,18318,19430,37748,2707,3214,5923,20127,21475,41605,972,1251,2219,20250,21690,41942,384,324,707,2628,2371,4996,914,872,1789,260,334,593,535,1003,1538,8525,10040,18567,1398,1430,2829,5036,5426,10461,1360,1420,2782,769,727,1496,56,56,112
LGA10300,1207,1130,2336,57,82,139,173,129,301,57,50,103,67,38,108,143,161,299,129,113,241,160,153,312,190,168,358,168,143,309,50,64,111,20,33,53,27,7,33,1091,1081,2171,116,45,162,56,69,125,0,0,0,9,0,15,67,72,137,908,868,1775,109,97,198,892,869,1762,121,85,210,933,899,1832,20,24,37,137,114,252,32,31,68,8,12,21,16,28,42,276,334,612,102,102,206,237,184,429,91,62,152,86,61,146,4,7,10
LGA10470,22052,21687,43740,1277,1213,2485,2969,2778,5744,1592,1440,3034,1548,1390,2936,2988,2750,5740,2674,2506,5180,2661,2757,5418,2590,2656,5245,2183,2213,4401,1202,1297,2498,369,684,1046,20,21,49,20289,20876,41165,1763,806,2572,1653,1460,3105,18,26,43,35,39,72,1703,1520,3224,18598,18416,37011,2233,2178,4408,18800,19410,38209,1199,1243,2440,19101,19714,38812,413,396,807,2773,2602,5372,1143,1117,2258,426,555,984,552,1007,1559,7449,9022,16468,1313,1235,2548,4942,4426,9367,1282,1283,2568,726,625,1355,62,63,127
LGA10500,87597,88183,175777,5127,4863,9993,8450,8054,16505,4093,3735,7828,7173,6538,13714,18443,18257,36702,13609,13105,26709,10172,10664,20836,8611,8982,17594,6446,7071,13518,3947,4712,8660,1532,2190,3718,358,383,747,85906,86707,172611,1693,1467,3162,883,960,1846,26,24,51,29,33,59,936,1017,1956,41379,40143,81514,41175,43198,84375,38036,35728,73764,43636,46598,90233,63490,64403,127898,1429,1383,2805,7868,7524,15397,3283,3199,6481,3723,3424,7145,5270,6499,11770,49511,50530,100037,3683,3137,6824,9356,8850,18209,2267,2325,4589,2676,3535,6217,1044,1471,2515
LGA10550,17851,18447,36298,796,738,1535,2048,1913,3960,951,831,1778,684,655,1340,1540,1598,3141,1593,1804,3394,2102,2303,4408,2948,3365,6311,3158,3026,6185,1537,1584,3123,480,623,1105,21,23,43,17270,17902,35173,582,541,1125,675,675,1349,13,7,22,14,14,26,703,696,1400,14368,14695,29067,2076,2375,4448,16034,16538,32571,535,696,1234,16033,16630,32660,215,206,424,1863,1757,3620,623,586,1213,106,171,278,306,656,966,6003,7307,13308,1430,1502,2935,4310,4047,8354,1199,1050,2246,750,621,1371,45,32,75
LGA10600,6529,6966,13500,281,275,553,855,832,1684,358,345,707,214,206,421,520,546,1068,616,692,1311,815,965,1777,1049,1230,2283,1122,1071,2192,537,570,1101,163,242,405,5,12,22,6423,6847,13267,110,122,234,262,285,551,8,3,15,4,3,11,282,294,577,5206,5534,10738,793,888,1682,5830,6169,11996,206,286,491,5835,6218,12053,88,86,173,762,738,1502,248,251,499,42,70,108,128,333,460,2246,2904,5149,417,381,798,1528,1437,2970,482,440,922,236,222,455,22,15,34
LGA10650,4172,4312,8484,190,193,385,473,485,963,236,205,442,150,132,284,357,382,736,360,434,794,485,474,961,588,664,1257,768,709,1477,415,447,861,148,176,329,3,3,6,4071,4173,8245,105,137,240,122,126,247,10,5,7,0,0,4,127,132,265,3452,3522,6970,316,374,685,3644,3761,7406,124,138,259,3649,3743,7394,58,58,117,418,430,853,161,145,304,13,36,55,52,143,194,975,1324,2299,475,491,965,954,841,1791,414,320,738,275,192,464,3,12,18
LGA10750,197872,199346,397215,15351,14587,29935,30820,29393,60214,12630,11711,24340,13795,12583,26379,28712,30497,59210,33782,33556,67342,23882,23685,47569,18646,19460,38106,12848,14362,27210,5828,6702,12529,1573,2812,4386,351,537,885,195376,197502,392885,2493,1837,4336,5571,5777,11347,103,115,222,136,128,267,5803,6023,11831,100604,98984,199585,86421,89436,175853,94813,93682,188492,89892,93511,183403,157245,158434,315676,4132,3915,8051,28528,27198,55726,9697,9510,19202,5358,5581,10941,6590,9818,16413,92013,96456,188473,8295,7739,16026,26013,24924,50935,7317,7323,14642,5202,6182,11382,1605,2316,3925
