LGA_CODE_2021,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
LGA22170,39,1800,805,356,2098,0.8,1650,2.5
LGA22250,51,1000,592,200,1417,0.7,1072,2.2
LGA22310,38,2400,1020,436,2806,0.9,2129,2.5
LGA22410,48,1083,648,220,1599,0.7,1215,2.2
LGA22490,39,1733,782,338,2125,0.8,1895,2.9
LGA22620,39,1417,739,295,1865,0.7,1446,2.4
LGA22670,36,1788,619,346,1605,1,1450,2.9
LGA22750,39,1733,770,350,2051,0.8,1591,2.4
LGA22830,39,1300,712,260,1759,0.8,1395,2.5
LGA22910,51,1443,672,296,1697,0.7,1289,2.2
LGA22980,50,750,653,180,1569,0.7,1160,2.2
LGA23110,39,2167,911,380,2453,0.8,1969,2.5
LGA23190,41,1200,775,245,1850,0.7,1389,2.3
LGA23270,33,1805,665,369,1852,0.9,1700,3.1
LGA23350,47,1517,780,275,1954,0.7,1505,2.4
LGA23430,41,2167,877,402,2406,0.8,1910,2.5
LGA23670,40,2000,796,400,2194,0.8,1881,2.7
LGA23810,41,1213,656,236,1679,0.7,1259,2.3
LGA23940,52,867,554,170,1394,0.8,1040,2.2
LGA24130,43,2000,864,390,2403,0.8,2059,2.7
LGA24210,43,2400,755,462,2252,0.8,1917,2.7
LGA24250,47,1500,714,320,1705,0.7,1348,2.3
LGA24330,35,2100,962,376,2494,0.9,1991,2.4
LGA24410,39,2000,850,385,2306,0.8,1864,2.6
LGA24600,30,1955,954,396,2368,1,1676,1.8
LGA24650,33,1800,786,360,2051,0.8,1885,3.1
LGA24780,40,1278,696,261,1700,0.8,1342,2.4
LGA24850,36,1733,792,329,2012,0.8,1714,2.7
LGA24900,48,1300,633,250,1505,0.7,1191,2.3
LGA24970,38,2383,755,436,2223,0.8,1897,2.7
LGA25060,39,2181,954,385,2625,0.9,2007,2.4
LGA25150,39,1733,798,330,2127,0.8,1779,2.6
LGA25250,35,2030,917,400,2403,0.9,1940,2.4
LGA25340,47,1993,769,380,2054,0.7,1573,2.4
LGA25430,51,1443,673,300,1702,0.7,1257,2.2
LGA25490,44,1451,774,250,1916,0.7,1535,2.5
LGA25620,50,1517,678,265,1713,0.7,1303,2.3
LGA25710,42,2200,962,440,2772,0.8,2471,2.9
LGA25810,49,975,660,202,1496,0.7,1133,2.2
LGA25900,38,2167,1282,420,3052,0.9,2068,1.9
LGA25990,50,1097,580,210,1419,0.7,1099,2.2
LGA26080,61,2081,872,373,1960,0.6,1542,2
LGA26170,48,1408,662,260,1651,0.7,1275,2.3
LGA26260,46,1083,702,220,1684,0.7,1264,2.2
LGA26350,36,2500,1285,421,3299,0.9,2206,2.1
LGA26430,53,1300,657,260,1580,0.7,1201,2.2
LGA26490,42,2150,954,462,2441,0.8,2106,2.6
LGA26610,39,1161,716,225,1721,0.8,1368,2.5
LGA26670,51,1200,692,218,1658,0.7,1283,2.2
LGA26700,45,1350,730,258,1771,0.7,1326,2.3
LGA26730,41,1430,762,296,1891,0.7,1420,2.3
LGA26810,44,1300,661,260,1661,0.7,1272,2.3
LGA26890,50,739,704,140,1651,0.7,1201,2.2
LGA26980,39,2230,778,411,2300,0.8,1838,2.6
LGA27070,35,1900,737,371,1970,0.8,1765,2.9
LGA27170,37,1473,808,290,1938,0.7,1495,2.4
LGA27260,32,1929,839,370,2129,0.8,2021,3.1
