LGA_CODE_2021,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
LGA58330,53,1582,608,290,1579,0.7,1280,2.3
LGA58400,54,531,531,120,1125,0.6,900,1.9
LGA58470,51,1452,821,75,1312,0.9,1692,2.9
LGA58510,36,2000,974,350,2473,0.8,1841,2.2
LGA58540,48,537,974,150,2200,0.7,1641,2.3
LGA58570,36,2196,1170,400,3050,0.9,2199,2.2
LGA58610,48,882,668,193,1718,0.7,1181,2.2
LGA58680,50,1600,843,200,2100,0.7,1674,2.4
LGA58760,35,1900,801,350,2148,0.8,1891,2.8
LGA58820,47,1625,623,260,1701,0.7,1324,2.4
LGA58890,50,915,813,143,1708,0.7,1327,2.2
LGA59030,47,400,1449,85,1465,0.7,1329,2.2
LGA59100,47,867,726,139,1662,0.7,1269,2.4
LGA59170,40,1285,1005,200,2243,0.7,1728,2.4
LGA59250,37,500,1954,120,767,1,1412,2.4
LGA59310,44,968,762,180,1757,0.7,1269,2.3
LGA59320,43,1148,749,155,1663,0.8,1395,2.5
LGA59330,51,604,610,150,1481,0.6,949,1.9
LGA59340,39,1885,1062,245,2082,1,1750,2.7
LGA59350,41,260,1915,150,1583,0.9,1525,2.6
LGA59360,46,790,1661,150,2057,0.6,1484,2
LGA59370,55,1408,610,260,1538,0.7,1150,2.2
LGA59799,45,1733,2700,0,1375,0.7,1833,1.7
LGA60210,56,1083,490,245,1132,0.8,857,2
LGA60410,34,1391,697,280,1593,0.9,1350,2.6
LGA60610,40,1127,656,240,1598,0.8,1226,2.3
LGA60810,47,1296,632,250,1562,0.8,1203,2.3
LGA61010,50,900,612,200,1400,0.8,1078,2.1
LGA61210,41,1083,687,220,1614,0.8,1278,2.4
LGA61410,40,1540,821,350,1991,0.8,1599,2.4
LGA61510,42,1235,618,285,1518,0.8,1243,2.5
LGA61610,42,1200,627,250,1495,0.8,1161,2.3
LGA61810,48,1083,589,220,1358,0.7,1047,2.2
LGA62010,56,884,717,140,1542,0.7,1100,2
LGA62210,48,1083,518,220,1272,0.7,1001,2.2
LGA62410,56,1116,617,250,1289,0.8,1054,2.1
LGA62610,36,1337,691,325,1632,0.9,1323,2.4
LGA62810,38,1800,889,390,2324,0.9,1837,2.3
LGA63010,46,1300,609,290,1514,0.8,1228,2.4
LGA63210,48,1246,622,230,1470,0.8,1214,2.4
LGA63410,45,1083,856,198,1719,0.7,1338,2.1
LGA63610,41,1625,795,380,2025,0.8,1666,2.5
LGA63810,48,1322,645,260,1534,0.8,1254,2.3
LGA64010,38,1300,689,280,1677,0.8,1308,2.3
LGA64210,46,1322,672,270,1675,0.8,1286,2.4
LGA64610,45,1300,684,250,1618,0.8,1257,2.3
LGA64810,42,1395,725,350,1719,0.8,1401,2.4
LGA65010,43,1300,661,250,1605,0.8,1331,2.5
LGA65210,56,1083,517,250,1174,0.8,880,2
LGA65410,47,1200,610,238,1516,0.8,1139,2.3
LGA65610,46,650,617,155,1406,0.7,1053,2
LGA65810,45,1360,699,300,1758,0.8,1401,2.4
LGA69799,47,0,1643,0,0,0,0,0
LGA70200,36,1800,1089,370,2484,0.9,2060,2.6
LGA70420,34,1144,504,120,1035,1.2,1461,3.2
LGA70540,33,0,274,75,661,1.2,680,3.2
LGA70620,32,704,346,75,635,1.4,1251,4.1
LGA70700,55,1517,703,218,1379,0.9,1221,2.1
LGA71000,36,2000,1088,380,2463,0.9,2157,2.6
LGA71150,50,1820,1836,570,2944,1,2336,1.6
LGA71300,30,997,305,81,775,1.7,1440,4.8
LGA72200,36,1625,1005,300,2353,1,1961,2.7
LGA72300,40,2223,1072,380,2675,1,2195,2.8
LGA72330,34,1039,345,75,743,1.4,1285,3.8
LGA72800,31,2037,1109,400,2453,0.9,2184,2.8
LGA73600,36,1164,395,78,756,1.7,1410,4.1
LGA74050,31,845,246,80,551,1.3,776,3.4
LGA74550,33,1083,542,90,875,1.3,1255,3.5
LGA74560,56,1597,758,250,1768,1,1357,2.1
LGA74660,32,1435,360,90,771,1.6,1675,4.2
LGA74680,26,0,202,50,467,1.9,852,4.9
LGA79399,38,1733,1132,130,2805,1,2025,2.4
LGA79799,48,0,2208,0,0,0.7,1649,2.3
LGA89399,35,2080,1200,450,2872,0.8,2370,2.5
LGA89799,52,0,1625,0,0,0,0,0
LGA99399,48,1300,784,230,1630,0.8,1216,2.2
LGA99799,0,0,0,0,0,0,0,0
