LGA_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_ns,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_yr_arr_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arr_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,USA_2016,USA_2017,USA_2018,USA_2019,USA_2020,USA_2021,USA_Yr_arrival_ns,USA_Tot,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arr_ns,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_ns,Tot_Tot
LGA10050,0,0,0,5,60,39,106,103,16,17,33,28,5,0,12,420,5,0,3,3,9,0,4,0,0,0,0,0,0,0,0,28,0,0,3,4,3,0,6,7,0,4,0,0,0,0,0,33,0,0,0,8,14,40,56,17,5,7,3,13,4,0,0,170,0,4,0,4,9,10,9,19,13,6,14,4,0,4,0,96,0,0,0,0,0,0,0,8,0,6,5,0,0,0,0,18,0,0,0,0,8,10,29,19,9,5,4,0,0,0,3,94,52,130,346,196,162,66,183,34,5,10,25,10,11,7,50,1299,4,0,5,4,8,19,29,22,7,4,5,0,7,0,4,122,0,0,0,5,3,9,10,14,0,16,4,4,4,0,3,71,23,77,110,130,86,66,251,283,41,40,69,112,25,8,32,1345,147,507,688,555,586,455,1342,1202,281,313,335,302,108,29,161,7011
LGA10180,0,0,0,0,13,10,32,31,10,9,19,21,4,0,9,168,0,3,0,0,0,0,4,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,14,0,4,7,8,9,34,27,4,0,0,0,0,5,0,0,109,0,0,0,0,9,8,11,21,11,9,16,12,0,0,0,96,0,0,0,0,0,3,8,3,0,3,6,11,0,0,0,39,0,0,0,0,0,7,17,0,0,0,4,0,0,0,0,34,21,59,191,98,66,53,90,44,7,8,9,11,4,0,18,685,3,0,10,22,12,18,37,25,5,8,0,4,4,0,9,153,0,0,0,0,6,4,3,17,3,12,4,18,4,0,0,71,9,31,39,45,34,44,114,80,29,51,84,117,47,14,19,765,46,154,315,272,259,296,672,492,149,220,475,707,148,32,104,4330
LGA10250,0,0,5,7,30,17,26,25,7,8,10,8,5,6,11,165,0,4,5,0,13,0,4,5,0,0,0,0,0,0,0,19,0,0,0,5,5,0,0,8,4,0,0,3,0,0,0,28,0,14,19,35,43,29,72,23,4,6,3,9,0,5,0,262,0,0,3,3,0,13,5,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,7,0,0,0,0,8,16,37,32,3,3,0,6,0,4,12,128,66,181,468,251,199,175,315,161,27,22,14,20,14,5,67,1993,0,5,16,24,28,30,48,37,7,6,16,11,7,0,0,241,0,0,0,4,9,6,9,5,5,3,0,4,0,0,0,47,30,56,97,108,76,76,156,127,33,33,29,51,18,11,28,917,152,432,787,663,690,571,1048,681,141,133,129,166,71,34,207,5923
LGA10300,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,10,0,0,9,4,0,0,5,0,0,0,0,0,0,0,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,9,0,0,0,0,0,4,3,6,0,0,7,4,0,0,12,34,3,13,18,8,9,16,26,36,10,7,18,16,0,0,26,198
LGA10470,0,0,0,13,24,24,40,61,5,20,30,19,14,6,4,262,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,16,0,0,4,0,5,4,0,4,0,0,0,0,0,0,4,25,0,0,0,6,12,26,50,4,3,4,8,5,4,0,0,126,0,0,0,0,9,9,24,31,0,3,5,12,0,0,0,104,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,13,19,18,6,0,3,4,0,0,8,77,41,121,285,184,104,79,93,44,12,12,10,7,4,0,55,1053,0,0,5,6,9,15,29,18,0,0,11,0,0,0,4,95,0,0,0,3,9,6,11,15,5,3,3,4,4,0,14,84,16,37,68,76,55,62,64,52,23,10,20,15,8,0,51,543,93,271,509,434,422,411,743,540,123,155,189,164,77,16,261,4408
LGA10500,0,8,35,167,669,550,622,552,167,156,214,272,78,24,70,3573,7,4,15,32,126,42,66,90,28,27,17,9,0,0,10,477,0,7,9,29,73,52,123,65,15,23,10,13,12,4,11,440,0,4,9,68,119,149,178,81,17,21,25,18,15,6,11,718,0,0,9,15,45,61,62,47,3,9,17,12,6,7,11,316,0,0,0,3,75,90,117,134,33,23,22,39,9,0,17,565,0,0,10,22,99,195,498,401,102,64,65,78,19,5,55,1607,55,160,490,373,402,394,629,614,158,124,136,107,51,10,106,3801,3,0,9,27,38,69,104,105,34,30,29,30,27,8,18,544,0,4,7,265,389,192,280,254,94,131,113,102,59,9,64,1960,108,394,1146,2075,1789,2083,2138,2006,993,1218,1497,1642,375,52,486,18007,327,2194,6375,6856,9313,10192,14627,11785,3793,4368,5011,5205,1612,345,2368,84375
LGA10550,0,0,0,7,31,24,18,28,4,11,8,11,4,0,0,146,5,0,0,3,6,0,0,3,0,0,0,0,0,0,0,23,0,0,0,9,0,3,6,3,0,0,0,0,0,0,0,21,0,4,8,21,18,26,23,4,7,0,0,7,4,0,0,129,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,14,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,6,0,0,3,0,3,3,23,25,5,6,7,0,5,0,5,89,57,261,556,292,175,113,123,49,5,9,4,12,4,0,71,1719,3,6,16,36,24,23,43,20,3,3,0,5,4,0,3,181,0,0,0,0,3,0,5,7,0,0,0,0,0,0,0,18,23,74,99,103,86,33,60,33,17,6,5,12,8,0,12,580,143,578,868,712,527,369,499,252,90,70,65,74,39,9,159,4448
LGA10600,0,0,0,0,10,0,7,8,4,0,0,0,0,0,4,35,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,12,0,0,3,10,17,3,17,0,8,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,9,0,0,0,0,3,0,3,0,0,0,5,0,0,0,0,13,23,65,180,124,88,61,86,43,0,8,4,0,7,0,37,722,0,0,0,16,20,8,13,3,6,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,26,32,41,38,38,17,0,0,4,10,12,0,15,241,52,138,277,262,266,162,228,103,24,25,20,22,16,0,79,1682
LGA10650,0,0,0,0,7,5,3,16,0,8,0,4,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,3,0,0,0,0,0,0,0,16,0,0,0,0,0,0,6,5,0,0,0,0,0,0,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,8,10,41,84,40,22,9,6,6,4,0,0,3,0,0,12,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,12,15,5,8,0,3,12,0,0,5,0,5,0,0,68,25,102,126,77,64,46,62,83,10,12,14,28,11,5,28,685
LGA10750,0,3,49,863,5784,5608,5739,3290,693,615,793,998,367,46,391,25236,83,30,58,74,351,138,77,30,7,3,3,5,0,0,9,873,0,6,12,46,110,85,183,126,45,45,27,33,12,8,0,741,0,3,22,99,312,355,650,255,92,86,74,115,45,4,15,2141,0,0,43,91,625,1141,2121,1171,194,168,129,188,57,16,80,6021,0,0,0,6,51,101,72,66,11,22,22,44,4,0,15,414,0,0,0,13,103,143,299,158,31,33,25,33,7,0,32,882,112,489,1671,915,706,423,741,420,87,60,61,51,24,10,161,5924,4,6,17,53,62,116,246,179,40,49,41,49,25,8,25,919,0,0,3,205,388,201,195,131,24,46,34,31,16,7,58,1331,216,774,1981,2446,3345,4597,5435,2689,827,882,674,611,245,84,783,25591,695,2299,6167,7582,19364,27239,49722,28320,6876,6718,6990,7388,2559,592,3349,175853
