LGA_CODE_2021,Tot_Mgr,Tot_Pfn,Tot_Tch_trwk,Tot_Co_Pswk,Tot_Cl_Adwk,Tot_Sal,Tot_MchOp,Tot_Lab,Tot_Inad_ns,Tot_To
LGA18250,7654,15363,2239,2442,4392,2572,634,1195,648,37134
LGA18350,3868,5288,3799,2604,2649,2017,1339,2277,410,24254
LGA18400,3703,3947,4890,2664,3812,2051,2411,2476,489,26456
LGA18450,11305,24487,13687,12527,12238,7602,5937,8134,1528,97447
LGA18500,6774,12135,1057,1389,2776,1927,192,430,726,27402
LGA18710,1810,1945,1304,974,1206,535,371,664,174,8980
LGA19399,246,75,60,32,51,26,17,116,12,631
LGA19799,0,0,0,0,0,0,27,0,0,35
LGA20110,1229,1216,972,805,596,529,336,782,115,6571
LGA20260,938,716,543,785,436,364,277,825,113,4993
LGA20570,6040,12086,7322,7252,6506,5012,2724,5247,789,52974
LGA20660,9685,20876,7270,6406,8498,4729,1938,3444,961,63797
LGA20740,2449,3102,2652,2127,1729,1687,744,1792,331,16624
LGA20830,3722,4646,4186,3242,2986,2072,1793,3306,434,26391
LGA20910,11971,16791,3376,4168,6020,4391,696,1686,877,49980
LGA21010,972,995,942,791,635,487,459,844,134,6256
LGA21110,16891,34592,4891,6686,10139,7102,1254,3054,1424,86044
LGA21180,7219,13863,11280,9067,11077,7110,9831,10997,2362,82804
LGA21270,790,361,280,227,231,157,212,373,55,2678
LGA21370,2879,2510,2581,2149,1662,1538,1248,2480,321,17368
LGA21450,6932,9742,10066,6917,7607,5123,4784,6146,1148,58473
LGA21610,18031,29767,27265,20309,22998,15046,16775,19047,3843,173078
LGA21670,564,535,718,714,448,477,359,762,105,4679
LGA21750,1786,1455,1435,1277,938,875,792,2020,212,10782
LGA21830,2006,904,913,737,583,496,605,1163,135,7547
LGA21890,10994,26705,8074,7994,9364,5626,3047,5161,1404,78360
LGA22110,2896,3060,2673,2689,2052,1707,1186,2603,438,19304
LGA22170,8090,12732,11519,8358,8954,6413,4336,6671,1229,68304
LGA22250,971,564,596,444,398,336,337,624,92,4372
LGA22310,13886,28523,6459,7128,9832,6364,1857,3544,1423,79020
LGA22410,1428,1257,1222,1111,780,671,967,1220,215,8870
LGA22490,1657,1970,2260,1456,1458,973,950,1300,210,12224
LGA22620,6258,12049,7800,7508,6626,5083,3446,6529,933,56237
LGA22670,5397,10738,9798,7417,7149,5291,8265,11694,1917,67664
LGA22750,14954,29273,18750,17499,14678,11524,7828,12461,2222,129180
LGA22830,4247,5364,4078,3540,3317,2706,1989,4286,602,30137
LGA22910,1351,1559,1078,825,695,469,302,758,137,7185
LGA22980,585,342,253,241,205,142,213,384,43,2409
LGA23110,7138,12264,5147,4186,6140,3322,2595,3103,891,44777
LGA23190,1597,1796,1413,1219,1097,915,630,1065,173,9888
LGA23270,10143,17242,15677,12730,13926,9055,10654,10826,2480,102724
LGA23350,1476,1700,1154,929,819,598,529,916,149,8266
LGA23430,12466,21420,10227,8097,11452,7153,3399,5302,1372,80890
LGA23670,10458,19104,11758,8400,11786,7591,4357,6423,1453,81332
LGA23810,3051,5217,5386,4268,4370,3043,2387,3797,665,32181
LGA23940,992,336,281,277,244,177,227,463,64,3057
LGA24130,4076,5973,3826,2748,3072,1794,1151,2021,430,25095
LGA24210,9961,17647,5896,5268,7942,5760,1564,3161,1132,58334
LGA24250,859,776,754,557,476,443,248,501,80,4686
LGA24330,6969,15067,4328,4519,5811,3404,2407,3330,897,46721
LGA24410,7968,15461,8133,6388,7944,4981,2348,4367,1011,58594
LGA24600,12109,35650,7062,10219,10068,6375,2210,5711,1665,91064
LGA24650,8153,13965,11196,9686,11634,7487,9291,7980,1908,81295
LGA24780,3609,4183,3362,3065,2621,2373,1749,3636,636,25240
LGA24850,2761,3253,4149,3181,2966,1856,2255,2679,514,23608
LGA24900,2276,1654,1831,1522,1250,1046,911,2116,274,12876
LGA24970,12778,29435,9059,8615,11956,8075,3776,6483,1929,92109
LGA25060,10451,19906,6153,5817,9320,5187,2164,3684,1166,63848
LGA25150,2304,3077,3080,2151,2522,1430,1588,1750,337,18235
LGA25250,12528,31830,9741,9265,11415,6431,3501,5787,1614,92121
LGA25340,12040,15791,12787,9247,8717,7179,2764,6438,1429,76389
LGA25430,1253,2310,1185,1012,833,584,376,873,134,8566
LGA25490,2215,1353,1063,868,703,577,470,1102,162,8503
LGA25620,1232,1001,1261,808,715,426,449,784,133,6813
LGA25710,5747,9008,4798,3400,4537,2627,1012,1845,466,33447
LGA25810,952,673,628,783,461,392,367,900,99,5257
LGA25900,12234,22804,4659,5240,6842,4094,1129,2263,1068,60333
LGA25990,639,388,391,367,296,199,253,393,76,3006
LGA26080,247,448,132,134,165,106,18,79,35,1362
LGA26170,2700,2227,2033,1483,1364,1096,843,1626,294,13675
LGA26260,1679,1291,1035,874,756,654,383,966,128,7766
LGA26350,11969,24785,3522,4696,7006,4708,848,1914,1062,60508
LGA26430,1078,726,714,522,491,324,280,725,110,4966
LGA26490,3464,5326,2558,2127,1943,1483,507,1290,277,18965
LGA26610,1759,1322,1229,1074,992,764,634,1882,251,9908
LGA26670,742,401,349,285,273,157,183,360,63,2805
LGA26700,2061,2607,1959,1868,1410,1222,913,1760,230,14042
LGA26730,1873,3456,2427,2295,1863,1790,948,2393,295,17334
LGA26810,3142,3325,2975,2577,1841,1521,1265,2313,399,19365
LGA26890,714,215,158,159,127,76,107,259,36,1860
LGA26980,11952,27730,8010,8068,10713,7182,2665,5362,1469,83154
LGA27070,10780,19975,15698,13327,14885,9974,9114,10745,2332,106839
LGA27170,2268,3587,3269,2991,2462,1880,1591,2298,357,20706
LGA27260,14480,29715,15973,15304,18204,10968,15446,12283,3287,135659
LGA27350,10078,25543,3635,4397,5689,3262,833,1733,837,56009
LGA27450,10753,15578,14537,9373,10109,6256,4125,7177,1395,79290
LGA27630,664,344,272,340,241,184,201,328,45,2633
LGA29399,462,354,207,577,145,211,213,236,54,2461
LGA29799,11,33,36,22,4,0,29,33,5,170
LGA30250,25,29,14,36,11,7,10,26,9,159
LGA30300,523,291,245,199,200,142,229,354,55,2227
LGA30370,1403,825,1306,549,671,438,1233,1087,178,7697
LGA30410,402,191,175,126,160,76,116,262,39,1548
LGA30450,62,17,24,8,26,5,12,70,3,233
LGA30760,231,98,118,89,97,67,74,201,22,997
LGA30900,63,19,28,13,21,10,38,66,3,272
LGA31000,92356,210718,64863,69704,86797,50770,28029,45540,10877,659643
LGA31750,60,22,60,15,22,0,43,83,11,322
LGA31820,4443,6011,5204,5425,4383,3586,3045,6107,730,38943
LGA31900,1257,823,1145,739,836,608,887,1341,146,7770
LGA31950,77,80,70,22,39,8,44,78,3,431
LGA32080,8975,16370,11798,11966,9620,7545,4403,7845,1380,79905
LGA32250,180,180,162,127,126,58,147,275,42,1295
LGA32260,1892,1531,1703,1384,1240,993,1118,2562,293,12714
LGA32270,2203,1770,2798,1054,1443,1057,2910,1934,329,15497
LGA32310,763,747,767,556,468,385,588,697,132,5095
LGA32330,13,29,12,64,21,0,11,35,0,184
LGA32450,279,341,592,150,223,84,514,364,49,2586
LGA32500,453,516,357,308,295,144,206,390,64,2739
LGA32600,41,25,17,14,11,0,30,33,8,182
LGA32750,36,30,31,25,24,12,25,45,4,220
LGA32770,28,70,13,65,15,10,8,34,13,260
LGA32810,985,994,961,1049,701,610,308,903,173,6682
LGA33100,168,72,70,48,51,16,51,102,24,603
LGA33200,207,98,89,76,73,46,83,124,20,819
LGA33220,3649,6200,5426,6378,4430,3881,2568,4610,759,37899
LGA33360,2726,4298,5972,3075,2943,2312,3402,3575,638,28945
LGA33430,39845,62323,42855,39235,38695,31923,15405,27967,6270,304518
LGA33610,1030,604,598,467,516,350,507,745,100,4915
LGA33620,2528,2591,3038,2699,2298,2002,1772,2991,434,20358
LGA33800,721,587,753,560,493,369,528,615,117,4740
LGA33830,15,46,35,62,24,6,37,23,14,256
LGA33960,9964,16912,14713,14483,14260,9067,10093,11945,2135,103584
LGA33980,1658,1500,3068,741,1129,517,3738,1586,340,14271
LGA34420,17,37,19,46,17,7,6,18,10,189
LGA34530,1990,2940,3000,2183,2111,1410,1680,1687,329,17325
LGA34570,8,34,25,27,13,4,20,28,13,172
LGA34580,2303,2134,2488,2000,1943,1472,1687,3373,341,17749
