LGA_CODE_2021,Tot_Mgr,Tot_Pfn,Tot_Tch_trwk,Tot_Co_Pswk,Tot_Cl_Adwk,Tot_Sal,Tot_MchOp,Tot_Lab,Tot_Inad_ns,Tot_To
LGA48340,1003,556,683,589,442,390,418,908,110,5089
LGA48410,3793,8456,3788,4628,4470,2753,1527,2805,511,32722
LGA48540,779,1352,1665,1193,819,764,1342,1037,201,9147
LGA48640,184,62,67,43,50,43,40,83,11,585
LGA48750,426,308,313,271,283,189,107,351,49,2297
LGA48830,1074,497,539,467,375,296,326,579,82,4247
LGA49399,493,377,643,205,189,71,609,458,77,3120
LGA49799,0,3,3,0,0,0,4,9,0,22
LGA50080,2167,3043,2652,2461,1841,1649,1111,2211,252,17393
LGA50210,4177,7766,7146,5513,5679,3544,4382,4407,790,43411
LGA50250,633,975,2268,416,491,148,2072,922,161,8091
LGA50280,1277,1507,1359,967,709,689,411,1111,113,8147
LGA50350,946,2042,1141,929,1060,607,445,613,116,7887
LGA50420,4303,9555,4777,4233,4745,2698,2031,2919,562,35829
LGA50490,2282,4629,3414,2635,2811,1632,1918,2039,411,21783
LGA50560,158,67,73,53,55,31,67,84,17,603
LGA50630,122,126,248,61,80,26,277,103,15,1067
LGA50770,279,85,86,44,77,38,67,100,6,786
LGA50840,379,344,384,254,192,150,260,281,36,2279
LGA50910,128,37,38,35,32,22,32,57,4,382
LGA50980,1686,2454,1280,1367,1355,717,536,877,222,10498
LGA51080,197,47,40,26,32,13,29,63,7,464
LGA51120,136,32,59,34,29,14,48,50,4,406
LGA51190,1312,2600,2456,1793,1572,1290,1301,2029,234,14588
LGA51260,2477,3241,3203,2340,1917,1810,1125,2302,304,18727
LGA51310,2820,6335,882,1195,1572,950,241,548,193,14743
LGA51330,4583,12171,6215,6046,5617,3712,3329,4717,838,47222
LGA51400,893,1616,1542,1070,978,705,784,1008,127,8729
LGA51470,80,24,35,21,23,17,36,36,0,275
