RA_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85_yr_over_Married,M_85_yr_over_Separated,M_85_yr_over_Divorced,M_85_yr_over_Widowed,M_85_yr_over_Never_married,M_85_yr_over_Tot,M_OS_visitors_Married,M_OS_visitors_Separated,M_OS_visitors_Divorced,M_OS_visitors_Widowed,M_OS_visitors_Never_married,M_OS_visitors_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85_yr_over_Married,F_85_yr_over_Separated,F_85_yr_over_Divorced,F_85_yr_over_Widowed,F_85_yr_over_Never_married,F_85_yr_over_Tot,F_OS_visitors_Married,F_OS_visitors_Separated,F_OS_visitors_Divorced,F_OS_visitors_Widowed,F_OS_visitors_Never_married,F_OS_visitors_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85_yr_over_Married,P_85_yr_over_Separated,P_85_yr_over_Divorced,P_85_yr_over_Widowed,P_85_yr_over_Never_married,P_85_yr_over_Tot,P_OS_vis_Married,P_OS_vis_Separated,P_OS_vis_Divorced,P_OS_vis_Widowed,P_OS_vis_Never_married,P_OS_vis_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
RA10,196,32,35,45,175818,176124,5380,297,192,88,197694,203655,137422,5676,6943,284,305777,456098,277805,13867,22353,690,121924,436630,242345,17270,37527,1924,76676,375742,215228,14840,44637,4741,49968,329416,172377,10190,33093,10223,22246,248126,98019,4139,13847,15496,8014,139520,28693,788,2720,15305,2076,49587,3347,198,370,168,2272,6361,1180820,67292,161728,48973,962458,2421271,292,41,30,38,165205,165599,11954,796,458,78,179251,192534,185113,9723,11089,536,260210,466666,287090,19291,32506,2076,104838,445804,242727,21594,55645,6274,65759,391991,207762,17184,64003,18572,39685,347207,155890,10080,49066,40628,19077,274735,71528,3099,21140,60442,7059,163261,13997,564,5294,56850,3076,79786,3249,169,504,1029,1968,6917,1179606,82542,239728,186510,846123,2534504,488,74,61,85,341022,341729,17333,1094,649,161,376945,396182,322529,15403,18035,812,565989,922768,564892,33155,54857,2763,226759,882435,485073,38861,93168,8199,142439,767736,422988,32017,108642,23317,89654,676621,328272,20267,82153,50851,41320,522865,169544,7238,34994,75940,15073,302783,42694,1351,8018,72157,5152,129380,6600,370,877,1192,4236,13278,2360424,149832,401453,235479,1808586,4955771
RA11,59,16,16,17,47928,48035,938,62,36,27,39591,40655,24407,1492,1200,58,57306,84459,45974,3557,4768,179,30266,84746,52668,5190,11395,610,24454,94316,61385,5353,17458,1846,18880,104926,65550,4570,16671,4653,9004,100448,38166,1702,6765,6672,2760,56063,9545,279,1105,5527,673,17136,472,30,85,33,493,1112,299162,22258,59494,19623,231354,631894,36,15,9,10,44549,44626,1606,147,39,28,37077,38900,31323,2502,2030,154,51493,87506,49944,5017,7150,578,27333,90018,55932,6238,15875,1942,20820,100803,64411,5920,22087,5651,14139,112216,60886,3832,19281,13615,6153,103770,28785,1144,7701,21492,2157,61278,4876,177,1624,19117,761,26555,295,24,84,87,367,851,298097,25012,75877,62687,204854,666527,100,27,25,35,92477,92661,2540,208,76,59,76674,79554,55729,3994,3230,217,108797,171966,95914,8576,11916,756,57600,174766,108603,11421,27269,2557,45273,195117,125793,11280,39543,7500,33019,217143,126438,8399,35950,18268,15158,204212,66956,2846,14464,28160,4919,117346,14416,456,2728,24647,1432,43692,763,59,163,118,859,1968,597259,47271,135373,82309,436210,1298414
RA12,14,4,0,6,11002,11028,214,16,3,8,9250,9489,5813,306,252,19,14172,20564,10799,842,1050,58,7243,19993,13351,1274,2734,195,6398,23951,17229,1590,4566,594,5604,29582,16763,1436,4472,1376,2686,26739,9028,500,1655,1810,790,13781,2152,79,249,1300,201,3983,208,16,23,6,296,546,75568,6064,15010,5373,57643,159651,15,5,0,6,10401,10428,427,41,4,3,8140,8619,7246,554,411,54,12296,20565,11653,986,1369,148,6313,20469,14178,1435,3127,470,4886,24092,17605,1515,4771,1574,3568,29043,14935,892,3677,3548,1449,24500,6711,224,1307,5372,411,14025,1003,26,251,4451,180,5917,88,12,16,22,201,334,73878,5691,14937,15660,47847,158006,26,9,3,13,21410,21457,643,57,7,8,17393,18111,13065,862,658,72,26468,41129,22449,1829,2424,207,13552,40462,27533,2708,5861,664,11283,48043,34840,3113,9333,2169,9176,58625,31701,2326,8156,4928,4129,51241,15744,720,2963,7182,1201,27810,3157,99,501,5755,385,9901,292,23,36,25,499,883,149442,11757,29940,21030,105482,317657
RA13,4,0,0,0,707,713,18,3,0,0,723,738,532,26,21,0,1261,1855,847,57,92,5,553,1555,988,98,190,12,504,1801,1240,131,327,44,492,2231,1013,137,286,103,217,1752,483,27,106,136,90,832,102,6,16,79,19,229,14,0,0,0,35,44,5238,490,1035,384,4604,11754,0,0,0,0,683,687,23,0,0,0,636,658,602,41,19,10,1051,1726,829,65,93,8,491,1481,993,87,163,42,401,1688,1126,114,281,119,276,1910,806,58,178,236,80,1361,338,18,73,333,35,791,54,5,9,226,8,307,5,0,4,0,15,19,4776,386,821,976,3673,10633,5,0,0,0,1396,1403,43,3,0,0,1358,1405,1132,69,46,8,2318,3576,1674,121,178,18,1043,3034,1983,182,352,50,910,3486,2366,239,606,171,764,4147,1818,194,466,337,299,3117,818,45,178,467,123,1627,160,11,27,310,30,536,19,0,4,0,47,62,10016,878,1864,1359,8275,22388
RA14,3,0,0,0,183,190,11,0,0,0,197,215,120,0,9,3,322,451,177,11,15,0,200,403,205,30,44,4,199,487,311,44,90,20,180,637,272,37,84,39,97,524,114,12,22,30,19,201,24,0,0,13,3,38,6,0,0,0,9,13,1241,134,257,109,1414,3149,0,0,0,0,165,170,7,0,0,0,206,220,140,7,11,0,353,513,168,12,12,4,207,403,200,18,55,4,174,459,282,27,70,25,121,530,225,19,57,53,43,394,69,5,20,80,5,180,11,0,4,47,0,60,0,0,0,0,10,11,1110,90,235,215,1291,2947,0,0,0,0,354,364,18,0,0,0,407,426,262,9,16,6,674,967,338,30,25,3,407,803,407,44,106,16,379,946,594,65,160,47,303,1167,499,55,141,87,141,922,185,11,37,112,29,380,36,0,7,56,6,101,11,0,0,0,13,22,2351,222,492,323,2701,6092
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,7,0,0,0,3,16,4,0,0,0,0,10,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,8,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,7,0,0,0,5,18,9,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,21,0,0,0,14,38
RA20,148,34,29,28,143146,143392,3111,163,105,66,169531,172985,111938,4141,5152,281,279035,400546,234242,10761,17723,632,106566,369932,198641,14468,30404,1637,64777,309933,169118,12102,35024,3890,37261,257392,132868,7683,24331,7885,16073,188835,77454,2995,9968,11888,5287,107597,23082,625,1964,12331,1492,39492,2801,147,263,160,1707,5079,953395,53127,124972,38799,824884,1995171,211,33,25,21,135941,136235,7550,476,256,59,155526,163865,151284,7046,8332,488,239915,407067,239122,15251,25635,1867,95567,377442,198531,18354,45496,5133,58822,326345,163534,13839,51165,13900,32074,274507,122672,7898,38236,31749,14344,214895,57986,2500,15862,48421,5059,129829,11571,413,3664,45903,2059,63604,2578,123,392,1019,1446,5559,955043,65930,189059,148550,740753,2099343,362,65,58,53,279088,279627,10669,636,361,130,325057,336848,263217,11191,13487,766,518953,807612,473365,26014,43359,2500,202138,747375,397178,32821,75899,6769,123604,636272,332645,25939,86190,17789,69340,531897,255538,15577,62569,39631,30414,403728,135443,5500,25824,60311,10345,237421,34654,1034,5629,58229,3556,103098,5373,272,656,1171,3151,10629,1908443,119054,314032,187349,1565634,4094506
RA21,22,8,10,10,35958,36012,535,51,15,28,30555,31183,18054,1065,817,58,46800,66792,37912,2678,3761,152,22972,67478,42683,4175,8770,520,18629,74772,48538,4110,12553,1525,12786,79516,48874,3248,11303,3342,6221,72993,26687,1210,4300,4833,1942,38970,6590,178,675,4161,488,12097,207,17,49,18,268,559,230110,16746,42249,14652,176613,480361,29,6,3,6,33703,33753,970,113,24,22,28460,29593,23216,1679,1406,146,42792,69244,41148,3866,5435,443,21941,72834,44880,4972,12333,1397,16344,79925,50324,4554,16477,4165,10202,85725,45223,2879,13583,9986,4350,76019,20224,768,5003,14860,1446,42290,3429,129,968,13854,532,18919,167,15,42,74,189,477,229603,18977,55273,44955,159966,508771,54,12,17,24,69660,69764,1502,159,40,50,59017,60770,41266,2747,2220,206,89591,136034,79060,6543,9197,596,44913,140310,87556,9149,21103,1918,34974,154695,98861,8669,29031,5692,22990,165239,94102,6125,24889,13327,10578,149014,46906,1978,9295,19693,3389,81258,10021,311,1643,18014,1023,31015,375,27,94,91,453,1045,459706,35720,97517,59602,336580,989140
RA22,0,5,0,5,7173,7180,123,11,0,0,6264,6412,3812,195,184,15,9841,14045,7244,584,752,23,4808,13408,8708,886,1750,112,4170,15633,11773,1066,3233,381,3343,19800,11859,983,3133,874,1743,18585,6495,285,1155,1126,533,9604,1624,47,151,1014,142,2976,82,0,16,0,131,232,51727,4067,10377,3556,38149,107868,3,4,0,7,6680,6699,254,29,3,3,5676,5964,4840,364,265,37,8852,14355,7882,815,954,87,4412,14149,9463,1023,2408,315,3372,16588,12144,983,3516,1031,2177,19857,10818,597,2815,2359,879,17461,4866,157,975,3742,269,10001,830,30,180,3464,92,4594,47,6,17,14,96,176,51137,4004,11138,11060,32508,109850,3,8,0,11,13856,13878,381,41,3,8,11943,12377,8650,560,446,51,18692,28397,15125,1394,1700,118,9218,27558,18172,1907,4158,427,7548,32217,23912,2053,6750,1412,5525,39653,22670,1574,5948,3230,2620,36050,11360,443,2137,4866,802,19605,2451,78,328,4479,234,7577,128,5,30,17,227,411,102861,8068,21515,14613,70654,217717
RA23,0,0,0,0,69,69,0,0,0,0,51,54,43,0,4,0,83,130,88,8,17,0,68,175,89,6,25,7,51,174,182,17,55,3,78,338,207,19,49,16,35,316,99,9,20,9,17,153,33,7,5,18,5,57,0,0,0,0,0,0,740,68,173,54,448,1474,0,0,0,0,52,52,0,0,0,0,29,32,55,0,7,0,58,121,103,6,5,0,61,175,98,15,15,0,40,172,203,16,52,12,38,321,160,9,40,29,9,242,85,0,11,61,4,156,18,0,0,48,3,70,0,0,0,0,0,0,722,41,130,152,287,1338,0,0,0,0,124,124,5,0,0,0,79,88,93,3,9,0,141,252,196,10,20,4,120,352,191,26,42,8,85,344,387,34,105,22,115,663,366,22,86,42,39,556,185,13,30,66,21,310,44,7,4,61,3,128,0,0,0,0,7,7,1459,114,298,203,734,2813
