RA_CODE_2021,M_Neg_Nil_inc_15_19_yr,M_Neg_Nil_inc_20_24_yr,M_Neg_Nil_inc_25_34_yr,M_Neg_Nil_inc_35_44_yr,M_Neg_Nil_inc_45_54_yr,M_Neg_Nil_inc_55_64_yr,M_Neg_Nil_inc_65_74_yr,M_Neg_Nil_inc_75_84_yr,M_Neg_Nil_inc_85_yr_over,M_Neg_Nil_inc_Tot,M_1_149_15_19_yr,M_1_149_20_24_yr,M_1_149_25_34_yr,M_1_149_35_44_yr,M_1_149_45_54_yr,M_1_149_55_64_yr,M_1_149_65_74_yr,M_1_149_75_84_yr,M_1_149_85_yr_over,M_1_149_Tot,M_150_299_15_19_yr,M_150_299_20_24_yr,M_150_299_25_34_yr,M_150_299_35_44_yr,M_150_299_45_54_yr,M_150_299_55_64_yr,M_150_299_65_74_yr,M_150_299_75_84_yr,M_150_299_85_yr_over,M_150_299_Tot,M_300_399_15_19_yr,M_300_399_20_24_yr,M_300_399_25_34_yr,M_300_399_35_44_yr,M_300_399_45_54_yr,M_300_399_55_64_yr,M_300_399_65_74_yr,M_300_399_75_84_yr,M_300_399_85_yr_over,M_300_399_Tot,M_400_499_15_19_yr,M_400_499_20_24_yr,M_400_499_25_34_yr,M_400_499_35_44_yr,M_400_499_45_54_yr,M_400_499_55_64_yr,M_400_499_65_74_yr,M_400_499_75_84_yr,M_400_499_85_yr_over,M_400_499_Tot,M_500_649_15_19_yr,M_500_649_20_24_yr,M_500_649_25_34_yr,M_500_649_35_44_yr,M_500_649_45_54_yr,M_500_649_55_64_yr,M_500_649_65_74_yr,M_500_649_75_84_yr,M_500_649_85_yr_over,M_500_649_Tot,M_650_799_15_19_yr,M_650_799_20_24_yr,M_650_799_25_34_yr,M_650_799_35_44_yr,M_650_799_45_54_yr,M_650_799_55_64_yr,M_650_799_65_74_yr,M_650_799_75_84_yr,M_650_799_85_yr_over,M_650_799_Tot,M_800_999_15_19_yr,M_800_999_20_24_yr,M_800_999_25_34_yr,M_800_999_35_44_yr,M_800_999_45_54_yr,M_800_999_55_64_yr,M_800_999_65_74_yr,M_800_999_75_84_yr,M_800_999_85_yr_over,M_800_999_Tot,M_1000_1249_15_19_yr,M_1000_1249_20_24_yr,M_1000_1249_25_34_yr,M_1000_1249_35_44_yr,M_1000_1249_45_54_yr,M_1000_1249_55_64_yr,M_1000_1249_65_74_yr,M_1000_1249_75_84_yr,M_1000_1249_85_yr_over,M_1000_1249_Tot,M_1250_1499_15_19_yr,M_1250_1499_20_24_yr,M_1250_1499_25_34_yr,M_1250_1499_35_44_yr,M_1250_1499_45_54_yr,M_1250_1499_55_64_yr,M_1250_1499_65_74_yr,M_1250_1499_75_84_yr,M_1250_1499_85_yr_over,M_1250_1499_Tot,M_1500_1749_15_19_yr,M_1500_1749_20_24_yr,M_1500_1749_25_34_yr,M_1500_1749_35_44_yr,M_1500_1749_45_54_yr,M_1500_1749_55_64_yr,M_1500_1749_65_74_yr,M_1500_1749_75_84_yr,M_1500_1749_85_yr_over,M_1500_1749_Tot,M_1750_1999_15_19_yr,M_1750_1999_20_24_yr,M_1750_1999_25_34_yr,M_1750_1999_35_44_yr,M_1750_1999_45_54_yr,M_1750_1999_55_64_yr,M_1750_1999_65_74_yr,M_1750_1999_75_84_yr,M_1750_1999_85_yr_over,M_1750_1999_Tot,M_2000_2999_15_19_yr,M_2000_2999_20_24_yr,M_2000_2999_25_34_yr,M_2000_2999_35_44_yr,M_2000_2999_45_54_yr,M_2000_2999_55_64_yr,M_2000_2999_65_74_yr,M_2000_2999_75_84_yr,M_2000_2999_85_yr_over,M_2000_2999_Tot,M_3000_3499_15_19_yr,M_3000_3499_20_24_yr,M_3000_3499_25_34_yr,M_3000_3499_35_44_yr,M_3000_3499_45_54_yr,M_3000_3499_55_64_yr,M_3000_3499_65_74_yr,M_3000_3499_75_84_yr,M_3000_3499_85_yr_over,M_3000_3499_Tot,M_3500_more_15_19_yr,M_3500_more_20_24_yr,M_3500_more_25_34_yr,M_3500_more_35_44_yr,M_3500_more_45_54_yr,M_3500_more_55_64_yr,M_3500_more_65_74_yr,M_3500_more_75_84_yr,M_3500_more_85_yr_over,M_3500_more_Tot,M_Personal_inc_ns_15_19_yr,M_Personal_inc_ns_20_24_yr,M_Personal_inc_ns_25_34_yr,M_Personal_inc_ns_35_44_yr,M_Personal_inc_ns_45_54_yr,M_Personal_inc_ns_55_64_yr,M_Personal_inc_ns_65_74_yr,M_Personal_inc_ns_75_84_yr,M_Personal_inc_ns_85_yr_over,M_Personal_inc_ns_Tot,M_OS_vis_15_19_yr,M_OS_vis_20_24_yr,M_OS_vis_25_34_yr,M_OS_vis_35_44_yr,M_OS_vis_45_54_yr,M_OS_vis_55_64_yr,M_OS_vis_65_74_yr,M_OS_vis_75_84_yr,M_OS_vis_85_yr_over,M_OS_vis_Tot,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Neg_Nil_inc_15_19_yr,F_Neg_Nil_inc_20_24_yr,F_Neg_Nil_inc_25_34_yr,F_Neg_Nil_inc_35_44_yr,F_Neg_Nil_inc_45_54_yr,F_Neg_Nil_inc_55_64_yr,F_Neg_Nil_inc_65_74_yr,F_Neg_Nil_inc_75_84_yr,F_Neg_Nil_inc_85_yr_over,F_Neg_Nil_inc_Tot,F_1_149_15_19_yr,F_1_149_20_24_yr,F_1_149_25_34_yr,F_1_149_35_44_yr,F_1_149_45_54_yr,F_1_149_55_64_yr,F_1_149_65_74_yr,F_1_149_75_84_yr,F_1_149_85_yr_over,F_1_149_Tot
RA41,1917,249,214,192,303,626,552,204,70,4326,957,127,59,62,123,241,289,101,22,1977,480,301,282,216,308,580,710,340,97,3326,192,256,331,328,535,939,2220,1683,432,6926,212,254,297,311,488,853,1831,1305,476,6012,347,422,382,320,486,828,1411,891,229,5324,191,528,523,412,619,820,1103,665,149,5010,108,664,1020,852,1053,1229,923,425,103,6387,63,488,1318,1248,1417,1555,929,300,45,7356,19,224,952,988,1132,1173,573,152,19,5221,5,110,711,960,976,857,398,128,27,4180,3,40,420,662,748,662,198,55,16,2801,0,35,554,1083,1318,1017,295,82,20,4405,0,8,84,186,260,218,73,20,0,849,3,8,101,258,460,439,163,56,21,1502,367,304,639,685,716,744,669,548,241,4911,0,8,19,13,13,7,11,4,5,70,4857,4029,7907,8769,10954,12796,12356,6954,1982,70594,1614,195,449,451,627,1299,767,230,110,5737,1190,129,201,208,274,461,475,148,48,3139
RA42,2026,256,285,246,319,669,633,216,51,4706,1008,97,83,84,127,290,306,116,37,2134,595,367,409,357,470,773,791,361,93,4213,223,347,477,481,746,1197,2668,1899,490,8533,285,297,462,452,635,1237,2184,1434,603,7581,416,409,521,455,595,844,1454,726,223,5640,256,661,764,572,685,952,1100,623,142,5755,172,839,1491,1032,1154,1351,961,358,92,7448,97,662,1611,1340,1538,1746,951,259,47,8247,22,348,1168,1050,1235,1196,563,120,20,5729,16,153,982,978,1148,1100,394,107,30,4909,0,93,668,777,819,799,241,61,4,3468,0,77,868,1185,1397,1120,311,65,13,5044,3,14,124,239,279,215,72,16,11,976,10,18,142,278,390,410,180,64,16,1504,541,533,1335,1329,1340,1393,1198,828,342,8836,10,88,400,177,46,17,19,4,0,753,5677,5268,11784,11020,12939,15300,14024,7243,2219,85470,1508,213,490,523,609,1301,769,225,68,5702,1226,94,236,234,273,434,377,139,39,3054
RA43,315,39,48,44,83,181,119,54,17,902,258,12,8,11,22,49,41,33,10,445,102,37,49,51,59,158,170,95,22,761,35,40,62,58,104,230,498,362,105,1500,63,57,73,66,102,237,429,247,89,1356,81,72,107,91,116,216,349,159,39,1233,50,132,169,129,144,200,252,127,33,1235,41,202,292,215,252,283,231,92,25,1630,22,138,431,345,363,407,206,67,8,1977,8,73,305,270,275,298,141,21,6,1401,6,43,259,312,240,250,90,25,8,1226,4,39,226,217,242,198,57,19,6,1002,5,79,511,498,475,355,82,20,3,2029,0,10,116,165,156,104,29,4,0,578,4,9,115,212,198,171,63,22,3,797,128,149,516,472,514,447,285,183,70,2761,0,5,6,3,6,6,11,0,5,38,1117,1129,3304,3163,3340,3791,3038,1552,439,20878,298,29,144,105,123,294,146,46,26,1219,253,16,48,59,45,99,82,46,21,670
RA44,119,26,29,20,34,65,43,13,3,354,47,5,14,4,18,11,23,7,5,130,53,51,96,86,70,84,83,27,3,555,14,41,80,63,100,131,179,109,15,725,12,17,43,35,34,102,201,101,23,575,20,13,44,22,36,95,99,42,8,387,24,38,68,40,49,86,99,30,5,431,14,36,84,75,68,95,72,12,3,458,12,52,109,101,100,132,86,17,0,594,4,39,94,94,98,101,56,4,0,490,6,25,96,96,95,101,43,5,0,469,0,20,94,90,112,103,29,3,0,462,0,39,194,210,196,166,44,7,0,855,3,5,40,57,58,38,5,0,0,206,0,4,37,48,43,63,17,0,0,217,92,110,297,278,336,307,172,98,33,1723,0,0,3,3,0,7,0,0,0,16,421,517,1413,1327,1454,1676,1265,486,107,8663,97,16,33,28,35,83,62,16,4,370,43,6,19,18,17,33,32,3,0,178
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,6,0,0,0,0,0,5,0,0,0,4,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,8,0,0,0,5,0,0,0,0,0,7,0,0,0,19,15,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA50,27433,5587,4579,3230,3531,5566,6106,2543,727,59297,12010,2715,1006,699,808,1580,2441,1015,321,22598,6851,5714,3286,2324,2546,3436,4896,2795,811,32666,2765,5037,4586,3336,3668,5113,12034,10091,3171,49800,2532,4435,3825,2658,3083,4344,10094,7509,2903,41387,2937,6001,5390,3406,3461,4310,8652,5583,1590,41328,1955,6728,6869,4419,3593,4427,6444,3981,1163,39576,1370,7680,12701,8182,6887,6848,6082,2668,742,53156,753,7039,18991,14057,11199,10580,6484,2192,501,71799,280,4099,16373,13545,10605,9073,4414,1239,244,59874,148,2426,14763,14384,11519,9524,3526,932,263,57481,67,1263,10940,12799,10675,7764,2421,487,129,46544,64,1517,19321,29066,24736,16770,4190,777,196,96631,16,237,4284,8638,7720,4789,1222,231,62,27202,40,181,4101,14037,16177,10070,2802,704,171,48288,2928,3922,8907,7811,6372,5046,4173,3637,2628,45429,63,195,574,402,376,408,343,123,28,2510,62219,64786,140487,142989,126960,109652,86323,46512,15655,795570,22938,4818,13421,15197,11330,15006,9876,3158,1275,97016,14287,3026,3246,4018,3040,4016,3793,1394,485,37309
RA51,2573,313,264,262,364,669,734,247,54,5477,1358,96,44,77,87,220,350,146,33,2421,587,285,280,274,298,479,780,399,119,3498,268,259,380,360,437,780,2199,1609,391,6683,352,247,303,313,414,694,1707,1077,355,5462,459,402,435,381,441,736,1334,761,170,5115,318,636,576,402,491,706,1064,536,139,4872,219,765,989,746,822,989,892,363,72,5869,107,672,1451,1294,1331,1466,975,290,45,7625,41,425,1227,1224,1243,1219,530,143,21,6074,24,285,1115,1329,1349,1223,436,121,34,5917,10,176,874,1154,1348,1085,296,59,9,5003,8,233,1631,2611,2882,2150,460,72,15,10059,4,24,367,675,771,539,139,19,4,2539,5,27,277,789,1018,716,256,69,18,3178,567,768,1989,1879,1605,1256,980,596,297,9940,4,76,91,52,26,19,14,10,0,285,6918,5683,12309,13818,14927,14955,13143,6505,1771,90027,2152,290,1134,1108,1158,1983,1148,294,98,9377,1648,141,392,486,345,537,498,159,81,4288
RA52,1925,230,241,224,330,585,577,215,71,4402,897,64,61,61,102,214,280,116,32,1834,455,227,277,282,305,498,675,281,101,3093,181,192,306,308,430,746,1706,1315,356,5537,260,197,262,283,381,678,1449,997,292,4802,398,317,341,301,418,587,1043,589,180,4181,291,492,487,356,432,661,795,427,126,4061,221,673,893,683,708,929,745,269,82,5202,138,582,1262,1005,1061,1326,770,205,48,6391,56,331,977,917,970,983,471,108,19,4827,40,296,1048,964,1130,1035,383,101,33,5036,9,178,847,893,986,881,275,77,17,4155,16,233,1527,2025,2152,1762,439,83,14,8244,0,42,372,560,572,459,114,19,8,2146,3,26,298,599,707,586,219,53,18,2505,590,603,1548,1536,1492,1432,1149,688,271,9319,4,39,97,41,15,19,17,13,3,253,5490,4710,10852,11043,12179,13394,11114,5554,1657,75992,1597,245,889,723,684,1307,811,244,115,6612,1157,124,262,266,227,397,335,102,40,2921
RA53,712,114,135,110,150,234,266,76,9,1798,353,16,25,32,44,54,99,44,8,663,185,87,108,102,123,163,231,88,26,1114,78,68,128,112,161,296,621,350,76,1891,67,67,103,93,145,228,502,303,70,1571,136,126,93,116,134,246,465,196,31,1542,121,182,185,131,164,216,312,134,25,1472,90,228,360,248,270,331,324,136,21,2006,81,267,600,492,428,565,394,102,16,2940,49,222,549,481,487,493,261,53,15,2605,30,171,669,634,586,540,229,40,6,2909,9,124,606,680,577,510,179,25,3,2720,18,209,1475,1830,1528,1134,246,53,5,6502,5,49,558,708,571,375,90,13,4,2368,6,47,541,1084,899,629,195,69,9,3481,406,561,1781,1904,1784,1581,823,352,80,9278,0,23,85,35,21,32,18,4,0,219,2345,2567,7997,8801,8077,7635,5235,2027,398,45077,587,122,539,442,326,598,364,85,23,3093,402,39,144,151,86,155,136,39,17,1165
RA54,483,97,146,112,123,278,297,56,12,1591,140,24,46,45,52,99,106,29,7,544,242,285,451,385,294,279,302,88,21,2339,55,149,240,198,242,278,756,315,31,2270,45,64,126,95,139,230,633,264,39,1630,68,75,124,108,143,212,565,201,18,1515,40,90,171,121,128,259,447,135,10,1398,51,174,344,212,217,352,385,100,13,1843,41,217,488,328,378,533,452,88,6,2532,35,217,540,404,438,460,282,52,4,2442,26,204,715,571,561,586,214,33,4,2911,28,219,825,719,671,612,162,15,0,3256,27,472,2726,2668,2490,1756,387,24,0,10549,5,82,997,1154,1034,680,105,14,0,4078,5,57,863,1468,1348,849,149,28,0,4764,425,1114,4498,4409,4205,2980,1043,276,34,18976,0,65,181,97,66,42,22,0,0,478,1707,3595,13476,13093,12527,10491,6303,1720,193,63107,428,109,323,233,206,579,363,42,8,2289,155,43,92,89,75,177,148,16,0,794
RA55,0,0,0,0,0,4,4,0,0,13,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,5,0,0,13,0,5,4,3,0,0,0,0,0,14,0,0,0,0,4,0,8,3,0,19,0,0,4,5,3,5,0,0,0,17,0,5,3,4,6,0,8,0,0,24,0,6,11,17,17,7,0,3,0,66,0,3,14,12,17,7,6,0,0,65,0,8,17,23,22,14,8,0,0,93,0,9,14,25,22,10,0,0,0,88,0,11,72,138,110,76,9,0,0,418,0,3,26,82,56,28,6,0,0,207,0,0,61,183,189,89,10,0,0,538,3,32,190,413,386,197,40,4,0,1269,0,0,24,37,53,24,0,0,0,143,14,81,459,945,896,473,119,15,0,3002,0,0,0,0,0,5,0,0,0,8,0,0,0,0,0,0,4,0,0,0
RA61,4448,897,1034,512,479,754,667,293,83,9169,1878,422,262,132,174,292,387,174,36,3759,1111,1115,890,551,552,697,879,486,138,6405,405,922,1248,759,811,1178,2562,2085,548,10523,393,783,1252,754,913,1277,2243,1597,670,9871,498,1121,1803,871,806,1145,1716,1058,355,9369,283,1271,2271,1193,914,1112,1463,862,266,9624,185,1450,3670,1988,1597,1734,1329,665,203,12828,73,1134,4652,2836,2342,2444,1505,533,128,15649,23,552,2974,2327,2021,1775,895,272,64,10898,9,250,2143,2123,1979,1655,624,207,53,9045,9,91,1311,1676,1648,1263,385,88,16,6487,0,51,1563,2859,3027,2042,551,136,29,10253,5,10,211,488,597,441,133,41,7,1944,3,30,279,828,1138,873,343,112,35,3638,550,674,1641,1135,993,903,903,684,416,7892,5,105,175,60,22,24,25,8,5,438,9872,10858,27378,21089,20008,19621,16618,9300,3054,137797,3492,716,1863,1103,935,1654,1044,365,134,11304,2366,377,512,409,363,633,618,224,65,5572
RA62,2263,254,246,235,373,774,589,216,50,4998,829,130,90,86,144,285,348,120,30,2060,572,419,384,327,444,798,895,397,85,4323,206,315,519,433,772,1422,2998,2005,414,9091,242,308,492,446,746,1264,2349,1384,468,7698,388,395,507,458,636,987,1470,793,205,5847,229,617,770,558,667,933,1076,585,133,5570,136,779,1361,983,1116,1383,886,333,80,7049,60,627,1740,1373,1632,1745,900,229,30,8344,15,294,1169,1147,1231,1206,419,120,14,5618,4,153,919,1061,1072,1074,350,98,29,4755,4,77,582,794,825,765,209,32,3,3289,0,60,689,1037,1258,1011,244,36,9,4355,0,7,93,169,208,179,73,20,4,755,6,11,82,249,339,350,153,56,5,1263,454,310,740,669,834,947,994,634,297,5873,3,19,50,37,15,8,11,3,5,154,5411,4779,10423,10073,12329,15127,13967,7075,1853,81042,1855,200,556,527,740,1537,700,195,73,6377,1148,129,262,272,341,553,384,152,36,3279
RA63,41,6,3,9,11,56,33,7,0,169,15,7,0,3,16,15,13,9,0,77,9,14,18,19,33,45,55,26,0,210,10,9,17,25,45,78,141,77,11,413,8,12,18,22,53,70,155,61,16,410,16,13,30,20,34,48,78,31,12,269,7,14,32,26,19,47,49,24,7,237,9,25,83,38,28,64,50,11,0,315,0,8,89,62,53,72,49,11,0,350,6,15,40,47,35,55,16,4,0,223,0,15,50,48,58,67,21,7,4,264,4,11,41,23,45,42,15,0,0,179,0,5,71,83,92,72,21,4,0,351,0,5,10,23,27,20,5,0,0,81,0,0,9,19,34,36,7,0,0,121,27,41,78,72,64,94,65,43,25,511,0,5,14,5,0,0,0,0,0,27,150,207,620,537,648,877,775,317,71,4216,35,10,33,37,37,97,30,9,3,297,19,4,6,15,11,27,17,0,3,101
RA64,6,0,0,4,3,3,8,5,0,42,8,0,0,0,8,0,5,4,0,22,4,0,3,3,6,7,10,8,0,38,3,6,4,8,3,9,32,24,0,92,0,0,0,3,5,20,30,23,3,88,3,0,3,7,4,13,15,14,4,60,4,3,0,11,8,10,21,7,4,75,3,10,16,16,16,23,8,10,0,100,0,6,26,22,20,25,23,9,0,135,0,4,20,18,11,10,18,0,0,78,0,0,11,13,15,13,17,3,0,69,0,0,8,6,10,13,4,0,0,43,0,0,13,19,20,16,7,0,0,89,0,0,0,3,4,4,5,0,0,16,0,0,5,8,9,5,3,5,0,33,0,8,17,19,16,11,21,9,8,117,0,0,0,0,0,0,0,0,0,6,42,33,142,155,156,193,232,119,21,1099,3,0,3,3,6,23,12,7,0,60,3,0,4,0,3,4,3,3,0,22
RA65,0,0,0,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,3,0,0,0,14,0,0,0,5,0,0,0,0,0,13,0,0,19,14,15,9,0,0,0,45,0,0,3,11,7,4,0,0,0,25,0,0,3,4,3,3,0,0,0,19,0,0,17,15,22,22,5,0,0,72,0,0,5,8,3,3,0,0,0,19,0,0,3,7,11,5,0,0,0,25,0,0,0,0,15,12,3,0,0,34,0,0,3,3,0,0,0,0,0,8,0,9,58,67,71,63,25,4,0,296,4,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
RA72,1543,316,357,233,226,442,450,140,37,3739,639,88,86,49,67,92,146,40,11,1220,358,225,193,131,142,209,268,152,30,1702,164,206,302,240,279,340,718,379,56,2685,132,237,287,190,246,337,686,349,73,2529,209,296,417,223,205,318,594,231,36,2536,151,379,590,325,234,325,425,157,35,2624,147,577,1205,621,507,544,494,153,21,4263,119,763,1895,1143,864,831,485,142,16,6259,51,685,1608,1120,837,670,346,68,11,5389,16,325,1584,1287,955,744,278,65,11,5270,5,142,1024,1098,887,615,207,39,0,4017,6,103,1458,2145,1941,1283,363,53,8,7360,0,9,250,511,514,365,107,11,0,1768,0,18,227,647,823,614,218,36,3,2590,431,754,1891,1473,1288,1111,843,268,60,8120,89,1098,510,158,68,72,37,13,0,2046,4057,6224,13877,11580,10083,8915,6668,2294,399,64106,1373,273,894,711,480,816,532,156,36,5268,792,96,173,180,108,156,180,42,5,1733
RA73,514,76,98,69,76,158,158,34,4,1191,230,92,134,121,92,81,66,19,7,839,190,175,337,265,207,167,155,39,10,1535,52,85,160,151,140,173,298,132,13,1193,48,42,85,97,107,177,328,126,18,1032,47,53,126,111,92,152,275,97,15,979,40,105,168,128,105,141,192,52,4,934,57,189,359,208,157,217,193,50,8,1443,28,162,561,347,278,346,196,37,3,1958,11,136,457,352,267,284,155,24,0,1678,3,79,452,339,303,284,115,20,0,1590,0,33,304,303,257,240,93,7,0,1240,5,35,413,555,494,449,135,11,0,2096,0,3,76,116,123,139,40,10,0,507,3,0,82,182,182,212,75,9,0,741,244,272,784,670,590,581,512,134,19,3809,0,12,58,12,11,14,13,5,0,121,1465,1541,4656,4020,3490,3804,3007,804,99,22889,370,56,205,149,135,320,167,39,7,1447,257,89,164,155,116,115,95,18,17,1033
RA74,655,126,93,49,53,73,90,24,0,1156,243,182,248,182,127,73,60,11,5,1133,456,695,1126,755,566,324,195,43,15,4170,89,189,393,323,247,217,247,76,8,1784,20,57,152,157,178,175,232,63,10,1042,32,74,155,136,131,128,144,37,4,856,43,80,140,116,96,121,134,24,0,754,39,96,208,101,103,123,94,23,3,795,25,99,224,154,135,188,140,14,0,977,7,59,198,160,142,123,88,18,0,795,4,29,185,149,146,135,69,12,0,735,3,22,136,128,138,118,59,14,0,630,0,34,289,358,316,283,73,8,0,1362,0,8,73,91,84,74,23,3,0,363,0,3,42,127,98,119,43,8,0,444,345,381,949,759,722,619,344,91,6,4204,6,69,70,31,13,12,8,0,0,227,1971,2213,4669,3787,3301,2908,2048,468,47,21416,531,55,97,61,47,167,85,10,0,1066,214,178,242,205,166,147,70,9,4,1241
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,4,0,4,0,0,9,6,0,4,0,0,0,0,0,0,18,0,5,7,4,3,0,0,0,0,16,0,3,0,0,3,3,0,0,0,14,0,0,4,3,5,4,5,0,0,19,0,0,6,6,3,6,0,0,0,13,0,3,7,14,22,17,0,0,0,67,0,0,0,6,8,11,0,0,0,23,0,0,9,27,26,18,5,0,0,77,4,3,19,41,40,34,7,0,0,144,0,0,0,0,0,0,0,0,0,12,10,17,54,106,117,96,22,4,0,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA80,5590,1411,1097,628,598,739,814,294,90,11266,2739,562,249,155,149,208,308,130,41,4536,1511,1140,514,328,355,386,583,368,117,5307,579,1195,827,487,538,676,1123,1019,312,6748,456,1088,944,560,559,686,1136,832,386,6655,628,1511,1538,718,540,649,943,678,227,7435,476,1652,1929,860,624,729,1029,707,237,8238,423,2104,3223,1589,1146,1110,1399,843,270,12098,188,2157,5111,2605,1871,1844,1708,909,246,16645,74,1654,4872,2688,1812,1659,1514,697,183,15151,34,918,4927,3329,2251,1866,1414,591,130,15463,6,311,3508,3531,2429,1755,947,306,76,12866,8,255,5817,9046,7388,4324,1433,413,93,28783,0,37,821,2150,2006,1233,377,79,25,6733,9,37,1014,3940,4392,2794,746,177,50,13156,690,1173,2211,1571,1119,866,689,545,375,9239,19,50,88,100,72,60,65,22,5,493,13435,17260,38687,34286,27852,21577,16238,8610,2861,180815,4562,1077,2078,1836,1318,1855,1334,490,133,14685,3123,591,451,466,412,596,738,377,104,6860
RA81,10,0,0,0,0,3,6,0,0,18,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,4,0,0,7,0,0,0,0,5,3,4,0,0,10,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,5,0,0,7,3,0,0,0,0,0,3,0,0,7,3,5,9,0,3,3,0,0,0,24,0,0,10,4,3,5,3,0,0,28,0,6,6,3,3,4,0,0,0,27,0,0,6,6,9,7,0,0,0,34,0,0,8,11,0,5,0,0,0,19,0,0,7,16,9,5,0,0,0,35,0,0,0,3,0,0,0,0,0,10,0,0,0,3,5,6,0,0,0,16,3,0,3,0,0,5,5,0,0,27,0,0,0,0,0,0,0,0,0,0,26,22,48,52,45,40,34,4,3,271,8,0,3,5,5,0,3,0,0,19,3,0,0,0,0,0,0,0,0,7
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,6,0,0,0,0,0,3,3,0,0,10,0,0,0,0,3,0,3,0,0,9,5,0,4,0,3,0,0,0,0,14,4,0,0,0,0,0,0,0,0,3,6,7,5,0,0,0,0,0,0,18,8,15,17,4,0,0,0,0,0,43,0,5,8,4,0,0,0,0,0,16,0,6,13,5,3,0,0,0,0,17,0,0,4,3,0,0,0,0,0,15,0,0,4,5,3,5,0,0,0,15,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,6,3,0,10,9,10,8,9,3,0,49,0,5,0,0,0,0,0,0,0,6,31,35,60,26,25,19,16,10,0,226,6,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3
RA94,17,3,0,3,6,11,15,13,0,71,18,0,3,4,5,6,10,3,0,52,6,3,0,4,0,10,16,11,0,50,0,3,4,5,6,10,39,27,6,100,4,3,0,4,0,12,40,22,6,100,5,4,8,8,5,21,24,9,5,93,5,6,16,16,19,32,26,11,0,134,0,13,23,23,38,47,16,6,4,162,0,15,41,33,37,48,17,0,0,197,4,4,27,24,26,27,17,0,0,121,0,4,28,25,22,30,23,0,0,129,0,4,12,27,27,25,19,0,0,113,0,4,25,46,43,50,17,0,0,187,0,0,10,9,13,14,10,0,0,48,0,0,6,3,13,16,7,4,0,57,15,45,186,112,95,75,58,30,0,611,0,0,3,0,3,3,0,0,0,13,79,114,390,338,364,432,350,139,30,2240,24,8,11,5,14,32,22,6,0,127,30,5,0,10,9,13,19,4,0,75
