RA_CODE_2021,M_15_19_Mgrs,M_15_19_Profnls,M_15_19_Techs_trades_workers,M_15_19_Comm_psnl_serv_wrkrs,M_15_19_Cler_admin_wrkrs,M_15_19_Sales_wrkrs,M_15_19_Mach_oper_dvrs,M_15_19_Labrs,M_15_19_Inad_desc_Ns,M_15_19_Tot,M_20_24_Mgrs,M_20_24_Profnls,M_20_24_Techs_trades_wrkrs,M_20_24_Comm_psnl_serv_wrkrs,M_20_24_Cler_admin_wrkrs,M_20_24_Sales_wrkrs,M_20_24_Mach_oper_dvrs,M_20_24_Labrs,M_20_24_Inad_desc_Ns,M_20_24_Tot,M_25_34_Mgrs,M_25_34_Profnls,M_25_34_Techs_trades_wrkrs,M_25_34_Comm_psnl_serv_wrkrs,M_25_34_Cler_admin_wrkrs,M_25_34_Sales_wrkrs,M_25_34_Mach_oper_dvrs,M_25_34_Labrs,M_25_34_Inad_desc_Ns,M_25_34_Tot,M_35_44_Mgrs,M_35_44_Profnls,M_35_44_Techs_trades_wrkrs,M_35_44_Comm_psnl_serv_wrkrs,M_35_44_Cler_admin_wrkrs,M_35_44_Sales_wrkrs,M_35_44_Mach_oper_dvrs,M_35_44_Labrs,M_35_44_Inad_desc_Ns,M_35_44_Tot,M_45_54_Mgrs,M_45_54_Profnls,M_45_54_Techs_trades_wrkrs,M_45_54_Comm_psnl_serv_wrkrs,M_45_54_Cler_admin_wrkrs,M_45_54_Sales_wrkrs,M_45_54_Mach_oper_dvrs,M_45_54_Labrs,M_45_54_Inad_desc_Ns,M_45_54_Tot,M_55_64_Mgrs,M_55_64_Profnls,M_55_64_Techs_trades_wrkrs,M_55_64_Comm_psnl_serv_wrkrs,M_55_64_Cler_admin_wrkrs,M_55_64_Sales_wrkrs,M_55_64_Mach_oper_dvrs,M_55_64_Labrs,M_55_64_Inad_desc_Ns,M_55_64_Tot,M_65_74_Mgrs,M_65_74_Profnls,M_65_74_Techs_trades_wrkrs,M_65_74_Comm_psnl_serv_wrkrs,M_65_74_Cler_admin_wrkrs,M_65_74_Sales_wrkrs,M_65_74_Mach_oper_dvrs,M_65_74_Labrs,M_65_74_Inad_desc_Ns,M_65_74_Tot,M_75_84_Mgrs,M_75_84_Profnls,M_75_84_Techs_trades_wrkrs,M_75_84_Comm_psnl_serv_wrkrs,M_75_84_Cler_admin_wrkrs,M_75_84_Sales_wrkrs,M_75_84_Mach_oper_dvrs,M_75_84_Labrs,M_75_84_Inad_desc_Ns,M_75_84_Tot,M_85_yr_over_Mgrs,M_85_yr_over_Profnls,M_85ov_Techs_trades_wrkrs,M_85ov_Com_psnl_serv_wrkrs,M_85_yr_over_Cler_admin_wrkrs,M_85_yr_over_Sales_wrkrs,M_85_yr_over_Mach_oper_dvrs,M_85_yr_over_Labrs,M_85_yr_over_Inad_desc_Ns,M_85_yr_over_Tot,M_Tot_Mgrs,M_Tot_Profnls,M_Tot_Techs_trades_wrkrs,M_Tot_Comm_psnl_serv_wrkrs,M_Tot_Cler_admin_wrkrs,M_Tot_Sales_wrkrs,M_Tot_Mach_oper_dvrs,M_Tot_Labrs,M_Tot_Inad_desc_Ns,M_Tot_Tot,F_15_19_Mgrs,F_15_19_Profnls,F_15_19_Techs_trades_workers,F_15_19_Comm_psnl_serv_wrkrs,F_15_19_Cler_admin_wrkrs,F_15_19_Sales_wrkrs,F_15_19_Mach_oper_dvrs,F_15_19_Labrs,F_15_19_Inad_desc_Ns,F_15_19_Tot,F_20_24_Mgrs,F_20_24_Profnls,F_20_24_Techs_trades_wrkrs,F_20_24_Comm_psnl_serv_wrkrs,F_20_24_Cler_admin_wrkrs,F_20_24_Sales_wrkrs,F_20_24_Mach_oper_dvrs,F_20_24_Labrs,F_20_24_Inad_desc_Ns,F_20_24_Tot,F_25_34_Mgrs,F_25_34_Profnls,F_25_34_Techs_trades_wrkrs,F_25_34_Comm_psnl_serv_wrkrs,F_25_34_Cler_admin_wrkrs,F_25_34_Sales_wrkrs,F_25_34_Mach_oper_dvrs,F_25_34_Labrs,F_25_34_Inad_desc_Ns,F_25_34_Tot,F_35_44_Mgrs,F_35_44_Profnls,F_35_44_Techs_trades_wrkrs,F_35_44_Comm_psnl_serv_wrkrs,F_35_44_Cler_admin_wrkrs,F_35_44_Sales_wrkrs,F_35_44_Mach_oper_dvrs,F_35_44_Labrs,F_35_44_Inad_desc_Ns,F_35_44_Tot,F_45_54_Mgrs,F_45_54_Profnls,F_45_54_Techs_trades_wrkrs,F_45_54_Comm_psnl_serv_wrkrs,F_45_54_Cler_admin_wrkrs,F_45_54_Sales_wrkrs,F_45_54_Mach_oper_dvrs,F_45_54_Labrs,F_45_54_Inad_desc_Ns,F_45_54_Tot,F_55_64_Mgrs,F_55_64_Profnls,F_55_64_Techs_trades_wrkrs,F_55_64_Comm_psnl_serv_wrkrs,F_55_64_Cler_admin_wrkrs,F_55_64_Sales_wrkrs,F_55_64_Mach_oper_dvrs,F_55_64_Labrs,F_55_64_Inad_desc_Ns,F_55_64_Tot,F_65_74_Mgrs,F_65_74_Profnls,F_65_74_Techs_trades_wrkrs,F_65_74_Comm_psnl_serv_wrkrs,F_65_74_Cler_admin_wrkrs,F_65_74_Sales_wrkrs,F_65_74_Mach_oper_dvrs,F_65_74_Labrs,F_65_74_Inad_desc_Ns,F_65_74_Tot,F_75_84_Mgrs,F_75_84_Profnls,F_75_84_Techs_trades_wrkrs,F_75_84_Comm_psnl_serv_wrkrs,F_75_84_Cler_admin_wrkrs,F_75_84_Sales_wrkrs,F_75_84_Mach_oper_dvrs,F_75_84_Labrs,F_75_84_Inad_desc_Ns,F_75_84_Tot,F_85_yr_over_Mgrs,F_85_yr_over_Profnls,F_85_yr_over_Techs_tra_wrkrs,F_85ov_Com_psnl_serv_wrkrs,F_85ov_Cler_admin_wrkrs,F_85_yr_over_Sales_wrkrs,F_85_yr_over_Mach_oper_dvrs,F_85_yr_over_Labrs,F_85_yr_over_Inad_desc_Ns,F_85_yr_over_Tot,F_Tot_Mgrs,F_Tot_Profnls,F_Tot_Techs_trades_wrkrs,F_Tot_Comm_psnl_serv_wrkrs,F_Tot_Cler_admin_wrkrs,F_Tot_Sales_wrkrs,F_Tot_Mach_oper_dvrs,F_Tot_Labrs,F_Tot_Inad_desc_Ns,F_Tot_Tot
RA10,1005,2356,13856,5488,2049,12602,4017,16926,982,59282,6196,20821,31042,14152,10114,15920,11466,18205,2917,130827,41442,102611,68130,22015,25092,20724,28834,28401,7892,345148,72684,104930,55243,16296,24997,16225,28643,20606,7261,346882,66614,70605,46271,13595,20468,13304,30009,20812,5713,287393,41651,46154,34878,9752,15404,10171,27754,19433,3754,208948,11062,17186,8198,2676,4683,3478,7008,5649,1215,61151,1896,2977,775,257,579,611,542,635,414,8688,201,211,47,13,44,54,11,39,125,751,242757,367858,258429,84250,103435,93093,138276,130709,30272,1449074,943,3361,2158,14882,5008,27269,1219,7076,881,62793,6359,29098,6159,32263,22378,21778,2678,6657,2218,129596,37648,135171,13971,44873,55867,23507,4976,12021,6115,334148,51078,115739,11271,35241,63778,19236,4229,11312,5660,317550,42752,81830,9407,35155,65757,18939,4724,14301,4045,276910,21472,49572,6366,25611,50723,14297,3904,13890,2493,188329,4320,13212,1369,5080,13875,3392,766,3157,828,45997,469,1182,110,314,1483,375,50,233,294,4510,49,56,11,16,78,35,0,13,105,355,165098,429210,50815,193422,278958,128830,22549,68658,22642,1360180
RA11,494,279,6673,2071,390,4863,1163,7172,474,23569,1409,1678,10705,3129,890,2723,2328,5432,551,28845,6686,8851,21014,5281,2312,3415,6881,9336,1250,65023,11566,10802,16751,4759,2715,2959,7696,7640,1370,66262,13989,11209,15296,5168,3439,3292,9580,8207,1479,71660,12527,9630,12736,4064,3328,3231,9941,8290,1194,64942,5784,4330,3337,1026,1148,1288,3052,2539,490,22992,1740,690,320,73,186,206,337,361,242,4162,220,38,20,7,9,22,11,23,81,434,54410,47515,86864,25581,14416,21997,40979,48993,7138,347902,322,494,1112,6533,1327,9679,219,3286,408,23377,1174,3606,1869,9063,3812,4592,417,2377,428,27338,5376,18605,3884,13108,10343,5594,844,4345,930,63020,8287,19713,3295,11636,13042,5000,785,4414,1020,67192,9919,18701,3318,12949,16804,6006,973,5439,1122,75226,7403,14796,2378,11049,15215,5621,835,5697,804,63801,2626,4146,576,2225,4211,1471,198,1357,340,17156,646,267,46,133,442,119,14,170,215,2054,64,7,8,3,24,10,3,12,59,198,35818,80329,16475,66701,65218,38091,4299,27090,5337,339359
RA12,196,42,1496,270,43,880,314,1628,144,5015,491,299,2175,503,135,471,826,1611,144,6666,2405,1547,4157,939,383,623,2291,2920,336,15598,3633,1505,3428,691,386,549,2387,2158,336,15073,4793,1678,3162,850,555,677,2821,2438,371,17350,5486,1563,2914,823,691,703,3189,2592,374,18329,3536,766,838,223,267,262,1062,881,187,8023,1219,123,96,20,29,52,127,147,106,1922,214,15,6,0,6,6,8,14,29,290,21984,7532,18270,4317,2505,4212,13023,14392,2032,88266,83,83,252,1321,292,1720,90,839,126,4810,243,745,430,1716,776,828,208,768,96,5805,1208,3797,859,2782,2200,1249,336,1565,229,14235,2033,3678,725,2516,2784,1092,229,1403,217,14675,2836,3643,769,2951,3477,1366,268,1686,236,17230,2848,3152,618,2799,3442,1300,263,1890,244,16554,1717,875,173,574,1075,355,84,457,148,5459,498,61,17,29,141,32,14,85,84,972,68,0,7,0,11,0,0,8,18,103,11536,16039,3842,14690,14202,7951,1491,8697,1396,79841
RA13,23,0,72,9,0,21,32,93,11,259,62,24,113,35,7,8,85,139,10,478,301,104,287,62,23,17,229,257,24,1314,362,93,205,48,11,27,173,158,16,1094,502,78,170,43,28,15,237,149,14,1241,557,69,192,32,33,32,236,199,31,1385,337,28,57,10,13,19,92,74,14,629,104,5,4,0,0,4,9,11,8,148,23,0,0,0,0,0,0,5,3,30,2263,401,1109,244,128,149,1090,1071,132,6583,8,5,10,82,18,50,5,52,9,240,16,58,17,110,47,39,28,53,3,376,108,291,38,196,180,65,54,136,15,1091,177,219,40,170,165,46,26,92,29,962,266,216,46,164,207,53,28,123,14,1111,282,167,26,166,191,54,30,125,9,1052,147,36,9,31,71,21,8,29,7,360,49,4,0,3,17,0,0,3,13,90,3,0,0,0,0,0,0,0,0,5,1042,1000,188,921,897,331,185,620,98,5288
RA14,5,0,21,0,0,0,0,18,0,57,10,6,33,9,3,0,15,37,5,122,53,22,49,34,11,3,44,54,8,279,80,25,57,23,7,5,35,32,8,257,97,23,41,24,10,3,38,47,11,292,132,33,50,12,17,4,53,47,3,358,83,13,11,5,0,0,19,19,0,159,23,0,0,0,0,6,4,7,5,44,4,0,0,0,0,0,0,0,0,4,489,123,263,116,52,29,213,258,40,1575,0,0,0,20,5,8,0,3,3,39,9,26,0,29,13,7,3,21,0,107,21,94,11,60,55,7,3,37,4,288,40,54,10,42,35,14,6,23,0,230,61,60,10,42,44,12,0,27,8,271,76,56,7,41,40,20,5,29,11,276,45,19,5,11,14,6,0,11,0,105,7,0,0,0,3,0,0,0,0,21,3,0,0,0,0,0,0,0,0,3,268,308,46,244,211,62,19,156,29,1335
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,13,0,0,16,0,0,0,0,0,0,7,0,0,10,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
RA20,727,1261,9095,6219,1713,12224,2536,15915,914,50609,4986,15120,29479,13015,9059,15545,10587,18181,2865,118835,34413,88382,70092,21259,24324,18480,29406,29667,7720,323752,61243,87878,55024,14616,21945,14141,27330,20921,6794,309900,56379,57587,44828,11825,17111,11814,25564,20019,5174,250295,35416,37138,31901,8518,12833,8537,22847,16873,3362,177429,9506,13891,7657,2214,3923,2943,5739,5161,1109,52139,1599,2283,780,220,487,522,379,748,311,7328,145,142,37,17,35,43,14,53,97,584,204417,303686,248904,77890,91429,84245,124401,127533,28353,1290862,738,1617,1330,13045,3365,27769,697,6735,781,56075,5313,21538,5718,28427,18057,24696,2493,7657,2056,115958,30156,119230,15293,44868,48367,21712,4773,13459,5639,303491,40844,100482,11937,36926,50911,16185,3995,11441,5060,277784,35379,68052,9662,34137,53516,16677,4790,13648,3828,239692,17390,39727,5786,23530,41000,12444,3501,12207,2173,157757,3637,10046,1191,4738,10641,2944,617,3107,680,37601,425,859,81,280,928,266,48,358,258,3501,29,52,3,4,35,12,0,10,92,246,133911,361604,51004,185963,226815,122701,20915,68632,20555,1192104
RA21,419,189,4535,1452,256,3645,665,5667,383,17200,1381,1409,8458,2088,811,2085,1776,4510,459,22967,5964,7900,16848,3771,2060,2650,5048,7913,1114,53267,10469,9300,13895,3202,2395,2222,5481,6471,1038,54470,12595,8798,12695,3602,2776,2633,7378,6759,1234,58467,11190,7422,10345,3001,2691,2400,7932,6509,1084,52575,5377,3306,2598,834,1000,965,2375,2145,449,19042,1697,456,228,67,134,160,176,283,207,3406,231,20,11,5,6,13,9,17,62,369,49316,38795,69607,18031,12116,16773,30832,40276,6020,281765,261,189,682,4270,878,7903,164,2733,338,17416,987,2865,1533,6580,2969,3964,341,2186,331,21751,4206,16090,3359,10270,8009,4161,582,3777,711,51155,6617,17063,2905,9067,10259,3691,526,3741,749,54615,8002,14998,2747,10439,12846,4768,775,4889,813,60284,6115,11387,2069,8862,11553,4331,757,5130,652,50857,2578,2977,430,1773,2975,983,158,1292,309,13471,629,181,29,83,259,75,13,154,141,1561,60,13,6,5,22,4,0,3,60,174,29459,65747,13762,51344,49764,29859,3326,23917,4105,271283
RA22,160,27,876,216,34,676,165,1095,74,3323,407,215,1538,359,90,409,438,1041,96,4598,1775,1284,2839,769,291,542,1149,2063,278,10992,2608,1235,2288,570,299,443,1183,1519,265,10400,3228,1272,2143,631,405,520,1524,1620,285,11621,3625,1191,2109,597,497,555,1967,1771,287,12601,2152,551,579,164,212,210,609,591,121,5181,726,79,61,20,22,35,56,87,79,1164,109,0,4,0,6,3,4,18,24,168,14783,5849,12437,3332,1841,3393,7098,9810,1507,60040,65,40,117,796,150,1366,42,588,67,3232,191,534,286,1224,539,650,115,518,82,4132,893,2999,572,2016,1370,828,132,1149,171,10134,1439,2706,530,1698,1791,741,104,977,166,10155,1954,2544,514,2174,2317,1010,145,1204,181,12056,1903,2252,413,2102,2248,1007,164,1391,166,11658,1012,568,97,448,664,228,31,371,100,3500,267,35,10,21,63,10,4,53,66,530,21,0,0,0,7,0,4,4,17,60,7744,11674,2536,10472,9144,5856,738,6258,1023,55453
RA23,4,0,6,0,0,0,3,13,0,25,6,0,3,3,0,0,8,16,0,34,33,9,15,3,0,0,19,15,4,93,65,10,7,9,0,0,21,12,0,126,53,10,9,0,0,3,22,14,0,119,79,17,16,4,7,3,31,24,0,187,76,7,3,0,4,4,7,16,0,124,20,0,0,0,0,0,0,0,4,32,3,0,0,0,0,0,0,0,0,4,336,54,64,25,17,17,106,111,17,744,0,0,0,4,3,0,3,5,0,17,0,7,5,5,0,0,0,3,0,26,6,28,0,20,11,10,3,9,0,89,18,28,5,24,19,5,4,17,0,122,29,23,3,14,29,3,0,7,3,111,35,29,9,32,22,5,4,15,5,163,35,0,0,5,9,0,0,10,0,64,11,0,0,0,4,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,135,122,19,109,99,38,16,63,13,605
