RA_CODE_2021,M_Emp_wrk_Ft_15_19,M_Emp_wrk_Ft_20_24,M_Emp_wrk_Ft_25_34,M_Emp_wrk_Ft_35_44,M_Emp_wrk_Ft_45_54,M_Emp_wrk_Ft_55_64,M_Emp_wrk_Ft_65_74,M_Emp_wrk_Ft_75_84,M_Emp_wrk_Ft_85_yr_over,M_Emp_wrk_Ft_Tot,M_Emp_wrk_Pt_15_19,M_Emp_wrk_Pt_20_24,M_Emp_wrk_Pt_25_34,M_Emp_wrk_Pt_35_44,M_Emp_wrk_Pt_45_54,M_Emp_wrk_Pt_55_64,M_Emp_wrk_Pt_65_74,M_Emp_wrk_Pt_75_84,M_Emp_wrk_Pt_85_yr_over,M_Emp_wrk_Pt_Tot,M_Emp_a_f_wrk_15_19,M_Emp_a_f_wrk_20_24,M_Emp_a_f_wrk_25_34,M_Emp_a_f_wrk_35_44,M_Emp_a_f_wrk_45_54,M_Emp_a_f_wrk_55_64,M_Emp_a_f_wrk_65_74,M_Emp_a_f_wrk_75_84,M_Emp_a_f_wrk_85_yr_over,M_Emp_a_f_wrk_Tot,M_Hr_wrk_ns_15_19,M_Hr_wrk_ns_20_24,M_Hr_wrk_ns_25_34,M_Hr_wrk_ns_35_44,M_Hr_wrk_ns_45_54,M_Hr_wrk_ns_55_64,M_Hr_wrk_ns_65_74,M_Hr_wrk_ns_75_84,M_Hr_wrk_ns_85_yr_over,M_Hr_wrk_ns_Tot,M_Tot_emp_15_19,M_Tot_emp_20_24,M_Tot_emp_25_34,M_Tot_emp_35_44,M_Tot_emp_45_54,M_Tot_emp_55_64,M_Tot_emp_65_74,M_Tot_emp_75_84,M_Tot_emp_85_yr_over,M_Tot_emp_Tot,M_UE_lk_fr_Ft_wrk_15_19,M_UE_lk_fr_Ft_wrk_20_24,M_UE_lk_fr_Ft_wrk_25_34,M_UE_lk_fr_Ft_wrk_35_44,M_UE_lk_fr_Ft_wrk_45_54,M_UE_lk_fr_Ft_wrk_55_64,M_UE_lk_fr_Ft_wrk_65_74,M_UE_lk_fr_Ft_wrk_75_84,M_UE_lk_for_Ft_wrk_85_over,M_UE_looking_for_Ft_wk_Tot,M_UE_lk_for_Pt_wk_15_19,M_UE_lk_for_Pt_wk_20_24,M_UE_lk_for_Pt_wk_25_34,M_UE_lk_for_Pt_wk_35_44,M_UE_lk_for_Pt_wk_45_54,M_UE_lk_for_Pt_wk_55_64,M_UE_lk_for_Pt_wk_65_74,M_UE_lk_for_Pt_wk_75_84,M_UE_looking_for_Pt_wk_85_ov,M_UE_lk_for_Pt_wrk_Tot,M_Tot_unemp_15_19,M_Tot_unemp_20_24,M_Tot_unemp_25_34,M_Tot_unemp_35_44,M_Tot_unemp_45_54,M_Tot_unemp_55_64,M_Tot_unemp_65_74,M_Tot_unemp_75_84,M_Tot_unemp_85_yr_over,M_Tot_unemp_Total,M_Tot_LF_15_19_yr,M_Tot_LF_20_24_yr,M_Tot_LF_25_34_yr,M_Tot_LF_35_44_yr,M_Tot_LF_45_54_yr,M_Tot_LF_55_64_yr,M_Tot_LF_65_74_yr,M_Tot_LF_75_84_yr,M_Tot_LF_85_yr_over,M_Tot_LF_Tot,M_NILF_15_19_yr,M_NILF_20_24_yr,M_NILF_25_34_yr,M_NILF_35_44_yr,M_NILF_45_54_yr,M_NILF_55_64_yr,M_NILF_65_74_yr,M_NILF_75_84_yr,M_NILF_85_yr_over,M_NILF_Tot,M_LF_st_ns_15_19,M_LF_st_ns_20_24,M_LF_st_ns_25_34,M_LF_st_ns_35_44,M_LF_st_ns_45_54,M_LF_st_ns_55_64,M_LF_st_ns_65_74,M_LF_st_ns_75_84,M_LF_st_ns_85_yr_over,M_LF_st_ns_Total,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Emp_wrk_Ft_15_19,F_Emp_wrk_Ft_20_24,F_Emp_wrk_Ft_25_34,F_Emp_wrk_Ft_35_44,F_Emp_wrk_Ft_45_54,F_Emp_wrk_Ft_55_64,F_Emp_wrk_Ft_65_74,F_Emp_wrk_Ft_75_84,F_Emp_wrk_Ft_85_yr_over,F_Emp_wrk_Ft_Tot,F_Emp_wrk_Pt_15_19,F_Emp_wrk_Pt_20_24,F_Emp_wrk_Pt_25_34,F_Emp_wrk_Pt_35_44,F_Emp_wrk_Pt_45_54,F_Emp_wrk_Pt_55_64,F_Emp_wrk_Pt_65_74,F_Emp_wrk_Pt_75_84,F_Emp_wrk_Pt_85ov,F_Emp_wrk_Pt_Tot,F_Emp_a_f_wrk_15_19,F_Emp_a_f_wrk_20_24,F_Emp_a_f_wrk_25_34,F_Emp_a_f_wrk_35_44,F_Emp_a_f_wrk_45_54,F_Emp_a_f_wrk_55_64,F_Emp_a_f_wrk_65_74,F_Emp_a_f_wrk_75_84,F_Emp_a_f_wrk_85ov,F_Emp_a_f_wrk_Tot,F_Hr_wrk_ns_15_19,F_Hr_wrk_ns_20_24,F_Hr_wrk_ns_25_34,F_Hr_wrk_ns_35_44,F_Hr_wrk_ns_45_54,F_Hr_wrk_ns_55_64,F_Hr_wrk_ns_65_74,F_Hr_wrk_ns_75_84,F_Hr_wrk_ns_85_yr_over,F_Hr_wrk_ns_Tot,F_Tot_emp_15_19_yr,F_Tot_emp_20_24_yr,F_Tot_emp_25_34_yr,F_Tot_emp_35_44_yr,F_Tot_emp_45_54_yr,F_Tot_emp_55_64_yr,F_Tot_emp_65_74_yr,F_Tot_emp_75_84_yr,F_Tot_emp_85_yr_over,F_Tot_emp_Tot,F_UE_lk_fr_Ft_wrk_15_19,F_UE_lk_fr_Ft_wrk_20_24,F_UE_lk_fr_Ft_wrk_25_34,F_UE_lk_fr_Ft_wrk_35_44,F_UE_lk_fr_Ft_wrk_45_54,F_UE_lk_fr_Ft_wrk_55_64,F_UE_lk_fr_Ft_wrk_65_74,F_UE_lk_fr_Ft_wrk_75_84,F_UE_lk_for_Ft_wrk_85_over,F_UE_looking_for_Ft_wk_Tot,F_UE_lk_for_Pt_wk_15_19,F_UE_lk_for_Pt_wk_20_24,F_UE_lk_for_Pt_wk_25_34,F_UE_lk_for_Pt_wk_35_44,F_UE_lk_for_Pt_wk_45_54,F_UE_lk_for_Pt_wk_55_64,F_UE_lk_for_Pt_wk_65_74,F_UE_lk_for_Pt_wk_75_84,F_UE_looking_for_Pt_wk_85_ov,F_UE_lk_for_Pt_wrk_Tot,F_Tot_unemp_15_19,F_Tot_unemp_20_24,F_Tot_unemp_25_34,F_Tot_unemp_35_44,F_Tot_unemp_45_54,F_Tot_unemp_55_64,F_Tot_unemp_65_74,F_Tot_unemp_75_84,F_Tot_unemp_85_yr_over,F_Tot_unemp_Total
RA62,884,2376,6120,6043,6800,6013,1401,174,17,29817,1201,787,1449,1343,1624,2337,1380,273,30,10430,96,108,295,312,417,543,160,25,5,1976,69,116,198,174,205,169,81,31,12,1058,2251,3391,8065,7869,9045,9065,3016,507,65,43273,182,340,432,273,357,325,40,3,0,1943,188,114,115,95,106,161,45,5,0,839,368,450,547,368,463,492,87,7,0,2783,2621,3839,8611,8235,9509,9553,3105,512,66,46058,2472,653,1101,1178,2085,4750,10005,6008,1539,29800,315,263,661,620,715,813,844,552,249,5035,5410,4758,10372,10033,12316,15117,13950,7077,1856,80890,346,1443,3087,3193,4203,3062,513,44,0,15888,1841,1478,3515,4200,4589,4778,1209,150,6,21777,98,161,634,393,407,533,130,23,0,2389,68,70,124,104,167,100,48,27,4,719,2350,3148,7363,7886,9372,8478,1903,250,16,40771,93,156,215,164,201,152,18,0,0,999,215,105,192,179,205,226,32,0,0,1172,315,260,411,345,404,376,50,3,0,2171
RA63,33,93,336,293,319,322,71,10,0,1494,29,26,85,57,67,116,78,12,0,463,3,9,26,26,36,35,14,0,0,150,0,3,10,10,3,6,0,3,0,48,70,133,467,385,425,478,164,31,0,2156,7,13,7,17,24,26,0,0,0,95,0,6,8,4,4,13,3,0,0,36,7,18,15,21,29,35,8,0,0,130,73,150,487,405,450,518,176,31,0,2283,53,24,55,61,141,268,543,247,62,1445,25,28,71,60,59,85,63,40,16,453,150,200,606,531,652,868,778,317,75,4180,10,51,172,117,148,119,36,0,0,648,36,41,169,151,158,203,67,10,0,841,5,4,39,19,21,30,7,0,0,122,7,5,8,4,3,5,6,3,0,37,55,104,391,291,328,363,113,11,0,1653,4,0,16,9,12,25,6,0,0,73,3,9,9,3,3,23,5,0,0,54,7,10,21,13,14,43,11,0,0,124
RA64,11,25,86,97,92,94,58,9,0,475,14,6,18,25,27,45,46,16,0,192,3,0,3,8,7,3,4,0,0,28,0,0,5,3,0,5,0,0,0,19,31,27,110,128,121,147,108,30,7,704,0,0,0,4,8,6,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,4,8,6,0,0,0,20,31,32,116,129,121,152,115,27,7,729,6,0,8,8,13,31,94,75,15,264,4,0,18,12,20,8,17,11,0,101,42,33,139,155,156,193,229,115,21,1088,3,19,40,45,45,74,19,0,0,246,8,10,41,66,49,53,44,9,0,283,0,3,8,6,6,13,0,0,0,32,0,0,0,0,4,0,0,0,0,8,12,33,94,114,105,140,66,5,0,571,0,0,0,0,3,0,4,0,0,8,0,0,0,0,0,0,0,0,0,7,0,0,0,3,3,0,4,0,0,8
RA65,0,8,42,54,52,35,7,0,0,208,0,0,4,0,0,0,0,0,0,11,0,0,3,4,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,8,52,60,58,44,10,0,0,228,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,52,60,57,44,10,0,0,230,3,3,0,0,3,5,16,0,0,31,0,0,0,4,15,11,0,0,0,31,0,9,58,65,70,62,25,4,0,289,0,6,3,9,11,4,0,0,0,30,0,0,3,0,3,6,0,0,0,11,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,6,12,12,16,7,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA72,552,2467,7943,7268,6134,4142,1036,79,4,29637,1074,915,1696,1114,874,868,538,87,3,7160,68,113,425,431,460,520,184,15,0,2220,50,109,242,162,135,98,34,3,3,838,1754,3608,10301,8974,7605,5627,1787,179,14,39852,123,168,295,190,199,193,46,3,0,1218,179,82,95,48,45,71,37,7,0,558,301,245,391,242,244,266,83,5,0,1772,2058,3854,10695,9213,7843,5895,1870,187,18,41625,1578,696,1217,1024,1036,1890,3969,1864,337,13617,331,576,1455,1187,1135,1063,789,236,43,6815,3969,5127,13365,11420,10017,8842,6629,2289,397,62064,334,1710,6177,5567,5056,3133,572,36,0,22582,1373,1194,3082,2685,1837,1469,571,56,6,12270,66,155,852,588,424,513,159,9,0,2769,42,73,202,118,89,75,31,7,0,635,1821,3121,10312,8956,7407,5185,1333,108,4,38261,72,119,234,155,108,103,15,0,0,807,196,85,184,130,87,60,13,3,0,762,267,201,423,288,196,170,30,0,0,1571
RA73,184,607,2311,2021,1713,1490,388,33,0,8749,252,146,399,366,260,323,204,30,3,1975,17,34,168,177,194,321,123,8,0,1035,13,29,88,59,42,42,17,8,0,296,462,816,2967,2621,2210,2170,732,75,9,12062,24,60,106,87,71,53,4,0,0,419,42,19,47,27,20,18,12,0,0,194,72,83,150,113,95,73,23,0,0,613,534,895,3120,2737,2307,2250,758,78,9,12671,785,453,914,789,682,977,1782,596,84,7062,147,179,556,484,495,560,460,129,15,3029,1465,1528,4595,4010,3478,3787,3000,802,99,22762,148,491,2075,1467,1546,1170,245,14,0,7153,301,218,738,717,535,490,200,15,0,3215,22,54,309,233,241,326,72,0,0,1261,11,22,67,47,38,32,3,5,0,228,484,783,3193,2461,2353,2024,528,40,0,11856,21,50,96,65,45,35,3,0,0,310,36,34,60,46,37,32,8,0,0,250,54,81,151,108,78,68,10,0,0,557
RA74,144,433,1305,1199,1061,822,253,26,0,5244,67,125,269,266,190,186,76,14,0,1187,6,29,125,150,176,245,86,10,0,823,19,30,67,44,42,28,15,4,0,254,238,623,1763,1657,1473,1279,428,49,4,7511,109,159,277,171,107,48,4,0,0,870,42,45,79,64,31,24,7,0,0,293,152,194,359,234,138,72,15,5,0,1162,386,820,2116,1892,1608,1347,444,53,4,8675,1404,1013,1660,1209,1020,970,1265,345,37,8918,176,316,820,654,658,566,325,72,3,3600,1969,2141,4600,3753,3287,2893,2036,472,47,21186,149,392,1011,776,781,638,141,8,0,3892,102,148,414,468,308,224,98,12,0,1770,7,48,145,129,179,241,58,3,0,817,17,36,55,40,34,25,6,4,0,215,274,617,1636,1414,1295,1127,300,28,0,6689,89,109,208,150,94,28,9,0,4,687,39,53,72,56,39,15,0,0,0,282,130,160,285,208,132,42,15,0,4,972
RA75,5,8,24,60,64,54,6,0,0,215,0,0,3,5,3,4,0,0,0,12,0,0,0,0,4,0,0,0,0,11,0,0,7,0,0,0,0,0,0,12,3,12,33,60,75,60,4,0,0,249,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,13,33,59,75,63,4,0,0,253,0,0,0,0,0,3,8,4,0,29,4,5,15,41,43,33,7,0,0,136,10,17,51,101,111,97,19,4,0,414,0,10,3,6,4,0,0,0,0,21,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,12,4,6,4,3,4,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA80,1407,7049,25709,25315,20392,10971,2153,152,13,93156,4300,5233,5779,3830,2741,2812,1770,375,28,26884,311,377,818,815,674,628,211,29,8,3868,68,212,560,335,214,102,32,6,4,1547,6083,12873,32868,30302,24023,14516,4169,568,49,125452,206,489,816,553,465,357,67,3,0,2953,1082,544,344,159,121,162,85,12,0,2511,1290,1027,1164,707,585,518,151,18,0,5463,7374,13903,34033,31006,24607,15032,4323,586,56,130912,5464,2314,2685,1829,2224,5752,11294,7566,2545,41666,573,996,1888,1351,946,734,565,430,263,7740,13416,17208,38601,34185,27777,21517,16178,8586,2856,180321,782,6208,20442,17667,15999,8239,1101,44,0,70483,5612,6674,8985,9684,6515,4857,1850,220,21,44411,388,528,2192,1720,850,733,208,23,5,6628,58,173,391,196,145,77,29,11,0,1072,6839,13573,32004,29265,23511,13901,3186,294,29,122600,119,261,588,368,262,179,17,0,0,1793,1013,452,429,341,229,214,60,3,0,2740,1138,714,1020,705,494,395,80,3,0,4541
RA81,4,10,34,42,33,19,4,0,0,152,12,0,0,4,9,5,8,3,0,40,0,0,9,3,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,14,16,41,50,39,31,12,3,0,214,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,13,21,41,50,39,29,12,3,0,214,5,0,0,0,4,3,13,4,0,32,0,0,3,0,0,3,5,0,0,22,26,22,48,52,45,40,34,4,3,271,0,4,23,31,23,14,7,0,0,100,7,11,14,19,5,12,4,0,0,73,0,0,10,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,12,17,46,46,32,28,4,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA91,21,32,56,15,11,4,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,21,33,56,16,15,7,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,33,56,16,15,7,0,0,0,150,3,0,0,3,5,5,7,0,0,34,0,0,10,7,8,5,4,3,0,38,31,35,61,26,25,19,16,10,0,226,12,6,26,6,5,3,0,0,0,58,0,4,0,4,6,4,0,0,0,19,0,0,5,0,0,0,0,0,0,10,0,4,0,0,0,0,0,0,0,4,16,10,29,7,17,7,0,0,0,89,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA94,16,47,146,158,186,214,79,10,0,858,28,12,33,37,38,65,40,15,0,268,5,0,4,10,11,12,17,3,0,64,0,0,11,3,5,4,4,0,0,28,45,60,188,211,242,301,142,21,3,1218,0,0,0,5,0,0,0,0,0,11,0,0,0,5,0,4,0,0,0,12,0,6,0,3,0,8,0,0,0,25,47,66,193,216,246,310,138,28,0,1246,25,25,116,61,48,57,152,82,25,590,9,22,77,58,65,70,54,30,5,385,79,114,385,337,363,430,346,139,30,2220,0,37,100,119,155,128,41,0,0,587,48,30,65,89,76,111,57,17,0,486,4,3,12,8,14,18,13,0,0,70,0,3,0,0,4,5,0,0,0,16,56,73,179,218,251,262,106,20,0,1157,0,0,0,0,0,10,0,0,0,10,0,0,0,4,5,6,4,0,0,14,0,0,0,6,5,14,4,0,0,23
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
