RA_CODE_2021,M15_19_C_Own_chld_childr,M15_19_C_Oth_ch_chiln,M15_19_Ca_Ow_ch_ch_oth_ch_ch,M15_19_yr_C_for_Tot,M15_19_D_not_prov_ch_care,M15_19_U_ch_care_ns,M15_19_OS_vis,M15_19_yr_Tot,M20_24_C_Own_chld_childr,M20_24_C_Oth_ch_chiln,M20_24_Ca_Ow_ch_ch_oth_ch_ch,M20_24_yr_C_for_Tot,M20_24_D_not_prov_ch_care,M20_24_U_ch_care_ns,M20_24_OS_vis,M20_24_yr_Tot,M25_34_C_Own_chld_childr,M25_34_C_Oth_ch_chiln,M25_34_Ca_Ow_ch_ch_oth_ch_ch,M25_34_yr_C_for_Tot,M25_34_D_not_prov_ch_care,M25_34_U_ch_care_ns,M25_34_OS_vis,M25_34_yr_Tot,M35_44_C_Own_chld_childr,M35_44_C_Oth_ch_chiln,M35_44_Ca_Ow_ch_ch_oth_ch_ch,M35_44_yr_C_for_Tot,M35_44_D_not_prov_ch_care,M35_44_U_ch_care_ns,M35_44_OS_vis,M35_44_yr_Tot,M45_54_C_Own_chld_childr,M45_54_C_Oth_ch_chiln,M45_54_Ca_Ow_ch_ch_oth_ch_ch,M45_54_yr_C_for_Tot,M45_54_D_not_prov_ch_care,M45_54_U_ch_care_ns,M45_54_OS_vis,M45_54_yr_Tot,M55_64_C_Own_chld_childr,M55_64_C_Oth_ch_chiln,M55_64_Ca_Ow_ch_ch_oth_ch_ch,M55_64_yr_C_for_Tot,M55_64_D_not_prov_ch_care,M55_64_U_ch_care_ns,M55_64_OS_vis,M55_64_yr_Tot,M65_74_C_Own_chld_childr,M65_74_C_Oth_ch_chiln,M65_74_Ca_Ow_ch_ch_oth_ch_ch,M65_74_yr_C_for_Tot,M65_74_D_not_prov_ch_care,M65_74_U_ch_care_ns,M65_74_OS_vis,M65_74_yr_Tot,M75_84_C_Own_chld_childr,M75_84_C_Oth_ch_chiln,M75_84_Ca_Ow_ch_ch_oth_ch_ch,M75_84_yr_C_for_Tot,M75_84_D_not_prov_ch_care,M75_84_U_ch_care_ns,M75_84_OS_vis,M75_84_yr_Tot,M85ovr_C_Own_chld_childr,M85ovr_C_Oth_ch_chiln,M85ov_Ca_Ow_ch_ch_oth_ch_ch,M85ovr_C_for_Tot,M85ovr_D_not_prov_ch_care,M85ovr_U_ch_care_ns,M85ovr_OS_vis,M85ovr_Tot,MTot_C_Own_chld_childrn,MTot_C_Oth_ch_chiln,MTot_Ca_Ow_ch_ch_oth_ch_ch,MTot_C_for_Tot,MTot_D_not_prov_ch_care,MTot_U_ch_care_ns,MTot_OS_vis,MTot_Tot,F15_19_C_Own_chld_childr,F15_19_C_Oth_ch_chiln,F15_19_Ca_Ow_ch_ch_oth_ch_ch,F15_19_yr_C_for_Tot,F15_19_D_not_prov_ch_care,F15_19_U_ch_care_ns,F15_19_OS_vis,F15_19_yr_Tot,F20_24_C_Own_chld_childr,F20_24_C_Oth_ch_chiln,F20_24_Ca_Ow_ch_ch_oth_ch_ch,F20_24_yr_C_for_Tot,F20_24_D_not_prov_ch_care,F20_24_U_ch_care_ns,F20_24_OS_vis,F20_24_yr_Tot,F25_34_C_Own_chld_childr,F25_34_C_Oth_ch_chiln,F25_34_Ca_Ow_ch_ch_oth_ch_ch,F25_34_yr_C_for_Tot,F25_34_D_not_prov_ch_care,F25_34_U_ch_care_ns,F25_34_OS_vis,F25_34_yr_Tot,F35_44_C_Own_chld_childr,F35_44_C_Oth_ch_chiln,F35_44_Ca_Ow_ch_ch_oth_ch_ch,F35_44_yr_C_for_Tot,F35_44_D_not_prov_ch_care,F35_44_U_ch_care_ns,F35_44_OS_vis,F35_44_yr_Tot,F45_54_C_Own_chld_childr,F45_54_C_Oth_ch_chiln,F45_54_Ca_Ow_ch_ch_oth_ch_ch,F45_54_yr_C_for_Tot,F45_54_D_not_prov_ch_care,F45_54_U_ch_care_ns,F45_54_OS_vis,F45_54_yr_Tot,F55_64_C_Own_chld_childr,F55_64_C_Oth_ch_chiln,F55_64_Ca_Ow_ch_ch_oth_ch_ch,F55_64_yr_C_for_Tot,F55_64_D_not_prov_ch_care,F55_64_U_ch_care_ns,F55_64_OS_vis,F55_64_yr_Tot,F65_74_C_Own_chld_childr,F65_74_C_Oth_ch_chiln,F65_74_Ca_Ow_ch_ch_oth_ch_ch,F65_74_yr_C_for_Tot,F65_74_D_not_prov_ch_care,F65_74_U_ch_care_ns,F65_74_OS_vis,F65_74_yr_Tot,F75_84_C_Own_chld_childr,F75_84_C_Oth_ch_chiln,F75_84_Ca_Ow_ch_ch_oth_ch_ch,F75_84_yr_C_for_Tot,F75_84_D_not_prov_ch_care,F75_84_U_ch_care_ns,F75_84_OS_vis,F75_84_yr_Tot,F85ovr_C_Own_chld_childr,F85ovr_C_Oth_ch_chiln,F85ov_Ca_Ow_ch_ch_oth_ch_ch,F85ovr_C_for_Tot,F85ovr_D_not_prov_ch_care,F85ovr_U_ch_care_ns,F85ovr_OS_vis,F85ovr_Tot,FTot_C_Own_chld_childrn,FTot_C_Oth_ch_chiln,FTot_Ca_Ow_ch_ch_oth_ch_ch,FTot_C_for_Tot,FTot_D_not_prov_ch_care,FTot_U_ch_care_ns,FTot_OS_vis,FTot_Tot,P15_19_C_Own_chld_childr,P15_19_C_Oth_ch_chiln,P15_19_Ca_Ow_ch_ch_oth_ch_ch,P15_19_yr_C_for_Tot,P15_19_D_not_prov_ch_care,P15_19_U_ch_care_ns,P15_19_OS_vis,P15_19_yr_Tot,P20_24_C_Own_chld_childr,P20_24_C_Oth_ch_chiln,P20_24_Ca_Ow_ch_ch_oth_ch_ch,P20_24_yr_C_for_Tot,P20_24_D_not_prov_ch_care,P20_24_U_ch_care_ns,P20_24_OS_vis,P20_24_yr_Tot,P25_34_C_Own_chld_childr,P25_34_C_Oth_ch_chiln,P25_34_Ca_Ow_ch_ch_oth_ch_ch,P25_34_yr_C_for_Tot,P25_34_D_not_prov_ch_care,P25_34_U_ch_care_ns,P25_34_OS_vis,P25_34_yr_Tot,P35_44_C_Own_chld_childr,P35_44_C_Oth_ch_chiln,P35_44_Ca_Ow_ch_ch_oth_ch_ch,P35_44_yr_C_for_Tot,P35_44_D_not_prov_ch_care,P35_44_U_ch_care_ns,P35_44_OS_vis,P35_44_yr_Tot,P45_54_C_Own_chld_childr,P45_54_C_Oth_ch_chiln,P45_54_Ca_Ow_ch_ch_oth_ch_ch,P45_54_yr_C_for_Tot,P45_54_D_not_prov_ch_care,P45_54_U_ch_care_ns,P45_54_OS_vis,P45_54_yr_Tot
RA10,424,4833,36,5286,161501,9342,214,176338,3335,3890,94,7319,182848,13490,478,204134,80652,5971,1095,87724,335523,32854,1323,457426,221524,4461,2505,228489,181434,26715,1004,437633,137048,5372,1480,143908,212280,19557,863,376611,26571,15487,426,42477,271192,15750,959,330378,4315,23200,192,27701,208195,12230,1084,249210,691,5303,41,6029,123337,10151,345,139868,91,280,4,367,42089,7132,85,49669,474639,68790,5861,549299,1718401,147213,6361,2421271,674,8314,75,9062,148171,8370,204,165810,8206,7110,299,15615,165948,10962,470,193005,136481,10055,2938,149473,288863,28329,1170,467839,271286,7007,4631,282920,140085,22794,776,446574,134858,12750,2115,149722,225556,16712,803,392787,12950,41613,699,55268,277991,13950,1641,348848,3160,39069,442,42669,219327,12741,1355,276098,657,6491,77,7231,142968,13063,383,163645,96,376,8,483,65030,14276,113,79899,568366,132795,11295,712450,1673935,141202,6917,2534504,1091,13152,104,14351,309666,17709,417,342146,11539,11001,390,22930,348800,24453,953,397135,217130,16032,4035,237197,624385,61189,2493,925257,492814,11467,7137,511415,321514,49504,1780,884215,271913,18122,3600,293634,437840,36267,1662,769402
RA11,181,1841,21,2042,41714,4277,24,48061,1857,1233,51,3145,33640,3870,114,40768,24232,2213,738,27184,48974,8298,341,84809,43588,1729,1430,46757,30451,7538,209,84952,27588,2975,824,31386,55725,7200,138,94455,5604,7868,183,13652,84513,6763,123,105049,1001,9109,56,10167,84268,6007,95,100540,172,1844,16,2028,49636,4402,51,56114,19,115,0,133,14828,2177,13,17147,104252,28922,3318,136493,443755,50535,1112,631894,383,3396,27,3807,37155,3665,22,44649,4021,2575,218,6811,29239,2847,104,39004,37117,3567,2057,42741,38637,6127,212,87721,54372,2753,3042,60164,24000,5864,122,90143,27326,7300,1178,35811,59236,5755,101,100902,2483,19077,202,21762,84633,5812,134,112349,602,14483,84,15170,82897,5707,86,103858,159,2540,19,2717,53236,5329,45,61330,37,157,0,198,22407,3951,15,26573,126512,55833,6825,189177,431443,45061,851,666527,571,5236,52,5850,78871,7941,45,92708,5883,3805,272,9956,62878,6714,217,79772,61351,5782,2792,69922,87616,14427,559,172530,97964,4480,4471,106919,54453,13395,337,175098,54919,10281,2001,67195,114963,12966,235,195356
RA12,50,408,0,459,9111,1457,10,11035,496,281,14,790,7541,1165,56,9542,5876,474,158,6507,11523,2532,243,20809,9452,414,307,10181,7302,2509,132,20124,6056,737,183,6974,14375,2605,52,24004,1323,2033,42,3400,23293,2887,22,29604,264,1999,14,2279,21968,2496,19,26760,45,456,4,504,11813,1466,7,13788,5,29,0,35,3337,614,6,3988,23573,6829,726,31128,110254,17718,546,159651,122,820,10,949,8190,1294,9,10442,1090,553,58,1699,6055,864,44,8666,8756,780,568,10106,8434,2022,141,20708,11595,637,694,12922,5510,2042,53,20521,5620,1983,251,7856,14013,2227,26,24124,556,4829,54,5440,21150,2458,34,29080,161,3213,21,3397,18995,2112,16,24517,45,585,5,638,11816,1573,7,14036,7,46,0,54,4950,916,0,5920,27958,13448,1661,43055,99106,15503,334,158006,174,1229,5,1408,17302,2748,18,21477,1585,832,72,2494,13595,2026,101,18211,14627,1253,731,16612,19962,4551,385,41518,21050,1052,999,23104,12812,4548,184,40647,11681,2722,436,14834,28381,4827,80,48124
RA13,3,24,0,31,527,156,0,714,32,15,0,44,565,133,13,748,487,33,8,526,967,366,24,1873,651,33,11,697,551,304,0,1558,388,46,3,435,1027,338,3,1806,95,126,0,223,1631,380,0,2234,9,110,3,124,1341,285,3,1756,0,16,0,18,653,163,0,832,0,0,0,0,187,34,0,233,1667,414,26,2107,7443,2157,44,11754,13,51,0,69,486,133,0,687,73,46,5,119,397,136,0,665,720,56,33,807,651,274,13,1739,743,44,36,827,384,276,0,1481,317,124,12,449,944,294,0,1687,29,296,0,325,1282,304,0,1915,11,140,3,154,991,211,0,1361,0,30,0,31,612,150,0,798,0,0,0,0,252,56,0,307,1908,791,89,2785,5997,1833,19,10633,19,79,0,95,1011,291,0,1401,102,63,5,168,961,270,13,1415,1209,86,40,1332,1610,635,31,3609,1396,78,45,1526,931,577,0,3038,704,170,11,893,1968,627,5,3489
RA14,4,3,0,14,131,45,0,190,6,0,0,8,158,45,0,215,99,7,0,115,244,91,4,456,162,4,0,172,163,67,0,403,74,17,0,86,314,86,0,483,26,33,0,59,476,102,0,642,0,25,0,25,410,95,0,529,0,4,0,4,162,27,0,201,0,0,0,0,36,8,0,38,370,95,7,468,2100,565,13,3149,6,16,0,24,106,37,0,175,11,7,0,22,144,45,0,220,164,16,9,185,235,90,9,523,161,16,9,191,137,75,0,403,67,26,0,93,293,74,0,462,5,57,0,64,380,84,0,530,3,31,0,37,307,52,0,399,0,4,0,4,137,40,0,180,0,0,0,3,44,14,0,60,423,177,22,624,1788,525,11,2947,15,20,0,35,242,85,0,361,22,11,0,33,306,97,0,426,265,24,7,296,480,186,7,977,322,20,17,358,304,146,0,803,144,37,0,178,613,159,7,949
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,4,4,0,0,16,0,0,0,0,10,0,0,10,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,12,20,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,8,0,0,4,5,0,0,18
RA20,348,4344,37,4728,131528,7136,196,143590,1956,3543,68,5568,156645,10773,417,173398,64796,6335,960,72093,300835,27617,932,401481,186395,4273,2578,193239,155617,21066,739,370669,114146,4363,1458,119969,174774,15190,775,310710,20764,14218,336,35317,210755,11311,832,258222,3391,25846,170,29405,150991,8435,829,189661,579,6612,38,7223,93535,6838,274,107870,63,322,9,392,35019,4076,74,39564,392436,69850,5662,467940,1409701,112453,5079,1995171,467,7272,46,7786,121905,6542,195,136424,4961,6987,244,12194,143068,8597,368,164233,108902,12046,2961,123913,260111,23042,838,407905,223408,7985,6125,237517,122185,17742,530,377972,112660,11706,2548,126914,186232,13200,670,327008,10747,42121,677,53541,210563,10399,1379,275889,2853,45145,364,48361,157182,9349,1152,216049,666,7725,82,8473,112661,8700,344,130170,109,364,8,488,55467,7656,79,63685,464781,141352,13049,619181,1369377,105222,5559,2099343,821,11609,84,12517,253438,13675,391,280014,6919,10527,313,17761,299715,19368,789,337638,173698,18384,3925,196003,560951,50661,1772,809387,409798,12257,8700,430756,277802,38814,1265,748639,226807,16069,4004,246879,361001,28391,1443,637717
RA21,132,1295,15,1437,31600,2974,21,36036,1138,928,27,2097,26805,2281,39,31223,18870,1641,466,20982,40338,5470,158,66947,36884,1208,929,39026,23160,5289,99,67576,23561,2025,474,26057,43370,5351,89,74855,4308,6064,99,10470,64007,5036,72,79586,764,7921,38,8721,59541,4731,46,73042,134,1522,11,1667,33979,3318,24,38993,11,66,0,79,10329,1688,9,12106,85795,22668,2065,110537,333125,36140,559,480361,232,2389,19,2641,28337,2768,7,33756,2297,1885,127,4311,23382,1898,42,29633,28004,2955,1535,32493,32357,4400,111,69353,44782,2090,2264,49131,19186,4513,73,72907,23134,5216,842,29186,46249,4487,63,79990,2094,15838,175,18102,63149,4477,62,85786,534,13014,65,13617,58037,4369,75,76094,138,1879,12,2027,36397,3866,31,42323,19,115,0,137,15878,2904,16,18935,101224,45381,5035,151645,322963,33685,477,508771,364,3685,35,4081,59941,5744,28,69797,3438,2810,156,6407,50183,4180,83,60855,46877,4597,2001,53471,72695,9863,264,136298,81665,3298,3193,88156,42348,9808,175,140482,46693,7234,1314,55246,89614,9837,153,154847
RA22,22,263,0,286,6073,825,5,7183,251,186,8,446,5344,623,33,6442,3715,300,106,4112,8645,1284,99,14145,6645,234,198,7077,5028,1297,42,13451,4243,432,77,4746,9513,1365,26,15655,838,1338,23,2200,16053,1546,11,19810,191,1469,4,1661,15426,1501,15,18601,36,297,0,327,8334,936,0,9605,3,17,0,24,2535,424,4,2983,15945,4532,418,20887,76959,9796,232,107868,58,520,7,580,5383,740,0,6702,568,373,24,968,4411,590,29,5993,5541,548,325,6420,6720,1217,65,14418,8159,401,452,9008,3923,1216,21,14172,4036,1107,156,5305,10022,1260,15,16603,374,3338,43,3756,14756,1343,30,19884,98,2252,7,2354,13824,1284,9,17471,23,375,0,400,8548,1053,10,10009,9,25,0,33,3856,704,0,4595,18876,8936,1008,28823,71433,9415,176,109850,80,783,4,867,11450,1560,5,13888,819,561,34,1412,9748,1210,53,12433,9257,849,426,10528,15365,2498,169,28564,14808,631,649,16090,8951,2521,68,27623,8278,1538,238,10052,19532,2629,39,32258
RA23,0,0,0,0,58,8,0,69,4,3,0,8,45,4,0,54,39,5,0,45,76,8,0,131,92,0,0,91,69,17,0,175,34,0,0,34,124,13,0,174,9,18,0,29,289,24,0,338,0,15,0,20,270,33,0,316,0,0,0,0,142,13,0,153,0,0,0,0,47,13,0,57,175,44,0,224,1114,134,0,1474,0,0,0,0,45,5,0,52,6,0,0,8,20,4,0,28,50,3,3,59,54,6,0,121,113,4,6,118,40,18,0,175,22,13,0,33,126,17,0,172,12,39,0,46,259,24,0,321,0,28,0,28,199,11,0,242,0,0,0,0,135,17,0,156,0,0,0,0,54,14,0,70,196,90,15,299,927,111,0,1338,0,4,0,4,109,10,0,124,3,9,0,11,70,6,0,84,88,9,4,107,132,13,0,254,198,5,11,212,106,37,0,352,55,12,0,74,250,24,0,344
