RA_CODE_2021,F_Kidney_disease_0_14,F_Kidney_disease_15_24,F_Kidney_disease_25_34,F_Kidney_disease_35_44,F_Kidney_disease_45_54,F_Kidney_disease_55_64,F_Kidney_disease_65_74,F_Kidney_disease_75_84,F_Kidney_disease_85_over,F_Kidney_disease_Tot,F_Lung_cond_0_14,F_Lung_cond_15_24,F_Lung_cond_25_34,F_Lung_cond_35_44,F_Lung_cond_45_54,F_Lung_cond_55_64,F_Lung_cond_65_74,F_Lung_cond_75_84,F_Lung_cond_85_over,F_Lung_cond_Tot,F_Mental_health_cond_0_14,F_Mental_health_cond_15_24,F_Mental_health_cond_25_34,F_Mental_health_cond_35_44,F_Mental_health_cond_45_54,F_Mental_health_cond_55_64,F_Mental_health_cond_65_74,F_Mental_health_cond_75_84,F_Mental_health_cond_85_over,F_Mental_health_cond_Tot,F_Stroke_0_14,F_Stroke_15_24,F_Stroke_25_34,F_Stroke_35_44,F_Stroke_45_54,F_Stroke_55_64,F_Stroke_65_74,F_Stroke_75_84,F_Stroke_85_over,F_Stroke_Tot,F_Oth_lt_health_cond_0_14,F_Oth_lt_health_cond_15_24,F_Oth_lt_health_cond_25_34,F_Oth_lt_health_cond_35_44,F_Oth_lt_health_cond_45_54,F_Oth_lt_health_cond_55_64,F_Oth_lt_health_cond_65_74,F_Oth_lt_health_cond_75_84,F_Oth_lt_health_cond_85_over,F_Oth_lt_health_cond_Tot,F_No_lt_health_cond_0_14,F_No_lt_health_cond_15_24,F_No_lt_health_cond_25_34,F_No_lt_health_cond_35_44,F_No_lt_health_cond_45_54,F_No_lt_health_cond_55_64,F_No_lt_health_cond_65_74,F_No_lt_health_cond_75_84,F_No_lt_health_cond_85_over,F_No_lt_health_cond_Tot,F_NS_0_14,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_over,F_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_Arthritis_0_14,P_Arthritis_15_24,P_Arthritis_25_34,P_Arthritis_35_44,P_Arthritis_45_54,P_Arthritis_55_64,P_Arthritis_65_74,P_Arthritis_75_84,P_Arthritis_85_over,P_Arthritis_Tot,P_Asthma_0_14,P_Asthma_15_24,P_Asthma_25_34,P_Asthma_35_44,P_Asthma_45_54,P_Asthma_55_64,P_Asthma_65_74,P_Asthma_75_84,P_Asthma_85_over,P_Asthma_Tot,P_Cancer_0_14,P_Cancer_15_24,P_Cancer_25_34,P_Cancer_35_44,P_Cancer_45_54,P_Cancer_55_64,P_Cancer_65_74,P_Cancer_75_84,P_Cancer_85_over,P_Cancer_Tot,P_Dementia_0_14,P_Dementia_15_24,P_Dementia_25_34,P_Dementia_35_44,P_Dementia_45_54,P_Dementia_55_64,P_Dementia_65_74,P_Dementia_75_84,P_Dementia_85_over,P_Dementia_Tot,P_Diabetes_0_14,P_Diabetes_15_24,P_Diabetes_25_34,P_Diabetes_35_44,P_Diabetes_45_54,P_Diabetes_55_64,P_Diabetes_65_74,P_Diabetes_75_84,P_Diabetes_85_over,P_Diabetes_Tot,P_Heart_disease_0_14,P_Heart_disease_15_24,P_Heart_disease_25_34,P_Heart_disease_35_44,P_Heart_disease_45_54,P_Heart_disease_55_64,P_Heart_disease_65_74,P_Heart_disease_75_84,P_Heart_disease_85_over,P_Heart_disease_Tot,P_Kidney_disease_0_14,P_Kidney_disease_15_24,P_Kidney_disease_25_34,P_Kidney_disease_35_44,P_Kidney_disease_45_54,P_Kidney_disease_55_64,P_Kidney_disease_65_74,P_Kidney_disease_75_84,P_Kidney_disease_85_over,P_Kidney_disease_Tot,P_Lung_cond_0_14,P_Lung_cond_15_24,P_Lung_cond_25_34,P_Lung_cond_35_44,P_Lung_cond_45_54,P_Lung_cond_55_64,P_Lung_cond_65_74,P_Lung_cond_75_84,P_Lung_cond_85_over,P_Lung_cond_Tot,P_Mental_health_cond_0_14,P_Mental_health_cond_15_24,P_Mental_health_cond_25_34,P_Mental_health_cond_35_44,P_Mental_health_cond_45_54,P_Mental_health_cond_55_64,P_Mental_health_cond_65_74,P_Mental_health_cond_75_84,P_Mental_health_cond_85_over,P_Mental_health_cond_Tot,P_Stroke_0_14,P_Stroke_15_24,P_Stroke_25_34,P_Stroke_35_44,P_Stroke_45_54,P_Stroke_55_64,P_Stroke_65_74,P_Stroke_75_84,P_Stroke_85_over,P_Stroke_Tot,P_Oth_lt_health_cond_0_14,P_Oth_lt_health_cond_15_24,P_Oth_lt_health_cond_25_34,P_Oth_lt_health_cond_35_44,P_Oth_lt_health_cond_45_54,P_Oth_lt_health_cond_55_64,P_Oth_lt_health_cond_65_74,P_Oth_lt_health_cond_75_84,P_Oth_lt_health_cond_85_over,P_Oth_lt_health_cond_Tot,P_No_lt_health_cond_0_14,P_No_lt_health_cond_15_24,P_No_lt_health_cond_25_34,P_No_lt_health_cond_35_44,P_No_lt_health_cond_45_54,P_No_lt_health_cond_55_64,P_No_lt_health_cond_65_74,P_No_lt_health_cond_75_84,P_No_lt_health_cond_85_over,P_No_lt_health_cond_Tot
RA10,419,444,979,1582,2406,3650,5318,6069,4180,25042,404,372,635,1288,3554,8389,12723,11113,4977,43452,8554,45205,53232,43648,41740,35492,22272,12857,8463,271456,94,143,348,786,1813,3174,5099,6264,4603,22325,15632,18649,29049,33093,38038,44942,39359,24484,16359,259608,451314,251723,329166,307018,239974,173042,100576,39766,11474,1904050,40062,26371,33734,30483,26080,22211,16974,12652,10639,219198,540239,358135,466666,445804,391991,347207,274735,163261,79786,3067823,882,2813,9653,21299,48332,92877,123792,97162,45596,442411,67819,58097,67067,64243,55351,48719,41028,23563,8708,434599,1008,1333,3464,7808,16882,31308,44113,34408,13367,153680,54,75,121,192,579,1736,5681,15836,20123,44410,1546,3555,7971,19254,36820,65202,78793,52254,17319,282706,1631,1629,2636,5634,15353,37572,62028,57467,30620,214569,1066,960,1827,3098,4949,8067,12217,12642,7493,52323,944,790,1310,2572,6594,15630,24307,21673,9126,82943,18663,69158,83477,72234,70545,60486,38061,20573,11653,444849,255,303,667,1504,3729,7728,12677,13951,8259,49069,40491,34691,46952,56201,66675,80249,70484,42192,24423,462359,909104,536407,672156,622180,481451,342992,191369,75632,20316,3851606
RA11,86,152,266,418,821,1336,2357,2629,1730,9799,148,137,224,589,1785,4337,6796,5237,1940,21197,3736,14629,15924,15101,16116,15497,9926,4709,2933,98566,32,60,125,274,701,1323,2165,2443,1714,8832,4733,4937,6894,8537,10895,14036,12567,7270,4422,74298,106271,51325,52111,51313,52930,49573,35395,14401,3826,417148,13857,8339,7751,8067,8440,8424,7374,5177,3091,70516,136843,83523,87506,90018,100803,112216,103770,61278,26555,802509,307,993,3136,7485,17869,40265,57509,41704,17288,186559,22860,16527,17739,18459,18757,20779,20159,11067,3608,149952,245,353,816,1940,5048,11592,19610,14557,5057,59212,21,24,44,64,183,586,2195,5659,6217,14994,508,1087,1945,3891,8927,17518,25618,17584,5216,82290,516,539,824,1473,4610,13181,24938,22788,11301,80166,281,325,514,802,1555,2841,5065,5412,2955,19737,376,283,467,1105,3167,8390,13644,10492,3708,41629,8189,23003,24845,24629,26958,26698,18148,8318,4122,164914,80,103,238,526,1306,3025,5398,5662,3070,19401,12239,9279,11064,13797,18621,25224,23503,13043,6719,133495,212926,111364,107440,103683,106319,97445,69098,28030,6872,843175
RA12,31,35,63,98,182,345,565,583,349,2251,49,21,47,136,467,1227,1542,1130,396,5003,640,2665,3041,2986,3390,3630,2140,910,508,19908,10,4,15,60,173,350,446,496,288,1831,980,845,1235,1621,2310,3146,2540,1380,877,14928,25243,11900,12494,11631,12420,12586,8226,3464,923,98896,4369,2387,2384,2470,2757,3089,2472,1510,809,22241,33425,19053,20565,20469,24092,29043,24500,14025,5917,191100,74,247,664,1545,4435,10613,14114,9391,3754,44844,5737,4063,4087,4055,4558,5791,5146,2619,823,36886,62,66,189,437,1087,2864,4460,2980,972,13122,10,0,9,17,42,150,446,1094,1247,3024,139,256,489,925,2365,4946,6710,4143,1171,21140,115,114,178,401,1198,3610,6228,5152,2305,19308,79,66,102,185,365,742,1269,1200,600,4606,100,64,109,257,839,2374,3374,2351,761,10229,1503,4132,4731,4836,5714,6344,4003,1685,748,33706,18,13,33,99,339,802,1235,1184,570,4288,2482,1698,2093,2688,4086,6068,5022,2550,1338,28021,50931,25561,26045,23873,25772,25726,17049,7032,1664,203648
RA13,0,0,0,8,13,22,37,35,29,148,0,4,5,11,27,75,98,51,25,282,34,153,191,162,174,180,85,33,22,1029,0,0,0,4,13,21,31,28,13,115,42,40,65,87,101,160,110,50,57,714,1778,780,1014,796,834,786,422,194,43,6647,513,282,298,295,318,327,243,142,49,2460,2539,1350,1726,1481,1688,1910,1361,791,307,13154,8,15,39,110,259,669,717,467,195,2484,439,266,345,294,323,380,329,132,48,2545,7,3,13,37,73,194,229,171,55,780,0,0,0,0,0,10,26,78,53,171,6,23,48,88,197,390,417,271,52,1488,5,7,14,30,107,274,383,287,132,1229,8,5,6,4,26,54,76,70,37,294,6,3,5,13,41,156,224,113,43,612,72,223,279,269,289,333,175,72,29,1740,0,4,0,7,23,52,83,58,28,257,123,77,110,165,197,316,229,117,75,1425,3541,1724,2202,1671,1760,1700,974,386,84,14044
RA14,0,0,5,0,0,17,12,8,4,47,0,0,0,0,3,24,28,7,3,71,8,31,56,46,50,42,32,4,3,262,0,0,0,0,3,11,12,3,4,40,14,8,23,26,24,40,23,15,6,187,433,241,311,214,232,239,138,53,19,1876,136,86,93,85,83,91,59,34,13,675,615,390,513,403,459,530,394,180,60,3551,0,0,7,15,52,160,216,99,29,590,81,54,68,59,89,100,95,33,3,580,0,0,0,4,16,44,68,30,3,175,0,0,0,0,0,8,7,10,10,40,0,0,11,28,72,119,121,60,13,421,3,0,5,9,37,89,117,59,17,334,0,0,5,0,9,24,27,19,5,89,0,0,0,5,11,41,58,23,11,137,19,39,69,77,86,76,59,15,3,439,0,0,3,4,7,25,33,12,3,87,29,18,31,36,60,92,62,27,10,365,931,501,615,464,485,527,307,112,27,3979
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,5,0,0,0,28
RA20,352,394,860,1311,1968,2856,4065,4577,3410,19788,331,268,557,1036,2767,5758,8998,8032,3889,31635,7538,41130,54985,42344,38326,31037,19597,11849,8830,255636,100,156,321,690,1610,2563,4206,5123,4249,19027,13135,16918,27936,29536,33238,35902,30950,20832,13875,222325,370199,208078,277507,254030,195358,134941,77421,30896,9088,1557504,31292,21019,27778,24200,21140,16840,12812,8888,6167,170139,441008,300100,407067,377442,326345,274507,214895,129829,63604,2534793,592,2398,8423,17414,38665,71046,93407,76100,37838,345875,53725,51294,68576,62765,51908,42212,35467,21115,8123,395190,849,1098,2995,6342,13889,24765,35206,27481,11421,124058,61,71,117,153,414,1132,4085,12068,16242,34335,1323,2910,7048,16998,30714,49697,59716,40974,15081,224465,1560,1279,2305,4517,12329,28525,46527,44115,25240,166401,945,801,1620,2586,4014,6271,9137,9650,6027,41042,754,604,1166,2058,5068,10898,17178,15581,7172,60489,15819,61739,85491,69867,63784,51513,32432,18673,12193,411511,294,293,603,1360,3375,6232,10379,11491,7465,41505,33662,31080,44510,49879,57317,63694,54268,34830,20731,389974,744771,444952,572871,516585,391866,267811,147418,58775,16265,3161311
RA21,104,106,188,314,566,997,1511,1635,1056,6491,119,100,194,457,1342,3102,4754,3473,1377,14918,2911,11314,13928,13000,13153,12402,7917,3471,2212,80306,39,47,104,226,594,1060,1668,1741,1129,6618,3843,4204,6150,7133,9056,11006,9732,5321,3600,60046,82293,38883,39877,40777,41610,37674,25202,9556,2626,318503,10009,5821,5600,6098,6428,6339,5505,3751,2381,51925,105181,63336,69244,72834,79925,85725,76019,42290,18919,613476,229,746,2662,6003,14209,29473,40999,28663,11766,134748,17354,13391,15622,16168,15533,16180,14936,8057,2584,119812,204,275,634,1640,3920,8749,13976,10250,3536,43183,15,29,46,52,120,443,1443,3412,3994,9540,380,858,1630,3196,7098,13294,19028,12477,3893,61857,456,392,662,1211,3654,10224,18817,16228,7962,59615,255,224,359,580,1085,1999,3292,3365,1820,12990,280,206,391,832,2341,5871,9248,7062,2593,28819,6239,17569,21343,20878,21817,20701,13938,6099,3132,131719,100,109,195,412,1109,2359,4081,4038,2055,14457,9636,7728,9638,11455,15163,19461,17536,9496,5298,105424,165667,84803,83631,82468,84226,74795,49958,18770,4728,649036
RA22,8,23,39,50,117,230,340,378,239,1434,28,25,33,90,293,732,1077,733,279,3290,483,1818,2391,2244,2625,2617,1697,677,384,14942,4,12,32,51,117,265,369,377,254,1469,682,658,1030,1188,1743,2243,1962,1070,690,11269,16601,7910,8619,8115,8690,8896,6005,2387,750,67968,2359,1482,1424,1469,1616,1730,1518,1000,667,13276,21310,12667,14355,14149,16588,19857,17461,10001,4594,130978,37,144,515,1138,3017,6957,9626,6547,2737,30716,3264,2620,2991,2890,3186,3769,3456,1845,571,24585,35,56,112,276,745,2007,3215,2348,771,9572,10,10,4,5,36,83,284,690,781,1904,77,173,329,681,1479,3256,4548,2889,927,14356,78,84,118,233,826,2467,4427,3677,1744,13657,46,46,68,98,227,503,787,747,422,2933,53,42,69,176,512,1430,2281,1663,517,6744,1002,2912,3727,3581,4351,4649,3176,1230,522,25148,7,12,38,89,254,592,938,903,482,3319,1655,1312,1621,1963,3000,4155,3750,1948,1006,20411,33003,17145,18125,16548,17503,18163,12523,4816,1324,139153
RA23,0,0,0,0,0,0,0,5,0,6,0,0,0,0,7,12,15,13,3,58,6,11,27,27,30,45,17,7,3,178,0,0,0,3,0,5,9,13,4,26,4,3,5,10,22,34,14,14,8,117,187,52,75,99,93,141,86,42,12,774,31,7,3,23,22,32,20,20,13,170,236,86,121,175,172,321,242,156,70,1572,3,0,10,16,43,114,144,98,36,466,44,26,33,44,33,78,58,30,3,346,5,0,0,0,14,26,41,33,14,134,0,0,0,0,0,6,4,5,3,16,3,0,3,3,23,56,64,44,10,205,0,0,0,7,9,45,70,34,22,186,0,0,0,0,0,0,4,4,0,20,0,0,0,5,10,35,36,22,10,116,15,22,44,47,51,100,45,14,6,345,0,5,0,4,3,5,14,14,6,47,24,7,16,21,39,66,40,28,17,258,362,131,155,202,186,280,198,92,28,1638
