RA_CODE_2021,Num_mot_veh_per_dwg_None_Dwgs,Nu_mo_veh_pe_dw_1_mo_veh_Dwgs,Nu_mo_ve_pe_dw_2_mot_veh_Dwgs,Nu_mo_ve_pe_dw_3_mot_veh_Dwgs,Nu_mo_ve_pe_dw_4_mo_veh_Dwgs,Num_mot_veh_per_dwg_Tot_Dwgs,Num_mot_veh_ns_Dwgs,Total_Dwellings
RA10,228841,848682,716593,220561,124344,2139023,111478,2250499
RA11,30055,214206,222892,79136,49218,595510,40059,635570
RA12,6961,48152,52879,21409,13492,142895,15181,158077
RA13,544,3119,3135,1408,970,9167,1928,11101
RA14,329,1011,650,263,218,2469,555,3021
RA15,0,0,0,0,0,0,0,0
RA20,157346,681899,669137,198027,106363,1812775,89370,1902149
RA21,20400,152658,178749,67723,43768,463300,30306,493603
RA22,4967,33580,37554,15376,10119,101589,8731,110322
RA23,59,441,500,254,176,1431,125,1558
RA25,0,0,0,0,0,0,0,0
RA30,73484,443187,460134,148753,81203,1206760,61444,1268209
RA31,18324,130113,139044,52728,32096,372306,24648,396952
RA32,13927,92926,96287,33919,18298,255361,23875,279231
RA33,2020,9991,8917,3428,2281,26640,3652,30287
RA34,2841,8620,5376,1891,1556,20286,3062,23347
RA35,4,0,0,0,0,7,4,5
RA40,41049,195747,190442,59828,31759,518823,19295,538118
RA41,2430,21658,25522,10948,7822,68384,3575,71958
RA42,5430,28641,28885,11437,7273,81664,6231,87894
RA43,882,6000,6631,2543,1432,17490,1455,18943
RA44,605,2132,1647,619,460,5467,780,6241
RA45,0,0,0,0,0,0,0,0
RA50,38986,271016,304662,98541,53269,766473,33676,800154
RA51,2846,26366,33012,13302,8366,83894,5587,89482
RA52,3084,22860,25845,10511,6636,68936,7020,75957
RA53,1659,10701,11805,4565,2962,31691,5024,36711
RA54,3086,11074,5826,1812,1203,23000,4446,27450
RA55,11,0,0,0,0,13,0,13
RA61,9404,48940,47106,17380,10489,133323,5737,139064
RA62,3737,26570,29203,12460,8091,80061,4929,84995
RA63,237,1597,1300,428,222,3780,400,4183
RA64,54,396,381,176,79,1080,105,1191
RA65,0,0,0,0,0,0,0,0
RA72,2969,17150,18639,6385,3461,48611,4897,53503
RA73,2133,7019,5054,1759,973,16941,2329,19267
RA74,3560,4886,1831,430,271,10969,1627,12596
RA75,7,0,0,0,0,7,3,7
RA80,9542,66349,64855,18317,9260,168330,6417,174745
RA81,0,38,86,39,44,212,20,228
RA85,0,0,0,0,0,0,0,0
RA91,11,20,32,7,5,76,34,106
RA94,74,582,506,207,105,1474,218,1698
RA95,0,0,0,0,0,0,0,0
