RA_CODE_2021,P_400_499_15_19_yr,P_400_499_20_24_yr,P_400_499_25_34_yr,P_400_499_35_44_yr,P_400_499_45_54_yr,P_400_499_55_64_yr,P_400_499_65_74_yr,P_400_499_75_84_yr,P_400_499_85_yr_over,P_400_499_Tot,P_500_649_15_19_yr,P_500_649_20_24_yr,P_500_649_25_34_yr,P_500_649_35_44_yr,P_500_649_45_54_yr,P_500_649_55_64_yr,P_500_649_65_74_yr,P_500_649_75_84_yr,P_500_649_85_yr_over,P_500_649_Tot,P_650_799_15_19_yr,P_650_799_20_24_yr,P_650_799_25_34_yr,P_650_799_35_44_yr,P_650_799_45_54_yr,P_650_799_55_64_yr,P_650_799_65_74_yr,P_650_799_75_84_yr,P_650_799_85_yr_over,P_650_799_Tot,P_800_999_15_19_yr,P_800_999_20_24_yr,P_800_999_25_34_yr,P_800_999_35_44_yr,P_800_999_45_54_yr,P_800_999_55_64_yr,P_800_999_65_74_yr,P_800_999_75_84_yr,P_800_999_85_yr_over,P_800_999_Tot,P_1000_1249_15_19_yr,P_1000_1249_20_24_yr,P_1000_1249_25_34_yr,P_1000_1249_35_44_yr,P_1000_1249_45_54_yr,P_1000_1249_55_64_yr,P_1000_1249_65_74_yr,P_1000_1249_75_84_yr,P_1000_1249_85_yr_over,P_1000_1249_Tot,P_1250_1499_15_19_yr,P_1250_1499_20_24_yr,P_1250_1499_25_34_yr,P_1250_1499_35_44_yr,P_1250_1499_45_54_yr,P_1250_1499_55_64_yr,P_1250_1499_65_74_yr,P_1250_1499_75_84_yr,P_1250_1499_85_yr_over,P_1250_1499_Tot,P_1500_1749_15_19_yr,P_1500_1749_20_24_yr,P_1500_1749_25_34_yr,P_1500_1749_35_44_yr,P_1500_1749_45_54_yr,P_1500_1749_55_64_yr,P_1500_1749_65_74_yr,P_1500_1749_75_84_yr,P_1500_1749_85_yr_over,P_1500_1749_Tot,P_1750_1999_15_19_yr,P_1750_1999_20_24_yr,P_1750_1999_25_34_yr,P_1750_1999_35_44_yr,P_1750_1999_45_54_yr,P_1750_1999_55_64_yr,P_1750_1999_65_74_yr,P_1750_1999_75_84_yr,P_1750_1999_85_yr_over,P_1750_1999_Tot,P_2000_2999_15_19_yr,P_2000_2999_20_24_yr,P_2000_2999_25_34_yr,P_2000_2999_35_44_yr,P_2000_2999_45_54_yr,P_2000_2999_55_64_yr,P_2000_2999_65_74_yr,P_2000_2999_75_84_yr,P_2000_2999_85_yr_over,P_2000_2999_Tot,P_3000_3499_15_19_yr,P_3000_3499_20_24_yr,P_3000_3499_25_34_yr,P_3000_3499_35_44_yr,P_3000_3499_45_54_yr,P_3000_3499_55_64_yr,P_3000_3499_65_74_yr,P_3000_3499_75_84_yr,P_3000_3499_85_yr_over,P_3000_3499_Tot,P_3500_more_15_19_yr,P_3500_more_20_24_yr,P_3500_more_25_34_yr,P_3500_more_35_44_yr,P_3500_more_45_54_yr,P_3500_more_55_64_yr,P_3500_more_65_74_yr,P_3500_more_75_84_yr,P_3500_more_85_yr_over,P_3500_more_Tot,P_Personal_inc_ns_15_19_yr,P_Personal_inc_ns_20_24_yr,P_Personal_inc_ns_25_34_yr,P_Personal_inc_ns_35_44_yr,P_Personal_inc_ns_45_54_yr,P_Personal_inc_ns_55_64_yr,P_Personal_inc_ns_65_74_yr,P_Personal_inc_ns_75_84_yr,P_Personal_inc_ns_85_yr_over,P_Personal_inc_ns_Tot,P_OS_vis_15_19_yr,P_OS_vis_20_24_yr,P_OS_vis_25_34_yr,P_OS_vis_35_44_yr,P_OS_vis_45_54_yr,P_OS_vis_55_64_yr,P_OS_vis_65_74_yr,P_OS_vis_75_84_yr,P_OS_vis_85_yr_over,P_OS_vis_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
RA52,494,442,882,951,1097,1686,3201,2307,867,11932,659,783,1272,1348,1408,1696,2246,1297,461,11172,501,1026,1512,1450,1507,1668,1555,800,231,10237,369,1219,1904,1825,1975,2117,1318,490,177,11401,207,1058,2384,2124,2412,2571,1181,339,81,12338,80,633,1754,1766,1857,1761,724,178,32,8789,57,466,1790,1647,1988,1737,568,186,72,8513,16,242,1274,1422,1575,1342,413,114,25,6429,26,293,1989,2741,3055,2407,629,123,30,11288,0,50,440,682,702,564,154,36,10,2643,10,29,363,736,899,757,308,93,28,3231,1104,1037,2619,2629,2578,2542,2185,1435,794,16915,8,55,145,59,27,37,41,16,7,400,10509,8928,21390,22315,24313,26422,21632,11204,3908,150616
RA53,135,179,356,392,382,556,1074,659,192,3913,222,264,487,560,469,613,870,383,92,3966,207,394,671,581,587,585,631,248,53,3959,151,491,970,824,746,787,575,209,38,4784,131,542,1320,1141,1028,1122,628,147,21,6089,66,431,1160,1033,949,903,398,80,18,5044,44,302,1317,1169,1026,918,343,67,9,5194,19,185,1126,1074,945,764,274,49,11,4445,28,284,2045,2519,2178,1538,355,78,7,9032,5,57,662,832,665,471,125,20,3,2832,10,53,642,1291,1075,742,266,96,9,4187,748,962,2973,2916,2699,2502,1500,651,185,15136,6,47,156,45,30,45,36,4,0,367,4357,4852,15517,15879,14121,13690,9748,3751,870,82788
RA54,97,180,368,298,366,544,1208,507,80,3650,144,219,484,423,357,576,1104,362,31,3698,103,248,521,385,357,619,807,219,11,3270,106,377,787,535,554,756,634,150,23,3925,83,436,1090,730,797,1028,670,122,7,4969,63,444,1150,794,834,864,403,74,9,4637,38,339,1296,970,942,928,323,52,8,4888,38,316,1238,1035,996,892,240,20,0,4769,31,629,3475,3243,3086,2270,493,33,4,13273,5,95,1146,1276,1170,784,126,16,0,4611,8,63,962,1624,1492,976,187,35,6,5352,766,1753,6142,5570,5368,4041,1677,493,78,25879,6,142,332,119,77,66,39,0,3,781,3249,6373,21048,18791,18000,16848,11025,2952,380,98652
RA55,0,5,4,3,4,3,6,0,0,20,0,0,3,0,7,3,7,5,0,28,0,0,7,4,3,5,5,0,0,31,0,3,11,9,4,8,16,4,0,44,4,13,22,15,16,17,8,3,0,92,0,10,22,13,18,12,16,0,0,99,0,12,27,21,25,16,16,0,0,119,3,10,19,25,29,16,3,0,0,105,0,17,78,141,116,79,9,0,0,449,0,0,26,84,65,33,6,0,0,211,0,0,76,185,196,102,13,0,0,578,8,45,221,433,403,220,56,8,0,1394,0,0,33,37,61,29,0,0,4,164,19,121,549,999,951,560,178,32,3,3410
RA61,771,1765,2938,2109,2297,3202,6026,4745,2297,26149,814,2411,4605,2832,2569,3115,4251,2616,1039,24259,476,2475,5188,3322,2865,2941,3212,1792,630,22895,289,2705,6939,4426,3739,3722,2547,1172,427,25956,122,2171,8113,5545,4877,4682,2429,858,242,29048,30,1140,5414,4348,3976,3303,1407,413,108,20141,13,463,3926,3847,3839,2999,1015,355,114,16568,9,146,2410,2987,3127,2217,612,151,34,11705,5,87,2570,4652,4997,3338,807,207,61,16725,3,14,319,730,908,641,194,73,18,2900,14,45,399,1238,1658,1193,472,188,58,5270,1031,1263,2899,2064,1834,1748,1868,1736,1336,15787,13,117,257,80,54,77,54,27,12,691,19223,21373,54369,43486,41910,41210,35536,20784,8170,286061
RA62,449,688,1353,1350,1909,2961,5212,3475,1479,18887,574,1007,1748,1694,2055,2592,3089,1674,594,15030,353,1291,2106,1850,2020,2326,2059,1062,268,13332,203,1429,2689,2215,2476,2687,1477,582,154,13915,88,1049,2904,2528,3031,3047,1328,365,68,14401,22,506,1932,1942,2109,1939,646,174,17,9294,12,239,1491,1711,1816,1712,545,165,54,7747,8,110,908,1196,1359,1196,328,61,7,5172,3,80,964,1551,1908,1506,356,70,26,6461,0,11,111,243,296,251,105,31,3,1060,15,18,146,359,502,505,230,94,15,1873,838,603,1420,1322,1573,1841,1889,1409,714,11604,3,22,84,53,25,24,23,12,4,254,10429,9310,21204,21145,25554,30953,27563,14322,4518,164997
RA63,9,26,51,51,104,150,278,123,32,817,20,35,91,62,81,136,143,65,22,641,12,36,102,68,79,108,95,48,10,545,9,50,155,89,87,107,80,18,3,603,7,18,153,108,98,108,72,17,0,582,6,25,89,68,63,91,29,10,0,377,0,20,69,66,73,91,32,8,4,373,4,17,68,40,56,55,19,0,0,253,0,9,89,102,118,88,24,6,0,441,0,5,10,23,30,19,6,0,0,94,0,4,11,33,51,50,12,0,4,167,47,62,166,117,121,175,128,86,56,949,0,4,22,8,0,3,4,0,4,41,268,373,1207,993,1175,1668,1411,574,160,7825
RA64,5,6,9,19,12,31,71,50,14,201,8,6,20,22,17,20,37,22,5,160,8,15,10,25,24,35,39,18,3,164,3,6,42,27,28,43,14,14,0,180,0,12,47,42,37,51,36,11,0,235,0,11,31,29,18,28,26,3,0,138,0,0,19,18,19,26,22,3,0,106,0,0,9,16,13,17,4,0,0,64,0,4,16,26,29,22,14,0,0,119,0,0,0,10,4,8,6,0,0,29,0,0,6,6,12,10,3,3,0,42,3,5,28,39,28,30,38,23,16,212,0,0,0,0,0,0,0,0,0,3,66,72,265,306,293,388,421,221,56,2081
RA65,0,0,0,0,0,0,4,0,0,10,0,0,0,0,3,0,4,0,0,15,0,4,0,0,0,0,7,0,0,9,0,0,3,3,4,3,0,0,0,14,0,0,5,3,4,4,4,0,0,15,0,0,19,14,17,8,0,0,0,56,0,0,8,11,10,9,0,0,0,36,0,0,7,4,9,3,0,0,0,26,0,0,15,18,23,22,5,0,0,82,0,0,5,8,3,3,0,0,0,19,0,0,3,9,11,5,0,0,0,26,0,0,4,3,9,12,3,0,0,36,0,0,3,4,0,0,0,0,0,13,5,15,69,78,90,77,33,3,0,374
RA72,281,503,801,596,640,789,1485,772,211,6066,367,679,1265,809,663,813,1175,484,94,6342,274,830,1581,1024,739,786,837,323,66,6456,266,1143,2558,1547,1239,1142,933,276,38,9143,189,1383,3667,2382,1874,1645,857,234,21,12253,81,1147,3206,2250,1708,1292,579,115,13,10389,26,526,2982,2442,1892,1399,469,102,17,9862,5,218,2009,1944,1657,1134,336,59,4,7368,7,159,2585,3851,3479,2275,566,83,8,13025,0,17,344,712,734,536,155,19,0,2520,9,26,331,955,1145,824,303,56,14,3652,831,1254,3395,2674,2301,2040,1575,522,153,14741,99,1221,688,198,87,150,83,22,6,2555,7921,10795,28189,23627,19990,17665,12766,4433,904,126296
RA73,94,110,230,261,260,391,659,267,68,2342,95,130,364,303,272,389,531,157,33,2279,87,219,417,342,257,352,376,104,19,2175,120,343,782,488,401,457,362,92,25,3069,54,332,1141,686,622,676,355,57,3,3920,29,280,1008,675,576,578,253,30,0,3424,8,147,957,682,600,562,191,28,0,3183,3,60,645,550,510,413,149,9,0,2335,5,50,741,956,939,810,220,19,0,3737,0,7,123,197,182,188,67,12,0,768,3,3,115,239,276,281,101,14,0,1017,461,459,1392,1168,1099,1195,942,233,34,6984,4,22,113,19,16,39,17,10,0,236,2839,3056,9736,7998,7196,7838,5657,1463,273,46061
RA74,59,149,383,379,371,398,484,132,24,2383,65,178,389,343,291,297,298,58,4,1937,97,181,315,268,201,245,211,43,0,1553,86,197,392,221,217,237,163,27,3,1544,56,195,488,305,289,361,216,22,0,1930,16,118,400,292,273,239,154,29,0,1521,4,70,381,261,263,265,112,18,0,1375,6,38,259,233,238,224,99,18,0,1122,5,48,442,555,544,490,121,14,0,2211,0,6,86,119,115,101,39,3,0,470,0,4,57,161,136,155,60,15,0,590,638,645,1530,1163,1092,994,574,143,7,6790,7,81,123,45,19,29,15,0,0,321,3758,4278,9151,7166,6233,5712,3810,800,85,40999
RA75,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,5,0,0,10,0,0,0,4,3,0,4,0,0,12,6,4,6,0,0,0,5,0,0,20,0,7,5,4,10,4,0,0,0,29,0,7,0,0,4,3,0,0,0,14,0,0,7,3,8,4,6,0,0,21,0,0,6,6,4,5,0,0,0,22,0,3,4,15,22,22,0,0,0,75,0,0,0,6,8,11,0,0,0,23,0,0,9,27,26,18,5,0,0,83,4,7,18,43,40,32,11,3,0,159,0,0,9,0,0,0,0,0,0,17,11,27,65,112,124,106,40,10,0,494
RA80,984,2494,2267,1508,1393,1810,3400,2712,1321,17888,1117,3311,3694,2120,1570,1924,2768,1940,770,19226,834,3290,4354,2362,1774,2043,2758,1743,614,19776,737,3934,6613,3791,2735,2765,3067,1727,597,25965,352,4216,9501,5648,4063,3849,3326,1563,467,32980,138,3516,9708,5828,3965,3521,2629,1069,337,30707,54,1853,10160,7013,5146,3926,2269,876,233,31525,16,569,6968,6903,5183,3528,1552,493,136,25336,19,431,10579,16746,14023,7757,2189,611,170,52530,9,54,1283,3351,3174,1851,544,131,45,10445,16,55,1378,5584,6362,3863,999,272,94,18628,1343,2165,3986,2843,2051,1580,1461,1224,1053,17706,45,92,177,177,139,179,152,49,7,1020,26476,34559,77703,69237,56102,44848,34970,19076,7201,370173
RA81,0,3,3,0,3,9,5,0,0,21,0,3,3,3,0,3,3,0,0,22,3,0,5,0,3,5,5,0,0,20,3,7,19,10,3,3,3,0,3,53,0,5,15,3,4,14,6,0,0,52,0,9,16,10,7,7,0,0,0,40,0,0,8,19,14,10,0,3,0,57,0,0,12,12,5,6,0,0,0,38,0,0,13,25,21,6,0,0,0,76,0,0,0,9,0,3,6,0,0,14,0,0,0,11,5,7,5,0,0,27,7,8,4,3,8,11,7,0,0,44,0,0,0,0,0,0,0,0,0,0,44,38,102,104,89,88,56,12,7,542
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA91,0,0,0,0,11,0,3,0,0,23,7,0,3,0,3,0,0,0,0,26,8,4,4,0,0,0,0,0,0,15,10,8,8,3,0,4,0,0,0,30,10,15,28,6,0,4,0,0,0,60,0,4,13,7,0,0,0,0,0,21,0,0,17,3,4,0,0,0,0,28,0,0,11,3,3,0,0,0,0,16,0,4,7,3,7,4,0,0,0,28,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,6,8,3,13,11,12,14,16,9,0,93,0,5,0,0,0,0,0,0,0,9,46,60,104,49,56,38,27,16,0,396
RA94,14,11,11,20,14,38,76,54,21,258,5,12,27,31,32,65,55,23,9,255,10,14,36,48,39,61,51,15,3,285,0,36,49,48,78,86,32,12,4,347,4,23,72,56,74,78,34,6,0,340,3,4,45,47,49,57,29,3,0,238,0,10,37,52,46,61,24,5,0,238,0,3,32,42,42,39,21,4,0,188,0,4,37,77,81,72,31,0,0,304,0,0,8,7,19,16,7,6,0,63,0,0,7,6,15,17,9,7,0,69,27,60,239,167,157,147,91,46,7,951,0,0,3,0,3,5,0,0,0,17,177,220,640,649,716,856,642,271,63,4232
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
