RA_CODE_2021,P_400_499_15_19_yr,P_400_499_20_24_yr,P_400_499_25_34_yr,P_400_499_35_44_yr,P_400_499_45_54_yr,P_400_499_55_64_yr,P_400_499_65_74_yr,P_400_499_75_84_yr,P_400_499_85_yr_over,P_400_499_Tot,P_500_649_15_19_yr,P_500_649_20_24_yr,P_500_649_25_34_yr,P_500_649_35_44_yr,P_500_649_45_54_yr,P_500_649_55_64_yr,P_500_649_65_74_yr,P_500_649_75_84_yr,P_500_649_85_yr_over,P_500_649_Tot,P_650_799_15_19_yr,P_650_799_20_24_yr,P_650_799_25_34_yr,P_650_799_35_44_yr,P_650_799_45_54_yr,P_650_799_55_64_yr,P_650_799_65_74_yr,P_650_799_75_84_yr,P_650_799_85_yr_over,P_650_799_Tot,P_800_999_15_19_yr,P_800_999_20_24_yr,P_800_999_25_34_yr,P_800_999_35_44_yr,P_800_999_45_54_yr,P_800_999_55_64_yr,P_800_999_65_74_yr,P_800_999_75_84_yr,P_800_999_85_yr_over,P_800_999_Tot,P_1000_1249_15_19_yr,P_1000_1249_20_24_yr,P_1000_1249_25_34_yr,P_1000_1249_35_44_yr,P_1000_1249_45_54_yr,P_1000_1249_55_64_yr,P_1000_1249_65_74_yr,P_1000_1249_75_84_yr,P_1000_1249_85_yr_over,P_1000_1249_Tot,P_1250_1499_15_19_yr,P_1250_1499_20_24_yr,P_1250_1499_25_34_yr,P_1250_1499_35_44_yr,P_1250_1499_45_54_yr,P_1250_1499_55_64_yr,P_1250_1499_65_74_yr,P_1250_1499_75_84_yr,P_1250_1499_85_yr_over,P_1250_1499_Tot,P_1500_1749_15_19_yr,P_1500_1749_20_24_yr,P_1500_1749_25_34_yr,P_1500_1749_35_44_yr,P_1500_1749_45_54_yr,P_1500_1749_55_64_yr,P_1500_1749_65_74_yr,P_1500_1749_75_84_yr,P_1500_1749_85_yr_over,P_1500_1749_Tot,P_1750_1999_15_19_yr,P_1750_1999_20_24_yr,P_1750_1999_25_34_yr,P_1750_1999_35_44_yr,P_1750_1999_45_54_yr,P_1750_1999_55_64_yr,P_1750_1999_65_74_yr,P_1750_1999_75_84_yr,P_1750_1999_85_yr_over,P_1750_1999_Tot,P_2000_2999_15_19_yr,P_2000_2999_20_24_yr,P_2000_2999_25_34_yr,P_2000_2999_35_44_yr,P_2000_2999_45_54_yr,P_2000_2999_55_64_yr,P_2000_2999_65_74_yr,P_2000_2999_75_84_yr,P_2000_2999_85_yr_over,P_2000_2999_Tot,P_3000_3499_15_19_yr,P_3000_3499_20_24_yr,P_3000_3499_25_34_yr,P_3000_3499_35_44_yr,P_3000_3499_45_54_yr,P_3000_3499_55_64_yr,P_3000_3499_65_74_yr,P_3000_3499_75_84_yr,P_3000_3499_85_yr_over,P_3000_3499_Tot,P_3500_more_15_19_yr,P_3500_more_20_24_yr,P_3500_more_25_34_yr,P_3500_more_35_44_yr,P_3500_more_45_54_yr,P_3500_more_55_64_yr,P_3500_more_65_74_yr,P_3500_more_75_84_yr,P_3500_more_85_yr_over,P_3500_more_Tot,P_Personal_inc_ns_15_19_yr,P_Personal_inc_ns_20_24_yr,P_Personal_inc_ns_25_34_yr,P_Personal_inc_ns_35_44_yr,P_Personal_inc_ns_45_54_yr,P_Personal_inc_ns_55_64_yr,P_Personal_inc_ns_65_74_yr,P_Personal_inc_ns_75_84_yr,P_Personal_inc_ns_85_yr_over,P_Personal_inc_ns_Tot,P_OS_vis_15_19_yr,P_OS_vis_20_24_yr,P_OS_vis_25_34_yr,P_OS_vis_35_44_yr,P_OS_vis_45_54_yr,P_OS_vis_55_64_yr,P_OS_vis_65_74_yr,P_OS_vis_75_84_yr,P_OS_vis_85_yr_over,P_OS_vis_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
RA34,116,178,363,347,342,577,1123,576,176,3800,170,289,507,468,423,608,798,235,54,3551,201,346,603,453,502,568,570,176,22,3444,166,434,781,549,611,717,491,115,16,3874,107,472,867,589,685,841,472,76,5,4119,38,301,703,500,577,592,303,36,4,3064,26,193,667,544,588,601,232,49,6,2903,13,110,493,435,473,434,154,37,0,2146,12,132,811,831,908,722,205,27,3,3647,0,15,129,217,217,203,54,13,0,854,6,11,121,251,291,274,133,50,3,1142,612,724,1765,1415,1597,1814,1385,530,148,9988,4,44,119,47,16,13,12,9,0,262,3151,4178,9369,7862,8559,10144,8433,2818,617,55129
RA35,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,3,0,0,0,4,0,0,4,0,0,0,0,0,0,4,0,0,4,5,4,0,0,0,0,12,0,0,11,4,4,0,0,0,0,17,0,0,4,3,6,0,0,0,0,11,0,0,5,8,6,0,0,0,0,14,0,0,4,3,3,3,0,0,0,16,0,0,4,7,7,4,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,8,56,77,54,16,6,0,0,221,0,5,15,6,0,0,4,0,0,24,11,18,102,114,79,34,23,0,0,380
RA40,2861,7211,8393,7411,8417,11953,21872,18036,10562,96717,2995,10122,13672,10430,9885,11446,15767,10199,4684,89201,1569,9845,15690,12565,10966,10905,11102,6301,2442,81387,930,10559,22993,17617,15642,14032,8995,4264,1599,96632,458,8663,28251,22357,19739,17312,8567,3112,865,109322,132,4464,21155,18003,15642,12420,5156,1570,428,78963,79,1908,16559,16087,13999,10584,3851,1233,443,64741,30,708,9785,12717,11236,7980,2395,701,208,45770,28,467,11421,20517,19616,12741,3384,942,249,69372,16,90,1551,3942,4035,2673,841,303,92,13538,39,197,1611,5982,7776,5467,2074,764,278,24191,3275,3994,8801,7575,6725,5986,5685,5611,4903,52560,101,140,429,306,296,411,437,138,44,2299,76034,88353,188460,178851,167535,159719,133544,78685,35608,1106785
RA41,409,615,860,935,1276,2117,4224,3103,1359,14906,564,965,1293,1296,1539,2162,3069,1875,707,13464,311,1037,1505,1450,1858,2096,2228,1241,333,12053,157,1165,2050,2032,2343,2502,1575,692,182,12695,85,820,2285,2299,2736,2763,1411,447,103,12949,28,366,1536,1720,2074,1973,842,228,38,8810,13,170,1184,1542,1685,1433,620,222,55,6921,3,60,689,1045,1284,1070,314,85,21,4568,0,52,778,1657,2009,1504,449,137,30,6621,0,10,112,264,380,295,121,30,5,1208,5,21,139,379,642,594,243,96,33,2143,719,493,1100,1136,1353,1393,1393,1183,669,9441,3,13,35,19,18,13,16,11,8,135,9575,7774,16062,18170,22521,26167,25122,14045,4801,144244
RA42,505,698,1296,1183,1660,2756,4753,3689,1848,18395,684,984,1732,1644,1802,2292,2922,1619,631,14312,426,1311,2031,1918,2019,2270,2131,1154,304,13566,270,1447,2877,2375,2593,2639,1632,637,172,14634,142,1108,2809,2484,2958,3000,1441,404,100,14449,37,641,1958,1786,2158,1959,806,184,43,9572,19,266,1616,1562,1870,1743,593,207,61,7932,8,145,998,1164,1349,1154,372,93,11,5288,4,110,1206,1673,2036,1653,466,109,22,7276,5,16,157,313,372,282,114,32,10,1303,10,37,195,401,544,575,263,117,31,2174,992,859,2091,2104,2257,2463,2312,1821,956,15851,13,96,443,200,62,33,33,12,0,893,10643,9764,22602,21846,25655,30105,27287,15208,5556,168665
RA43,96,118,248,208,277,525,916,588,286,3269,144,176,332,331,365,519,663,314,113,2966,93,268,452,391,434,484,457,231,69,2877,65,339,611,487,546,602,393,153,40,3237,39,234,729,619,684,703,312,107,15,3442,10,141,511,467,505,482,221,47,19,2400,13,86,460,501,438,394,143,52,8,2091,9,63,372,352,350,292,82,33,3,1553,6,104,647,659,640,476,113,35,4,2669,0,15,148,192,192,131,42,10,0,722,4,15,137,258,254,215,89,34,6,1001,226,247,760,684,768,699,529,350,189,4446,0,7,11,7,7,11,13,3,5,66,2108,2115,6012,5729,6148,7029,5815,2984,1053,38979
RA44,24,46,97,84,93,194,352,178,68,1134,27,43,119,92,97,164,200,78,22,843,36,61,147,107,103,169,174,45,7,854,21,85,151,162,141,183,120,27,5,899,20,81,208,170,199,235,128,25,4,1053,6,61,174,159,184,187,79,9,4,865,7,37,170,144,166,159,63,10,0,758,0,40,133,129,171,155,41,3,0,671,0,45,240,252,262,224,58,13,0,1099,3,5,49,63,68,44,11,4,0,245,0,6,48,58,50,87,18,7,0,270,171,173,487,387,478,482,331,164,68,2744,0,5,11,3,0,11,0,0,0,35,763,925,2512,2203,2462,2888,2249,834,239,15069
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,6,0,0,0,0,0,5,0,0,0,4,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,8,0,0,0,5,0,0,0,0,0,7,0,0,0,19,15,0,0,0,0,40
RA50,4937,10088,11209,9967,9874,12474,26298,20841,9932,115620,5084,13362,17147,14553,13123,13568,19974,12599,4742,114162,3216,13586,19770,16826,14155,13337,13819,7718,2609,105026,2164,14888,28360,22232,19787,16685,11623,4927,1676,122336,1115,13071,37073,29802,25760,22052,10997,3509,984,144365,440,7735,31336,26084,22030,17556,7141,1916,485,114716,224,4189,27575,25661,21820,16850,5610,1533,542,104000,89,1844,19040,21055,18307,12765,3745,792,226,77852,94,2064,28745,43020,37819,24597,5992,1198,364,143889,26,320,5651,11297,10194,6306,1661,408,125,35986,70,273,5277,18063,20593,12416,3666,1131,318,61807,5709,7231,16765,14456,11837,9508,8831,8652,7689,90673,134,383,1062,648,637,927,792,263,78,4920,121742,128653,291735,295438,262294,228534,182000,100405,40577,1651383
RA51,658,572,1124,1258,1361,2022,4082,2732,1140,14948,822,972,1636,1787,1879,2138,2946,1634,500,14310,565,1285,1781,1941,2121,2016,2047,1038,298,13082,363,1484,2413,2360,2537,2360,1578,628,166,13889,170,1172,2761,2848,3146,2880,1503,449,84,15006,55,708,2153,2272,2451,2215,794,214,47,10905,35,425,1773,2209,2411,1976,660,187,61,9735,20,218,1304,1749,2109,1595,412,84,20,7504,14,272,2110,3470,3900,2893,642,108,28,13445,6,31,426,817,939,649,171,37,19,3092,18,29,341,966,1267,913,353,96,31,4011,1043,1141,2838,2758,2544,2218,1846,1297,808,16494,15,88,150,76,40,39,26,17,5,465,13422,10434,24621,28619,30873,30855,26320,13278,4449,182875
