RA_CODE_2021,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2m_sty_Dw,sd_rw_tce_hs_th_wth_2m_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_8_stry_blck_D,Flt_apart_In_4_8_stry_blck_P,Flt_apart_In_9m_stry_blck_D,Flt_apart_In_9m_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
RA10,1299131,3910419,109967,234640,185717,481198,295684,715838,117525,224017,172101,343488,206768,426632,131158,270846,10045,25153,637594,1290142,2084,3171,2422,3584,446,550,7952,16990,12895,24300,5187,10511,2250499,5951208,186725,..,2437231,5951208
RA11,535657,1364628,42239,69401,14761,28247,56999,97653,21696,34083,3253,5259,2539,4106,415,728,1185,2417,29090,46591,3959,6588,4917,7440,532,736,1645,3549,11046,18309,2772,4913,635570,1532089,81549,..,717112,1532089
RA12,142159,344427,5518,8714,1309,2352,6830,11065,4703,8109,243,524,35,62,4,14,97,179,5086,8899,1226,2008,851,1369,252,409,498,1063,2826,4851,1175,2257,158077,371491,28147,..,186222,371491
RA13,9663,23785,287,446,17,34,299,474,301,449,0,0,0,0,0,0,0,4,307,451,219,429,74,140,209,360,39,98,547,1024,278,576,11101,26314,2285,..,13385,26314
RA14,2433,5957,89,146,33,64,117,211,34,46,0,0,0,3,0,0,11,29,53,76,84,153,21,51,97,171,9,12,218,387,205,398,3021,7023,810,..,3839,7023
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,..,0,5
RA20,1282085,3687563,175985,358207,134450,330409,310439,688617,93790,168572,56460,92534,67037,109811,81394,140364,1170,2556,299852,513833,625,849,2011,2573,740,779,4106,8128,7477,12323,2298,4503,1902149,4906837,199672,..,2101819,4906837
RA21,446511,1103635,28891,44051,3811,7361,32701,51413,7335,10522,332,533,236,357,9,30,187,335,8105,11776,1830,2712,2275,3412,348,461,910,1751,5364,8337,930,1866,493603,1177020,74011,..,567618,1177020
RA22,98958,232937,5422,8322,366,689,5795,9012,2732,4186,145,343,76,179,31,76,28,60,3011,4846,1031,1685,719,1271,152,237,226,459,2131,3657,424,838,110322,251286,23880,..,134202,251286
RA23,1476,3091,29,38,0,9,30,43,5,0,0,0,0,0,0,0,0,0,7,6,20,30,4,6,9,10,9,13,33,56,14,19,1558,3219,463,..,2025,3219
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
RA30,862459,2481571,59723,107504,117007,259129,176736,366640,53995,91207,56071,98421,50384,91002,54103,96193,2609,5282,217162,382106,4235,6881,2853,4088,937,1107,554,1190,8577,13274,3278,6091,1268209,3249682,100673,..,1368884,3249682
RA31,339420,871089,22260,36461,8927,15445,31186,51906,11979,19253,873,1354,1284,2180,681,1155,387,738,15207,24682,5614,9970,2065,3230,893,1455,321,686,8892,15341,2248,4192,396952,967222,40584,..,437536,967222
RA32,221673,571696,14136,23627,9169,16295,23307,39922,12219,20903,5761,10076,2378,4282,1265,2196,114,247,21736,37699,6649,12694,1588,2764,749,1392,528,1110,9519,17960,3006,5542,279231,672821,38265,..,317495,672821
RA33,23374,59864,1495,2549,344,618,1836,3168,841,1452,37,54,3,3,0,0,16,35,898,1545,2144,4128,482,795,587,949,64,136,3276,6003,894,1725,30287,72307,8318,..,38601,72307
RA34,15498,41986,1074,2704,476,1066,1554,3770,511,958,20,44,0,0,0,0,38,59,567,1065,3414,6780,310,611,654,1212,82,146,4461,8750,1258,2540,23347,58117,4559,..,27901,58117
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,8,9,5,12,0,..,5,12
RA40,396874,1046010,66706,123110,24698,53066,91407,176180,31355,52391,4665,7514,5973,9894,4043,6751,371,880,46407,77435,908,1467,481,667,158,170,487,1032,2037,3328,1402,2675,538118,1305628,38720,..,576840,1305628
RA41,66766,160911,3242,4967,269,522,3506,5483,439,598,78,116,18,37,3,8,13,39,558,795,446,762,300,471,31,47,81,160,857,1445,274,556,71958,169194,14527,..,86483,169194
RA42,72789,168777,9847,17856,218,428,10069,18287,2434,3360,52,65,20,32,0,5,32,76,2540,3533,1077,1980,434,724,183,260,175,420,1865,3383,633,1075,87894,195050,21332,..,109225,195050
RA43,16617,38317,921,1583,118,268,1045,1853,520,698,7,11,0,0,0,0,16,45,550,763,290,571,131,256,88,155,48,114,560,1091,182,328,18943,42348,6545,..,25490,42348
RA44,4936,12228,163,250,6,3,171,263,112,170,0,0,0,0,0,0,13,25,122,199,501,980,83,156,52,109,24,68,661,1326,349,612,6241,14625,2691,..,8937,14625
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
RA50,614334,1671436,83311,155861,32604,65641,115913,221499,20301,32688,15501,24564,17585,28536,10139,17352,849,1744,64376,104886,1237,1829,1223,1773,1559,1685,453,920,4474,6212,1049,1878,800154,2005913,71626,..,871773,2005913
RA51,80105,200989,5316,8492,877,1654,6189,10143,746,1153,123,194,42,67,43,68,66,144,1020,1625,751,1242,681,1108,304,411,97,197,1833,2957,335,619,89482,216337,16268,..,105752,216337
RA52,66103,159589,5396,8924,862,1649,6259,10574,659,988,21,29,4,7,0,0,50,86,728,1101,1007,1707,908,1404,420,515,106,184,2445,3816,422,700,75957,175775,15706,..,91663,175775
RA53,26993,71407,3207,6360,878,1765,4082,8124,864,1365,221,329,204,332,196,278,11,20,1492,2321,2720,5546,396,639,273,381,116,264,3504,6841,638,1186,36711,89879,8438,..,45152,89879
RA54,15420,42735,1200,2231,159,280,1352,2518,538,907,9,17,0,0,0,0,8,25,559,950,7546,15186,247,502,530,1061,156,401,8478,17152,1641,2883,27450,66232,6071,..,33514,66232
RA55,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,0,0,0,0,5,12,8,23,13,37,0,..,13,37
RA61,116369,293215,6076,10093,3644,7447,9724,17543,9501,16282,1239,2064,669,1165,45,75,296,588,11752,20171,215,340,179,317,159,175,331,700,886,1530,335,624,139064,333083,9745,..,148805,333083
RA62,78447,183165,4027,5822,481,829,4512,6657,472,726,46,55,50,80,0,0,32,69,599,928,589,909,320,533,143,211,167,347,1212,2003,228,423,84995,193167,15605,..,100599,193167
RA63,3854,7630,98,136,15,29,115,169,53,72,0,0,0,0,0,0,0,0,51,77,67,131,23,48,3,11,5,23,99,210,65,114,4183,8193,3453,..,7636,8193
RA64,1132,2285,28,45,4,0,37,45,14,15,0,0,0,0,0,0,0,0,14,15,0,5,6,6,0,3,0,4,10,18,5,16,1191,2381,378,..,1568,2381
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
RA72,32155,95895,3037,5967,2397,5319,5427,11289,4434,8928,2143,4491,3581,7546,2959,5917,33,64,13148,26947,1684,3653,356,732,303,463,25,57,2361,4910,409,730,53503,139769,5025,..,58528,139769
RA73,11404,34121,2426,5249,1081,2310,3504,7559,560,975,38,55,6,8,0,0,16,37,620,1080,2162,4397,231,412,367,639,33,62,2793,5514,944,1782,19267,50050,2775,..,22045,50050
RA74,7957,34915,987,2678,57,117,1048,2795,381,745,26,49,10,38,0,0,8,28,424,856,1913,4009,182,331,369,845,31,56,2498,5237,672,1205,12596,45015,2603,..,15198,45015
RA75,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,6,6,0,3,7,12,0,..,7,12
RA80,108877,309976,14320,28121,15823,36415,30145,64537,6015,10877,8201,15003,13663,23839,6695,11796,519,1036,35098,62550,64,103,239,381,58,59,15,31,367,569,262,535,174745,438166,11969,..,186714,438166
