RA_CODE_2021,Neg_Nil_Inc_CF_no_chldren,Neg_Nil_Inc_CFwith_chldren,Neg_Nil_Inc_OnePF,Neg_Nil_Inc_Oth_family,Neg_Nil_Inc_Total,1_149_CF_no_chldren,1_149_CFwith_chldren,1_149_One_PF,1_149_Oth_family,1_149_Total,150_299_CF_no_chldren,150_299_CFwith_chldren,150_299_OnePF,150_299_Oth_family,150_299_Total,300_399_CF_no_chldren,300_399_CFwith_chldren,300_399_OnePF,300_399_Oth_family,300_399_Total,400_499_CF_no_chldren,400_499_CFwith_chldren,400_499_OnePF,400_499_Oth_family,400_499_Total,500_649_CF_no_chldren,500_649_CFwith_chldren,500_649_OnePF,500_649_Oth_family,500_649_Total,650_799_CF_no_chldren,650_799_CFwith_chldren,650_799_OnePF,650_799_Oth_family,650_799_Total,800_999_CF_no_chldren,800_999_CFwith_chldren,800_999_OnePF,800_999_Oth_family,800_999_Total,1000_1249_CF_no_chldren,1000_1249_CFwith_chldren,1000_1249_OnePF,1000_1249_Oth_family,1000_1249_Total,1250_1499_CF_no_chldren,1250_1499_CFwith_chldren,1250_1499_OnePF,1250_1499_Oth_family,1250_1499_Total,1500_1749_CF_no_chldren,1500_1749_CFwith_chldren,1500_1749_OnePF,1500_1749_Oth_family,1500_1749_Total,1750_1999_CF_no_chldren,1750_1999_CFwith_chldren,1750_1999_OnePF,1750_1999_Oth_family,1750_1999_Total,2000_2499_CF_no_chldren,2000_2499_CFwith_chldren,2000_2499_OnePF,2000_2499_Oth_family,2000_2499_Total,2500_2999_CF_no_chldren,2500_2999_CFwith_chldren,2500_2999_OnePF,2500_2999_Oth_family,2500_2999_Total,3000_3499_CF_no_chldren,3000_3499_CFwith_chldren,3000_3499_OnePF,3000_3499_Oth_family,3000_3499_Total,3500_3999_CF_no_chldren,3500_3999_CFwith_chldren,3500_3999_OnePF,3500_3999_Oth_family,3500_3999_Total,4000orMore_CF_no_chldren,4000orMore_CFwith_chldren,4000orMore_OnePF,4000orMore_Oth_family,4000orMore_Total,Part_IncStated_CF_no_chldren,Part_IncStated_CFwith_chldren,Part_IncStated_OnePF,Part_IncStated_Oth_family,Part_IncStated_Total,All_Inc_NS_CF_no_chldren,All_Inc_NS_CFwith_chldren,All_Inc_NS_OnePF,All_Inc_NS_Oth_family,All_Inc_NS_Total,Total_CF_no_chldren,Total_CFwith_chldren,Total_OnePF,Total_Oth_family,Total_Total
RA10,16368,4104,6137,638,27251,4710,804,1437,180,7125,3294,1474,3142,266,8183,2787,1410,5311,244,9748,13526,3523,9211,591,26851,9502,5283,14679,687,30159,51305,10868,17545,1238,80960,33136,15105,22984,2485,73719,37217,25653,25138,2683,90687,44099,35605,23550,3078,106333,27182,34468,18291,2016,81952,31036,37610,16032,1981,86656,69365,93492,28340,3688,194898,51203,82045,13402,2311,148970,40622,78664,9534,1354,130170,27565,57426,4262,761,90018,82385,222940,13084,1462,319870,18325,44073,14921,960,78279,7373,6056,3629,518,17575,571016,760610,250632,27133,1609390
RA11,3260,476,929,87,4747,1695,120,360,41,2225,1105,236,842,52,2225,951,198,1595,50,2794,5232,556,3226,153,9163,3668,753,5778,174,10376,25039,2118,6654,381,34192,15899,3149,8611,786,28449,17165,6057,8905,739,32868,19727,9657,7176,668,37231,10252,9398,4933,364,24945,11595,10500,3884,363,26331,21938,24311,5743,557,52553,13614,20302,2287,267,36473,9537,16555,1342,154,27586,5039,10925,526,53,16539,12305,25711,1373,109,39500,7571,13851,5019,253,26697,3486,1285,1403,168,6340,189081,156162,70570,5417,421234
RA12,1055,181,228,25,1485,485,59,92,17,653,271,86,231,22,613,220,70,474,15,777,1587,186,906,49,2723,1031,284,1372,57,2747,6397,626,1517,91,8628,3716,922,2025,210,6885,4132,1630,1820,169,7754,4604,2516,1360,153,8632,2367,2314,858,72,5612,2938,2513,743,84,6274,5112,5530,1089,107,11836,3222,4141,364,63,7788,2153,3327,223,27,5728,1143,2048,102,16,3313,2459,4160,223,24,6870,2216,4017,1173,88,7492,1174,380,435,73,2065,46270,34988,15242,1366,97865
RA13,92,24,11,0,126,30,5,7,0,45,10,10,16,5,40,10,8,31,5,46,73,15,51,0,141,62,24,106,3,196,283,31,104,15,434,169,75,120,8,377,189,110,111,9,420,216,165,73,15,460,113,127,57,6,305,175,142,37,5,361,314,318,68,9,706,234,251,12,4,499,129,182,24,4,334,87,110,9,0,203,207,280,26,4,512,142,385,85,12,622,81,40,38,13,170,2614,2307,964,111,5996
RA14,17,7,12,0,37,14,5,5,0,23,0,0,14,0,16,3,0,13,0,22,23,5,16,6,49,10,10,31,3,54,68,12,32,4,108,39,25,38,9,100,47,33,30,0,113,48,37,20,0,104,26,25,15,0,63,40,18,11,0,69,62,61,24,3,161,42,46,10,4,95,30,52,3,0,85,22,29,0,0,52,49,65,7,0,117,46,86,23,0,157,26,17,22,4,69,604,522,321,36,1476
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA20,13441,3506,5515,641,23095,4031,825,1514,209,6588,2863,1458,3092,273,7680,2243,1320,4426,223,8205,11009,3156,7577,581,22321,7742,4684,11695,599,24726,41278,9436,14209,1219,66142,28020,14353,19049,2106,63522,31521,23813,20910,2235,78477,37031,33477,19489,2721,92723,22624,32819,14992,1802,72239,26052,35264,12679,1735,75734,58612,84842,21759,3284,168496,45291,72634,10001,2036,129958,34515,65680,6837,1218,108245,23031,45399,2922,650,72004,57296,155907,8114,1158,222469,14979,36969,13028,751,65737,6893,5132,2961,408,15392,468475,630688,200764,23846,1323772
RA21,2521,413,637,46,3619,1255,127,248,32,1669,799,190,605,44,1629,685,147,1229,46,2107,4055,404,2440,129,7031,2857,664,4217,123,7856,17431,1641,4976,276,24318,12188,2604,6372,565,21726,13044,4912,6115,527,24592,14399,7894,5216,477,27976,7588,8066,3619,300,19577,9004,9032,2772,273,21078,17310,20492,4157,435,42397,11074,17021,1653,231,29978,7535,13672,953,108,22270,3945,8589,379,66,12984,9175,19623,913,90,29792,5589,10747,3736,180,20247,3001,1262,1007,143,5419,143444,127491,51233,4094,326269
RA22,637,108,139,15,895,299,35,54,5,392,208,56,141,9,414,184,45,289,14,528,1067,122,522,18,1740,746,185,913,33,1878,4685,419,1049,61,6218,3047,686,1291,142,5168,3180,1236,1275,131,5812,3372,1961,906,104,6350,1672,1799,613,48,4137,2081,1900,475,72,4524,3781,3919,651,82,8432,2204,2962,256,55,5471,1409,2084,139,17,3646,699,1215,52,6,1980,1531,2463,154,23,4167,1388,2428,762,52,4627,913,266,267,43,1494,33111,23891,9944,922,67869
RA23,8,0,0,0,12,4,3,0,0,6,5,0,0,0,6,3,0,3,0,9,22,0,3,0,31,18,9,6,0,29,71,4,4,0,85,51,13,20,0,75,43,24,13,0,76,51,29,10,4,92,23,19,11,0,49,37,20,5,0,61,45,46,3,0,92,35,27,0,0,64,26,8,0,0,34,11,4,0,0,20,22,22,0,0,47,25,20,6,0,55,19,3,3,0,28,515,252,90,10,868
