RA_CODE_2021,0_299_Separate_house,0_299_Sd_rw_tce_hse_th,0_299_Flat_apartment,0_299_Other_dwelling,0_299_Dwelling_structure_NS,0_299_Tot,300_449_Separate_house,300_449_Sd_rw_tce_hse_th,300_449_Flat_apartment,300_449_Other_dwelling,300_449_Dwg_structure_NS,300_449_Tot,450_599_Separate_house,450_599_Sd_rw_tce_hse_th,450_599_Flat_apartment,450_599_Other_dwelling,450_599_Dwg_structure_NS,450_599_Tot,600_799_Separate_house,600_799_Sd_rw_tce_hse_th,600_799_Flat_apartment,600_799_Other_dwelling,600_799_Dwg_structure_NS,600_799_Tot,800_999_Separate_house,800_999_Sd_rw_tce_hse_th,800_999_Flat_apartment,800_999_Other_dwelling,800_999_Dwg_structure_NS,800_999_Tot,1000_1399_Separate_house,1000_1399_Sd_rw_tce_hse_th,1000_1399_Flat_apartmnt,1000_1399_Other_dwelling,1000_1399_Dwg_structure_NS,1000_1399_Tot,1400_1799_Separate_house,1400_1799_Sd_rw_tce_hse_th,1400_1799_Flat_apartmnt,1400_1799_Other_dwelling,1400_1799_Dwg_structure_NS,1400_1799_Tot,1800_2399_Separate_house,1800_2399_Sd_rw_tce_hse_th,1800_2399_Flat_apartmnt,1800_2399_Other_dwelling,1800_2399_Dwg_structure_NS,1800_2399_Tot,2400_2999_Separate_house,2400_2999_Sd_rw_tce_hse_th,2400_2999_Flat_apartmnt,2400_2999_Other_dwelling,2400_2999_Dwg_structure_NS,2400_2999_Tot,3000_3999_Separate_house,3000_3999_Sd_rw_tce_hse_th,3000_3999_Flat_apartmnt,3000_3999_Other_dwelling,3000_3999_Dwg_structure_NS,3000_3999_Tot,4000_over_Separate_house,4000_over_Sd_rw_tce_hse_th,4000_over_Flat_apartmnt,4000_over_Other_dwelling,4000_over_Dwg_structure_NS,4000_over_Tot,M_rep_NS_Sep_house,M_rep_NS_Sd_rw_tce_hse_th,M_rep_NS_Flat_apart,M_rep_NS_Other_dwelling,M_rep_NS_Dwg_structu_ns,M_rep_NS_Tot,Tot_Sep_hse,Tot_Sd_row_tce_hse_th,Tot_Flat_apartment,Tot_Other_dwelling,Tot_Dwelling_structure_NS,Tot_Tot
RA10,24189,3922,5264,76,29,33480,6432,1045,1250,15,4,8747,5560,980,1205,19,5,7769,9310,1531,2146,33,4,13027,13029,2061,3139,44,14,18283,39896,6394,10393,101,33,56815,50913,8865,14666,112,58,74615,94625,15243,28711,213,134,138921,70774,10218,18849,121,130,100096,78874,12047,16849,117,113,107996,84962,14872,12568,149,107,112653,33825,5004,6966,78,55,45932,512387,82178,122002,1078,691,718331
RA11,8019,393,157,38,23,8621,3728,215,92,14,9,4054,3436,253,74,19,7,3787,6894,378,141,45,15,7472,10144,504,197,32,17,10897,29409,1236,491,84,42,31264,31415,1135,323,67,32,32972,35552,910,288,70,39,36858,16616,295,100,32,23,17070,13477,237,90,27,22,13847,9289,141,70,30,18,9547,10120,380,113,50,17,10681,178098,6071,2134,514,256,187074
RA12,2784,42,16,24,24,2893,1456,28,13,18,3,1522,1506,23,12,3,0,1552,2929,41,25,12,11,3012,3692,58,45,13,11,3821,8032,133,86,38,16,8288,5856,101,33,27,11,6032,5119,51,30,19,12,5221,1915,17,12,10,5,1959,1550,14,14,4,4,1587,1266,15,14,5,8,1314,2572,33,22,10,9,2647,38677,552,315,190,112,39849
RA13,281,4,0,0,4,292,116,0,0,0,0,117,105,0,0,4,0,108,185,0,0,6,0,190,181,0,0,4,4,198,322,0,0,9,0,328,160,0,0,3,6,159,134,0,4,5,6,146,51,0,0,3,0,53,59,0,0,0,0,60,99,0,0,0,8,107,147,0,0,4,0,151,1831,7,6,33,28,1908
RA14,52,0,0,0,0,52,22,0,0,0,0,22,21,0,0,0,0,19,38,0,0,3,0,41,28,0,0,0,0,28,47,0,0,0,3,48,43,0,0,0,0,46,27,0,0,0,0,28,11,0,0,0,0,11,8,0,0,0,0,8,18,0,0,0,0,23,32,0,0,0,6,37,353,7,0,0,10,371
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA20,25940,4137,2278,38,14,32411,8185,1291,665,9,3,10154,7040,1116,670,3,4,8834,12075,1975,1222,22,7,15296,16584,2807,2098,30,11,21528,53952,9554,8777,101,34,72416,75539,12814,11635,107,66,100164,123668,18130,13735,145,83,155755,61989,10043,5635,67,39,77776,55997,10273,4522,68,45,70909,50663,9587,3212,57,39,63560,35700,5337,2846,45,27,43962,527331,87074,57293,692,375,672760
RA21,7278,212,45,24,19,7585,4271,158,41,9,3,4484,3984,127,31,14,3,4162,8203,327,52,30,6,8619,11817,424,102,22,8,12376,32126,880,166,54,28,33250,30497,504,91,42,39,31168,27506,366,52,38,43,28016,10580,121,15,21,15,10745,8114,103,13,12,11,8248,5665,58,13,20,16,5775,9539,201,44,21,9,9807,159579,3483,671,297,198,164228
RA22,1887,52,9,5,12,1966,1233,16,5,3,3,1267,1352,27,4,7,0,1390,2557,47,21,11,3,2641,3204,85,30,9,3,3324,6691,108,35,15,8,6848,4408,45,13,4,3,4476,3092,33,12,11,7,3151,982,7,7,5,0,998,765,11,0,0,0,783,629,7,0,3,4,642,1826,31,9,9,6,1877,28622,463,147,80,41,29360
RA23,40,0,0,0,0,40,42,0,0,0,0,42,17,0,0,0,0,17,36,0,0,0,0,34,25,0,0,0,0,29,34,0,0,0,0,31,6,0,0,0,0,6,8,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,17,0,0,0,0,17,225,0,0,0,4,229
