RA_CODE_2021,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Agr_fstry_fsh_15_19,F_Agr_fstry_fsh_20_24,F_Agr_fstry_fsh_25_34,F_Agr_fstry_fsh_35_44,F_Agr_fstry_fsh_45_54,F_Agr_fstry_fsh_55_64,F_Agr_fstry_fsh_65_74,F_Agr_fstry_fsh_75_84,F_Agr_fstry_fsh_85_yr_over,F_Agr_fstry_fsh_Tot,F_Min_15_19_yr,F_Min_20_24_yr,F_Min_25_34_yr,F_Min_35_44_yr,F_Min_45_54_yr,F_Min_55_64_yr,F_Min_65_74_yr,F_Min_75_84_yr,F_Min_85_yr_over,F_Min_Tot,F_Manf_15_19_yr,F_Manf_20_24_yr,F_Manf_25_34_yr,F_Manf_35_44_yr,F_Manf_45_54_yr,F_Manf_55_64_yr,F_Manf_65_74_yr,F_Manf_75_84_yr,F_Manf_85_yr_over,F_Manf_Tot,F_Elec_gas_wtr_wst_sv_15_19,F_Elec_gas_wtr_wst_sv_20_24,F_Elec_gas_wtr_wst_sv_25_34,F_Elec_gas_wtr_wst_sv_35_44,F_Elec_gas_wtr_wst_sv_45_54,F_Elec_gas_wtr_wst_sv_55_64,F_Elec_gas_wtr_wst_sv_65_74,F_Elec_gas_wtr_wst_sv_75_84,F_Elec_gas_wtr_wst_sv_85_over,F_Elec_gas_wtr_wst_sv_Tot,F_Con_15_19_yr,F_Con_20_24_yr,F_Con_25_34_yr,F_Con_35_44_yr,F_Con_45_54_yr,F_Con_55_64_yr,F_Con_65_74_yr,F_Con_75_84_yr,F_Con_85_yr_over,F_Con_Tot,F_Whl_trd_15_19_yr,F_Whl_trd_20_24_yr,F_Whl_trd_25_34_yr,F_Whl_trd_35_44_yr,F_Whl_trd_45_54_yr,F_Whl_trd_55_64_yr,F_Whl_trd_65_74_yr,F_Whl_trd_75_84_yr,F_Whl_trd_85_yr_over,F_Whl_trd_Tot,F_Re_trd_15_19_yr,F_Re_trd_20_24_yr,F_Re_trd_25_34_yr,F_Re_trd_35_44_yr,F_Re_trd_45_54_yr,F_Re_trd_55_64_yr,F_Re_trd_65_74_yr,F_Re_trd_75_84_yr,F_Re_trd_85_yr_over,F_Re_trd_Tot,F_Acc_food_svc_15_19,F_Acc_food_svc_20_24,F_Acc_food_svc_25_34,F_Acc_food_svc_35_44,F_Acc_food_svc_45_54,F_Acc_food_svc_55_64,F_Acc_food_svc_65_74,F_Acc_food_svc_75_84,F_Acc_food_svc_85_yr_over,F_Acc_food_svc_Tot,F_Trp_pos_wh_15_19,F_Trp_pos_wh_20_24,F_Trp_pos_wh_25_34,F_Trp_pos_wh_35_44,F_Trp_pos_wh_45_54,F_Trp_pos_wh_55_64,F_Trp_pos_wh_65_74,F_Trp_pos_wh_75_84,F_Trp_pos_wh_85_yr_over,F_Trp_pos_wh_Tot,F_In_med_tcom_15_19,F_In_med_tcom_20_24,F_In_med_tcom_25_34,F_In_med_tcom_35_44,F_In_med_tcom_45_54,F_In_med_tcom_55_64,F_In_med_tcom_65_74,F_In_med_tcom_75_84,F_In_med_tcom_85_yr_over,F_In_med_tcom_Tot,F_Fin_in_svc_15_19,F_Fin_in_svc_20_24,F_Fin_in_svc_25_34,F_Fin_in_svc_35_44,F_Fin_in_svc_45_54,F_Fin_in_svc_55_64,F_Fin_in_svc_65_74,F_Fin_in_svc_75_84,F_Fin_in_svc_85_yr_over,F_Fin_in_svc_Tot,F_Rnt_hrg_rea_est_serv_15_19,F_Rnt_hrg_rea_est_serv_20_24,F_Rnt_hrg_rea_est_serv_25_34,F_Rnt_hrg_rea_est_serv_35_44,F_Rnt_hrg_rea_est_serv_45_54,F_Rnt_hrg_rea_est_serv_55_64,F_Rnt_hrg_rea_est_serv_65_74,F_Rnt_hrg_rea_est_serv_75_84,F_Rnt_hrg_rea_est_serv_85_ov,F_Rnt_hrg_rea_est_serv_Tot,F_Prof_sc_tech_serv_15_19,F_Prof_sc_tech_serv_20_24,F_Prof_sc_tech_serv_25_34,F_Prof_sc_tech_serv_35_44,F_Prof_sc_tech_serv_45_54,F_Prof_sc_tech_serv_55_64,F_Prof_sc_tech_serv_65_74,F_Prof_sc_tech_serv_75_84,F_Prof_sc_tech_serv_85_over,F_Prof_sc_tech_serv_Tot,F_Adm_sup_serv_15_19,F_Adm_sup_serv_20_24,F_Adm_sup_serv_25_34,F_Adm_sup_serv_35_44,F_Adm_sup_serv_45_54,F_Adm_sup_serv_55_64,F_Adm_sup_serv_65_74,F_Adm_sup_serv_75_84,F_Adm_sup_serv_85_over,F_Adm_sup_serv_Tot,F_PubAd_saf_15_19,F_PubAd_saf_20_24,F_PubAd_saf_25_34,F_PubAd_saf_35_44,F_PubAd_saf_45_54,F_PubAd_saf_55_64,F_PubAd_saf_65_74,F_PubAd_saf_75_84,F_PubAd_saf_85_over,F_PubAd_saf_Tot,F_Ed_trng_15_19,F_Ed_trng_20_24,F_Ed_trng_25_34,F_Ed_trng_35_44,F_Ed_trng_45_54,F_Ed_trng_55_64,F_Ed_trng_65_74,F_Ed_trng_75_84,F_Ed_trng_85_yr_over,F_Ed_trng_Tot,F_Hlth_cre_socia_assist_15_19,F_Hlth_cre_socia_assist_20_24,F_Hlth_cre_socia_assist_25_34,F_Hlth_cre_socia_assist_35_44,F_Hlth_cre_socia_assist_45_54,F_Hlth_cre_socia_assist_55_64,F_Hlth_cre_socia_assist_65_74,F_Hlth_cre_socia_assist_75_84,F_Hlth_cre_socia_assist_85ov,F_Hlth_cre_socia_assist_Tot,F_Arts_rec_svc_15_19,F_Arts_rec_svc_20_24,F_Arts_rec_svc_25_34,F_Arts_rec_svc_35_44,F_Arts_rec_svc_45_54,F_Arts_rec_svc_55_64,F_Arts_rec_svc_65_74,F_Arts_rec_svc_75_84,F_Arts_rec_svc_85_yr_over,F_Arts_rec_svc_Tot,F_Oth_svc_15_19_yr,F_Oth_svc_20_24_yr,F_Oth_svc_25_34_yr,F_Oth_svc_35_44_yr,F_Oth_svc_45_54_yr,F_Oth_svc_55_64_yr,F_Oth_svc_65_74_yr,F_Oth_svc_75_84_yr,F_Oth_svc_85_yr_over,F_Oth_svc_Tot
RA10,59282,130827,345148,346882,287393,208948,61151,8688,751,1449074,139,293,773,840,1016,754,297,75,10,4192,13,107,527,563,486,250,44,11,0,2012,1693,2918,9714,11806,12034,8475,1783,140,8,48569,34,310,1396,1804,1583,805,127,10,0,6068,583,2420,9695,10112,8268,5015,1278,150,8,37528,380,1887,7339,9014,8106,4960,1102,115,13,32920,17016,21734,29482,24281,22058,16146,3802,358,25,134902,23003,15075,16354,10947,8794,6371,1319,119,11,81989,538,2261,7367,8257,8120,5672,1156,102,4,33484,477,1922,7539,7085,4791,2315,500,63,3,24694,389,5451,24113,27711,18743,8688,1663,147,19,86931,481,2235,6413,6431,5226,3148,1020,223,39,25208,1248,11602,40648,34368,23301,13032,3985,510,17,128716,696,3695,11678,10708,9782,6986,1686,162,7,45399,616,4211,17110,20617,18879,11842,2213,119,9,75608,4774,13203,38780,40041,40365,28578,7241,502,20,173503,5310,28088,74498,66110,63339,51287,12814,997,31,302483,1698,2679,5089,4099,3205,2000,666,106,8,19550,1906,4296,10745,9437,8654,5663,1439,163,5,42310
RA11,23569,28845,65023,66262,71660,64942,22992,4162,434,347902,311,584,1291,1320,1688,1878,1478,563,68,9173,20,159,567,528,433,185,20,6,3,1916,779,801,1980,2064,2319,1936,483,46,3,10407,29,64,268,415,546,358,51,3,0,1733,257,541,1864,2203,2143,1674,483,46,8,9213,141,296,673,806,1030,847,254,44,0,4083,6996,4440,6477,6188,7139,6546,1643,154,8,39586,8509,4290,4864,4036,4006,3469,872,103,11,30164,107,303,804,1018,1503,1400,443,55,0,5635,118,242,445,515,506,411,121,19,0,2391,94,396,1392,1624,1677,1200,260,32,5,6675,158,426,1069,1006,1200,859,343,53,3,5121,307,1088,3626,3995,3969,2962,1071,103,3,17120,249,759,2134,2620,2987,2638,624,46,0,12064,333,1132,4044,5519,6256,3940,658,34,0,21921,1012,2655,8280,11015,12362,9699,2361,156,3,47543,1810,6563,17578,16899,19755,19543,4468,227,5,86851,537,478,781,830,849,631,228,38,3,4372,784,1164,2882,2544,2591,1878,544,57,3,12452
RA12,5015,6666,15598,15073,17350,18329,8023,1922,290,88266,236,386,973,1221,1568,2009,1612,520,75,8598,7,73,215,181,146,63,17,0,0,707,191,242,723,642,669,546,120,25,3,3165,6,24,79,83,105,83,11,4,0,391,47,89,310,310,351,299,121,10,0,1542,47,110,221,202,251,204,56,7,0,1114,1418,732,1307,1331,1621,1557,419,37,0,8428,1478,904,1228,950,1075,1061,316,21,0,7037,35,91,221,268,384,430,160,26,3,1617,22,50,75,78,73,77,37,0,0,413,10,89,282,295,332,223,31,8,0,1275,43,101,184,160,206,149,66,17,0,932,86,260,752,711,757,636,184,24,0,3417,58,178,473,489,643,665,146,23,0,2683,53,194,836,1024,1234,889,178,13,0,4417,200,583,1998,2548,2828,2367,582,31,0,11144,354,1060,3059,3115,3807,4191,949,49,0,16582,105,155,249,147,174,175,49,13,0,1076,169,247,543,436,470,395,127,19,3,2406
RA13,259,478,1314,1094,1241,1385,629,148,30,6583,34,61,142,148,247,250,129,57,5,1073,3,33,51,31,24,21,0,0,0,176,7,3,14,12,13,19,7,0,0,76,3,0,5,5,6,0,0,0,0,27,3,0,26,18,9,18,6,0,0,73,0,5,28,15,14,10,6,0,0,74,46,31,64,62,92,75,25,0,0,394,53,38,94,69,59,74,21,5,0,406,4,5,15,20,21,32,11,4,0,112,0,0,9,5,4,8,0,0,0,22,5,5,13,13,14,7,0,0,0,63,0,3,4,8,3,0,6,0,0,25,5,11,37,22,39,26,5,0,0,139,6,4,28,34,33,41,8,0,0,156,9,15,71,75,71,58,9,0,0,299,22,54,213,237,232,153,47,0,0,956,25,70,213,130,185,211,44,3,0,883,3,4,4,3,9,6,0,0,0,27,3,13,22,22,17,19,9,3,0,109
RA14,57,122,279,257,292,358,159,44,4,1575,0,19,29,20,44,49,38,5,3,206,0,0,11,3,6,0,0,0,0,14,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,5,13,3,6,0,0,0,25,0,0,4,6,3,0,0,0,0,16,3,4,11,12,12,25,11,3,0,81,6,10,14,22,20,27,12,3,0,115,0,0,3,5,8,6,0,0,0,22,0,0,0,0,0,0,0,0,0,8,0,0,0,0,5,0,0,0,0,3,0,0,0,3,0,0,0,0,0,13,0,3,6,3,6,8,0,0,0,30,3,8,11,16,13,8,4,0,0,49,0,4,48,29,39,17,0,0,0,143,8,16,65,55,55,41,15,0,0,265,5,24,55,31,45,64,12,0,0,239,0,4,4,0,4,0,0,0,0,10,0,4,7,4,6,10,0,0,0,26
RA15,0,0,0,4,16,10,4,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA20,50609,118835,323752,309900,250295,177429,52139,7328,584,1290862,143,395,1177,1226,1280,943,306,97,10,5567,5,31,181,300,292,109,31,3,0,947,2418,3420,10711,12848,13454,8998,1768,167,7,53794,28,359,2198,2960,1872,823,119,6,0,8364,360,2279,8813,8589,6992,4338,1047,118,0,32544,331,1677,5943,7126,6840,4152,917,97,5,27091,16696,24605,28349,21225,20538,14323,3345,284,12,129378,22639,16692,16456,9504,7665,4890,1006,96,10,78954,360,2096,6813,7009,6592,4248,823,47,5,27987,573,1471,4850,4745,3224,1531,344,41,6,16779,175,2936,15297,17895,11655,5340,1097,88,8,54485,258,1603,5611,4620,3946,2381,769,129,13,19325,586,7706,33627,28809,19467,10387,3085,349,12,104040,539,3494,10928,9081,8421,5566,1481,130,9,39634,409,3513,16026,18165,16377,10608,2143,201,7,67460,2997,10221,36965,37938,35785,24938,5659,426,12,154945,2638,21753,70472,60793,54688,41404,10208,649,21,262625,2184,3218,5363,4419,3453,1941,574,87,8,21247,1215,4108,11073,9494,8239,5298,1307,124,7,40858
RA21,17200,22967,53267,54470,58467,52575,19042,3406,369,281765,393,604,1532,1635,1876,2181,1746,575,63,10601,9,44,129,112,136,82,13,0,3,536,1037,919,2151,2358,2788,2176,513,41,7,11971,23,117,382,472,494,299,44,4,0,1832,159,489,1533,1733,1833,1399,335,24,3,7497,131,230,601,652,860,697,174,17,7,3363,5295,3810,4885,4529,5658,4957,1139,83,7,30366,6377,3109,3135,2510,2672,2274,580,47,9,20715,78,252,754,930,1310,1225,336,41,0,4922,88,190,457,476,492,360,112,17,0,2179,49,303,1279,1632,1573,1025,182,15,0,6054,75,269,667,696,733,528,177,32,0,3165,179,881,2784,3342,3003,2162,723,60,0,13141,196,482,1453,1706,1976,1729,420,45,4,8015,192,850,3143,4339,4737,3433,701,37,0,17438,642,1822,6737,8660,9110,7113,1646,75,4,35812,974,5176,14887,14388,16516,15651,3437,146,5,71179,496,551,855,929,886,677,214,18,0,4635,479,986,2293,1981,1895,1462,417,48,3,9566
RA22,3323,4598,10992,10400,11621,12601,5181,1164,168,60040,133,253,843,821,1071,1219,878,292,32,5540,0,13,19,19,12,14,7,0,0,97,145,136,328,358,437,397,104,11,0,1917,0,13,58,77,70,66,19,0,0,310,25,67,189,236,241,233,56,3,0,1061,26,72,178,164,202,190,33,5,0,875,1051,604,866,910,1186,1143,261,14,0,6041,1035,634,860,681,728,736,209,15,0,4899,45,126,185,171,281,298,74,8,0,1200,10,33,52,56,70,43,14,0,0,273,8,53,175,205,231,148,33,4,0,857,15,61,115,102,147,99,42,8,0,586,42,137,458,494,469,368,138,13,0,2119,52,144,357,352,405,412,96,9,0,1822,24,120,535,708,774,716,132,15,0,3016,121,393,1357,1529,1766,1453,352,15,0,6992,224,867,2714,2493,3077,3412,749,22,0,13555,57,67,139,122,142,117,35,5,0,690,66,152,398,333,358,244,87,11,0,1660
RA23,25,34,93,126,119,187,124,32,4,744,3,0,9,29,20,37,33,13,0,140,0,0,0,0,0,0,0,0,0,3,0,0,3,4,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,11,7,9,13,0,0,0,39,0,3,3,13,4,11,4,0,0,31,4,0,6,0,3,8,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,4,0,0,0,16,0,0,4,4,6,4,0,3,0,13,0,3,5,12,0,9,3,0,0,32,5,5,20,18,17,27,3,0,0,87,5,8,29,37,33,43,11,0,0,163,0,0,0,0,5,0,0,0,0,9,0,0,0,0,7,0,0,0,0,8
