RA_CODE_2021,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Agr_fstry_fsh_15_19,F_Agr_fstry_fsh_20_24,F_Agr_fstry_fsh_25_34,F_Agr_fstry_fsh_35_44,F_Agr_fstry_fsh_45_54,F_Agr_fstry_fsh_55_64,F_Agr_fstry_fsh_65_74,F_Agr_fstry_fsh_75_84,F_Agr_fstry_fsh_85_yr_over,F_Agr_fstry_fsh_Tot,F_Min_15_19_yr,F_Min_20_24_yr,F_Min_25_34_yr,F_Min_35_44_yr,F_Min_45_54_yr,F_Min_55_64_yr,F_Min_65_74_yr,F_Min_75_84_yr,F_Min_85_yr_over,F_Min_Tot,F_Manf_15_19_yr,F_Manf_20_24_yr,F_Manf_25_34_yr,F_Manf_35_44_yr,F_Manf_45_54_yr,F_Manf_55_64_yr,F_Manf_65_74_yr,F_Manf_75_84_yr,F_Manf_85_yr_over,F_Manf_Tot,F_Elec_gas_wtr_wst_sv_15_19,F_Elec_gas_wtr_wst_sv_20_24,F_Elec_gas_wtr_wst_sv_25_34,F_Elec_gas_wtr_wst_sv_35_44,F_Elec_gas_wtr_wst_sv_45_54,F_Elec_gas_wtr_wst_sv_55_64,F_Elec_gas_wtr_wst_sv_65_74,F_Elec_gas_wtr_wst_sv_75_84,F_Elec_gas_wtr_wst_sv_85_over,F_Elec_gas_wtr_wst_sv_Tot,F_Con_15_19_yr,F_Con_20_24_yr,F_Con_25_34_yr,F_Con_35_44_yr,F_Con_45_54_yr,F_Con_55_64_yr,F_Con_65_74_yr,F_Con_75_84_yr,F_Con_85_yr_over,F_Con_Tot,F_Whl_trd_15_19_yr,F_Whl_trd_20_24_yr,F_Whl_trd_25_34_yr,F_Whl_trd_35_44_yr,F_Whl_trd_45_54_yr,F_Whl_trd_55_64_yr,F_Whl_trd_65_74_yr,F_Whl_trd_75_84_yr,F_Whl_trd_85_yr_over,F_Whl_trd_Tot,F_Re_trd_15_19_yr,F_Re_trd_20_24_yr,F_Re_trd_25_34_yr,F_Re_trd_35_44_yr,F_Re_trd_45_54_yr,F_Re_trd_55_64_yr,F_Re_trd_65_74_yr,F_Re_trd_75_84_yr,F_Re_trd_85_yr_over,F_Re_trd_Tot,F_Acc_food_svc_15_19,F_Acc_food_svc_20_24,F_Acc_food_svc_25_34,F_Acc_food_svc_35_44,F_Acc_food_svc_45_54,F_Acc_food_svc_55_64,F_Acc_food_svc_65_74,F_Acc_food_svc_75_84,F_Acc_food_svc_85_yr_over,F_Acc_food_svc_Tot,F_Trp_pos_wh_15_19,F_Trp_pos_wh_20_24,F_Trp_pos_wh_25_34,F_Trp_pos_wh_35_44,F_Trp_pos_wh_45_54,F_Trp_pos_wh_55_64,F_Trp_pos_wh_65_74,F_Trp_pos_wh_75_84,F_Trp_pos_wh_85_yr_over,F_Trp_pos_wh_Tot,F_In_med_tcom_15_19,F_In_med_tcom_20_24,F_In_med_tcom_25_34,F_In_med_tcom_35_44,F_In_med_tcom_45_54,F_In_med_tcom_55_64,F_In_med_tcom_65_74,F_In_med_tcom_75_84,F_In_med_tcom_85_yr_over,F_In_med_tcom_Tot,F_Fin_in_svc_15_19,F_Fin_in_svc_20_24,F_Fin_in_svc_25_34,F_Fin_in_svc_35_44,F_Fin_in_svc_45_54,F_Fin_in_svc_55_64,F_Fin_in_svc_65_74,F_Fin_in_svc_75_84,F_Fin_in_svc_85_yr_over,F_Fin_in_svc_Tot,F_Rnt_hrg_rea_est_serv_15_19,F_Rnt_hrg_rea_est_serv_20_24,F_Rnt_hrg_rea_est_serv_25_34,F_Rnt_hrg_rea_est_serv_35_44,F_Rnt_hrg_rea_est_serv_45_54,F_Rnt_hrg_rea_est_serv_55_64,F_Rnt_hrg_rea_est_serv_65_74,F_Rnt_hrg_rea_est_serv_75_84,F_Rnt_hrg_rea_est_serv_85_ov,F_Rnt_hrg_rea_est_serv_Tot,F_Prof_sc_tech_serv_15_19,F_Prof_sc_tech_serv_20_24,F_Prof_sc_tech_serv_25_34,F_Prof_sc_tech_serv_35_44,F_Prof_sc_tech_serv_45_54,F_Prof_sc_tech_serv_55_64,F_Prof_sc_tech_serv_65_74,F_Prof_sc_tech_serv_75_84,F_Prof_sc_tech_serv_85_over,F_Prof_sc_tech_serv_Tot,F_Adm_sup_serv_15_19,F_Adm_sup_serv_20_24,F_Adm_sup_serv_25_34,F_Adm_sup_serv_35_44,F_Adm_sup_serv_45_54,F_Adm_sup_serv_55_64,F_Adm_sup_serv_65_74,F_Adm_sup_serv_75_84,F_Adm_sup_serv_85_over,F_Adm_sup_serv_Tot,F_PubAd_saf_15_19,F_PubAd_saf_20_24,F_PubAd_saf_25_34,F_PubAd_saf_35_44,F_PubAd_saf_45_54,F_PubAd_saf_55_64,F_PubAd_saf_65_74,F_PubAd_saf_75_84,F_PubAd_saf_85_over,F_PubAd_saf_Tot,F_Ed_trng_15_19,F_Ed_trng_20_24,F_Ed_trng_25_34,F_Ed_trng_35_44,F_Ed_trng_45_54,F_Ed_trng_55_64,F_Ed_trng_65_74,F_Ed_trng_75_84,F_Ed_trng_85_yr_over,F_Ed_trng_Tot,F_Hlth_cre_socia_assist_15_19,F_Hlth_cre_socia_assist_20_24,F_Hlth_cre_socia_assist_25_34,F_Hlth_cre_socia_assist_35_44,F_Hlth_cre_socia_assist_45_54,F_Hlth_cre_socia_assist_55_64,F_Hlth_cre_socia_assist_65_74,F_Hlth_cre_socia_assist_75_84,F_Hlth_cre_socia_assist_85ov,F_Hlth_cre_socia_assist_Tot,F_Arts_rec_svc_15_19,F_Arts_rec_svc_20_24,F_Arts_rec_svc_25_34,F_Arts_rec_svc_35_44,F_Arts_rec_svc_45_54,F_Arts_rec_svc_55_64,F_Arts_rec_svc_65_74,F_Arts_rec_svc_75_84,F_Arts_rec_svc_85_yr_over,F_Arts_rec_svc_Tot,F_Oth_svc_15_19_yr,F_Oth_svc_20_24_yr,F_Oth_svc_25_34_yr,F_Oth_svc_35_44_yr,F_Oth_svc_45_54_yr,F_Oth_svc_55_64_yr,F_Oth_svc_65_74_yr,F_Oth_svc_75_84_yr,F_Oth_svc_85_yr_over,F_Oth_svc_Tot
RA25,0,4,11,39,44,43,5,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,6,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA30,45244,79418,186895,188486,169967,117679,33702,4530,332,826242,139,305,1057,767,776,586,244,73,3,3958,11,186,942,1183,821,385,53,7,0,3585,1325,2028,5421,6380,6525,4463,904,89,6,27129,46,189,894,1473,1257,551,109,4,0,4528,450,1568,5387,6154,5205,3298,873,86,3,23021,335,995,2882,3352,3460,2182,526,54,6,13772,13459,14350,17557,13313,13659,10132,2487,196,11,85165,21777,11662,12483,7419,5885,3735,879,72,3,63913,273,1379,4130,4784,4681,3231,731,58,0,19258,341,968,1996,1822,1510,800,187,21,0,7641,217,1854,7009,8197,6486,3246,592,69,9,27681,322,1339,3698,3823,3635,2558,1014,175,10,16567,810,5875,16952,16250,12100,6491,1907,189,6,60584,684,2815,7473,6990,6696,4531,1149,86,6,30424,252,2329,9294,12596,12559,7213,1216,72,0,45537,2349,6664,19913,26212,28242,18045,3580,245,13,105261,3662,17925,47527,45213,42663,32196,6765,355,9,196307,1590,2339,3510,2857,2356,1472,426,61,4,14620,1567,3567,8252,7183,6397,3777,985,113,0,31852
RA31,14725,18409,40544,41866,45161,39661,11937,1940,208,214455,264,450,1329,1233,1377,1357,836,285,24,7160,34,190,536,444,379,224,35,9,0,1847,514,637,1490,1645,1762,1256,294,23,3,7621,46,88,290,340,360,248,26,3,0,1400,166,343,1180,1472,1412,1105,269,27,3,5979,95,235,531,609,720,563,113,12,0,2882,4539,2754,4062,3968,4619,3856,839,75,3,24715,5669,2211,2563,2147,2145,1638,398,42,3,16816,116,226,755,911,1180,1052,297,33,0,4579,52,129,199,195,186,143,42,3,0,956,67,316,972,1019,982,655,105,6,0,4129,101,289,606,628,754,618,235,35,3,3266,262,888,2119,2320,1996,1435,427,51,0,9495,197,467,1254,1419,1662,1369,312,25,0,6713,101,485,1947,2516,2869,1928,338,24,0,10220,554,1439,4547,7311,8321,6036,1246,84,6,29536,1154,4491,10932,11103,12818,11404,2313,106,0,54312,289,265,437,465,430,289,102,23,0,2300,503,832,1934,1726,1721,1227,320,30,0,8290
RA32,9936,14239,32940,32491,34309,29781,9859,1776,170,165515,223,426,1288,1112,1336,1353,872,294,23,6912,76,322,851,793,602,317,37,5,0,2992,233,292,679,804,837,721,189,20,0,3779,15,51,195,265,241,130,31,0,0,933,94,223,802,989,993,761,199,18,6,4089,80,162,380,452,490,397,101,11,0,2072,3210,1960,2881,2815,3325,2810,717,69,3,17777,3941,1964,2815,2261,2159,1688,436,31,3,15309,88,216,738,933,1051,872,226,30,0,4163,47,81,165,157,134,97,30,3,0,706,42,172,596,661,582,360,74,7,0,2499,55,231,483,541,535,490,172,32,0,2536,174,600,1617,1691,1418,1079,277,33,0,6905,128,394,1124,1243,1341,1085,276,24,0,5603,129,727,2235,2574,2634,1679,298,19,0,10291,397,1154,3589,5191,5876,4127,940,67,3,21345,647,2906,7826,7909,8292,7223,1643,86,0,36540,241,223,379,343,299,260,95,11,0,1854,376,593,1419,1333,1214,892,240,27,0,6097
RA33,941,1602,4456,4117,4287,4115,1418,308,34,21279,67,121,299,318,442,406,244,92,12,1998,33,125,366,271,230,119,12,0,0,1162,26,40,68,55,72,52,9,5,0,324,0,3,28,15,19,9,0,0,0,81,5,34,101,97,91,73,15,3,0,420,17,20,35,37,61,27,12,0,0,219,193,133,204,236,268,237,66,8,0,1354,208,274,482,253,227,222,58,7,0,1726,10,23,78,66,91,97,42,9,0,416,8,8,12,9,10,10,9,0,0,55,3,11,43,36,38,24,4,0,0,164,4,15,47,50,50,34,13,0,0,204,12,38,132,95,73,80,20,3,0,451,19,52,130,97,126,101,30,0,0,565,17,80,225,204,234,201,39,0,0,1001,24,185,500,534,447,365,85,7,0,2148,72,221,627,555,573,610,128,5,0,2791,6,13,28,19,20,21,10,4,0,122,26,49,123,87,105,65,20,3,0,480
RA34,645,1232,3094,2710,3061,2882,1104,187,13,14925,130,204,302,262,300,307,174,52,6,1727,5,40,135,96,95,52,4,0,0,432,14,20,44,27,44,39,12,0,0,200,5,0,10,4,13,13,8,0,0,46,13,11,57,47,70,57,14,0,0,260,0,9,31,37,18,25,6,0,0,129,103,80,159,153,182,176,52,10,0,906,97,148,221,154,175,176,56,4,0,1038,9,16,34,47,68,44,26,4,0,243,0,5,4,8,9,7,5,0,0,38,0,10,26,31,13,24,5,0,0,115,0,3,16,15,21,17,14,0,0,94,12,23,72,41,68,60,16,0,0,298,10,37,73,73,87,70,21,5,0,381,25,91,306,300,305,233,49,0,0,1311,33,179,467,394,342,329,72,4,0,1824,40,179,481,434,505,555,139,3,0,2326,17,16,19,33,41,33,12,0,0,163,11,19,55,51,43,55,14,0,0,240
RA35,0,3,16,28,25,10,6,0,0,90,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA40,15750,31354,75956,72771,65412,50657,14398,2001,159,328464,43,144,431,510,545,419,166,36,11,2306,10,72,298,275,234,122,24,0,0,1032,657,919,2357,2798,2906,2122,499,43,0,12299,15,100,524,662,506,255,48,0,0,2105,181,545,1640,1673,1654,1162,371,31,7,7256,86,280,896,991,1231,856,201,27,0,4561,5814,6020,6521,4907,5268,4349,972,86,8,33938,6886,4958,4392,2666,2106,1495,317,40,0,22866,76,315,999,1190,1236,957,184,17,0,4980,98,273,740,739,522,292,85,15,0,2763,70,706,2801,3190,2831,1639,272,20,0,11533,63,294,886,893,889,749,253,62,4,4091,172,1668,5387,5411,4101,2571,808,69,3,20190,210,1195,3071,2749,2908,2364,590,41,0,13130,99,1017,4301,5944,5455,3701,650,21,0,21189,784,2786,8395,9979,9772,7469,1700,116,0,41002,1002,6945,20926,19184,17845,15278,3239,153,3,84576,556,800,1135,887,740,540,175,27,3,4861,514,1327,3144,2692,2507,1812,501,71,3,12566
RA41,2241,2998,6166,7042,8632,8426,3097,582,55,39238,65,106,281,332,409,455,358,117,13,2129,0,15,34,28,36,17,4,0,0,136,171,190,412,525,635,547,115,15,0,2615,0,4,27,43,51,24,8,0,0,163,20,56,185,235,234,211,64,5,0,999,11,25,68,92,138,123,30,5,0,494,733,552,643,673,843,730,162,13,0,4354,945,393,422,421,417,356,68,13,0,3030,14,41,89,129,171,197,47,4,0,693,15,19,39,53,40,41,16,0,0,221,6,32,127,185,202,119,26,4,0,704,4,34,82,95,127,92,32,6,0,474,21,104,327,389,381,327,94,19,0,1659,27,99,255,295,439,430,95,8,0,1648,23,63,255,478,548,387,54,0,0,1817,82,247,733,1050,1221,999,263,18,0,4613,154,571,1411,1596,2276,2361,486,24,0,8868,62,65,98,112,111,85,36,3,0,564,58,108,264,243,275,216,71,17,0,1259
RA42,2704,3614,8508,8017,9302,9388,3446,657,65,45696,102,162,404,550,671,765,535,148,15,3340,4,25,62,32,34,31,5,0,0,189,113,149,380,399,428,349,78,7,0,1895,0,13,38,30,46,25,3,0,0,154,19,43,142,193,214,168,44,9,0,834,17,29,108,107,143,122,33,9,0,573,868,471,866,799,1040,939,196,15,0,5188,909,416,581,466,559,515,109,13,0,3568,4,40,91,116,213,207,52,4,6,738,12,20,53,51,37,35,9,0,0,214,20,34,139,147,184,110,20,3,0,660,7,27,86,89,113,76,26,5,0,435,29,73,257,265,245,207,63,5,0,1148,26,92,277,304,417,424,114,8,0,1663,23,119,393,458,603,396,79,3,0,2075,109,363,1048,1320,1358,992,254,11,0,5453,197,791,2028,1925,2305,2531,478,18,0,10288,38,36,60,64,54,58,8,5,0,323,75,121,311,280,323,254,67,9,0,1447
RA43,613,848,2542,2452,2492,2420,827,164,10,12370,25,47,144,164,206,203,128,35,9,956,12,65,214,127,75,41,0,0,0,534,27,13,40,48,53,49,11,0,0,238,0,4,4,8,10,0,3,0,0,31,4,19,63,57,61,48,14,0,0,262,8,9,31,38,44,32,6,0,0,168,179,68,188,196,235,198,30,0,0,1097,162,110,180,148,163,135,35,0,0,930,0,21,25,36,62,58,15,3,0,237,4,0,9,10,8,10,4,0,0,48,10,11,41,46,39,29,7,0,0,186,0,11,16,20,22,28,3,0,0,106,12,23,81,94,69,65,19,5,0,366,9,34,62,69,105,82,30,4,0,397,3,17,93,112,107,75,9,0,0,416,16,59,260,328,291,225,49,6,0,1229,48,139,371,349,460,521,101,3,0,1992,12,9,15,18,17,14,6,0,0,80,12,21,64,62,69,35,23,0,0,285
RA44,143,287,906,853,911,922,340,51,3,4420,20,22,46,62,50,66,33,7,0,305,0,9,51,10,21,17,0,0,0,114,0,0,8,6,7,4,3,0,0,39,0,0,0,4,0,3,0,0,0,11,0,0,8,13,24,25,3,0,0,69,0,0,8,9,3,10,0,0,0,28,22,18,51,44,51,53,20,4,0,262,26,32,51,40,51,63,9,0,0,270,0,10,9,10,12,14,11,0,0,62,0,0,0,0,4,3,6,0,0,14,0,3,6,9,10,4,0,3,0,40,0,0,3,4,6,0,0,0,0,18,4,4,14,23,15,14,7,0,0,83,0,8,14,23,24,20,7,0,0,109,5,14,50,40,57,33,10,0,0,204,8,45,133,103,120,87,22,4,0,530,10,34,113,111,131,173,40,0,0,619,0,4,16,14,24,17,9,7,0,89,4,9,21,16,20,15,5,0,0,99
RA45,0,0,0,8,9,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA50,27202,47566,115738,122088,105371,79364,24390,3203,245,525160,77,164,524,571,637,469,215,51,6,2724,94,875,3994,4347,2884,1320,185,17,0,13720,811,1028,2969,3542,3494,2372,560,63,3,14842,36,170,809,1077,808,429,75,4,0,3408,209,948,3758,3847,3097,2134,500,42,0,14542,211,608,1709,2013,1982,1345,300,32,4,8208,8690,9238,10281,8353,8517,6848,1645,121,11,53707,11361,7259,7070,4629,3469,2205,539,34,4,36571,188,800,2349,2529,2582,1836,454,41,0,10773,220,389,888,735,597,412,106,13,0,3360,118,719,3384,4113,3311,1881,396,38,9,13965,109,564,1779,1880,1794,1352,494,81,8,8067,309,2775,9617,9942,6911,3906,1202,127,6,34799,360,1500,4204,4083,3545,2552,644,49,0,16947,252,1537,6037,7596,7319,5366,1072,66,0,29247,1456,3950,12316,15898,18124,13006,3040,200,6,68003,1763,9720,28015,26899,25112,19784,4856,269,8,116418,1151,1449,2187,1844,1405,945,317,42,0,9338,1065,2283,5409,4673,3878,2516,687,84,3,20594
RA51,3373,3984,9037,10601,11660,10224,3464,532,64,52940,70,117,282,281,325,332,263,68,7,1747,20,96,262,317,293,162,17,0,0,1174,175,188,471,570,512,311,80,13,0,2313,0,28,67,83,92,64,12,0,0,357,34,95,316,420,408,304,59,3,0,1636,33,38,109,142,193,139,45,6,0,716,1001,580,931,1157,1307,1109,208,20,0,6315,1310,477,698,793,741,511,136,3,0,4677,21,55,131,181,282,267,89,10,0,1038,33,24,50,48,37,25,14,0,0,232,0,35,163,197,209,155,32,0,0,796,23,61,154,170,185,148,63,0,0,812,27,107,349,572,495,333,126,11,0,2011,49,101,303,432,487,339,97,8,0,1814,52,152,450,633,779,562,103,8,0,2749,124,208,903,1639,2095,1528,325,24,0,6848,246,664,1808,2422,2703,2390,523,23,0,10765,95,80,144,146,138,97,32,8,0,745,114,185,442,415,478,317,67,8,0,2033
RA52,2661,3372,8112,8324,9172,9031,3416,687,84,44864,92,117,375,461,541,606,461,145,6,2804,46,156,395,364,311,173,20,3,0,1468,62,88,216,223,216,178,53,5,0,1046,4,8,36,45,31,34,7,0,0,164,19,45,195,230,224,209,55,3,0,984,33,80,148,131,139,112,20,6,0,672,765,446,676,767,946,823,226,21,0,4670,845,336,558,529,521,476,132,26,0,3423,30,44,128,188,259,258,97,17,0,1027,13,24,41,31,28,30,10,0,0,179,10,55,131,142,143,113,12,3,0,612,16,45,100,110,132,98,29,7,0,533,39,114,331,347,296,261,100,8,0,1502,31,70,196,225,291,249,59,10,0,1121,32,92,376,510,610,457,99,8,0,2183,76,266,886,1370,1607,1314,272,20,0,5813,178,573,1626,1728,2041,1923,484,24,0,8571,44,32,78,82,91,83,22,0,0,437,105,150,299,296,286,226,63,8,0,1443
RA53,1109,1652,5652,6410,5671,4849,1583,286,29,27243,23,50,202,299,313,375,203,55,3,1526,24,124,502,401,248,85,22,0,0,1404,23,21,83,69,53,54,11,4,0,319,4,3,42,64,36,17,3,0,0,168,15,32,161,146,119,96,24,0,0,597,18,27,105,79,61,34,12,3,0,344,270,158,346,370,351,312,72,9,0,1901,246,182,443,288,269,220,76,6,0,1727,24,57,197,201,191,155,36,3,0,855,4,10,25,19,19,20,9,0,0,109,5,14,82,64,38,29,15,0,0,250,6,41,91,75,79,52,13,7,0,368,14,39,145,164,111,94,33,4,0,609,19,57,170,208,175,131,36,0,0,799,36,73,332,368,325,231,44,4,0,1414,33,149,683,860,774,515,145,5,0,3171,95,271,912,869,760,703,145,9,0,3771,21,15,60,68,58,41,18,0,0,278,43,51,193,175,134,99,19,0,0,703
RA54,542,1846,7767,7696,7391,5790,1436,145,16,32631,45,83,171,128,165,175,84,16,0,863,35,323,1006,651,588,336,23,0,0,2959,8,18,70,45,38,51,10,0,0,239,3,0,25,12,14,14,6,0,0,78,5,39,120,109,112,118,24,0,0,523,3,7,25,18,24,28,7,4,0,119,93,81,205,191,195,215,62,9,0,1052,113,208,481,248,244,253,68,0,0,1623,10,36,96,77,85,91,25,5,0,422,0,0,13,14,7,17,9,0,0,56,0,8,36,36,29,23,11,0,0,143,6,22,65,39,43,54,11,3,0,245,3,31,132,114,102,101,28,0,0,511,17,82,207,170,148,146,32,0,0,808,12,67,249,275,284,210,43,4,0,1134,27,130,525,504,498,433,93,5,0,2224,44,124,585,512,437,595,153,9,0,2455,14,21,70,46,45,38,10,0,0,248,13,26,94,84,79,71,13,0,0,382
RA55,3,54,237,494,451,234,32,6,0,1517,0,3,5,0,0,5,0,0,0,15,4,3,13,15,6,6,0,0,0,42,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,4,5,8,3,0,0,0,22,0,10,14,10,0,4,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,10,0,0,9,0,4,0,0,0,0,13,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,4,0,0,9,0,0,3,0,4,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3
RA61,3808,7215,21610,17173,15911,12924,3874,527,36,83074,28,72,258,217,185,140,68,9,0,975,0,5,13,21,12,3,3,0,0,57,218,202,518,445,439,341,98,12,0,2280,3,46,241,309,232,107,11,0,0,943,30,90,347,382,317,267,81,8,0,1513,25,84,187,178,208,147,50,0,0,879,1307,1386,2034,1319,1362,1154,290,22,0,8874,1731,1080,1945,915,656,465,125,18,0,6927,28,106,241,243,280,233,69,4,0,1201,26,68,209,185,160,143,31,0,0,824,19,129,584,584,484,284,53,6,0,2143,21,122,253,188,221,170,49,11,0,1052,63,316,1224,1056,862,573,184,15,0,4299,55,195,590,572,591,413,125,12,0,2550,60,350,1451,1972,2119,1364,239,7,0,7556,175,576,2233,2789,3029,2195,539,30,0,11569,229,1743,5804,4508,4541,4156,849,54,3,21875,164,184,371,299,302,248,80,7,0,1658,117,351,895,645,605,396,122,16,0,3157
RA62,2251,3391,8065,7869,9045,9065,3016,507,65,43273,88,161,483,437,487,517,264,85,4,2524,0,10,54,34,41,22,7,5,0,171,104,164,361,364,443,408,80,5,4,1923,0,7,67,63,67,38,5,0,0,245,22,63,164,187,180,160,37,6,0,822,29,49,96,123,138,104,34,0,0,575,760,578,861,825,1001,768,156,14,0,4965,807,508,610,504,604,551,124,7,0,3724,11,43,120,193,276,259,42,14,0,958,14,21,51,55,59,57,12,0,0,273,6,48,145,163,148,127,17,4,0,656,12,44,117,83,94,87,30,5,0,475,41,115,351,375,361,292,105,6,0,1657,27,86,222,295,352,321,52,6,0,1369,23,94,360,512,659,497,78,4,0,2226,72,231,840,1252,1398,1176,216,15,0,5206,125,668,1887,1842,2425,2569,450,14,0,9977,55,47,92,99,118,109,41,3,0,565,82,145,346,305,301,226,60,0,0,1470
RA63,70,133,467,385,425,478,164,31,0,2156,5,10,24,15,22,15,11,7,0,112,3,8,27,9,13,11,3,0,0,65,0,0,13,3,10,10,4,0,0,39,0,0,0,3,0,0,0,0,0,10,0,0,3,3,0,9,0,0,0,17,0,0,0,4,0,0,0,0,0,14,17,8,19,34,34,46,4,0,0,164,15,22,127,66,62,72,25,0,0,382,0,0,12,3,16,14,7,0,0,57,0,0,4,5,0,0,0,0,0,8,0,0,7,3,9,0,0,0,0,21,0,0,0,0,4,6,5,0,0,25,0,4,11,6,13,10,9,0,0,49,0,12,12,14,23,22,7,0,0,89,0,3,6,9,12,5,10,0,0,49,0,12,50,42,36,39,16,0,0,194,3,15,42,36,61,65,13,0,0,234,0,0,7,14,8,9,0,0,0,38,0,8,17,4,5,4,3,0,0,45
RA64,31,27,110,128,121,147,108,30,7,704,0,3,8,5,18,18,22,3,0,85,0,0,0,0,0,0,0,0,0,0,3,4,12,8,6,14,0,0,0,45,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,5,3,0,0,7,0,0,0,0,0,0,0,0,0,7,0,3,7,5,13,17,6,0,0,59,4,3,8,7,11,14,0,0,0,48,0,0,5,6,0,17,3,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,6,0,0,0,8,0,0,3,0,0,16,0,0,0,4,0,7,0,0,0,18,0,0,4,15,10,16,5,0,0,44,0,5,11,19,20,14,0,0,0,71,0,5,21,14,31,20,9,0,0,108,0,0,0,5,0,0,4,0,0,8,0,0,0,3,0,3,0,0,0,7
RA65,0,8,52,60,58,44,10,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,5,4,3,8,5,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
