RA_CODE_2021,OO_DS_Sep_hse,OO_DS_Sde_row_or_ter_h_t,OO_DS_Flt_apt,OO_DS_Oth_dwel,OO_DS_NS,Owned_Outright_Total,OWM_DS_Sep_hse,OWM_DS_Sde_row_or_ter_h_t,OWM_DS_Flt_apt,OWM_DS_Oth_dwel,OWM_DS_NS,Owned_with_mortgage_Total,R_REA_DS_Sep_hse,R_REA_DS_Sde_row_or_ter_h_t,R_REA_DS_Flt_apt,R_REA_DS_Oth_dwel,R_REA_DS_NS,R_Real_estate_agent_Total,R_SteTer_h_auth_DS_Separat_hs,R_ST_h_aut_DS_Sd_r_ter_h_t,R_SteT_h_auth_DS_Flt_apt,R_SteTer_h_auth_DS_Oth_dwel,R_SteTer_h_auth_DS_NS,R_SteTer_h_auth_Total,R_Com_hs_pr_DS_Sep_hse,R_Com_hs_pr_DS_Sd_ro_ter_h_t,R_Com_hs_pr_DS_Flt_apt,R_Com_hs_pr_DS_Oth_dwel,R_Com_hs_pr_DS_NS,R_Com_hs_pr_Total,R_Psn_ns_HH_DS_Sep_hse,R_Psn_ns_HH_DS_Sd_r_te_h_t,R_Psn_ns_HH_DS_Flt_apt,R_Psn_ns_HH_DS_Oth_dwe,R_Psn_ns_HH_DS_NS,R_Psn_ns_HH_Total,R_Oth_llord_type_DS_Sep_hse,R_Oth_lld_typ_DS_S_ro_ter_h_t,R_Oth_lld_type_DS_Flt_apt,R_Oth_llord_type_DS_Oth_dwel,R_Oth_llord_type_DS_NS,R_Oth_llord_type_Total,R_Llord_type_NS_DS_Sep_hse,R_Lld_ty_NS_DS_Sd_row_ter_h_t,R_Llord_typ_NS_DS_Flt_apt,R_Llord_type_NS_DS_Oth_dwel,R_Llord_type_NS_DS_NS,R_Llord_type_NS_Total,R_Total_DS_Sep_hse,R_Total_DS_Sde_row_or_ter_h_t,R_Total_DS_Flt_apt,R_Total_DS_Oth_dwel,R_Total_DS_NS,R_Total_Total,Oth_tenu_typ_DS_Sep_hse,Oth_ten_typ_DS_Sd_row_ter_h_t,Oth_tenu_typ_DS_Flt_apt,Oth_tenu_typ_DS_Oth_dwel,Oth_tenu_typ_DS_NS,Oth_tenu_typ_Total,Tenu_typ_NS_DS_Sep_hse,Ten_ty_NS_DS_Sd_row_ter_h_t,Tenu_typ_NS_DS_Flt_apt,Tenu_typ_NS_DS_Oth_dwel,Tenu_typ_NS_DS_NS,Tenu_typ_NS_Total,Total_DS_Sep_hse,Total_DS_Sde_row_or_ter_h_t,Total_DS_Flt_apt,Total_DS_Oth_dwel,Total_DS_NS,Total_Total
RA10,458333,69697,88021,3341,555,619955,512387,82178,122002,1078,691,718331,176429,73207,292853,4195,1652,548332,26718,23124,27492,31,141,77506,4146,5647,9872,66,117,19848,46157,13446,35917,1103,583,97203,8977,2702,5341,913,357,18290,1401,636,1612,69,30,3749,263830,118761,373081,6378,2878,764929,14394,8908,13674,295,225,37483,50194,16144,40819,1804,841,109800,1299131,295684,637594,12895,5187,2250499
RA11,213711,13533,4986,4995,818,238045,178098,6071,2134,514,256,187074,61969,19671,12324,608,261,94834,8286,2755,1711,14,24,12780,3110,2299,1254,13,35,6704,26456,3514,2212,458,242,32882,4576,700,471,1671,363,7782,648,315,150,37,19,1159,105047,29252,18119,2794,941,156144,8951,3213,1109,320,245,13829,29862,4937,2740,2430,514,40479,535657,56999,29090,11046,2772,635570
RA12,60264,1272,662,1109,362,63662,38677,552,315,190,112,39849,10613,2226,2170,112,44,15163,2059,383,206,15,10,2665,784,403,175,3,19,1388,8856,516,456,134,102,10064,2566,207,232,416,190,3608,243,68,53,13,3,381,25120,3812,3296,693,357,33273,5218,271,155,133,126,5899,12890,924,657,709,216,15394,142159,6830,5086,2826,1175,158077
RA13,3448,22,5,261,139,3873,1831,7,6,33,28,1908,332,45,42,3,3,429,278,43,32,3,4,359,188,27,27,0,0,251,678,21,38,32,12,781,509,62,64,53,40,728,28,7,7,0,0,31,2007,203,213,89,68,2581,713,9,16,38,31,809,1655,64,69,128,15,1933,9663,299,307,547,278,11101
RA14,752,16,5,106,69,953,353,7,0,0,10,371,56,4,5,0,0,62,208,23,11,3,5,246,134,5,0,0,4,144,136,10,9,8,10,167,177,20,7,22,21,259,5,0,0,0,0,10,713,70,29,37,46,889,165,4,4,30,36,245,447,26,10,40,40,564,2433,117,53,218,205,3021
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA20,430123,72856,39295,1436,334,544045,527331,87074,57293,692,375,672760,189779,93321,140571,1719,620,426007,13323,10717,12494,14,30,36581,2342,2568,3712,22,46,8692,43888,16169,17175,623,245,78095,6623,1949,1864,1186,148,11763,1355,609,629,29,20,2636,257300,125336,176444,3590,1111,563778,14869,9282,6324,219,96,30793,52457,15887,20504,1543,384,90770,1282085,310439,299852,7477,2298,1902149
RA21,174480,7343,1493,2131,261,185707,159579,3483,671,297,198,164228,47832,10878,2991,201,98,62002,6757,3199,818,12,8,10791,1234,883,338,25,13,2495,19955,2075,514,180,107,22834,3205,398,139,837,73,4649,516,185,46,25,0,768,79503,17622,4840,1275,300,103539,7456,1081,263,253,60,9125,25494,3164,839,1409,103,31007,446511,32701,8105,5364,930,493603
RA22,43651,1354,445,952,121,46527,28622,463,147,80,41,29360,7828,1692,1038,44,18,10623,1413,679,304,4,3,2399,296,157,148,0,7,611,5651,452,235,76,37,6454,1340,125,129,396,66,2052,153,52,29,28,0,267,16683,3156,1881,552,142,22411,2825,192,118,75,41,3247,7174,634,419,469,80,8778,98958,5795,3011,2131,424,110322
RA23,871,0,0,22,7,901,225,0,0,0,4,229,36,10,0,0,0,49,10,7,0,0,0,19,0,3,0,0,0,3,89,0,0,0,0,93,34,0,5,4,0,38,4,0,0,0,0,4,166,25,7,7,0,206,94,0,0,0,0,95,116,10,0,0,3,131,1476,30,7,33,14,1558
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA30,252923,32484,36107,3528,633,325681,363779,36332,32657,236,389,433393,149302,60015,91042,290,805,301450,13935,7330,9433,10,57,30761,1282,1671,2676,16,44,5690,35315,11288,18172,193,378,65345,5916,8022,5352,2002,340,21638,891,630,679,45,20,2262,206647,88952,127357,2554,1634,427143,7970,7270,4867,119,153,20385,31137,11697,16169,2138,464,61604,862459,176736,217162,8577,3278,1268209
RA31,124095,5376,2432,4602,817,137331,120783,2530,1170,396,202,125079,43538,12193,6181,140,158,62216,4035,2716,1152,14,19,7927,729,932,429,9,11,2103,19677,2057,1281,222,154,23389,2972,648,428,1266,345,5652,438,202,102,26,0,777,71393,18747,9575,1675,683,102069,5240,1570,405,201,169,7584,17913,2956,1621,2028,375,24887,339420,31186,15207,8892,2248,396952
