RA_CODE_2021,M_Agr_fstry_fsh_15_19,M_Agr_fstry_fsh_20_24,M_Agr_fstry_fsh_25_34,M_Agr_fstry_fsh_35_44,M_Agr_fstry_fsh_45_54,M_Agr_fstry_fsh_55_64,M_Agr_fstry_fsh_65_74,M_Agr_fstry_fsh_75_84,M_Agr_fstry_fsh_85_yr_over,M_Agr_fstry_fsh_Tot,M_Min_15_19_yr,M_Min_20_24_yr,M_Min_25_34_yr,M_Min_35_44_yr,M_Min_45_54_yr,M_Min_55_64_yr,M_Min_65_74_yr,M_Min_75_84_yr,M_Min_85_yr_over,M_Min_Tot,M_Manf_15_19_yr,M_Manf_20_24_yr,M_Manf_25_34_yr,M_Manf_35_44_yr,M_Manf_45_54_yr,M_Manf_55_64_yr,M_Manf_65_74_yr,M_Manf_75_84_yr,M_Manf_85_yr_over,M_Manf_Tot,M_Elec_gas_wtr_wst_sv_15_19,M_Elec_gas_wtr_wst_sv_20_24,M_Elec_gas_wtr_wst_sv_25_34,M_Elec_gas_wtr_wst_sv_35_44,M_Elec_gas_wtr_wst_sv_45_54,M_Elec_gas_wtr_wst_sv_55_64,M_Elec_gas_wtr_wst_sv_65_74,M_Elec_gas_wtr_wst_sv_75_84,M_Elec_gas_wtr_wst_sv_85_over,M_Elec_gas_wtr_wst_sv_Tot,M_Con_15_19_yr,M_Con_20_24_yr,M_Con_25_34_yr,M_Con_35_44_yr,M_Con_45_54_yr,M_Con_55_64_yr,M_Con_65_74_yr,M_Con_75_84_yr,M_Con_85_yr_over,M_Con_Tot,M_Whl_trd_15_19_yr,M_Whl_trd_20_24_yr,M_Whl_trd_25_34_yr,M_Whl_trd_35_44_yr,M_Whl_trd_45_54_yr,M_Whl_trd_55_64_yr,M_Whl_trd_65_74_yr,M_Whl_trd_75_84_yr,M_Whl_trd_85_yr_over,M_Whl_trd_Tot,M_Re_trd_15_19_yr,M_Re_trd_20_24_yr,M_Re_trd_25_34_yr,M_Re_trd_35_44_yr,M_Re_trd_45_54_yr,M_Re_trd_55_64_yr,M_Re_trd_65_74_yr,M_Re_trd_75_84_yr,M_Re_trd_85_yr_over,M_Re_trd_Tot,M_Acc_food_svc_15_19,M_Acc_food_svc_20_24,M_Acc_food_svc_25_34,M_Acc_food_svc_35_44,M_Acc_food_svc_45_54,M_Acc_food_svc_55_64,M_Acc_food_svc_65_74,M_Acc_food_svc_75_84,M_Acc_food_svc_85_yr_over,M_Acc_food_svc_Tot,M_Trp_pos_wh_15_19,M_Trp_pos_wh_20_24,M_Trp_pos_wh_25_34,M_Trp_pos_wh_35_44,M_Trp_pos_wh_45_54,M_Trp_pos_wh_55_64,M_Trp_pos_wh_65_74,M_Trp_pos_wh_75_84,M_Trp_pos_wh_85_yr_over,M_Trp_pos_wh_Tot,M_In_med_tcom_15_19,M_In_med_tcom_20_24,M_In_med_tcom_25_34,M_In_med_tcom_35_44,M_In_med_tcom_45_54,M_In_med_tcom_55_64,M_In_med_tcom_65_74,M_In_med_tcom_75_84,M_In_med_tcom_85_yr_over,M_In_med_tcom_Tot,M_Fin_in_svc_15_19,M_Fin_in_svc_20_24,M_Fin_in_svc_25_34,M_Fin_in_svc_35_44,M_Fin_in_svc_45_54,M_Fin_in_svc_55_64,M_Fin_in_svc_65_74,M_Fin_in_svc_75_84,M_Fin_in_svc_85_yr_over,M_Fin_in_svc_Tot,M_Rnt_hrg_rea_est_serv_15_19,M_Rnt_hrg_rea_est_serv_20_24,M_Rnt_hrg_rea_est_serv_25_34,M_Rnt_hrg_rea_est_serv_35_44,M_Rnt_hrg_rea_est_serv_45_54,M_Rnt_hrg_rea_est_serv_55_64,M_Rnt_hrg_rea_est_serv_65_74,M_Rnt_hrg_rea_est_serv_75_84,M_Rnt_hrg_rea_est_serv_85_ov,M_Rnt_hrg_rea_est_serv_Tot,M_Prof_sc_tech_serv_15_19,M_Prof_sc_tech_serv_20_24,M_Prof_sc_tech_serv_25_34,M_Prof_sc_tech_serv_35_44,M_Prof_sc_tech_serv_45_54,M_Prof_sc_tech_serv_55_64,M_Prof_sc_tech_serv_65_74,M_Prof_sc_tech_serv_75_84,M_Prof_sc_tech_serv_85_over,M_Prof_sc_tech_serv_Tot,M_Adm_sup_serv_15_19,M_Adm_sup_serv_20_24,M_Adm_sup_serv_25_34,M_Adm_sup_serv_35_44,M_Adm_sup_serv_45_54,M_Adm_sup_serv_55_64,M_Adm_sup_serv_65_74,M_Adm_sup_serv_75_84,M_Adm_sup_serv_85_over,M_Adm_sup_serv_Tot,M_PubAd_saf_15_19,M_PubAd_saf_20_24,M_PubAd_saf_25_34,M_PubAd_saf_35_44,M_PubAd_saf_45_54,M_PubAd_saf_55_64,M_PubAd_saf_65_74,M_PubAd_saf_75_84,M_PubAd_saf_85_over,M_PubAd_saf_Tot,M_Ed_trng_15_19,M_Ed_trng_20_24,M_Ed_trng_25_34,M_Ed_trng_35_44,M_Ed_trng_45_54,M_Ed_trng_55_64,M_Ed_trng_65_74,M_Ed_trng_75_84,M_Ed_trng_85_over,M_Ed_trng_Tot,M_Hlth_cre_socia_assist_15_19,M_Hlth_cre_socia_assist_20_24,M_Hlth_cre_socia_assist_25_34,M_Hlth_cre_socia_assist_35_44,M_Hlth_cre_socia_assist_45_54,M_Hlth_cre_socia_assist_55_64,M_Hlth_cre_socia_assist_65_74,M_Hlth_cre_socia_assist_75_84,M_Hlth_cre_socia_assist_85_ov,M_Hlth_cre_socia_assist_Tot,M_Arts_rec_svc_15_19,M_Arts_rec_svc_20_24,M_Arts_rec_svc_25_34,M_Arts_rec_svc_35_44,M_Arts_rec_svc_45_54,M_Arts_rec_svc_55_64,M_Arts_rec_svc_65_74,M_Arts_rec_svc_75_84,M_Arts_rec_svc_85_yr_over,M_Arts_rec_svc_Tot,M_Oth_svc_15_19_yr,M_Oth_svc_20_24_yr,M_Oth_svc_25_34_yr,M_Oth_svc_35_44_yr,M_Oth_svc_45_54_yr,M_Oth_svc_55_64_yr,M_Oth_svc_65_74_yr,M_Oth_svc_75_84_yr,M_Oth_svc_85_yr_over,M_Oth_svc_Tot,M_Inad_desc_Ns_15_19,M_Inad_desc_Ns_20_24,M_Inad_desc_Ns_25_34,M_Inad_desc_Ns_35_44,M_Inad_desc_Ns_45_54,M_Inad_desc_Ns_55_64,M_Inad_desc_Ns_65_74,M_Inad_desc_Ns_75_84,M_Inad_desc_Ns_85_yr_over,M_Inad_desc_Ns_Tot
RA65,0,0,6,3,3,5,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,4,23,29,33,28,7,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,24,10,13,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA72,24,51,115,89,125,142,74,16,0,632,10,59,275,392,412,201,21,6,0,1363,70,105,332,359,350,259,60,4,0,1536,10,33,186,227,213,197,47,8,0,917,215,434,1406,1414,1136,762,208,21,0,5588,23,63,204,217,225,176,49,8,0,957,304,347,724,437,316,245,101,8,0,2484,554,395,878,411,245,175,70,7,0,2735,43,157,683,544,581,557,154,9,0,2722,13,24,96,91,81,62,22,0,0,388,4,14,71,84,84,69,29,4,0,348,4,15,82,97,105,79,51,17,4,445,33,151,606,561,392,329,152,16,0,2245,27,101,274,237,228,177,54,8,0,1097,100,927,1998,1711,1563,952,241,13,0,7500,37,107,342,408,338,332,103,11,0,1673,45,163,832,748,458,319,145,20,3,2725,75,114,264,155,104,86,37,0,0,836,92,140,413,327,294,254,77,8,0,1606,84,212,523,460,361,273,97,11,4,2033
RA73,11,35,99,79,70,86,43,14,0,445,4,6,51,80,88,79,10,0,0,323,22,35,79,89,74,68,23,0,0,377,5,5,47,38,58,56,19,0,0,232,55,122,369,306,251,268,82,9,0,1462,9,19,43,58,26,48,15,5,0,220,116,96,203,130,84,90,49,9,0,771,82,60,224,120,92,109,39,3,0,730,13,41,129,114,144,153,49,9,0,647,0,14,39,24,27,26,10,0,0,145,0,5,15,21,14,19,4,0,0,73,0,4,19,8,19,24,14,4,0,97,9,22,149,119,104,123,49,0,0,579,6,16,65,59,82,70,31,4,0,320,23,140,574,545,481,370,90,6,0,2225,32,45,164,137,113,135,39,0,0,677,16,52,349,389,273,220,85,3,0,1378,22,16,69,55,53,36,13,6,0,272,24,46,129,125,82,116,42,0,0,559,31,32,146,113,89,68,38,3,0,523
RA74,70,171,201,112,100,98,55,7,0,809,11,38,229,297,291,166,25,0,0,1065,3,9,44,25,23,40,8,0,0,149,0,4,16,16,26,35,3,0,0,102,26,44,174,172,135,136,40,3,0,724,9,5,11,12,8,13,3,4,0,56,19,43,107,78,76,47,27,0,0,411,19,53,157,89,77,69,24,5,0,489,10,20,52,76,56,53,22,6,0,296,0,5,10,7,4,15,0,0,0,34,0,4,0,7,3,17,5,0,0,30,0,0,0,6,9,13,5,0,0,34,0,3,43,34,34,44,22,6,0,182,6,16,41,43,32,46,18,0,0,206,14,73,248,243,235,178,51,0,0,1047,11,38,112,137,101,83,39,3,0,522,4,34,149,137,117,137,46,7,0,632,9,25,68,55,47,39,10,0,0,250,11,13,54,58,49,33,18,3,0,234,16,42,55,42,47,31,17,0,0,252
RA75,0,4,15,7,3,6,3,0,0,41,0,0,3,10,23,9,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,6,0,0,0,16,0,0,6,3,3,0,0,0,0,15,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,11,19,17,13,6,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,7,0,0,3,4,5,4,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,11,13,0,0,0,39
RA80,18,36,92,59,55,66,36,25,5,396,0,11,24,31,30,13,4,0,0,117,124,275,775,609,657,373,118,14,0,2955,19,96,345,321,295,209,40,3,0,1323,719,1893,4497,3353,2314,1399,386,46,6,14597,48,162,314,346,290,225,61,9,0,1461,1146,1535,2378,1155,770,547,221,41,3,7795,2050,1755,2414,1096,601,360,106,17,0,8401,71,295,1159,927,800,696,255,26,5,4236,41,155,599,631,505,248,49,8,4,2245,17,138,431,481,361,190,63,14,6,1694,31,126,367,313,266,207,90,27,8,1433,113,1292,4273,4282,3094,1882,670,94,7,15715,87,298,825,787,575,449,149,24,0,3194,434,2233,8182,10459,9232,4891,934,62,3,36428,422,866,1813,1789,1435,986,331,39,3,7688,146,629,2138,1884,1360,914,334,43,4,7454,327,340,464,330,279,199,81,19,0,2039,163,411,839,735,636,386,158,26,0,3353,113,333,939,707,458,263,75,17,3,2910
RA81,0,0,5,0,7,0,8,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,4,0,7,6,11,3,3,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,6,0,3,0,0,25,0,0,0,0,0,0,0,0,0,3,0,0,4,11,6,8,0,0,0,36,0,0,4,5,4,3,0,0,0,18,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,10,0,0,4,0,4,0,0,0,0,13,0,3,0,0,0,0,0,0,0,9
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,29,50,16,6,7,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA94,0,0,4,0,4,10,0,0,0,24,0,0,12,16,23,18,9,0,0,83,0,0,3,3,5,11,3,0,0,25,0,0,7,9,3,8,8,0,0,41,11,16,32,29,46,48,18,4,0,195,0,0,3,0,4,3,0,5,0,23,5,6,11,12,7,20,7,3,3,69,12,3,13,18,20,22,5,0,0,92,0,8,20,16,10,17,6,0,0,79,0,0,0,0,3,5,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,14,0,0,0,4,5,17,4,3,0,33,3,0,9,10,10,20,6,3,0,61,4,16,47,60,55,51,27,4,0,255,0,6,5,5,7,8,5,0,0,31,0,0,6,11,15,12,12,0,0,51,4,0,0,4,11,11,0,0,0,29,0,0,4,10,6,6,8,3,0,44,3,5,14,9,9,15,12,3,0,74
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
