RA_CODE_2021,P_15_19_Mgrs,P_15_19_Profnls,P_15_19_Techs_trades_workers,P_15_19_Comm_psnl_serv_wrkrs,P_15_19_Cler_admin_wrkrs,P_15_19_Sales_wrkrs,P_15_19_Mach_oper_dvrs,P_15_19_Labrs,P_15_19_Inad_desc_Ns,P_15_19_Tot,P_20_24_Mgrs,P_20_24_Profnls,P_20_24_Techs_trades_wrkrs,P_20_24_Comm_psnl_serv_wrkrs,P_20_24_Cler_admin_wrkrs,P_20_24_Sales_wrkrs,P_20_24_Mach_oper_dvrs,P_20_24_Labrs,P_20_24_Inad_desc_Ns,P_20_24_Tot,P_25_34_Mgrs,P_25_34_Profnls,P_25_34_Techs_trades_wrkrs,P_25_34_Comm_psnl_serv_wrkrs,P_25_34_Cler_admin_wrkrs,P_25_34_Sales_wrkrs,P_25_34_Mach_oper_dvrs,P_25_34_Labrs,P_25_34_Inad_desc_Ns,P_25_34_Tot,P_35_44_Mgrs,P_35_44_Profnls,P_35_44_Techs_trades_wrkrs,P_35_44_Comm_psnl_serv_wrkrs,P_35_44_Cler_admin_wrkrs,P_35_44_Sales_wrkrs,P_35_44_Mach_oper_dvrs,P_35_44_Labrs,P_35_44_Inad_desc_Ns,P_35_44_Tot,P_45_54_Mgrs,P_45_54_Profnls,P_45_54_Techs_trades_wrkrs,P_45_54_Comm_psnl_serv_wrkrs,P_45_54_Cler_admin_wrkrs,P_45_54_Sales_wrkrs,P_45_54_Mach_oper_dvrs,P_45_54_Labrs,P_45_54_Inad_desc_Ns,P_45_54_Tot,P_55_64_Mgrs,P_55_64_Profnls,P_55_64_Techs_trades_wrkrs,P_55_64_Comm_psnl_serv_wrkrs,P_55_64_Cler_admin_wrkrs,P_55_64_Sales_wrkrs,P_55_64_Mach_oper_dvrs,P_55_64_Labrs,P_55_64_Inad_desc_Ns,P_55_64_Tot,P_65_74_Mgrs,P_65_74_Profnls,P_65_74_Techs_trades_wrkrs,P_65_74_Comm_psnl_serv_wrkrs,P_65_74_Cler_admin_wrkrs,P_65_74_Sales_wrkrs,P_65_74_Mach_oper_dvrs,P_65_74_Labrs,P_65_74_Inad_desc_Ns,P_65_74_Tot,P_75_84_Mgrs,P_75_84_Profnls,P_75_84_Techs_trades_wrkrs,P_75_84_Comm_psnl_serv_wrkrs,P_75_84_Cler_admin_wrkrs,P_75_84_Sales_wrkrs,P_75_84_Mach_oper_dvrs,P_75_84_Labrs,P_75_84_Inad_desc_Ns,P_75_84_Tot,P_85_yr_over_Mgrs,P_85_yr_over_Profnls,P_85ov_Techs_trades_wrkrs,P_85ov_Com_psnl_serv_wrkrs,P_85_yr_over_Cler_admin_wrkrs,P_85_yr_over_Sales_wrkrs,P_85_yr_over_Mach_oper_dvrs,P_85_yr_over_Labrs,P_85_yr_over_Inad_desc_Ns,P_85_yr_over_Tot,P_Tot_Mgrs,P_Tot_Profnls,P_Tot_Techs_trades_wrkrs,P_Tot_Comm_psnl_serv_wrkrs,P_Tot_Cler_admin_wrkrs,P_Tot_Sales_wrkrs,P_Tot_Mach_oper_dvrs,P_Tot_Labrs,P_Tot_Inad_desc_Ns,P_Tot_Tot
RA32,334,302,3083,3503,844,6799,669,4583,461,20585,1196,3208,5479,5466,2410,3247,1906,3944,506,27363,5620,13138,11954,9266,6327,3915,4974,7603,1248,64050,9065,13174,10503,8006,8015,3530,5882,6184,1215,65571,10705,12009,9214,8449,8851,4226,7055,6931,1316,68758,8812,8804,7043,6322,7606,3820,6519,6971,1048,56948,3842,2724,1718,1312,2003,1160,1852,2026,424,17065,1159,272,143,105,243,151,153,272,175,2678,124,8,6,5,13,8,9,26,40,241,40856,53644,49149,42432,36303,26853,29018,38552,6442,323255
RA33,34,26,330,249,98,396,89,463,57,1745,144,403,610,476,241,203,308,631,74,3086,909,1490,1588,857,697,291,1007,1084,189,8098,1328,1103,1302,587,720,273,1100,715,153,7276,1685,867,1151,612,771,333,1202,824,161,7604,1558,805,966,473,727,294,1122,876,134,6955,810,219,216,109,210,90,283,262,65,2267,280,20,28,6,35,9,11,45,37,476,36,0,0,4,3,0,0,5,12,60,6788,4935,6183,3374,3502,1888,5114,4913,874,37570
RA34,23,37,154,166,44,188,56,480,52,1196,116,295,350,362,185,141,178,667,79,2373,653,1090,941,710,527,206,534,887,141,5696,975,789,782,543,502,175,520,587,121,4981,1165,750,763,545,583,216,692,682,139,5527,1242,722,615,455,555,182,646,686,123,5226,598,227,178,107,160,69,184,223,72,1812,146,24,18,10,11,14,19,35,20,287,10,0,0,0,0,0,0,0,4,19,4922,3947,3801,2884,2566,1187,2818,4249,748,27121
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,3,10,0,19,0,12,0,0,0,0,3,12,0,27,0,9,0,0,0,0,9,12,0,27,0,6,0,4,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,33,9,3,3,0,21,37,0,99
RA40,413,699,2991,6412,1360,12170,953,7947,520,33460,2591,8963,9344,13188,6730,9948,2900,7820,1115,62597,13084,41149,21866,20812,16846,9654,7930,12814,2508,146654,21019,40852,17779,16551,18718,7127,7255,10028,2455,141786,21363,31543,15263,14587,20031,7586,7406,10156,2194,130125,14290,21982,11525,11320,16821,6604,6940,8871,1524,99881,3759,6684,2731,2305,4305,1833,1545,2204,494,25851,573,784,274,134,414,249,116,235,212,2991,52,44,21,8,16,22,5,23,64,253,77151,152702,81790,85320,85241,55190,35042,60101,11069,643599
RA41,74,40,621,884,120,1377,103,1411,103,4737,266,448,1259,1004,410,827,297,1157,98,5783,1342,2030,2460,1535,1148,856,721,1773,195,12058,2403,2662,2241,1615,1707,822,877,1650,242,14210,3187,2889,2377,2057,2228,1138,1172,2048,324,17413,2894,2559,2075,2015,2150,1034,1337,2065,240,16367,1470,886,521,399,610,288,368,544,108,5199,402,99,62,16,76,31,36,92,90,893,46,0,3,4,0,0,0,4,14,77,12085,11622,11612,9529,8449,6375,4906,10745,1412,76737
RA42,104,63,836,858,173,1600,177,1446,96,5351,389,655,1415,1128,442,775,499,1317,122,6747,1701,2873,2829,2125,1247,1166,1332,2488,255,16014,2639,2678,2154,1940,1723,1003,1360,2050,283,15824,3456,2442,2244,2329,2213,1280,1749,2471,323,18508,3612,2079,2032,2142,1974,1213,1867,2539,349,17801,1868,644,553,428,553,271,544,711,177,5752,505,58,57,19,68,38,37,103,94,975,58,0,0,0,5,6,0,10,18,93,14329,11489,12116,10967,8408,7347,7560,13133,1721,87068
RA43,28,8,181,195,42,337,31,296,38,1157,106,154,343,245,117,127,146,285,30,1547,527,771,965,451,347,286,484,593,80,4503,838,734,774,424,445,248,423,472,86,4441,1024,633,695,487,503,287,417,512,90,4647,989,537,531,465,443,267,425,580,77,4324,481,152,115,89,130,57,112,172,39,1342,140,13,3,11,23,9,14,23,14,248,6,0,0,0,0,0,0,6,3,18,4140,3004,3615,2363,2038,1617,2053,2937,450,22219
RA44,15,12,26,41,7,57,17,66,13,253,35,66,82,91,34,26,57,113,14,513,175,306,282,194,103,62,183,205,36,1540,282,216,223,159,115,56,168,158,22,1413,315,250,239,154,146,59,203,179,30,1575,351,248,188,155,152,71,181,197,27,1565,158,77,41,27,42,29,62,88,5,532,35,12,0,3,4,5,0,3,10,75,0,0,0,0,0,0,0,0,0,6,1365,1189,1089,822,609,358,875,1010,160,7473
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,4,9,0,22
