RA_CODE_2021,F_Unrel_ind_liv_fam_hh_0_14,F_Unre_ind_liv_fam_hh_15_24,F_Unre_ind_liv_fam_hh_25_34,F_Unre_ind_liv_fam_hh_35_44,F_Unre_ind_liv_fam_hh_45_54,F_Unre_ind_liv_fam_hh_55_64,F_Unre_ind_liv_fam_hh_65_74,F_Unre_ind_liv_fam_hh_75_84,F_Unrel_ind_liv_fam_hh_85ov,F_Unrel_ind_liv_fam_hh_Tot,F_Group_hh_mem_0_14,F_Group_hh_mem_15_24,F_Group_hh_mem_25_34,F_Group_hh_mem_35_44,F_Group_hh_mem_45_54,F_Group_hh_mem_55_64,F_Group_hh_mem_65_74,F_Group_hh_mem_75_84,F_Group_hh_mem_85ov,F_Group_hh_mem_Tot,F_LPer_0_14_yr,F_LPer_15_24_yr,F_LPer_25_34_yr,F_LPer_35_44_yr,F_LPer_45_54_yr,F_LPer_55_64_yr,F_LPer_65_74_yr,F_LPer_75_84_yr,F_LPer_85_yr_over,F_LPer_Tot,F_Vis_from_within_Aus_0_14,F_Vis_from_within_Aus_15_24,F_Vis_from_within_Aus_25_34,F_Vis_from_within_Aus_35_44,F_Vis_from_within_Aus_45_54,F_Vis_from_within_Aus_55_64,F_Vis_from_within_Aus_65_74,F_Vis_from_within_Aus_75_84,F_Vis_from_within_Aus_85ov,F_Vis_from_within_Aus_Tot,F_OS_vis_0_14_yr,F_OS_vis_15_24_yr,F_OS_vis_25_34_yr,F_OS_vis_35_44_yr,F_OS_vis_45_54_yr,F_OS_vis_55_64_yr,F_OS_vis_65_74_yr,F_OS_vis_75_84_yr,F_OS_vis_85_yr_over,F_Overseas_v_Total,F_Tot_0_14_yr,F_Tot_15_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Part_r_mar_0_14,P_Part_r_mar_15_24,P_Part_r_mar_25_34,P_Part_r_mar_35_44,P_Part_r_mar_45_54,P_Part_r_mar_55_64,P_Part_r_mar_65_74,P_Part_r_mar_75_84,P_Part_r_mar_85ov,P_Part_r_mar_Tot,P_Part_de_f_mar_0_14,P_Part_de_f_mar_15_24,P_Part_de_f_mar_25_34,P_Part_de_f_mar_35_44,P_Part_de_f_mar_45_54,P_Part_de_f_mar_55_64,P_Part_de_f_mar_65_74,P_Part_de_f_mar_75_84,P_Part_de_f_mar_85ov,P_Part_de_f_mar_Tot,P_LPar_0_14_yr,P_LPar_15_24_yr,P_LPar_25_34_yr,P_LPar_35_44_yr,P_LPar_45_54_yr,P_LPar_55_64_yr,P_LPar_65_74_yr,P_LPar_75_84_yr,P_LPar_85_yr_over,P_LPar_Tot,P_Child_u_15_0_14_yr,P_Child_u_15_15_24_yr,P_Child_u_15_25_34_yr,P_Child_u_15_35_44_yr,P_Child_u_15_45_54_yr,P_Child_u_15_55_64_yr,P_Child_u_15_65_74_yr,P_Child_u_15_75_84_yr,P_Child_u_15_85_yr_over,P_Child_u_15_Tot,P_Dep_stu15_24_0_14,P_Dep_stu15_24_15_24,P_Dep_stu15_24_25_34,P_Dep_stu15_24_35_44,P_Dep_stu15_24_45_54,P_Dep_stu15_24_55_64,P_Dep_stu15_24_65_74,P_Dep_stu15_24_75_84,P_Dep_stu15_24_85_over,P_Dep_stu15_24_Tot,P_Non_dep_child_0_14,P_Non_dep_child_15_24,P_Non_dep_child_25_34,P_Non_dep_child_35_44,P_Non_dep_child_45_54,P_Non_dep_child_55_64,P_Non_dep_child_65_74,P_Non_dep_child_75_84,P_Non_dep_child_85_over,P_Non_dep_child_Tot,P_Oth_rel_ind_0_14,P_Oth_rel_ind_15_24,P_Oth_rel_ind_25_34,P_Oth_rel_ind_35_44,P_Oth_rel_ind_45_54,P_Oth_rel_ind_55_64,P_Oth_rel_ind_65_74,P_Oth_rel_ind_75_84,P_Oth_rel_ind_85ov,P_Oth_rel_ind_Tot,P_Unrel_ind_liv_fam_hh_0_14,P_Unre_ind_liv_fam_hh_15_24,P_Unre_ind_liv_fam_hh_25_34,P_Unre_ind_liv_fam_hh_35_44,P_Unre_ind_liv_fam_hh_45_54,P_Unre_ind_liv_fam_hh_55_64,P_Unre_ind_liv_fam_hh_65_74,P_Unre_ind_liv_fam_hh_75_84,P_Unrel_ind_liv_fam_hh_85ov,P_Unrel_ind_liv_fam_hh_Tot,P_Group_hh_mem_0_14,P_Group_hh_mem_15_24,P_Group_hh_mem_25_34,P_Group_hh_mem_35_44,P_Group_hh_mem_45_54,P_Group_hh_mem_55_64,P_Group_hh_mem_65_74,P_Group_hh_mem_75_84,P_Group_hh_mem_85ov,P_Group_hh_mem_Tot,P_LPer_0_14_yr,P_LPer_15_24_yr,P_LPer_25_34_yr,P_LPer_35_44_yr,P_LPer_45_54_yr,P_LPer_55_64_yr,P_LPer_65_74_yr,P_LPer_75_84_yr,P_LPer_85_yr_over,P_LPer_Tot,P_Vis_from_within_Aus_0_14,P_Vis_from_within_Aus_15_24,P_Vis_from_within_Aus_25_34,P_Vis_from_within_Aus_35_44,P_Vis_from_within_Aus_45_54,P_Vis_from_within_Aus_55_64,P_Vis_from_within_Aus_65_74,P_Vis_from_within_Aus_75_84,P_Vis_from_within_Aus_85ov,P_Vis_from_within_Aus_Tot,P_OS_vis_0_14_yr,P_OS_vis_15_24_yr,P_OS_vis_25_34_yr,P_OS_vis_35_44_yr,P_OS_vis_45_54_yr,P_OS_vis_55_64_yr,P_OS_vis_65_74_yr,P_OS_vis_75_84_yr,P_OS_vis_85_yr_over,P_Overseas_v_Total,P_Tot_0_14_yr,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
RA55,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,0,0,0,15
RA61,..,793,1418,270,80,67,46,18,4,2691,..,1538,2504,468,386,496,378,145,40,5962,..,577,1749,1533,2192,4129,5377,4460,2224,22239,407,778,615,337,306,379,256,125,48,3248,6,7,28,10,20,36,15,8,5,134,27316,18340,25398,21234,20816,20544,17880,10426,3586,165547,..,677,14905,21218,21115,21594,19749,10276,2000,111537,..,3424,12189,7131,5409,3862,1861,543,69,34483,..,508,2488,4213,4687,2578,1140,779,440,16838,55311,..,..,..,..,..,..,..,..,55311,..,13951,..,..,..,..,..,..,..,13951,..,9932,4990,1732,1281,655,114,3,0,18705,..,1589,1345,432,504,945,940,568,307,6634,..,1606,3476,666,246,190,118,43,17,6369,..,3067,6137,1248,891,1022,765,291,81,13507,..,1095,3794,3458,4698,7384,8240,6191,3029,37891,805,1458,1348,809,686,707,455,204,69,6549,15,21,55,26,33,53,30,12,3,246,56134,37327,50720,40942,39549,38996,33409,18922,6014,322024
RA62,..,285,222,65,49,54,28,13,8,716,..,246,312,136,218,349,313,102,17,1700,..,292,659,535,1294,2654,3220,2592,1162,12409,307,430,288,175,213,245,197,93,41,1982,0,3,13,8,3,7,9,0,0,48,14954,8889,9926,10301,12396,14740,12770,6645,1930,92549,..,391,5754,9833,12491,16521,15757,7534,1226,69508,..,1904,5553,3839,3789,3250,1664,401,40,20433,..,303,1425,2213,2253,1232,626,480,251,8797,30052,..,..,..,..,..,..,..,..,30052,..,6517,..,..,..,..,..,..,..,6517,..,6116,2531,977,811,404,75,0,0,10912,..,674,329,189,312,589,509,360,162,3125,..,567,561,192,152,134,83,30,9,1732,..,504,942,322,483,721,644,239,54,3909,..,593,1588,1542,3008,5384,5975,3989,1647,23722,614,802,686,426,444,494,354,146,53,4020,3,8,32,15,15,17,15,4,0,100,30668,18388,19413,19548,23762,28744,25700,13177,3441,182835
RA63,..,9,10,4,5,0,0,0,0,25,..,12,13,6,8,32,10,0,0,89,..,11,46,38,51,118,135,95,34,535,5,11,7,4,14,22,11,0,0,69,0,0,0,0,0,0,0,0,0,0,494,222,413,360,411,643,525,231,59,3357,..,14,239,316,390,650,662,263,32,2570,..,66,225,175,153,155,76,15,0,869,..,12,59,43,70,40,26,19,12,282,979,..,..,..,..,..,..,..,..,979,..,115,..,..,..,..,..,..,..,115,..,148,71,31,35,14,3,0,0,296,..,21,16,8,12,20,10,13,0,96,..,14,33,8,3,4,0,3,0,70,..,28,49,21,33,49,31,10,0,210,..,38,113,109,188,339,336,174,59,1356,11,32,29,25,20,35,22,0,0,178,0,0,4,0,0,0,0,0,0,6,987,490,834,736,900,1301,1169,494,109,7023
RA64,..,0,0,0,0,0,0,0,0,0,..,0,5,0,0,5,0,0,0,13,..,4,9,10,16,41,36,33,21,173,0,3,4,0,3,6,6,3,0,20,0,0,0,0,0,0,0,0,0,0,156,54,98,127,118,178,171,88,24,1023,..,8,51,116,107,162,222,102,11,779,..,31,77,70,59,49,34,11,0,333,..,0,6,27,6,17,11,7,0,70,328,..,..,..,..,..,..,..,..,328,..,29,..,..,..,..,..,..,..,29,..,30,25,11,10,4,0,0,0,69,..,9,3,0,4,6,4,0,0,24,..,0,4,0,0,0,0,0,0,7,..,11,15,6,9,9,8,0,0,52,..,9,20,41,44,93,92,71,24,395,3,3,5,4,5,12,9,3,0,46,0,0,0,0,0,0,0,0,0,3,334,121,216,257,250,354,369,205,39,2148
RA65,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA72,..,316,512,138,74,62,20,11,0,1137,..,511,1178,311,226,237,130,41,9,2637,..,275,838,675,790,1067,1029,569,143,5384,239,319,430,260,255,473,497,162,34,2662,3,19,34,8,9,51,29,10,0,155,12796,7021,11860,10272,8278,6787,4519,1725,377,63634,..,373,7278,10609,8606,6643,4243,1508,182,39443,..,1671,5447,3407,2403,1524,597,123,8,15182,..,189,873,1522,1491,838,409,194,88,5611,25638,..,..,..,..,..,..,..,..,25638,..,4655,..,..,..,..,..,..,..,4655,..,3667,1685,630,322,135,13,0,0,6458,..,823,738,234,330,525,537,277,109,3577,..,626,1181,327,209,179,83,19,4,2634,..,1132,2528,737,583,553,340,102,13,5989,..,601,1808,1481,1819,2214,1987,925,220,11056,506,570,797,514,462,798,1000,330,47,5026,7,33,64,24,24,65,52,14,0,273,26155,14338,22404,19481,16249,13478,9261,3503,676,125550
RA73,..,77,137,36,38,20,6,7,0,324,..,135,335,103,95,96,47,23,3,827,..,68,298,211,305,436,311,127,51,1807,81,115,154,98,95,138,110,31,5,827,3,4,11,3,0,14,3,3,0,48,4332,2339,3885,3095,2737,2380,1329,453,104,20646,..,226,2115,2779,2223,2138,1182,355,35,11057,..,500,1784,1175,951,579,221,35,8,5245,..,124,415,547,514,280,154,64,17,2120,8885,..,..,..,..,..,..,..,..,8885,..,1106,..,..,..,..,..,..,..,1106,..,1450,609,218,111,24,0,0,0,2419,..,554,352,235,245,275,202,84,20,1967,..,147,308,94,71,51,19,10,0,706,..,265,659,241,205,197,103,39,0,1709,..,172,640,504,671,894,676,245,69,3880,195,206,291,197,164,235,219,66,9,1586,3,9,23,3,6,20,10,11,0,70,9076,4757,7199,6001,5157,4695,2785,916,169,40744
RA74,..,43,28,16,12,10,6,0,0,119,..,31,60,28,20,30,12,10,0,192,..,72,203,107,158,204,96,26,4,869,118,126,137,80,81,87,46,10,3,694,0,0,0,0,0,3,0,0,0,13,4611,3239,3452,2744,2211,1546,728,188,38,18758,..,1014,2540,2593,1943,1191,527,106,16,9925,..,342,907,640,479,239,66,15,0,2689,..,207,566,562,434,314,178,69,9,2347,9432,..,..,..,..,..,..,..,..,9432,..,849,..,..,..,..,..,..,..,849,..,2258,940,333,158,41,3,0,0,3731,..,1343,737,584,594,544,314,93,27,4249,..,110,61,39,30,24,7,3,0,281,..,59,124,58,65,57,21,14,0,402,..,140,423,280,369,389,215,57,9,1870,251,255,269,154,138,138,106,26,4,1331,0,5,0,3,0,3,0,0,0,17,9681,6567,6564,5249,4214,2945,1442,374,72,37107
RA75,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,3,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,12
RA80,..,997,1391,257,112,74,36,10,7,2884,..,3495,3392,582,361,456,271,90,40,8685,..,1026,3758,2786,2855,4098,4798,3691,1762,24773,404,843,815,400,326,414,395,194,66,3856,26,24,48,32,41,104,84,20,0,383,38686,25937,36975,33566,27261,22402,17894,9629,3178,215531,..,955,24003,41070,32810,25836,20748,10140,2050,157609,..,4665,17560,8704,5808,3442,1558,421,57,42215,..,231,1771,4241,5250,2846,1146,707,438,16630,79021,..,..,..,..,..,..,..,..,79021,..,20556,..,..,..,..,..,..,..,20556,..,11288,6211,1884,1174,538,113,4,0,21207,..,2219,2280,679,596,1031,1107,757,353,9021,..,2097,3518,755,346,236,86,26,11,7076,..,6652,8270,1745,1011,987,558,180,65,19469,..,1924,7718,6036,5909,7097,7196,5040,2390,43310,836,1602,1700,942,799,748,650,302,88,7669,43,63,97,69,80,155,140,38,7,700,79901,52248,73136,66129,53774,42914,33304,17619,5460,424484
RA81,..,4,0,0,0,0,0,0,0,6,..,0,0,0,0,0,0,0,0,5,..,0,0,0,4,5,3,0,0,16,0,6,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,65,36,46,47,36,43,19,7,5,300,..,0,37,66,60,52,27,4,3,252,..,12,21,21,8,5,6,0,0,72,..,0,9,3,3,9,0,0,0,24,153,..,..,..,..,..,..,..,..,153,..,25,..,..,..,..,..,..,..,25,..,20,11,0,0,0,0,0,0,27,..,4,0,0,0,0,3,5,0,15,..,4,4,0,0,0,0,0,0,12,..,4,0,0,0,3,0,0,0,10,..,4,4,0,3,13,8,0,0,27,4,6,0,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,156,76,90,99,84,76,48,11,4,630
RA85,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA91,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,39,19,17,13,30,12,10,8,0,145,..,0,7,11,12,18,7,9,0,61,..,0,6,0,3,6,0,0,0,17,..,0,0,6,7,0,3,7,0,22,57,..,..,..,..,..,..,..,..,57,..,3,..,..,..,..,..,..,..,3,..,17,4,3,6,0,0,0,0,28,..,5,11,5,6,3,7,0,0,36,..,0,0,0,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,4,..,0,3,0,11,0,0,4,0,22,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,58,34,28,29,47,30,22,18,0,267
RA94,..,3,0,0,0,0,0,0,0,9,..,7,5,0,9,10,0,0,0,30,..,6,11,18,21,66,64,41,17,249,10,12,7,9,3,4,7,3,0,48,0,0,0,0,0,0,0,0,0,3,291,149,156,231,230,299,203,103,28,1699,..,15,126,250,241,322,254,103,18,1331,..,26,72,67,85,81,32,9,0,365,..,4,14,26,43,17,11,3,3,110,638,..,..,..,..,..,..,..,..,638,..,90,..,..,..,..,..,..,..,90,..,84,33,20,8,4,0,0,0,149,..,16,4,5,3,11,13,15,11,71,..,3,5,0,0,0,0,0,0,16,..,7,9,11,6,14,5,0,0,51,..,21,41,39,48,135,112,63,23,475,15,16,11,9,14,10,17,6,0,93,0,0,0,0,3,0,0,0,0,5,652,282,311,427,447,592,441,194,54,3386
RA95,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
