RA_CODE_2021,P_PG_Deg_35_44_yr,P_PG_Deg_45_54_yr,P_PG_Deg_55_64_yr,P_PG_Deg_65_74_yr,P_PG_Deg_75_84_yr,P_PG_Deg_85_yr_over,P_PGuate_Deg_Tot,P_Grad_Dip_Cer_15_24_yr,P_Grad_Dip_Cer_25_34_yr,P_Grad_Dip_Cer_35_44_yr,P_Grad_Dip_Cer_45_54_yr,P_Grad_Dip_Cer_55_64_yr,P_Grad_Dip_Cer_65_74_yr,P_Grad_Dip_Cer_75_84_yr,P_Grad_Dip_Cer_85_yr_over,P_Grad_Dip_Cer_Tot,P_B_Deg_15_24_yr,P_B_Deg_25_34_yr,P_B_Deg_35_44_yr,P_B_Deg_45_54_yr,P_B_Deg_55_64_yr,P_B_Deg_65_74_yr,P_B_Deg_75_84_yr,P_B_Deg_85_yr_over,P_B_Deg_Tot,P_Adv_Dip_Dip_15_24,P_Adv_Dip_Dip_25_34,P_Adv_Dip_Dip_35_44,P_Adv_Dip_Dip_45_54,P_Adv_Dip_Dip_55_64,P_Adv_Dip_Dip_65_74,P_Adv_Dip_Dip_75_84,P_Adv_Dip_Dip_85_yr_over,P_Adv_Dip_Dip_Total,P_Cer_III_IV_15_24_yr,P_Cer_III_IV_25_34_yr,P_Cer_III_IV_35_44_yr,P_Cer_III_IV_45_54_yr,P_Cer_III_IV_55_64_yr,P_Cer_III_IV_65_74_yr,P_Cer_III_IV_75_84_yr,P_Cer_III_IV_85_yr_over,P_Cer_III_IV_Tot,P_Cer_I_II_15_24_yr,P_Cer_I_II_25_34_yr,P_Cer_I_II_35_44_yr,P_Cer_I_II_45_54_yr,P_Cer_I_II_55_64_yr,P_Cer_I_II_65_74_yr,P_Cer_I_II_75_84_yr,P_Cer_I_II_85_yr_over,P_Cer_I_II_Tot,P_Cer_nfd_15_24_yr,P_Cer_nfd_25_34_yr,P_Cer_nfd_35_44_yr,P_Cer_nfd_45_54_yr,P_Cer_nfd_55_64_yr,P_Cer_nfd_65_74_yr,P_Cer_nfd_75_84_yr,P_Cer_nfd_85_yr_over,P_Cer_nfd_Tot,P_Cer_Tot_15_24_yr,P_Cer_Tot_25_34_yr,P_Cer_Tot_35_44_yr,P_Cer_Tot_45_54_yr,P_Cer_Tot_55_64_yr,P_Cer_Tot_65_74_yr,P_Cer_Tot_75_84_yr,P_Cer_Tot_85_yr_over,P_Cer_Tot_Tot,P_lvl_educ_inad_desc_15_24,P_lvl_educ_inad_desc_25_34,P_lvl_educ_inad_desc_35_44,P_lvl_educ_inad_desc_45_54,P_lvl_educ_inad_desc_55_64,P_lvl_educ_inad_desc_65_74,P_lvl_educ_inad_desc_75_84,P_lvl_educ_inad_desc_85ov,P_lvl_educ_inad_desc_Tot,P_lvl_educ_ns_15_24,P_lvl_educ_ns_25_34,P_lvl_educ_ns_35_44,P_lvl_educ_ns_45_54,P_lvl_educ_ns_55_64,P_lvl_educ_ns_65_74,P_lvl_educ_ns_75_84,P_lvl_educ_ns_85ov,P_lvl_educ_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
RA10,134844,79114,51173,30255,10789,2119,431892,2429,19493,24553,21942,17800,13568,4145,773,104712,75332,300537,253680,170199,114163,73759,29352,8217,1025231,32412,87620,101241,98830,76958,49047,21848,6717,474666,59784,129302,120870,119453,106289,65421,33646,10422,645189,8285,7942,8135,8580,8105,5347,1912,481,48790,5547,9325,13079,19335,21466,17936,8986,2954,98619,73615,146564,142094,147369,135854,88706,44542,13856,792597,2431,6371,6964,6175,6235,6155,3861,1346,39536,43000,66796,57249,44721,40586,38818,36354,27846,355373,234502,745728,720614,568348,442759,300305,150878,60879,3224010
RA11,9595,9042,8617,7295,2652,466,45830,361,3033,4582,5158,5601,5306,1413,178,25625,5956,30985,32360,29049,24825,21952,8387,1907,155419,3835,14427,19127,23466,24072,19416,8481,2140,114966,23018,49450,46628,49041,50517,35018,15512,3923,273108,3213,3251,2683,2893,3364,2605,804,182,18997,1549,2299,3023,4612,6695,6875,3358,890,29301,27778,54999,52335,56545,60579,44504,19672,4994,321405,403,751,861,1021,1452,1920,1325,440,8170,15054,15889,15312,15920,17331,18818,16341,9250,123918,53698,127927,134177,140205,142475,119201,58271,19374,795334
RA12,1275,1266,1387,1124,347,52,6795,74,576,748,961,1102,949,205,30,4642,1312,6739,6200,5706,5029,4187,1455,333,30959,650,2843,3663,4788,5521,4004,1482,350,23306,5048,11388,10910,11566,12492,8123,3101,650,63278,710,827,691,791,972,558,166,28,4739,351,522,629,1127,1565,1368,603,128,6292,6107,12746,12228,13480,15033,10048,3870,801,74307,85,170,165,210,379,385,238,72,1701,4779,4927,5088,5672,6816,6601,4644,2279,40812,13068,29281,29367,32075,35258,27298,12243,3921,182511
RA13,61,57,43,21,11,0,291,4,38,52,62,49,27,7,0,244,102,548,433,364,253,148,45,0,1899,56,255,258,280,319,160,56,12,1399,293,829,653,664,708,394,139,30,3713,56,50,41,73,71,25,6,0,314,24,48,43,68,96,68,31,0,379,372,929,734,806,879,489,179,34,4415,6,17,10,12,17,27,6,0,90,559,655,610,675,783,647,377,130,4439,1101,2533,2163,2258,2342,1518,675,181,12770
RA14,39,22,28,14,4,0,123,0,13,9,15,14,6,0,0,63,36,151,75,75,91,65,15,0,513,6,76,77,74,81,37,16,0,366,83,173,156,168,180,126,35,3,923,13,23,8,26,14,10,0,0,86,9,10,6,15,21,23,6,0,89,98,202,177,202,210,160,44,3,1094,0,4,0,6,0,0,0,0,13,188,202,157,176,205,176,78,18,1203,333,667,543,561,629,457,158,24,3380
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,0,15
RA20,110118,58686,35870,20697,7727,1424,358181,2577,23590,29438,26928,20429,13281,3993,665,120899,67197,255029,219338,142307,87493,55584,21936,6127,855011,28150,83923,91829,79853,59113,39270,18120,5505,405770,46475,110382,98374,96664,81708,47109,23533,7489,511721,6829,6751,6216,5466,4725,2925,969,211,34094,3931,7695,10170,12698,12147,8785,4517,1614,61552,57229,124827,114754,114829,98573,58818,29019,9313,607364,1810,4918,5215,3724,3503,3446,2348,1004,25965,33075,53425,43513,34621,29663,28326,26215,18276,267113,197550,661853,614211,460945,334646,219428,109358,42321,2640316
RA21,7629,6894,6308,4889,1605,218,34760,410,3604,5414,5799,5594,4607,1174,152,26748,5317,26057,27401,22568,18124,15524,5796,1211,121997,3553,13367,16769,18407,18054,14896,6299,1400,92737,15856,38775,36578,37300,35659,22701,9393,2373,198634,2283,2227,2128,1816,1817,1367,373,86,12105,923,1550,1961,2751,3108,2844,1278,384,14811,19062,42557,40674,41873,40584,26909,11045,2844,225544,207,526,565,619,747,935,711,266,4571,10108,10171,10501,11596,12845,14128,12203,7171,88722,39133,103014,108950,107752,102261,81888,38836,13256,595083
RA22,995,840,818,658,202,29,4715,73,623,792,892,975,782,217,17,4383,904,4749,4424,3782,3354,2798,980,199,21185,625,2537,3058,3604,3894,3214,1233,296,18456,3320,7833,7123,7683,8525,5560,2081,465,42596,506,529,480,424,471,305,85,20,2820,193,318,464,592,714,623,271,68,3238,4016,8681,8065,8697,9712,6488,2438,550,48658,38,123,128,121,165,224,158,48,995,2834,2751,2835,3170,3935,4203,3127,1691,24539,8582,20551,20299,21104,22845,18368,8353,2834,122930
RA23,3,3,10,6,7,0,38,0,4,0,7,8,4,0,0,38,7,45,48,36,59,39,7,0,241,5,16,31,29,50,35,17,0,188,22,80,100,72,138,88,21,4,533,4,0,7,5,11,3,0,0,38,0,0,3,5,11,7,5,0,30,30,89,110,83,155,101,26,6,599,0,0,0,0,3,4,3,6,12,21,17,43,32,64,60,52,34,313,63,182,247,196,348,241,107,46,1424
RA25,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,4,6,3,6,0,0,0,19,0,3,5,8,6,0,0,0,32,0,5,21,32,14,0,0,0,73,0,0,0,0,0,0,0,0,8,0,0,3,4,0,0,0,0,8,0,5,22,32,22,0,0,0,86,0,0,0,0,0,0,0,0,5,4,38,94,127,108,13,0,0,389,7,48,136,178,147,17,0,0,530
RA30,47714,33224,21926,13302,4726,805,160951,1568,13440,15946,15789,11355,7442,2226,380,68141,36794,128881,119511,86746,52588,35612,14595,3367,478096,22213,49706,57765,58161,45144,28994,12539,3113,277648,55779,95641,89686,84927,71272,45639,21180,5470,469601,12600,6554,4931,4023,3451,2604,870,150,35179,4646,5923,8141,9540,9064,7860,3830,1063,50072,73027,108126,102758,98494,83785,56108,25879,6685,554853,1283,2400,2872,2698,2586,2711,1928,675,17160,24711,33521,28329,24293,21022,21167,19849,13346,186239,161769,373151,374893,319401,238405,165336,81751,28365,1743077
RA31,4292,4357,3864,2840,941,130,19829,279,1930,2576,3080,2933,2192,633,89,13700,4358,16978,18682,15870,12676,9914,3739,760,82971,2562,8256,11432,14303,14563,10519,4081,815,66548,16732,32868,32311,32283,32208,22892,9056,1783,180130,4845,2619,1966,1618,1434,1103,353,41,13974,1299,1511,2029,2670,2916,2707,1221,266,14626,22870,37002,36297,36576,36559,26703,10634,2095,208733,245,460,478,634,741,876,631,176,4243,8601,8937,8949,9837,10343,11155,9408,4524,71762,39104,76783,82708,84660,81684,64195,30069,8586,467786
RA32,3636,3225,2866,1896,591,70,15442,217,1739,2042,2173,1939,1355,299,40,9803,3562,15614,14232,11690,8745,6526,2213,385,62970,1645,6799,8961,10495,9831,6523,2278,374,46909,11077,23706,23480,22811,21636,14020,5077,902,122707,3035,1687,1337,1134,1013,619,173,26,9022,768,1069,1426,1804,1909,1620,623,117,9327,14881,26462,26248,25746,24557,16259,5875,1037,141060,200,360,384,480,498,589,352,76,2950,10295,12976,11380,11680,11744,10145,6192,2449,76860,30964,66950,66884,65481,60179,43292,17805,4435,355989
RA33,307,202,262,177,34,8,1317,24,178,179,153,206,153,23,0,916,470,1892,1253,876,868,634,130,28,6156,195,685,864,956,993,646,188,15,4537,1174,3086,2746,2629,2566,1572,422,37,14233,336,181,142,138,116,79,16,0,1009,75,145,153,204,209,178,51,4,1011,1589,3406,3039,2961,2891,1828,487,47,16257,15,36,43,38,51,50,19,3,266,1560,2493,2233,2597,2569,1712,692,195,14053,3866,9006,7915,7795,7840,5203,1579,296,43499
RA34,179,165,213,168,24,0,936,14,128,126,150,189,143,27,0,778,298,1160,836,631,728,580,117,11,4363,155,437,567,775,932,603,133,13,3607,1085,2364,1950,1849,1841,1346,289,28,10758,299,250,149,140,147,77,13,0,1083,66,97,118,135,162,151,38,6,781,1449,2710,2220,2127,2153,1581,336,39,12616,12,14,14,19,43,37,19,3,164,1256,1768,1487,1641,1862,1459,560,148,10183,3183,6407,5432,5512,6118,4565,1219,213,32645
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8,6,3,4,0,3,0,0,0,9,4,20,6,9,0,5,0,0,37,0,0,8,0,0,0,0,0,10,0,0,0,4,0,0,0,0,6,4,17,15,15,3,3,0,0,56,0,0,0,0,0,0,0,0,0,13,57,78,46,16,6,0,0,223,20,79,96,65,27,12,0,0,308
RA40,19930,12019,8428,5869,2261,477,69544,460,4658,6106,5677,5092,3946,1217,184,27339,14848,52450,46085,31581,21495,16537,6811,1809,191620,4377,15313,19384,20369,18666,13815,5735,1612,99278,18185,36840,33379,32404,29294,19278,9366,3055,181797,3040,3564,2650,1995,1626,1104,360,99,14439,1231,1979,2780,3770,3734,3384,1735,614,19224,22452,42377,38805,38173,34653,23769,11464,3770,215464,529,1054,1103,981,977,1021,774,290,6734,7263,9213,8330,7753,7449,7882,7700,5207,60802,51120,144429,139751,116552,96758,72838,35966,13361,670777
RA41,669,758,718,676,264,29,3609,24,253,448,524,659,623,142,20,2695,699,2416,2962,2835,2530,2551,966,210,15170,231,1179,1848,2637,3033,2639,1046,185,12800,2415,5075,5356,5704,5873,4228,1779,407,30836,454,472,426,357,314,238,63,22,2355,146,237,373,569,635,636,301,89,2985,3013,5785,6159,6627,6820,5104,2147,523,36176,36,83,97,134,137,152,168,41,851,1190,986,1079,1487,1675,1917,1581,845,10765,5229,11169,13261,15019,15573,13661,6304,1853,82066
RA42,524,400,435,287,81,12,2445,45,297,394,406,476,371,86,13,2096,658,3176,2874,2249,1834,1510,565,119,12994,272,1245,1708,2337,2553,2071,688,140,11012,3014,6574,6019,6304,6337,4221,1614,382,34459,486,702,555,438,379,239,61,3,2856,177,272,380,567,582,492,210,41,2707,3675,7539,6952,7309,7289,4950,1883,429,40025,56,93,132,124,155,166,97,37,857,1785,1857,1906,2240,2744,2834,2350,1039,16748,6546,14861,14483,15062,15491,12187,5759,1789,86178
