RA_CODE_2021,M_PG_Deg_15_24_yr,M_PG_Deg_25_34_yr,M_PG_Deg_35_44_yr,M_PG_Deg_45_54_yr,M_PG_Deg_55_64_yr,M_PG_Deg_65_74_yr,M_PG_Deg_75_84_yr,M_PG_Deg_85_yr_over,M_PG_Deg_Tot,M_Grad_Dip_Cer_15_24,M_Grad_Dip_Cer_25_34,M_Grad_Dip_Cer_35_44,M_Grad_Dip_Cer_45_54,M_Grad_Dip_Cer_55_64,M_Grad_Dip_Cer_65_74,M_Grad_Dip_Cer_75_84,M_Grad_Dip_Cer_85_over,M_Grad_Dip_Cer_Tot,M_B_Deg_15_24_yr,M_B_Deg_25_34_yr,M_B_Deg_35_44_yr,M_B_Deg_45_54_yr,M_B_Deg_55_64_yr,M_B_Deg_65_74_yr,M_B_Deg_75_84_yr,M_B_Deg_85_yr_over,M_B_Deg_Tot,M_Adv_Dip_Dip_15_24_yr,M_Adv_Dip_Dip_25_34_yr,M_Adv_Dip_Dip_35_44_yr,M_Adv_Dip_Dip_45_54_yr,M_Adv_Dip_Dip_55_64_yr,M_Adv_Dip_Dip_65_74_yr,M_Adv_Dip_Dip_75_84_yr,M_Adv_Dip_Dip_85_yr_over,M_Adv_Dip_Dip_Total,M_Cer_III_IV_15_24_yr,M_Cer_III_IV_25_34_yr,M_Cer_III_IV_35_44_yr,M_Cer_III_IV_45_54_yr,M_Cer_III_IV_55_64_yr,M_Cer_III_IV_65_74_yr,M_Cer_III_IV_75_84_yr,M_Cer_III_IV_85_yr_over,M_Cer_III_IV_Tot,M_Cer_I_II_15_24_yr,M_Cer_I_II_25_34_yr,M_Cer_I_II_35_44_yr,M_Cer_I_II_45_54_yr,M_Cer_I_II_55_64_yr,M_Cer_I_II_65_74_yr,M_Cer_I_II_75_84_yr,M_Cer_I_II_85_yr_over,M_Cer_I_II_Tot,M_Cer_nfd_15_24_yr,M_Cer_nfd_25_34_yr,M_Cer_nfd_35_44_yr,M_Cer_nfd_45_54_yr,M_Cer_nfd_55_64_yr,M_Cer_nfd_65_74_yr,M_Cer_nfd_75_84_yr,M_Cer_nfd_85_yr_over,M_Cer_nfd_Tot,M_Cer_Tot_15_24_yr,M_Cer_Tot_25_34_yr,M_Cer_Tot_35_44_yr,M_Cer_Tot_45_54_yr,M_Cer_Tot_55_64_yr,M_Cer_Tot_65_74_yr,M_Cer_Tot_75_84_yr,M_Cer_Tot_85_yr_over,M_Cer_Tot_Tot,M_lvl_educ_inad_desc_15_24,M_lvl_educ_inad_desc_25_34,M_lvl_educ_inad_desc_35_44,M_lvl_educ_inad_desc_45_54,M_lvl_educ_inad_desc_55_64,M_lvl_educ_inad_desc_65_74,M_lvl_educ_inad_desc_75_84,M_lvl_educ_inad_desc_85ov,M_lvl_educ_inad_desc_Tot,M_lvl_educ_ns_15_24,M_lvl_educ_ns_25_34,M_lvl_educ_ns_35_44,M_lvl_educ_ns_45_54,M_lvl_educ_ns_55_64,M_lvl_educ_ns_65_74,M_lvl_educ_ns_75_84,M_lvl_educ_ns_85_yr_over,M_lvl_educ_ns_Tot,M_Tot_15_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_PG_Deg_15_24_yr,F_PG_Deg_25_34_yr,F_PG_Deg_35_44_yr,F_PG_Deg_45_54_yr,F_PG_Deg_55_64_yr,F_PG_Deg_65_74_yr,F_PG_Deg_75_84_yr,F_PG_Deg_85_yr_over,F_PGuate_Deg_Tot,F_Grad_Dip_Cer_15_24_yr,F_Grad_Dip_Cer_25_34_yr,F_Grad_Dip_Cer_35_44_yr,F_Grad_Dip_Cer_45_54_yr,F_Grad_Dip_Cer_55_64_yr,F_Grad_Dip_Cer_65_74_yr,F_Grad_Dip_Cer_75_84_yr,F_Grad_Dip_Cer_85_yr_over,F_Grad_Dip_Cer_Tot,F_B_Deg_15_24_yr,F_B_Deg_25_34_yr,F_B_Deg_35_44_yr,F_B_Deg_45_54_yr,F_B_Deg_55_64_yr,F_B_Deg_65_74_yr,F_B_Deg_75_84_yr,F_B_Deg_85_yr_over,F_B_Deg_Tot,F_Adv_Dip_Dip_15_24,F_Adv_Dip_Dip_25_34,F_Adv_Dip_Dip_35_44,F_Adv_Dip_Dip_45_54,F_Adv_Dip_Dip_55_64,F_Adv_Dip_Dip_65_74,F_Adv_Dip_Dip_75_84,F_Adv_Dip_Dip_85_over,F_Adv_Dip_Dip_Total,F_Cer_III_IV_15_24_yr,F_Cer_III_IV_25_34_yr,F_Cer_III_IV_35_44_yr,F_Cer_III_IV_45_54_yr,F_Cer_III_IV_55_64_yr,F_Cer_III_IV_65_74_yr,F_Cer_III_IV_75_84_yr,F_Cer_III_IV_85_yr_over,F_Cer_III_IV_Tot,F_Cer_I_II_15_24_yr,F_Cer_I_II_25_34_yr,F_Cer_I_II_35_44_yr,F_Cer_I_II_45_54_yr,F_Cer_I_II_55_64_yr,F_Cer_I_II_65_74_yr,F_Cer_I_II_75_84_yr,F_Cer_I_II_85_yr_over,F_Cer_I_II_Tot,F_Cer_nfd_15_24_yr,F_Cer_nfd_25_34_yr,F_Cer_nfd_35_44_yr,F_Cer_nfd_45_54_yr,F_Cer_nfd_55_64_yr,F_Cer_nfd_65_74_yr,F_Cer_nfd_75_84_yr,F_Cer_nfd_85_yr_over,F_Cer_nfd_Tot,F_Cer_Tot_15_24_yr,F_Cer_Tot_25_34_yr,F_Cer_Tot_35_44_yr,F_Cer_Tot_45_54_yr,F_Cer_Tot_55_64_yr,F_Cer_Tot_65_74_yr,F_Cer_Tot_75_84_yr,F_Cer_Tot_85_yr_over,F_Cer_Tot_Tot,F_lvl_educ_inad_desc_15_24,F_lvl_educ_inad_desc_25_34,F_lvl_educ_inad_desc_35_44,F_lvl_educ_inad_desc_45_54,F_lvl_educ_inad_desc_55_64,F_lvl_educ_inad_desc_65_74,F_lvl_educ_inad_desc_75_84,F_lvl_educ_inad_desc_85ov,F_lvl_educ_inad_desc_Tot,F_lvl_educ_ns_15_24_yr,F_lvl_educ_ns_25_34_yr,F_lvl_educ_ns_35_44_yr,F_lvl_educ_ns_45_54_yr,F_lvl_educ_ns_55_64_yr,F_lvl_educ_ns_65_74_yr,F_lvl_educ_ns_75_84_yr,F_lvl_educ_ns_85_yr_over,F_lvl_educ_ns_Tot,F_Tot_15_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_PG_Deg_15_24_yr,P_PG_Deg_25_34_yr
RA10,2051,51666,65078,40567,28424,17912,7135,1513,214343,470,6357,9039,8236,6647,5259,1690,316,38026,32196,131389,112269,76387,55065,38019,15914,4276,465508,14055,38148,45854,41833,32171,20150,9117,2676,204000,33293,80727,74932,75848,71577,49601,28455,8641,423072,3525,3473,2997,2505,2237,1574,728,151,17183,2322,4235,5757,6797,7362,6667,3552,980,37673,39142,88430,83683,85151,81175,57845,32729,9770,477921,1247,3234,3482,2920,2547,2309,1548,570,17859,23054,35157,30176,23191,19890,17137,14530,9131,172261,112216,354391,349574,278284,225911,158632,82653,28249,1589913,3224,66669,69763,38550,22750,12338,3653,607,217553,1961,13140,15519,13704,11153,8307,2459,452,66691,43140,169147,141415,93809,59096,35734,13441,3941,559720,18356,49469,55388,56993,44791,28897,12731,4043,270661,26488,48578,45941,43606,34713,15816,5189,1782,222120,4763,4471,5143,6070,5862,3770,1185,329,31606,3222,5087,7326,12543,14095,11270,5435,1968,60949,34474,58135,58411,62217,54678,30861,11813,4084,314676,1186,3136,3476,3262,3681,3845,2311,780,21678,19946,31640,27072,21531,20697,21681,21824,18715,183112,122289,391337,371041,290063,216844,141666,68226,32624,1634096,5275,118338
RA11,115,2890,3868,3906,4053,4003,1747,339,20922,26,663,1254,1588,1856,2086,588,62,8126,1918,10657,11314,10966,9997,10220,4010,889,59965,1094,4850,7348,9025,9037,7893,3488,846,43581,12320,29641,28291,30357,33342,26726,13389,3355,177430,1389,1318,989,837,867,758,264,57,6491,538,916,1242,1550,2042,2456,1341,309,10408,14246,31885,30529,32743,36258,29943,14996,3726,194332,196,365,415,457,542,706,482,157,3315,8205,8956,8457,8492,8422,8505,6631,3102,60764,25806,60260,63177,67180,70165,63349,31938,9132,391012,204,4946,5734,5140,4557,3290,905,126,24906,332,2367,3327,3569,3750,3226,825,109,17499,4037,20329,21044,18084,14830,11729,4382,1022,95459,2739,9577,11780,14447,15037,11526,4992,1292,71385,10698,19802,18333,18684,17171,8296,2129,566,95678,1819,1928,1690,2055,2497,1849,529,128,12509,1010,1383,1781,3064,4655,4415,2014,574,18889,13526,23117,21805,23799,24321,14561,4675,1268,127075,203,390,450,562,910,1216,837,283,4856,6845,6931,6862,7432,8905,10311,9712,6152,63155,27896,67664,70994,73024,72310,55855,26334,10243,404326,318,7835
RA12,21,495,464,530,573,619,231,37,2964,4,121,169,254,314,354,77,6,1290,439,2297,2019,2026,1892,1878,630,130,11315,176,931,1355,1788,2050,1620,604,115,8635,2860,6976,6673,7197,8344,6198,2657,562,41466,313,328,215,247,268,150,56,9,1584,120,218,271,388,536,538,242,35,2343,3297,7521,7154,7833,9147,6875,2957,601,45388,43,76,85,83,142,135,93,27,679,2567,2692,2744,2985,3498,3250,2068,880,20687,6544,14134,13990,15499,17601,14722,6666,1801,90963,42,784,814,735,815,508,113,14,3824,64,461,578,708,782,597,129,24,3354,872,4443,4179,3674,3130,2307,824,205,19642,475,1913,2312,3005,3473,2387,878,234,14674,2186,4410,4243,4367,4147,1929,440,89,21809,396,505,472,537,707,411,106,22,3154,222,307,362,739,1034,836,359,92,3953,2809,5220,5070,5642,5892,3167,915,199,28915,42,96,85,129,242,248,146,45,1018,2218,2229,2340,2682,3316,3354,2578,1401,20122,6522,15152,15376,16572,17657,12578,5579,2114,91548,61,1279
RA13,0,35,21,16,15,9,9,0,110,0,8,10,11,13,7,0,0,64,40,188,135,128,81,42,11,0,628,20,108,101,110,121,67,12,9,552,164,519,421,419,490,312,115,29,2465,26,14,15,20,24,10,3,0,112,17,28,18,36,43,32,15,0,183,205,559,452,472,552,353,135,31,2766,0,9,4,3,9,12,3,0,38,281,376,317,357,424,356,191,48,2344,555,1283,1040,1106,1214,848,366,86,6495,3,60,40,43,28,12,6,0,188,4,26,43,47,37,21,5,0,180,60,359,297,242,169,105,34,0,1274,34,147,157,168,191,96,43,4,841,122,312,236,245,222,78,23,5,1248,30,31,18,52,48,16,5,0,202,13,22,19,34,53,37,13,0,193,169,370,279,327,325,132,42,4,1647,5,4,0,9,9,13,3,0,53,279,284,299,318,361,290,181,83,2094,549,1252,1124,1149,1130,666,308,91,6272,4,91
RA14,3,11,18,7,8,3,3,0,54,0,5,7,0,5,3,0,0,25,5,46,23,22,35,29,7,0,179,4,24,30,26,29,16,3,0,134,51,110,103,102,124,100,30,3,627,9,10,3,7,6,3,0,0,31,3,5,9,3,10,4,3,0,33,54,124,113,118,148,104,34,3,687,0,0,0,4,0,0,0,0,10,94,98,71,93,118,107,38,8,626,168,308,265,268,336,272,85,12,1711,0,15,17,15,13,3,3,0,72,0,14,6,8,3,7,0,0,38,26,101,47,52,52,30,8,0,333,6,52,46,44,55,18,13,0,233,32,64,53,65,52,28,4,0,302,7,12,9,13,4,4,0,0,47,7,4,4,10,15,15,4,0,55,41,78,65,87,68,50,7,0,407,0,0,0,0,0,0,0,0,9,94,106,90,85,94,69,41,12,581,173,361,277,294,287,183,75,19,1673,3,22
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA20,3394,51872,52518,29669,19467,12090,5143,944,175093,574,6925,9714,9047,7522,5347,1581,282,40995,28615,111749,99109,64605,42341,27842,11193,3099,388548,13027,38594,42190,33429,24833,17752,8716,2421,180968,27542,70653,61486,61266,54065,34365,19446,6087,334901,3460,3193,2472,1883,1447,829,307,65,13643,1635,3489,4528,4798,4466,3402,1737,509,24557,32631,77333,68477,67946,59981,38593,21487,6659,373105,936,2496,2756,1809,1580,1431,986,391,12380,17529,27907,22341,17670,14408,12069,10329,5966,128220,96707,316867,297106,224167,170133,115119,59444,19763,1299303,4125,64272,57596,29017,16402,8606,2586,483,183085,1997,16661,19732,17884,12911,7935,2412,378,79909,38580,143284,120237,77706,45151,27739,10741,3028,466464,15123,45331,49636,46421,34282,21519,9404,3088,224800,18933,39731,36886,35395,27647,12746,4083,1396,176819,3369,3561,3745,3582,3273,2097,664,147,20448,2291,4207,5637,7899,7676,5382,2784,1110,36992,24596,47500,46280,46883,38595,20226,7529,2653,234262,874,2424,2463,1910,1920,2014,1364,617,13584,15545,25514,21172,16956,15255,16261,15884,12309,138895,100847,344989,317110,236777,164512,104306,49916,22556,1341003,7517,116137
RA21,154,2425,3017,2895,2818,2559,1040,157,15068,46,704,1431,1677,1853,1852,476,51,8086,1834,9275,9858,8596,7225,6954,2643,496,46868,1100,4574,6271,6906,6975,6773,2876,561,36037,9140,24177,22878,23876,23711,16966,7969,2048,130766,1062,936,728,551,471,391,130,26,4285,342,650,800,978,1200,1266,609,149,5998,10546,25764,24401,25400,25375,18626,8706,2224,141047,97,250,287,289,319,372,277,97,1983,5228,5202,5211,5883,6176,6338,5044,2438,41531,19011,48192,50474,51648,50742,43462,21066,6026,290624,319,4309,4617,4001,3493,2332,561,62,19695,364,2902,3984,4121,3740,2751,699,100,18662,3481,16781,17543,13972,10900,8572,3159,714,75130,2453,8794,10501,11497,11083,8126,3416,836,56697,6714,14593,13702,13423,11947,5729,1420,327,67865,1216,1296,1403,1269,1349,980,246,59,7814,583,899,1163,1780,1904,1580,672,234,8811,8515,16787,16267,16468,15203,8289,2344,622,84493,107,277,280,336,432,560,429,165,2585,4884,4973,5282,5709,6669,7795,7151,4731,47193,20126,54823,58469,56103,51520,38421,17767,7231,304454,476,6733
RA22,28,357,367,338,371,360,127,19,1970,3,118,185,239,272,321,83,5,1239,264,1625,1487,1335,1275,1150,391,61,7577,210,877,1190,1336,1437,1391,547,107,7091,1958,4868,4399,4805,5794,4135,1761,391,28105,240,225,168,113,133,105,36,5,1020,75,152,190,220,318,304,146,39,1437,2272,5239,4751,5134,6241,4539,1941,435,30564,14,55,60,57,69,98,65,18,428,1447,1403,1471,1629,1959,2000,1364,607,11877,4248,9671,9513,10074,11618,9856,4519,1249,60741,64,731,626,502,447,303,70,12,2750,65,504,601,654,705,465,138,11,3144,639,3126,2935,2451,2080,1654,587,140,13613,412,1661,1875,2265,2456,1823,684,190,11358,1364,2963,2727,2879,2730,1428,324,69,14490,269,305,313,309,337,201,45,12,1799,116,167,271,371,395,321,127,33,1805,1746,3441,3310,3566,3465,1953,500,117,18090,23,65,67,65,99,123,98,36,573,1386,1348,1366,1539,1978,2198,1763,1088,12668,4337,10878,10781,11032,11232,8512,3836,1588,62192,89,1092
RA23,0,0,3,3,7,0,7,0,15,0,0,0,0,9,0,0,0,6,3,14,12,5,9,19,5,0,73,6,7,5,7,14,18,4,0,57,17,51,62,48,81,58,16,4,335,0,0,5,4,5,0,0,0,13,0,0,0,0,8,5,0,0,15,19,50,65,50,90,62,17,6,355,0,0,0,0,0,0,0,3,8,11,11,20,15,35,35,25,16,173,34,81,109,83,162,137,51,26,683,0,5,3,0,5,4,0,0,24,0,3,0,6,7,3,0,0,22,4,25,39,25,48,24,9,0,172,5,18,25,21,36,16,19,0,130,8,33,36,25,54,33,8,0,192,0,0,6,5,9,3,0,0,26,0,0,4,5,10,0,3,0,20,8,33,48,34,67,38,8,0,240,0,0,0,0,0,0,3,0,5,14,6,20,17,30,17,27,17,146,27,95,135,107,188,107,56,25,741,0,5
