RA_CODE_2021,Separate_house_NB0_i_sa_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Sd_r_or_t_h_t_1_s_NB0_i_sa_b,Sd_r_or_t_h_t_1_st_NofB_1,Sd_r_or_t_h_t_1_st_NofB_2,Sd_r_or_t_h_t_1_st_NofB_3,Sd_r_or_t_h_t_1_st_NofB_4,Sd_r_or_t_h_t_1_st_NofB_5,Sd_r_or_t_h_t_1_st_NofB_6_m,Sd_r_or_t_h_t_1_st_NofB_NS,Sd_r_or_t_h_t_1_st_Total,Sd_r_or_t_h_t_2m_s_NB0_i_sa_b,Sd_r_or_t_h_t_2m_sts_NofB_1,Sd_r_or_t_h_t_2m_sts_NofB_2m,Sd_r_or_t_h_t_2m_sts_NofB_3,Sd_r_or_t_h_t_2m_sts_NofB_4,Sd_r_or_t_h_t_2m_sts_NofB_5,Sd_r_or_t_h_t_2m_st_NofB_6_m,Sd_r_or_t_h_t_2m_sts_NofB_NS,Sd_r_or_t_h_t_2m_sts_Total,Sd_r_or_t_h_t_T_NB0_i_sa_b,Sd_r_or_t_h_t_Total_NofB_1,Sd_r_or_t_h_t_Total_NofB_2,Sd_r_or_t_h_t_Total_NofB_3,Sd_r_or_t_h_t_Total_NofB_4,Sd_r_or_t_h_t_Total_NofB_5,Sd_r_or_t_h_t_Tot_NofB_6_m,Sd_r_or_t_h_t_Tot_NofB_NS,Sd_r_or_t_h_t_Total_Total,Fl_a_1_or2_st_bl_NB0_i_sa_b,Fl_a_1_or2_st_bl_NofB_1,Fl_a_1_or2_st_bl_NofB_2,Fl_a_1_or2_st_bl_NofB_3,Fl_a_1_or2_st_bl_NofB_4,Fl_a_1_or2_st_bl_NofB_5,Fl_a_1_or2_st_bl_NofB_6_m,Fl_a_1_or2_st_bl_NofB_NS,Fl_a_1_or2_st_bl_Total,Fl_a_3_st_bl_NB0_i_sa_b,Fl_a_In_3_st_bl_NofB_1,Fl_a_In_3_st_bl_NofB_2,Fl_a_In_3_st_bl_NofB_3,Fl_a_In_3_st_bl_NofB_4,Fl_a_In_3_st_bl_NofB_5,Fl_a_In_3_s_bl_NofB_6_m,Fl_a_In_3_st_bl_NofB_NS,Fl_a_In_3_st_bl_Total,Fl_a_4_to_8_s_b_NB0_i_sa_b,Fl_a_4_to_8_s_b_NofB_1,Fl_a_4_to_8_s_b_NofB_2,Fl_a_4_to_8_s_b_NofB_3,Fl_a_4_to_8_s_b_NofB_4,Fl_a_4_to_8_s_b_NofB_5,Fl_a_4_to_8_s_b_NofB_6_m,Fl_a_4_to_8_s_b_NofB_NS,Fl_a_4_to_8_s_b_Total,Fl_a_9_or_m_s_b_NB0_i_sa_b,Fl_a_9_or_m_s_b_NofB_1,Fl_a_9_or_m_s_b_NofB_2,Fl_a_9_or_m_s_b_NofB_3,Fl_a_9_or_m_s_b_NofB_4,Fl_a_9_or_m_s_b_NofB_5,Fl_a_9_or_m_s_b_NofB_6_m,Fl_a_9_or_m_s_b_NofB_NS,Fl_a_9_or_m_s_b_Total,Fl_a_At_to_a_h_NB0_i_sa_b,Fl_a_At_to_a_hse_NofB_1,Fl_a_At_to_a_hse_NofB_2,Fl_a_At_to_a_hse_NofB_3,Fl_a_At_to_a_hse_NofB_4,Fl_a_At_to_a_hse_NofB_5,Fl_a_At_to_a_hse_NofB_6_m,Fl_a_At_to_a_hse_NofB_NS,Fl_a_At_to_a_hse_Total,Fl_a_Total_NB0_i_sa_b,Fl_a_Total_NofB_1,Fl_a_Total_NofB_2,Fl_a_Total_NofB_3,Fl_a_Total_NofB_4,Fl_a_Total_NofB_5,Fl_a_Tot_NofB_6_or_m,Fl_a_Total_NofB_NS,Fl_a_Total_Total,Other_dwelling_NB0_i_sa_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dw_struct_NS_NB0_i_sa_b,Dw_struct_NS_NofB_1,Dw_struct_NS_NofB_2,Dw_struct_NS_NofB_3,Dw_struct_NS_NofB_4,Dw_struct_NS_NofB_5,Dw_struct_NS_NofB_6_or_m,Dw_struct_NS_NofB_NS,Dw_struct_NS_Total,Total_NB0_i_sa_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
RA10,2166,13353,96242,480845,482621,142770,31788,49356,1299131,832,8110,42341,43970,7086,1071,267,6300,109967,691,10419,40627,89302,30003,4259,819,9590,185717,1525,18530,82963,133272,37089,5335,1086,15890,295684,2805,24816,59601,18444,2085,424,252,9096,117525,2770,24722,110386,22535,1028,131,134,10388,172101,4148,42890,116244,29375,1095,152,100,12757,206768,3476,35988,66006,16650,684,49,58,8246,131158,169,1471,3889,1899,1111,520,201,774,10045,13371,129899,356127,88902,6004,1284,744,41269,637594,727,3217,4579,1903,416,132,56,1868,12895,359,1104,1387,759,455,179,86,858,5187,18144,166098,541293,705676,526591,149697,33757,109243,2250499
RA11,1932,9177,53470,219087,176674,36540,9280,29499,535657,195,3895,21835,11329,1067,126,60,3726,42239,41,1276,4858,6251,999,137,41,1162,14761,234,5175,26694,17575,2070,267,107,4881,56999,270,4131,11522,3076,332,55,64,2245,21696,24,374,2025,526,22,9,5,266,3253,14,272,1411,662,39,0,4,143,2539,3,24,199,152,0,0,0,27,415,39,291,318,209,167,46,24,89,1185,352,5101,15474,4624,558,119,100,2761,29090,1268,3161,2559,1001,399,99,60,2501,11046,212,628,595,457,231,54,63,526,2772,3992,23236,98796,242752,179932,37076,9609,40171,635570
RA12,873,3641,17576,59582,38026,7637,2109,12716,142159,52,798,2530,1062,207,38,21,811,5518,20,182,505,390,71,16,3,122,1309,70,980,3040,1451,278,51,30,928,6830,66,814,2348,710,96,22,15,634,4703,5,41,100,59,10,0,0,19,243,0,7,13,11,0,0,0,4,35,0,0,0,3,0,0,0,0,4,0,23,30,13,14,8,4,9,97,72,887,2489,793,122,35,20,668,5086,387,794,460,249,133,31,30,740,2826,113,224,183,210,131,46,56,214,1175,1522,6524,23745,62287,38692,7795,2241,15266,158077
RA13,48,261,1085,3408,2499,545,186,1629,9663,0,79,107,28,11,3,0,56,287,0,0,3,0,4,0,0,4,17,0,79,115,23,16,3,0,65,299,13,87,114,20,7,0,0,63,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,88,117,20,7,0,0,63,307,71,168,78,57,17,9,5,137,547,22,58,64,53,30,23,17,18,278,159,646,1458,3567,2567,578,205,1910,11101
RA14,26,135,299,813,552,118,52,445,2433,0,17,39,5,0,0,0,21,89,0,11,0,4,7,5,0,6,33,0,20,42,16,6,5,0,26,117,3,18,6,3,0,0,0,5,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,4,11,3,22,7,5,0,0,0,10,53,36,77,36,25,3,0,0,43,218,16,47,35,25,25,11,12,41,205,80,299,417,879,587,126,65,561,3021
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA20,1304,7406,96192,571368,457101,84289,13929,50488,1282085,399,12835,84611,56307,10984,1086,262,9515,175985,244,3755,36565,65351,19984,2306,356,5883,134450,643,16592,121174,121661,30967,3392,616,15400,310439,1011,19763,47911,16614,1896,206,131,6268,93790,888,16187,30680,4753,282,48,36,3581,56460,1052,20689,35930,5038,254,28,35,4012,67037,1350,24672,41088,7427,259,24,41,6541,81394,20,288,295,171,123,53,22,201,1170,4319,81598,155905,34001,2812,358,265,20588,299852,260,1975,2371,978,256,57,24,1559,7477,107,420,548,480,256,49,38,397,2298,6641,107993,376186,728483,491399,88142,14877,88429,1902149
RA21,902,5493,46517,211535,133511,19668,4111,24773,446511,164,4487,15496,5182,648,72,34,2810,28891,18,278,1104,1664,371,49,20,306,3811,182,4759,16600,6846,1017,122,54,3115,32701,60,1632,3848,951,70,9,16,746,7335,5,92,132,63,4,5,0,26,332,0,47,125,20,3,0,0,39,236,0,0,4,3,3,0,0,0,9,3,51,50,23,16,5,0,35,187,69,1823,4157,1066,102,22,16,848,8105,442,1438,1377,483,170,24,24,1413,5364,52,149,177,225,162,29,44,106,930,1645,13662,68814,220162,134956,19865,4246,30252,493603
RA22,319,1721,12161,49246,24090,3577,840,7005,98958,33,852,2737,1088,107,9,8,586,5422,3,19,105,145,41,6,0,46,366,31,873,2845,1236,148,12,10,632,5795,21,617,1419,252,29,3,8,389,2732,3,15,46,34,17,5,0,17,145,0,17,24,20,0,0,0,14,76,5,14,9,0,0,0,0,5,31,0,9,9,3,4,0,0,3,28,32,673,1502,307,46,14,9,424,3011,294,715,332,175,91,19,14,487,2131,25,78,88,90,27,14,13,85,424,702,4065,16924,51052,24409,3640,900,8637,110322
RA23,10,51,234,716,319,33,8,105,1476,0,13,5,0,0,0,0,10,29,0,0,0,0,0,0,0,0,0,0,13,5,0,0,0,0,10,30,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,9,9,3,0,4,0,3,6,33,4,4,0,0,0,0,0,3,14,21,78,252,719,321,33,9,119,1558
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA30,1175,6433,43419,308343,368571,85049,18540,30927,862459,350,4939,25859,21826,2225,145,74,4311,59723,282,4374,26381,69552,8504,498,160,7251,117007,634,9313,52242,91378,10730,640,238,11564,176736,930,12339,25441,9458,1085,167,129,4443,53995,527,7386,36268,7868,449,62,65,3450,56071,595,9001,27273,9346,562,45,25,3547,50384,738,13823,26360,8197,478,32,19,4449,54103,51,541,907,324,178,110,60,437,2609,2842,43094,116248,35190,2751,417,302,16321,217162,1125,3122,1467,395,189,30,42,2217,8577,252,783,720,631,305,52,46,469,3278,6028,62746,214102,435934,382547,86184,19159,61508,1268209
RA31,1325,5387,32017,140719,116871,20227,5045,17828,339420,130,2259,11284,5883,566,73,35,2031,22260,92,1207,3521,2895,260,40,19,892,8927,220,3464,14805,8777,822,113,54,2928,31186,97,1777,6523,2206,178,24,14,1160,11979,28,82,507,173,13,0,3,68,873,11,88,671,382,12,4,0,119,1284,9,56,208,175,31,0,0,202,681,18,79,101,56,36,14,12,79,387,151,2085,8012,2996,264,42,29,1627,15207,1704,3367,839,479,297,44,42,2128,8892,386,686,275,272,169,43,26,384,2248,3794,14995,55944,153241,118425,20467,5196,24884,396952
RA32,1363,5269,20873,93120,70568,11446,2813,16219,221673,164,1541,7789,2511,390,51,21,1676,14136,66,1034,5018,1791,199,25,36,1003,9169,231,2565,12805,4297,588,74,57,2682,23307,219,2092,6411,1583,145,38,23,1705,12219,43,814,3262,972,31,4,10,628,5761,24,187,1218,661,17,5,0,263,2378,6,171,484,389,13,0,4,190,1265,9,9,21,18,15,3,3,37,114,301,3281,11399,3618,219,51,42,2830,21736,2495,3534,639,570,296,43,59,1878,9519,537,1021,412,306,125,33,58,510,3006,4926,15667,46126,101914,71795,11640,3033,24118,279231
RA33,329,1183,2930,9843,5118,1071,460,2439,23374,14,323,722,216,35,4,5,172,1495,0,36,124,117,35,0,0,30,344,16,356,843,338,67,4,4,209,1836,10,181,415,93,23,5,4,111,841,0,3,24,4,0,0,0,4,37,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,6,16,16,189,449,100,23,5,5,117,898,772,1157,203,180,94,13,25,838,3276,193,312,91,105,60,12,21,102,894,1322,3192,4519,10553,5367,1108,514,3702,30287
RA34,196,820,2384,5985,3111,790,504,1708,15498,14,134,436,242,86,21,9,133,1074,0,60,227,86,17,8,0,79,476,14,193,664,324,106,22,17,212,1554,10,89,242,67,13,0,0,91,511,0,0,17,3,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,30,38,10,92,258,69,15,3,0,125,567,1238,1639,217,271,186,24,26,870,4461,250,374,123,172,98,45,54,146,1258,1705,3104,3651,6827,3507,890,599,3059,23347
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,3,5
RA40,335,2638,31850,226927,104055,17138,3038,10892,396874,192,5300,30792,23964,2383,251,82,3740,66706,31,910,7318,13203,1979,237,36,981,24698,224,6220,38113,37165,4358,488,118,4721,91407,179,5452,20430,3316,175,30,25,1745,31355,61,614,3129,522,24,0,5,316,4665,77,1127,3672,742,38,7,0,313,5973,73,1187,2015,485,10,4,0,268,4043,5,72,86,66,29,11,5,95,371,392,8451,29325,5134,280,57,38,2741,46407,216,576,403,221,71,13,9,527,2037,77,252,308,390,148,21,29,178,1402,1249,18135,99998,269840,108906,17712,3226,19049,538118
RA41,199,1074,7751,32131,19008,2901,665,3047,66766,10,455,1510,941,45,5,3,255,3242,0,17,58,136,30,7,0,15,269,13,474,1571,1072,75,18,9,271,3506,4,120,220,46,3,0,0,39,439,0,25,29,15,6,0,0,8,78,0,0,7,4,0,0,0,0,18,0,0,0,0,0,0,0,0,3,0,0,4,0,0,5,0,0,13,4,144,268,72,8,4,0,53,558,104,313,144,90,16,8,4,181,857,26,50,55,72,37,3,9,18,274,349,2048,9790,33436,19141,2930,685,3571,71958
RA42,212,1193,8497,38695,17184,2425,450,4127,72789,32,655,2939,4642,372,76,57,1072,9847,0,11,41,92,45,7,0,13,218,32,667,2988,4737,418,83,57,1088,10069,22,466,1323,348,30,0,0,242,2434,0,16,34,0,0,0,0,4,52,0,0,19,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,4,3,16,0,0,0,11,32,22,479,1378,368,27,0,0,256,2540,259,506,243,173,67,17,6,590,1865,78,151,86,96,42,11,10,149,633,605,3007,13192,44075,17732,2537,524,6217,87894
RA43,109,475,2206,8320,3811,537,97,1055,16617,3,113,272,378,29,6,3,112,921,0,0,9,82,26,0,0,5,118,3,114,280,454,57,6,3,118,1045,10,92,309,58,3,3,0,49,520,0,0,10,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,10,16,10,90,316,65,7,3,0,55,550,88,175,45,47,23,3,4,172,560,24,58,27,21,8,0,6,32,182,228,916,2883,8904,3912,557,117,1437,18943
RA44,63,294,782,2286,829,137,49,491,4936,0,24,79,29,5,0,0,21,163,0,0,0,4,0,0,0,0,6,0,26,82,34,5,0,0,21,171,0,12,52,16,4,0,0,25,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,0,0,4,13,0,16,52,19,7,0,0,32,122,136,234,71,51,20,6,0,154,661,58,137,37,38,26,5,12,38,349,261,699,1026,2430,882,150,58,735,6241
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
