RA_CODE_2021,OneMeth_Train_M,OneMeth_Train_F,OneMeth_Train_P,OneMeth_Bus_M,OneMeth_Bus_F,OneMeth_Bus_P,OneMeth_Ferry_M,OneMeth_Ferry_F,OneMeth_Ferry_P,OneMeth_Tram_lt_rail_M,OneMeth_Tram_lt_rail_F,OneMeth_Tram_lt_rail_P,OneMeth_Taxi_rs_serv_M,OneMeth_Taxi_rs_serv_F,OneMeth_Taxi_rs_serv_P,OneMeth_Car_as_driver_M,OneMeth_Car_as_driver_F,OneMeth_Car_as_driver_P,OneMeth_Car_as_passenger_M,OneMeth_Car_as_passenger_F,OneMeth_Car_as_passenger_P,OneMeth_Truck_M,OneMeth_Truck_F,OneMeth_Truck_P,OneMeth_Motorbike_scooter_M,OneMeth_Motorbike_scooter_F,OneMeth_Motorbike_scooter_P,OneMeth_Bicycle_M,OneMeth_Bicycle_F,OneMeth_Bicycle_P,OneMeth_Other_M,OneMeth_Other_F,OneMeth_Other_P,OneMeth_Walked_only_M,OneMeth_Walked_only_F,OneMeth_Walked_only_P,OneMeth_Tot_OneMeth_M,OneMeth_Tot_OneMeth_F,OneMeth_Tot_OneMeth_P,TwoMeth_Train_Bus_M,TwoMeth_Train_Bus_F,TwoMeth_Train_Bus_P,TwoMeth_Train_Ferry_M,TwoMeth_Train_Ferry_F,TwoMeth_Train_Ferry_P,TwoMeth_Trn_Trm_lt_rl_M,TwoMeth_Trn_Trm_lt_rl_F,TwoMeth_Trn_Trm_lt_rl_P,TwoMeth_Train_Car_as_drvr_M,TwoMeth_Train_Car_as_drvr_F,TwoMeth_Train_Car_as_drvr_P,TwoMeth_Trn_Car_as_pass_M,TwoMeth_Trn_Car_as_pass_F,TwoMeth_Trn_Car_as_pass_P,TwoMeth_Train_Other_M,TwoMeth_Train_Other_F,TwoMeth_Train_Other_P,TwoMeth_Train_Tot_M,TwoMeth_Train_Tot_F,TwoMeth_Train_Tot_P,TwoMeth_Bus_Ferry_M,TwoMeth_Bus_Ferry_F,TwoMeth_Bus_Ferry_P,TwoMeth_Bus_Trm_lt_rl_M,TwoMeth_Bus_Trm_lt_rl_F,TwoMeth_Bus_Trm_lt_rl_P,TwoMeth_Bus_Car_as_driver_M,TwoMeth_Bus_Car_as_driver_F,TwoMeth_Bus_Car_as_driver_P,TwoMeth_Bus_Car_as_pass_M,TwoMeth_Bus_Car_as_pass_F,TwoMeth_Bus_Car_as_pass_P,TwoMeth_Bus_Other_M,TwoMeth_Bus_Other_F,TwoMeth_Bus_Other_P,TwoMeth_Bus_Tot_M,TwoMeth_Bus_Tot_F,TwoMeth_Bus_Tot_P,TwoMeth_Other_TwoMeth_M,TwoMeth_Other_TwoMeth_F,TwoMeth_Other_TwoMeth_P,TwoMeth_Tot_TwoMeth_M,TwoMeth_Tot_TwoMeth_F,TwoMeth_Tot_TwoMeth_P,ThreeMeth_Trn_2_othr_mthd_M,ThreeMeth_Trn_2_othr_mthd_F,ThreeMeth_Trn_2_othr_mthd_P,ThreMth_Bu_2_ot_met_exc_tra_M,ThreMth_Bu_2_ot_met_exc_tra_F,ThreMth_Bu_2_ot_met_exc_tra_P,ThreeMeth_Oth_ThreeMeth_M,ThreeMeth_Oth_ThreeMeth_F,ThreeMeth_Oth_ThreeMeth_P,ThreeMeth_Tot_ThreeMeth_M,ThreeMeth_Tot_ThreeMeth_F,ThreeMeth_Tot_ThreeMeth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Meth_travel_to_work_NS_M,Meth_travel_to_work_NS_F,Meth_travel_to_work_NS_P,Tot_M,Tot_F,Tot_P
RA25,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,22,7,30,0,0,0,14,0,14,0,0,0,0,0,0,92,7,98,13,6,17,139,18,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,22,170
RA30,13210,13658,26868,13946,19308,33251,807,716,1522,673,1042,1716,2285,2435,4715,503466,429997,933463,26736,39004,65743,10368,246,10611,9967,1181,11144,8991,3147,12137,5381,2609,7986,16335,17936,34270,612160,531266,1143430,2116,2531,4641,10,5,19,79,81,159,2954,2916,5873,511,770,1279,710,306,1021,6379,6616,12997,119,174,292,175,309,487,992,1280,2275,488,1219,1703,445,455,897,2219,3431,5647,6042,3730,9771,14634,13778,28420,1216,1457,2674,375,462,839,270,131,403,1860,2051,3915,125399,149332,274732,68690,110378,179069,3490,3092,6585,826242,809904,1636149
RA31,224,181,403,1281,731,2011,148,49,199,10,3,8,410,535,946,147502,138516,286017,10164,12323,22484,4397,134,4523,2154,199,2354,1488,438,1920,1427,634,2061,5203,4751,9955,174401,158493,332894,29,39,67,0,0,0,0,0,0,174,184,360,19,19,33,26,3,27,242,242,491,194,41,233,0,0,0,222,75,300,48,82,129,37,34,67,502,226,727,1945,1093,3042,2689,1566,4260,43,40,77,236,69,302,96,38,137,378,139,515,15409,21198,36607,20182,26765,46946,1396,1260,2656,214455,209421,423872
RA32,26,17,45,2652,1466,4121,133,81,212,11,4,13,317,349,665,106066,98057,204123,8182,9624,17808,2654,100,2753,1834,280,2113,1877,765,2649,1931,779,2713,5554,5200,10751,131244,116718,247962,4,5,7,0,0,0,0,0,0,25,22,45,5,0,5,5,3,15,46,27,73,10,22,32,0,0,0,235,70,304,86,149,227,90,56,148,416,297,713,1668,985,2654,2128,1317,3445,17,9,28,94,73,168,155,59,212,266,141,408,12286,16310,28594,18365,22298,40664,1222,960,2172,165515,157740,323255
RA33,7,3,10,703,232,942,33,13,45,0,0,0,32,45,80,11515,8524,20035,1145,972,2119,410,21,440,197,28,227,119,58,180,569,281,853,1831,1655,3485,16571,11843,28411,0,0,4,0,0,0,0,0,0,4,4,13,0,0,0,3,0,3,7,8,12,0,0,4,0,0,0,39,11,47,12,9,25,23,5,29,75,29,106,287,139,422,367,172,538,9,9,16,26,5,31,35,14,47,76,22,94,2017,2069,4081,1974,1996,3968,275,198,463,21279,16287,37570
RA34,5,0,3,516,99,615,47,39,91,3,0,3,12,18,29,6226,4900,11125,897,840,1740,285,19,308,94,24,119,156,101,257,746,297,1047,2228,2492,4718,11208,8836,20040,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,4,0,4,3,0,12,28,14,38,0,0,0,6,4,10,10,3,10,52,7,53,88,27,116,240,97,337,335,126,464,0,0,0,83,24,105,29,19,48,110,40,155,1537,1456,2991,1470,1543,3015,267,192,464,14925,12199,27121
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,10,0,10,0,0,0,0,0,0,57,0,57,3,0,0,75,5,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,11,0,0,0,90,13,99
RA40,2594,2707,5302,10223,14342,24565,62,32,90,968,1320,2289,944,987,1931,223428,185333,408760,10424,16895,27324,2407,61,2464,2443,282,2719,4842,1736,6583,2266,730,2993,5777,6066,11845,266377,230490,496865,491,478,973,0,0,0,59,94,150,499,531,1032,65,123,188,86,45,132,1191,1278,2474,3,3,5,182,258,440,940,1208,2141,364,869,1234,258,298,558,1745,2635,4377,2476,2077,4555,5418,5995,11404,297,426,723,224,333,558,93,57,143,611,813,1426,29425,33272,62701,25340,43431,68771,1292,1140,2434,328464,315134,643599
RA41,17,21,36,152,153,309,12,8,14,0,0,0,22,24,51,27151,23874,51027,1293,1645,2938,673,23,695,204,23,228,164,46,207,330,91,419,1289,1071,2361,31303,26988,58285,3,3,9,0,0,0,0,0,0,27,37,66,3,3,9,0,0,0,34,43,78,0,0,0,0,0,0,77,118,195,10,28,40,6,4,14,99,147,243,303,165,467,429,363,786,13,9,18,9,6,10,12,0,12,26,15,38,3910,4634,8541,3240,5237,8479,337,268,598,39238,37496,76737
RA42,10,7,14,405,125,528,18,4,17,0,8,8,85,85,170,31400,27844,59248,2156,2166,4320,648,28,669,280,40,324,322,74,390,458,131,590,2042,1597,3637,37823,32101,69920,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,89,18,110,10,7,15,12,0,14,108,24,135,358,181,539,476,208,684,0,0,0,4,0,5,28,8,39,37,16,44,3287,3473,6760,3665,5224,8887,418,349,769,45696,41370,87068
