RA_CODE_2021,OneMeth_Train_M,OneMeth_Train_F,OneMeth_Train_P,OneMeth_Bus_M,OneMeth_Bus_F,OneMeth_Bus_P,OneMeth_Ferry_M,OneMeth_Ferry_F,OneMeth_Ferry_P,OneMeth_Tram_lt_rail_M,OneMeth_Tram_lt_rail_F,OneMeth_Tram_lt_rail_P,OneMeth_Taxi_rs_serv_M,OneMeth_Taxi_rs_serv_F,OneMeth_Taxi_rs_serv_P,OneMeth_Car_as_driver_M,OneMeth_Car_as_driver_F,OneMeth_Car_as_driver_P,OneMeth_Car_as_passenger_M,OneMeth_Car_as_passenger_F,OneMeth_Car_as_passenger_P,OneMeth_Truck_M,OneMeth_Truck_F,OneMeth_Truck_P,OneMeth_Motorbike_scooter_M,OneMeth_Motorbike_scooter_F,OneMeth_Motorbike_scooter_P,OneMeth_Bicycle_M,OneMeth_Bicycle_F,OneMeth_Bicycle_P,OneMeth_Other_M,OneMeth_Other_F,OneMeth_Other_P,OneMeth_Walked_only_M,OneMeth_Walked_only_F,OneMeth_Walked_only_P,OneMeth_Tot_OneMeth_M,OneMeth_Tot_OneMeth_F,OneMeth_Tot_OneMeth_P,TwoMeth_Train_Bus_M,TwoMeth_Train_Bus_F,TwoMeth_Train_Bus_P,TwoMeth_Train_Ferry_M,TwoMeth_Train_Ferry_F,TwoMeth_Train_Ferry_P,TwoMeth_Trn_Trm_lt_rl_M,TwoMeth_Trn_Trm_lt_rl_F,TwoMeth_Trn_Trm_lt_rl_P,TwoMeth_Train_Car_as_drvr_M,TwoMeth_Train_Car_as_drvr_F,TwoMeth_Train_Car_as_drvr_P,TwoMeth_Trn_Car_as_pass_M,TwoMeth_Trn_Car_as_pass_F,TwoMeth_Trn_Car_as_pass_P,TwoMeth_Train_Other_M,TwoMeth_Train_Other_F,TwoMeth_Train_Other_P,TwoMeth_Train_Tot_M,TwoMeth_Train_Tot_F,TwoMeth_Train_Tot_P,TwoMeth_Bus_Ferry_M,TwoMeth_Bus_Ferry_F,TwoMeth_Bus_Ferry_P,TwoMeth_Bus_Trm_lt_rl_M,TwoMeth_Bus_Trm_lt_rl_F,TwoMeth_Bus_Trm_lt_rl_P,TwoMeth_Bus_Car_as_driver_M,TwoMeth_Bus_Car_as_driver_F,TwoMeth_Bus_Car_as_driver_P,TwoMeth_Bus_Car_as_pass_M,TwoMeth_Bus_Car_as_pass_F,TwoMeth_Bus_Car_as_pass_P,TwoMeth_Bus_Other_M,TwoMeth_Bus_Other_F,TwoMeth_Bus_Other_P,TwoMeth_Bus_Tot_M,TwoMeth_Bus_Tot_F,TwoMeth_Bus_Tot_P,TwoMeth_Other_TwoMeth_M,TwoMeth_Other_TwoMeth_F,TwoMeth_Other_TwoMeth_P,TwoMeth_Tot_TwoMeth_M,TwoMeth_Tot_TwoMeth_F,TwoMeth_Tot_TwoMeth_P,ThreeMeth_Trn_2_othr_mthd_M,ThreeMeth_Trn_2_othr_mthd_F,ThreeMeth_Trn_2_othr_mthd_P,ThreMth_Bu_2_ot_met_exc_tra_M,ThreMth_Bu_2_ot_met_exc_tra_F,ThreMth_Bu_2_ot_met_exc_tra_P,ThreeMeth_Oth_ThreeMeth_M,ThreeMeth_Oth_ThreeMeth_F,ThreeMeth_Oth_ThreeMeth_P,ThreeMeth_Tot_ThreeMeth_M,ThreeMeth_Tot_ThreeMeth_F,ThreeMeth_Tot_ThreeMeth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Meth_travel_to_work_NS_M,Meth_travel_to_work_NS_F,Meth_travel_to_work_NS_P,Tot_M,Tot_F,Tot_P
RA62,0,6,5,215,170,390,11,7,17,0,0,5,38,66,107,30147,26723,56869,1757,1997,3755,770,23,790,253,35,295,141,54,196,279,110,387,1476,1387,2859,35090,30579,65668,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,4,5,6,8,9,13,0,0,0,0,0,0,37,37,75,30,34,69,3,8,12,76,80,155,284,158,440,360,241,607,0,0,3,5,6,15,14,4,18,20,19,36,3559,3931,7484,3821,5668,9489,423,334,758,43273,40771,84043
RA63,0,0,0,4,7,9,0,0,0,0,0,0,0,0,5,1340,879,2220,91,94,187,27,0,28,31,7,36,13,8,23,15,7,28,171,193,366,1693,1199,2899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,5,0,5,11,11,27,19,11,30,0,0,0,0,0,0,0,0,0,0,0,0,142,149,292,271,277,541,26,17,45,2156,1653,3807
RA64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446,346,789,34,34,68,13,0,13,4,0,8,0,0,0,15,5,11,63,51,112,578,437,1008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,10,0,10,0,0,0,0,0,0,5,0,5,5,0,5,88,84,173,24,48,69,10,8,11,704,571,1278
RA65,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,29,14,39,4,0,4,5,0,5,0,0,0,0,0,0,89,8,94,20,4,24,147,26,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,10,9,19,67,10,80,228,48,277
RA72,14,5,17,667,970,1637,18,3,20,5,3,13,154,166,312,27030,24107,51137,1607,2831,4441,356,21,377,740,155,897,780,517,1296,735,272,1006,1512,1353,2859,33605,30410,64022,0,6,3,0,0,0,0,0,0,10,9,22,3,0,3,0,4,7,19,17,40,0,0,0,0,0,0,46,46,95,37,99,135,27,26,57,115,174,289,359,227,589,493,417,913,4,0,4,27,35,58,26,11,36,55,45,97,1517,2206,3721,3940,4986,8922,246,189,433,39852,38261,78112
RA73,0,7,6,218,94,313,4,8,14,3,3,3,32,44,77,7196,6578,13770,626,1051,1676,119,3,129,153,44,195,429,316,750,114,66,182,959,1027,1981,9856,9232,19088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,3,0,0,4,0,0,0,15,3,16,3,3,4,4,0,4,21,6,28,146,138,287,171,152,320,0,0,0,8,3,14,15,15,27,26,23,43,432,552,986,1423,1798,3219,149,111,260,12062,11856,23920
RA74,4,5,7,337,137,472,3,0,3,5,0,3,5,0,5,2693,1914,4608,615,680,1291,83,12,93,38,15,52,106,71,177,393,171,559,1773,2244,4015,6042,5243,11287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,5,3,7,8,4,19,22,9,25,40,16,55,115,67,185,152,85,236,0,0,0,16,12,27,6,3,15,23,16,40,277,313,588,825,876,1703,190,163,351,7511,6689,14205
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,5,5,0,0,0,8,0,8,0,0,0,0,0,0,164,11,174,47,7,54,224,16,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,5,9,5,4,13,7,0,6,249,35,282
RA80,64,44,106,4047,5038,9083,26,0,28,1038,1252,2287,277,320,600,79048,67926,146977,4186,8367,12560,971,33,1004,1603,186,1781,3488,1744,5236,738,303,1039,5140,4966,10101,100630,90172,190807,18,12,30,0,0,0,0,0,0,12,20,37,0,0,4,3,0,5,40,42,78,0,0,0,646,736,1387,251,300,554,151,456,603,164,147,308,1211,1640,2849,1360,1065,2426,2606,2748,5353,7,6,19,172,237,407,76,39,110,254,282,535,12841,14289,27129,8780,14855,23633,337,253,592,125452,122600,248054
RA81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,106,243,5,3,9,5,0,10,0,0,0,0,0,0,3,6,10,12,6,19,159,127,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,6,29,34,60,17,27,40,0,0,0,214,195,399
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,19,42,5,3,11,0,0,0,0,0,0,0,0,0,27,15,39,81,35,118,134,71,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,14,0,7,7,0,0,0,146,89,237
RA94,0,0,0,37,48,83,16,12,23,0,0,0,0,0,0,708,677,1388,39,66,105,73,10,85,55,12,67,17,12,24,13,13,21,56,71,133,1007,917,1921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,28,0,0,0,6,0,3,0,0,0,0,0,0,14,20,38,17,18,34,32,36,67,0,0,0,4,9,13,0,0,0,12,9,12,49,74,120,106,120,226,9,12,18,1218,1157,2379
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
