RA_CODE_2021,A_0_4_Indig_M,A_0_4_Indig_F,A_0_4_Indig_P,A_0_4_Non_Indig_M,A_0_4_Non_Indig_F,A_0_4_Non_Indig_P,A_0_4_Indig_status_ns_M,A_0_4_Indig_status_ns_F,A_0_4_Indig_status_ns_P,A_0_4_Tot_M,A_0_4_Tot_F,A_0_4_Tot_P,A_5_9_Indig_M,A_5_9_Indig_F,A_5_9_Indig_P,A_5_9_Non_Indig_M,A_5_9_Non_Indig_F,A_5_9_Non_Indig_P,A_5_9_Indig_status_ns_M,A_5_9_Indig_status_ns_F,A_5_9_Indig_status_ns_P,A_5_9_Tot_M,A_5_9_Tot_F,A_5_9_Tot_P,A_10_14_Indig_M,A_10_14_Indig_F,A_10_14_Indig_P,A_10_14_Non_Indig_M,A_10_14_Non_Indig_F,A_10_14_Non_Indig_P,A_10_14_Indig_status_ns_M,A_10_14_Indig_status_ns_F,A_10_14_Indig_status_ns_P,A_10_14_Tot_M,A_10_14_Tot_F,A_10_14_Tot_P,A_15_19_Indig_M,A_15_19_Indig_F,A_15_19_Indig_P,A_15_19_Non_Indig_M,A_15_19_Non_Indig_F,A_15_19_Non_Indig_P,A_15_19_Indig_status_ns_M,A_15_19_Indig_status_ns_F,A_15_19_Indig_status_ns_P,A_15_19_Tot_M,A_15_19_Tot_F,A_15_19_Tot_P,A_20_24_Indig_M,A_20_24_Indig_F,A_20_24_Indig_P,A_20_24_Non_Indig_M,A_20_24_Non_Indig_F,A_20_24_Non_Indig_P,A_20_24_Indig_status_ns_M,A_20_24_Indig_status_ns_F,A_20_24_Indig_status_ns_P,A_20_24_Tot_M,A_20_24_Tot_F,A_20_24_Tot_P,A_25_29_Indig_M,A_25_29_Indig_F,A_25_29_Indig_P,A_25_29_Non_Indig_M,A_25_29_Non_Indig_F,A_25_29_Non_Indig_P,A_25_29_Indig_status_ns_M,A_25_29_Indig_status_ns_F,A_25_29_Indig_status_ns_P,A_25_29_Tot_M,A_25_29_Tot_F,A_25_29_Tot_P,A_30_34_Indig_M,A_30_34_Indig_F,A_30_34_Indig_P,A_30_34_Non_Indig_M,A_30_34_Non_Indig_F,A_30_34_Non_Indig_P,A_30_34_Indig_status_ns_M,A_30_34_Indig_status_ns_F,A_30_34_Indig_status_ns_P,A_30_34_Tot_M,A_30_34_Tot_F,A_30_34_Tot_P,A_35_39_Indig_M,A_35_39_Indig_F,A_35_39_Indig_P,A_35_39_Non_Indig_M,A_35_39_Non_Indig_F,A_35_39_Non_Indig_P,A_35_39_Indig_status_ns_M,A_35_39_Indig_status_ns_F,A_35_39_Indig_status_ns_P,A_35_39_Tot_M,A_35_39_Tot_F,A_35_39_Tot_P,A_40_44_Indig_M,A_40_44_Indig_F,A_40_44_Indig_P,A_40_44_Non_Indig_M,A_40_44_Non_Indig_F,A_40_44_Non_Indig_P,A_40_44_Indig_status_ns_M,A_40_44_Indig_status_ns_F,A_40_44_Indig_status_ns_P,A_40_44_Tot_M,A_40_44_Tot_F,A_40_44_Tot_P,A_45_49_Indig_M,A_45_49_Indig_F,A_45_49_Indig_P,A_45_49_Non_Indig_M,A_45_49_Non_Indig_F,A_45_49_Non_Indig_P,A_45_49_Indig_status_ns_M,A_45_49_Indig_status_ns_F,A_45_49_Indig_status_ns_P,A_45_49_Tot_M,A_45_49_Tot_F,A_45_49_Tot_P,A_50_54_Indig_M,A_50_54_Indig_F,A_50_54_Indig_P,A_50_54_Non_Indig_M,A_50_54_Non_Indig_F,A_50_54_Non_Indig_P,A_50_54_Indig_status_ns_M,A_50_54_Indig_status_ns_F,A_50_54_Indig_status_ns_P,A_50_54_Tot_M,A_50_54_Tot_F,A_50_54_Tot_P,A_55_59_Indig_M,A_55_59_Indig_F,A_55_59_Indig_P,A_55_59_Non_Indig_M,A_55_59_Non_Indig_F,A_55_59_Non_Indig_P,A_55_59_Indig_status_ns_M,A_55_59_Indig_status_ns_F,A_55_59_Indig_status_ns_P,A_55_59_Tot_M,A_55_59_Tot_F,A_55_59_Tot_P,A_60_64_Indig_M,A_60_64_Indig_F,A_60_64_Indig_P,A_60_64_Non_Indig_M,A_60_64_Non_Indig_F,A_60_64_Non_Indig_P,A_60_64_Indig_status_ns_M,A_60_64_Indig_status_ns_F,A_60_64_Indig_status_ns_P,A_60_64_Tot_M,A_60_64_Tot_F,A_60_64_Tot_P,A_65_and_over_Indig_M,A_65_and_over_Indig_F,A_65_and_over_Indig_P,A_65_and_over_Non_Indig_M,A_65_and_over_Non_Indig_F,A_65_and_over_Non_Indig_P,A_65_and_over_Indig_stat_ns_M,A_65_and_over_Indig_stat_ns_F,A_65_and_over_Indig_stat_ns_P,A_65_and_over_Tot_M,A_65_and_over_Tot_F,A_65_and_over_Tot_P,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_Non_Indig_M,Tot_Non_Indig_F,Tot_Non_Indig_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
RA10,7451,7243,14688,170690,160870,331559,7164,6921,14080,185296,175032,360330,7657,7020,14674,179030,169566,348597,8357,7940,16302,195049,184521,379578,7579,7182,14764,175812,166293,342106,7797,7206,14998,191187,180680,371864,7048,6501,13550,161984,152722,314712,7091,6380,13468,176124,165599,341729,6297,6299,12594,187558,177774,365336,9799,8453,18249,203655,192534,396182,5569,5602,11169,207529,207441,414970,11630,10998,22627,224722,224044,448766,4450,4645,9093,215712,227178,442892,11216,10802,22016,231376,242621,473995,3636,4036,7667,216493,223160,439648,10458,10113,20567,230583,237306,467890,3173,3480,6651,194017,196807,390823,8864,8209,17066,206051,208493,414540,3294,3643,6932,183522,190409,373929,7800,7327,15126,194613,201375,395991,2994,3458,6451,171096,180979,352071,7042,6183,13222,181134,190611,371749,2496,2904,5398,164010,170529,334536,6615,5928,12543,173118,179363,352479,2074,2348,4415,148673,160336,309013,5555,5165,10714,156297,167847,324142,3610,4378,7989,414923,489284,904206,18700,24126,42828,437238,517789,955027,67314,68736,136053,2791052,2873358,5664410,128076,125731,253803,2986443,3067823,6054267
RA11,5925,5317,11244,35139,33574,68710,2405,2256,4660,43470,41151,84620,6133,5699,11826,39466,37491,76954,3137,2945,6082,48731,46132,94866,6021,5867,11889,42757,40596,83354,3299,3100,6399,52078,49556,101633,5217,5007,10233,39700,36864,76567,3112,2749,5861,48035,44626,92661,4338,4141,8470,33516,32315,65827,2800,2447,5253,40655,38900,79554,3634,3524,7153,35305,36030,71337,2664,2620,5282,41598,42176,83769,3092,3073,6164,37153,39670,76825,2625,2578,5207,42865,45332,88199,2673,2709,5382,37938,40411,78350,2727,2711,5433,43337,45834,89168,2226,2383,4609,36606,39258,75859,2577,2547,5124,41406,44191,85594,2331,2622,4949,41028,43842,84872,2851,2712,5561,46206,49173,95382,2226,2555,4781,43023,46526,89545,2854,2552,5405,48108,51630,99736,1988,2245,4229,46120,49366,95487,2966,2714,5679,51064,54324,105389,1790,1940,3730,49162,53346,102514,2900,2608,5509,53864,57892,111747,3144,3483,6627,161149,177664,338813,9348,10458,19804,173644,191606,365246,50734,50557,101290,678055,706954,1385007,46275,44999,91268,775057,802509,1577567
RA12,1872,1803,3679,7775,7268,15048,865,867,1728,10514,9937,20455,2081,1821,3903,8845,8356,17195,1184,1108,2297,12106,11283,23389,1987,1897,3885,9672,9101,18772,1237,1209,2443,12895,12207,25100,1588,1575,3165,8381,7923,16302,1053,937,1994,11028,10428,21457,1241,1199,2442,7282,6651,13930,962,771,1737,9489,8619,18111,1093,1190,2289,8246,7991,16245,1007,878,1886,10356,10060,20411,878,1000,1869,8344,8520,16864,995,989,1978,10213,10504,20711,791,851,1638,8173,8436,16613,998,970,1966,9961,10253,20213,722,803,1530,8241,8411,16653,1063,1005,2072,10031,10218,20250,754,886,1639,9389,9525,18906,1102,1032,2136,11250,11440,22688,887,983,1865,10596,10612,21210,1219,1057,2280,12707,12651,25359,824,887,1718,11903,12013,23914,1307,1217,2521,14033,14121,28155,745,787,1532,13480,13016,26501,1322,1120,2445,15551,14919,30472,1314,1343,2660,39493,39503,78995,3698,3595,7292,44500,44445,88942,16777,17030,33807,159818,157318,317141,18027,16750,34772,194625,191100,385720
RA13,212,224,436,537,520,1052,135,124,258,876,871,1744,247,222,472,536,482,1019,166,168,327,946,871,1814,221,219,442,467,442,911,163,132,300,855,802,1654,172,212,384,412,361,773,125,117,244,713,687,1403,128,147,279,490,380,868,121,138,256,738,658,1405,135,176,304,611,542,1155,154,134,288,893,851,1749,125,132,257,646,612,1263,184,128,311,954,876,1830,94,112,209,556,524,1077,144,144,287,792,783,1574,94,102,199,520,468,992,143,126,266,763,698,1459,105,142,243,576,538,1114,130,123,253,802,802,1606,110,135,246,693,585,1277,189,159,350,998,881,1875,129,130,260,785,665,1451,210,147,351,1125,937,2063,104,111,219,842,711,1550,165,149,313,1108,971,2080,200,188,389,2205,1924,4124,422,350,766,2816,2460,5278,2071,2263,4339,9871,8756,18627,2439,2134,4580,14383,13154,27536
RA14,103,72,175,103,87,188,34,30,65,238,192,424,120,88,205,110,92,204,37,35,77,272,211,488,91,101,195,83,68,152,28,42,67,203,211,414,100,95,194,62,47,111,25,27,54,190,170,364,75,83,152,103,102,201,32,36,78,215,220,426,47,80,125,131,124,250,45,35,84,220,241,466,59,81,139,132,149,283,36,39,82,228,273,505,56,69,125,121,100,221,26,35,67,200,208,416,35,58,98,125,108,236,32,26,65,202,194,391,66,70,138,119,114,231,26,32,62,213,212,422,77,85,162,156,136,286,43,32,77,276,251,527,61,60,119,203,175,375,47,36,87,312,270,588,57,73,126,221,150,373,42,35,83,322,257,581,102,111,204,552,441,991,115,86,198,763,638,1398,1053,1110,2167,2212,1896,4108,588,538,1128,3856,3551,7405
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,10,0,10,0,0,0,10,0,10,0,0,0,10,0,10,0,0,0,10,0,10,0,0,4,3,0,3,0,0,0,9,0,6,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,4,0,3,0,0,0,4,0,3,0,0,4,34,5,30,0,0,0,31,4,32
RA20,1816,1715,3534,145251,137332,282586,5455,5209,10664,152521,144257,296780,1700,1652,3348,152494,144506,297006,6191,5955,12140,160383,152111,312492,1663,1643,3302,145123,137503,282630,5784,5497,11281,152571,144638,297210,1626,1541,3160,136485,129791,266275,5290,4905,10192,143392,136235,279627,1795,1755,3555,163564,155578,319144,7624,6529,14149,172985,163865,336848,1744,1572,3318,187079,184061,371135,9888,8955,18843,198714,194584,393289,1384,1327,2705,191493,202324,393824,8959,8832,17792,201838,212485,414319,1108,1017,2128,189156,195389,384547,8273,8052,16331,198541,204460,403000,941,938,1878,163503,165785,329281,6946,6259,13208,171388,172984,344372,911,922,1839,151634,159265,310901,6236,5707,11947,158788,165897,324687,915,852,1766,144533,154453,298988,5696,5144,10834,151144,160446,311587,612,718,1329,130764,138203,268970,5014,4422,9442,136396,143345,279742,516,520,1043,116368,126754,243122,4111,3884,8000,120992,131162,252162,888,1013,1899,321791,390881,712677,13235,16433,29673,335918,408325,744240,17617,17183,34802,2339251,2421820,4761076,98700,95784,194487,2455570,2534793,4990362
RA21,1316,1301,2621,30173,29135,59306,1747,1623,3369,33235,32054,65292,1439,1339,2782,34561,32266,66830,2311,2129,4439,38314,35730,74047,1421,1323,2744,36351,33854,70207,2447,2220,4664,40221,37397,77616,1042,1041,2087,32867,30694,63562,2100,2009,4113,36012,33753,69764,906,928,1833,28457,27042,55498,1811,1623,3438,31183,29593,60770,850,839,1692,30202,30614,60815,1980,1956,3933,33033,33408,66446,700,735,1436,31162,33233,64394,1893,1871,3759,33758,35836,69589,594,606,1203,31434,34338,65780,2005,2145,4147,34032,37093,71123,468,542,1014,30981,33225,64206,1988,1979,3966,33439,35742,69183,511,552,1071,33694,36216,69911,2163,2088,4250,36366,38857,75229,538,587,1130,35631,38445,74071,2233,2030,4264,38403,41065,79467,495,507,999,36460,39938,76397,2190,2071,4259,39147,42510,81655,395,429,824,37860,40825,78690,2110,1955,4064,40367,43215,83582,686,781,1465,116334,128828,245164,7042,7614,14657,124060,137227,261284,11386,11520,22905,546176,568646,1114825,34019,33305,67325,591577,613476,1205051
RA22,412,430,838,5704,5625,11325,418,420,841,6533,6469,13004,468,461,925,6412,6081,12498,644,549,1197,7531,7094,14616,479,450,930,6895,6682,13575,663,615,1277,8035,7750,15783,394,381,773,6210,5762,11971,574,554,1132,7180,6699,13878,283,287,570,5567,5149,10720,560,529,1091,6412,5964,12377,210,245,457,6302,6341,12642,559,520,1077,7069,7107,14180,223,246,468,6222,6462,12680,538,535,1072,6977,7240,14217,190,215,405,6035,6406,12440,583,555,1141,6808,7176,13985,164,200,365,5873,6223,12089,565,555,1119,6604,6971,13573,166,187,350,6520,7015,13536,566,582,1145,7248,7784,15037,165,226,397,7556,7999,15555,661,573,1234,8375,8805,17185,175,204,381,8497,8773,17271,722,607,1329,9392,9588,18984,159,172,334,9545,9460,19000,703,633,1336,10405,10272,20674,258,278,533,28751,29569,58314,2159,2218,4378,31168,32061,63224,3750,3980,7737,116075,117546,233622,9908,9443,19355,129736,130978,260712
RA23,4,6,8,55,58,111,0,0,0,56,66,120,4,0,8,77,81,156,9,11,22,85,92,184,0,5,3,99,71,169,11,7,22,113,79,191,0,0,0,64,44,109,5,6,9,69,52,124,3,0,3,44,24,72,4,4,6,54,32,88,0,0,0,58,50,110,0,0,0,61,48,117,0,0,4,57,67,129,3,0,3,65,71,136,0,0,3,82,85,163,8,3,12,87,87,176,0,0,3,79,74,155,9,10,20,88,85,176,0,0,0,70,61,131,9,7,14,79,67,153,4,4,8,84,92,173,4,12,12,89,103,192,3,3,10,144,137,285,9,6,18,162,145,309,0,6,4,158,154,320,20,15,33,178,181,355,5,3,8,487,427,917,44,30,73,532,464,994,33,27,63,1566,1431,2992,131,116,248,1728,1572,3301
