RA_CODE_2021,1_74_RE_agent,1_74_StateTeHAuthority,1_74_Com_house_prov,1_74_Person_not_same_hh,1_74_Oth_type,1_74_Not_stated,1_74_Total,75_99_RE_agent,75_99_StateTeHAuthority,75_99_Com_house_prov,75_99_Person_not_same_hh,75_99_Oth_type,75_99_Not_stated,75_99_Total,100_149_RE_agent,100_149_StateTeHAuthority,100_149_Com_house_prov,100_149_Person_not_same_hh,100_149_Oth_type,100_149_Not_stated,100_149_Total,150_199_RE_agent,150_199_StateTeHAuthority,150_199_Com_house_prov,150_199_Person_not_same_hh,150_199_Oth_type,150_199_Not_stated,150_199_Total,200_224_RE_agent,200_224_StateTeHAuthority,200_224_Com_house_prov,200_224_Person_not_same_hh,200_224_Oth_type,200_224_Not_stated,200_224_Total,225_274_RE_agent,225_274_StateTeHAuthority,225_274_Com_house_prov,225_274_Person_not_same_hh,225_274_Oth_type,225_274_Not_stated,225_274_Total,275_349_RE_agent,275_349_StateTeHAuthority,275_349_Com_house_prov,275_349_Person_not_same_hh,275_349_Oth_type,275_349_Not_stated,275_349_Total,350_449_RE_agent,350_449_StateTeHAuthority,350_449_Com_house_prov,350_449_Person_not_same_hh,350_449_Oth_type,350_449_Not_stated,350_449_Total,450_549_RE_agent,450_549_StateTeHAuthority,450_549_Com_house_prov,450_549_Person_not_same_hh,450_549_Oth_type,450_549_Not_stated,450_549_Total,550_649_RE_agent,550_649_StateTeHAuthority,550_649_Com_house_prov,550_649_Person_not_same_hh,550_649_Oth_type,550_649_Not_stated,550_649_Total,650_749_RE_agent,650_749_StateTeHAuthority,650_749_Com_house_prov,650_749_Person_not_same_hh,650_749_Oth_type,650_749_Not_stated,650_749_Total,750_849_RE_agent,750_849_StateTeHAuthority,750_849_Com_house_prov,750_849_Person_not_same_hh,750_849_Oth_type,750_849_Not_stated,750_849_Total,850_949_RE_agent,850_949_StateTeHAuthority,850_949_Com_house_prov,850_949_Person_not_same_hh,850_949_Oth_type,850_949_Not_stated,850_949_Total,950oveRE_agent,950oveStateTeHAuthority,950oveCom_house_prov,950ovePerson_not_same_hh,950oveOth_type,950oveNot_stated,950oveTotal,Rent_NS_RE_agent,Rent_NS_StateTeRent_Hauth,Rent_NS_Com_house_prov,Rent_NS_Person_not_same_hh,Rent_NS_Oth_type,Rent_NS_Not_stated,Rent_NS_Total,Total_RE_agent,Total_StateTer_HAuthority,Total_Com_house_prov,Total_Person_not_same_hh,Total_Oth_type,Total_NS,Total_Total
RA10,481,2156,320,431,136,24,3539,124,4502,540,237,106,40,5545,1016,27427,2430,1817,724,200,33623,2406,13431,4871,3267,1043,185,25195,3311,5834,1881,3774,685,105,15582,10914,6531,2608,5441,2615,167,28275,42848,5232,2489,11114,2237,223,64143,137532,5195,2340,21364,3553,434,170416,138167,1809,794,17596,2505,278,161134,90053,468,271,10020,1215,144,102165,48518,160,111,5732,568,81,55168,25006,93,64,3432,328,39,28963,13678,39,28,1961,137,14,15853,25054,37,21,4290,313,53,29760,9242,4606,1087,6732,2134,1762,25569,548332,77506,19848,97203,18290,3749,764929
RA11,128,266,108,334,206,17,1055,103,507,147,183,118,12,1071,869,3005,835,1436,593,91,6832,3936,3112,2177,2548,917,135,12822,4042,1152,693,2922,627,71,9510,10560,1726,964,4353,1297,141,19038,22093,1285,709,6924,1023,115,32142,29513,635,538,6917,834,123,38562,13589,108,120,2790,331,27,16968,4698,39,14,1109,140,14,6008,1915,13,24,496,80,4,2532,711,9,13,303,64,3,1098,354,8,3,131,34,5,537,607,0,0,401,132,5,1150,1701,928,360,2041,1377,402,6814,94834,12780,6704,32882,7782,1159,156144
RA12,55,104,93,238,329,10,822,56,137,90,159,108,13,569,493,654,272,1088,356,50,2917,1662,691,430,1598,411,54,4849,1579,362,162,1498,266,36,3906,2972,364,162,1630,342,26,5490,3906,139,63,1490,259,21,5877,2963,55,27,901,241,14,4200,775,11,3,245,70,6,1110,185,3,0,85,21,0,293,59,0,0,32,38,0,134,33,0,0,34,23,0,94,12,0,0,19,13,0,46,110,0,0,129,104,3,350,311,139,89,913,1020,149,2623,15163,2665,1388,10064,3608,381,33273
RA13,8,66,18,29,157,0,278,3,21,6,15,54,0,105,35,50,37,110,110,3,347,96,93,100,165,81,10,537,60,55,38,117,43,7,313,104,52,36,118,29,3,342,86,0,5,86,27,3,209,25,0,0,23,8,0,62,3,0,5,10,5,0,20,0,0,0,6,4,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,5,9,0,17,16,18,7,93,196,11,335,429,359,251,781,728,31,2581
RA14,7,31,3,10,78,0,128,0,8,9,0,18,4,39,5,47,19,34,24,3,125,18,71,54,22,33,0,201,6,17,22,17,14,0,70,21,28,9,17,17,0,89,4,6,14,18,5,0,51,5,9,4,12,5,0,33,0,5,0,3,4,0,11,0,0,0,4,0,0,7,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,0,4,3,22,16,25,66,4,126,62,246,144,167,259,10,889
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA20,497,1637,207,538,109,22,3010,260,2228,263,393,115,16,3278,1240,13670,1152,2558,535,153,19310,2772,5565,2080,4120,771,129,15432,3516,2733,1160,3526,533,67,11532,14319,2816,1279,6347,1434,132,26324,76695,2480,1032,16433,2345,296,99283,172899,1878,634,19625,2744,350,198127,75702,429,180,9098,827,129,86355,32162,107,49,3879,243,51,36489,15939,70,23,2036,147,29,18233,8714,41,27,1271,74,14,10131,4720,32,12,635,56,8,5454,8700,25,4,1484,191,24,10433,7882,2885,584,6158,1641,1217,20375,426007,36581,8692,78095,11763,2636,563778
RA21,93,544,76,298,174,11,1199,70,638,106,224,83,16,1137,807,4293,438,1675,495,86,7796,3466,1865,682,2669,521,92,9290,3679,946,268,3010,423,49,8382,10645,1087,366,4055,818,76,17049,18713,424,290,4822,604,95,24950,17069,124,87,2939,330,54,20600,4423,38,12,879,118,3,5476,1169,8,5,231,63,3,1483,387,5,0,116,31,4,549,148,3,3,53,30,0,238,70,3,0,39,20,0,137,180,5,0,200,52,6,448,1078,810,164,1610,893,267,4817,62002,10791,2495,22834,4649,768,103539
RA22,23,137,29,168,197,17,558,25,192,42,134,84,12,481,312,904,124,769,358,41,2507,1115,482,140,1174,247,36,3186,1123,212,53,910,163,12,2480,2279,186,80,1016,185,24,3776,3024,82,55,971,171,25,4331,2020,22,18,511,99,10,2682,359,14,7,109,36,0,525,47,3,9,40,11,0,106,13,5,3,20,16,0,54,14,3,0,27,14,0,55,8,0,0,6,9,0,24,30,0,3,85,40,4,164,232,170,44,514,416,86,1467,10623,2399,611,6454,2052,267,22411
RA23,0,4,0,14,10,0,26,3,0,0,11,0,0,18,8,7,0,25,16,0,53,13,3,0,19,3,0,35,10,0,0,8,5,0,21,5,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,15,9,0,34,49,19,3,93,38,4,206
