RA_CODE_2021,M_Nat_Phy_Sci_15_24,M_Nat_Phy_Sci_25_34,M_Nat_Phy_Sci_35_44,M_Nat_Phy_Sci_45_54,M_Nat_Phy_Sci_55_64,M_Nat_Phy_Sci_65_74,M_Nat_Phy_Sci_75_84,M_Nat_Phy_Sci_85ov,M_Nat_Phy_Sci_Tot,M_IT_15_24,M_IT_25_34,M_IT_35_44,M_IT_45_54,M_IT_55_64,M_IT_65_74,M_IT_75_84,M_IT_85ov,M_IT_Tot,M_Egnr_rel_Tech_15_24_yr,M_Egnr_rel_Tech_25_34_yr,M_Egnr_rel_Tech_35_44_yr,M_Egnr_rel_Tech_45_54_yr,M_Egnr_rel_Tech_55_64_yr,M_Egnr_rel_Tech_65_74_yr,M_Egnr_rel_Tech_75_84_yr,M_Egnr_rel_Tech_85_yr_over,M_Egnr_rel_Tech_Tot,M_Arc_Bld_15_24_yr,M_Arc_Bld_25_34_yr,M_Arc_Bld_35_44_yr,M_Arc_Bld_45_54_yr,M_Arc_Bld_55_64_yr,M_Arc_Bld_65_74_yr,M_Arc_Bld_75_84_yr,M_Arc_Bld_85_yr_over,M_Arc_Bld_Tot,M_Agric_Env_Rel_Stud_15_24,M_Agric_Env_Rel_Stud_25_34,M_Agric_Env_Rel_Stud_35_44,M_Agric_Env_Rel_Stud_45_54,M_Agric_Env_Rel_Stud_55_64,M_Agric_Env_Rel_Stud_65_74,M_Agric_Env_Rel_Stud_75_84,M_Agric_Env_Rel_Stud_85_over,M_Agric_Envir_Rel_Stud_Tot,M_Hlth_15_24_yr,M_Hlth_25_34_yr,M_Hlth_35_44_yr,M_Hlth_45_54_yr,M_Hlth_55_64_yr,M_Hlth_65_74_yr,M_Hlth_75_84_yr,M_Hlth_85_yr_over,M_Hlth_Tot,M_Edu_15_24_yr,M_Edu_25_34_yr,M_Edu_35_44_yr,M_Edu_45_54_yr,M_Edu_55_64_yr,M_Edu_65_74_yr,M_Edu_75_84_yr,M_Edu_85_yr_over,M_Edu_Tot,M_Mgmt_Cmrce_15_24_yr,M_Mgmt_Cmrce_25_34_yr,M_Mgmt_Cmrce_35_44_yr,M_Mgmt_Cmrce_45_54_yr,M_Mgmt_Cmrce_55_64_yr,M_Mgmt_Cmrce_65_74_yr,M_Mgmt_Cmrce_75_84_yr,M_Mgmt_Cmrce_85_yr_over,M_Mgmt_Cmrce_Tot,M_Scty_Cul_15_24_yr,M_Scty_Cul_25_34_yr,M_Scty_Cul_35_44_yr,M_Scty_Cul_45_54_yr,M_Scty_Cul_55_64_yr,M_Scty_Cul_65_74_yr,M_Scty_Cul_75_84_yr,M_Scty_Cul_85_yr_over,M_Scty_Cul_Tot,M_Crtve_Arts_15_24_yr,M_Crtve_Arts_25_34_yr,M_Crtve_Arts_35_44_yr,M_Crtve_Arts_45_54_yr,M_Crtve_Arts_55_64_yr,M_Crtve_Arts_65_74_yr,M_Crtve_Arts_75_84_yr,M_Crtve_Arts_85_yr_over,M_Crtve_Arts_Tot,M_FoodHos_PsnlSvcs_15_24_yr,M_FoodHos_PsnlSvcs_25_34_yr,M_FoodHos_PsnlSvcs_35_44_yr,M_FoodHos_PsnlSvcs_45_54_yr,M_FoodHos_PsnlSvcs_55_64_yr,M_FoodHos_PsnlSvcs_65_74_yr,M_FoodHos_PsnlSvcs_75_84_yr,M_FoodHos_PsnlSvcs_85_over,M_FoodHos_PsnlSvcs_Tot,M_Mix_Fld_Prog_15_24_yr,M_Mix_Fld_Prog_25_34_yr,M_Mix_Fld_Prog_35_44_yr,M_Mix_Fld_Prog_45_54_yr,M_Mix_Fld_Prog_55_64_yr,M_Mix_Fld_Prog_65_74_yr,M_Mix_Fld_Prog_75_84_yr,M_Mix_Fld_Prog_85_over,M_Mix_Fld_Prog_Tot,M_Fld_stud_inad_desc_15_24,M_Fld_stud_inad_desc_25_34,M_Fld_stud_inad_desc_35_44,M_Fld_stud_inad_desc_45_54,M_Fld_stud_inad_desc_55_64,M_Fld_stud_inad_desc_65_74,M_Fld_stud_inad_desc_75_84,M_Fld_stud_inad_desc_85_over,M_Fld_stud_inad_desc_Tot,M_Fld_stud_ns_15_24_yr,M_Fld_stud_ns_25_34_yr,M_Fld_stud_ns_35_44_yr,M_Fld_stud_ns_45_54_yr,M_Fld_stud_ns_55_64_yr,M_Fld_stud_ns_65_74_yr,M_Fld_stud_ns_75_84_yr,M_Fld_stud_ns_85_yr_over,M_Fld_stud_ns_Tot,M_Tot_15_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Nat_Phy_Sci_15_24_yr,F_Nat_Phy_Sci_25_34_yr,F_Nat_Phy_Sci_35_44_yr,F_Nat_Phy_Sci_45_54_yr,F_Nat_Phy_Sci_55_64_yr,F_Nat_Phy_Sci_65_74_yr,F_Nat_Phy_Sci_75_84_yr,F_Nat_Phy_Sci_85_yr_over,F_Nat_Phy_Sci_Tot,F_IT_15_24_yr,F_IT_25_34_yr,F_IT_35_44_yr,F_IT_45_54_yr,F_IT_55_64_yr,F_IT_65_74_yr,F_IT_75_84_yr,F_IT_85_yr_over,F_IT_Tot,F_Egnr_rel_Tech_15_24_yr,F_Egnr_rel_Tech_25_34_yr,F_Egnr_rel_Tech_35_44_yr,F_Egnr_rel_Tech_45_54_yr,F_Egnr_rel_Tech_55_64_yr,F_Egnr_rel_Tech_65_74_yr,F_Egnr_rel_Tech_75_84_yr,F_Egnr_rel_Tech_85_yr_over,F_Egnr_rel_Tech_Tot,F_Arc_Bld_15_24_yr,F_Arc_Bld_25_34_yr,F_Arc_Bld_35_44_yr,F_Arc_Bld_45_54_yr,F_Arc_Bld_55_64_yr,F_Arc_Bld_65_74_yr,F_Arc_Bld_75_84_yr,F_Arc_Bld_85_yr_over,F_Arc_Bld_Tot,F_Agric_Env_Rel_Stud_15_24,F_Agric_Env_Rel_Stud_25_34,F_Agric_Env_Rel_Stud_35_44,F_Agric_Env_Rel_Stud_45_54,F_Agric_Env_Rel_Stud_55_64,F_Agric_Env_Rel_Stud_65_74,F_Agric_Env_Rel_Stud_75_84,F_Agric_Env_Rel_Stud_85_over,F_Agric_Envir_Rel_Stud_Tot,F_Hlth_15_24_yr,F_Hlth_25_34_yr,F_Hlth_35_44_yr,F_Hlth_45_54_yr,F_Hlth_55_64_yr,F_Hlth_65_74_yr,F_Hlth_75_84_yr,F_Hlth_85_yr_over,F_Hlth_Tot,F_Edu_15_24_yr,F_Edu_25_34_yr,F_Edu_35_44_yr,F_Edu_45_54_yr,F_Edu_55_64_yr,F_Edu_65_74_yr,F_Edu_75_84_yr,F_Edu_85_yr_over,F_Edu_Tot,F_Mgmt_Cmrce_15_24_yr,F_Mgmt_Cmrce_25_34_yr
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,22,31,26,0,0,0,93,0,0,3,0,0,0,0,0,6,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,19,90,121,100,13,0,0,338,7,26,124,161,129,17,0,0,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA30,2122,4831,4774,4380,3400,2957,1420,316,24203,3643,10526,13675,8216,3866,1484,276,20,41709,12498,37345,38977,37211,35888,28591,15423,3994,209929,6636,19057,18505,16653,13314,9763,5033,1341,90306,1158,2852,3567,3723,2830,1684,899,206,16919,3051,11586,10299,9048,6698,4196,2026,578,47484,839,4241,5190,5533,5350,5094,2591,529,29378,12582,29649,34306,29892,20623,13741,5665,1172,147631,8206,15875,14282,13070,9201,7081,2964,603,71283,4835,8674,6197,3834,2261,1474,587,177,28036,4550,8331,7666,6088,3668,2110,1006,199,33615,601,293,154,121,95,93,55,19,1443,1083,2235,2886,2746,1966,1300,678,222,13116,13641,18629,16090,13560,10383,9150,7663,4237,93361,75454,174130,176581,154072,119543,88724,46294,13607,848409,2736,5863,6048,4287,2719,1680,552,129,24010,812,3240,3775,2448,1411,608,116,5,12416,1584,4852,4573,3105,2240,1278,721,345,18694,1015,3308,2712,1841,948,452,134,33,10445,800,1909,1953,1419,917,416,124,32,7563,12451,35658,30457,25763,21709,13638,6217,1947,147836,4077,16692,21735,22230,17591,14241,5999,1335,103900,17463,46834
RA31,189,484,584,709,732,740,334,66,3834,506,1104,1192,805,653,403,78,3,4751,4476,12002,12518,13086,14451,13160,6157,1267,77122,1688,4395,4382,4576,5079,4452,1984,394,26948,667,1191,1582,1967,1767,1140,550,114,8992,480,1910,2006,2060,1967,1485,563,121,10590,174,898,1438,1793,2003,2050,936,153,9455,1747,3345,4082,4568,4223,3351,1158,208,22678,1486,2325,2296,2514,2317,1960,732,135,13773,438,723,621,558,454,476,191,40,3502,1144,1874,1825,1532,1305,976,380,64,9095,155,66,32,27,31,42,17,6,372,314,554,698,823,782,542,264,62,4040,4992,5276,5256,5681,5454,5254,4014,1618,37539,18457,36157,38507,40716,41197,36032,17358,4263,232698,254,651,910,869,672,432,168,33,3993,119,324,335,351,299,192,44,3,1663,395,941,849,812,698,429,225,79,4414,136,317,302,284,195,88,36,5,1362,576,811,942,803,638,269,72,12,4119,2724,7550,6867,7031,7660,5552,2365,625,40375,1108,4204,6412,6656,6173,4968,1935,383,31834,3764,8716
RA32,143,646,648,691,623,611,246,14,3622,339,814,753,503,374,215,34,5,3040,3434,9708,9865,10122,10480,8370,3464,636,56083,944,3113,3015,3285,3436,2883,1228,227,18125,434,912,1237,1361,1231,722,289,49,6234,407,1711,1535,1556,1383,872,299,71,7831,195,828,1014,1127,1232,1290,464,69,6233,963,2535,3045,3165,2902,2144,685,91,15532,928,2111,1808,1912,1586,1192,441,54,10048,263,547,460,374,366,301,93,13,2419,838,1564,1568,1429,1070,674,215,31,7388,103,46,18,16,17,25,13,0,239,207,450,549,578,543,339,137,33,2841,5939,7735,7134,7205,6839,5386,2986,944,44171,15141,32723,32657,33325,32088,25027,10599,2244,183801,242,926,873,707,528,333,99,17,3728,67,205,253,219,190,93,26,0,1055,346,822,696,594,445,237,138,46,3327,64,284,242,187,126,64,17,3,990,342,656,777,545,420,152,35,4,2925,1992,6051,5021,4865,4886,3315,1238,265,27635,934,3425,4393,4552,3965,3144,1056,192,21660,2400,6728
RA33,18,72,49,60,61,50,20,0,323,24,62,45,24,28,22,4,0,199,466,1639,1480,1364,1491,948,289,31,7714,108,392,319,306,343,316,105,9,1889,108,187,247,274,195,119,26,0,1161,37,146,110,131,140,102,24,3,683,22,66,86,95,139,131,23,3,571,81,252,260,221,297,205,34,0,1348,59,157,116,122,122,99,32,4,711,21,45,30,18,37,27,10,0,188,81,210,182,165,125,65,14,3,848,8,7,3,4,4,0,4,0,30,10,31,43,63,49,40,14,0,262,917,1646,1580,1870,1666,1030,372,88,9172,1953,4903,4554,4732,4687,3155,967,149,25105,18,77,59,51,56,29,6,0,304,7,18,16,13,14,10,0,0,84,65,152,99,68,62,26,5,3,485,8,27,26,16,12,7,0,0,105,80,157,130,87,44,17,4,0,519,186,564,459,411,547,352,87,16,2625,160,497,437,393,397,329,83,14,2309,266,739
RA34,7,42,39,29,36,64,14,0,239,5,19,26,24,33,14,0,0,136,334,1012,836,804,923,800,189,15,4903,141,398,326,308,281,273,72,10,1807,132,171,170,179,181,123,36,7,996,32,98,103,126,128,83,11,0,577,13,97,85,86,92,121,22,0,520,62,165,156,185,252,247,40,0,1108,46,123,102,115,123,87,21,3,628,15,33,28,25,14,14,4,5,136,43,117,97,92,81,62,16,0,507,7,3,0,0,3,0,0,0,17,15,26,25,27,33,25,0,0,155,744,1146,995,1110,1096,816,314,62,6283,1587,3455,2987,3118,3281,2732,747,102,18008,20,48,43,38,43,23,6,0,222,3,11,7,9,22,7,0,0,70,39,70,49,37,43,15,0,0,262,8,18,10,10,11,3,5,0,56,132,132,91,75,57,14,3,0,502,127,390,308,363,528,334,83,13,2143,152,449,358,321,393,300,70,8,2058,229,546
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,14,3,4,0,0,43,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,45,76,48,16,6,0,0,198,9,58,95,64,26,12,0,0,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA40,742,2184,2299,2188,1787,1715,852,195,11962,1569,4644,5337,2681,1523,708,108,8,16582,4415,15193,14608,15009,14866,12582,6809,2198,85680,2500,6779,4910,4462,3886,3013,1817,606,27980,506,1461,1498,1455,1183,729,289,89,7220,1251,4647,4142,3503,3004,2113,987,295,19935,401,2334,2109,2017,2340,3084,1400,251,13941,3301,11812,13582,11169,8441,5867,2434,658,57271,2468,6460,6147,5227,4423,3665,1528,337,30258,1635,3063,2519,1529,1069,734,289,68,10918,1313,3391,2829,2046,1475,849,378,99,12382,96,79,49,40,42,31,10,7,356,358,1033,1179,1070,786,606,330,119,5492,3840,5270,4905,4370,3772,3209,2784,1729,29876,24405,68354,66121,56767,48603,38908,20020,6662,329845,958,2599,2717,1854,1273,860,295,85,10649,351,1814,1627,875,507,248,57,7,5484,518,1864,1647,1175,867,566,434,250,7312,364,1302,912,672,385,224,63,11,3934,459,923,820,632,432,170,47,10,3496,4503,15388,12707,10571,10231,6956,2880,1085,64323,1625,7298,7319,6717,6510,6670,2957,727,39821,4424,16537
RA41,43,121,203,242,207,268,117,8,1202,70,135,187,132,131,85,20,0,753,566,1613,1819,2225,2578,2400,1245,287,12728,277,672,602,652,713,570,317,73,3873,187,372,496,575,542,361,133,23,2684,63,178,228,269,377,323,120,37,1596,27,167,215,236,329,595,256,38,1868,114,453,682,904,925,885,371,57,4389,185,328,397,469,538,541,244,36,2740,114,152,141,130,130,115,31,14,821,134,302,332,321,253,202,56,11,1612,8,0,5,6,7,0,6,0,35,34,89,104,129,109,115,55,22,655,683,582,668,823,859,843,674,305,5443,2502,5157,6089,7107,7704,7295,3636,910,40396,66,138,196,209,140,123,40,9,930,14,32,51,46,46,53,3,0,250,58,102,120,155,122,74,64,29,721,24,62,65,55,39,36,13,5,302,152,210,291,242,190,97,19,3,1203,377,1050,1159,1391,1856,1453,540,162,7992,155,710,848,892,991,1232,487,94,5409,301,1080
RA42,16,82,104,95,130,156,47,9,636,59,176,138,101,74,45,8,0,597,824,2316,2113,2498,2825,2418,1072,236,14297,318,835,554,545,660,563,278,50,3795,257,538,672,742,561,400,127,31,3323,66,265,234,298,335,268,74,20,1560,37,298,230,246,290,388,133,15,1650,195,574,677,742,719,581,200,39,3723,151,418,389,374,386,344,94,13,2177,61,91,72,60,66,68,20,9,448,171,355,346,299,260,156,69,22,1671,0,7,13,8,6,5,11,5,60,34,93,102,107,131,94,33,14,612,1064,1156,1147,1317,1494,1361,991,364,8897,3255,7206,6788,7422,7938,6838,3155,834,43443,29,103,131,99,106,58,14,6,534,8,54,46,40,26,19,3,0,206,32,103,100,133,97,60,41,26,593,12,40,37,45,30,11,0,0,170,135,241,254,218,154,62,4,0,1075,428,1340,1170,1207,1777,1205,448,133,7702,326,1042,1064,977,843,872,423,80,5629,439,1432
RA43,7,24,46,15,30,36,20,0,175,14,25,27,11,22,7,0,0,106,200,796,747,714,719,496,198,39,3912,74,321,213,174,200,142,66,16,1205,72,178,209,206,152,96,28,12,954,15,77,62,82,79,46,22,5,390,12,73,59,60,64,91,43,6,417,42,144,171,189,175,134,40,4,904,35,98,85,71,114,82,30,5,524,7,31,20,22,19,13,5,0,132,42,100,90,91,74,27,13,0,444,0,3,0,0,0,0,0,0,9,7,27,38,30,40,24,5,0,179,268,529,494,509,488,334,208,81,2911,791,2437,2265,2181,2190,1537,677,167,12243,11,48,43,33,23,17,3,0,176,0,14,8,14,10,8,0,0,55,14,78,45,33,22,13,3,3,216,8,16,15,13,11,9,0,0,65,39,64,90,45,41,24,0,0,304,100,327,270,306,429,285,97,28,1838,69,271,277,234,220,247,105,30,1448,90,365
RA44,0,12,15,12,19,13,7,0,77,0,14,3,7,7,5,0,0,35,62,289,258,269,284,231,45,7,1447,18,70,53,70,83,44,23,0,359,27,38,55,40,34,30,7,0,223,6,23,32,27,43,28,8,0,167,0,40,35,30,33,42,6,0,192,11,44,56,52,74,68,8,0,309,14,33,34,26,50,35,7,0,206,5,12,14,13,17,11,5,0,70,12,24,39,35,35,17,0,0,166,0,7,0,0,0,0,0,0,8,5,8,10,16,10,9,4,0,63,199,320,298,345,338,196,109,30,1832,360,926,899,936,1022,735,224,47,5143,0,11,9,15,8,9,4,0,51,4,7,6,4,8,0,0,0,24,3,25,8,10,8,5,0,0,56,0,4,3,0,0,0,0,0,6,19,19,18,24,10,11,0,0,103,30,108,64,69,138,87,30,4,533,27,108,86,94,100,92,25,3,531,14,92
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,8,0,0,12,7,5,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA50,1603,3780,4015,3757,3164,2446,1115,219,20102,2284,5480,7772,4258,2146,799,155,11,22915,8810,30664,32712,28757,26535,20483,9561,2517,160033,3295,10259,9214,7847,6856,5216,2691,834,46212,638,1724,2129,1953,1568,1048,559,154,9773,1709,6303,5927,5002,3770,2405,1207,348,26674,677,2731,2874,2944,3328,3008,1469,381,17419,6383,15520,19946,16589,11992,8114,3466,754,82764,4050,8010,7623,6725,5171,4053,1661,359,37646,2938,4157,3349,1954,1263,971,341,84,15055,1947,4673,4720,3248,2308,1279,609,118,18906,326,155,78,67,68,58,39,12,809,575,1555,1793,1662,1204,774,444,136,8137,6774,9849,9296,7662,6003,5009,4327,2694,51611,42015,104867,111451,92424,75384,55661,27636,8622,518061,2202,5036,5107,3595,2251,1170,383,107,19843,426,2115,2526,1366,856,316,66,7,7679,1075,4089,3980,2322,1464,884,448,280,14542,486,1998,1624,1038,636,281,68,22,6166,602,1568,1692,1082,643,275,67,29,5958,7056,22487,19229,15102,12955,8500,4064,1336,90719,3525,11638,13545,13838,11747,8519,3657,990,67459,8391,26270
RA51,56,142,241,249,216,241,96,10,1255,186,239,264,167,113,74,15,0,1063,1155,2832,3323,3606,3582,2805,1169,233,18697,400,1087,1057,1004,1080,821,374,90,5905,157,282,456,489,431,329,155,40,2345,75,284,411,448,452,297,132,33,2134,61,176,304,404,480,483,197,34,2133,336,591,824,954,885,740,303,48,4687,255,363,417,418,405,376,152,37,2417,149,165,169,142,120,117,46,7,906,186,391,463,428,331,196,73,8,2086,33,19,3,3,12,10,4,0,87,52,98,156,180,162,113,44,11,820,1171,1453,1371,1433,1260,1095,748,333,8859,4280,8129,9450,9921,9533,7692,3498,882,53388,61,225,337,303,199,115,32,5,1278,13,47,85,71,68,37,12,0,346,104,247,270,204,130,84,49,23,1105,24,106,114,110,56,24,10,0,449,151,227,363,301,193,73,24,0,1331,585,1471,1732,1613,1797,1265,564,167,9196,348,993,1629,1776,1544,1152,421,95,7960,773,1909
RA52,68,154,189,196,155,158,59,15,988,101,170,144,102,82,44,12,0,650,952,2748,2574,2614,2707,1983,781,181,14540,303,818,651,606,685,580,254,66,3965,268,389,515,583,553,413,160,42,2930,76,265,291,338,316,222,89,23,1614,29,166,236,330,370,357,99,22,1615,261,419,602,637,660,460,161,40,3240,161,301,328,326,360,301,105,20,1900,79,127,116,78,84,79,33,3,602,116,293,292,279,251,127,78,8,1446,30,17,4,0,9,3,0,4,72,39,75,104,107,115,84,40,5,578,1196,1449,1517,1582,1561,1345,808,306,9761,3663,7384,7568,7789,7905,6161,2680,738,43893,78,206,258,192,133,82,16,0,961,18,46,64,55,44,30,9,0,274,75,195,153,112,101,54,41,21,755,11,54,74,59,42,25,0,0,263,168,298,331,270,210,90,15,5,1391,538,1342,1198,1229,1367,1019,479,148,7316,270,874,1194,1318,1233,864,341,79,6174,627,1390
RA53,18,89,101,82,66,58,21,0,432,35,68,97,38,26,25,4,0,296,560,2254,2372,1884,1517,936,270,37,9830,124,569,519,398,379,260,75,10,2335,94,181,307,271,226,140,67,12,1296,24,157,175,170,176,94,38,7,845,14,113,172,166,153,131,49,3,801,107,390,547,457,362,281,80,9,2228,66,186,215,179,171,114,46,5,974,35,88,58,38,25,25,3,0,272,52,149,184,154,123,51,15,0,738,9,3,5,4,0,0,4,0,25,31,70,112,90,88,46,11,3,449,967,1805,1978,1882,1652,882,372,78,9621,2138,6123,6840,5813,4968,3048,1047,162,30140,35,131,142,89,44,20,11,0,470,3,35,43,19,14,11,0,0,125,58,230,152,76,45,22,8,6,604,9,42,26,31,20,11,0,0,148,60,131,151,109,74,21,4,0,541,196,829,684,493,604,376,134,30,3352,136,657,741,599,545,446,108,17,3250,317,1098
RA54,55,331,231,200,131,101,20,0,1065,22,78,89,58,42,34,3,0,314,621,3396,3120,2642,2176,1269,278,25,13525,158,682,629,448,451,374,89,3,2844,65,206,215,217,194,140,39,0,1082,40,235,210,282,282,149,30,3,1234,31,118,152,192,227,241,41,3,995,111,368,523,530,481,322,74,3,2410,93,279,226,194,184,129,31,3,1146,24,108,78,63,41,42,11,0,359,75,224,295,252,153,63,16,3,1078,10,11,5,4,4,0,0,0,33,18,90,131,124,91,33,14,0,509,1536,4561,4513,4293,3067,1142,297,37,19449,2866,10671,10420,9490,7533,4044,927,83,46033,67,242,141,76,70,43,3,0,647,3,31,25,14,34,15,0,0,122,85,284,147,87,52,32,4,0,694,12,52,27,22,18,11,0,0,145,49,147,121,79,56,22,0,0,480,155,659,419,381,642,475,85,4,2830,105,486,428,434,554,428,71,4,2505,248,745
RA55,0,8,10,12,4,0,0,0,40,0,0,4,0,0,0,0,0,11,27,126,271,262,140,20,6,0,849,0,13,27,15,10,4,0,0,74,0,8,7,6,0,4,0,0,24,0,5,13,13,7,0,0,0,38,0,5,0,4,3,0,0,0,17,0,8,17,18,8,7,0,0,64,0,8,6,11,0,3,0,0,30,0,0,0,3,5,0,0,0,10,3,12,19,20,11,0,0,0,67,0,0,3,0,0,0,0,0,0,0,4,7,7,6,0,0,0,39,37,196,422,380,194,44,0,0,1283,75,396,816,754,397,86,7,0,2532,4,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,16,5,5,3,0,0,0,34,0,0,0,0,0,0,0,0,3,0,3,5,0,0,0,0,0,10,4,5,0,7,3,3,0,0,21,0,0,3,6,11,9,0,0,25,4,3
RA61,163,637,628,654,565,471,235,66,3419,418,1938,1212,569,359,156,33,0,4681,862,3681,2962,3139,3401,2749,1638,489,18932,687,2085,1599,1515,1470,957,600,163,9085,152,475,545,563,474,310,127,38,2679,206,1129,860,824,756,549,237,70,4629,65,510,657,614,674,791,343,94,3750,752,5022,2895,2190,1805,1290,582,138,14669,434,1598,1339,1333,1149,992,360,75,7268,262,695,572,458,313,261,112,32,2710,365,1010,840,629,451,263,95,16,3666,30,39,15,3,8,10,4,0,119,90,299,285,265,198,166,87,18,1405,1238,1771,1345,1215,1161,1106,952,440,9233,5720,20896,15740,13970,12796,10075,5399,1649,86246,267,760,679,534,341,243,65,14,2904,94,683,261,154,101,72,14,0,1374,102,423,332,258,210,139,76,47,1581,61,290,211,137,102,41,9,0,851,108,299,255,260,174,80,24,9,1211,1102,3655,2780,2429,2527,1933,910,299,15637,293,1587,2031,2018,2090,1913,962,295,11190,1236,6190
RA62,22,126,151,183,213,219,114,18,1049,93,303,262,161,169,103,19,0,1103,590,1980,1983,2332,2881,2390,1081,214,13454,426,1084,750,895,1118,839,365,74,5553,207,474,585,589,525,329,129,30,2867,48,257,303,342,426,348,123,30,1880,26,166,252,282,417,508,224,30,1910,179,840,695,805,836,695,219,39,4306,157,377,412,473,508,517,159,29,2640,63,153,173,120,171,169,66,3,918,157,361,342,357,349,208,72,16,1868,4,14,0,6,4,10,5,0,44,35,86,109,156,126,111,51,16,692,911,917,835,1073,1224,1279,924,351,7517,2922,7137,6860,7774,8984,7728,3552,848,45803,30,160,189,169,194,90,25,11,869,4,74,48,65,63,44,11,0,310,41,123,121,163,164,94,46,30,780,25,67,60,52,57,21,7,0,284,92,268,262,253,204,80,22,3,1187,388,1186,1095,1221,1661,1232,498,133,7423,177,746,1067,1036,1162,1100,563,146,5998,500,1685
RA63,5,13,8,16,21,15,3,3,80,8,6,16,7,7,3,0,0,48,22,116,107,156,180,153,50,17,797,3,34,21,50,68,47,26,5,242,11,26,37,25,19,19,6,3,145,4,17,7,18,30,18,9,0,100,0,7,14,3,17,20,8,0,69,15,97,52,27,39,31,14,4,272,0,17,15,18,33,37,4,0,124,0,13,6,5,3,10,0,0,45,6,28,27,28,32,14,3,3,142,0,0,0,0,0,0,0,0,0,0,6,9,0,7,6,0,0,30,71,80,77,81,113,86,45,10,563,144,453,393,436,558,460,163,42,2652,0,11,6,11,8,5,0,0,38,0,6,4,7,5,0,0,0,20,0,14,11,13,8,6,3,0,52,0,4,0,4,0,3,0,0,14,4,9,11,16,10,5,0,0,53,3,50,34,31,72,60,18,4,273,7,45,38,29,43,53,15,4,233,17,108
RA64,0,0,3,0,4,0,0,0,11,0,0,0,0,0,0,0,0,7,4,27,32,29,35,35,20,8,197,0,18,11,6,18,15,6,3,80,3,9,12,16,10,4,3,0,60,0,3,4,7,8,5,0,0,28,0,4,0,3,3,3,3,0,16,0,9,9,12,6,9,0,0,48,0,4,4,7,0,9,4,0,28,0,4,3,6,4,5,0,0,19,5,4,3,8,9,7,0,0,28,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,9,7,15,18,18,11,31,17,4,133,25,101,99,117,112,134,61,12,658,0,3,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,0,13,0,0,0,5,0,0,0,0,0,0,12,5,8,0,4,0,0,26,0,14,14,17,19,19,8,0,95,5,16,15,15,18,19,16,3,97,0,19
