RA_CODE_2021,M_Nat_Phy_Sci_15_24,M_Nat_Phy_Sci_25_34,M_Nat_Phy_Sci_35_44,M_Nat_Phy_Sci_45_54,M_Nat_Phy_Sci_55_64,M_Nat_Phy_Sci_65_74,M_Nat_Phy_Sci_75_84,M_Nat_Phy_Sci_85ov,M_Nat_Phy_Sci_Tot,M_IT_15_24,M_IT_25_34,M_IT_35_44,M_IT_45_54,M_IT_55_64,M_IT_65_74,M_IT_75_84,M_IT_85ov,M_IT_Tot,M_Egnr_rel_Tech_15_24_yr,M_Egnr_rel_Tech_25_34_yr,M_Egnr_rel_Tech_35_44_yr,M_Egnr_rel_Tech_45_54_yr,M_Egnr_rel_Tech_55_64_yr,M_Egnr_rel_Tech_65_74_yr,M_Egnr_rel_Tech_75_84_yr,M_Egnr_rel_Tech_85_yr_over,M_Egnr_rel_Tech_Tot,M_Arc_Bld_15_24_yr,M_Arc_Bld_25_34_yr,M_Arc_Bld_35_44_yr,M_Arc_Bld_45_54_yr,M_Arc_Bld_55_64_yr,M_Arc_Bld_65_74_yr,M_Arc_Bld_75_84_yr,M_Arc_Bld_85_yr_over,M_Arc_Bld_Tot,M_Agric_Env_Rel_Stud_15_24,M_Agric_Env_Rel_Stud_25_34,M_Agric_Env_Rel_Stud_35_44,M_Agric_Env_Rel_Stud_45_54,M_Agric_Env_Rel_Stud_55_64,M_Agric_Env_Rel_Stud_65_74,M_Agric_Env_Rel_Stud_75_84,M_Agric_Env_Rel_Stud_85_over,M_Agric_Envir_Rel_Stud_Tot,M_Hlth_15_24_yr,M_Hlth_25_34_yr,M_Hlth_35_44_yr,M_Hlth_45_54_yr,M_Hlth_55_64_yr,M_Hlth_65_74_yr,M_Hlth_75_84_yr,M_Hlth_85_yr_over,M_Hlth_Tot,M_Edu_15_24_yr,M_Edu_25_34_yr,M_Edu_35_44_yr,M_Edu_45_54_yr,M_Edu_55_64_yr,M_Edu_65_74_yr,M_Edu_75_84_yr,M_Edu_85_yr_over,M_Edu_Tot,M_Mgmt_Cmrce_15_24_yr,M_Mgmt_Cmrce_25_34_yr,M_Mgmt_Cmrce_35_44_yr,M_Mgmt_Cmrce_45_54_yr,M_Mgmt_Cmrce_55_64_yr,M_Mgmt_Cmrce_65_74_yr,M_Mgmt_Cmrce_75_84_yr,M_Mgmt_Cmrce_85_yr_over,M_Mgmt_Cmrce_Tot,M_Scty_Cul_15_24_yr,M_Scty_Cul_25_34_yr,M_Scty_Cul_35_44_yr,M_Scty_Cul_45_54_yr,M_Scty_Cul_55_64_yr,M_Scty_Cul_65_74_yr,M_Scty_Cul_75_84_yr,M_Scty_Cul_85_yr_over,M_Scty_Cul_Tot,M_Crtve_Arts_15_24_yr,M_Crtve_Arts_25_34_yr,M_Crtve_Arts_35_44_yr,M_Crtve_Arts_45_54_yr,M_Crtve_Arts_55_64_yr,M_Crtve_Arts_65_74_yr,M_Crtve_Arts_75_84_yr,M_Crtve_Arts_85_yr_over,M_Crtve_Arts_Tot,M_FoodHos_PsnlSvcs_15_24_yr,M_FoodHos_PsnlSvcs_25_34_yr,M_FoodHos_PsnlSvcs_35_44_yr,M_FoodHos_PsnlSvcs_45_54_yr,M_FoodHos_PsnlSvcs_55_64_yr,M_FoodHos_PsnlSvcs_65_74_yr,M_FoodHos_PsnlSvcs_75_84_yr,M_FoodHos_PsnlSvcs_85_over,M_FoodHos_PsnlSvcs_Tot,M_Mix_Fld_Prog_15_24_yr,M_Mix_Fld_Prog_25_34_yr,M_Mix_Fld_Prog_35_44_yr,M_Mix_Fld_Prog_45_54_yr,M_Mix_Fld_Prog_55_64_yr,M_Mix_Fld_Prog_65_74_yr,M_Mix_Fld_Prog_75_84_yr,M_Mix_Fld_Prog_85_over,M_Mix_Fld_Prog_Tot,M_Fld_stud_inad_desc_15_24,M_Fld_stud_inad_desc_25_34,M_Fld_stud_inad_desc_35_44,M_Fld_stud_inad_desc_45_54,M_Fld_stud_inad_desc_55_64,M_Fld_stud_inad_desc_65_74,M_Fld_stud_inad_desc_75_84,M_Fld_stud_inad_desc_85_over,M_Fld_stud_inad_desc_Tot,M_Fld_stud_ns_15_24_yr,M_Fld_stud_ns_25_34_yr,M_Fld_stud_ns_35_44_yr,M_Fld_stud_ns_45_54_yr,M_Fld_stud_ns_55_64_yr,M_Fld_stud_ns_65_74_yr,M_Fld_stud_ns_75_84_yr,M_Fld_stud_ns_85_yr_over,M_Fld_stud_ns_Tot,M_Tot_15_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Nat_Phy_Sci_15_24_yr,F_Nat_Phy_Sci_25_34_yr,F_Nat_Phy_Sci_35_44_yr,F_Nat_Phy_Sci_45_54_yr,F_Nat_Phy_Sci_55_64_yr,F_Nat_Phy_Sci_65_74_yr,F_Nat_Phy_Sci_75_84_yr,F_Nat_Phy_Sci_85_yr_over,F_Nat_Phy_Sci_Tot,F_IT_15_24_yr,F_IT_25_34_yr,F_IT_35_44_yr,F_IT_45_54_yr,F_IT_55_64_yr,F_IT_65_74_yr,F_IT_75_84_yr,F_IT_85_yr_over,F_IT_Tot,F_Egnr_rel_Tech_15_24_yr,F_Egnr_rel_Tech_25_34_yr,F_Egnr_rel_Tech_35_44_yr,F_Egnr_rel_Tech_45_54_yr,F_Egnr_rel_Tech_55_64_yr,F_Egnr_rel_Tech_65_74_yr,F_Egnr_rel_Tech_75_84_yr,F_Egnr_rel_Tech_85_yr_over,F_Egnr_rel_Tech_Tot,F_Arc_Bld_15_24_yr,F_Arc_Bld_25_34_yr,F_Arc_Bld_35_44_yr,F_Arc_Bld_45_54_yr,F_Arc_Bld_55_64_yr,F_Arc_Bld_65_74_yr,F_Arc_Bld_75_84_yr,F_Arc_Bld_85_yr_over,F_Arc_Bld_Tot,F_Agric_Env_Rel_Stud_15_24,F_Agric_Env_Rel_Stud_25_34,F_Agric_Env_Rel_Stud_35_44,F_Agric_Env_Rel_Stud_45_54,F_Agric_Env_Rel_Stud_55_64,F_Agric_Env_Rel_Stud_65_74,F_Agric_Env_Rel_Stud_75_84,F_Agric_Env_Rel_Stud_85_over,F_Agric_Envir_Rel_Stud_Tot,F_Hlth_15_24_yr,F_Hlth_25_34_yr,F_Hlth_35_44_yr,F_Hlth_45_54_yr,F_Hlth_55_64_yr,F_Hlth_65_74_yr,F_Hlth_75_84_yr,F_Hlth_85_yr_over,F_Hlth_Tot,F_Edu_15_24_yr,F_Edu_25_34_yr,F_Edu_35_44_yr,F_Edu_45_54_yr,F_Edu_55_64_yr,F_Edu_65_74_yr,F_Edu_75_84_yr,F_Edu_85_yr_over,F_Edu_Tot,F_Mgmt_Cmrce_15_24_yr,F_Mgmt_Cmrce_25_34_yr
RA10,3495,10944,9179,9058,8197,6428,3324,781,51413,10579,30451,41798,19492,9119,3147,522,41,115138,14590,65618,65499,63235,66778,49453,26931,8087,360198,12892,31781,27971,26052,19962,13023,7202,2283,141163,1492,4872,4955,4955,4065,2333,1094,314,24078,4280,19462,15412,12684,10603,7254,3773,1312,74779,1252,8955,8119,7939,8581,8957,3984,1104,48892,17940,77906,83927,62173,43469,27942,11298,2714,327369,8422,31062,27623,25231,19639,14482,6101,1503,134060,6625,17939,14301,8675,5395,3146,1204,305,57597,4772,12767,12871,8909,5625,3235,1674,347,50199,552,487,286,224,260,259,167,130,2367,1447,4457,5179,4772,3729,2405,1231,426,23639,23881,37688,32451,24888,20494,16569,14156,8902,179036,112216,354391,349574,278284,225911,158632,82653,28249,1589913,4773,12930,12455,9690,7355,4405,1736,437,53780,2513,10914,14275,7062,3987,1514,307,23,40586,1854,11262,10009,6340,6007,3395,2157,1088,42114,2036,6413,5131,3413,2039,932,333,86,20374,1125,2906,2724,2074,1522,792,292,59,11488,15902,56606,44041,36488,32412,21757,9769,3452,220425,8080,36045,33726,31231,27529,24588,10636,3028,174869,24444,104323
RA11,285,981,1177,1459,1579,1893,872,187,8431,721,1854,2115,1476,1229,813,175,18,8398,4945,15724,15448,17926,21307,19433,10281,2477,107551,3794,8395,8122,8248,8946,7166,3224,903,48795,969,2702,3257,3678,3533,2648,1251,314,18348,699,3162,3214,3294,3445,2696,1145,303,17963,277,1874,2488,2942,3583,4882,1821,428,18292,1703,6049,7577,8209,8225,7219,3202,634,42812,1240,4003,4635,5268,4880,4451,1782,396,26652,783,1746,1748,1476,1239,1160,443,96,8691,1288,3263,3252,2919,2266,1562,728,148,15425,139,116,65,42,43,52,23,10,487,332,757,910,1077,1109,949,427,142,5698,8639,9640,9176,9171,8768,8437,6572,3068,63463,25806,60260,63177,67180,70165,63349,31938,9132,391012,362,1303,1495,1553,1440,1093,394,84,7725,89,489,543,629,735,483,123,8,3100,360,1026,992,1050,1053,770,464,267,5967,195,597,604,610,459,275,85,9,2844,851,1627,1566,1661,1321,639,208,40,7910,3903,12386,11350,11593,13803,10639,4584,1343,69599,1901,8147,9493,9389,10076,9832,4016,984,53831,4174,13490
RA12,51,215,228,269,292,361,161,17,1593,82,316,290,205,207,137,21,4,1273,1492,4216,4004,4358,5217,4196,1781,375,25639,653,1612,1395,1485,1874,1358,618,148,9147,432,1109,1358,1698,1724,1264,577,110,8284,116,508,466,483,631,505,176,49,2932,81,404,399,527,680,849,292,45,3290,315,1140,1254,1427,1505,1170,417,72,7297,209,718,686,851,850,827,265,50,4461,77,257,167,185,241,207,81,11,1225,266,603,598,591,525,337,131,38,3083,19,13,11,14,9,16,3,0,93,73,159,203,252,267,211,86,26,1272,2679,2852,2926,3151,3580,3270,2059,860,21374,6544,14134,13990,15499,17601,14722,6666,1801,90963,60,272,265,286,268,187,59,16,1411,22,105,108,90,170,114,35,4,641,102,257,203,250,203,193,87,44,1328,33,102,114,108,80,57,27,0,521,305,715,681,586,518,219,69,9,3097,710,2454,2141,2409,3265,2403,984,287,14640,477,1978,2186,2270,2298,2020,735,173,12139,907,2771
RA13,5,15,15,24,20,0,4,0,93,6,14,10,0,3,0,0,0,33,99,389,284,278,309,203,63,18,1640,38,95,61,70,85,58,31,4,436,50,117,116,175,158,87,36,8,749,13,41,24,28,31,19,6,0,161,11,32,36,24,26,28,3,0,149,19,87,73,64,78,33,5,0,368,13,38,49,35,35,28,7,0,209,3,6,3,3,10,9,0,0,39,9,46,27,22,20,15,3,0,150,0,0,0,0,0,0,0,0,4,7,6,12,14,13,17,4,0,67,289,388,329,370,427,349,199,52,2400,555,1283,1040,1106,1214,848,366,86,6495,5,18,15,16,14,9,0,0,57,4,6,5,9,9,3,0,0,34,7,23,10,9,16,8,5,0,75,0,5,3,0,0,0,0,0,16,33,69,56,47,41,6,5,0,262,49,182,128,135,195,128,49,0,868,39,185,177,207,146,82,26,0,858,34,204
RA14,0,9,5,0,6,9,0,0,25,6,5,4,0,0,5,0,0,22,27,68,61,55,84,62,21,6,376,11,19,21,28,34,31,0,0,145,9,16,15,23,42,7,3,0,124,5,5,12,7,12,5,3,0,57,0,10,11,12,16,9,0,0,66,3,12,15,11,23,17,0,0,79,4,26,24,12,10,17,0,0,98,0,4,0,0,3,4,0,0,11,4,7,14,12,3,4,4,0,47,0,0,0,0,0,0,0,0,6,0,3,4,9,4,0,0,0,27,97,100,76,95,107,105,39,8,623,168,308,265,268,336,272,85,12,1711,0,5,4,4,4,8,0,0,27,0,0,0,0,3,0,0,0,7,0,4,0,3,0,0,0,0,13,0,0,0,0,0,4,0,0,6,9,17,13,11,9,5,0,0,60,13,55,24,38,59,41,10,0,239,15,54,37,38,41,25,8,0,222,11,50
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA20,4617,10533,8485,8092,7011,5260,2681,580,47270,7317,28740,36779,16509,7633,2844,376,40,100237,13978,58525,55378,51620,49143,35485,19407,5970,289507,10947,33121,24774,20317,14443,8845,4992,1537,118981,1414,4656,4682,4045,2946,1621,760,215,20337,3843,17862,13699,10556,8306,5402,2396,849,62911,1408,8474,7502,6909,7451,7120,3583,907,43361,14391,60939,65867,48097,31732,19345,7707,1967,250044,7882,26338,22687,19153,14315,10609,4311,1031,106333,6777,18532,13607,7642,4158,2359,993,265,54345,3953,13496,12947,7111,4648,2240,1092,293,45769,463,447,284,167,161,135,89,20,1762,1362,4790,5786,4635,3273,2078,980,323,23237,18363,30408,24625,19313,14916,11765,10067,5754,135215,96707,316867,297106,224167,170133,115119,59444,19763,1299303,6459,14055,12864,9134,5672,3044,1017,307,52554,1957,11639,13125,5816,3073,1075,184,18,36885,1885,10371,9431,5697,4027,2376,1624,899,36309,1777,6940,4981,3217,1710,663,224,64,19574,1275,3064,2740,1946,1283,499,165,52,11016,14721,57248,42445,32000,25105,16970,7990,3020,199500,6378,32307,30318,27851,24522,20561,9257,2306,153499,15945,76492
RA21,296,811,1022,1228,1125,1301,565,98,6448,524,1641,2067,1285,949,567,108,5,7139,3833,12033,12331,14047,15375,13173,6277,1494,78567,2852,8383,7077,6267,5800,4077,1878,551,36883,874,2410,3031,3278,2917,1872,766,215,15364,567,2629,2542,2406,2555,1970,731,180,13577,327,1874,2299,2228,2757,3760,1789,299,15329,1110,4617,6144,6455,6000,4803,1713,301,31149,1222,3192,3178,3551,3267,3052,1128,212,18799,823,1660,1558,1187,940,841,303,61,7366,809,2309,2383,2087,1591,990,422,82,10680,66,86,53,39,29,28,12,8,322,198,722,942,1089,945,720,336,95,5050,5504,5825,5851,6498,6494,6317,5039,2426,43955,19011,48192,50474,51648,50742,43462,21066,6026,290624,415,1150,1451,1419,1022,630,184,37,6310,66,336,489,453,473,273,64,7,2153,311,863,880,923,765,451,248,140,4583,172,549,605,533,408,205,74,10,2555,683,1487,1575,1433,1038,397,120,33,6766,3334,11523,10125,9702,10627,7838,3349,1003,57498,1573,6998,7830,7459,7518,7929,3348,689,43346,2062,8535
RA22,40,161,160,158,198,226,77,10,1036,62,247,252,157,131,101,20,3,967,862,2459,2236,2508,3233,2842,1227,274,15654,461,1295,1083,1057,1309,983,424,105,6718,390,932,1146,1236,1278,709,269,56,6015,80,426,385,417,515,372,136,24,2343,42,324,355,387,540,719,306,47,2733,236,867,960,1052,984,834,283,44,5248,211,557,506,575,604,499,142,32,3138,92,245,185,159,129,143,60,6,1024,205,503,461,444,446,265,121,11,2452,10,23,19,11,5,6,3,0,79,38,110,183,185,207,145,77,23,968,1514,1526,1592,1737,2030,2000,1365,598,12369,4248,9671,9513,10074,11618,9856,4519,1249,60741,47,224,243,188,172,119,12,13,1018,12,65,80,65,73,48,8,5,354,52,147,142,163,130,93,70,34,835,29,90,75,67,46,27,11,0,350,207,490,479,384,315,118,38,5,2024,539,2088,1757,1826,2404,1798,704,234,11352,308,1422,1407,1441,1523,1563,721,133,8519,517,1704
RA23,5,0,0,3,0,4,0,0,14,0,3,0,0,0,3,0,0,3,12,22,26,16,33,40,17,6,173,0,10,13,9,8,7,3,3,48,9,10,29,22,32,12,0,0,113,0,3,0,0,3,0,0,0,18,0,7,5,6,7,7,0,0,27,0,8,3,0,7,5,0,0,33,0,4,7,0,8,14,4,0,31,0,0,4,0,3,3,0,0,13,3,3,4,5,7,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,11,11,10,19,17,38,39,22,12,165,34,81,109,83,162,137,51,26,683,0,0,0,0,5,5,0,0,7,0,0,0,3,5,3,0,0,9,0,4,0,0,7,0,0,0,15,0,0,0,0,0,0,0,0,0,0,9,9,11,0,3,0,0,33,7,25,27,13,39,21,5,0,140,0,22,12,10,29,24,15,0,116,0,7
