RA_CODE_2021,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr_over,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85ov,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr_over,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
RA31,380,379,1039,1585,2498,4490,11866,15689,7194,45120,75,179,562,554,571,624,629,492,243,3937,3421,3441,7920,7727,8274,8444,8749,7388,3878,59246,26764,50890,109791,113323,125643,136759,126182,69414,22400,781170
RA32,207,226,702,1071,1614,3188,6871,8387,3704,25972,53,83,365,375,488,525,486,406,220,3006,3683,5200,12051,10425,10612,10385,8664,5223,2149,68385,19639,40672,91339,89699,95269,98095,81513,39361,11626,567212
RA33,73,38,109,131,238,504,977,877,262,3205,12,11,33,21,40,60,69,54,13,305,487,889,2391,2128,2432,2406,1581,611,186,13119,2171,4866,12319,10779,11716,12916,9793,3711,825,69099
RA34,98,45,119,138,234,548,987,746,223,3138,8,10,29,20,31,43,74,51,21,291,351,637,1599,1362,1520,1719,1269,490,136,9083,2159,4126,9238,7806,8541,10127,8416,2805,617,53832
RA35,0,0,0,3,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,10,8,57,76,45,16,6,0,0,219,9,12,92,111,79,34,14,0,0,348
RA40,292,388,1593,2359,2554,4114,9047,12701,8835,41887,66,249,1224,1821,2283,2197,1895,1729,1334,12796,2376,3256,7713,6822,5930,5705,5946,6041,4316,48107,30302,87747,187826,178399,167127,159217,133028,78496,35541,1057679
RA41,36,37,152,225,265,528,1551,2150,1328,6280,12,10,44,54,60,64,76,77,38,418,476,405,858,931,1254,1330,1465,1230,666,8612,3764,7755,16023,18141,22492,26139,25106,14025,4787,138230
RA42,62,74,295,347,461,1044,2619,3289,1836,10019,15,32,120,147,183,159,126,145,72,1005,694,718,1680,1715,1990,2299,2299,1882,888,14168,4463,9630,22128,21622,25576,30058,27244,15191,5557,161463
RA43,9,11,41,51,59,146,399,558,331,1618,0,4,8,8,8,11,20,7,7,74,178,236,723,655,702,685,530,344,180,4232,909,2107,5998,5720,6140,7010,5795,2978,1047,37704
RA44,21,19,48,73,115,135,181,166,76,847,0,0,0,9,14,20,21,13,10,91,101,149,453,376,474,494,343,175,71,2626,464,913,2492,2195,2459,2874,2251,834,237,14718
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,8,0,0,0,16,10,0,0,0,0,34
RA50,474,454,1662,2607,3350,4925,9011,11227,7081,40791,93,237,1328,1868,2106,2173,1912,1564,1153,12435,4249,5587,14254,12763,10517,8957,9328,9461,7363,82481,53951,128024,290459,294594,261472,227433,181071,100051,40463,1577512
RA51,48,71,191,219,301,522,1222,1590,965,5135,10,20,84,85,125,125,88,81,63,688,756,856,2041,1935,2086,1995,1864,1448,841,13819,5940,10340,24465,28533,30824,30809,26281,13250,4442,174891
RA52,67,67,176,229,325,596,1205,1563,843,5063,11,19,91,124,137,122,122,117,80,823,907,925,2290,2405,2434,2550,2232,1522,709,15979,5142,8860,21241,22241,24270,26377,21587,11185,3899,144781
RA53,26,21,69,115,172,252,497,460,192,1797,6,13,29,47,48,44,35,35,20,267,619,889,2850,2847,2661,2456,1485,649,175,14634,2342,4803,15353,15821,14082,13643,9704,3746,870,80364
RA54,113,64,172,193,326,448,600,418,73,2409,16,9,49,48,93,87,98,89,36,524,582,1697,6029,5468,5313,3995,1698,470,73,25332,2244,6218,20702,18653,17905,16773,10987,2947,374,96803
RA55,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10,44,223,434,399,218,49,8,0,1387,20,116,521,957,893,533,176,32,0,3245
RA61,107,123,419,422,493,914,1660,2156,1791,8078,18,44,274,277,343,283,226,166,90,1719,756,1056,2626,1910,1713,1792,2059,1992,1155,15065,7880,21226,54091,43385,41831,41124,35470,20750,8155,273899
RA62,69,59,146,182,347,825,1692,1721,1335,6383,10,21,59,48,65,87,91,55,32,481,599,538,1376,1315,1567,1906,2114,1672,774,11864,4804,9270,21108,21076,25520,30915,27525,14304,4513,159042
RA63,0,3,5,10,13,47,91,60,49,279,0,0,4,3,0,4,5,7,4,29,36,53,166,125,119,178,150,85,32,934,164,372,1188,982,1171,1667,1404,575,158,7672
RA64,0,0,0,0,6,8,14,21,12,68,0,0,0,0,0,0,0,5,3,5,4,3,27,39,26,28,38,30,9,213,36,67,266,306,293,386,420,217,56,2045
RA65,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,25,25,31,25,7,0,0,112,3,15,62,80,90,75,33,3,0,360
RA72,65,42,192,281,426,583,881,659,208,3339,5,30,94,108,142,162,183,102,50,869,675,1065,3022,2434,2291,2120,1620,589,174,13990,3595,9550,27482,23409,19885,17495,12673,4407,896,119386
RA73,112,111,227,294,291,301,431,201,60,2038,26,27,76,93,93,101,95,41,22,577,318,376,1182,1011,1073,1241,1000,252,64,6513,1616,3029,9614,7970,7181,7794,5633,1449,267,44553
RA74,375,349,692,630,649,536,424,136,14,3802,40,54,79,107,145,166,192,96,39,924,358,596,1484,1097,1088,961,597,142,6,6328,2643,4177,9008,7126,6211,5679,3786,805,85,39531
RA75,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,9,17,43,40,34,11,3,0,156,11,27,58,105,120,106,42,10,0,482
RA80,71,70,298,396,483,850,1531,1689,992,6386,18,53,276,232,266,291,266,281,155,1840,1164,1899,3658,2555,1872,1480,1534,1271,829,16259,11870,34419,77475,69028,55938,44636,34804,19016,7193,354378
RA81,0,0,0,0,0,0,3,0,3,6,0,0,0,0,0,0,0,0,0,0,0,5,4,4,8,9,7,0,0,40,26,38,102,104,89,88,56,12,7,517
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA91,0,0,0,0,3,0,5,3,0,17,0,0,0,0,0,0,0,0,0,0,3,3,12,13,11,8,14,9,0,83,39,52,98,49,56,38,27,16,0,378
RA94,0,0,3,5,14,29,54,20,3,126,0,0,0,0,9,25,37,28,7,107,23,63,241,170,166,172,109,55,5,1006,74,217,634,644,704,852,638,271,63,4109
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
