RA_CODE_2021,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,OS_vis_M,OS_vis_F,OS_vis_P,Tot_M,Tot_F,Tot_P
RA10,68766,34149,35252,69401,34917,36437,71353,35304,36936,72238,34701,36016,70720,173118,179363,352479,33703,35614,69318,31807,34306,66117,30945,32828,63773,30592,33177,63767,29255,31924,61180,156297,167847,324142,28205,31020,59225,27223,30429,57648,26444,29125,55567,25609,28606,54213,24208,27239,51443,131684,146420,278101,24019,26595,50610,23591,26241,49829,22552,24963,47512,23079,25044,48124,23204,25479,48682,116450,128321,244767,19481,21639,41123,18043,20407,38452,17285,19124,36405,14790,17022,31813,14185,16190,30372,83783,94387,178168,55732,68874,124611,31748,45334,77089,14274,25337,39608,3264,7995,11260,296,1120,1420,6892,7429,14324,2993337,3075255,6068591
RA11,19131,9717,10440,20158,10340,10925,21265,10740,11436,22174,10988,11673,22664,51064,54324,105389,10978,11808,22785,10848,11561,22409,10848,11758,22612,10625,11490,22114,10560,11272,21832,53864,57892,111747,10659,10971,21633,10384,10876,21258,10131,10850,20982,10506,10675,21184,10050,10479,20534,51729,53850,105580,10032,10372,20407,9772,9974,19744,9577,9756,19335,9425,9539,18967,9909,10272,20183,48715,49917,98635,7956,8056,16013,7591,7882,15476,6981,7545,14527,6131,6659,12794,5854,6256,12110,34512,36398,70915,21551,24875,46431,11386,15425,26812,4705,8344,13050,966,2471,3437,74,316,394,1223,916,2138,776276,803425,1579705
RA12,5178,2541,2617,5161,2883,2796,5673,2957,3079,6044,3121,2984,6102,14033,14121,28155,3230,3154,6385,3190,3003,6187,3141,3026,6167,2953,2889,5839,3038,2856,5891,15551,14919,30472,2905,2729,5637,2837,2821,5659,2773,2470,5245,2851,2636,5489,2678,2403,5088,14052,13061,27113,2690,2418,5107,2564,2345,4911,2525,2250,4775,2403,2126,4530,2509,2297,4806,12688,11434,24121,1959,1848,3807,1883,1741,3624,1724,1684,3411,1451,1419,2864,1439,1461,2899,8454,8154,16609,5327,5868,11194,2745,3462,6208,1012,1848,2855,209,527,738,18,77,97,567,347,905,195187,191441,386629
RA13,405,198,174,366,230,186,418,231,203,428,241,207,444,1125,937,2063,232,188,422,227,209,438,241,167,409,200,213,406,208,197,404,1108,971,2080,240,170,410,215,144,358,193,153,339,183,143,323,143,154,297,976,751,1732,206,121,321,162,120,286,121,115,239,136,114,253,151,131,285,775,609,1387,130,103,233,100,98,194,104,106,214,90,88,175,88,79,170,511,472,980,327,319,644,157,194,355,66,92,158,6,18,27,0,0,0,44,19,62,14426,13175,27602
RA14,94,65,60,123,73,55,124,67,56,125,71,48,114,312,270,588,87,62,148,58,68,119,50,53,102,64,45,111,63,44,104,322,257,581,65,50,115,51,46,102,60,40,95,52,29,81,54,49,107,285,211,497,35,52,87,59,37,99,41,33,74,50,28,80,52,32,85,240,180,425,32,20,52,22,19,39,22,28,51,31,27,55,27,20,46,134,115,248,63,67,129,24,35,57,13,25,36,5,6,10,0,0,0,13,11,22,3864,3559,7425
RA15,3,0,0,4,0,0,0,0,0,0,0,0,0,9,0,6,0,0,0,4,0,4,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,31,4,38
RA20,56374,27282,28755,56037,27209,29018,56226,27610,28683,56293,26765,28052,54819,136396,143345,279742,26205,27813,54019,24742,26971,51718,24357,26090,50446,23143,25329,48470,22549,24957,47500,120992,131162,252162,22241,24245,46487,21084,23411,44494,19739,22520,42262,19379,21907,41288,18598,21288,39890,101042,113378,214420,18189,21115,39303,17685,20355,38035,16980,19726,36708,17076,19850,36928,17869,20469,38337,87790,101515,189304,14907,16851,31754,13595,15815,29417,12870,15081,27953,11232,13473,24707,11103,13145,24246,63710,74369,138082,43883,55462,99345,25285,36704,61990,11353,20014,31367,2620,6053,8673,228,838,1066,5416,5925,11346,2460983,2540719,5001708
RA21,15405,7611,8055,15665,7799,8479,16279,8109,8908,17015,8281,9002,17287,39147,42510,81655,8282,8854,17134,8061,8635,16694,8243,8776,17023,8020,8658,16681,7760,8288,16049,40367,43215,83582,7933,8280,16210,7713,8191,15907,7663,7986,15651,7601,8057,15655,7459,7629,15090,38380,40134,78507,7301,7427,14734,7036,7488,14522,6785,6985,13772,6679,6787,13462,6819,7197,14014,34624,35885,70506,5686,5720,11408,5157,5391,10546,4725,5090,9815,4167,4528,8697,4074,4417,8497,23807,25158,48964,15162,17133,32296,7912,10890,18797,3392,6013,9409,738,1783,2520,56,227,285,623,520,1142,592201,613996,1206195
RA22,3546,1730,1777,3508,1897,1909,3808,1950,1999,3948,2090,2077,4170,9392,9588,18984,2096,2168,4264,2081,1995,4068,2070,2049,4116,2128,2015,4143,2037,2042,4079,10405,10272,20674,1964,1910,3872,1967,1966,3930,1905,1823,3728,1966,1856,3819,1893,1694,3583,9686,9255,18935,1793,1707,3498,1851,1737,3591,1723,1588,3314,1732,1568,3306,1792,1607,3399,8898,8210,17108,1326,1277,2599,1295,1258,2555,1099,1146,2245,1041,1009,2050,1064,1100,2167,5828,5795,11619,3775,4209,7984,1941,2697,4633,848,1400,2248,182,441,624,14,59,69,240,186,428,129978,131167,261142
RA23,59,24,20,45,34,29,66,31,32,67,41,36,74,162,145,309,47,32,74,35,29,68,32,39,70,31,38,70,38,32,67,178,181,355,47,26,75,26,31,58,40,28,70,39,22,62,31,24,58,179,134,315,33,22,55,30,19,52,13,11,22,22,23,46,39,31,68,140,104,245,28,16,39,24,26,50,14,22,30,19,15,35,11,17,29,94,98,193,57,61,117,42,32,74,19,29,41,4,7,15,0,0,0,0,0,7,1731,1578,3304
