RA_CODE_2021,M_15_19_Prov_unpaid_assist,M_15_19_No_unpaid_assist_prov,M_15_19_yr_Unpaid_assist_ns,M_15_19_Overseas_visitors,M_15_19_years_Total,M_20_24_Prov_unpaid_assist,M_20_24_No_unpaid_assist_prov,M_20_24_yr_Unpaid_assist_ns,M_20_24_Overseas_visitors,M_20_24_years_Total,M_25_34_Prov_unpaid_assist,M_25_34_No_unpaid_assist_prov,M_25_34_yr_Unpaid_assist_ns,M_25_34_Overseas_visitors,M_25_34_years_Total,M_35_44_Prov_unpaid_assist,M_35_44_No_unpaid_assist_prov,M_35_44_yr_Unpaid_assist_ns,M_35_44_Overseas_visitors,M_35_44_years_Total,M_45_54_Prov_unpaid_assist,M_45_54_No_unpaid_assist_prov,M_45_54_Unpaid_assist_ns,M_45_54_Overseas_visitors,M_45_54_years_Total,M_55_64_Prov_unpaid_assist,M_55_64_No_unpaid_assist_prov,M_55_64_yr_Unpaid_assist_ns,M_55_64_Overseas_visitors,M_55_64_years_Total,M_65_74_Prov_unpaid_assist,M_65_74_No_unpaid_assist_prov,M_65_74_yr_Unpaid_assist_ns,M_65_74_Overseas_visitors,M_65_74_years_Total,M_75_84_Prov_unpaid_assist,M_75_84_No_unpaid_assist_prov,M_75_84_yr_Unpaid_assist_ns,M_75_84_Overseas_visitors,M_75_84_years_Total,M_85_over_Prov_unpaid_assist,M_85ovr_No_unpaid_assist_prov,M_85ovr_over_Unpaid_assist_ns,M_85over_Overseas_visitors,M_85_yr_and_over_Total,M_Tot_Prov_unpaid_assist,M_Tot_No_unpaid_assist_prov,M_Tot_Unpaid_assist_ns,M_Total_Overseas_visitors,M_Total_Total,F_15_19_Prov_unpaid_assist,F_15_19_No_unpaid_assist_prov,F_15_19_yr_Unpaid_assist_ns,F_15_19_Overseas_visitors,F_15_19_years_Total,F_20_24_Prov_unpaid_assist,F_20_24_No_unpaid_assist_prov,F_20_24_yr_Unpaid_assist_ns,F_20_24_Overseas_visitors,F_20_24_years_Total,F_25_34_Prov_unpaid_assist,F_25_34_No_unpaid_assist_prov,F_25_34_yr_Unpaid_assist_ns,F_25_34_Overseas_visitors,F_25_34_years_Total,F_35_44_Prov_unpaid_assist,F_35_44_No_unpaid_assist_prov,F_35_44_yr_Unpaid_assist_ns,F_35_44_Overseas_visitors,F_35_44_years_Total,F_45_54_Prov_unpaid_assist,F_45_54_No_unpaid_assist_prov,F_45_54_Unpaid_assist_ns,F_45_54_Overseas_visitors,F_45_54_years_Total,F_55_64_Prov_unpaid_assist,F_55_64_No_unpaid_assist_prov,F_55_64_yr_Unpaid_assist_ns,F_55_64_Overseas_visitors,F_55_64_years_Total,F_65_74_Prov_unpaid_assist,F_65_74_No_unpaid_assist_prov,F_65_74_yr_Unpaid_assist_ns,F_65_74_Overseas_visitors,F_65_74_years_Total,F_75_84_Prov_unpaid_assist,F_75_84_No_unpaid_assist_prov,F_75_84_yr_Unpaid_assist_ns,F_75_84_Overseas_visitors,F_75_84_years_Total,F_85_over_Prov_unpaid_assist,F_85ovr_No_unpaid_assist_prov,F_85ovr_over_Unpaid_assist_ns,F_85over_Overseas_visitors,F_85_yr_and_over_Total,F_Tot_Prov_unpaid_assist,F_Tot_No_unpaid_assist_prov,F_Tot_Unpaid_assist_ns,F_Total_Overseas_visitors,F_Total_Total,P_15_19_Prov_unpaid_assist,P_15_19_No_unpaid_assist_prov,P_15_19_yr_Unpaid_assist_ns,P_15_19_Overseas_visitors,P_15_19_years_Total,P_20_24_Prov_unpaid_assist,P_20_24_No_unpaid_assist_prov,P_20_24_yr_Unpaid_assist_ns,P_20_24_Overseas_visitors,P_20_24_years_Total,P_25_34_Prov_unpaid_assist,P_25_34_No_unpaid_assist_prov,P_25_34_yr_Unpaid_assist_ns,P_25_34_Overseas_visitors,P_25_34_years_Total,P_35_44_Prov_unpaid_assist,P_35_44_No_unpaid_assist_prov,P_35_44_yr_Unpaid_assist_ns,P_35_44_Overseas_visitors,P_35_44_years_Total,P_45_54_Prov_unpaid_assist,P_45_54_No_unpaid_assist_prov,P_45_54_Unpaid_assist_ns,P_45_54_Overseas_visitors,P_45_54_years_Total,P_55_64_Prov_unpaid_assist,P_55_64_No_unpaid_assist_prov,P_55_64_yr_Unpaid_assist_ns,P_55_64_Overseas_visitors,P_55_64_years_Total,P_65_74_Prov_unpaid_assist,P_65_74_No_unpaid_assist_prov,P_65_74_yr_Unpaid_assist_ns,P_65_74_Overseas_visitors,P_65_74_years_Total,P_75_84_Prov_unpaid_assist,P_75_84_No_unpaid_assist_prov,P_75_84_yr_Unpaid_assist_ns,P_75_84_Overseas_visitors,P_75_84_years_Total,P_85_over_Prov_unpaid_assist,P_85ovr_No_unpaid_assist_prov,P_85ovr_over_Unpaid_assist_ns,P_85over_Overseas_visitors,P_85_yr_and_over_Total,P_Tot_Prov_unpaid_assist,P_Tot_No_unpaid_assist_prov,P_Tot_Unpaid_assist_ns,P_Total_Overseas_visitors,P_Total_Total
RA10,7382,158977,9773,214,176338,9929,179688,14032,478,204134,24418,397746,33937,1323,457426,38636,370006,27993,1004,437633,47104,308145,20495,863,376611,46830,266043,16542,959,330378,28123,207243,12759,1084,249210,14473,114408,10634,345,139868,4510,37751,7330,85,49669,221390,2040009,153511,6361,2421271,8172,148707,8723,204,165810,11890,169310,11328,470,193005,35866,401236,29572,1170,467839,59128,362400,24265,776,446574,74513,299883,17597,803,392787,72224,260429,14554,1641,348848,41151,220201,13389,1355,276098,16949,132605,13710,383,163645,3455,61738,14593,113,79899,323354,2056504,147727,6917,2534504,15552,307679,18498,417,342146,21825,349001,25360,953,397135,60277,798981,63511,2493,925257,97765,732408,52263,1780,884215,121620,608029,38090,1662,769402,119049,526476,31101,2603,679226,69269,427444,26155,2439,525305,31421,247012,24348,731,303509,7966,99487,21923,192,129569,544745,4096511,301236,13278,4955771
RA11,2203,41492,4340,24,48061,2151,34495,4007,114,40768,5613,70278,8573,341,84809,8826,68098,7823,209,84952,12685,74189,7441,138,94455,15705,82278,6937,123,105049,11991,82243,6209,95,100540,6227,45202,4638,51,56114,1668,13215,2254,13,17147,67066,511485,52228,1112,631894,2509,38339,3775,22,44649,2897,33083,2924,104,39004,9626,71461,6418,212,87721,15354,68504,6167,122,90143,21629,73212,5957,101,100902,26138,80068,6010,134,112349,17178,80581,6010,86,103858,7163,48456,5660,45,61330,1288,21158,4111,15,26573,103782,514864,47028,851,666527,4718,79831,8115,45,92708,5041,67577,6933,217,79772,15243,141736,14993,559,172530,24173,136603,13989,337,175098,34314,147400,13400,235,195356,41841,162354,12950,260,217401,29169,162821,12219,176,204391,13391,93654,10294,98,117442,2955,34377,6364,29,43720,170847,1026348,99255,1968,1298414
RA12,520,9049,1459,10,11035,479,7824,1188,56,9542,1380,16614,2574,243,20809,1935,15482,2573,132,20124,3095,18165,2690,52,24004,4261,22375,2951,22,29604,2792,21407,2542,19,26760,1348,10906,1529,7,13788,352,3004,626,6,3988,16163,124813,18127,546,159651,658,8489,1287,9,10442,653,7070,895,44,8666,2230,16237,2104,141,20708,3394,14946,2129,53,20521,5014,16788,2290,26,24124,6480,20046,2526,34,29080,3904,18408,2188,16,24517,1457,10918,1649,7,14036,291,4668,957,0,5920,24079,117563,16029,334,158006,1171,17538,2749,18,21477,1131,14894,2085,101,18211,3604,32850,4677,385,41518,5335,30430,4703,184,40647,8111,34957,4980,80,48124,10737,42418,5472,58,58686,6699,39809,4735,36,51275,2810,21823,3177,20,27826,651,7669,1576,4,9906,40243,242379,34156,883,317657
RA13,19,529,157,0,714,41,562,137,13,748,96,1396,362,24,1873,121,1121,306,0,1558,203,1258,339,3,1806,263,1587,381,0,2234,153,1306,292,3,1756,57,608,167,0,832,21,175,38,0,233,979,8549,2187,44,11754,36,516,135,0,687,56,468,139,0,665,158,1289,273,13,1739,229,971,284,0,1481,279,1107,297,0,1687,396,1217,300,0,1915,176,968,214,0,1361,78,555,155,0,798,15,226,65,0,307,1421,7329,1867,19,10633,58,1041,299,0,1401,98,1030,272,13,1415,253,2684,641,31,3609,352,2093,588,0,3038,480,2365,639,5,3489,660,2805,678,7,4149,325,2282,507,3,3118,134,1166,323,0,1629,36,403,101,0,534,2400,15876,4048,62,22388
RA14,7,135,47,0,190,4,159,45,0,215,18,332,100,4,456,28,305,67,0,403,38,361,85,0,483,66,468,100,0,642,37,394,94,0,529,17,148,30,0,201,8,28,3,0,38,221,2349,573,13,3149,9,121,40,0,175,6,164,51,0,220,40,373,96,9,523,39,288,72,0,403,75,311,74,0,462,80,370,87,0,530,44,297,55,0,399,19,122,40,0,180,5,43,11,0,60,314,2090,528,11,2947,14,259,85,0,361,15,319,96,0,426,58,711,198,7,977,66,595,144,0,803,114,676,160,7,949,146,838,186,0,1168,80,691,146,4,925,33,276,73,0,380,6,76,17,0,101,535,4436,1103,22,6092
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,15,0,0,16,0,10,0,0,10,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,4,29,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,15,0,0,18,0,8,0,0,8,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,28,0,3,38
RA20,6038,129896,7460,196,143590,8938,152840,11206,417,173398,23648,348254,28644,932,401481,35703,312111,22124,739,370669,45006,248897,16022,775,310710,43344,202213,11832,832,258222,25786,154266,8781,829,189661,13188,87225,7180,274,107870,4215,31023,4249,74,39564,205866,1666732,117497,5079,1995171,6888,122494,6853,195,136424,11437,143449,8981,368,164233,35307,347539,24220,838,407905,54184,304363,18902,530,377972,72933,239506,13899,670,327008,69344,194351,10813,1379,275889,39381,165556,9956,1152,216049,15749,104885,9197,344,130170,2991,52613,7998,79,63685,308211,1674760,110815,5559,2099343,12916,252393,14316,391,280014,20376,296283,20184,789,337638,58963,695796,52860,1772,809387,89880,616469,41021,1265,748639,117944,488402,29924,1443,637717,112689,396567,22649,2211,534111,65170,319828,18735,1983,405709,28939,192110,16376,620,238037,7206,83641,12251,157,103253,514079,3341493,228313,10629,4094506
RA21,1666,31310,3041,21,36036,1894,26930,2356,39,31223,4781,56365,5646,158,66947,7563,54432,5482,99,67576,10795,58472,5500,89,74855,13068,61289,5154,72,79586,9722,58487,4790,46,73042,4559,30901,3509,24,38993,1091,9237,1768,9,12106,55134,387422,37243,559,480361,2009,28939,2807,7,33756,2455,25176,1957,42,29633,8086,56573,4587,111,69353,13148,54912,4773,73,72907,18905,56390,4633,63,79990,22189,58929,4603,62,85786,14082,57426,4514,75,76094,5319,32884,4090,31,42323,803,15100,3014,16,18935,86994,386329,34967,477,508771,3676,60248,5842,28,69797,4348,52110,4308,83,60855,12872,112936,10228,264,136298,20711,109350,10254,175,140482,29700,114860,10132,153,154847,35254,120220,9757,131,165366,23803,115911,9304,126,149137,9881,63779,7595,54,81308,1895,24339,4780,21,31036,142134,773754,72207,1045,989140
RA22,371,5966,846,5,7183,362,5418,627,33,6442,1014,11685,1344,99,14145,1434,10638,1343,42,13451,2194,12026,1410,26,15655,3061,15147,1595,11,19810,2311,14765,1514,15,18601,1034,7560,1011,0,9605,268,2269,443,4,2983,12039,85477,10132,232,107868,439,5520,751,0,6702,505,4848,613,29,5993,1605,11472,1275,65,14418,2424,10444,1279,21,14172,3755,11546,1286,15,16603,4839,13610,1405,30,19884,3018,13107,1339,9,17471,1145,7759,1106,10,10009,194,3662,742,0,4595,17914,81968,9787,176,109850,803,11485,1593,5,13888,865,10268,1239,53,12433,2618,23160,2619,169,28564,3855,21081,2618,68,27623,5945,23569,2701,39,32258,7902,28758,2998,37,39694,5324,27871,2854,28,36070,2178,15315,2111,3,19610,463,5933,1179,3,7574,29953,167444,19918,411,217717
RA23,5,59,8,0,69,8,47,4,0,54,20,103,8,0,131,16,144,17,0,175,42,120,12,0,174,62,247,33,0,338,33,256,27,0,316,11,126,14,0,153,9,40,16,0,57,199,1136,141,0,1474,6,44,5,0,52,4,27,4,0,28,21,98,6,0,121,32,121,18,0,175,39,114,16,0,172,70,234,22,0,321,37,188,14,0,242,21,111,20,0,156,8,48,14,0,70,233,982,119,0,1338,11,96,10,0,124,6,68,6,0,84,39,197,13,0,254,45,274,41,0,352,78,235,26,0,344,133,482,52,0,663,71,442,45,0,556,36,246,34,0,310,14,88,27,0,128,433,2123,258,7,2813
