RA_CODE_2021,Tot_Mgr,Tot_Pfn,Tot_Tch_trwk,Tot_Co_Pswk,Tot_Cl_Adwk,Tot_Sal,Tot_MchOp,Tot_Lab,Tot_Inad_ns,Tot_To
RA10,407851,797072,309248,277672,382389,221921,160824,199363,52908,2809251
RA11,90233,127842,103338,92280,79628,60090,45277,76085,12473,687257
RA12,33515,23576,22113,19004,16710,12158,14516,23093,3427,168111
RA13,3304,1401,1297,1165,1020,477,1271,1696,232,11870
RA14,755,431,300,353,259,91,229,413,74,2911
RA15,0,0,0,0,0,0,27,0,0,35
RA20,338324,665291,299909,263857,318248,206948,145319,196169,48906,2482969
RA21,78777,104545,83372,69377,61877,46634,34161,64189,10124,553051
RA22,22534,17521,14967,13800,10988,9251,7834,16070,2529,115494
RA23,471,169,85,135,113,58,120,178,29,1349
RA25,11,33,36,22,4,0,29,33,5,170
RA30,206902,392722,207028,197239,217667,144478,94636,145466,29996,1636149
RA31,47770,69977,67060,55355,50218,37330,34556,53436,8179,423872
RA32,40856,53644,49149,42432,36303,26853,29018,38552,6442,323255
RA33,6788,4935,6183,3374,3502,1888,5114,4913,874,37570
RA34,4922,3947,3801,2884,2566,1187,2818,4249,748,27121
RA35,5,33,9,3,3,0,21,37,0,99
RA40,77151,152702,81790,85320,85241,55190,35042,60101,11069,643599
RA41,12085,11622,11612,9529,8449,6375,4906,10745,1412,76737
RA42,14329,11489,12116,10967,8408,7347,7560,13133,1721,87068
RA43,4140,3004,3615,2363,2038,1617,2053,2937,450,22219
RA44,1365,1189,1089,822,609,358,875,1010,160,7473
RA45,0,3,3,0,0,0,4,9,0,22
RA50,121327,243971,147014,124747,129153,82699,67976,88380,16990,1022266
RA51,12281,15794,18856,12165,11138,8497,9618,13211,1851,103406
RA52,13149,12654,13768,9394,8733,6358,8518,10860,1441,84872
RA53,8439,7294,9029,4286,5082,2683,5199,5236,1030,48273
RA54,5721,7666,11110,3713,3632,1423,9750,5270,898,49183
RA55,96,324,627,58,45,6,172,344,23,1697
RA61,19722,37873,21872,23154,20731,14526,8587,15710,2911,165077
RA62,11686,12496,12772,10876,8656,7032,7061,11776,1692,84043
RA63,625,518,568,447,284,204,383,696,77,3807
RA64,334,145,169,104,110,70,73,244,26,1278
RA65,14,78,74,21,9,0,18,58,0,277
RA72,10358,17331,11056,11415,11016,5389,4061,5973,1504,78112
RA73,3263,5839,3164,3898,2878,1281,1059,1920,616,23920
RA74,1822,3263,1723,2377,1226,624,1011,1804,340,14205
RA75,12,85,63,17,0,0,8,86,4,282
RA80,44217,77944,23854,27128,36042,15228,6001,12389,5253,248054
RA81,99,94,62,37,47,12,11,33,11,399
RA85,0,0,0,0,0,0,0,0,0,0
RA91,131,45,13,25,11,0,0,6,0,237
RA94,363,364,412,371,283,145,142,263,38,2379
RA95,0,0,0,0,0,0,0,0,0,0
